0.03333,MOT_control_all,stay,,
0.03333,MOT_mc_special_04,cut,,
0.03333,MOT_mc_back_00,stay,,
0.03333,MOT_mc_light_up_00,stay,,
0.03333,MOT_all,start,,
22.49775,4,2-3,,,
22.49775,5,2-3,,,
23.06436,4,lp3,,,
23.06436,5,lp3,,,
23.96427,4,3-4,,,
23.96427,2,3-4,,,
24.53088,1,2-3,,,
24.89751,4,w4,,,
24.89751,2,w4,,,
24.93084,3,3-4,,,
24.93084,5,3-4,,,
25.464119999999998,1,w3,,,
25.59744,2,,,f1,L0
25.59744,3,,,f1,L0
25.59744,1,,,f1,L0
25.59744,4,sj4,,,L0
25.59744,5,sj4,,,L0
25.63077,MOT_mc_special_02,hokori_end,,
25.63077,MOT_mc_special_01,white_flash,,
25.63077,MOT_mc_back_00,s2,,
25.63077,MOT_mc_light_up_00,s2,,
25.864079999999998,3,w4,,,
26.097389999999997,5,w4,,,
26.097389999999997,4,w4,,,
26.3307,1,3-4,,,
26.3307,2,4-1,,,
26.3307,3,4-1,,,
26.3307,4,4-1,,,
26.3307,5,4-1,,,
27.13062,1,sp4-1,,,
27.13062,2,sp1-2,,,
27.13062,3,sp1-2,,,
27.13062,4,sp1-2,,,
27.13062,5,sp1-2,,,
27.36393,MOT_control_all,cam03,,
27.83055,MOT_mc_special_01,white_flash,,
27.9972,1,j1-2,,,
27.9972,2,j2-3,,,
27.9972,3,j2-3,,,
27.9972,4,j2-3,,,
27.9972,5,j2-3,,,
28.59714,1,2-3,,,
28.59714,2,3-4,,,
28.59714,3,3-4,,,
28.59714,4,3-4,,,
28.59714,5,3-4,,,
29.26374,1,3-4,,,
29.26374,2,4-1,,,
29.26374,3,4-1,,,
29.26374,4,4-1,,,
29.26374,5,4-1,,,
30.06366,1,4-1,,,
30.06366,2,1-2,,,
30.06366,3,1-2,,,
30.06366,4,1-2,,,
30.06366,5,1-2,,,
30.9969,5,w2,,,
30.9969,4,w2,,,
30.9969,3,w2,,,
30.9969,2,w2,,,
30.9969,1,w1,,,
31.163549999999997,2,2-3,,,
31.163549999999997,4,2-3,,,
31.530179999999998,3,2-3,,,
31.530179999999998,5,2-3,,,
31.89681,1,1-2,,,
32.09679,4,w3,,,
32.09679,2,w3,,,
32.46342,5,w3,,,
32.46342,3,w3,,,
32.59674,1,2-3,,,
32.59674,2,3-4,,,
32.59674,3,3-4,,,
32.59674,4,3-4,,,
32.59674,5,3-4,,,
33.33,1,,,b0,
33.33,2,,,b0,
33.33,3,,,b0,
33.33,4,,,b0,
33.33,5,,,b0,
33.52998,5,w4,,,
33.52998,4,w4,,,
33.52998,3,w4,,,
33.52998,2,w4,,,
33.52998,1,w3,,,
34.06326,1,sp3-4,,,
34.06326,2,sp4-1,,,
34.06326,3,sp4-1,,,
34.06326,4,sp4-1,,,
34.06326,5,sp4-1,,,
35.129819999999995,1,4-1,,,
35.129819999999995,2,1-2,,,
35.129819999999995,3,1-2,,,
35.129819999999995,4,1-2,,,
35.129819999999995,5,1-2,,,
35.896409999999996,4,,l1,,
35.896409999999996,5,,r1,,
36.06306,5,w2,,,
36.06306,4,w2,,,
36.06306,3,w2,,,
36.06306,2,w2,,,
36.06306,1,w1,,,
36.296369999999996,1,1-2,,,
36.296369999999996,2,,l1,,
36.296369999999996,3,,r1,,
37.22961,1,w2,,,
37.29627,1,j2-3,,,
37.29627,2,j2-3,,,
37.29627,3,j2-3,,,
37.29627,4,j2-3,,,
37.29627,5,j2-3,,,
37.69623,1,3-4,,,
37.69623,2,3-4,,,
37.69623,3,3-4,,,
37.69623,4,3-4,,,
37.69623,5,3-4,,,
38.19618,4,4-1,,,
38.19618,5,4-1,,,
38.59614,2,4-1,,,
38.59614,3,4-1,,,
38.62947,1,w4,,,
39.129419999999996,5,w1,,,
39.129419999999996,4,w1,,,
39.129419999999996,1,4-1,,,
39.129419999999996,2,,lb0,,
39.129419999999996,3,,rb0,,
39.129419999999996,4,,lb0,,
39.129419999999996,5,,rb0,,
39.49605,MOT_control_all,cam04,,
39.529379999999996,3,w1,,,
39.529379999999996,2,w1,,,
39.929339999999996,2,,,f1,
39.929339999999996,1,,,,D20
39.929339999999996,3,,,,D20
39.929339999999996,4,,,,D20
39.929339999999996,5,,,,D20
40.06266,1,w1,,,
40.49595,2,1-2,,,
41.06256,2,lp2,,,
41.76249,2,2-3,,,
42.429089999999995,1,sp1-2,,,
42.429089999999995,3,sp1-2,,,
42.429089999999995,4,sp1-2,,,
42.429089999999995,5,sp1-2,,,
42.429089999999995,2,3-4,,,
42.89571,2,lp4,,,
43.329,1,2-3,,,
43.329,3,2-3,,,
43.329,4,2-3,,,
43.329,5,2-3,,,
43.86228,2,4-1,,,
44.26224,5,w3,,,
44.26224,4,w3,,,
44.26224,3,w3,,,
44.26224,1,w3,,,
44.59554,2,,r1,,
44.795519999999996,2,w1,,,
45.02883,2,1-2,,,
45.46212,1,3-4,,,
45.46212,3,3-4,,,
45.46212,4,3-4,,,
45.46212,5,3-4,,,
45.46212,2,2-3,,,
46.095389999999995,2,,r2,,
46.39536,5,w4,,,
46.39536,4,w4,,,
46.39536,3,w4,,,
46.39536,2,w3,,,
46.39536,1,w4,,,
46.462019999999995,2,3-4,,,
46.92864,2,,rb1,,
47.39526,2,w4,,,
47.46192,2,4-1,,,
48.061859999999996,2,lp1,,,
48.19518,1,sp4-1,,,
48.19518,3,sp4-1,,,
48.19518,4,sp4-1,,,
48.19518,5,sp4-1,,,
48.861779999999996,1,1-2,,,
48.861779999999996,3,1-2,,,
48.861779999999996,4,1-2,,,
48.861779999999996,5,1-2,,,
49.52838,1,2-3,,,
49.52838,3,2-3,,,
49.52838,4,2-3,,,
49.52838,5,2-3,,,
49.728359999999995,2,1-2,,,
50.461619999999996,5,w3,,,
50.461619999999996,4,w3,,,
50.461619999999996,3,w3,,,
50.461619999999996,1,w3,,,
50.561609999999995,2,,rb0,,
50.6616,2,w2,,,
51.26154,MOT_control_all,cam05,,
51.728159999999995,2,,,b0,D20
51.728159999999995,3,,,f1,L0
52.39476,3,3-4,,,
53.09469,3,4-1,,,
53.761289999999995,1,sp3-4,,,
53.761289999999995,2,sp2-3,,,
53.761289999999995,4,sp3-4,,,
53.761289999999995,5,sp3-4,,,
53.761289999999995,3,1-2,,,
54.227909999999994,3,lp2,,,
54.6612,1,4-1,,,
54.6612,2,3-4,,,
54.6612,4,4-1,,,
54.6612,5,4-1,,,
55.19448,3,2-3,,,
55.59444,5,w1,,,
55.59444,4,w1,,,
55.59444,2,w4,,,
55.59444,1,w1,,,
55.92774,3,,r1,,
56.12772,3,w3,,,
56.36103,3,3-4,,,
56.79432,1,1-2,,,
56.79432,2,4-1,,,
56.79432,4,1-2,,,
56.79432,5,1-2,,,
56.79432,3,4-1,,,
57.427589999999995,3,,r2,,
57.72756,5,w2,,,
57.72756,4,w2,,,
57.72756,3,w1,,,
57.72756,2,w1,,,
57.72756,1,w2,,,
57.794219999999996,3,1-2,,,
58.49415,3,2-3,,,
58.89411,3,3-4,,,
59.52738,1,sp2-3,,,
59.52738,2,sp1-2,,,
59.52738,4,sp2-3,,,
59.52738,5,sp2-3,,,
59.59404,3,lp4,rb1,,
60.193979999999996,1,3-4,,,
60.193979999999996,2,2-3,,,
60.193979999999996,4,3-4,,,
60.193979999999996,5,3-4,,,
60.86058,1,4-1,,,
60.86058,2,3-4,,,
60.86058,4,4-1,,,
60.86058,5,4-1,,,
61.027229999999996,3,4-1,,,
61.79382,5,w1,,,
61.79382,4,w1,,,
61.79382,2,w4,,,
61.79382,1,w1,,,
61.893809999999995,3,,rb0,,
61.960469999999994,3,w1,,,
62.227109999999996,MOT_control_all,cam06,,
62.693729999999995,1,1-2,,,
62.693729999999995,2,4-1,,,
62.693729999999995,5,1-2,,,
62.693729999999995,3,,,b0,D20
62.693729999999995,4,,,f1,L0
63.19368,4,lp1,,,
63.62697,5,w2,,,
63.62697,2,w1,,,
63.62697,1,w2,,,
64.06026,4,1-2,,,
64.42689,1,2-3,,,
64.42689,2,1-2,,,
64.59353999999999,4,lp2,,,
64.76019,3,1-2,,,
64.76019,5,2-3,,,
65.16015,1,3-4,,,
65.16015,2,2-3,,,
65.16015,3,2-3,,,
65.16015,4,2-3,,,
65.16015,5,3-4,,,
65.46012,MOT_control_all,cam07,,
65.62677,1,4-1,,,
65.62677,2,3-4,,,
65.62677,3,3-4,,,
65.62677,5,,,f1,L0
65.62677,4,w3,,b0,D20
66.09339,5,w4,,,
66.12671999999999,5,lp4,,,
66.56000999999999,3,w4,,,
66.56000999999999,2,w4,,,
66.56000999999999,1,w1,,,
66.79332,5,4-1,,,
67.15995,1,1-2,,,
67.15995,3,4-1,,,
67.3266,5,lp1,,,
67.49325,2,4-1,,,
67.49325,4,3-4,,,
67.59324,MOT_control_all,cam08,,
67.9932,1,,,f1,L0
67.9932,2,,,f1,L0
67.9932,3,,,f1,L0
67.9932,4,,,f1,L0
68.09318999999999,3,w1,,,
68.09318999999999,1,w2,,,
68.39316,1,2-3,,,
68.39316,2,1-2,,,
68.39316,3,1-2,,,
68.39316,4,4-1,,,
68.39316,5,1-2,,,
68.79312,2,2-3,,,
68.79312,4,1-2,,,
69.05976,3,2-3,,,
69.05976,5,2-3,,,
69.32639999999999,1,w3,,,
69.39305999999999,1,3-4,,,
69.39305999999999,2,lp3,,,
69.39305999999999,4,lp2,,,
69.75968999999999,3,lp3,,,
69.75968999999999,5,lp3,,,
70.09299,1,sj4,,,
70.09299,2,,l1,,
70.09299,3,,r1,,
70.09299,4,,l1,,
70.09299,5,,r1,,
70.59294,1,w4,,,
70.69292999999999,1,4-1,,,
70.89291,2,3-4,,,
70.89291,3,3-4,,,
71.09289,4,2-3,,,
71.09289,5,3-4,,,
71.62617,1,1-2,,,
71.62617,2,4-1,,,
71.62617,3,4-1,,,
71.62617,4,3-4,,,
71.62617,5,4-1,,,
72.05946,1,sp2-3,,,
72.05946,2,sp1-2,,,
72.05946,3,sp1-2,,,
72.05946,4,sp4-1,,,
72.05946,5,sp1-2,,,
72.62607,1,3-4,,,
72.62607,2,2-3,,,
72.62607,3,2-3,,,
72.62607,4,1-2,,,
72.62607,5,2-3,,,
73.12602,1,lp4,,,
73.12602,2,lp3,,,
73.12602,3,lp3,,,
73.12602,4,lp2,,,
73.12602,5,lp3,,,
74.02593,1,4-1,,,
74.02593,2,3-4,,,
74.02593,3,3-4,,,
74.02593,4,2-3,,,
74.02593,5,3-4,,,
74.69252999999999,1,1-2,,,
74.69252999999999,2,4-1,,,
74.69252999999999,3,4-1,,,
74.69252999999999,4,3-4,,,
74.69252999999999,5,4-1,,,
75.45912,1,hj2,,,
75.45912,2,hj1,,,
75.45912,3,hj1,,,
75.45912,4,hj4,,,
75.45912,5,hj1,,,
76.19238,MOT_mc_special_02,heart_fall,,
76.19238,1,sj2,,,
76.19238,2,,lb0,,
76.19238,3,,rb0,,
76.19238,4,,lb0,,
76.19238,5,,rb0,,
76.69233,5,w1,,,
76.69233,4,w4,,,
76.69233,3,w1,,,
76.69233,2,w1,,,
76.69233,1,w2,,,
76.89231,MOT_control_all,cam09,,
76.89231,1,2-3,,,
76.89231,2,1-2,,,
76.89231,3,1-2,,,
76.89231,4,4-1,,,
76.89231,5,1-2,,,
77.62557,1,sp3-4,,,
77.62557,2,sp2-3,,,
77.62557,3,sp2-3,,,
77.62557,4,sp1-2,,,
77.62557,5,sp2-3,,,
78.32549999999999,1,j4-1,,,
78.32549999999999,2,j3-4,,,
78.32549999999999,3,j3-4,,,
78.32549999999999,4,j2-3,,,
78.32549999999999,5,j3-4,,,
78.79212,1,,,b0,D20
78.79212,2,,,b0,D20
78.79212,3,,,b0,D20
78.79212,5,,,b0,D20
78.79212,4,3-4,,,
79.29207,4,lp4,,,
79.39206,5,w4,,,
79.39206,3,w4,,,
79.39206,2,w4,,,
79.39206,1,w1,,,
79.75869,4,sp4-1,,,
80.3253,4,1-2,,,
80.69193,2,4-1,,,
80.92524,4,lp2,,,
81.05856,1,1-2,,,
81.39186,3,4-1,,,
81.62517,2,w1,,,
81.75849,5,4-1,,,
81.9918,1,w2,,,
82.09179,MOT_control_all,cam10,,
82.29177,1,2-3,,,
82.29177,2,1-2,,,
82.29177,3,1-2,,,
82.29177,4,,,b0,D20
82.29177,5,,,f1,L0
82.69172999999999,5,w1,,,
82.75838999999999,5,lp1,,,
83.22501,3,w2,,,
83.22501,2,w2,,,
83.22501,1,w3,,,
83.25833999999999,1,3-4,,,
83.25833999999999,2,2-3,,,
83.25833999999999,3,2-3,,,
83.25833999999999,4,2-3,,,
83.25833999999999,5,sp1-2,,,
83.82495,1,4-1,,,
83.82495,2,3-4,,,
83.82495,3,3-4,,,
83.82495,4,3-4,,,
84.05825999999999,5,2-3,,,
84.55821,5,lp3,,,
84.75819,4,w4,,,
84.75819,3,w4,,,
84.75819,2,w4,,,
84.75819,1,w1,,,
85.02483,4,4-1,,,
85.15814999999999,2,4-1,,,
85.29146999999999,1,1-2,,,
85.42479,3,4-1,,,
85.55811,5,j3-4,,,
85.95806999999999,4,w1,,,
86.09138999999999,2,w1,,,
86.22471,1,w2,,,
86.29137,1,2-3,,,
86.29137,2,1-2,,,
86.29137,3,1-2,,,
86.29137,4,1-2,,,
86.29137,5,4-1,,,
86.82464999999999,1,,,f1,L0
86.82464999999999,2,,,f1,L0
86.82464999999999,3,,,f1,L0
86.82464999999999,4,,,f1,L0
87.22461,5,w1,,,
87.22461,4,w2,,,
87.22461,3,w2,,,
87.22461,2,w2,,,
87.22461,1,w3,,,
87.45792,MOT_control_all,cam11,,
87.52458,1,sj3,,,
87.52458,2,,r1,,
87.52458,3,,l1,,
87.52458,4,,r1,,
87.52458,5,,l1,,
88.02453,1,w3,,,
88.22451,1,3-4,,,
88.22451,2,2-3,,,
88.22451,3,2-3,,,
88.22451,4,2-3,,,
88.22451,5,1-2,,,
88.95777,1,sp4-1,,,
88.95777,2,sp3-4,,,
88.95777,3,sp3-4,,,
88.95777,4,sp3-4,,,
88.95777,5,sp2-3,,,
89.65769999999999,1,j1-2,,,
89.65769999999999,2,j4-1,,,
89.65769999999999,3,j4-1,,,
89.65769999999999,4,j4-1,,,
89.65769999999999,5,j3-4,,,
90.12432,1,,,b0,D20
90.12432,4,,,b0,D20
90.12432,3,,,b0,D20
90.12432,5,,,b0,D20
90.12432,2,1-2,,,
90.62427,2,lp2,,,
90.72426,5,w4,,,
90.72426,4,w1,,,
90.72426,3,w1,,,
90.72426,1,w2,,,
91.09089,2,sp2-3,,,
91.6575,2,3-4,,,
92.02413,4,1-2,,,
92.25744,2,lp4,,,
92.39076,1,2-3,,,
92.72406,3,1-2,,,
92.95737,4,w2,,,
93.09069,5,4-1,,,
93.25734,MOT_control_all,cam12,,
93.324,1,w3,,,
93.62397,1,3-4,,,
93.62397,4,2-3,,,
93.62397,5,1-2,,,
93.62397,2,w4,,b0,D20
93.62397,3,,,f1,L0
93.65729999999999,3,w2,,,
94.22390999999999,1,4-1,,,
94.22390999999999,2,4-1,,,
94.22390999999999,4,3-4,,,
94.22390999999999,5,2-3,,,
94.89050999999999,3,2-3,,,
95.15715,5,w3,,,
95.15715,4,w4,,,
95.15715,2,w1,,,
95.15715,1,w1,,,
95.42379,1,1-2,,,
95.42379,2,1-2,,,
95.42379,4,4-1,,,
95.42379,5,3-4,,,
95.82374999999999,3,3-4,,,
96.02373,1,sj2,,,
96.02373,2,sj2,,,
96.02373,4,sj1,,,
96.02373,5,sj4,,,
96.49034999999999,5,4-1,,,
96.52368,4,w1,,,
96.52368,2,w2,,,
96.52368,1,w2,,,
96.62366999999999,3,4-1,,,
96.75699,1,2-3,,,
96.89031,2,2-3,,,
97.02363,4,1-2,,,
97.02363,3,lp1,,,
97.42358999999999,5,w1,,,
97.55691,1,sp3-4,,,
97.55691,2,sp3-4,,,
97.55691,3,sp1-2,,,
97.55691,4,sp2-3,,,
97.55691,5,sp1-2,,,
98.29016999999999,1,4-1,,,
98.29016999999999,2,4-1,,,
98.29016999999999,3,2-3,,,
98.29016999999999,4,3-4,,,
98.29016999999999,5,2-3,,,
98.9901,1,sj1,,,
98.9901,2,sj1,,,
98.9901,3,sj3,,,
98.9901,4,sj4,,,
98.9901,5,sj3,,,
99.09008999999999,MOT_control_all,cam13,,
99.32339999999999,3,,,b0,D20
99.32339999999999,1,,,f1,L0
99.49005,5,w3,,,
99.49005,4,w4,,,
99.49005,3,w3,,,
99.49005,2,w1,,,
99.49005,1,w1,,,
100.02333,1,1-2,,,
100.72326,3,3-4,,,
100.72326,2,1-2,,,
100.72326,4,4-1,,,
100.72326,5,3-4,,,
100.72326,1,lp2,,,
101.42318999999999,1,sp2-3,,,
101.6565,5,w4,,,
101.6565,4,w1,,,
101.6565,3,w4,,,
101.6565,2,w2,,,
101.82315,1,3-4,,,
102.18978,4,1-2,,,
102.3231,2,2-3,,,
102.42309,MOT_control_all,cam14,,
102.45642,1,4-1,,,
102.58973999999999,3,4-1,,,
102.72305999999999,5,4-1,,,
103.12302,4,w2,,,
103.25634,2,w3,,,
103.38965999999999,1,sj1,,,
103.38965999999999,2,sj3,,,
103.38965999999999,3,sj1,,,
103.38965999999999,4,sj2,,,
103.38965999999999,5,sj1,,,
103.88960999999999,5,w1,,,
103.88960999999999,4,w2,,,
103.88960999999999,3,w1,,,
103.88960999999999,2,w3,,,
103.88960999999999,1,w1,,,
103.9896,1,lp1,,,
103.9896,2,lp3,,f1,L0
103.9896,3,lp1,,f1,L0
103.9896,4,lp2,,f1,L0
103.9896,5,lp1,,f1,L0
104.15625,MOT_mc_special_03,confetti,,
105.12281999999999,1,sj1,,,
105.12281999999999,2,sj3,,,
105.12281999999999,3,sj1,,,
105.12281999999999,4,sj2,,,
105.12281999999999,5,sj1,,,
105.62276999999999,5,w1,,,
105.62276999999999,4,w2,,,
105.62276999999999,3,w1,,,
105.62276999999999,2,w3,,,
105.62276999999999,1,w1,,,
105.6561,1,j1-2,,,
105.6561,2,j3-4,,,
105.6561,3,j1-2,,,
105.6561,4,j2-3,,,
105.6561,5,j1-2,,,
106.72265999999999,5,w2,,,
106.72265999999999,4,w3,,,
106.72265999999999,3,w2,,,
106.72265999999999,2,w4,,,
106.72265999999999,1,w2,,,
107.68923,1,2-3,,,
107.68923,2,4-1,,,
107.68923,3,2-3,,,
107.68923,4,3-4,,,
107.68923,5,2-3,,,
108.32249999999999,1,3-4,,,
108.32249999999999,2,1-2,,,
108.32249999999999,3,3-4,,,
108.32249999999999,4,4-1,,,
108.32249999999999,5,3-4,,,
109.08909,1,4-1,,,
109.08909,2,2-3,,,
109.08909,3,4-1,,,
109.08909,4,1-2,,,
109.08909,5,4-1,,,
109.82235,1,sp1-2,,,
109.82235,2,sp3-4,,,
109.82235,3,sp1-2,,,
109.82235,4,sp2-3,,,
109.82235,5,sp1-2,,,
110.52228,1,2-3,,,
110.52228,2,4-1,,,
110.52228,3,2-3,,,
110.52228,4,3-4,,,
110.52228,5,2-3,,,
111.22220999999999,1,j3-4,,,
111.22220999999999,2,j1-2,,,
111.22220999999999,3,j3-4,,,
111.22220999999999,4,j4-1,,,
111.22220999999999,5,j3-4,,,
111.9888,1,lp4,,,
111.9888,2,lp2,,,
111.9888,3,lp4,,,
111.9888,4,lp1,,,
111.9888,5,lp4,,,
113.85528,MOT_mc_special_03,confetti_end,,
114.05525999999999,5,4-1,,,
114.05525999999999,4,1-2,,,
114.55520999999999,2,2-3,,,
114.55520999999999,3,4-1,,,
114.88851,1,4-1,,,
114.9885,5,w1,,,
114.9885,4,w2,,,
115.28846999999999,1,1-2,,,
115.28846999999999,2,3-4,,,
115.28846999999999,3,1-2,,,
115.28846999999999,4,2-3,,,
115.28846999999999,5,1-2,,,
115.75509,1,2-3,,,
115.75509,2,4-1,,,
115.75509,3,2-3,,,
115.75509,4,3-4,,,
115.75509,5,2-3,,,
116.32169999999999,1,3-4,,,
116.32169999999999,2,1-2,,,
116.32169999999999,3,3-4,,,
116.32169999999999,4,4-1,,,
116.32169999999999,5,3-4,,,
116.85498,1,hj4,,,
116.85498,2,hj2,,,
116.85498,3,hj4,,,
116.85498,4,hj1,,,
116.85498,5,hj4,,,
117.82154999999999,1,4-1,,,
117.82154999999999,2,2-3,,,
117.82154999999999,3,4-1,,,
117.82154999999999,4,1-2,,,
117.82154999999999,5,4-1,,,
118.42148999999999,4,2-3,,,
118.55480999999999,2,3-4,,,
118.68813,1,1-2,,,
118.75479,5,w1,,,
118.75479,3,w1,,,
118.82145,3,1-2,,,
118.95477,5,1-2,,,
119.35472999999999,4,w3,,,
119.48805,2,w4,,,
119.62137,1,w2,,,
119.75469,3,w2,,,
119.88801,5,w2,,,
123.48764999999999,MOT_mc_special_02,heart_fall_end,,
