0.03333,MOT_control_all,tori_zoom1,,
0.03333,MOT_all,tori_cut1,,
0.03333,MOT_mc_bg_black_00,b80,,
0.03333,MOT_mc_light_center_00,off,,
17.29827,2,w4,,,
17.29827,1,w3,,,
17.6649,2,j4-1,,,
17.6649,3,j4-1,,,
18.13152,1,j3-4,,,
18.29817,5,w1,,,
18.29817,4,w1,,,
18.69813,1,j4-1,,,
18.69813,2,j1-2,,,
18.69813,3,j1-2,,,
18.69813,4,j1-2,,,
18.69813,5,j1-2,,,
19.13142,1,1-2,,,
19.13142,2,2-3,,,
19.13142,3,2-3,,,
19.13142,4,2-3,,,
19.13142,5,2-3,,,
19.29807,MOT_mc_light_center_00,off-on-off,,
19.46472,MOT_mc_stage_color_00,r-flash,,
19.564709999999998,1,lp2,,,
20.06466,5,w3,,,
20.06466,4,w3,,,
20.06466,3,w3,,,
20.06466,2,w3,,,
21.16455,1,2-3,,,
21.6645,1,3-4,,,
22.06446,1,j4-1,,,
22.431089999999998,1,lp1,,,
23.19768,1,1-2,,,
23.53098,2,3-4,,,
23.53098,3,3-4,,,
23.53098,1,lp2,,,
23.96427,4,3-4,,,
23.96427,5,3-4,,,
23.96427,1,2-3,,,
24.29757,1,lp3,,,
24.29757,2,lp4,,,
24.29757,3,lp4,,,
24.29757,4,lp4,,,
24.29757,5,lp4,,,
25.96407,1,3-4,,,
25.96407,2,4-1,,,
25.96407,3,4-1,,,
25.96407,4,4-1,,,
25.96407,5,4-1,,,
26.3307,1,4-1,,,
26.697329999999997,1,lp1,,,
26.897309999999997,5,w1,,,
26.897309999999997,4,w1,,,
26.897309999999997,3,w1,,,
26.897309999999997,2,w1,,,
27.19728,1,j1-2,,,
27.59724,1,lp2,,,
28.19718,1,2-3,,,
28.56381,1,lp3,,,
29.76369,1,3-4,,,
29.76369,2,1-2,,,
29.76369,3,1-2,,,
29.76369,4,1-2,,,
29.76369,5,1-2,,,
30.096989999999998,1,4-1,,,
30.096989999999998,2,2-3,,,
30.096989999999998,3,2-3,,,
30.096989999999998,4,2-3,,,
30.096989999999998,5,2-3,,,
30.49695,1,sj1,,,
30.49695,2,sj3,,,
30.49695,3,sj3,,,
30.49695,4,sj3,,,
30.49695,5,sj3,,,
30.89691,2,lp3,,,
30.89691,3,lp3,,,
30.89691,4,lp3,,,
30.89691,5,lp3,,,
30.89691,1,sp1-2,,,
32.49675,1,2-3,,,
32.49675,2,3-4,,,
32.49675,3,3-4,,,
32.49675,4,3-4,,,
32.49675,5,3-4,,,
32.86338,1,sj3,,,
32.86338,2,sj4,,,
32.86338,3,sj4,,,
32.86338,4,sj4,,,
32.86338,5,sj4,,,
33.23001,1,lp3,,,
33.23001,2,lp4,,,
33.23001,3,lp4,,,
33.23001,4,lp4,,,
33.23001,5,lp4,,,
34.46322,1,j3-4,,,
34.46322,2,j4-1,,,
34.46322,3,j4-1,,,
34.46322,4,j4-1,,,
34.46322,5,j4-1,,,
35.16315,1,sp4-1,,,
35.16315,2,sp1-2,,,
35.16315,3,sp1-2,,,
35.16315,4,sp1-2,,,
35.16315,5,sp1-2,,,
36.9963,1,j1-2,,,
36.9963,2,j2-3,,,
36.9963,3,j2-3,,,
36.9963,4,j2-3,,,
36.9963,5,j2-3,,,
37.096289999999996,MOT_mc_stage_color_00,r-flash,,
37.46292,1,lp2,,,
37.46292,2,lp3,,,
37.46292,3,lp3,,,
37.46292,4,lp3,,,
37.46292,5,lp3,,,
38.92944,1,2-3,,,
38.92944,2,3-4,,,
38.92944,3,3-4,,,
38.92944,4,3-4,,,
38.92944,5,3-4,,,
39.42939,MOT_control_all,tori_zoom2,,
39.6627,MOT_mc_bg_black_00,b80-65,,
39.69603,MOT_all,tori_cut2,,
39.76269,1,j3-4,,,
39.76269,2,j4-1,,,
39.76269,3,j4-1,,,
39.76269,4,j4-1,,,
39.76269,5,j4-1,,,
39.962669999999996,MOT_mc_light_center_00,tate,,
39.962669999999996,2,,,,L40
39.962669999999996,3,,,,L40
39.962669999999996,4,,,,L40
39.962669999999996,5,,,,L40
39.995999999999995,MOT_mc_stage_color_00,b-flash,,
40.12932,1,lp4,,,
40.829249999999995,5,w1,,,
40.829249999999995,4,w1,,,
40.829249999999995,3,w1,,,
40.829249999999995,2,w1,,,
40.96257,1,4-1,,,
41.42919,1,j1-2,,,
41.86248,1,2-3,,,
42.22911,1,lp3,,,
42.89571,1,,r1,,
43.46232,1,3-4,,,
43.46232,1,,r2,,
43.86228,1,4-1,,,
44.26224,1,j1-2,,,
44.62887,1,lp2,,,
45.72876,1,2-3,,,
46.16205,1,j3-4,,,
46.16205,2,j1-2,,,
46.16205,3,j1-2,,,
46.16205,4,j1-2,,,
46.16205,5,j1-2,,,
46.495349999999995,1,lp4,,,
47.228609999999996,5,w2,,,
47.228609999999996,4,w2,,,
47.228609999999996,3,w2,,,
47.228609999999996,2,w2,,,
47.82855,2,2-3,,,
47.82855,3,2-3,,,
47.82855,4,2-3,,,
47.82855,5,2-3,,,
47.82855,1,j4-1,,,
48.72846,1,j1-2,,,
48.72846,2,j3-4,,,
48.72846,3,j3-4,,,
48.72846,4,j3-4,,,
48.72846,5,j3-4,,,
49.16175,1,2-3,,,
49.16175,2,4-1,,,
49.16175,3,4-1,,,
49.16175,4,4-1,,,
49.16175,5,4-1,,,
49.56171,1,j3-4,,,
49.995,1,4-1,,,
50.094989999999996,5,w1,,,
50.094989999999996,4,w1,,,
50.094989999999996,3,w1,,,
50.094989999999996,2,w1,,,
50.36163,1,lp1,,,
50.79492,1,1-2,r3,,
51.22821,1,2-3,rb2,,
51.694829999999996,2,1-2,,,
51.694829999999996,3,1-2,,,
51.694829999999996,4,1-2,,,
51.694829999999996,5,1-2,,,
51.761489999999995,1,,rb1,,
52.161449999999995,1,3-4,rb0,,
52.62807,5,w2,,,
52.62807,4,w2,,,
52.62807,3,w2,,,
52.62807,2,w2,,,
52.6614,1,j4-1,,,
52.6614,2,j2-3,,,
52.6614,3,j2-3,,,
52.6614,4,j2-3,,,
52.6614,5,j2-3,,,
53.62797,1,1-2,,,
53.727959999999996,5,w3,,,
53.727959999999996,4,w3,,,
53.727959999999996,3,w3,,,
53.727959999999996,2,w3,,,
53.9946,1,j2-3,,,
54.42789,1,j3-4,,,
54.42789,2,j3-4,,,
54.42789,3,j3-4,,,
54.42789,4,j3-4,,,
54.42789,5,j3-4,,,
54.79452,1,lp4,,,
55.427789999999995,2,j4-1,,,
55.427789999999995,3,j4-1,,,
55.427789999999995,4,j4-1,,,
55.427789999999995,5,j4-1,,,
55.427789999999995,1,sj4,,,
55.727759999999996,MOT_mc_light_center_00,yoko_loop,,
55.761089999999996,MOT_mc_stage_color_00,b-y,,
55.761089999999996,1,lp4,,,
56.49435,5,w1,,,
56.49435,4,w1,,,
56.49435,3,w1,,,
56.49435,2,w1,,,
56.69433,1,,l1,,
57.16095,1,,l2,,
57.59424,1,4-1,,,
57.59424,2,1-2,,,
57.59424,3,1-2,,,
57.59424,4,1-2,,,
57.59424,5,1-2,,,
57.96087,1,lp1,,,
58.52748,5,w2,,,
58.52748,4,w2,,,
58.52748,3,w2,,,
58.52748,2,w2,,,
58.660799999999995,1,1-2,,b-1,
59.094089999999994,1,,,f0,
59.56071,1,2-3,,,
59.56071,2,2-3,,,
59.56071,3,2-3,,,
59.56071,4,2-3,,,
59.56071,5,2-3,,,
59.927339999999994,1,j3-4,,,
60.293969999999995,1,lp4,,,
60.49395,5,w3,,,
60.49395,4,w3,,,
60.49395,3,w3,,,
60.49395,2,w3,,,
61.460519999999995,1,4-1,,,
61.893809999999995,1,1-2,,,
61.893809999999995,1,,lb1,,
62.360429999999994,1,lp2,,,
63.493649999999995,1,2-3,,,
63.493649999999995,2,3-4,,,
63.493649999999995,3,3-4,,,
63.493649999999995,4,3-4,,,
63.493649999999995,5,3-4,,,
64.39356,1,j3-4,,,
64.42689,5,w4,,,
64.42689,4,w4,,,
64.42689,3,w4,,,
64.42689,2,w4,,,
64.9935,1,j4-1,,,
65.6601,1,1-2,,,
66.02673,1,lp2,,,
66.46002,1,2-3,l2,,
66.89331,1,,lb1,,
67.39326,1,w3,,,
67.42658999999999,1,j3-4,,,
67.42658999999999,2,j4-1,,,
67.42658999999999,3,j4-1,,,
67.42658999999999,4,j4-1,,,
67.42658999999999,5,j4-1,,,
67.82655,1,sj4,,,
68.3265,1,w4,,,
68.3265,2,1-2,,,
68.3265,3,1-2,,,
68.3265,4,1-2,,,
68.3265,5,1-2,,,
68.3265,1,4-1,lb0,,
68.72646,1,lp1,,,
69.25974,5,w2,,,
69.25974,4,w2,,,
69.25974,3,w2,,,
69.25974,2,w2,,,
69.62637,MOT_control_all,tori_zoom3,,
69.75968999999999,1,1-2,,,
69.95967,MOT_all,tori_cut3,,
70.05966,MOT_mc_bg_black_00,b65-80,,
70.19297999999999,1,j2-3,,,
70.19297999999999,2,j2-3,,,
70.19297999999999,3,j2-3,,,
70.19297999999999,4,j2-3,,,
70.19297999999999,5,j2-3,,,
70.49295,MOT_mc_light_center_00,nomal,,
70.49295,MOT_mc_light_up_00,l2,,
70.49295,2,,,,D60
70.49295,3,,,,D60
70.49295,4,,,,D60
70.49295,5,,,,D60
70.49295,1,,,,D20
70.52628,MOT_mc_stage_color_00,r-flash,,
70.62626999999999,1,lp3,,,
70.62626999999999,2,lp3,,,
70.62626999999999,3,lp3,,,
70.62626999999999,4,lp3,,,
70.62626999999999,5,lp3,,,
72.62607,1,3-4,,,
73.12602,1,4-1,,,
73.59264,1,sj1,,,
74.09259,1,j1-2,,,
74.55921,1,lp2,,,
77.25894,1,,r1,,
77.79222,1,,r2,,
78.22551,1,2-3,,,
78.22551,2,3-4,,,
78.22551,3,3-4,,,
78.22551,4,3-4,,,
78.22551,5,3-4,,,
78.55881,1,lp3,,,
79.15875,5,w4,,,
79.15875,4,w4,,,
79.15875,3,w4,,,
79.15875,2,w4,,,
80.22531,1,,rb1,,
80.72525999999999,1,,rb0,,
81.12522,1,3-4,,,
81.12522,2,4-1,,,
81.12522,3,4-1,,,
81.12522,4,4-1,,,
81.12522,5,4-1,,,
81.55851,1,4-1,,,
82.02512999999999,1,j1-2,,,
82.05846,5,w1,,,
82.05846,4,w1,,,
82.05846,3,w1,,,
82.05846,2,w1,,,
82.49175,1,lp2,,,
83.55830999999999,1,2-3,,,
83.92493999999999,1,sj3,,,
84.35822999999999,1,lp3,,,
85.39146,1,3-4,,,
85.82475,1,j4-1,,,
85.82475,2,j1-2,,,
85.82475,3,j1-2,,,
85.82475,4,j1-2,,,
85.82475,5,j1-2,,,
86.25804,1,lp1,,,
86.25804,2,lp2,,,
86.25804,3,lp2,,,
86.25804,4,lp2,,,
86.25804,5,lp2,,,
88.25784,1,1-2,,,
88.75779,1,2-3,,,
89.22440999999999,1,sj3,,,
89.72435999999999,1,j3-4,,,
90.19098,1,lp4,,,
92.52408,1,4-1,,,
92.99069999999999,1,j1-2,,,
93.35732999999999,1,lp2,,,
93.85728,1,2-3,,,
93.85728,2,2-3,,,
93.85728,3,2-3,,,
93.85728,4,2-3,,,
93.85728,5,2-3,,,
94.29057,1,3-4,,,
94.29057,2,3-4,,,
94.29057,3,3-4,,,
94.29057,4,3-4,,,
94.29057,5,3-4,,,
94.75719,1,4-1,,,
94.75719,2,4-1,,,
94.75719,3,4-1,,,
94.75719,4,4-1,,,
94.75719,5,4-1,,,
95.15715,1,lp1,,,
95.15715,2,lp1,,,
95.15715,3,lp1,,,
95.15715,4,lp1,,,
95.15715,5,lp1,,,
96.75699,1,1-2,,,
96.75699,2,1-2,,,
96.75699,3,1-2,,,
96.75699,4,1-2,,,
96.75699,5,1-2,,,
97.25694,1,j2-3,,,
97.69023,5,w2,,,
97.69023,4,w2,,,
97.69023,3,w2,,,
97.69023,2,w2,,,
97.69023,1,sj3,,,
98.12352,1,lp3,,,
98.62347,1,3-4,,,
98.95676999999999,1,4-1,,,
99.29007,1,hj1,,,
99.69003,MOT_mc_light_center_00,on-off_q,,
99.72336,2,,,,D80
99.72336,3,,,,D80
99.72336,4,,,,D80
99.72336,5,,,,D80
99.72336,1,,,,D40
99.75668999999999,MOT_mc_stage_color_00,y-flash,,
100.32329999999999,1,1-2,,,
100.32329999999999,2,2-3,,,
100.32329999999999,3,2-3,,,
100.32329999999999,4,2-3,,,
100.32329999999999,5,2-3,,,
100.68992999999999,1,lp2,,,
101.25654,5,w3,,,
101.25654,4,w3,,,
101.25654,3,w3,,,
101.25654,2,w3,,,
101.28987,1,2-3,,,
101.52318,MOT_control_all,tori_zoom4,,
101.6565,1,3-4,,,
101.6565,2,3-4,,,
101.6565,3,3-4,,,
101.6565,4,3-4,,,
101.6565,5,3-4,,,
101.6565,1,,r1,,
101.6565,2,,r1,,
101.6565,3,,r1,,
101.6565,4,,r1,,
101.6565,5,,r1,,
101.68983,MOT_all,tori_cut4,,
101.75649,2,,,,L60
101.75649,3,,,,L60
101.75649,4,,,,L60
101.75649,5,,,,L60
101.75649,1,,,,L20
101.82315,MOT_mc_bg_black_00,b80-45,,
101.82315,MOT_mc_stage_color_00,b-flash,,
101.82315,MOT_mc_light_center_00,kougo,,
101.82315,MOT_mc_light_up_00,l3,,
101.88981,2,,,,L40
101.88981,3,,,,L40
101.88981,4,,,,L40
101.88981,5,,,,L40
101.88981,1,,,,L0
102.02313,2,,,,L20
102.02313,3,,,,L20
102.02313,4,,,,L20
102.02313,5,,,,L20
102.05646,1,lp4,,,
102.05646,2,lp4,,,
102.05646,3,lp4,,,
102.05646,4,lp4,,,
102.05646,5,lp4,,,
102.62307,1,4-1,,,
102.62307,2,4-1,,,
102.62307,3,4-1,,,
102.62307,4,4-1,,,
102.62307,5,4-1,,,
102.62307,1,,rb0,,
102.62307,2,,rb0,,
102.62307,3,,rb0,,
102.62307,4,,rb0,,
102.62307,5,,rb0,,
102.9897,1,lp1,,,
103.55631,5,w1,,,
103.55631,4,w1,,,
103.55631,3,w1,,,
103.55631,2,w1,,,
104.08959,1,1-2,,,
104.08959,2,1-2,,,
104.08959,3,1-2,,,
104.08959,4,1-2,,,
104.08959,5,1-2,,,
104.58954,1,2-3,,,
105.02283,5,w2,,,
105.02283,4,w2,,,
105.02283,3,w2,,,
105.02283,2,w2,,,
105.08949,1,sj3,,,
105.55610999999999,1,j3-4,,,
105.55610999999999,2,j2-3,,,
105.55610999999999,3,j2-3,,,
105.55610999999999,4,j2-3,,,
105.55610999999999,5,j2-3,,,
105.92273999999999,1,lp4,,,
105.92273999999999,2,lp3,,,
105.92273999999999,3,lp3,,,
105.92273999999999,4,lp3,,,
105.92273999999999,5,lp3,,,
108.18918,1,4-1,,,
108.18918,2,3-4,,,
108.18918,3,3-4,,,
108.18918,4,3-4,,,
108.18918,5,3-4,,,
108.58914,1,1-2,,,
108.95577,1,lp2,,,
109.12241999999999,5,w4,,,
109.12241999999999,4,w4,,,
109.12241999999999,3,w4,,,
109.12241999999999,2,w4,,,
109.58904,1,2-3,l1,,
109.58904,2,4-1,l1,,
109.58904,3,4-1,l1,,
109.58904,4,4-1,l1,,
109.58904,5,4-1,l1,,
110.05565999999999,1,sj3,,,
110.52228,5,w1,,,
110.52228,4,w1,,,
110.52228,3,w1,,,
110.52228,2,w1,,,
110.52228,1,3-4,lb0,,
110.52228,2,1-2,lb0,,
110.52228,3,1-2,lb0,,
110.52228,4,1-2,lb0,,
110.52228,5,1-2,lb0,,
110.82225,1,lp4,,,
111.45551999999999,5,w2,,,
111.45551999999999,4,w2,,,
111.45551999999999,3,w2,,,
111.45551999999999,2,w2,,,
111.9888,1,4-1,,,
111.9888,2,2-3,,,
111.9888,3,2-3,,,
111.9888,4,2-3,,,
111.9888,5,2-3,,,
112.42209,1,sj1,,,
112.42209,2,sj3,,,
112.42209,3,sj3,,,
112.42209,4,sj3,,,
112.42209,5,sj3,,,
112.78872,1,lp1,,,
112.78872,2,lp3,,,
112.78872,3,lp3,,,
112.78872,4,lp3,,,
112.78872,5,lp3,,,
113.35533,1,sp1-2,,,
113.35533,2,sp3-4,,,
113.35533,3,sp3-4,,,
113.35533,4,sp3-4,,,
113.35533,5,sp3-4,,,
114.3219,1,j2-3,,,
114.3219,2,j4-1,,,
114.3219,3,j4-1,,,
114.3219,4,j4-1,,,
114.3219,5,j4-1,,,
115.3218,4,j1-2,,,
115.3218,5,j1-2,,,
115.38846,3,w1,,,
115.38846,2,w1,,,
115.38846,1,w3,,,
115.48845,MOT_mc_light_center_00,tate,,
115.75509,2,j1-2,,,
115.75509,3,j1-2,,,
116.05506,MOT_mc_light_center_00,yoko,,
116.18838,1,j3-4,,,
116.38835999999999,5,w2,,,
116.38835999999999,4,w2,,,
116.58833999999999,MOT_mc_light_center_00,nomal,,
116.62167,1,j4-1,,,
116.68833,2,j2-3,,,
116.68833,3,j2-3,,,
116.75498999999999,4,j2-3,,,
116.75498999999999,5,j2-3,,,
117.45492,MOT_mc_light_center_00,kougo,,
117.45492,1,1-2,,,
117.45492,2,3-4,,,
117.45492,3,3-4,,,
117.45492,4,3-4,,,
117.45492,5,3-4,,,
117.6549,MOT_mc_bg_black_00,b80-45,,
117.6549,MOT_mc_stage_color_00,r-flash,,
117.78822,1,lp2,,,
118.38816,5,w4,,,
118.38816,4,w4,,,
118.38816,3,w4,,,
118.38816,2,w4,,,
118.78811999999999,1,2-3,,,
118.78811999999999,2,4-1,,,
118.78811999999999,3,4-1,,,
118.78811999999999,4,4-1,,,
118.78811999999999,5,4-1,,,
119.3214,1,j3-4,,,
119.3214,2,j1-2,,,
119.3214,3,j1-2,,,
119.3214,4,j1-2,,,
119.3214,5,j1-2,,,
119.75469,1,4-1,,,
120.15464999999999,1,1-2,,,
120.15464999999999,2,2-3,,,
120.15464999999999,3,2-3,,,
120.15464999999999,4,2-3,,,
120.15464999999999,5,2-3,,,
120.52127999999999,1,lp2,,,
120.52127999999999,2,lp3,,,
120.52127999999999,3,lp3,,,
120.52127999999999,4,lp3,,,
120.52127999999999,5,lp3,,,
121.18787999999999,5,j3-4,,,
121.25453999999999,3,j3-4,,,
121.32119999999999,1,j2-3,,,
121.38785999999999,2,j3-4,,,
121.45451999999999,4,j3-4,,,
121.72116,1,lp3,,,
121.72116,2,lp4,,,
121.72116,3,lp4,,,
121.72116,4,lp4,,,
121.72116,5,lp4,,,
122.22111,5,j4-1,,,
122.28777,3,j4-1,,,
122.35443,1,j3-4,,,
122.42108999999999,2,j4-1,,,
122.48774999999999,4,j4-1,,,
122.75439,1,lp4,,,
122.75439,2,lp1,,,
122.75439,3,lp1,,,
122.75439,4,lp1,,,
122.75439,5,lp1,,,
124.28756999999999,1,4-1,,,
124.28756999999999,2,1-2,,,
124.28756999999999,3,1-2,,,
124.28756999999999,4,1-2,,,
124.28756999999999,5,1-2,,,
124.65419999999999,1,lp1,,,
125.15415,1,j1-2,,,
125.22081,5,w2,,,
125.22081,4,w2,,,
125.22081,3,w2,,,
125.22081,2,w2,,,
125.55411,1,lp2,,,
126.15405,1,2-3,,,
126.52068,1,lp3,,,
127.18728,1,3-4,,,
127.18728,2,2-3,,,
127.18728,3,2-3,,,
127.18728,4,2-3,,,
127.18728,5,2-3,,,
127.48724999999999,MOT_control_all,tori_zoom5,,
127.62057,1,j4-1,,,
127.62057,2,j3-4,,,
127.62057,3,j3-4,,,
127.62057,4,j3-4,,,
127.62057,5,j3-4,,,
128.05386,1,1-2,,,
128.05386,2,4-1,,,
128.05386,3,4-1,,,
128.05386,4,4-1,,,
128.05386,5,4-1,,,
128.45382,1,sj2,,,
128.45382,2,sj1,,,
128.45382,3,sj1,,,
128.45382,4,sj1,,,
128.45382,5,sj1,,,
128.82045,1,sj2,,,
128.82045,2,sj1,,,
128.82045,3,sj1,,,
128.82045,4,sj1,,,
128.82045,5,sj1,,,
129.15375,1,j2-3,,,
129.25374,2,lp1,,,
129.25374,3,lp1,,,
129.25374,4,lp1,,,
129.25374,5,lp1,,,
129.52038,1,sp3-4,,,
130.65359999999998,1,4-1,,,
130.65359999999998,2,1-2,,,
130.65359999999998,3,1-2,,,
130.65359999999998,4,1-2,,,
130.65359999999998,5,1-2,,,
131.02023,1,sj1,,,
131.02023,2,sj2,,,
131.02023,3,sj2,,,
131.02023,4,sj2,,,
131.02023,5,sj2,,,
131.45352,1,1-2,,,
131.45352,2,2-3,,,
131.45352,3,2-3,,,
131.45352,4,2-3,,,
131.45352,5,2-3,,,
131.9868,1,2-3,,,
131.9868,2,3-4,,,
131.9868,3,3-4,,,
131.9868,4,3-4,,,
131.9868,5,3-4,,,
132.58674,1,j3-4,,,
132.58674,2,j4-1,,,
132.58674,3,j4-1,,,
132.58674,4,j4-1,,,
132.58674,5,j4-1,,,
133.38666,1,sp4-1,,,
133.38666,2,sp1-2,,,
133.38666,3,sp1-2,,,
133.38666,4,sp1-2,,,
133.38666,5,sp1-2,,,
134.81985,1,hj1,,,
134.81985,2,hj2,,,
134.81985,3,hj2,,,
134.81985,4,hj2,,,
134.81985,5,hj2,,,
135.48645,1,lp1,,,
135.48645,2,lp2,,,
135.48645,3,lp2,,,
135.48645,4,lp2,,,
135.48645,5,lp2,,,
136.653,MOT_mc_bg_black_00,b45-80,,
136.9863,1,1-2,,,
136.9863,2,2-3,,,
136.9863,3,2-3,,,
136.9863,4,2-3,,,
136.9863,5,2-3,,,
137.18627999999998,MOT_mc_stage_color_00,b-flash,,
137.18627999999998,MOT_mc_light_up_00,l2,,
137.18627999999998,1,,,,D20
137.18627999999998,2,,,,D40
137.18627999999998,3,,,,D40
137.18627999999998,4,,,,D40
137.18627999999998,5,,,,D40
137.91953999999998,5,w3,,,
137.91953999999998,4,w3,,,
137.91953999999998,3,w3,,,
137.91953999999998,2,w3,,,
137.91953999999998,1,w2,,,
