0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_back_00,lt_1,,
1.9998,MOT_mc_stage_color_00,y-flash,,
1.9998,MOT_mc_light_center_00,lt_2,,
15.865079999999999,1,j3-4,,,
15.865079999999999,2,j3-4,,,
15.865079999999999,3,j3-4,,,
15.865079999999999,4,j3-4,,,
15.865079999999999,5,j3-4,,,
16.665,1,4-1,,,
16.665,2,4-1,,,
16.665,3,4-1,,,
16.665,4,4-1,,,
16.665,5,4-1,,,
17.06496,4,j1-2,,,
17.06496,5,j1-2,,,
17.06496,1,j1-2,,,
17.46492,2,j1-2,,,
17.46492,3,j1-2,,,
18.13152,5,w2,,,
18.13152,4,w2,,,
18.13152,1,w2,,,
18.23151,MOT_all,cut1,,
18.364829999999998,1,j2-3,,,
18.364829999999998,2,2-3,,,
18.364829999999998,3,2-3,,,
18.364829999999998,4,2-3,,,
18.364829999999998,5,2-3,,,
18.39816,1,,,,L0
18.39816,2,,,,D40
18.39816,3,,,,D40
18.39816,4,,,,D40
18.39816,5,,,,D40
18.39816,MOT_control_all,zoom01,,
18.53148,MOT_mc_stage_color_00,r-flash,,
18.564809999999998,MOT_mc_back_00,lt_2,,
18.564809999999998,MOT_mc_light_center_00,lt_1,,
19.06476,1,3-4,,,
19.06476,2,3-4,,,
19.06476,3,3-4,,,
19.06476,4,3-4,,,
19.06476,5,3-4,,,
19.398059999999997,1,4-1,,,
19.398059999999997,2,4-1,,,
19.398059999999997,3,4-1,,,
19.398059999999997,4,4-1,,,
19.398059999999997,5,4-1,,,
19.86468,1,1-2,,,
19.86468,4,1-2,,,
19.86468,5,1-2,,,
20.03133,2,1-2,,,
20.03133,3,1-2,,,
20.36463,1,2-3,,,
20.36463,2,2-3,,,
20.36463,3,2-3,,,
20.36463,4,2-3,,,
20.36463,5,2-3,,,
20.6646,1,sj3,,,
20.6646,2,sj3,,,
20.6646,3,sj3,,,
20.6646,4,sj3,,,
20.6646,5,sj3,,,
21.16455,5,w3,,,
21.16455,4,w3,,,
21.16455,3,w3,,,
21.16455,2,w3,,,
21.16455,1,3-4,,,
21.16455,2,3-4,,,
21.16455,3,3-4,,,
21.16455,4,3-4,,,
21.16455,5,3-4,,,
21.49785,2,j4-1,,,
21.49785,3,j4-1,,,
21.6645,1,j4-1,,,
21.6645,4,j4-1,,,
21.6645,5,j4-1,,,
22.29777,1,j1-2,,,
22.29777,2,j1-2,,,
22.29777,3,j1-2,,,
22.29777,4,j1-2,,,
22.29777,5,j1-2,,,
22.431089999999998,MOT_mc_stage_color_00,b-flash,,
23.031029999999998,1,2-3,,,
23.031029999999998,4,2-3,,,
23.031029999999998,5,2-3,,,
23.19768,2,2-3,,,
23.19768,3,2-3,,,
23.53098,1,3-4,,,
23.53098,2,3-4,,,
23.53098,3,3-4,,,
23.53098,4,3-4,,,
23.53098,5,3-4,,,
23.864279999999997,1,4-1,,,
23.864279999999997,2,4-1,,,
23.864279999999997,3,4-1,,,
23.864279999999997,4,4-1,,,
23.864279999999997,5,4-1,,,
24.19758,1,j1-2,,,
24.19758,4,j1-2,,,
24.19758,5,j1-2,,,
24.464219999999997,2,j1-2,,,
24.464219999999997,3,j1-2,,,
25.030829999999998,1,2-3,,,
25.030829999999998,2,2-3,,,
25.030829999999998,3,2-3,,,
25.030829999999998,4,2-3,,,
25.030829999999998,5,2-3,,,
25.36413,1,j3-4,,,
25.36413,2,j3-4,,,
25.36413,3,j3-4,,,
25.36413,4,j3-4,,,
25.36413,5,j3-4,,,
25.864079999999998,1,4-1,,,
25.864079999999998,2,4-1,,,
25.864079999999998,3,4-1,,,
25.864079999999998,4,4-1,,,
25.864079999999998,5,4-1,,,
26.663999999999998,MOT_mc_stage_color_00,y-flash,,
26.663999999999998,1,1-2,,,
26.663999999999998,2,1-2,,,
26.663999999999998,3,1-2,,,
26.663999999999998,4,1-2,,,
26.663999999999998,5,1-2,,,
26.9973,1,2-3,,,
26.9973,2,2-3,,,
26.9973,3,2-3,,,
26.9973,4,2-3,,,
26.9973,5,2-3,,,
27.43059,1,j3-4,,,
27.43059,2,j3-4,,,
27.43059,3,j3-4,,,
27.43059,4,j3-4,,,
27.43059,5,j3-4,,,
27.930539999999997,1,4-1,,,
27.930539999999997,2,4-1,,,
27.930539999999997,3,4-1,,,
27.930539999999997,4,4-1,,,
27.930539999999997,5,4-1,,,
28.26384,1,1-2,,,
28.26384,2,1-2,,,
28.26384,3,1-2,,,
28.26384,4,1-2,,,
28.26384,5,1-2,,,
28.697129999999998,1,j2-3,,,
28.697129999999998,4,j2-3,,,
28.697129999999998,5,j2-3,,,
28.96377,2,j2-3,,,
28.96377,3,j2-3,,,
29.46372,1,j3-4,,,
29.46372,2,3-4,,,
29.46372,3,3-4,,,
29.46372,4,3-4,,,
29.46372,5,3-4,,,
29.963669999999997,1,4-1,,,
29.963669999999997,2,4-1,,,
29.963669999999997,3,4-1,,,
29.963669999999997,4,4-1,,,
29.963669999999997,5,4-1,,,
30.46362,1,j1-2,,,
30.46362,2,j1-2,,,
30.46362,3,j1-2,,,
30.46362,4,j1-2,,,
30.46362,5,j1-2,,,
30.9969,1,2-3,,,
30.9969,2,2-3,,,
30.9969,3,2-3,,,
30.9969,4,2-3,,,
30.9969,5,2-3,,,
31.330199999999998,2,3-4,,,
31.330199999999998,3,3-4,,,
31.43019,1,3-4,,,
31.43019,4,3-4,,,
31.43019,5,3-4,,,
31.83015,1,j4-1,,,
31.83015,4,j4-1,,,
31.83015,5,j4-1,,,
32.09679,2,j4-1,,,
32.09679,3,j4-1,,,
32.89671,5,w1,,,
32.89671,4,w1,,,
32.89671,1,w1,,,
32.96337,1,1-2,,,
32.96337,2,1-2,,,
32.96337,3,1-2,,,
32.96337,4,1-2,,,
32.96337,5,1-2,,,
33.59664,2,j2-3,,,
33.59664,3,j2-3,,,
33.896609999999995,5,w2,,,
33.896609999999995,4,w2,,,
33.896609999999995,1,w2,,,
33.92994,1,j2-3,,,
33.92994,4,j2-3,,,
33.92994,5,j2-3,,,
34.329899999999995,MOT_control_all,zoom01_2,,
34.49655,1,3-4,,,
34.49655,2,3-4,,,
34.49655,3,3-4,,,
34.49655,4,3-4,,,
34.49655,5,3-4,,,
34.52988,MOT_mc_stage_color_00,r-flash,,
35.063159999999996,1,j4-1,,,
35.063159999999996,2,j4-1,,,
35.063159999999996,3,j4-1,,,
35.063159999999996,4,j4-1,,,
35.063159999999996,5,j4-1,,,
35.56311,1,1-2,,,
35.56311,2,1-2,,,
35.56311,3,1-2,,,
35.56311,4,1-2,,,
35.56311,5,1-2,,,
35.896409999999996,1,2-3,,,
35.896409999999996,2,2-3,,,
35.896409999999996,3,2-3,,,
35.896409999999996,4,2-3,,,
35.896409999999996,5,2-3,,,
36.46302,1,j3-4,,,
36.46302,2,j3-4,,,
36.46302,3,j3-4,,,
36.46302,4,j3-4,,,
36.46302,5,j3-4,,,
36.96297,1,4-1,,,
36.96297,4,4-1,,,
36.96297,5,4-1,,,
37.06296,2,4-1,,,
37.06296,3,4-1,,,
37.39626,1,j1-2,,,
37.39626,4,j1-2,,,
37.39626,5,j1-2,,,
37.6629,2,j1-2,,,
37.6629,3,j1-2,,,
38.16285,1,2-3,,,
38.16285,2,2-3,,,
38.16285,3,2-3,,,
38.16285,4,2-3,,,
38.16285,5,2-3,,,
38.49615,1,3-4,,,
38.49615,2,3-4,,,
38.49615,3,3-4,,,
38.49615,4,3-4,,,
38.49615,5,3-4,,,
39.09609,1,4-1,,,
39.09609,2,4-1,,,
39.09609,3,4-1,,,
39.09609,4,4-1,,,
39.09609,5,4-1,,,
39.62937,1,j1-2,,,
39.62937,2,j1-2,,,
39.62937,3,j1-2,,,
39.62937,4,j1-2,,,
39.62937,5,j1-2,,,
40.12932,1,2-3,,,
40.12932,2,2-3,,,
40.12932,3,2-3,,,
40.12932,4,2-3,,,
40.12932,5,2-3,,,
40.62927,1,3-4,l1,,
40.62927,2,3-4,l1,,
40.62927,3,3-4,l1,,
40.62927,4,3-4,l1,,
40.62927,5,3-4,l1,,
40.96257,1,4-1,,,
40.96257,2,4-1,,,
40.96257,3,4-1,,,
40.96257,4,4-1,,,
40.96257,5,4-1,,,
41.29587,1,1-2,lb0,,
41.29587,2,1-2,lb0,,
41.29587,3,1-2,lb0,,
41.29587,4,1-2,lb0,,
41.29587,5,1-2,lb0,,
41.629169999999995,1,j2-3,,,
41.629169999999995,2,j2-3,,,
41.629169999999995,3,j2-3,,,
41.629169999999995,4,j2-3,,,
41.629169999999995,5,j2-3,,,
42.12912,1,3-4,,,
42.12912,2,3-4,,,
42.12912,3,3-4,,,
42.12912,4,3-4,,,
42.12912,5,3-4,,,
42.46242,1,j4-1,,,
42.46242,2,j4-1,,,
42.46242,3,j4-1,,,
42.46242,4,j4-1,,,
42.46242,5,j4-1,,,
43.162349999999996,1,1-2,,,
43.162349999999996,2,1-2,,,
43.162349999999996,3,1-2,,,
43.162349999999996,4,1-2,,,
43.162349999999996,5,1-2,,,
43.49565,1,2-3,,,
43.49565,2,2-3,,,
43.49565,3,2-3,,,
43.49565,4,2-3,,,
43.49565,5,2-3,,,
44.09559,1,j3-4,,,
44.09559,2,j3-4,,,
44.09559,3,j3-4,,,
44.09559,4,j3-4,,,
44.09559,5,j3-4,,,
44.56221,1,4-1,,,
44.56221,2,4-1,,,
44.56221,3,4-1,,,
44.56221,4,4-1,,,
44.56221,5,4-1,,,
44.895509999999994,1,j1-2,,,
44.895509999999994,2,j1-2,,,
44.895509999999994,3,j1-2,,,
44.895509999999994,4,j1-2,,,
44.895509999999994,5,j1-2,,,
45.628769999999996,1,j2-3,,,
45.628769999999996,4,j2-3,,,
45.628769999999996,5,j2-3,,,
45.79542,2,j2-3,,,
45.79542,3,j2-3,,,
46.29537,1,3-4,,,
46.29537,2,3-4,,,
46.29537,3,3-4,,,
46.29537,4,3-4,,,
46.29537,5,3-4,,,
46.62867,1,4-1,,,
46.62867,2,4-1,,,
46.62867,3,4-1,,,
46.62867,4,4-1,,,
46.62867,5,4-1,,,
47.16195,1,1-2,l1,,
47.16195,2,1-2,l1,,
47.16195,3,1-2,l1,,
47.16195,4,1-2,l1,,
47.16195,5,1-2,l1,,
47.49525,1,2-3,,,
47.49525,2,2-3,,,
47.49525,3,2-3,,,
47.49525,4,2-3,,,
47.49525,5,2-3,,,
47.82855,1,3-4,lb0,,
47.82855,2,3-4,lb0,,
47.82855,3,3-4,lb0,,
47.82855,4,3-4,lb0,,
47.82855,5,3-4,lb0,,
48.16185,1,4-1,,,
48.16185,2,4-1,,,
48.16185,3,4-1,,,
48.16185,4,4-1,,,
48.16185,5,4-1,,,
48.59514,1,j1-2,,,
48.59514,2,j1-2,,,
48.59514,3,j1-2,,,
48.59514,4,j1-2,,,
48.59514,5,j1-2,,,
49.661699999999996,5,w2,,,
49.661699999999996,4,w2,,,
49.661699999999996,3,w2,,,
49.661699999999996,2,w2,,,
49.661699999999996,1,w2,,,
50.02833,MOT_control_all,zoom01_3,,
50.3283,MOT_mc_back_00,lt_3,,
50.3283,MOT_mc_light_center_00,lt_3,,
50.3283,1,2-3,,,
50.3283,2,2-3,,,
50.3283,3,2-3,,,
50.3283,4,2-3,,,
50.3283,5,2-3,,,
50.6616,1,j3-4,,,
50.6616,2,j3-4,,,
50.6616,3,j3-4,,,
50.6616,4,j3-4,,,
50.6616,5,j3-4,,,
50.79492,MOT_mc_stage_color_00,b-flash,,
51.09489,4,4-1,,,
51.09489,5,4-1,,,
51.294869999999996,2,4-1,,,
51.294869999999996,3,4-1,,,
51.46152,1,j4-1,,,
51.9948,1,1-2,,,
51.9948,2,1-2,,,
51.9948,3,1-2,,,
51.9948,4,1-2,,,
51.9948,5,1-2,,,
52.82805,1,j2-3,,,
52.82805,2,j2-3,,,
52.82805,3,j2-3,,,
52.82805,4,j2-3,,,
52.82805,5,j2-3,,,
53.327999999999996,1,3-4,,,
53.49465,2,3-4,,,
53.49465,3,3-4,,,
53.6613,4,3-4,,,
53.6613,5,3-4,,,
54.194579999999995,1,j4-1,,,
54.3279,2,j4-1,,,
54.3279,3,j4-1,,,
54.46122,4,j4-1,,,
54.46122,5,j4-1,,,
54.86118,MOT_mc_stage_color_00,y-flash,,
54.86118,1,1-2,,,
54.86118,2,1-2,,,
54.86118,3,1-2,,,
54.86118,4,1-2,,,
54.86118,5,1-2,,,
55.19448,1,j2-3,,,
55.19448,2,j2-3,,,
55.19448,3,j2-3,,,
55.19448,4,j2-3,,,
55.19448,5,j2-3,,,
55.794419999999995,1,3-4,,,
55.794419999999995,2,3-4,,,
55.794419999999995,3,3-4,,,
55.794419999999995,4,3-4,,,
55.794419999999995,5,3-4,,,
56.261039999999994,4,j4-1,,,
56.261039999999994,5,j4-1,,,
56.261039999999994,1,j4-1,,,
56.46102,2,j4-1,,,
56.46102,3,j4-1,,,
56.994299999999996,1,1-2,,,
56.994299999999996,2,1-2,,,
56.994299999999996,3,1-2,,,
56.994299999999996,4,1-2,,,
56.994299999999996,5,1-2,,,
57.49425,1,j2-3,,,
57.49425,2,j2-3,,,
57.49425,3,j2-3,,,
57.49425,4,j2-3,,,
57.49425,5,j2-3,,,
58.39416,1,3-4,,,
58.39416,2,3-4,,,
58.39416,3,3-4,,,
58.39416,4,3-4,,,
58.39416,5,3-4,,,
58.72746,1,j4-1,,,
58.72746,2,j4-1,,,
58.72746,3,j4-1,,,
58.72746,4,j4-1,,,
58.72746,5,j4-1,,,
58.92744,MOT_mc_stage_color_00,r-flash,,
59.16075,4,1-2,,,
59.16075,5,1-2,,,
59.36073,2,1-2,,,
59.36073,3,1-2,,,
59.52738,1,j1-2,,,
60.06066,1,2-3,,,
60.06066,2,2-3,,,
60.06066,3,2-3,,,
60.06066,4,2-3,,,
60.06066,5,2-3,,,
60.89391,1,j3-4,,,
60.89391,2,j3-4,,,
60.89391,3,j3-4,,,
60.89391,4,j3-4,,,
60.89391,5,j3-4,,,
61.39386,1,4-1,,,
61.56051,2,4-1,,,
61.56051,3,4-1,,,
61.72716,4,4-1,,,
61.72716,5,4-1,,,
62.260439999999996,1,j1-2,,,
62.39376,2,j1-2,,,
62.39376,3,j1-2,,,
62.52708,4,j1-2,,,
62.52708,5,j1-2,,,
63.060359999999996,4,j2-3,,,
63.060359999999996,5,j2-3,,,
63.22701,2,j2-3,,,
63.22701,3,j2-3,,,
63.327,1,w2,,,
63.39366,1,j2-3,,,
63.9936,1,j3-4,,,
63.9936,2,j3-4,,,
63.9936,3,j3-4,,,
63.9936,4,j3-4,,,
63.9936,5,j3-4,,,
64.49355,1,4-1,,,
64.49355,2,4-1,,,
64.49355,3,4-1,,,
64.49355,4,4-1,,,
64.49355,5,4-1,,,
64.82685,1,lp1,,,
64.82685,2,lp1,,,
64.82685,3,lp1,,,
64.82685,4,lp1,,,
64.82685,5,lp1,,,
65.82675,MOT_control_all,zoom02,,
65.82675,MOT_all,cut2,,
66.39336,2,,,,L0
66.39336,3,,,,L0
66.39336,4,,,,L0
66.39336,5,,,,L0
66.39336,MOT_mc_back_00,lt_2,,
66.39336,MOT_mc_light_center_00,none,,
66.39336,MOT_mc_special_03,red,,
66.39336,MOT_mc_special_01,in,,
66.39336,MOT_control_all,zoom02_FIX,,
67.02663,1,1-2,,,
67.02663,2,1-2,,,
67.02663,3,1-2,,,
67.02663,4,1-2,,,
67.02663,5,1-2,,,
67.39326,1,sj2,,,
67.39326,2,sj2,,,
67.39326,3,sj2,,,
67.39326,4,sj2,,,
67.39326,5,sj2,,,
67.75989,1,2-3,,,
67.75989,2,2-3,,,
67.75989,3,2-3,,,
67.75989,4,2-3,,,
67.75989,5,2-3,,,
68.12652,1,j3-4,,,
68.12652,2,j3-4,,,
68.12652,3,j3-4,,,
68.12652,4,j3-4,,,
68.12652,5,j3-4,,,
68.62647,1,4-1,,,
68.62647,2,4-1,,,
68.62647,3,4-1,,,
68.62647,4,4-1,,,
68.62647,5,4-1,,,
69.02642999999999,4,j1-2,,,
69.02642999999999,5,j1-2,,,
69.02642999999999,1,j1-2,,,
69.42639,2,j1-2,,,
69.42639,3,j1-2,,,
69.75968999999999,1,2-3,,,
69.75968999999999,2,2-3,,,
69.75968999999999,3,2-3,,,
69.75968999999999,4,2-3,,,
69.75968999999999,5,2-3,,,
70.09299,2,3-4,,,
70.09299,3,3-4,,,
70.42629,4,3-4,,,
70.42629,5,3-4,,,
70.42629,1,3-4,,,
70.75959,1,4-1,,,
70.75959,2,4-1,,,
70.75959,3,4-1,,,
70.75959,4,4-1,,,
70.75959,5,4-1,,,
71.09289,1,1-2,,,
71.09289,2,1-2,,,
71.09289,3,1-2,,,
71.09289,4,1-2,,,
71.09289,5,1-2,,,
71.45952,2,2-3,,,
71.45952,3,2-3,,,
71.79281999999999,4,2-3,,,
71.79281999999999,5,2-3,,,
71.79281999999999,1,2-3,,,
72.39276,3,w3,,,
72.39276,2,w3,,,
72.42609,1,j3-4,,,
72.42609,2,j3-4,,,
72.42609,3,j3-4,,,
72.42609,4,j3-4,,,
72.42609,5,j3-4,,,
73.22601,1,4-1,,,
73.22601,2,4-1,,,
73.22601,3,4-1,,,
73.22601,4,4-1,,,
73.22601,5,4-1,,,
73.62597,4,j1-2,,,
73.62597,5,j1-2,,,
73.62597,1,j1-2,,,
74.02593,2,j1-2,,,
74.02593,3,j1-2,,,
74.35923,1,2-3,,,
74.35923,2,2-3,,,
74.35923,3,2-3,,,
74.35923,4,2-3,,,
74.35923,5,2-3,,,
74.69252999999999,2,3-4,,,
74.69252999999999,3,3-4,,,
75.02583,4,3-4,,,
75.02583,5,3-4,,,
75.02583,1,3-4,,,
75.35913,1,4-1,,,
75.35913,2,4-1,,,
75.35913,3,4-1,,,
75.35913,4,4-1,,,
75.35913,5,4-1,,,
75.69243,1,1-2,,,
75.69243,2,1-2,,,
75.69243,3,1-2,,,
75.69243,4,1-2,,,
75.69243,5,1-2,,,
76.05906,2,2-3,,,
76.05906,3,2-3,,,
76.39236,4,2-3,,,
76.39236,5,2-3,,,
76.39236,1,2-3,,,
76.62567,2,j3-4,,,
76.62567,3,j3-4,,,
76.62567,4,3-4,,,
76.62567,5,3-4,,,
76.62567,1,3-4,,,
77.19228,1,4-1,,,
77.19228,2,4-1,,,
77.19228,3,4-1,,,
77.19228,4,4-1,,,
77.19228,5,4-1,,,
77.59223999999999,4,j1-2,,,
77.59223999999999,5,j1-2,,,
77.59223999999999,1,j1-2,,,
77.9922,2,j1-2,,,
77.9922,3,j1-2,,,
78.32549999999999,1,2-3,,,
78.32549999999999,2,2-3,,,
78.32549999999999,3,2-3,,,
78.32549999999999,4,2-3,,,
78.32549999999999,5,2-3,,,
78.6588,2,3-4,,,
78.6588,3,3-4,,,
78.9921,4,3-4,,,
78.9921,5,3-4,,,
78.9921,1,3-4,,,
79.3254,1,4-1,,,
79.3254,2,4-1,,,
79.3254,3,4-1,,,
79.3254,4,4-1,,,
79.3254,5,4-1,,,
79.6587,1,1-2,,,
79.6587,2,1-2,,,
79.6587,3,1-2,,,
79.6587,4,1-2,,,
79.6587,5,1-2,,,
80.02533,2,2-3,,,
80.02533,3,2-3,,,
80.35862999999999,4,2-3,,,
80.35862999999999,5,2-3,,,
80.35862999999999,1,2-3,,,
80.95857,3,w3,,,
80.95857,2,w3,,,
80.9919,1,j3-4,,,
80.9919,2,j3-4,,,
80.9919,3,j3-4,,,
80.9919,4,j3-4,,,
80.9919,5,j3-4,,,
81.79182,1,4-1,,,
81.79182,2,4-1,,,
81.79182,3,4-1,,,
81.79182,4,4-1,,,
81.79182,5,4-1,,,
82.19178,4,j1-2,,,
82.19178,5,j1-2,,,
82.19178,1,j1-2,,,
82.59174,2,j1-2,,,
82.59174,3,j1-2,,,
82.92504,1,j2-3,,,
82.92504,2,j2-3,,,
82.92504,3,j2-3,,,
82.92504,4,j2-3,,,
82.92504,5,j2-3,,,
83.99159999999999,5,w3,,,
83.99159999999999,4,w3,,,
83.99159999999999,3,w3,,,
83.99159999999999,2,w3,,,
83.99159999999999,1,w3,,,
84.55821,2,,,,D40
84.55821,3,,,,D40
84.55821,4,,,,D40
84.55821,5,,,,D40
84.55821,MOT_control_all,zoom07,,
84.55821,MOT_mc_back_00,lt_1,,
84.55821,MOT_mc_light_center_00,lt_1,,
84.55821,MOT_mc_special_03,end,,
84.55821,1,3-4,,,
84.55821,2,3-4,,,
84.55821,3,3-4,,,
84.55821,4,3-4,,,
84.55821,5,3-4,,,
84.89151,1,j4-1,,,
84.89151,2,j4-1,,,
84.89151,3,j4-1,,,
84.89151,4,j4-1,,,
84.89151,5,j4-1,,,
85.29146999999999,MOT_mc_stage_color_00,r-flash,,
85.29146999999999,MOT_mc_back_00,lt_2,,
85.29146999999999,MOT_mc_light_center_00,lt_4,,
85.3248,4,1-2,,,
85.3248,5,1-2,,,
85.52477999999999,2,1-2,,,
85.52477999999999,3,1-2,,,
85.69143,1,j1-2,,,
86.22471,1,2-3,,,
86.22471,2,2-3,,,
86.22471,3,2-3,,,
86.22471,4,2-3,,,
86.22471,5,2-3,,,
87.05796,1,j3-4,,,
87.05796,2,j3-4,,,
87.05796,3,j3-4,,,
87.05796,4,j3-4,,,
87.05796,5,j3-4,,,
87.55790999999999,1,4-1,,,
87.72456,2,4-1,,,
87.72456,3,4-1,,,
87.89121,4,4-1,,,
87.89121,5,4-1,,,
88.42448999999999,1,j1-2,,,
88.55780999999999,2,j1-2,,,
88.55780999999999,3,j1-2,,,
88.69113,4,j1-2,,,
88.69113,5,j1-2,,,
89.09109,1,2-3,,,
89.09109,2,2-3,,,
89.09109,3,2-3,,,
89.09109,4,2-3,,,
89.09109,5,2-3,,,
89.35772999999999,MOT_mc_stage_color_00,b-flash,,
89.42439,1,j3-4,,,
89.42439,2,j3-4,,,
89.42439,3,j3-4,,,
89.42439,4,j3-4,,,
89.42439,5,j3-4,,,
90.02432999999999,1,4-1,,,
90.02432999999999,2,4-1,,,
90.02432999999999,3,4-1,,,
90.02432999999999,4,4-1,,,
90.02432999999999,5,4-1,,,
90.49095,4,j1-2,,,
90.49095,5,j1-2,,,
90.49095,1,j1-2,,,
90.69093,2,j1-2,,,
90.69093,3,j1-2,,,
91.22421,1,2-3,,,
91.22421,2,2-3,,,
91.22421,3,2-3,,,
91.22421,4,2-3,,,
91.22421,5,2-3,,,
91.72416,1,j3-4,,,
91.72416,2,j3-4,,,
91.72416,3,j3-4,,,
91.72416,4,j3-4,,,
91.72416,5,j3-4,,,
92.62406999999999,1,4-1,,,
92.62406999999999,2,4-1,,,
92.62406999999999,3,4-1,,,
92.62406999999999,4,4-1,,,
92.62406999999999,5,4-1,,,
92.89071,MOT_control_all,zoom10,,
92.95737,1,j1-2,,,
92.95737,2,j1-2,,,
92.95737,3,j1-2,,,
92.95737,4,j1-2,,,
92.95737,5,j1-2,,,
93.39066,4,2-3,,,
93.39066,5,2-3,,,
93.42398999999999,MOT_mc_stage_color_00,y-flash,,
93.59064,2,2-3,,,
93.59064,3,2-3,,,
93.75729,1,j2-3,,,
94.29057,1,3-4,,,
94.29057,2,3-4,,,
94.29057,3,3-4,,,
94.29057,4,3-4,,,
94.29057,5,3-4,,,
95.12382,1,j4-1,,,
95.12382,2,j4-1,,,
95.12382,3,j4-1,,,
95.12382,4,j4-1,,,
95.12382,5,j4-1,,,
95.62377,1,1-2,,,
95.79042,2,1-2,,,
95.79042,3,1-2,,,
95.95707,4,1-2,,,
95.95707,5,1-2,,,
96.49034999999999,1,j2-3,,,
96.62366999999999,2,j2-3,,,
96.62366999999999,3,j2-3,,,
