0.03333,MOT_mc_bg_black_00,seat100-0,,
2.76639,MOT_mc_stage_color_00,y-flash,,
34.56321,1,3-4,r3,,
34.62987,2,w4,,,
34.89651,1,,r4,,
35.29647,1,lp4,,,
35.6631,1,j4-1,,,
36.26304,1,1-2,r5,,
36.729659999999996,1,sj2,,,
37.22961,1,w2,,,
37.29627,1,2-3,,,
37.6629,1,sp3-4,,,
38.29617,1,j4-1,,,
38.82945,1,lp1,,,
39.3294,1,1-2,rb4,,
39.79602,1,lp2,,,
40.829249999999995,1,2-3,rb3,,
41.39586,1,lp3,,,
42.12912,1,j3-4,,,
42.6624,1,lp4,,,
42.92904,1,4-1,,,
43.36233,1,j1-2,,,
43.92894,1,lp2,,,
44.22891,1,2-3,rb2,,
44.59554,MOT_control_all,zoom03,,
44.59554,1,,rb1,,
45.12882,MOT_mc_stage_color_00,r-flash,,
45.12882,2,,,,L0
45.12882,1,,,,D20
45.12882,1,3-4,,b0,
45.12882,2,4-1,,f1,
45.86208,2,j1-2,,,
46.062059999999995,1,w4,,,
46.39536,2,2-3,,,
46.92864,2,lp3,,,
47.36193,2,3-4,,,
47.82855,2,4-1,l1,,
48.36183,2,lp1,,,
48.82845,2,w1,lb0,,
49.361729999999994,2,lp1,,,
49.995,MOT_control_all,zoom04,,
50.6616,MOT_mc_stage_color_00,y-flash,,
50.6616,1,,,,L0
50.6616,2,,,,D20
50.6616,2,1-2,,b0,
50.6616,1,4-1,,f1,
51.26154,1,j1-2,,,
51.59484,2,w2,,,
51.9948,1,2-3,r2,,
52.6614,1,,rb1,,
52.928039999999996,1,w3,,,
53.02803,1,lp3,,,
53.52798,MOT_mc_stage_color_00,y-flash,,
53.52798,1,3-4,,,
54.06126,1,j4-1,,,
54.561209999999996,1,lp1,,,
54.82785,1,j1-2,,,
55.461119999999994,1,sp2-3,,,
55.96107,MOT_all,cut1,,
56.3277,1,j3-4,,,
56.960969999999996,1,lp4,,,
57.894209999999994,MOT_mc_stage_color_00,y-flash,,
57.894209999999994,2,sj2,,,
57.894209999999994,1,4-1,,b0,
58.227509999999995,2,2-3,,,
58.227509999999995,1,1-2,,,
58.594139999999996,MOT_control_all,zoom05,,
58.694129999999994,MOT_mc_stage_color_00,y-flash,,
58.694129999999994,2,j3-4,,,
58.694129999999994,1,j2-3,,,
59.16075,MOT_mc_stage_color_00,b-flash,,
59.16075,MOT_mc_special_03,sabi,,
59.16075,1,,,,Lbl
59.16075,2,,,,Lbl
59.16075,1,3-4,,f1,
59.427389999999995,2,4-1,,f1,
59.794019999999996,1,j4-1,,,
60.193979999999996,2,j1-2,,,
60.660599999999995,1,1-2,r2,,
60.89391,2,2-3,l1,,
61.26054,2,,l2,,
61.26054,1,,r3,,
61.59384,1,w2,,,
61.72716,1,2-3,r4,,
61.827149999999996,2,w3,,,
61.9938,2,3-4,l3,,
62.59374,2,sp4-1,,,
62.59374,1,sp3-4,,,
63.160349999999994,2,sj1,,,
63.160349999999994,1,sj4,,,
63.22701,MOT_control_all,zoom06,,
63.6603,2,w1,,,
63.6603,1,w4,,,
63.79362,MOT_mc_stage_color_00,b-flash,,
63.79362,MOT_mc_special_03,sabi,,
63.79362,1,,,,D20
63.79362,2,1-2,,f2,
64.39356,2,2-3,,,
64.89350999999999,2,3-4,lb2,,
65.36013,2,,lb1,,
65.82675,2,4-1,,,
66.3267,2,lp1,,,
66.92663999999999,2,1-2,,,
67.25994,2,sj2,,,
67.69323,2,2-3,l2,,
68.09318999999999,2,lp3,,,
68.69313,2,3-4,lb1,,
68.95976999999999,MOT_control_all,zoom07,,
69.55971,MOT_mc_stage_color_00,b-flash,,
69.55971,1,,,,Lbl
69.55971,1,4-1,,f2,
69.62637,2,w4,,,
69.89301,1,1-2,,,
69.95967,MOT_control_all,zoom08,,
70.19297999999999,1,sj2,,,
70.49295,MOT_mc_stage_color_00,b-flash,,
70.49295,1,j2-3,,,
70.75959,2,j4-1,,,
71.12622,1,j3-4,,,
71.52618,2,j1-2,,,
71.9928,1,4-1,r5,,
72.22610999999999,2,2-3,l2,,
72.59273999999999,2,,l3,,
72.92604,1,w1,,,
73.05936,1,1-2,,,
73.15935,2,w3,,,
73.326,2,3-4,,,
73.92594,2,sp4-1,,,
73.92594,1,sp2-3,,,
74.49255,2,sj1,,,
74.49255,1,sj3,,,
74.6592,MOT_control_all,zoom09,,
74.99249999999999,2,w1,,,
74.99249999999999,1,w3,,,
74.99249999999999,MOT_mc_stage_color_00,b-flash,,
75.09249,2,1-2,,,
75.49244999999999,2,sj2,,,
75.92573999999999,2,j2-3,,,
76.72565999999999,MOT_control_all,zoom10,,
76.9923,2,w3,,,
77.22561,MOT_mc_stage_color_00,b-flash,,
77.22561,1,3-4,,,
77.72556,1,sj4,,,
78.02553,1,sp4-1,,,
78.95877,1,sj1,,,
79.45872,1,w1,,,
79.45872,MOT_control_all,zoom11,,
79.85867999999999,MOT_mc_stage_color_00,b-flash,,
79.85867999999999,1,1-2,,,
79.85867999999999,2,3-4,l4,,
80.29196999999999,2,,l5,,
80.65859999999999,1,j2-3,,,
80.65859999999999,2,j4-1,,,
81.22520999999999,1,3-4,,b1,
81.22520999999999,2,1-2,,b1,
81.42519,MOT_mc_special_03,sabi_out,,
81.42519,MOT_control_all,zoom12,,
81.72516,1,j4-1,,,
81.72516,2,j2-3,,,
82.25844,1,lp1,,,
82.25844,2,lp3,,,
83.09169,1,1-2,rb4,,
83.09169,2,3-4,lb4,,
83.62496999999999,1,lp2,,,
83.62496999999999,2,lp4,,,
84.39156,1,2-3,rb3,,
84.39156,2,4-1,lb3,,
84.92484,1,lp3,,,
84.92484,2,lp1,,,
85.92474,1,3-4,rb2,,
85.92474,2,1-2,lb2,,
86.29137,1,,rb1,,
86.29137,2,,lb1,,
86.69133,1,j4-1,,,
86.69133,2,j2-3,,,
87.25793999999999,1,lp1,,,
87.25793999999999,2,lp3,,,
87.89121,1,1-2,rb0,,
87.89121,2,3-4,lb0,,
88.45782,1,lp2,,,
88.45782,2,lp4,,,
88.89111,1,,l1,,
88.89111,2,,r1,,
90.15764999999999,1,2-3,lb0,,
90.15764999999999,2,4-1,rb0,,
90.45761999999999,MOT_all,cut2,,
90.6576,1,j3-4,,,
90.6576,2,j1-2,,,
91.35753,1,j4-1,,,
91.35753,2,j2-3,,,
91.95747,1,lp1,,,
91.95747,2,lp3,,,
92.22411,MOT_control_all,zoom13,,
92.85737999999999,MOT_mc_stage_color_00,b-flash,,
92.85737999999999,MOT_mc_special_03,sabi,,
92.85737999999999,1,1-2,,f2,
93.12402,2,3-4,,f2,
93.49065,1,j2-3,,,
93.89061,2,j4-1,,,
94.35723,1,3-4,r1,,
94.59053999999999,2,1-2,l1,,
94.95716999999999,2,,l2,,
94.95716999999999,1,,r2,,
95.29047,1,w4,,,
95.42379,1,4-1,rb1,,
95.52378,2,w2,,,
95.69042999999999,2,2-3,lb1,,
96.29037,2,sp3-4,,,
96.29037,1,sp1-2,,,
96.85698,2,sj4,,,
96.85698,1,sj2,,,
97.22361,MOT_control_all,zoom14,,
97.35692999999999,2,w4,,,
97.35692999999999,1,w2,,,
97.49024999999999,1,2-3,,,
97.79021999999999,MOT_mc_stage_color_00,b-flash,,
98.09018999999999,1,3-4,,,
98.59013999999999,1,4-1,r2,,
99.05676,1,,r3,,
99.52337999999999,1,1-2,,,
100.02333,1,lp2,,,
100.62326999999999,1,2-3,,,
100.95657,1,sj3,,,
101.38986,1,3-4,rb2,,
101.78981999999999,1,lp4,,,
102.38976,1,4-1,rb1,,
102.92304,MOT_control_all,zoom15,,
103.25634,MOT_mc_stage_color_00,b-flash,,
103.25634,2,4-1,,,
103.323,1,w1,,,
103.58963999999999,2,1-2,,,
103.85628,MOT_control_all,zoom16,,
103.88960999999999,2,sj2,,,
104.18957999999999,1,j1-2,,,
104.38955999999999,2,w2,,,
104.45622,MOT_mc_stage_color_00,b-flash,,
104.45622,2,j2-3,,,
104.82284999999999,1,j2-3,,,
105.22281,2,j3-4,,,
105.68943,1,3-4,rb0,,
105.92273999999999,2,4-1,lb0,,
106.28936999999999,2,,r1,,
106.28936999999999,1,,l1,,
106.62267,1,w4,,,
106.75599,1,4-1,l2,,
106.85597999999999,2,w1,,,
107.02262999999999,2,1-2,r2,,
107.62257,2,sp2-3,,,
107.62257,1,sp1-2,,,
108.18918,2,sj3,,,
108.18918,1,sj2,,,
108.68912999999999,1,w2,,,
108.68912999999999,2,3-4,,,
108.78912,MOT_control_all,zoom17,,
109.12241999999999,MOT_mc_stage_color_00,b-flash,,
109.12241999999999,1,sj2,,,
109.12241999999999,2,sj4,,,
109.62236999999999,2,w4,,,
109.62236999999999,1,w2,,,
109.68902999999999,1,j2-3,,,
109.68902999999999,2,j4-1,,,
110.02233,MOT_mc_stage_color_00,b-flash,,
110.22231,1,lp3,,,
110.22231,2,lp1,,,
110.92223999999999,1,3-4,,,
110.92223999999999,2,1-2,,,
111.42219,MOT_mc_stage_color_00,b-flash,,
111.42219,1,sj4,,,
111.42219,2,sj2,,,
111.72215999999999,1,sp4-1,,,
111.72215999999999,2,sp2-3,,,
112.6554,1,sj1,,,
112.6554,2,sj3,,,
113.15535,2,w3,,,
113.15535,1,w1,,,
113.55530999999999,1,1-2,lb1,,
113.55530999999999,2,3-4,rb1,,
113.78862,MOT_control_all,zoom18,,
113.82195,MOT_mc_stage_color_00,b-flash,,
113.98859999999999,1,,lb0,,
113.98859999999999,2,,rb0,,
114.35522999999999,1,j2-3,,,
114.35522999999999,2,j4-1,,,
114.58854,MOT_mc_stage_color_00,b-flash,,
114.92183999999999,1,3-4,,b1,
114.92183999999999,2,1-2,,b1,
115.25514,MOT_mc_stage_color_00,b-flash,,
115.25514,MOT_mc_special_03,sabi_out,,
115.3218,1,j4-1,,,
115.3218,2,j2-3,,,
115.88841,1,1-2,r1,,
115.88841,2,3-4,r1,,
116.35503,1,2-3,r2,,
116.35503,2,4-1,r2,,
116.72166,1,,r3,,
116.72166,2,,r3,,
117.12162,1,lp3,,,
117.12162,2,lp1,,,
117.52158,1,sj3,,,
117.52158,2,sj1,,,
117.95487,1,j3-4,,,
117.95487,2,j1-2,,,
118.42148999999999,1,4-1,rb2,,
118.42148999999999,2,2-3,rb2,,
118.88811,1,1-2,rb1,,
118.88811,2,3-4,rb1,,
119.45472,1,,rb0,,
119.45472,2,,rb0,,
119.82135,2,w4,,,
119.82135,1,w2,,,
119.85467999999999,1,lp2,,,
119.85467999999999,2,lp4,,,
120.35463,1,sj2,,,
120.35463,2,sj4,,,
120.72126,1,j2-3,,,
120.72126,2,j4-1,,,
121.05456,1,3-4,l1,,
121.05456,2,1-2,l1,,
121.32119999999999,1,lp4,,,
121.32119999999999,2,lp2,,,
121.62116999999999,1,4-1,,,
121.62116999999999,2,2-3,,,
121.9878,1,lp1,,,
121.9878,2,lp3,,,
122.18777999999999,1,1-2,lb0,,
122.18777999999999,2,3-4,lb0,,
122.55440999999999,1,lp2,,,
122.55440999999999,2,lp4,,,
122.82105,1,2-3,,,
122.82105,2,4-1,,,
123.12102,1,3-4,r1,,
123.12102,2,1-2,r1,,
123.55431,1,4-1,,,
123.55431,2,2-3,,,
123.82095,1,j1-2,,,
123.82095,2,j3-4,,,
124.38756,1,lp2,,,
124.38756,2,lp4,,,
128.62046999999998,1,2-3,,,
128.62046999999998,2,4-1,,,
129.55371,2,w1,,,
129.55371,1,w3,,,
