0.03333,MOT_mc_special_01,stay,,
54.194579999999995,4,j2-1,,
54.6612,5,j4-3,,
54.72786,2,w1,,
54.72786,3,w1,,
54.72786,4,w1,,
55.19448,5,j3-1,,
55.69443,5,lp1,,
55.861079999999994,2,sj1,,
55.861079999999994,3,sj1,,
55.861079999999994,4,sj1,,
56.39436,2,j1-2,,
56.39436,3,j1-2,,
56.39436,4,j1-2,,
56.594339999999995,1,,,f1
56.594339999999995,1,sort,-23000,
56.92764,2,w2,,
56.92764,3,w2,,
56.92764,4,w2,,
57.027629999999995,1,2-4,,
57.09429,MOT_mc_light_center_00,l2,,
57.09429,MOT_mc_stage_color_00,b-r,,
57.09429,MOT_mc_bg_black_00,b80r,,
57.12762,MOT_mc_special_01,scene03,,
57.72756,1,j4-1,,
58.160849999999996,1,lp1,,
58.56081,4,j2-4,,
58.56081,5,j2-4,,
58.694129999999994,2,j2-4,,
58.694129999999994,3,j2-4,,
58.96077,MOT_mc_special_01,scene04,,
58.96077,MOT_mc_light_center_00,l2,,
58.96077,MOT_mc_stage_color_00,b-r,,
59.060759999999995,1,1-2,,
59.62737,1,2-3,,
60.16065,1,3-4,,
60.76059,1,j4-2,,
60.76059,2,j4-2,,
60.76059,3,j4-2,,
60.76059,4,j4-2,,
60.76059,5,j4-2,,
61.060559999999995,MOT_mc_bg_black_00,b80-20,,
61.19388,1,hj2,,
61.19388,2,hj2,,
61.19388,3,hj2,,
61.19388,4,hj2,,
61.19388,5,hj2,,
61.22721,MOT_mc_special_01,scene05,,
61.427189999999996,MOT_mc_light_center_00,l3,,
61.427189999999996,MOT_mc_light_under_00,l1,,
61.427189999999996,MOT_mc_back_00,l2_white,,
61.427189999999996,MOT_mc_speaker_00,l1,,
61.427189999999996,MOT_mc_stage_color_00,b-flash,,
61.827149999999996,1,j2-3,,
61.827149999999996,2,j2-3,,
61.827149999999996,3,j2-3,,
61.827149999999996,4,j2-3,,
61.827149999999996,5,j2-3,,
62.293769999999995,1,lp3,,
62.293769999999995,2,lp3,,
62.293769999999995,3,lp3,,
62.293769999999995,4,lp3,,
62.293769999999995,5,lp3,,
63.36033,1,j3-2,,
63.36033,2,j3-2,,
63.36033,3,j3-2,,
63.36033,4,j3-2,,
63.36033,5,j3-2,,
63.9936,2,j2-4,,
63.9936,3,j2-4,,
64.26024,4,j2-1,,
64.26024,5,j2-1,,
64.26024,1,j2-1,,
64.52687999999999,2,j4-1,,
64.52687999999999,3,j4-1,,
64.79352,4,j1-4,,
64.79352,5,j1-4,,
64.79352,1,j1-4,,
65.19348,2,lp1,,
65.19348,3,lp1,,
65.19348,4,lp4,,
65.19348,5,lp4,,
65.19348,1,lp4,,
65.72676,2,j1-2,,
65.72676,3,j1-2,,
65.72676,4,j4-2,,
65.72676,5,j4-2,,
65.72676,1,j4-2,,
66.16005,1,lp2,,
66.16005,2,lp2,,
66.16005,3,lp2,,
66.16005,4,lp2,,
66.16005,5,lp2,,
66.46002,4,2-4,,
66.46002,5,2-4,,
66.92663999999999,1,w2,,
66.92663999999999,2,w2,,
66.92663999999999,3,w2,,
66.92663999999999,4,4-3,,
66.92663999999999,5,4-3,,
67.3266,4,j3-4,,
67.3266,5,j3-4,,
67.69323,4,lp4,,
67.69323,5,lp4,,
68.09318999999999,2,j2-4,,
68.12652,4,w4,,
68.12652,5,w4,,
68.52647999999999,2,w4,,
68.65979999999999,3,j2-4,,
69.12642,3,w4,,
69.25974,1,2-3,,
69.25974,4,4-3,,
69.25974,5,4-3,,
69.49305,MOT_mc_special_01,scene06,,
69.55971,1,hj3,,
69.55971,4,hj3,,
69.55971,5,hj3,,
70.35963,1,3-2,,
70.35963,4,3-2,,
70.35963,5,3-2,,
70.35963,2,4-2,,
70.35963,3,4-2,,
70.62626999999999,MOT_mc_stage_color_00,b-flash,,
70.72626,1,2-3,,
70.72626,2,2-3,,
70.72626,3,2-3,,
70.72626,4,2-3,,
70.72626,5,2-3,,
71.09289,1,j3-1,,
71.09289,2,j3-1,,
71.09289,3,j3-1,,
71.09289,4,j3-1,,
71.09289,5,j3-1,,
71.52618,1,lp1,,
71.52618,2,lp1,,
71.52618,3,lp1,,
71.52618,4,lp1,,
71.52618,5,lp1,,
72.29276999999999,1,1-4,,
72.29276999999999,2,1-4,,
72.29276999999999,3,1-4,,
72.29276999999999,4,1-4,,
72.29276999999999,5,1-4,,
72.59273999999999,4,4-2,,
72.69273,2,4-2,,
72.79272,1,4-2,,
72.89271,3,4-2,,
72.9927,5,4-2,,
73.19268,4,2-1,,
73.29267,2,2-1,,
73.39265999999999,1,2-1,,
73.49265,3,2-1,,
73.59264,5,2-1,,
73.92594,1,lp1,,
73.92594,2,lp1,,
73.92594,3,lp1,,
73.92594,4,lp1,,
73.92594,5,lp1,,
74.95917,1,j1-4,,
74.95917,2,j1-4,,
74.95917,3,j1-4,,
74.95917,4,j1-4,,
74.95917,5,j1-4,,
75.19248,MOT_mc_light_center_00,l1,,
75.29247,MOT_mc_light_center_00,l3,,
75.3258,1,lp4,,
75.3258,2,lp4,,
75.3258,3,lp4,,
75.3258,4,lp4,,
75.3258,5,lp4,,
76.15905,1,,r1,
76.15905,4,,r1,
76.15905,5,,r1,
76.15905,2,,l1,
76.15905,3,,l1,
76.45902,1,,rb0,
76.45902,4,,rb0,
76.45902,5,,rb0,
76.45902,2,,lb0,
76.45902,3,,lb0,
76.75899,1,,l1,
76.75899,4,,l1,
76.75899,5,,l1,
76.75899,2,,r1,
76.75899,3,,r1,
77.02562999999999,1,,lb0,
77.02562999999999,4,,lb0,
77.02562999999999,5,,lb0,
77.02562999999999,2,,rb0,
77.02562999999999,3,,rb0,
77.3256,1,4-3,,
77.3256,2,4-3,,
77.3256,3,4-3,,
77.3256,4,4-3,,
77.3256,5,4-3,,
77.82554999999999,1,j3-4,,
77.92554,2,j3-4,,
78.02553,3,j3-4,,
78.12552,4,j3-4,,
78.22551,5,j3-4,,
78.39215999999999,1,sj4,,
78.52548,2,sj4,,
78.6588,3,sj4,,
78.79212,4,sj4,,
78.92544,5,sj4,,
79.19207999999999,1,4-3,,
79.19207999999999,2,4-3,,
79.19207999999999,3,4-3,,
79.19207999999999,4,4-3,,
79.19207999999999,5,4-3,,
79.42539,3,3-2,,
79.42539,5,3-2,,
79.49204999999999,1,w3,,
79.49204999999999,2,w3,,
79.49204999999999,4,w3,,
79.6587,MOT_mc_light_center_00,l1,,
79.6587,MOT_mc_speaker_00,stay,,
79.6587,MOT_mc_bg_black_00,b20-65,,
79.6587,MOT_mc_stage_color_00,y-flash,,
79.75869,3,lp2,,
79.75869,5,lp2,,
80.09199,3,,l1,
80.09199,5,,l1,
80.45862,3,w2,,
80.45862,5,w2,,
80.49195,2,3-1,,
80.49195,4,3-2,,
80.79191999999999,2,lp1,,
80.79191999999999,4,lp2,,
81.19188,2,,r1,
81.19188,4,,r1,
81.49185,2,lp1,,
81.49185,4,w2,,
81.55851,2,1-2,,
81.55851,3,2-2,,
81.55851,1,3-2,,
81.89180999999999,2,lp2,,
81.89180999999999,3,lp2,,
81.89180999999999,1,lp2,,
82.22511,1,sj2,,
82.6584,1,2-4,,
82.6584,2,2-4,,
82.6584,3,2-4,,
82.6584,4,2-4,,
82.6584,5,2-4,,
83.02503,1,lp4,,
83.02503,2,lp4,,
83.02503,3,lp4,,
83.02503,4,lp4,,
83.02503,5,lp4,,
83.99159999999999,1,hj4,,
83.99159999999999,2,hj4,,
83.99159999999999,3,hj4,,
83.99159999999999,4,hj4,,
83.99159999999999,5,hj4,,
84.25824,MOT_mc_bg_black_00,b65-20,,
84.3249,MOT_mc_light_center_00,l3,,
84.3249,MOT_mc_speaker_00,l1,,
84.3249,MOT_mc_stage_color_00,b-flash,,
84.62487,1,j4-3,,
84.62487,2,j4-3,,
84.62487,3,j4-3,,
84.62487,4,j4-3,,
84.62487,5,j4-3,,
85.05816,MOT_mc_special_01,scene07,,
85.05816,1,lp3,,
85.05816,2,lp3,,
85.05816,3,lp3,,
85.05816,4,lp3,,
85.05816,5,lp3,,
86.12472,1,j3-2,,
86.12472,2,j3-2,,
86.12472,3,j3-2,,
86.12472,4,j3-2,,
86.12472,5,j3-2,,
86.75798999999999,2,j2-4,,
86.75798999999999,3,j2-4,,
87.02463,4,j2-1,,
87.02463,5,j2-1,,
87.02463,1,j2-1,,
87.29127,2,j4-1,,
87.29127,3,j4-1,,
87.55790999999999,4,j1-4,,
87.55790999999999,5,j1-4,,
87.55790999999999,1,j1-4,,
87.95787,2,lp1,,
87.95787,3,lp1,,
87.95787,4,lp4,,
87.95787,5,lp4,,
87.95787,1,lp4,,
88.49114999999999,2,j1-2,,
88.49114999999999,3,j1-2,,
88.49114999999999,4,j4-2,,
88.49114999999999,5,j4-2,,
88.49114999999999,1,j4-2,,
88.95777,1,lp2,,
88.95777,2,lp2,,
88.95777,3,lp2,,
88.95777,4,lp2,,
88.95777,5,lp2,,
89.69103,1,2-3,,
89.69103,2,2-3,,
89.69103,3,2-3,,
89.69103,4,2-3,,
89.69103,5,2-3,,
90.09098999999999,1,j3-4,,
90.09098999999999,2,j3-4,,
90.09098999999999,3,j3-4,,
90.09098999999999,4,j3-4,,
90.09098999999999,5,j3-4,,
90.45761999999999,1,lp4,,
90.45761999999999,2,lp4,,
90.45761999999999,3,lp4,,
90.45761999999999,4,lp4,,
90.45761999999999,5,lp4,,
90.75759,MOT_mc_special_01,scene08,,
90.85758,5,j4-1,,
91.35753,5,w1,,
91.39085999999999,4,4-1,,
91.92414,4,w1,,
92.29077,1,hj4,,
92.35743,MOT_mc_special_01,scene09,,
93.12402,1,4-2,,
93.12402,2,4-2,,
93.12402,3,4-2,,
93.12402,4,1-2,,
93.12402,5,1-2,,
93.42398999999999,MOT_mc_stage_color_00,b-flash,,
93.49065,1,2-3,,
93.49065,2,2-3,,
93.49065,3,2-3,,
93.49065,4,2-3,,
93.49065,5,2-3,,
93.72395999999999,MOT_mc_special_01,scene10,,
93.85728,1,j3-1,,
93.85728,2,j3-1,,
93.85728,3,j3-1,,
93.85728,4,j3-1,,
93.85728,5,j3-1,,
94.29057,1,lp1,,
94.29057,2,lp1,,
94.29057,3,lp1,,
94.29057,4,lp1,,
94.29057,5,lp1,,
94.95716999999999,1,1-4,,
94.95716999999999,2,1-4,,
94.95716999999999,3,1-4,,
94.95716999999999,4,1-4,,
94.95716999999999,5,1-4,,
95.25713999999999,4,4-2,,
95.35713,2,4-2,,
95.45711999999999,1,4-2,,
95.55711,3,4-2,,
95.6571,5,4-2,,
95.85708,4,2-1,,
95.95707,2,2-1,,
96.05705999999999,1,2-1,,
96.15705,3,2-1,,
96.25703999999999,5,2-1,,
96.35703,MOT_mc_special_01,scene11,,
96.59034,1,lp1,,
96.59034,2,lp1,,
96.59034,3,lp1,,
96.59034,4,lp1,,
96.59034,5,lp1,,
97.72355999999999,1,j1-4,,
97.72355999999999,2,j1-4,,
97.72355999999999,3,j1-4,,
97.72355999999999,4,j1-4,,
97.72355999999999,5,j1-4,,
98.09018999999999,2,w4,,
98.09018999999999,3,w4,,
98.09018999999999,4,w4,,
98.09018999999999,5,w4,,
98.19018,1,lp4,,
98.95676999999999,1,4-2,,
99.52337999999999,1,2-4,,
99.55671,MOT_mc_bg_black_00,b20-45,,
99.95667,1,j4-1,,
100.08999,2,4-3,,
100.08999,3,4-3,,
100.08999,4,4-3,,
100.08999,5,4-3,,
100.22331,MOT_mc_stage_color_00,b-flash,,
100.28997,MOT_mc_speaker_00,kohaku,,
100.32329999999999,1,lp1,,
100.35663,4,w3,,
100.35663,5,w3,,
100.48995,5,3-4,,
100.48995,3,3-4,,
100.72326,MOT_mc_special_01,scene12,,
100.82325,5,j4-1,,
100.82325,3,j4-1,,
101.25654,5,w1,,
101.25654,3,w1,,
101.6565,4,3-4,,
101.6565,2,3-4,,
101.9898,2,j4-3,,
101.9898,4,j4-3,,
102.25644,1,j1-2,,
102.28976999999999,MOT_mc_bg_black_00,b45-20,,
102.45642,4,w3,,
102.45642,2,w3,,
102.62307,MOT_mc_light_center_00,l2,,
102.62307,MOT_mc_speaker_00,l1,,
102.75639,MOT_mc_special_01,scene13,,
102.82305,3,1-4,,
102.82305,2,1-4,,
102.82305,1,2-4,,
103.38965999999999,3,j4-1,,
103.38965999999999,2,j4-1,,
103.38965999999999,1,j4-1,,
103.78962,3,lp1,,
103.78962,2,lp1,,
103.78962,1,lp1,,
104.58954,3,1-3,,
104.58954,2,1-3,,
104.58954,1,1-3,,
104.95617,3,w3,,
104.95617,2,w3,,
104.95617,1,w3,,
105.22281,1,j3-4,,
105.3228,2,j3-4,,
105.42278999999999,3,j3-4,,
105.52278,4,j3-4,,
105.55610999999999,MOT_mc_special_01,scene14,,
105.62276999999999,5,j3-4,,
105.78941999999999,1,sj4,,
105.88941,3,w4,,
105.92273999999999,2,sj4,,
106.05606,3,sj4,,
106.18938,4,sj4,,
106.3227,5,sj4,,
106.58933999999999,1,4-3,,
106.58933999999999,2,4-3,,
106.58933999999999,3,4-3,,
106.58933999999999,4,4-3,,
106.58933999999999,5,4-3,,
106.85597999999999,2,3-4,,
106.85597999999999,3,3-4,,
107.02262999999999,4,3-4,,
107.02262999999999,5,3-4,,
107.18928,2,lp4,,
107.18928,3,lp4,,
107.3226,4,lp4,,
107.3226,5,lp4,,
107.58923999999999,1,3-2,,
107.58923999999999,2,4-2,,
107.58923999999999,3,4-2,,
107.58923999999999,4,4-2,,
107.58923999999999,5,4-2,,
107.95586999999999,1,w2,,
108.05586,2,2-3,,
108.05586,4,2-4,,
108.08919,MOT_mc_bg_black_00,b20-65,,
108.18918,MOT_mc_special_01,scene15,,
108.25583999999999,MOT_mc_light_center_00,l1,,
108.25583999999999,MOT_mc_speaker_00,stay,,
108.25583999999999,MOT_mc_stage_color_00,y-flash,,
108.35583,2,lp3,,
108.35583,4,lp4,,
108.55581,2,,r1,
108.55581,4,,r1,
109.05575999999999,2,w3,,
109.05575999999999,4,w4,,
109.12241999999999,5,2-4,,
109.12241999999999,3,2-4,,
109.45572,5,lp4,,
109.45572,3,lp4,,
109.6557,3,,l1,
109.6557,5,,l1,
110.18898,1,2-4,,
110.18898,2,3-4,,
110.18898,3,4-4,,
110.18898,5,w4,,
110.52228,MOT_mc_special_01,scene16,,
110.52228,1,lp4,,
110.52228,2,lp4,,
110.52228,3,lp4,,
110.68893,1,sj4,,
110.78891999999999,5,,l2,
110.78891999999999,3,,l2,
110.78891999999999,2,,r2,
110.78891999999999,4,,r2,
111.12222,1,4-4,,
111.12222,2,4-4,,
111.12222,3,4-4,,
111.12222,4,4-4,,
111.12222,5,4-4,,
111.35553,MOT_mc_special_01,scene17,,
111.48885,1,w4,,
111.75549,1,sj4,,
111.75549,2,sj4,,
111.75549,3,sj4,,
111.75549,4,sj4,,
111.75549,5,sj4,,
111.82215,2,,rb1,
111.82215,3,,lb1,
111.82215,4,,rb1,
111.82215,5,,lb1,
112.18878,2,,rb0,
112.18878,3,,lb0,
112.18878,4,,rb0,
112.18878,5,,lb0,
112.32209999999999,1,j4-3,,
112.32209999999999,2,j4-3,,
112.32209999999999,3,j4-3,,
112.32209999999999,4,j4-3,,
112.32209999999999,5,j4-3,,
112.58874,MOT_mc_bg_black_00,b65-45,,
112.85538,MOT_mc_light_center_00,l3,,
112.85538,MOT_mc_speaker_00,kohaku,,
112.85538,MOT_mc_back_00,l1_white,,
112.85538,MOT_mc_stage_color_00,b-flash,,
112.95537,1,3-1,l1,
112.95537,2,3-2,l1,
112.95537,3,3-2,l1,
112.95537,4,3-2,l1,
112.95537,5,3-2,l1,
113.55530999999999,1,,lb0,
113.55530999999999,2,,lb0,
113.55530999999999,3,,lb0,
113.55530999999999,4,,lb0,
113.55530999999999,5,,lb0,
114.12191999999999,1,1-3,r1,
114.12191999999999,2,2-3,r1,
114.12191999999999,3,2-3,r1,
114.12191999999999,4,2-3,r1,
114.12191999999999,5,2-3,r1,
114.6552,1,,rb0,
114.6552,2,,rb0,
114.6552,3,,rb0,
114.6552,4,,rb0,
114.6552,5,,rb0,
114.9885,1,lp3,,
114.9885,2,lp3,,
114.9885,3,lp3,,
114.9885,4,lp3,,
114.9885,5,lp3,,
115.68843,1,hj3,,
115.95506999999999,2,hj3,,
116.22171,3,hj3,,
116.48835,4,hj3,,
116.48835,5,hj3,,
116.9883,1,3-3,,
116.9883,2,3-3,,
116.9883,3,3-3,,
116.9883,4,3-3,,
116.9883,5,3-3,,
117.35493,1,lp3,,
117.35493,2,lp3,,
117.35493,3,lp3,,
117.35493,4,lp3,,
117.35493,5,lp3,,
117.78822,2,,r1,
117.92154,MOT_mc_special_01,scene18,,
118.05485999999999,3,,l1,
118.3215,4,,r1,
118.58814,5,,l1,
118.95477,1,j3-4,,
119.28806999999999,2,j3-4,,
119.28806999999999,3,j3-4,,
119.58803999999999,4,j3-4,,
119.58803999999999,5,j3-4,,
119.988,1,w4,,
119.988,2,w4,,
119.988,3,w4,,
119.988,4,w4,,
119.988,5,w4,,
120.22130999999999,1,4-2,,
120.22130999999999,2,4-2,,
120.22130999999999,3,4-2,,
120.22130999999999,4,4-2,,
120.22130999999999,5,4-2,,
120.62127,1,sp2-3,,
120.68793,2,sp2-3,,
120.68793,3,sp2-3,,
120.75459,4,sp2-3,,
120.75459,5,sp2-3,,
121.55451,1,j3-4,,
121.55451,2,3-4,lb0,
121.55451,3,3-4,rb0,
121.55451,4,3-4,lb0,
121.55451,5,3-4,rb0,
121.72116,MOT_mc_light_center_00,l4,,
121.72116,MOT_mc_light_under_00,l2,,
121.72116,MOT_mc_bg_black_00,b45-65,,
122.05445999999999,1,w4,,
122.05445999999999,2,w4,,
122.05445999999999,3,w4,,
122.05445999999999,4,w4,,
122.05445999999999,5,w4,,
122.08779,MOT_mc_back_00,stay,,
122.08779,MOT_mc_speaker_00,stay,,
