0.03333,MOT_control_all,mix2_1,,
0.03333,MOT_mc_speaker_00,l1,,
0.03333,MOT_all,mix_cut1,,
5.86608,MOT_mc_special_03,lp4,,
6.7659899999999995,1,1-2,,,
6.7659899999999995,2,1-2,,,
6.7659899999999995,3,1-2,,,
6.7659899999999995,4,1-2,,,
6.7659899999999995,5,1-2,,,
7.09929,1,j2-3,,,
7.09929,2,j2-3,,,
7.09929,3,j2-3,,,
7.09929,4,j2-3,,,
7.09929,5,j2-3,,,
7.86588,MOT_mc_special_03,4-2,,
8.165849999999999,5,w3,,,
8.165849999999999,4,w3,,,
8.165849999999999,3,w3,,,
8.165849999999999,2,w3,,,
8.165849999999999,1,w3,,,
8.3325,1,hj3,,,
8.3325,2,hj3,,,
8.3325,3,hj3,,,
8.3325,4,hj3,,,
8.3325,5,hj3,,,
8.3325,MOT_mc_special_03,hj2,,
8.73246,MOT_mc_stage_color_00,b-flash,,
8.73246,MOT_mc_bg_black_00,b45-20,,
8.765789999999999,MOT_mc_light_up_00,l3,,
8.765789999999999,MOT_mc_light_center_00,l3,,
8.96577,1,3-4,,,
8.96577,2,3-4,,,
8.96577,3,3-4,,,
8.96577,4,3-4,,,
8.96577,5,3-4,,,
8.96577,MOT_mc_special_03,2-1,,
9.29907,1,lp4,,,
9.29907,2,lp4,,,
9.29907,3,lp4,,,
9.29907,4,lp4,,,
9.29907,5,lp4,,,
9.29907,MOT_mc_special_03,lp1,,
9.6657,1,j4-1,,,
9.6657,2,j4-1,,,
9.6657,3,j4-1,,,
9.6657,4,j4-1,,,
9.6657,5,j4-1,,,
9.998999999999999,2,sj1,,,
9.998999999999999,3,sj1,,,
10.3323,1,sj1,,,
10.3323,4,sj1,,,
10.3323,5,sj1,,,
10.498949999999999,3,w1,,,
10.498949999999999,2,w1,,,
10.6656,2,j1-2,,,
10.6656,3,j1-2,,,
10.83225,5,w1,,,
10.83225,4,w1,,,
10.83225,1,w1,,,
10.998899999999999,1,j1-2,,,
10.998899999999999,4,j1-2,,,
10.998899999999999,5,j1-2,,,
11.26554,MOT_mc_special_03,1-2,,
11.56551,1,lp2,,,
11.56551,2,lp2,,,
11.56551,3,lp2,,,
11.56551,4,lp2,,,
11.56551,5,lp2,,,
11.56551,MOT_mc_special_03,2-3,,
11.86548,MOT_mc_special_03,3-1,,
12.56541,MOT_mc_special_03,j1-4,,
12.832049999999999,2,j2-3,,,
12.832049999999999,3,j2-3,,,
12.9987,MOT_mc_special_03,lp4,,
13.16535,4,j2-3,,,
13.16535,5,j2-3,,,
13.49865,1,j2-3,,,
13.49865,2,3-4,,,
13.49865,3,3-4,,,
13.49865,4,3-4,,,
13.49865,5,3-4,,,
13.831949999999999,1,j3-4,,,
13.831949999999999,2,j4-1,,,
13.831949999999999,3,j4-1,,,
13.831949999999999,4,j4-1,,,
13.831949999999999,5,j4-1,,,
14.49855,1,4-1,,,
14.49855,4,1-2,,,
14.49855,5,1-2,,,
14.865179999999999,1,sj1,,,
14.865179999999999,4,sj2,,,
14.865179999999999,5,sj2,,,
14.89851,3,w1,,,
14.89851,2,w1,,,
15.3318,2,sj1,,,
15.3318,3,sj1,,,
15.365129999999999,5,w2,,,
15.365129999999999,4,w2,,,
15.365129999999999,1,w1,,,
15.63177,1,j1-2,,,
15.63177,4,j2-3,,,
15.63177,5,j2-3,,,
15.83175,3,w1,,,
15.83175,2,w1,,,
16.03173,1,lp2,,,
16.03173,4,lp3,,,
16.03173,5,lp3,,,
16.43169,2,j1-2,,,
16.43169,3,j1-2,,,
16.76499,MOT_mc_special_03,4-2,,
16.79832,2,lp2,,,
16.79832,3,lp2,,,
17.131619999999998,MOT_mc_special_03,j2-1,,
17.89821,1,2-3,,,
17.89821,4,3-4,,,
17.89821,5,3-4,,,
17.89821,MOT_mc_special_03,j1-2,,
18.23151,1,j3-4,,,
18.23151,4,j4-1,,,
18.23151,5,j4-1,,,
18.63147,2,sj2,,,
18.69813,4,sj1,,,
18.764789999999998,5,sj1,,,
18.764789999999998,MOT_mc_special_03,j2-3,,
18.83145,1,sj4,,,
18.89811,2,sj2,,,
18.89811,3,sj2,,,
18.964769999999998,4,sj1,,,
19.03143,5,sj1,,,
19.06476,MOT_mc_special_03,lp3,,
19.09809,1,sj4,,,
19.164749999999998,3,sj2,,,
19.398059999999997,2,w2,,,
19.46472,4,w1,,,
19.46472,1,hj4,,,
19.46472,2,hj2,,,
19.46472,3,hj2,,,
19.46472,4,hj1,,,
19.46472,5,hj1,,,
20.13132,2,2-3,lb0,,
20.13132,3,2-3,rb0,,
20.26464,MOT_mc_stage_color_00,b-flash,,
20.26464,MOT_mc_light_up_00,l3,,
20.26464,MOT_mc_light_center_00,l3,,
20.26464,MOT_mc_light_under_00,l2,,
20.26464,MOT_mc_speaker_00,l1,,
20.26464,MOT_mc_back_00,l1,,
20.26464,MOT_mc_special_01,l1,,
20.26464,MOT_mc_bg_black_00,b45-0,,
20.63127,2,j3-4,,,
20.63127,3,j3-4,,,
20.69793,5,w1,,,
20.69793,4,w1,,,
20.69793,1,w4,,,
21.06456,4,1-2,lb0,,
21.06456,5,1-2,rb0,,
21.06456,1,4-1,,,
21.3312,MOT_mc_special_03,j3-4,,
21.56451,4,j2-3,,,
21.56451,5,j2-3,,,
21.56451,1,j1-2,,,
21.69783,3,w4,,,
21.69783,2,w4,,,
21.831149999999997,MOT_mc_special_03,lp4,,
22.09779,2,j4-1,,,
22.09779,3,j4-1,,,
22.631069999999998,5,w3,,,
22.631069999999998,4,w3,,,
22.631069999999998,1,w2,,,
22.797719999999998,1,j2-3,,,
22.797719999999998,4,j3-4,,,
22.797719999999998,5,j3-4,,,
23.16435,3,w1,,,
23.16435,2,w1,,,
23.46432,2,1-2,l1,,
23.46432,3,1-2,r1,,
23.864279999999997,5,w4,,,
23.864279999999997,4,w4,,,
23.864279999999997,1,w3,,,
23.96427,2,j2-3,,,
23.96427,3,j2-3,,,
24.230909999999998,MOT_mc_special_03,j4-1,,
24.39756,4,4-1,l1,,
24.39756,5,4-1,r1,,
24.39756,1,3-4,,,
24.79752,4,j1-2,,,
24.79752,5,j1-2,,,
24.79752,1,j4-1,,,
24.93084,MOT_mc_special_03,lp1,,
25.030829999999998,3,w3,,,
25.030829999999998,2,w3,,,
25.3308,1,1-2,l1,,
25.3308,2,3-4,l2,,
25.3308,3,3-4,rb0,,
25.3308,4,2-3,l2,,
25.3308,5,2-3,rb0,,
25.73076,1,,l2,,
25.73076,2,,l3,,
25.73076,3,,l1,,
25.73076,4,,l3,,
25.73076,5,,l1,,
26.16405,1,j2-3,,,
26.16405,2,j4-1,,,
26.16405,3,j4-1,,,
26.16405,4,j3-4,,,
26.16405,5,j3-4,,,
26.73066,1,lp3,,,
26.73066,2,lp1,,,
26.73066,3,lp1,,,
26.73066,4,lp4,,,
26.73066,5,lp4,,,
27.063959999999998,MOT_mc_special_03,1-2,,
27.43059,1,3-4,,,
27.43059,2,1-2,,,
27.43059,3,1-2,,,
27.43059,4,4-1,,,
27.43059,5,4-1,,,
27.43059,MOT_mc_special_03,j2-3,,
27.63057,1,sj4,,,
27.63057,2,sj2,,,
27.63057,3,sj2,,,
27.63057,4,sj1,,,
27.63057,5,sj1,,,
27.930539999999997,1,4-1,,,
27.930539999999997,2,2-3,,,
27.930539999999997,3,2-3,,,
27.930539999999997,4,1-2,,,
27.930539999999997,5,1-2,,,
28.16385,1,j1-2,,,
28.16385,2,j3-4,,,
28.16385,3,j3-4,,,
28.16385,4,j2-3,,,
28.16385,5,j2-3,,,
28.39716,MOT_mc_special_03,hj3,,
28.697129999999998,1,2-3,lb1,,
28.697129999999998,2,4-1,lb2,,
28.697129999999998,3,4-1,lb0,,
28.697129999999998,4,3-4,lb2,,
28.697129999999998,5,3-4,lb0,,
29.097089999999998,1,,lb0,,
29.097089999999998,2,,lb1,,
29.097089999999998,3,,r1,,
29.097089999999998,4,,lb1,,
29.097089999999998,5,,r1,,
29.46372,1,3-4,,,
29.46372,2,1-2,,,
29.46372,3,1-2,,,
29.46372,4,4-1,,,
29.46372,5,4-1,,,
29.997,MOT_mc_special_03,3-4,,
30.096989999999998,1,j4-1,,,
30.096989999999998,2,j2-3,,,
30.096989999999998,3,j2-3,,,
30.096989999999998,4,j1-2,,,
30.096989999999998,5,j1-2,,,
30.43029,MOT_mc_special_03,j4-1,,
30.63027,1,sp1-2,,,
30.730259999999998,2,sp3-4,,,
30.730259999999998,3,sp3-4,,,
30.83025,4,sp2-3,,,
30.83025,5,sp2-3,,,
31.763489999999997,MOT_mc_special_03,1-2,,
31.83015,1,sj2,,,
31.930139999999998,2,sj4,,,
31.930139999999998,3,sj4,,,
32.03013,4,sj3,,,
32.03013,5,sj3,,,
32.09679,MOT_mc_special_03,sj2,,
32.3301,1,w2,,,
32.43009,3,w4,,,
32.43009,2,w4,,,
32.46342,1,2-3,,b-1,
32.46342,4,3-4,,b-1,
32.46342,5,3-4,,b-1,
32.79672,3,4-1,,b-1,
32.79672,2,4-1,,b-1,
33.096689999999995,1,,r1,,
33.096689999999995,2,,lb0,,
33.096689999999995,3,,r2,,
33.096689999999995,4,,lb0,,
33.096689999999995,5,,r2,,
33.39666,5,w4,,,
33.39666,4,w4,,,
33.39666,1,w3,,,
33.496649999999995,1,j3-4,,,
33.496649999999995,2,j1-2,,,
33.496649999999995,3,j1-2,,,
33.496649999999995,4,j4-1,,,
33.496649999999995,5,j4-1,,,
33.92994,1,lp4,,,
33.92994,2,lp2,,,
33.92994,3,lp2,,,
33.92994,4,lp1,,,
33.92994,5,lp1,,,
35.129819999999995,1,hj4,,,
35.19648,2,hj2,,,
35.19648,3,hj2,,,
35.26314,4,hj1,,,
35.26314,5,hj1,,,
35.26314,MOT_mc_special_03,j2-3,,
35.86308,3,2-3,,f0,
35.86308,2,2-3,,f0,
36.329699999999995,1,4-1,,f0,
36.329699999999995,4,1-2,,f0,
36.329699999999995,5,1-2,,f0,
36.79632,3,w3,,,
36.79632,2,w3,,,
36.86298,1,1-2,rb0,,
36.86298,2,3-4,l1,,
36.86298,3,3-4,rb1,,
36.86298,4,2-3,l1,,
36.86298,5,2-3,rb1,,
37.42959,1,j2-3,,,
37.42959,2,j4-1,,,
37.42959,3,j4-1,,,
37.42959,4,j3-4,,,
37.42959,5,j3-4,,,
37.562909999999995,MOT_mc_special_03,3-4,,
37.76289,MOT_mc_stage_color_00,r-flash,,
37.76289,MOT_mc_light_under_00,l2,,
37.76289,1,3-4,,,
37.76289,2,1-2,,,
37.76289,3,1-2,,,
37.76289,4,4-1,,,
37.76289,5,4-1,,,
37.962869999999995,MOT_mc_special_03,j4-1,,
37.9962,1,j4-1,,,
37.9962,2,j2-3,,,
37.9962,3,j2-3,,,
37.9962,4,j1-2,,,
37.9962,5,j1-2,,,
38.29617,1,lp1,,,
38.29617,2,lp3,,,
38.29617,3,lp3,,,
38.29617,4,lp2,,,
38.29617,5,lp2,,,
39.02943,MOT_mc_special_03,1-2,,
39.09609,1,1-2,,b-1,
39.09609,4,2-3,,b-1,
39.09609,5,2-3,,b-1,
39.29607,MOT_mc_special_03,lp2,,
39.42939,2,3-4,,b-1,
39.42939,3,3-4,,b-1,
39.79602,1,,l1,,
39.79602,2,,l2,,
39.79602,3,,rb0,,
39.79602,4,,l2,,
39.79602,5,,rb0,,
40.02933,5,w3,,,
40.02933,4,w3,,,
40.02933,1,w2,,,
40.19598,1,j2-3,,,
40.19598,2,j4-1,,,
40.19598,3,j4-1,,,
40.19598,4,j3-4,,,
40.19598,5,j3-4,,,
40.62927,1,lp3,,,
40.62927,2,lp1,,,
40.62927,3,lp1,,,
40.62927,4,lp4,,,
40.62927,5,lp4,,,
41.82915,1,hj3,,,
41.89581,2,hj1,,,
41.89581,3,hj1,,,
41.962469999999996,4,hj4,,,
41.962469999999996,5,hj4,,,
42.46242,2,1-2,,f0,
42.46242,3,1-2,,f0,
42.72906,MOT_mc_special_03,2-3,,
43.06236,1,3-4,,f0,
43.06236,4,4-1,,f0,
43.06236,5,4-1,,f0,
43.09569,MOT_mc_special_03,lp3,,
43.39566,3,w2,,,
43.39566,2,w2,,,
43.56231,1,4-1,lb0,,
43.56231,2,2-3,lb1,,
43.56231,3,2-3,r1,,
43.56231,4,1-2,lb1,,
43.56231,5,1-2,r1,,
43.92894,1,lp1,,,
43.92894,2,lp3,,,
43.92894,3,lp3,,,
43.92894,4,lp2,,,
43.92894,5,lp2,,,
44.59554,1,hj1,,,
44.6622,2,hj3,,,
44.6622,3,hj3,,,
44.72886,4,hj2,,,
44.72886,5,hj2,,,
44.9955,MOT_mc_special_03,sj3,,
45.36213,MOT_mc_special_03,j3-4,,
45.42879,1,lp1,,,
45.42879,2,lp3,,,
45.42879,3,lp3,,,
45.42879,4,lp2,,,
45.42879,5,lp2,,,
45.76209,1,1-2,,,
45.76209,4,2-3,lb0,,
45.76209,5,2-3,rb0,,
45.9954,2,3-4,lb0,,
45.9954,3,3-4,rb0,,
45.9954,MOT_mc_special_03,j4-1,,
46.428689999999996,MOT_mc_special_03,lp1,,
46.52868,1,2-3,,,
46.52868,2,4-1,,,
46.52868,3,4-1,,,
46.52868,4,3-4,,,
46.52868,5,3-4,,,
46.72866,1,j3-4,,,
46.72866,2,j1-2,,,
46.72866,3,j1-2,,,
46.72866,4,j4-1,,,
46.72866,5,j4-1,,,
47.56191,1,hj4,,,
47.628569999999996,2,hj2,,,
47.628569999999996,3,hj2,,,
47.695229999999995,4,hj1,,,
47.695229999999995,5,hj1,,,
48.39516,1,lp4,,,
48.39516,2,lp2,,,
48.39516,3,lp2,,,
48.39516,4,lp1,,,
48.39516,5,lp1,,,
48.528479999999995,MOT_mc_special_03,hj1,,
49.09509,1,4-1,,,
49.09509,4,1-2,l1,,
49.09509,5,1-2,r1,,
49.16175,MOT_mc_special_03,lp1,,
49.361729999999994,2,2-3,l1,,
49.361729999999994,3,2-3,r1,,
49.89501,1,1-2,,,
49.89501,2,3-4,,,
49.89501,3,3-4,,,
49.89501,4,2-3,,,
49.89501,5,2-3,,,
50.094989999999996,1,j2-3,,,
50.094989999999996,2,j4-1,,,
50.094989999999996,3,j4-1,,,
50.094989999999996,4,j3-4,,,
50.094989999999996,5,j3-4,,,
50.39496,1,sj3,,,
50.39496,2,sj1,,,
50.39496,3,sj1,,,
50.39496,4,sj4,,,
50.39496,5,sj4,,,
50.76159,1,3-4,,,
50.76159,2,1-2,,,
50.76159,3,1-2,,,
50.76159,4,4-1,,,
50.76159,5,4-1,,,
51.06156,1,sj4,,,
51.06156,2,sj2,,,
51.06156,3,sj2,,,
51.06156,4,sj1,,,
51.06156,5,sj1,,,
51.361529999999995,MOT_mc_special_03,1-2,,
51.56151,5,w1,,,
51.56151,4,w1,,,
51.56151,3,w2,,,
51.56151,2,w2,,,
51.56151,1,w4,,,
51.6615,MOT_mc_special_03,lp2,,
51.694829999999996,1,sp4-1,,,
51.694829999999996,2,sp2-3,,,
51.694829999999996,3,sp2-3,,,
51.694829999999996,4,sp1-2,,,
51.694829999999996,5,sp1-2,,,
52.128119999999996,1,j1-2,,,
52.194779999999994,2,j3-4,,,
52.194779999999994,3,j3-4,,,
52.26144,4,j2-3,,,
52.26144,5,j2-3,,,
52.6614,MOT_mc_special_03,2-3,,
52.69473,1,2-3,,,
52.69473,4,3-4,lb0,,
52.69473,5,3-4,rb0,,
52.928039999999996,2,4-1,lb0,,
52.928039999999996,3,4-1,rb0,,
52.961369999999995,MOT_mc_special_03,sj3,,
53.294669999999996,MOT_mc_special_03,lp3,,
53.46132,1,3-4,,,
53.46132,2,1-2,,,
53.46132,3,1-2,,,
53.46132,4,4-1,,,
53.46132,5,4-1,,,
53.6613,1,j4-1,,,
53.6613,2,j2-3,,,
53.6613,3,j2-3,,,
53.6613,4,j1-2,,,
53.6613,5,j1-2,,,
54.26124,1,1-2,,,
54.26124,4,2-3,l1,,
54.26124,5,2-3,r1,,
54.49455,2,3-4,l1,,
54.49455,3,3-4,r1,,
54.961169999999996,1,j2-3,,,
54.961169999999996,2,j4-1,,,
54.961169999999996,3,j4-1,,,
54.961169999999996,4,j3-4,,,
54.961169999999996,5,j3-4,,,
55.26114,MOT_mc_special_03,hj3,,
55.327799999999996,1,sp3-4,,,
55.327799999999996,2,sp1-2,,,
55.327799999999996,3,sp1-2,,,
55.327799999999996,4,sp4-1,,,
55.327799999999996,5,sp4-1,,,
57.52758,4,j1-2,,,
57.56091,2,j2-3,,,
57.59424,1,j4-1,,,
57.62757,3,j2-3,,,
57.6609,5,j1-2,,,
58.02753,1,lp1,,,
58.02753,2,lp3,,,
58.02753,3,lp3,,,
58.02753,4,lp2,,,
58.02753,5,lp2,,,
58.160849999999996,MOT_mc_special_03,3-4,,
58.194179999999996,5,2-3,,,
58.227509999999995,3,3-4,,,
58.260839999999995,1,1-2,,,
58.294169999999994,2,3-4,,,
58.3275,4,2-3,,,
58.56081,MOT_mc_special_03,lp4,,
58.76079,1,lp2,,,
58.76079,2,lp4,,,
58.76079,3,lp4,,,
58.76079,4,lp3,,,
58.76079,5,lp3,,,
59.12742,1,j2-3,,,
59.19408,2,j4-1,,,
59.19408,3,j4-1,,,
59.26074,4,j3-4,,,
59.26074,5,j3-4,,,
59.494049999999994,MOT_mc_stage_color_00,y-flash,,
59.494049999999994,MOT_mc_light_up_00,l1,,
59.494049999999994,MOT_mc_light_center_00,l1,,
59.494049999999994,MOT_mc_light_under_00,l1,,
59.494049999999994,MOT_mc_special_01,l1,,
59.494049999999994,MOT_mc_bg_black_00,b0-45,,
59.494049999999994,MOT_mc_special_03,j4-1,,
59.59404,1,sj3,,,
59.59404,2,sj1,,,
59.59404,3,sj1,,,
59.59404,4,sj4,,,
59.59404,5,sj4,,,
60.09399,5,w4,,,
60.09399,4,w4,,,
60.09399,3,w1,,,
60.09399,2,w1,,,
60.09399,1,w3,,,
60.193979999999996,MOT_mc_stage_color_00,b-flash,,
60.76059,MOT_mc_stage_color_00,y-flash,,
61.22721,MOT_mc_stage_color_00,b-flash,,
61.3272,1,j3-4,,,
61.3272,2,j1-2,,,
61.3272,3,j1-2,,,
61.3272,4,j4-1,,,
61.3272,5,j4-1,,,
61.3272,MOT_mc_special_03,j1-2,,
61.6605,MOT_mc_stage_color_00,r-flash,,
61.6605,MOT_mc_light_under_00,l2,,
61.6605,1,lp4,,,
61.6605,2,lp2,,,
61.6605,3,lp2,,,
61.6605,4,lp1,,,
61.6605,5,lp1,,,
63.22701,MOT_mc_special_03,j2-3,,
64.02693,MOT_mc_special_03,j3-4,,
64.19358,1,j4-1,,,
64.26024,2,j2-3,,,
64.26024,3,j2-3,,,
64.3269,4,j1-2,,,
64.3269,5,j1-2,,,
64.62687,1,lp1,,,
64.62687,2,lp3,,,
64.62687,3,lp3,,,
64.86018,4,lp2,,,
64.86018,5,lp2,,,
64.89350999999999,MOT_mc_special_03,j4-1,,
65.92674,MOT_mc_special_03,j1-2,,
66.52668,1,j1-2,,,
66.52668,2,j3-4,,,
66.52668,3,j3-4,,,
66.52668,4,j2-3,,,
66.52668,5,j2-3,,,
66.85998,MOT_mc_special_03,2-3,,
67.02663,1,sj2,,,
67.02663,2,sj4,,,
67.02663,3,sj4,,,
67.02663,4,sj3,,,
67.02663,5,sj3,,,
67.3266,MOT_mc_stage_color_00,b-flash,,
67.49325,1,sj2,,,
67.49325,2,sj4,,,
67.49325,3,sj4,,,
67.49325,4,sj3,,,
67.49325,5,sj3,,,
67.82655,MOT_mc_stage_color_00,y-flash,,
67.95987,1,sj2,,,
67.95987,2,sj4,,,
67.95987,3,sj4,,,
67.95987,4,sj3,,,
67.95987,5,sj3,,,
68.29317,MOT_mc_stage_color_00,b-flash,,
68.35983,1,j2-3,,,
68.35983,2,j4-1,,,
68.35983,3,j4-1,,,
68.35983,4,j3-4,,,
68.35983,5,j3-4,,,
68.72646,MOT_mc_stage_color_00,r-flash,,
68.72646,1,lp3,,,
68.72646,2,lp1,,,
68.72646,3,lp1,,,
68.72646,4,lp4,,,
68.72646,5,lp4,,,
68.72646,MOT_mc_special_03,3-4,,
68.75979,MOT_mc_light_under_00,l2,,
70.45962,MOT_mc_special_03,4-1,,
71.19288,1,3-4,,,
71.19288,2,1-2,,,
71.19288,3,1-2,,,
71.19288,4,4-1,,,
71.19288,5,4-1,,,
71.42618999999999,1,4-1,,,
71.42618999999999,2,2-3,,,
71.42618999999999,3,2-3,,,
71.42618999999999,4,1-2,,,
71.42618999999999,5,1-2,,,
71.52618,MOT_mc_special_03,1-2,,
71.6595,1,hj1,,,
71.6595,2,hj3,,,
71.6595,3,hj3,,,
71.6595,4,hj2,,,
71.6595,5,hj2,,,
72.45942,2,j3-4,,,
72.45942,3,j3-4,,,
72.45942,MOT_mc_special_03,2-3,,
72.89271,5,w2,,,
72.89271,4,w2,,,
72.89271,1,w1,,,
72.92604,1,j1-2,,,
73.45931999999999,1,lp2,,,
73.45931999999999,2,lp4,,,
73.45931999999999,3,lp4,,,
73.45931999999999,4,lp2,,,
73.45931999999999,5,lp2,,,
73.45931999999999,MOT_mc_special_03,3-4,,
74.29257,1,sp2-3,,,
74.29257,MOT_mc_special_03,3-4,,
74.39256,MOT_mc_stage_color_00,b-flash,,
74.39256,2,sp4-1,,,
74.39256,3,sp4-1,,,
74.39256,MOT_mc_special_03,4-1,,
74.49255,4,sp2-3,,,
74.49255,5,sp2-3,,,
74.6592,MOT_mc_special_03,lp1,,
74.82585,MOT_mc_stage_color_00,y-flash,,
75.29247,MOT_mc_stage_color_00,y-flash,,
75.45912,1,j3-4,,,
75.45912,2,j1-2,,,
75.45912,3,j1-2,,,
75.45912,4,j3-4,,,
75.45912,5,j3-4,,,
75.62577,MOT_mc_special_03,sp1-2,,
75.79241999999999,MOT_mc_stage_color_00,r-flash,,
75.82575,MOT_mc_light_up_00,l3,,
75.82575,MOT_mc_light_center_00,l3,,
75.82575,MOT_mc_light_under_00,l2,,
75.82575,MOT_mc_speaker_00,l2,,
75.82575,MOT_mc_back_00,l2,,
75.82575,MOT_mc_special_01,l1,,
75.82575,MOT_mc_bg_black_00,b45-20,,
75.92573999999999,1,sj4,,,
76.02573,2,sj2,,,
76.02573,3,sj2,,,
76.12572,5,sj4,,,
76.12572,4,sj4,,,
76.42569,1,w4,,,
76.52568,3,w2,,,
76.52568,2,w2,,,
76.55901,1,lp4,,,
76.55901,2,lp2,,,
76.55901,3,lp2,,,
76.55901,4,lp4,,,
76.55901,5,lp4,,,
76.55901,MOT_mc_special_03,sj1,,
77.02562999999999,MOT_mc_special_03,lp1,,
77.29227,1,4-1,l1,,
77.29227,4,4-1,l2,,
77.29227,5,4-1,rb0,,
77.79222,3,2-3,rb0,,
77.79222,2,2-3,l2,,
78.22551,5,w1,,,
78.22551,4,w1,,,
78.22551,1,w1,,,
78.25883999999999,1,1-2,l2,,
78.25883999999999,4,1-2,l3,,
78.25883999999999,5,1-2,l1,,
78.69212999999999,3,3-4,l1,,
78.69212999999999,2,3-4,l3,,
79.19207999999999,5,w2,,,
79.19207999999999,4,w2,,,
79.19207999999999,1,j2-3,,,
79.19207999999999,2,j4-1,,,
79.19207999999999,3,j4-1,,,
79.19207999999999,4,j2-3,,,
79.19207999999999,5,j2-3,,,
79.59204,1,sp3-4,,,
79.59204,2,sp1-2,,,
79.59204,3,sp1-2,,,
79.59204,4,sp3-4,,,
79.59204,5,sp3-4,,,
80.42528999999999,MOT_mc_special_03,j1-2,,
80.59194,1,j4-1,,,
80.59194,2,j2-3,,,
80.59194,3,j2-3,,,
80.59194,4,j4-1,,,
80.59194,5,j4-1,,,
80.82525,MOT_mc_special_03,lp2,,
81.25854,1,1-2,lb1,,
81.25854,4,1-2,lb2,,
81.25854,5,1-2,lb0,,
81.65849999999999,3,w3,,,
81.65849999999999,2,w3,,,
81.75849,2,3-4,lb2,,
81.75849,3,3-4,lb0,,
82.19178,5,w2,,,
82.19178,4,w2,,,
82.19178,1,w2,,,
82.25844,1,2-3,lb0,,
82.25844,4,2-3,lb1,,
82.25844,5,2-3,r1,,
82.69172999999999,3,w4,,,
82.69172999999999,2,w4,,,
82.72506,2,4-1,lb1,,
82.72506,3,4-1,r1,,
82.79172,MOT_mc_special_03,sp2-3,,
83.19167999999999,5,w3,,,
83.19167999999999,4,w3,,,
83.19167999999999,1,w3,,,
83.6583,3,w1,,,
83.6583,2,w1,,,
84.02493,1,sj3,,,
84.02493,2,sj1,,,
84.02493,3,sj1,,,
84.02493,4,sj3,,,
84.02493,5,sj3,,,
84.02493,MOT_mc_special_03,sj3,,
84.42488999999999,MOT_mc_special_03,lp3,,
84.52488,5,w3,,,
84.52488,4,w3,,,
84.52488,3,w1,,,
84.52488,2,w1,,,
84.52488,1,w3,,,
85.05816,2,sj1,,,
85.05816,3,sj1,,,
85.05816,MOT_mc_special_03,j3-4,,
85.29146999999999,2,1-2,,,
85.29146999999999,3,1-2,,,
85.55811,MOT_mc_special_03,lp4,,
85.92474,1,sj3,,,
85.92474,4,sj3,,,
85.92474,5,sj3,,,
86.15805,1,3-4,,,
86.15805,4,3-4,,,
86.15805,5,3-4,,,
86.22471,3,w2,,,
86.22471,2,w2,,,
86.89130999999999,2,2-3,,b-1,
86.89130999999999,3,2-3,,b-1,
86.89130999999999,MOT_mc_special_03,j4-1,,
87.09129,5,w4,,,
87.09129,4,w4,,,
87.09129,1,w4,,,
87.29127,MOT_mc_special_03,lp1,,
87.75788999999999,1,4-1,,b-1,
87.75788999999999,4,4-1,,b-1,
87.75788999999999,5,4-1,,b-1,
87.82455,3,w3,,,
87.82455,2,w3,,,
88.39116,1,1-2,,,
88.39116,2,3-4,lb0,,
