0.03333,MOT_control_all,kimi01,,
0.03333,MOT_all,kimi00,,
0.03333,MOT_mc_stage_color_00,b,,
19.49805,5,3-4,,,
19.764689999999998,1,w2,,,
19.86468,1,2-3,,,
19.93134,2,4-1,,,
19.93134,3,4-1,,,
19.997999999999998,4,4-1,,,
19.997999999999998,5,4-1,,,
20.397959999999998,1,3-4,,,
20.397959999999998,2,1-2,,,
20.397959999999998,3,1-2,,,
20.397959999999998,4,1-2,,,
20.397959999999998,5,1-2,,,
21.3312,5,w2,,,
21.3312,4,w2,,,
21.3312,3,w2,,,
21.3312,2,w2,,,
21.3312,1,w4,,,
21.56451,4,sp2-3,,,
21.56451,5,sp2-3,,,
21.56451,1,sp4-1,,,
22.49775,2,sp2-3,,,
22.49775,3,sp2-3,,,
23.26434,4,j3-4,,,
23.26434,5,j3-4,,,
23.89761,2,j3-4,,,
23.89761,3,j3-4,,,
24.3309,5,w4,,,
24.3309,4,w4,,,
24.53088,1,1-2,,,
24.96417,3,w4,,,
24.96417,2,w4,,,
25.16415,2,j4-1,,,
25.16415,3,j4-1,,,
25.464119999999998,1,w2,,,
25.56411,4,j4-1,,,
25.56411,5,j4-1,,,
25.56411,1,j2-3,,,
26.16405,1,sp3-4,,,
26.16405,2,sp1-2,,,
26.16405,3,sp1-2,,,
26.16405,4,sp1-2,,,
26.16405,5,sp1-2,,,
27.463919999999998,1,j4-1,,,
28.16385,2,j2-3,,,
28.16385,3,j2-3,,,
28.530479999999997,1,w1,,,
28.730459999999997,4,j2-3,,,
28.730459999999997,5,j2-3,,,
29.16375,1,1-2,,,
29.19708,2,3-4,,,
29.19708,3,3-4,,,
29.23041,4,3-4,,,
29.23041,5,3-4,,,
29.963669999999997,1,lp2,,,
29.963669999999997,2,lp4,,,
29.963669999999997,3,lp4,,,
29.963669999999997,4,lp4,,,
29.963669999999997,5,lp4,,,
30.63027,MOT_control_all,kimi03,,
30.9969,2,,,,D20
30.9969,3,,,,D20
30.9969,4,,,,D20
30.9969,5,,,,D20
30.9969,MOT_all,kimi02,,
31.03023,1,2-3,,,
31.03023,2,4-1,,,
31.03023,3,4-1,,,
31.03023,4,4-1,,,
31.03023,5,4-1,,,
31.163549999999997,2,,,,D40
31.163549999999997,3,,,,D40
31.163549999999997,4,,,,D40
31.163549999999997,5,,,,D40
31.46352,1,sj3,,,
31.46352,2,sj1,,,
31.46352,3,sj1,,,
31.46352,4,sj1,,,
31.46352,5,sj1,,,
31.930139999999998,1,3-4,,f1,
31.963469999999997,5,w1,,,
31.963469999999997,4,w1,,,
31.963469999999997,3,w1,,,
31.963469999999997,2,w1,,,
32.56341,1,lp4,,,
33.33,1,4-1,r1,,
33.863279999999996,1,lp1,,,
34.16325,1,1-2,r2,,
34.59654,1,2-3,,,
35.063159999999996,1,lp3,,,
35.39646,1,sj3,,,
35.896409999999996,1,w3,,,
35.929739999999995,1,3-4,rb1,,
36.52968,1,,rb0,,
36.86298,1,w4,,,
37.129619999999996,1,sj4,,,
37.62957,1,w4,,,
37.86288,4,1-2,,,
37.86288,5,1-2,,,
37.86288,2,1-2,,,
37.86288,3,1-2,,,
37.86288,1,sp4-1,,,
38.796119999999995,5,w2,,,
38.796119999999995,4,w2,,,
38.796119999999995,3,w2,,,
38.796119999999995,2,w2,,,
39.162749999999996,1,1-2,l1,,
39.929339999999996,1,sj2,,,
40.42929,1,lp2,,,
40.795919999999995,1,2-3,lb0,,
41.29587,1,lp3,,,
41.995799999999996,1,3-4,,,
42.46242,1,lp4,,,
43.595639999999996,2,2-3,lb0,,
43.595639999999996,3,2-3,r2,,
43.595639999999996,4,2-3,lb0,,
43.595639999999996,5,2-3,r2,,
43.595639999999996,1,j4-1,,,
44.29557,1,lp1,,,
44.52888,5,w3,,,
44.52888,4,w3,,,
44.52888,3,w3,,,
44.52888,2,w3,,,
44.59554,1,1-2,l1,,
45.09549,2,3-4,l1,,
45.09549,3,3-4,rb1,,
45.09549,4,3-4,l1,,
45.09549,5,3-4,rb1,,
45.12882,1,2-3,l2,,
45.92874,1,3-4,l3,,
46.028729999999996,5,w4,,,
46.028729999999996,4,w4,,,
46.028729999999996,3,w4,,,
46.028729999999996,2,w4,,,
46.29537,2,4-1,l2,,
46.29537,3,4-1,rb0,,
46.29537,4,4-1,l2,,
46.29537,5,4-1,rb0,,
46.662,1,lp4,,,
47.228609999999996,5,w1,,,
47.228609999999996,4,w1,,,
47.228609999999996,3,w1,,,
47.228609999999996,2,w1,,,
47.46192,1,4-1,lb2,,
47.628569999999996,2,1-2,lb1,,
47.628569999999996,3,1-2,r1,,
47.628569999999996,4,1-2,lb1,,
47.628569999999996,5,1-2,r1,,
47.9952,1,1-2,lb1,,
48.56181,5,w2,,,
48.56181,4,w2,,,
48.56181,3,w2,,,
48.56181,2,w2,,,
48.6618,1,2-3,lb0,,
49.361729999999994,1,3-4,,,
49.361729999999994,2,2-3,,,
49.361729999999994,3,2-3,,,
49.361729999999994,4,2-3,,,
49.361729999999994,5,2-3,,,
50.02833,1,4-1,,,
50.02833,2,3-4,,,
50.02833,3,3-4,,,
50.02833,4,3-4,,,
50.02833,5,3-4,,,
50.02833,2,,l2,,
50.02833,3,,r2,,
50.02833,4,,l2,,
50.02833,5,,r2,,
50.6616,1,1-2,,,
50.6616,2,4-1,,,
50.6616,3,4-1,,,
50.6616,4,4-1,,,
50.6616,5,4-1,,,
51.361529999999995,1,2-3,,,
51.361529999999995,2,1-2,,,
51.361529999999995,3,1-2,,,
51.361529999999995,4,1-2,,,
51.361529999999995,5,1-2,,,
51.361529999999995,2,,l3,,
51.361529999999995,3,,r3,,
51.361529999999995,4,,l3,,
51.361529999999995,5,,r3,,
52.06146,1,3-4,,,
52.06146,2,2-3,,,
52.06146,3,2-3,,,
52.06146,4,2-3,,,
52.06146,5,2-3,,,
52.76139,1,lp4,,,
52.76139,2,lp3,,,
52.76139,3,lp3,,,
52.76139,4,lp3,,,
52.76139,5,lp3,,,
53.52798,1,4-1,,,
53.52798,2,3-4,,,
53.52798,3,3-4,,,
53.52798,4,3-4,,,
53.52798,5,3-4,,,
54.194579999999995,1,lp1,,,
54.194579999999995,2,lp4,,,
54.194579999999995,3,lp4,,,
54.194579999999995,4,lp4,,,
54.194579999999995,5,lp4,,,
55.027829999999994,1,1-2,,,
55.027829999999994,2,4-1,,,
55.027829999999994,3,4-1,,,
55.027829999999994,4,4-1,,,
55.027829999999994,5,4-1,,,
55.027829999999994,2,,lb2,,
55.027829999999994,3,,rb2,,
55.027829999999994,4,,lb2,,
55.027829999999994,5,,rb2,,
55.62777,1,lp2,,,
55.62777,2,lp1,,,
55.62777,3,lp1,,,
55.62777,4,lp1,,,
55.62777,5,lp1,,,
56.561009999999996,4,j1-2,,,
56.561009999999996,5,j1-2,,,
57.09429,2,,,,D80
57.09429,3,,,,D80
57.09429,4,,,,D80
57.09429,5,,,,D80
57.09429,MOT_mc_stage_color_00,b-flash,,
57.09429,2,j1-2,,,
57.09429,3,j1-2,,,
57.09429,MOT_all,kimi03,,
57.29427,MOT_control_all,kimi04,,
57.62757,5,w2,,,
57.62757,4,w2,,,
57.72756,2,lp2,,b-1,
57.72756,3,lp2,,b-1,
57.72756,4,lp2,,b-1,
57.72756,5,lp2,,b-1,
57.72756,1,2-3,,,
58.39416,1,sj3,,,
58.89411,1,w3,,,
59.027429999999995,1,lp3,,,
59.827349999999996,1,3-4,l1,,
60.39396,1,4-1,l2,,
61.060559999999995,2,2-3,,,
61.060559999999995,3,2-3,,,
61.060559999999995,4,2-3,,,
61.060559999999995,5,2-3,,,
61.060559999999995,1,j1-2,,,
61.527179999999994,2,lp3,,,
61.527179999999994,3,lp3,,,
61.527179999999994,4,lp3,,,
61.527179999999994,5,lp3,,,
62.12712,1,w2,,,
62.360429999999994,1,2-3,lb1,,
63.19368,1,,lb0,,
63.29367,1,w3,,,
63.926939999999995,1,sp3-4,,,
63.9936,2,sp3-4,,,
63.9936,3,sp3-4,,,
63.9936,4,sp3-4,,,
63.9936,5,sp3-4,,,
65.29347,1,4-1,,,
65.36013,2,sj4,,,
65.36013,3,sj4,,,
65.36013,4,sj4,,,
65.36013,5,sj4,,,
65.76008999999999,2,lp4,,,
65.76008999999999,3,lp4,,,
65.76008999999999,4,lp4,,,
65.76008999999999,5,lp4,,,
66.09339,1,sj1,,,
66.59334,1,w1,,,
66.89331,1,j1-2,,,
67.52658,1,lp2,,,
67.75989,MOT_mc_stage_color_00,b-flash,,
67.89321,2,,,,L60
67.89321,3,,,,L60
67.89321,4,,,,L60
67.89321,5,,,,L60
67.89321,1,2-3,,f2,
67.89321,MOT_all,kimi04,,
68.02653,MOT_control_all,kimi05,,
68.02653,2,,,,L40
68.02653,3,,,,L40
68.02653,4,,,,L40
68.02653,5,,,,L40
68.09318999999999,2,4-1,,f0,
68.09318999999999,3,4-1,,f0,
68.15984999999999,2,,,,L20
68.15984999999999,3,,,,L20
68.15984999999999,4,,,,L20
68.15984999999999,5,,,,L20
68.15984999999999,1,,,,Lbl
68.25984,MOT_mc_stage_color_00,b-flash,,
68.29317,2,,,,L0
68.29317,3,,,,L0
68.29317,4,,,,L0
68.29317,5,,,,L0
68.29317,4,4-1,,f0,
68.29317,5,4-1,,f0,
68.65979999999999,4,j1-2,,,
68.65979999999999,5,j1-2,,,
68.82645,1,w3,,,
68.85978,2,j1-2,,,
68.85978,3,j1-2,,,
69.05976,1,j3-4,,,
69.52638,4,j2-3,,,
69.52638,5,j2-3,,,
69.55971,2,j2-3,,,
69.55971,3,j2-3,,,
69.59304,1,j4-1,,,
70.19297999999999,1,lp1,,,
70.19297999999999,2,lp3,,,
70.19297999999999,3,lp3,,,
70.19297999999999,4,lp3,,,
70.19297999999999,5,lp3,,,
70.85958,1,1-2,,,
70.85958,2,3-4,,,
70.85958,3,3-4,,,
70.85958,4,3-4,,,
70.85958,5,3-4,,,
71.49284999999999,1,2-3,l1,,
71.49284999999999,2,4-1,l3,,
71.49284999999999,3,4-1,rb1,,
71.49284999999999,4,4-1,l3,,
71.49284999999999,5,4-1,rb1,,
72.29276999999999,1,3-4,l2,,
72.29276999999999,2,1-2,l4,,
72.29276999999999,3,1-2,rb0,,
72.29276999999999,4,1-2,l4,,
72.29276999999999,5,1-2,rb0,,
72.69273,MOT_mc_stage_color_00,b-flash,,
72.89271,1,4-1,lb1,,
72.89271,4,2-3,lb3,,
72.89271,5,2-3,r1,,
73.22601,3,w2,,,
73.22601,2,w2,,,
73.326,2,2-3,lb3,,
73.326,3,2-3,r1,,
73.79262,1,1-2,lb0,,
73.79262,2,3-4,lb2,,
73.79262,3,3-4,r2,,
73.79262,4,3-4,lb2,,
73.79262,5,3-4,r2,,
74.25923999999999,1,,r1,,
74.25923999999999,2,,lb1,,
74.25923999999999,3,,r3,,
74.25923999999999,4,,lb1,,
74.25923999999999,5,,r3,,
74.69252999999999,1,2-3,r2,,
74.69252999999999,2,4-1,lb0,,
74.69252999999999,3,4-1,r4,,
74.69252999999999,4,4-1,lb0,,
74.69252999999999,5,4-1,r4,,
75.39246,1,3-4,,,
75.39246,2,1-2,,,
75.39246,3,1-2,,,
75.39246,4,1-2,,,
75.39246,5,1-2,,,
75.9924,1,4-1,rb1,,
75.9924,4,2-3,l1,,
75.9924,5,2-3,rb3,,
76.3257,3,w2,,,
76.3257,2,w2,,,
76.42569,2,2-3,l1,,
76.42569,3,2-3,rb3,,
76.79231999999999,1,1-2,rb0,,
76.79231999999999,4,3-4,l2,,
76.79231999999999,5,3-4,rb2,,
77.15894999999999,2,3-4,l2,,
77.15894999999999,3,3-4,rb2,,
77.62557,1,2-3,,,
77.72556,5,w4,,,
77.72556,4,w4,,,
78.02553,1,sj3,,,
78.09219,3,w4,,,
78.09219,2,w4,,,
78.49215,1,j3-4,,,
79.09209,2,4-1,l3,,
79.09209,3,4-1,r3,,
79.09209,4,4-1,l3,,
79.09209,5,4-1,r3,,
79.09209,1,4-1,r1,,
79.72536,1,1-2,rb0,,
80.02533,5,w1,,,
80.02533,4,w1,,,
80.02533,3,w1,,,
80.02533,2,w1,,,
80.49195,1,sj2,,,
80.9919,1,w2,,,
81.09188999999999,2,1-2,lb2,,
81.09188999999999,3,1-2,rb2,,
81.09188999999999,4,1-2,lb2,,
81.09188999999999,5,1-2,rb2,,
81.09188999999999,1,2-3,,,
81.55851,1,lp3,,,
82.02512999999999,5,w2,,,
82.02512999999999,4,w2,,,
82.02512999999999,3,w2,,,
82.02512999999999,2,w2,,,
82.32509999999999,1,3-4,,,
82.32509999999999,2,2-3,,,
82.32509999999999,3,2-3,,,
82.32509999999999,4,2-3,,,
82.32509999999999,5,2-3,,,
82.95837,1,4-1,l1,,
82.95837,2,3-4,l3,,
82.95837,3,3-4,rb1,,
82.95837,4,3-4,l3,,
82.95837,5,3-4,rb1,,
83.75829,1,1-2,l2,,
83.75829,2,4-1,l4,,
83.75829,3,4-1,rb0,,
83.75829,4,4-1,l4,,
83.75829,5,4-1,rb0,,
84.35822999999999,1,2-3,lb1,,
84.35822999999999,4,1-2,lb3,,
84.35822999999999,5,1-2,r1,,
84.69153,3,w1,,,
84.69153,2,w1,,,
84.79151999999999,2,1-2,lb3,,
84.79151999999999,3,1-2,r1,,
85.25814,1,3-4,lb0,,
85.25814,2,2-3,lb2,,
85.25814,3,2-3,r2,,
85.25814,4,2-3,lb2,,
85.25814,5,2-3,r2,,
85.72475999999999,1,,r1,,
85.72475999999999,2,,lb1,,
85.72475999999999,3,,r3,,
85.72475999999999,4,,lb1,,
85.72475999999999,5,,r3,,
86.19138,5,w3,,,
86.19138,4,w3,,,
86.19138,3,w3,,,
86.19138,2,w3,,,
86.19138,1,4-1,rb0,,
86.19138,4,3-4,l2,,
86.19138,5,3-4,rb2,,
86.42469,2,3-4,l2,,
86.42469,3,3-4,rb2,,
86.9913,1,j1-2,,,
86.9913,4,j4-1,,,
86.9913,5,j4-1,,,
87.25793999999999,2,j4-1,,,
87.25793999999999,3,j4-1,,,
87.75788999999999,2,lp1,,,
87.75788999999999,3,lp1,,,
87.75788999999999,4,lp1,,,
87.75788999999999,5,lp1,,,
87.75788999999999,1,lp2,,,
88.22451,1,2-3,,,
88.6578,1,sj3,,,
89.09109,1,lp3,,,
89.49105,1,sj3,,,
89.95767,2,1-2,,,
89.95767,3,1-2,,,
89.95767,4,1-2,,,
89.95767,5,1-2,,,
89.95767,1,j3-4,,,
90.42429,2,lp2,,,
90.42429,3,lp2,,,
90.42429,4,lp2,,,
90.42429,5,lp2,,,
90.55761,1,4-1,r1,,
91.19087999999999,1,1-2,rb0,,
91.95747,1,2-3,,,
92.55740999999999,1,hj3,,,
93.25734,1,sp3-4,,,
94.19058,2,hj2,,,
94.19058,3,hj2,,,
94.82385,2,sp2-3,,,
94.82385,3,sp2-3,,,
95.6571,5,hj2,,,
95.6571,4,hj2,,,
96.29037,4,sp2-3,,,
96.29037,5,sp2-3,,,
96.99029999999999,1,4-1,,,
97.05695999999999,2,3-4,,,
97.05695999999999,3,3-4,,,
97.12362,4,3-4,,,
97.12362,5,3-4,,,
97.62357,1,1-2,,,
97.62357,2,4-1,,,
97.62357,3,4-1,,,
97.62357,4,4-1,,,
97.62357,5,4-1,,,
98.09018999999999,1,j2-3,,,
98.09018999999999,2,j1-2,,,
98.09018999999999,3,j1-2,,,
98.09018999999999,4,j1-2,,,
98.09018999999999,5,j1-2,,,
98.65679999999999,1,hj3,,,
98.69013,2,j2-3,,,
98.69013,3,j2-3,,,
98.69013,4,j2-3,,,
98.69013,5,j2-3,,,
98.75679,MOT_control_all,kimi06,,
99.39005999999999,1,lp3,,,
99.39005999999999,2,lp3,,,
99.39005999999999,3,lp3,,,
99.39005999999999,4,lp3,,,
99.39005999999999,5,lp3,,,
100.32329999999999,4,j3-4,,,
100.32329999999999,5,j3-4,,,
100.92323999999999,2,j3-4,,,
100.92323999999999,3,j3-4,,,
101.38986,5,w4,,,
101.38986,4,w4,,,
101.55650999999999,1,j3-4,,,
101.55650999999999,2,j4-1,,,
101.55650999999999,3,j4-1,,,
101.55650999999999,4,j4-1,,,
101.55650999999999,5,j4-1,,,
102.62307,5,w1,,,
102.62307,4,w1,,,
102.62307,3,w1,,,
102.62307,2,w1,,,
102.62307,1,w4,,,
102.9897,1,j4-1,,,
102.9897,4,j1-2,,,
102.9897,5,j1-2,,,
103.55631,2,j1-2,,,
103.55631,3,j1-2,,,
104.05626,5,w2,,,
104.05626,4,w2,,,
104.05626,1,w1,,,
104.18957999999999,4,j2-3,,,
104.18957999999999,5,j2-3,,,
104.62286999999999,3,w2,,,
104.62286999999999,2,w2,,,
104.62286999999999,1,j1-2,,,
105.25614,5,w3,,,
105.25614,4,w3,,,
105.68943,1,w2,,,
105.95607,1,j2-3,,,
105.95607,4,j3-4,,,
105.95607,5,j3-4,,,
106.52268,2,j2-3,,,
106.52268,3,j2-3,,,
107.02262999999999,5,w4,,,
107.02262999999999,4,w4,,,
107.02262999999999,1,w3,,,
107.15594999999999,4,j4-1,,,
107.15594999999999,5,j4-1,,,
107.58923999999999,3,w3,,,
107.58923999999999,2,w3,,,
107.58923999999999,1,sj3,,,
108.08919,1,sp3-4,,,
108.22251,5,w1,,,
108.22251,4,w1,,,
108.78912,3,sj3,,,
108.78912,2,sj3,,,
108.78912,4,sj1,,,
108.78912,5,sj1,,,
109.28907,5,w1,,,
109.28907,4,w1,,,
109.28907,2,w3,,,
109.28907,3,sp3-4,,,
109.28907,2,sp3-4,,,
109.28907,4,sp1-2,,,
109.28907,5,sp1-2,,,
110.42228999999999,1,4-1,,,
110.42228999999999,2,4-1,,,
110.42228999999999,3,4-1,,,
110.42228999999999,4,2-3,,,
110.42228999999999,5,2-3,,,
110.78891999999999,MOT_all,kimi05,,
111.12222,2,,,,D20
111.12222,3,,,,D20
111.12222,4,,,,D20
111.12222,5,,,,D20
111.12222,MOT_mc_stage_color_00,b-flash,,
111.12222,1,j1-2,,,
111.18888,3,j1-2,,,
111.18888,2,j1-2,,,
111.25554,5,j3-4,,,
111.25554,4,j3-4,,,
111.85548,1,lp2,,,
111.85548,2,lp2,,,
111.85548,3,lp2,,,
111.85548,4,lp4,,,
111.85548,5,lp4,,,
114.02193,1,2-3,,,
114.02193,2,2-3,,,
114.02193,3,2-3,,,
114.02193,4,4-1,,,
114.02193,5,4-1,,,
114.62187,1,lp3,,,
114.62187,2,lp3,,,
114.62187,3,lp3,,,
114.62187,4,lp1,,,
114.62187,5,lp1,,,
117.82154999999999,4,1-2,,,
117.82154999999999,5,1-2,,,
117.92154,3,3-4,,,
117.92154,2,3-4,,,
118.02153,1,3-4,,,
118.12151999999999,4,2-3,,,
118.12151999999999,5,2-3,,,
118.22151,3,4-1,,,
118.22151,2,4-1,,,
118.3215,1,4-1,,,
118.6548,2,,,,D40
118.6548,3,,,,D40
118.6548,4,,,,D40
118.6548,5,,,,D40
118.6548,MOT_mc_stage_color_00,b-flash,,
118.6548,1,1-2,,,
118.6548,2,1-2,,,
118.6548,3,1-2,,,
118.6548,4,3-4,,,
118.6548,5,3-4,,,
118.6548,MOT_all,kimi06,,
119.58803999999999,5,w4,,,
119.58803999999999,4,w4,,,
119.58803999999999,3,w2,,,
119.58803999999999,2,w2,,,
119.58803999999999,1,w2,,,
