0.03333,MOT_all,cut1,,
0.3333,MOT_mc_back_00,blue,,
54.46122,1,sp2-3,,,
54.561209999999996,MOT_all,cut2,,
55.62777,1,hj3,,,
56.86098,1,w3,,,
56.92764,1,3-4,,,
56.960969999999996,MOT_mc_back_00,radio,,
57.360929999999996,1,4-1,,,
57.59424,MOT_all,cut3,,
57.760889999999996,1,lp1,,,
57.827549999999995,2,4-1,,,
58.02753,2,1-2,,,
58.39416,2,2-3,,,
58.694129999999994,2,,lb1,,
59.060759999999995,2,,lb0,,
59.3274,2,w3,,,
59.36073,2,,r1,,
59.860679999999995,2,lp3,,,
60.49395,1,1-2,,,
60.82725,1,2-3,,,
61.26054,2,3-4,,,
61.6605,1,lp3,,,
61.6605,2,4-1,,,
62.06046,2,,rb0,,
62.42709,2,,l1,,
62.59374,2,w1,,,
62.760389999999994,2,,l2,,
63.22701,2,lp1,lb1,,
63.62697,1,3-4,rb2,,
64.06026,1,4-1,,,
64.52687999999999,1,lp1,,,
64.52687999999999,2,1-2,,,
64.92684,2,2-3,,,
65.36013,2,,lb0,,
65.6601,2,,l1,,
65.86008,2,w3,,,
66.02673,2,lp3,lb0,,
66.92663999999999,1,,rb1,,
67.35992999999999,1,,rb0,,
67.79321999999999,2,3-4,r1,,
68.22650999999999,2,4-1,,,
68.62647,1,,l1,,
68.62647,2,,r2,,
68.95976999999999,1,,l2,,
68.95976999999999,2,,r3,,
69.15975,2,w1,,,
69.32639999999999,2,1-2,,,
69.52638,1,1-2,,,
69.75968999999999,2,2-3,,,
69.92634,1,2-3,,,
70.29297,1,,lb1,,
70.29297,2,,rb2,,
70.59294,1,,lb0,,
70.59294,2,,rb1,,
70.69292999999999,2,w3,,,
70.85958,1,w3,,,
70.99289999999999,1,3-4,r1,,
70.99289999999999,2,lp3,,,
71.29287,1,lp4,,,
72.42609,1,4-1,,,
72.85938,1,1-2,,,
73.45931999999999,1,,rb0,,
73.79262,1,w2,,,
73.85928,1,,l1,,
74.32589999999999,1,lp2,,,
74.92584,2,3-4,,,
75.85907999999999,2,w4,,,
75.89241,2,4-1,r2,,
76.29236999999999,2,1-2,,,
76.72565999999999,2,2-3,,,
77.19228,2,3-4,,,
77.6589,2,4-1,rb1,,
78.52548,2,1-2,rb0,,
78.85878,2,2-3,,,
79.19207999999999,1,2-3,,,
79.69203,1,3-4,lb0,,
79.79202,2,w3,,,
80.05866,1,4-1,l1,,
80.3253,2,3-4,r1,,
80.62527,2,4-1,,,
80.95857,1,1-2,lb0,,
81.35853,2,1-2,rb0,,
81.72516,1,j2-3,,,
82.15845,2,j2-3,,,
82.49175,1,3-4,,,
82.49175,2,3-4,,,
83.19167999999999,1,4-1,,,
83.19167999999999,2,4-1,,,
83.35833,MOT_all,cut4,,
83.52498,MOT_mc_back_00,radio-out,,
84.12492,2,w1,,,
84.12492,1,w1,,,
84.25824,1,,l1,,
84.25824,2,,r1,,
84.25824,MOT_all,cut5,,
84.52488,1,,l2,,
84.52488,2,,r2,,
84.79151999999999,1,,l3,,
84.79151999999999,2,,r3,,
85.35813,1,lp1,l4,,
85.65809999999999,2,1-2,,,
86.02472999999999,1,1-2,,,
86.02472999999999,2,2-3,,,
86.72466,1,2-3,,,
86.72466,2,3-4,,,
87.15795,1,j3-4,,,
87.15795,2,j4-1,,,
87.59124,2,1-2,,,
87.92454,1,4-1,,,
88.29117,2,2-3,,,
88.52448,1,1-2,lb3,,
89.19108,1,,lb2,,
89.19108,2,,rb2,,
89.22440999999999,2,w3,,,
89.45772,1,w2,,,
89.62437,1,,lb1,,
89.62437,2,,rb1,,
90.09098999999999,1,,lb0,,
90.09098999999999,2,,rb0,,
90.49095,1,lp2,,,
90.49095,2,lp3,,,
91.75748999999999,1,2-3,,,
91.75748999999999,2,3-4,,,
92.49074999999999,1,,r1,,
92.49074999999999,2,,l1,,
92.69073,2,w4,,,
92.69073,1,w3,,,
92.89071,1,lp3,,,
92.89071,2,lp4,,,
93.35732999999999,1,,rb0,,
93.35732999999999,2,,lb0,,
93.85728,1,j3-4,,,
93.85728,2,j4-1,,,
94.25724,1,4-1,,,
94.55721,2,1-2,,,
94.9905,1,1-2,,,
95.29047,2,2-3,,,
95.79042,1,sp2-3,,,
95.79042,2,sp3-4,,,
96.79032,1,hj3,,,
96.79032,2,hj4,,,
97.29026999999999,1,3-4,l1,,
97.29026999999999,2,4-1,r1,,
97.6569,1,4-1,l2,,
97.6569,2,1-2,r2,,
98.02353,1,1-2,,,
98.02353,2,2-3,,,
98.42349,1,2-3,l3,,
98.42349,2,3-4,r3,,
98.92344,1,3-4,lb2,,
98.92344,2,4-1,rb2,,
99.25674,1,lp4,,,
99.25674,2,lp1,,,
100.22331,1,hj4,,,
100.22331,2,hj1,,,
100.6566,1,4-1,l3,,
100.6566,2,1-2,r3,,
101.02323,1,1-2,,,
101.02323,2,2-3,,,
101.42318999999999,1,2-3,,,
101.42318999999999,2,3-4,,,
101.88981,1,3-4,l4,,
101.88981,2,4-1,r4,,
102.48975,1,4-1,lb3,,
102.48975,2,1-2,rb3,,
103.12302,1,1-2,,,
103.12302,2,2-3,,,
103.6563,1,j2-3,,,
103.6563,2,j3-4,,,
104.05626,2,j4-1,rb2,,
104.22291,1,j3-4,lb2,,
104.42289,2,sp1-2,,,
104.58954,1,sp4-1,,,
105.3228,1,hj1,,,
105.3228,2,hj2,,,
105.78941999999999,1,lp1,lb1,,
105.78941999999999,2,lp2,rb1,,
106.62267,2,2-3,,,
106.92264,1,1-2,,,
107.25594,2,j3-4,,,
107.68923,1,j2-3,,,
108.08919,2,4-1,,,
108.52248,1,3-4,,,
109.02243,2,w1,,,
109.08909,1,4-1,l2,,
109.08909,2,1-2,r2,,
109.55570999999999,1,sp1-2,,,
109.55570999999999,2,sp2-3,,,
110.22231,1,lp2,,,
110.22231,2,lp3,,,
110.75559,1,hj2,,,
110.75559,2,hj3,,,
111.68883,2,,rb1,,
111.72215999999999,1,,lb1,,
111.9888,2,w3,,,
111.9888,1,w2,,,
112.05546,2,,r2,,
112.08878999999999,1,,l2,,
112.52207999999999,1,sp2-3,,,
112.52207999999999,2,sp3-4,,,
113.6553,1,hj3,,,
113.6553,2,hj4,,,
114.25524,2,,rb1,,
114.28856999999999,1,3-4,,,
114.58854,2,,rb0,,
114.88851,2,w4,,,
114.9885,2,lp4,,,
115.02183,1,4-1,,,
115.82175,1,lp1,,,
116.92164,1,hj1,,,
116.92164,2,hj4,,,
117.62156999999999,1,lp1,lb1,,
117.78822,2,4-1,r1,,
118.3215,2,sp1-2,r2,,
118.52148,1,sp1-2,l2,,
119.22140999999999,2,,rb1,,
119.25474,1,,lb1,,
119.48805,2,2-3,rb0,,
119.52138,1,2-3,lb0,,
119.82135,1,lp3,,,
119.82135,2,lp3,,,
120.18798,1,hj3,,,
120.18798,2,hj3,,,
120.85458,2,3-4,l1,,
120.88790999999999,1,3-4,r1,,
121.18787999999999,1,lp4,,,
121.18787999999999,2,lp4,,,
121.55451,1,4-1,,,
121.85448,2,4-1,,,
122.38776,1,lp1,,,
122.38776,2,lp1,,,
122.68772999999999,1,1-2,rb0,,
122.95437,2,1-2,lb0,,
123.38766,1,hj2,,,
123.38766,2,hj2,,,
123.82095,1,2-3,,,
123.82095,2,2-3,,,
124.25424,2,3-4,,,
124.65419999999999,1,3-4,,,
125.08748999999999,1,4-1,,,
125.08748999999999,2,4-1,,,
125.52077999999999,1,sp1-2,,,
125.52077999999999,2,sp1-2,,,
126.72066,1,hj2,,,
126.72066,2,hj2,,,
127.95387,2,w2,,,
127.95387,1,w2,,,
