0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_special_01,stay,,
0.03333,MOT_mc_special_02,stay,,
0.03333,MOT_mc_light_center_00,off,,
0.03333,MOT_control_all,stay,,
8.63247,1,3-4,,,
8.63247,2,1-2,,,
8.63247,3,1-2,,,
8.63247,4,2-3,,,
8.63247,5,2-3,,,
8.69913,MOT_mc_stage_color_00,r-flash,,
8.89911,MOT_mc_bg_black_00,b65-0,,
8.89911,MOT_mc_special_01,cut1_01,,
8.89911,MOT_mc_special_02,cut2_02,,
8.89911,MOT_mc_light_center_00,on,,
8.89911,MOT_all,cut3,,
8.96577,MOT_mc_stage_color_00,b-flash,,
8.96577,1,,,,L20
8.96577,2,,,,L20
8.96577,3,,,,L20
8.96577,4,,,,L20
8.96577,5,,,,L20
8.96577,1,hj4,,,
8.96577,2,hj2,,,
8.96577,3,hj2,,,
8.96577,4,hj3,,,
8.96577,5,hj3,,,
8.9991,MOT_control_all,zoom7,,
9.53238,MOT_mc_light_center_00,stay,,
9.53238,MOT_mc_light_under_00,l3,,
9.53238,1,4-1,,,
9.53238,2,2-3,,,
9.53238,3,2-3,,,
9.53238,4,3-4,,,
9.53238,5,3-4,,,
9.56571,MOT_mc_stage_color_00,b-flash,,
9.799019999999999,4,4-1,,,
9.86568,2,3-4,,,
9.93234,1,1-2,,,
9.998999999999999,3,3-4,,,
10.06566,5,4-1,,,
10.43229,1,j2-3,,,
10.43229,2,j4-1,,,
10.43229,3,j4-1,,,
10.43229,4,j1-2,,,
10.43229,5,j1-2,,,
10.998899999999999,1,3-4,,,
10.998899999999999,2,1-2,,,
10.998899999999999,3,1-2,,,
10.998899999999999,4,2-3,,,
10.998899999999999,5,2-3,,,
11.49885,1,4-1,,,
11.49885,2,2-3,,,
11.49885,3,2-3,,,
11.49885,4,3-4,,,
11.49885,5,3-4,,,
11.53218,MOT_mc_stage_color_00,y-flash,,
11.832149999999999,1,lp1,,,
11.832149999999999,2,lp3,,,
11.832149999999999,3,lp3,,,
11.832149999999999,4,lp4,,,
11.832149999999999,5,lp4,,,
12.36543,1,1-2,,,
12.36543,2,3-4,,,
12.36543,3,3-4,,,
12.36543,4,4-1,,,
12.36543,5,4-1,,,
12.86538,4,j1-2,,,
12.86538,5,j1-2,,,
13.09869,2,j4-1,,,
13.09869,3,j4-1,,,
13.29867,1,w2,,,
13.36533,MOT_mc_stage_color_00,b-flash,,
13.39866,1,j2-3,,,
13.6653,2,j1-2,,,
13.6653,3,j1-2,,,
13.6653,4,j2-3,,,
13.6653,5,j2-3,,,
14.13192,1,3-4,,,
14.13192,2,2-3,,,
14.13192,3,2-3,,,
14.13192,4,3-4,,,
14.13192,5,3-4,,,
14.365229999999999,MOT_mc_stage_color_00,b-flash,,
14.73186,1,sp4-1,,,
14.73186,2,sp3-4,,,
14.73186,3,sp3-4,,,
14.73186,4,sp4-1,,,
14.73186,5,sp4-1,,,
15.265139999999999,1,j1-2,,,
15.265139999999999,4,j1-2,,,
15.265139999999999,5,j1-2,,,
15.29847,MOT_mc_stage_color_00,r-flash,,
15.53178,2,j4-1,,,
15.53178,3,j4-1,,,
15.9984,1,hj2,,,
15.9984,2,hj1,,,
15.9984,3,hj1,,,
15.9984,4,hj2,,,
15.9984,5,hj2,,,
16.03173,MOT_mc_stage_color_00,y-flash,,
16.665,1,j2-3,,,
16.665,2,j1-2,,,
16.665,3,j1-2,,,
16.665,4,j2-3,,,
16.665,5,j2-3,,,
16.69833,MOT_mc_stage_color_00,b-flash,,
17.131619999999998,MOT_mc_bg_black_00,b0-65,,
17.131619999999998,MOT_all,cut4,,
17.164949999999997,MOT_mc_stage_color_00,r-flash,,
17.164949999999997,MOT_control_all,zoom8,,
17.164949999999997,2,,,,L0
17.164949999999997,1,sort,-300,
17.164949999999997,3,sort,-300,
17.164949999999997,4,sort,-300,
17.164949999999997,5,sort,-300,
17.164949999999997,2,2-3,,f1,
17.531579999999998,2,j3-4,,,
17.731559999999998,5,w3,,,
17.731559999999998,4,w3,,,
17.731559999999998,3,w2,,,
17.731559999999998,1,w3,,,
18.06486,2,4-1,,,
18.39816,2,lp1,,,
18.564809999999998,MOT_control_all,zoom9,,
18.564809999999998,4,,,,L0
18.564809999999998,1,sort,-300,
18.564809999999998,3,sort,-300,
18.564809999999998,5,sort,-300,
18.564809999999998,4,3-4,,f1,
18.63147,MOT_mc_stage_color_00,b-flash,,
18.93144,4,4-1,,,
19.26474,4,lp1,,,
19.49805,MOT_control_all,zoom10,,
19.49805,2,1-2,r1,,
19.53138,MOT_mc_stage_color_00,r-flash,,
19.93134,4,,,,D20
19.93134,1,sort,-300,
19.93134,3,sort,-300,
19.93134,4,sort,-300,
19.93134,5,sort,-300,
19.93134,2,2-3,,,
19.93134,4,1-2,,b0,
20.43129,2,3-4,rb0,,
20.86458,4,w2,,,
21.06456,2,4-1,l1,,
21.13122,MOT_mc_stage_color_00,b-flash,,
21.96447,2,1-2,,,
22.29777,2,lp2,,,
22.46442,MOT_control_all,zoom11,,
22.46442,1,,,,L0
22.46442,3,sort,-300,
22.46442,4,sort,-300,
22.46442,5,sort,-300,
22.46442,1,3-4,,f1,
22.49775,MOT_mc_stage_color_00,r-flash,,
22.9977,1,4-1,,,
23.29767,MOT_control_all,zoom12,,
23.29767,2,2-3,,,
23.331,MOT_mc_stage_color_00,b-flash,,
23.630969999999998,2,hj3,,,
23.73096,1,,,,D20
23.73096,1,sort,-300,
23.73096,3,sort,-300,
23.73096,4,sort,-300,
23.73096,5,sort,-300,
23.73096,1,1-2,,b0,
24.19758,2,3-4,lb0,,
24.59754,2,4-1,,,
24.664199999999997,1,w2,,,
24.93084,MOT_control_all,zoom13,,
24.93084,2,,,,D20
24.93084,3,,,,L0
24.93084,1,sort,-300,
24.93084,2,sort,-300,
24.93084,4,sort,-300,
24.93084,5,sort,-300,
24.93084,2,1-2,,b0,
24.93084,3,2-3,,f1,
24.96417,MOT_mc_stage_color_00,r-flash,,
25.29747,3,j3-4,,,
25.73076,3,4-1,,,
25.864079999999998,2,w2,,,
26.064059999999998,3,lp1,,,
26.36403,MOT_control_all,zoom14,,
26.36403,5,,,,L0
26.36403,1,sort,-300,
26.36403,2,sort,-300,
26.36403,4,sort,-300,
26.36403,5,3-4,,f1,
26.43069,MOT_mc_stage_color_00,b-flash,,
26.83065,5,4-1,,,
27.16395,MOT_control_all,zoom15,,
27.16395,3,1-2,l1,,
27.16395,5,lp1,,,
27.23061,MOT_mc_stage_color_00,r-flash,,
27.663899999999998,5,,,,D20
27.663899999999998,1,sort,-300,
27.663899999999998,2,sort,-300,
27.663899999999998,4,sort,-300,
27.663899999999998,5,sort,-300,
27.663899999999998,3,j2-3,,,
27.663899999999998,5,1-2,,b0,
28.23051,3,3-4,lb0,,
28.59714,5,w2,,,
28.79712,3,4-1,,,
28.83045,MOT_mc_stage_color_00,b-flash,,
29.130419999999997,3,1-2,r1,,
29.46372,3,2-3,,,
30.130319999999998,3,j3-4,,,
30.730259999999998,3,4-1,rb0,,
30.763589999999997,MOT_mc_stage_color_00,b-flash,,
31.03023,3,1-2,,,
31.39686,3,hj2,,,
31.43019,1,j2-3,,,
31.43019,2,j2-3,,,
31.43019,4,j2-3,,,
31.43019,5,j2-3,,,
31.46352,MOT_mc_stage_color_00,b-flash,,
32.09679,MOT_mc_bg_black_00,b65-45,,
32.13012,MOT_control_all,zoom16,,
32.13012,1,,,,L0
32.13012,3,,,,D20
32.13012,2,sort,-300,
32.13012,3,sort,-300,
32.13012,4,sort,-300,
32.13012,5,sort,-300,
32.13012,1,3-4,,f1,
32.13012,2,3-4,,,
32.13012,3,2-3,,b0,
32.13012,4,3-4,,,
32.13012,5,3-4,,,
32.16345,MOT_mc_stage_color_00,y-flash,,
32.59674,1,4-1,l1,,
32.663399999999996,MOT_mc_stage_color_00,b-flash,,
32.93004,1,j1-2,,,
33.063359999999996,5,w4,,,
33.063359999999996,4,w4,,,
33.063359999999996,3,w3,,,
33.063359999999996,2,w4,,,
33.42999,1,2-3,,,
33.72996,1,3-4,,,
34.12992,1,hj4,,,
34.663199999999996,1,4-1,lb0,,
34.696529999999996,MOT_mc_stage_color_00,y-flash,,
35.42979,1,1-2,,,
35.82975,MOT_control_all,zoom17,,
35.82975,2,4-1,,,
35.896409999999996,MOT_mc_stage_color_00,r-flash,,
36.296369999999996,MOT_control_all,zoom18,,
36.296369999999996,1,,,,D20
36.296369999999996,4,,,,L0
36.296369999999996,1,sort,-300,
36.296369999999996,2,sort,-300,
36.296369999999996,3,sort,-300,
36.296369999999996,5,sort,-300,
36.296369999999996,1,2-3,,b0,
36.296369999999996,4,4-1,,f1,
36.329699999999995,MOT_mc_stage_color_00,b-flash,,
36.729659999999996,4,j1-2,,,
36.762989999999995,2,w1,,,
36.82965,MOT_mc_stage_color_00,r-flash,,
37.22961,1,w3,,,
37.22961,4,2-3,r1,,
37.562909999999995,4,3-4,,,
37.929539999999996,4,hj4,,,
38.49615,4,4-1,,,
38.56281,MOT_mc_stage_color_00,b-flash,,
38.82945,4,1-2,rb0,,
39.29607,4,j2-3,,,
39.6627,MOT_control_all,zoom19,,
39.6627,3,3-4,,,
39.76269,MOT_mc_stage_color_00,r-flash,,
40.19598,MOT_control_all,zoom20,,
40.19598,4,,,,D20
40.19598,5,,,,L0
40.19598,1,sort,-300,
40.19598,2,sort,-300,
40.19598,3,sort,-300,
40.19598,4,sort,-300,
40.19598,4,3-4,,b0,
40.19598,5,4-1,,f1,
40.22931,MOT_mc_stage_color_00,b-flash,,
40.59594,3,w4,,,
40.72926,5,j1-2,,,
41.12922,4,w4,,,
41.3292,5,2-3,l1,,
41.39586,MOT_mc_stage_color_00,b-flash,,
41.82915,5,j3-4,,,
42.46242,5,hj4,,,
42.52908,MOT_mc_stage_color_00,r-flash,,
43.229009999999995,5,4-1,lb0,,
43.36233,MOT_mc_stage_color_00,b-flash,,
43.56231,5,lp1,,,
44.09559,MOT_control_all,zoom21,,
44.09559,5,,,,D20
44.09559,1,j3-4,,,
44.09559,2,j1-2,,,
44.09559,3,j4-1,,,
44.09559,4,j4-1,,,
44.09559,5,1-2,,b0,
44.12892,MOT_mc_bg_black_00,b45-20,,
44.12892,MOT_all,cut5,,
44.16225,MOT_mc_stage_color_00,b-flash,,
44.62887,1,4-1,,,
44.62887,2,2-3,,,
44.62887,3,1-2,,,
44.62887,4,1-2,,,
44.62887,5,2-3,,,
45.195479999999996,1,j1-2,,,
45.195479999999996,4,j2-3,,,
45.195479999999996,5,j3-4,,,
45.228809999999996,MOT_mc_stage_color_00,b-flash,,
45.49545,2,j3-4,,,
45.49545,3,j2-3,,,
46.16205,1,sp2-3,,,
46.16205,2,sp4-1,,,
46.16205,3,sp3-4,,,
46.16205,4,sp3-4,,,
46.16205,5,sp4-1,,,
46.22871,MOT_mc_stage_color_00,r-flash,,
47.09529,1,j3-4,,,
47.09529,2,j1-2,,,
47.09529,3,j4-1,,,
47.09529,4,j4-1,,,
47.09529,5,j1-2,,,
47.12862,MOT_mc_stage_color_00,b-flash,,
47.59524,1,lp4,,,
47.59524,2,lp2,,,
47.59524,3,lp1,,,
47.59524,4,lp1,,,
47.59524,5,lp2,,,
48.19518,MOT_mc_bg_black_00,b20-65,,
48.19518,MOT_all,cut6,,
48.26184,4,j1-2,,,
48.39516,MOT_mc_stage_color_00,b-flash,,
48.56181,1,j4-1,,,
48.56181,2,j2-3,,,
48.56181,3,j1-2,,,
48.76179,MOT_mc_stage_color_00,y-flash,,
48.861779999999996,5,j2-3,,,
49.12842,MOT_mc_stage_color_00,r-flash,,
49.328399999999995,4,w2,,,
49.328399999999995,MOT_control_all,zoom22,,
49.328399999999995,2,,,,L0
49.328399999999995,3,,,,L0
49.328399999999995,1,sort,-300,
49.328399999999995,4,sort,-300,
49.328399999999995,5,sort,-300,
49.328399999999995,2,3-4,,f1,
49.328399999999995,3,2-3,,f1,
49.62837,1,w1,,,
49.86168,2,j4-1,,,
49.86168,3,j3-4,,,
49.92834,5,w3,,,
49.995,MOT_mc_bg_black_00,b65-0,,
49.995,MOT_mc_light_center_00,sabi,,
49.995,MOT_mc_light_under_00,l2,,
49.995,MOT_all,cut7,,
50.02833,MOT_mc_stage_color_00,b-flash,,
50.26164,MOT_control_all,zoom23,,
50.26164,1,,,,L0
50.26164,2,,,,D20
50.26164,3,,,,D20
50.26164,4,,,,L0
50.26164,5,,,,L0
50.26164,2,sort,-300,
50.26164,3,sort,-300,
50.26164,1,1-2,,f1,
50.26164,2,1-2,,b0,
50.26164,3,4-1,,b0,
50.26164,4,2-3,,f1,
50.26164,5,3-4,,f1,
50.59494,1,2-3,,,
50.59494,4,3-4,,,
50.59494,5,4-1,,,
50.9949,5,1-2,,,
51.19488,3,w1,,,
51.19488,2,w2,,,
51.19488,1,3-4,,,
51.394859999999994,4,4-1,,,
51.6615,1,4-1,,,
51.92814,5,w2,,,
51.9948,1,1-2,r1,,
51.9948,4,1-2,r1,,
51.9948,5,2-3,r1,,
52.161449999999995,MOT_mc_stage_color_00,r-flash,,
52.3281,1,2-3,,,
52.3281,4,2-3,,,
52.3281,5,3-4,,,
52.69473,1,3-4,rb0,,
52.69473,2,2-3,,,
52.69473,3,1-2,,,
52.69473,4,3-4,rb0,,
52.69473,5,4-1,rb0,,
52.79472,MOT_mc_stage_color_00,b-flash,,
53.22801,4,4-1,,,
53.22801,5,1-2,,,
53.49465,1,4-1,,,
53.62797,3,w2,,,
53.62797,2,w3,,,
53.86128,1,hj1,,,
54.161249999999995,5,w2,,,
54.161249999999995,4,w1,,,
54.227909999999994,4,j1-2,,,
54.46122,5,j2-3,,,
54.76119,1,1-2,,,
54.76119,4,2-3,,,
54.76119,5,3-4,,,
55.22781,4,3-4,,,
55.361129999999996,1,2-3,,,
55.49445,5,4-1,,,
55.761089999999996,1,j3-4,,,
55.761089999999996,2,3-4,,,
55.761089999999996,3,2-3,,,
55.761089999999996,4,j4-1,,,
55.761089999999996,5,j1-2,,,
55.89441,MOT_mc_stage_color_00,b-flash,,
56.227709999999995,1,4-1,,,
56.227709999999995,4,1-2,,,
56.227709999999995,5,2-3,,,
56.261039999999994,MOT_mc_stage_color_00,y-flash,,
56.49435,1,1-2,,,
56.49435,2,4-1,,,
56.49435,3,3-4,,,
56.49435,4,2-3,,,
56.49435,5,3-4,,,
56.627669999999995,MOT_mc_stage_color_00,b-flash,,
57.060959999999994,MOT_control_all,zoom24,,
57.060959999999994,1,,,,D20
57.060959999999994,2,,,,L0
57.060959999999994,3,,,,L0
57.060959999999994,4,,,,D20
57.060959999999994,5,,,,D20
57.060959999999994,1,sort,-300,
57.060959999999994,4,sort,-300,
57.060959999999994,5,sort,-300,
57.060959999999994,1,2-3,,b0,
57.060959999999994,2,1-2,,f1,
57.060959999999994,3,4-1,,f1,
57.060959999999994,4,3-4,,b0,
57.060959999999994,5,4-1,,b0,
57.16095,MOT_mc_stage_color_00,b-flash,,
57.52758,1,3-4,,,
57.52758,2,hj2,,,
57.52758,3,hj1,,,
57.52758,4,4-1,,,
57.52758,5,1-2,,,
57.72756,MOT_mc_stage_color_00,r-flash,,
58.09419,MOT_control_all,zoom25,,
58.09419,1,,,,L0
58.09419,2,,,,D20
58.09419,3,,,,D20
58.09419,4,,,,L0
58.09419,5,,,,L0
58.09419,2,sort,-300,
58.09419,3,sort,-300,
58.09419,1,4-1,,f1,
58.09419,2,2-3,,b0,
58.09419,3,1-2,,b0,
58.09419,4,1-2,,f1,
58.09419,5,2-3,,f1,
58.49415,1,1-2,,,
58.49415,4,2-3,,,
58.49415,5,3-4,,,
59.027429999999995,3,w2,,,
59.027429999999995,2,w3,,,
59.16075,1,j2-3,,,
59.16075,4,j3-4,,,
59.16075,5,j4-1,,,
59.69403,1,3-4,l1,,
59.69403,2,3-4,,,
59.69403,3,2-3,,,
59.69403,4,4-1,l1,,
59.69403,5,1-2,l1,,
59.76069,MOT_mc_stage_color_00,b-flash,,
60.02733,1,j4-1,,,
60.02733,4,j1-2,,,
60.02733,5,j2-3,,,
60.12732,MOT_mc_stage_color_00,y-flash,,
60.46062,1,1-2,lb0,,
60.46062,2,4-1,,,
60.46062,3,3-4,,,
60.46062,4,2-3,lb0,,
60.46062,5,3-4,lb0,,
60.49395,MOT_mc_stage_color_00,b-flash,,
60.92724,MOT_control_all,zoom26,,
60.92724,1,,,,D20
60.92724,2,,,,L0
60.92724,4,,,,D20
60.92724,5,,,,D20
60.92724,1,sort,-300,
60.92724,3,sort,-300,
60.92724,4,sort,-300,
60.92724,5,sort,-300,
60.92724,1,2-3,,b0,
60.92724,2,1-2,,f1,
60.92724,4,3-4,,b0,
60.92724,5,4-1,,b0,
61.3272,2,j2-3,,,
61.39386,3,w4,,,
61.493849999999995,MOT_mc_stage_color_00,b-flash,,
61.860479999999995,5,w1,,,
61.860479999999995,4,w4,,,
61.860479999999995,1,w3,,,
61.927139999999994,MOT_control_all,zoom27,,
61.927139999999994,2,,,,D20
61.927139999999994,5,,,,L0
61.927139999999994,1,sort,-300,
61.927139999999994,2,sort,-300,
61.927139999999994,3,sort,-300,
61.927139999999994,4,sort,-300,
61.927139999999994,2,3-4,,b0,
61.927139999999994,5,1-2,,f1,
62.327099999999994,5,j2-3,,,
62.39376,MOT_mc_stage_color_00,r-flash,,
62.86038,2,w4,,,
62.92704,MOT_control_all,zoom28,,
62.92704,3,,,,L0
62.92704,5,,,,D20
62.92704,1,sort,-300,
62.92704,2,sort,-300,
62.92704,4,sort,-300,
62.92704,5,sort,-300,
62.92704,3,4-1,,f1,
62.92704,5,3-4,,b0,
63.39366,3,j1-2,,,
63.560309999999994,MOT_mc_stage_color_00,b-flash,,
63.860279999999996,5,w4,,,
63.893609999999995,MOT_control_all,zoom29,,
63.926939999999995,3,,,,D20
63.926939999999995,4,,,,L0
63.926939999999995,1,sort,-300,
63.926939999999995,2,sort,-300,
63.926939999999995,3,sort,-300,
63.926939999999995,5,sort,-300,
63.926939999999995,3,2-3,,b0,
63.926939999999995,4,4-1,,f1,
64.36023,4,j1-2,,,
64.49355,MOT_mc_stage_color_00,r-flash,,
64.79352,MOT_control_all,zoom30,,
64.79352,1,,,,L0
64.79352,4,,,,D20
64.79352,2,sort,-300,
64.79352,3,sort,-300,
64.79352,4,sort,-300,
64.79352,5,sort,-300,
64.79352,1,3-4,,f1,
64.79352,4,2-3,,b0,
64.86018,3,w3,,,
64.92684,MOT_mc_stage_color_00,b-flash,,
65.46012,1,hj4,,,
65.59344,MOT_mc_stage_color_00,b-flash,,
65.72676,4,w3,,,
66.26004,1,sp4-1,,,
66.26004,2,4-1,,,
66.26004,3,3-4,,,
66.26004,4,3-4,,,
66.26004,5,4-1,,,
66.56000999999999,2,lp1,,,
66.56000999999999,3,lp4,,,
66.56000999999999,4,lp4,,,
66.56000999999999,5,lp1,,,
66.62666999999999,MOT_mc_stage_color_00,r-flash,,
67.25994,1,j1-2,,,
67.25994,2,1-2,,,
67.25994,3,4-1,,,
67.25994,4,4-1,,,
67.25994,5,1-2,,,
67.49325,MOT_mc_stage_color_00,b-flash,,
67.85988,MOT_control_all,zoom30_1,,
67.85988,1,,,,D20
67.85988,1,2-3,,b0,
67.85988,2,j2-3,,,
67.85988,3,j1-2,,,
67.85988,4,j1-2,,,
67.85988,5,j2-3,,,
68.45982,4,j2-3,,,
68.45982,5,j3-4,,,
68.52647999999999,MOT_mc_stage_color_00,b-flash,,
68.72646,2,j3-4,,,
68.72646,3,j2-3,,,
68.79312,1,w3,,,
68.82645,MOT_mc_stage_color_00,y-flash,,
69.02642999999999,1,j3-4,,,
69.15975,MOT_mc_stage_color_00,r-flash,,
69.42639,MOT_control_all,zoom31,,
69.42639,1,sp4-1,,,
69.42639,2,sp4-1,,,
69.42639,3,sp3-4,,,
69.42639,4,sp3-4,,,
69.42639,5,sp4-1,,,
69.49305,MOT_mc_stage_color_00,b-flash,,
71.25954,2,j1-2,,,
71.25954,3,j4-1,,,
71.39286,MOT_mc_stage_color_00,b-flash,,
71.59284,1,j1-2,,,
71.59284,4,j4-1,,,
71.59284,5,j1-2,,,
71.75949,MOT_mc_stage_color_00,r-flash,,
72.02613,1,2-3,,,
72.02613,2,2-3,,,
72.02613,3,1-2,,,
72.02613,4,1-2,,,
72.02613,5,2-3,,,
72.12612,MOT_mc_stage_color_00,y-flash,,
72.79272,1,j3-4,,,
72.79272,2,j3-4,,,
72.79272,3,j2-3,,,
72.79272,4,j2-3,,,
72.79272,5,j3-4,,,
72.82605,MOT_mc_light_center_00,stay,,
73.15935,MOT_mc_bg_black_00,b0-45,,
73.15935,MOT_all,cut8,,
73.326,1,,,,D40
73.326,2,,,,D40
73.326,3,,,,D40
73.326,4,,,,D40
73.326,5,,,,D40
73.326,1,4-1,,,
73.326,4,3-4,,,
73.326,5,4-1,,,
73.35933,MOT_mc_stage_color_00,b-flash,,
73.62597,2,j4-1,,,
73.82594999999999,3,j3-4,,,
74.02593,1,j1-2,,,
74.02593,4,j4-1,,,
74.02593,5,j1-2,,,
74.05926,MOT_mc_stage_color_00,b-flash,,
74.55921,1,2-3,,,
74.55921,2,1-2,,,
74.55921,3,4-1,,,
74.55921,4,1-2,,,
74.55921,5,2-3,,,
74.59254,MOT_mc_stage_color_00,r-flash,,
75.19248,1,3-4,,,
75.19248,4,2-3,,,
75.19248,5,3-4,,,
75.3258,MOT_mc_stage_color_00,b-flash,,
75.49244999999999,3,w1,,,
75.49244999999999,2,w2,,,
75.59244,3,j1-2,,,
75.79241999999999,2,j2-3,,,
75.9924,1,j4-1,,,
75.9924,4,j3-4,,,
75.9924,5,j4-1,,,
76.05906,MOT_mc_stage_color_00,b-flash,,
76.42569,1,1-2,,,
76.42569,2,3-4,,,
76.42569,3,2-3,,,
76.42569,4,4-1,,,
76.42569,5,1-2,,,
76.45902,MOT_mc_stage_color_00,r-flash,,
77.15894999999999,1,2-3,,,
77.15894999999999,2,4-1,,,
77.15894999999999,3,3-4,,,
77.15894999999999,4,1-2,,,
77.15894999999999,5,2-3,,,
77.25894,MOT_mc_stage_color_00,b-flash,,
77.49225,1,lp3,,,
77.49225,2,lp1,,,
77.49225,3,lp4,,,
77.49225,4,lp2,,,
77.49225,5,lp3,,,
77.95886999999999,4,sp2-3,,,
77.9922,MOT_mc_stage_color_00,y-flash,,
78.12552,2,sp1-2,,,
78.29217,1,sp3-4,,,
78.45882,3,sp4-1,,,
78.52548,MOT_mc_stage_color_00,r-flash,,
78.62546999999999,5,sp3-4,,,
78.9921,1,j4-1,,,
78.9921,2,j2-3,,,
78.9921,3,j1-2,,,
78.9921,4,j3-4,,,
78.9921,5,j4-1,,,
79.05875999999999,MOT_mc_stage_color_00,b-flash,,
79.39206,1,1-2,,,
79.39206,4,4-1,,,
79.39206,5,1-2,,,
79.79202,1,j2-3,,,
79.79202,2,j3-4,,,
79.79202,3,j2-3,,,
79.79202,4,j1-2,,,
79.79202,5,j2-3,,,
79.82535,MOT_mc_stage_color_00,b-flash,,
80.25864,MOT_control_all,zoom32,,
80.25864,2,,,,L0
80.25864,3,,,,L0
80.25864,1,sort,-300,
80.25864,4,sort,-300,
80.25864,5,sort,-300,
80.25864,2,4-1,,f1,
80.25864,3,3-4,,f1,
80.39196,MOT_mc_stage_color_00,r-flash,,
80.72525999999999,1,3-4,,,
80.72525999999999,2,j1-2,,,
80.72525999999999,3,j4-1,,,
80.72525999999999,4,2-3,,,
80.72525999999999,5,3-4,,,
80.89191,MOT_mc_bg_black_00,b45-0,,
80.89191,MOT_mc_light_center_00,sabi,,
80.89191,MOT_mc_light_under_00,l1,,
80.89191,1,,,,L20
80.89191,4,,,,L20
80.89191,5,,,,L20
80.89191,MOT_all,cut9,,
80.9919,MOT_mc_stage_color_00,b-flash,,
81.19188,MOT_control_all,zoom33,,
81.19188,1,,,,L0
81.19188,2,,,,D20
81.19188,3,,,,D20
81.19188,4,,,,L0
81.19188,5,,,,L0
81.19188,2,sort,-300,
81.19188,3,sort,-300,
81.19188,1,4-1,,f1,
81.19188,2,2-3,,b0,
81.19188,3,1-2,,b0,
81.19188,4,3-4,,f1,
81.19188,5,4-1,,f1,
81.49185,1,1-2,,,
81.49185,4,4-1,,,
81.49185,5,1-2,,,
81.85848,1,hj2,,,
81.85848,4,hj1,,,
81.85848,5,hj2,,,
