0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.03333,MOT_mc_bg_black_00,b80,,
24.69753,2,lp4,,,
25.39746,1,4-1,,,
25.39746,2,4-1,,,
25.39746,1,,r1,,
25.39746,2,,l1,,
25.56411,MOT_mc_stage_color_00,b-flash,,
25.96407,1,1-2,,,
25.96407,2,1-2,,,
26.497349999999997,1,2-3,,,
26.497349999999997,2,2-3,,,
26.663999999999998,MOT_mc_stage_color_00,r-flash,,
27.097289999999997,1,3-4,,,
27.097289999999997,2,3-4,,,
27.63057,1,4-1,,,
27.63057,2,4-1,,,
27.63057,1,,r2,,
27.63057,2,,l2,,
27.83055,MOT_mc_stage_color_00,y-flash,,
27.9972,1,1-2,,,
27.9972,2,1-2,,,
27.9972,1,,rb1,,
27.9972,2,,lb1,,
28.330499999999997,1,2-3,,,
28.330499999999997,2,2-3,,,
28.897109999999998,1,sp3-4,,,
28.897109999999998,2,sp3-4,,,
28.9971,MOT_mc_stage_color_00,b-flash,,
29.897009999999998,1,j4-1,,,
29.897009999999998,2,j4-1,,,
30.096989999999998,MOT_mc_stage_color_00,r-flash,,
30.26364,1,1-2,rb0,,
30.26364,2,1-2,l2,,
30.63027,1,,r1,,
30.63027,2,,lb1,,
31.03023,1,j2-3,,,
31.03023,2,j2-3,,,
31.23021,MOT_mc_stage_color_00,y-flash,,
31.63017,1,j3-4,,,
31.63017,2,j3-4,,,
32.19678,1,j4-1,,,
32.19678,2,j4-1,,,
32.43009,MOT_mc_stage_color_00,b-flash,,
32.630069999999996,1,1-2,,,
32.630069999999996,2,1-2,,,
33.096689999999995,1,2-3,rb0,,
33.096689999999995,2,2-3,lb0,,
33.16335,MOT_mc_stage_color_00,r-flash,,
33.56331,1,3-4,l1,,
33.56331,2,3-4,r1,,
33.6633,MOT_mc_stage_color_00,y-flash,,
34.02993,1,j4-1,,,
34.02993,2,j4-1,,,
34.16325,MOT_mc_stage_color_00,b-flash,,
34.89651,MOT_mc_special_03,y-stay,,
35.096489999999996,2,w1,,,
35.096489999999996,1,w1,,,
36.86298,1,1-2,,f1,
36.86298,2,1-2,,,
36.96297,MOT_mc_bg_black_00,b65-45,,
37.02963,MOT_mc_stage_color_00,y-flash,,
37.02963,1,,,,L0
37.02963,2,,,,D60
37.42959,1,j2-3,,,
37.76289,1,3-4,,,
37.79622,2,w2,,,
38.09619,1,4-1,l2,,
38.92944,1,j1-2,,,
39.196079999999995,2,2-3,,,
39.29607,MOT_mc_stage_color_00,r-flash,,
39.36273,2,,,,L0
39.46272,1,2-3,,,
39.72936,2,3-4,,,
39.86268,1,lp3,,,
40.329299999999996,2,4-1,,,
40.86258,2,1-2,,,
41.229209999999995,2,j2-3,,,
41.36253,2,,,,D60
41.562509999999996,1,j3-4,,,
41.629169999999995,MOT_mc_stage_color_00,b-flash,,
42.12912,1,j4-1,,,
42.29577,2,w3,,,
42.46242,1,1-2,,,
42.795719999999996,1,2-3,lb1,,
43.628969999999995,1,j3-4,,,
43.69563,2,j3-4,,,
43.82895,2,,,,L0
43.89561,MOT_mc_stage_color_00,r-flash,,
44.16225,1,4-1,,,
44.29557,2,j4-1,,,
44.56221,1,sj1,,,
44.92884,2,1-2,,,
45.06216,1,w1,,,
45.195479999999996,1,sj1,,,
45.262139999999995,2,j2-3,,,
45.595439999999996,1,j1-2,,,
45.595439999999996,2,j3-4,,,
46.095389999999995,1,,,b0,
46.095389999999995,2,4-1,,f1,
46.22871,MOT_mc_stage_color_00,y-flash,,
46.26204,1,,,,D60
46.662,1,w2,,,
46.662,2,j1-2,,,
46.9953,2,2-3,,,
47.328599999999994,2,3-4,rb0,,
48.16185,2,j4-1,,,
48.69513,2,1-2,,,
49.09509,2,lp2,,,
49.09509,1,j2-3,,,
49.19508,MOT_mc_stage_color_00,b-flash,,
49.261739999999996,1,,,,L0
49.59504,1,3-4,,,
50.22831,1,j4-1,,,
50.69493,2,j2-3,,,
50.72826,1,,,,D60
50.894909999999996,MOT_mc_stage_color_00,r-flash,,
51.26154,2,j3-4,,,
51.294869999999996,1,w1,,,
51.59484,2,4-1,,,
51.92814,2,1-2,r1,,
52.69473,2,j2-3,,,
53.22801,2,3-4,,,
53.59464,1,1-2,,f1,
53.59464,2,j4-1,,,
53.727959999999996,1,,,,L0
53.761289999999995,MOT_mc_stage_color_00,y-flash,,
54.39456,1,j2-3,,,
54.39456,2,j1-2,,,
54.961169999999996,1,j3-4,,,
55.09449,MOT_mc_bg_black_00,b45-80,,
55.12782,MOT_mc_stage_color_00,b-flash,,
55.16115,2,,,,D60
55.29447,1,lp4,,,
55.461119999999994,2,w2,,,
56.161049999999996,1,4-1,,,
56.561009999999996,1,lp1,,,
56.994299999999996,1,1-2,,,
57.3276,1,2-3,,,
57.62757,1,lp3,,,
58.42749,1,j3-4,,,
58.79412,1,lp4,,,
59.12742,1,4-1,,,
59.59404,1,j1-2,,,
59.96067,1,sp2-3,,,
60.12732,2,j2-3,,,
60.260639999999995,2,,,,L0
60.327299999999994,MOT_mc_stage_color_00,r-flash,,
60.660599999999995,2,j3-4,,,
61.22721,2,j4-1,,,
61.827149999999996,2,j1-2,,,
61.893809999999995,1,j3-4,,,
62.02713,1,,,,D60
62.227109999999996,2,lp2,,,
62.96037,1,w4,,,
62.96037,2,j2-3,,,
63.36033,2,lp3,,,
64.06026,1,j4-1,,,
64.06026,2,3-4,,,
64.09358999999999,MOT_mc_stage_color_00,y-flash,,
64.19358,1,,,,L0
64.19358,2,,,,D60
64.42689,1,1-2,,,
64.9935,2,w4,,,
65.19348,1,j2-3,,,
65.56011,1,lp3,,,
66.06006,1,3-4,,,
66.06006,2,4-1,,,
66.42669,1,j4-1,,,
66.42669,2,j1-2,,,
66.56000999999999,2,,,,L0
66.75999,1,lp1,,,
66.75999,2,lp2,,,
67.62657,1,1-2,l2,,
67.62657,2,2-3,r2,,
68.29317,1,2-3,lb1,,
68.29317,2,3-4,rb1,,
68.75979,1,3-4,,,
68.75979,2,4-1,,,
69.35973,1,j4-1,,,
69.35973,2,j1-2,,,
69.75968999999999,1,j1-2,,,
69.85968,2,j2-3,,,
70.05966,MOT_mc_stage_color_00,b-flash,,
70.35963,1,j2-3,,,
70.35963,2,j3-4,,,
70.72626,MOT_mc_stage_color_00,r-flash,,
70.89291,1,j3-4,,,
70.89291,2,j4-1,,,
71.3262,1,lp4,,,
71.3262,2,lp1,,,
72.62607,1,j4-1,,,
72.62607,2,j1-2,,,
72.9927,1,1-2,,,
72.9927,2,2-3,,,
73.35933,1,j2-3,,,
73.35933,2,j3-4,,,
73.49265,MOT_mc_bg_black_00,b80-20,,
73.49265,MOT_mc_light_up_00,l1,,
73.59264,MOT_all,cut2,,
73.59264,MOT_mc_stage_color_00,b-flash,,
73.6593,MOT_mc_light_center_00,l1,,
73.72596,MOT_mc_speaker_00,l1,,
73.72596,MOT_mc_light_under_00,l1,,
73.85928,1,3-4,lb0,,
73.85928,2,4-1,rb0,,
74.35923,1,4-1,,,
74.35923,2,1-2,,,
74.75918999999999,1,1-2,,,
74.89251,2,2-3,,,
75.22581,1,2-3,,,
75.22581,2,3-4,,,
75.55910999999999,1,hj3,,,
75.55910999999999,2,hj4,,,
76.22570999999999,1,3-4,l1,,
76.22570999999999,2,4-1,r1,,
76.69233,1,4-1,,,
76.69233,2,1-2,,,
77.12562,1,1-2,lb0,,
77.12562,2,2-3,rb0,,
77.52557999999999,1,j2-3,,,
77.52557999999999,2,j3-4,,,
77.9922,1,3-4,,,
77.9922,2,4-1,,,
78.15885,MOT_mc_stage_color_00,r-flash,,
78.42549,1,sp4-1,,,
78.42549,2,sp1-2,,,
79.09209,1,j1-2,,,
79.09209,2,j2-3,,,
79.69203,1,2-3,,,
79.92533999999999,2,3-4,,,
80.3253,1,3-4,r1,,
80.3253,2,4-1,l1,,
80.45862,MOT_mc_stage_color_00,y-flash,,
80.75859,MOT_mc_stage_color_00,b-flash,,
80.79191999999999,1,4-1,,,
80.79191999999999,2,1-2,,,
81.09188999999999,MOT_mc_stage_color_00,y-flash,,
81.22520999999999,1,hj1,,,
81.22520999999999,2,hj2,,,
81.42519,MOT_mc_stage_color_00,r-flash,,
81.75849,MOT_mc_stage_color_00,b-flash,,
82.02512999999999,2,,,f2,
82.02512999999999,2,2-3,,,
82.22511,1,,,,D60
82.45841999999999,1,w1,,,
82.49175,2,j3-4,,,
82.75838999999999,MOT_mc_stage_color_00,r-flash,,
82.85838,2,j4-1,,,
83.29167,2,sj1,,,
83.69162999999999,2,sj1,,,
84.19158,2,w1,,,
84.35822999999999,1,1-2,,,
84.35822999999999,1,,,f2,
84.49154999999999,1,,,,L0
84.49154999999999,2,,,,D60
84.82485,1,j2-3,,,
84.9915,MOT_mc_stage_color_00,b-flash,,
85.19148,1,j3-4,,,
85.62477,1,sj4,,,
86.02472999999999,1,sj4,,,
86.52467999999999,1,w4,,,
86.69133,1,4-1,,,
86.69133,2,1-2,,,
86.82464999999999,2,,,,L0
87.02463,1,j1-2,,,
87.02463,2,j2-3,,,
87.29127,MOT_mc_stage_color_00,y-flash,,
87.79122,1,j2-3,,,
87.79122,2,j3-4,,,
88.39116,1,j3-4,,,
88.39116,2,j4-1,,,
88.9911,1,,rb0,,
88.9911,2,,lb0,,
89.39106,2,1-2,,,
89.39106,1,4-1,,,
89.72435999999999,MOT_mc_stage_color_00,b-flash,,
89.82435,1,1-2,r1,,
89.82435,2,2-3,l1,,
90.25764,1,2-3,,,
90.25764,2,3-4,,,
90.6576,2,j4-1,,,
90.6576,1,j3-4,,,
91.35753,1,4-1,,,
91.35753,2,1-2,,,
91.72416,1,j1-2,,,
91.72416,2,j2-3,,,
91.9908,MOT_mc_stage_color_00,r-flash,,
92.15745,1,lp2,,,
92.15745,2,lp3,,,
92.92403999999999,1,j2-3,,,
92.92403999999999,2,j3-4,,,
93.42398999999999,1,j3-4,,,
93.42398999999999,2,j4-1,,,
94.12392,1,4-1,r2,,
94.12392,2,1-2,l2,,
94.39056,MOT_mc_stage_color_00,y-flash,,
94.69053,1,1-2,r3,,
94.69053,2,2-3,l3,,
95.22381,1,2-3,,,
95.22381,2,3-4,,,
95.62377,1,lp3,,,
95.62377,2,lp4,,,
96.45702,1,3-4,,,
96.45702,2,4-1,,,
96.69032999999999,MOT_mc_stage_color_00,r-flash,,
97.05695999999999,1,j4-1,,,
97.05695999999999,2,j1-2,,,
97.22361,MOT_mc_stage_color_00,b-flash,,
97.6569,1,1-2,,,
97.6569,2,2-3,,,
97.79021999999999,MOT_mc_stage_color_00,y-flash,,
98.15684999999999,1,j2-3,,,
98.15684999999999,2,j3-4,,,
98.35683,MOT_mc_stage_color_00,r-flash,,
98.75679,1,j3-4,,,
98.75679,2,j4-1,,,
98.92344,MOT_mc_stage_color_00,b-flash,,
99.15675,1,sp4-1,,,
99.15675,2,sp1-2,,,
101.08989,1,1-2,,,
101.08989,2,2-3,,,
101.08989,1,,rb2,,
101.08989,2,,lb2,,
101.12321999999999,MOT_mc_stage_color_00,r-flash,,
101.15655,MOT_mc_bg_black_00,b20-45,,
101.18988,MOT_mc_special_03,y,,
101.22321,1,,,,D20
101.22321,2,,,,D20
101.58984,1,2-3,,,
101.58984,2,3-4,,,
102.18978,1,3-4,,,
102.18978,2,4-1,,,
102.3231,MOT_mc_stage_color_00,y-flash,,
102.78971999999999,1,4-1,,,
102.78971999999999,2,1-2,,,
103.323,1,1-2,,,
103.323,2,2-3,,,
103.323,1,,rb1,,
103.323,2,,lb1,,
103.52297999999999,MOT_mc_stage_color_00,b-flash,,
103.92294,1,2-3,,,
103.92294,2,3-4,,,
104.48955,1,sp3-4,,,
104.48955,2,sp4-1,,,
104.75618999999999,MOT_mc_stage_color_00,r-flash,,
105.55610999999999,1,j4-1,,,
105.55610999999999,2,j1-2,,,
105.85607999999999,MOT_mc_stage_color_00,y-flash,,
105.98939999999999,1,1-2,r2,,
105.98939999999999,2,2-3,lb0,,
106.35602999999999,1,2-3,rb1,,
106.35602999999999,2,3-4,l1,,
106.68933,1,j3-4,,,
106.68933,2,j4-1,,,
106.9893,MOT_mc_stage_color_00,b-flash,,
107.28927,1,j4-1,,,
107.28927,2,j1-2,,,
107.85588,1,j1-2,,,
107.85588,2,j2-3,,,
108.18918,MOT_mc_stage_color_00,r-flash,,
108.32249999999999,1,2-3,rb0,,
108.32249999999999,2,3-4,lb0,,
108.75578999999999,1,3-4,l1,,
108.75578999999999,2,4-1,r1,,
109.22241,MOT_mc_stage_color_00,y-flash,,
109.28907,1,4-1,,,
109.28907,2,1-2,,,
109.68902999999999,1,1-2,,,
109.68902999999999,2,2-3,,,
110.38896,MOT_all,cut3,,
110.62227,2,w3,,,
110.62227,1,2-3,,,
110.62227,2,3-4,,,
110.62227,1,,lb0,,
110.62227,2,,rb0,,
110.78891999999999,MOT_mc_stage_color_00,b-flash,,
111.18888,1,3-4,,,
111.18888,2,4-1,,,
111.72215999999999,1,4-1,,,
111.72215999999999,2,1-2,,,
111.92214,MOT_mc_stage_color_00,r-flash,,
112.32209999999999,1,1-2,,,
112.32209999999999,2,2-3,,,
112.32209999999999,1,,r1,,
112.32209999999999,2,,l1,,
112.68872999999999,1,2-3,r2,,
112.68872999999999,2,3-4,l2,,
113.08869,MOT_mc_stage_color_00,y-flash,,
113.08869,1,3-4,,,
113.08869,2,4-1,,,
113.55530999999999,1,j4-1,,,
113.55530999999999,2,j1-2,,,
114.12191999999999,1,sp1-2,,,
114.12191999999999,2,sp2-3,,,
114.25524,MOT_mc_stage_color_00,b-flash,,
115.12182,1,j2-3,,,
115.12182,2,j3-4,,,
115.38846,MOT_mc_stage_color_00,r-flash,,
115.48845,1,,rb1,,
115.48845,2,,lb1,,
115.85508,1,,rb0,,
115.85508,2,,lb0,,
116.18838,2,w4,,,
116.18838,1,w3,,,
116.25504,1,j3-4,,,
116.25504,2,j4-1,,,
116.55501,MOT_mc_stage_color_00,y-flash,,
116.85498,1,j4-1,,,
116.85498,2,j1-2,,,
117.42159,1,1-2,l1,,
117.42159,2,2-3,r1,,
117.72156,MOT_mc_stage_color_00,b-flash,,
117.85488,1,2-3,l2,,
117.85488,2,3-4,r2,,
118.3215,1,3-4,l3,,
118.3215,2,4-1,r3,,
118.45482,MOT_mc_stage_color_00,r-flash,,
118.78811999999999,1,4-1,l4,,
118.78811999999999,2,1-2,r4,,
118.95477,MOT_mc_stage_color_00,y-flash,,
119.22140999999999,1,1-2,l5,,
119.22140999999999,2,2-3,r5,,
119.45472,MOT_mc_stage_color_00,b-flash,,
119.62137,MOT_mc_special_03,y-stay2,,
119.62137,1,2-3,,,
119.62137,2,3-4,,,
119.62137,1,,lb4,,
119.62137,2,,rb4,,
119.75469,MOT_mc_stage_color_00,r-flash,,
119.82135,MOT_mc_light_up_00,stay,,
119.82135,MOT_mc_light_under_00,stay,,
120.55461,2,w4,,,
120.55461,1,w3,,,
