0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_control_all,cut1,,
95.42379,1,lp1,,,
95.59044,2,w2,,,
96.19037999999999,1,1-2,,,
96.52368,MOT_mc_stage_color_00,b-flash,,
96.52368,2,2-3,lb2,,
97.12362,1,w2,,,
97.15695,2,3-4,,,
97.82355,MOT_mc_stage_color_00,b-flash,,
97.82355,1,2-3,rb1,,
97.82355,2,4-1,lb1,,
98.42349,1,3-4,,,
98.42349,2,1-2,,,
99.09008999999999,1,lp4,,,
99.09008999999999,2,lp2,,,
100.35663,1,4-1,,,
100.35663,2,2-3,,,
100.95657,MOT_mc_stage_color_00,r-flash,,
100.95657,1,lp1,r2,,
100.95657,2,lp3,,,
101.58984,1,1-2,,,
102.22310999999999,1,,r3,,
102.52308,1,w2,,,
102.52308,1,,r4,,
102.82305,1,2-3,,,
103.25634,2,3-4,l2,,
103.45631999999999,MOT_mc_stage_color_00,b-flash,,
103.75628999999999,1,w3,,,
103.95626999999999,2,4-1,,,
104.85618,2,1-2,l3,,
105.22281,2,,l4,,
105.55610999999999,2,2-3,,,
105.95607,2,3-4,,,
106.35602999999999,2,4-1,,,
107.28927,2,w1,,,
107.45591999999999,1,3-4,rb3,,
108.18918,1,,rb2,,
108.38915999999999,1,w4,,,
108.75578999999999,2,1-2,lb3,,
109.48904999999999,2,,lb2,,
109.68902999999999,2,w2,,,
110.08899,1,4-1,,,
110.85557999999999,1,lp1,,,
111.68883,1,1-2,,,
112.62207,1,w2,,,
112.85538,2,,lb1,,
113.45532,2,2-3,,,
114.15525,1,,rb1,,
114.38856,2,w3,,,
114.75519,1,2-3,,,
115.48845,1,3-4,r2,,
115.48845,2,3-4,l2,,
116.18838,1,4-1,,,
116.18838,2,4-1,,,
117.05496,MOT_mc_stage_color_00,b-flash,,
117.05496,1,sp1-2,,,
117.05496,2,sp1-2,,,
117.05496,MOT_mc_light_center_00,l2,,
119.88801,1,2-3,,,
119.88801,2,2-3,,,
120.48795,1,sp3-4,,,
120.48795,2,sp3-4,,,
121.22121,1,4-1,,,
121.22121,2,4-1,,,
121.85448,1,sp1-2,,,
121.85448,2,sp1-2,,,
122.45442,1,2-3,,,
122.45442,2,2-3,,,
122.98769999999999,1,lp3,,,
122.98769999999999,2,lp3,,,
122.98769999999999,MOT_mc_light_center_00,l3,,
126.98729999999999,MOT_mc_back_00,bg3,,
127.02063,1,3-4,,,
127.45392,2,3-4,,,
127.58724,MOT_mc_bg_black_00,b20-65,,
127.58724,MOT_mc_light_center_00,l4,,
127.82055,1,,,,D40
127.82055,2,,,,D40
127.95387,1,w4,,,
128.38716,2,w4,,,
