0.03333,MOT_all,o2revive,,
14.59854,2,lp1,,
15.03183,3,3-4,r1,
15.03183,1,4-1,r1,
15.03183,2,1-2,r1,
15.59844,3,lp4,,
15.59844,1,lp1,,
15.59844,2,lp2,,
15.89841,MOT_mc_stage_color_00,r-flash,,
15.9984,3,4-1,,
15.9984,1,1-2,,
15.9984,2,2-3,,
16.331699999999998,3,j1-2,,
16.331699999999998,1,j2-3,,
16.331699999999998,2,j3-4,,
16.86498,3,2-3,rb0,
16.86498,1,3-4,rb0,
16.86498,2,4-1,rb0,
17.39826,3,sp3-4,,
17.39826,1,sp4-1,,
17.39826,2,sp1-2,,
18.26484,MOT_mc_stage_color_00,r-flash,,
18.29817,1,sj1,,
18.29817,3,sj4,,
18.29817,2,sj2,,
18.6648,1,j1-2,,
18.6648,3,j4-1,,
18.6648,2,j2-3,,
19.09809,MOT_control_all,o202,,
19.198079999999997,3,lp1,,
19.198079999999997,1,lp2,,
19.198079999999997,2,lp3,,
19.43139,3,1-2,,
19.43139,1,2-3,,b0
19.43139,2,3-4,,b0
19.86468,3,2-3,,
20.26464,3,j3-4,,
20.36463,2,w4,,
20.36463,1,w3,,
20.36463,MOT_control_all,o203,,
20.73126,3,lp4,,
20.96457,1,3-4,,f1
20.96457,3,4-1,,b0
21.397859999999998,1,4-1,,
21.73116,MOT_control_all,o204,,
21.831149999999997,1,j1-2,,
21.89781,3,w1,,
22.197779999999998,2,4-1,,f1
22.197779999999998,1,2-3,,b0
22.597739999999998,2,1-2,,
22.9977,2,j2-3,,
23.13102,1,w3,,
23.39766,2,3-4,,
23.79762,MOT_mc_light_up_00,l1,,
23.79762,MOT_mc_speaker_00,w3,,
23.830949999999998,MOT_mc_back_00,o201,,
23.93094,2,j4-1,,
24.264239999999997,MOT_control_all,o205,,
24.430889999999998,2,sj1,,
24.76419,MOT_mc_stage_color_00,b-flash,,
24.830849999999998,3,lp1,,
24.830849999999998,2,lp1,,b0
24.830849999999998,1,lp3,,
24.93084,MOT_mc_special_01,sp1_02_02,,
25.29747,2,1-2,r1,
25.63077,1,3-4,l1,
25.664099999999998,MOT_mc_light_up_00,stay,,
25.664099999999998,MOT_mc_speaker_00,w3,,
25.96407,MOT_mc_bg_black_00,b20-65,,
25.96407,3,1-2,l1,
26.23071,2,w2,,
26.297369999999997,2,2-3,r2,
26.56401,1,w4,,
26.63067,1,4-1,l2,
26.697329999999997,MOT_mc_bg_black_00,b65-45,,
26.897309999999997,3,w2,,
26.96397,3,2-3,lb0,
27.23061,2,w3,,
27.297269999999997,2,3-4,r3,
27.56391,1,w1,,
27.63057,1,1-2,l3,
27.897209999999998,3,w3,,
27.96387,3,3-4,r1,
28.23051,2,w4,,
28.297169999999998,2,4-1,rb2,
28.56381,1,w2,,
28.63047,1,2-3,lb2,
28.897109999999998,3,w4,,
28.96377,3,4-1,r2,
29.23041,2,w1,,
29.297069999999998,2,1-2,r3,
29.56371,1,w3,,
29.63037,1,3-4,l3,
29.897009999999998,3,w1,,
29.963669999999997,3,1-2,r3,
30.23031,2,w2,,
30.330299999999998,2,2-3,rb2,
30.563609999999997,1,w4,,
30.69693,1,4-1,lb2,
30.89691,3,w2,,
31.06356,3,2-3,rb2,
31.26354,2,w3,,
31.43019,2,3-4,rb1,
31.63017,1,w1,,
31.83015,1,1-2,lb1,
31.9968,3,w3,,
32.230109999999996,3,3-4,rb1,
32.36343,2,w4,,
32.630069999999996,2,4-1,rb0,
32.76339,1,w2,,
33.03003,1,2-3,lb0,
33.16335,3,w4,,
33.39666,3,4-1,rb0,
33.56331,2,w1,,
33.76329,2,1-2,l1,
33.96327,1,w3,,
34.12992,1,3-4,r1,
34.329899999999995,3,w1,,
34.49655,3,1-2,,
34.696529999999996,2,w2,,
34.86318,2,2-3,l2,
35.063159999999996,1,w4,,
35.26314,1,4-1,r2,
35.42979,3,w2,,
35.79642,2,w3,,
35.86308,1,sj1,,
35.86308,2,sj3,,
35.86308,3,sj2,,
35.896409999999996,MOT_control_all,o206,,
36.16305,1,sj1,,
36.16305,2,sj3,,
36.16305,3,sj2,,
36.19638,MOT_mc_stage_color_00,b-flash,,
36.19638,MOT_mc_light_up_00,l2,,
36.19638,MOT_mc_light_center_00,l2,,
36.19638,MOT_mc_light_under_00,l2,,
36.19638,MOT_mc_speaker_00,w3,,
36.49635,3,2-3,,f1
36.663,2,w3,,
36.663,1,w1,,
37.06296,3,sj3,,
37.496249999999996,3,3-4,r1,
37.962869999999995,3,j4-1,,
38.52948,3,1-2,r2,
38.96277,3,lp2,,
39.26274,3,sp2-3,,
40.09599,3,sj3,,
40.362629999999996,MOT_mc_stage_color_00,b-flash,,
40.42929,3,lp3,,
40.762589999999996,3,3-4,rb1,
41.195879999999995,3,4-1,,
41.52918,3,1-2,rb0,
41.629169999999995,MOT_control_all,o207,,
42.16245,3,2-3,,b0
42.16245,1,1-2,,f1
42.69573,1,sj2,,
43.02903,1,2-3,rb1,
43.09569,3,w3,,
43.46232,1,3-4,rb0,
43.89561,1,lp4,,
44.09559,1,j4-1,,
44.72886,1,,l1,
45.16215,1,w1,,
45.36213,1,1-2,l2,
45.79542,1,lp2,,
45.96207,MOT_mc_stage_color_00,y-flash,,
46.428689999999996,MOT_mc_stage_color_00,r-flash,,
46.462019999999995,1,2-3,l3,
46.861979999999996,MOT_mc_stage_color_00,b-flash,,
46.861979999999996,1,sp3-4,,
47.42859,MOT_control_all,o208,,
47.42859,1,hj4,,
47.728559999999995,MOT_mc_stage_color_00,b-flash,,
47.9952,2,3-4,,f1
48.29517,1,,,b0
48.461819999999996,2,4-1,lb1,
48.6618,1,w4,,
48.79512,2,1-2,lb0,
49.12842,2,sj2,,
49.39506,2,sp2-3,,
49.96167,2,j3-4,,
50.094989999999996,1,j4-1,,
50.094989999999996,3,j3-4,,
50.528279999999995,2,sj4,,
50.76159,MOT_control_all,o209,,
50.86158,2,4-1,r1,
51.16155,3,w4,,
51.16155,1,w1,,
51.19488,2,1-2,r2,
51.394859999999994,1,j1-2,,
51.394859999999994,3,j4-1,,
51.761489999999995,1,2-3,l4,
51.761489999999995,3,1-2,l1,
52.094789999999996,2,sp2-3,,
52.69473,3,w2,,
52.69473,1,w3,,
52.894709999999996,1,3-4,,
52.894709999999996,3,2-3,,
52.928039999999996,MOT_control_all,o210,,
53.06136,2,sj3,,
53.327999999999996,1,4-1,lb3,
53.327999999999996,3,3-4,lb0,
53.46132,2,3-4,rb1,
53.86128,2,lp4,,
54.161249999999995,2,4-1,rb0,
54.26124,3,w4,,
54.26124,1,w1,,
54.49455,2,lp1,,
54.627869999999994,MOT_control_all,o211,,
54.76119,2,sj1,,
55.09449,2,lp1,,
55.461119999999994,3,4-1,,f1
55.461119999999994,2,w1,,b0
55.861079999999994,3,j1-2,,
55.89441,MOT_control_all,o212,,
56.3277,1,1-2,,f1
56.42769,3,,,b0
56.89431,1,2-3,lb2,
56.92764,3,w2,,
57.29427,1,sj3,,
57.6609,1,3-4,lb1,
57.9942,1,lp4,,
58.294169999999994,1,4-1,lb0,
58.694129999999994,1,sp1-2,,
58.92744,MOT_control_all,o213,,
59.12742,1,sj2,,
59.494049999999994,3,2-3,,f1
59.494049999999994,2,1-2,,f1
59.494049999999994,1,2-3,,
59.96067,3,3-4,,
59.96067,2,2-3,,
59.96067,1,3-4,,
60.46062,3,lp4,,
60.46062,2,lp3,,
60.46062,1,lp4,,
60.727259999999994,3,4-1,,
60.727259999999994,2,3-4,,
60.727259999999994,1,4-1,,
61.127219999999994,3,j1-2,,
61.127219999999994,2,j4-1,,
61.127219999999994,1,j1-2,,
61.72716,3,lp2,,
61.72716,2,lp1,,
61.72716,1,lp2,,
62.19378,3,sp2-3,,
62.19378,2,sp1-2,l1,
62.19378,1,sp2-3,r1,
62.49375,MOT_mc_stage_color_00,r-flash,,
62.9937,3,sj3,,
62.9937,2,sj2,,
62.9937,1,sj3,,
63.426989999999996,MOT_control_all,o214,,
63.426989999999996,3,sj3,,
63.426989999999996,2,sj2,,
63.426989999999996,1,sj3,,
63.926939999999995,3,w3,,
63.926939999999995,2,w2,,
63.926939999999995,1,w3,,
63.960269999999994,3,hj3,,
63.960269999999994,2,hj2,,
63.960269999999994,1,hj3,,
63.9936,MOT_mc_back_00,o202,,
65.19348,3,w3,,
65.19348,2,w2,,
65.19348,1,w3,,
65.29347,3,,,b0
65.29347,2,,,b0
65.29347,1,,,b0
65.69342999999999,MOT_control_all,o215,,
65.96007,MOT_mc_bg_black_00,b45-20,,
65.96007,MOT_mc_special_01,sp1_colors02,,
66.16005,3,3-4,,f1
66.59334,3,lp4,,
67.3266,3,j4-1,,
67.95987,3,lp1,,
68.45982,3,sj1,,
68.79312,3,sp1-2,,
69.85968,3,sj2,,
70.22631,3,j2-3,,
70.79292,3,lp3,,
71.22621,MOT_control_all,o215_01,,
71.69283,3,w3,,b0
71.69283,1,3-4,,f1
72.12612,1,lp4,,
72.49275,1,sj4,,
72.92604,1,4-1,,
73.39265999999999,1,1-2,,
73.79262,1,sj2,,
73.89260999999999,MOT_control_all,o215_02,,
74.15925,1,lp2,,
74.45922,1,w2,,b0
74.45922,2,sp2-3,,f1
75.15915,2,sj3,,
75.52578,2,3-4,l2,
75.92573999999999,2,lp4,,
76.52568,2,4-1,lb1,
76.92564,MOT_control_all,o215_03,,
76.92564,2,sj1,,
77.22561,MOT_mc_stage_color_00,b-flash,,
77.29227,1,2-3,,f1
77.29227,3,3-4,,f1
77.29227,2,1-2,,
77.9922,3,lp4,,
77.9922,1,lp3,,
77.9922,2,lp2,,
78.42549,3,4-1,r1,
78.42549,1,3-4,r2,
78.42549,2,2-3,lb0,
78.9921,3,lp1,,
78.9921,1,lp4,,
78.9921,2,lp3,,
79.39206,3,1-2,,
79.39206,1,4-1,,
79.39206,2,3-4,,
79.72536,3,j2-3,,
79.72536,1,j1-2,,
79.72536,2,j4-1,,
80.25864,3,3-4,rb0,
80.25864,1,2-3,rb1,
80.25864,2,1-2,l1,
80.79191999999999,3,sp4-1,,
80.79191999999999,1,sp3-4,,
80.79191999999999,2,sp2-3,,
81.69183,1,sj4,,
81.69183,3,sj1,,
81.69183,2,sj3,,
82.05846,1,j4-1,,
82.05846,3,j1-2,,
82.05846,2,j3-4,,
82.59174,3,lp2,,
82.59174,1,lp1,,
82.59174,2,lp4,,
82.82504999999999,1,1-2,,
82.82504999999999,2,4-1,,
82.82504999999999,3,2-3,,
82.82504999999999,4,1-2,,
82.82504999999999,5,1-2,,
83.25833999999999,1,2-3,,
83.25833999999999,2,1-2,,
83.25833999999999,3,3-4,,
83.25833999999999,4,2-3,,
83.25833999999999,5,2-3,,
83.6583,1,j3-4,,
83.6583,2,j2-3,,
83.6583,3,j4-1,,
83.6583,4,j3-4,,
83.6583,5,j3-4,,
84.12492,1,lp4,,
84.12492,2,lp3,,
84.12492,3,lp1,,
84.12492,4,lp4,,
84.12492,5,lp4,,
84.35822999999999,1,4-1,,
84.35822999999999,2,3-4,,
84.35822999999999,3,1-2,,
84.35822999999999,4,4-1,,
84.35822999999999,5,4-1,,
84.79151999999999,1,1-2,,
84.79151999999999,2,4-1,,
84.79151999999999,3,2-3,,
84.79151999999999,4,1-2,,
84.79151999999999,5,1-2,,
85.22480999999999,1,lp2,,
85.22480999999999,2,lp1,,
85.22480999999999,3,lp3,,
85.22480999999999,4,lp2,,
85.22480999999999,5,lp2,,
85.59143999999999,1,2-3,,
85.59143999999999,2,1-2,,
85.59143999999999,3,3-4,,
85.59143999999999,4,2-3,,
85.59143999999999,5,2-3,,
85.9914,1,3-4,,
85.9914,2,2-3,,
85.9914,3,4-1,,
85.9914,4,3-4,,
85.9914,5,3-4,,
86.39135999999999,1,j4-1,,
86.39135999999999,2,j3-4,,
86.39135999999999,3,j1-2,,
86.39135999999999,4,j4-1,,
86.39135999999999,5,j4-1,,
86.79132,1,1-2,,
86.79132,2,4-1,,
86.79132,3,2-3,,
86.79132,4,1-2,,
86.79132,5,1-2,,
87.32459999999999,1,j2-3,,
87.32459999999999,2,j1-2,,
87.32459999999999,3,j3-4,,
87.32459999999999,4,j2-3,,
87.32459999999999,5,j2-3,,
87.82455,1,sj3,,
87.82455,2,sj2,,
87.82455,3,sj4,,
87.82455,4,sj3,,
87.82455,5,sj3,,
88.22451,1,lp3,,
88.22451,2,lp2,,
88.22451,3,lp4,,
88.22451,4,lp3,,
88.22451,5,lp3,,
88.79111999999999,MOT_mc_stage_color_00,r-flash,,
89.92434,1,j3-4,,
89.92434,2,j2-3,,
89.92434,3,j4-1,,
90.42429,1,j4-1,,
90.42429,2,j3-4,,
90.42429,3,j1-2,,
91.02423,1,1-2,,
91.02423,2,4-1,,
91.02423,3,2-3,,
91.29087,1,sj2,,
91.29087,2,sj1,,
91.29087,3,sj3,,
91.55751,1,2-3,r2,
91.55751,2,1-2,l2,
91.55751,3,j3-4,,
92.02413,1,3-4,r3,
92.02413,2,2-3,l3,
92.02413,3,j4-1,,
92.42408999999999,1,lp4,,
92.42408999999999,2,lp3,,
92.42408999999999,3,lp1,,
92.59074,1,4-1,,
92.59074,2,3-4,,
92.59074,3,1-2,,
93.02403,1,lp1,,
93.02403,2,lp4,,
93.02403,3,lp2,,
93.42398999999999,1,1-2,rb2,
93.42398999999999,2,4-1,lb2,
93.42398999999999,3,j2-3,,
93.85728,1,j2-3,,
93.85728,2,j1-2,,
93.85728,3,j3-4,,
94.35723,MOT_mc_stage_color_00,b-flash,,
94.35723,MOT_mc_special_01,o2_stay,,
94.42389,1,3-4,,b0
94.42389,2,2-3,,b0
94.42389,3,4-1,,b0
94.92384,1,lp4,,
94.92384,2,lp3,,
94.92384,3,lp1,,
95.25713999999999,MOT_control_all,o2last,,
95.29047,1,j4-1,,
95.62377,2,3-4,lb1,
95.92374,3,1-2,l1,
96.22371,1,1-2,rb1,
96.55700999999999,2,4-1,lb0,
96.85698,3,2-3,l2,
97.15695,1,2-3,rb0,
97.49024999999999,2,1-2,r1,
97.79021999999999,3,3-4,lb1,
98.09018999999999,1,w3,,
98.12352,1,3-4,r1,
98.42349,2,w2,,
98.45682,2,2-3,rb0,
98.72345999999999,3,w4,,
98.75679,3,4-1,lb0,
99.05676,1,w4,,
99.09008999999999,1,4-1,r2,
99.39005999999999,2,w3,,
99.42339,2,3-4,l1,
99.69003,3,w1,,
99.79002,3,1-2,r1,
100.02333,1,w1,,
100.15665,1,1-2,rb1,
100.35663,2,w4,,
100.52328,2,4-1,lb0,
100.72326,3,w2,,
100.88991,3,2-3,rb0,
101.08989,1,w2,,
101.28987,1,2-3,r2,
101.45652,2,w1,,
101.68983,2,1-2,l1,
101.82315,3,w3,,
102.08979,3,3-4,l1,
102.22310999999999,1,w3,,
102.52308,1,3-4,r3,
102.62307,2,w2,,
102.92304,2,2-3,l2,
103.02302999999999,3,w4,,
103.323,3,4-1,lb0,
103.45631999999999,1,w4,,
103.75628999999999,1,4-1,r4,
103.85628,2,w3,,
104.15625,2,3-4,l3,
104.25623999999999,3,w1,,
104.55621,3,1-2,r1,
104.68952999999999,1,w1,,
105.08949,2,w4,,
105.48944999999999,3,w2,,
105.92273999999999,1,j1-2,,
105.92273999999999,2,j4-1,,
105.92273999999999,3,j2-3,,
106.35602999999999,1,sp2-3,,
106.35602999999999,2,sp1-2,,
106.35602999999999,3,sp3-4,,
106.82265,MOT_mc_bg_black_00,b20-65,,
106.82265,MOT_mc_light_center_00,l3,,
106.82265,MOT_mc_light_under_00,l3,,
106.82265,MOT_mc_light_up_00,last,,
106.82265,1,hj3,,
106.82265,2,hj2,,
106.82265,3,hj4,,
107.88920999999999,1,3-4,,
107.88920999999999,2,2-3,,
107.88920999999999,3,4-1,,
108.82244999999999,3,w1,,
108.82244999999999,2,w3,,
108.82244999999999,1,w4,,
