0.06666,MOT_control_all,z01,,
24.49755,3,lp4,,
24.864179999999998,1,sj2,,
24.864179999999998,2,sj2,,
24.864179999999998,3,sj4,,
25.19748,1,sj2,,
25.19748,2,sj2,,
25.19748,3,sj4,,
25.53078,1,w2,,
25.53078,2,2-3,,f1
25.53078,3,4-2,,b0
25.96407,2,lp3,,
25.96407,3,w2,,
26.23071,2,,r1,
27.063959999999998,2,3-1,,
27.463919999999998,2,lp1,,
27.930539999999997,1,sj2,,
27.930539999999997,2,sj1,,
27.930539999999997,3,sj2,,
28.297169999999998,1,sj2,,
28.297169999999998,2,sj1,,
28.297169999999998,3,sj2,,
28.697129999999998,1,2-4,,f1
28.697129999999998,2,w1,,b0
28.697129999999998,3,w2,,
29.130419999999997,1,lp4,,
29.36373,1,4-1,,
29.76369,1,lp1,,
29.86368,1,sj1,,
30.19698,1,lp1,,
30.730259999999998,1,1-3,,
31.06356,1,sj3,,
31.39686,1,lp3,,
31.59684,1,3-2,,
31.963469999999997,1,lp2,,
32.39676,1,j2-4,,
32.39676,2,1-4,,f1
32.39676,3,2-4,,f1
32.79672,1,sj4,,
32.79672,2,sj4,,
32.79672,3,sj4,,
33.19668,1,j4-1,,
33.19668,2,j4-1,,
33.19668,3,j4-1,,
33.59664,1,lp1,,
33.59664,2,lp1,,
33.59664,3,lp1,,
34.16325,1,j1-3,,
34.49655,2,j1-3,,
34.82985,3,j1-3,,
34.82985,1,w3,,
35.29647,3,3-2,,f1
35.29647,2,w3,,b0
35.29647,1,,,b0
35.76309,3,lp2,,
36.16305,3,sj2,,
36.52968,3,w2,,
36.696329999999996,3,j2-1,,
37.129619999999996,3,lp1,,
37.62957,1,sj3,,
37.62957,2,sj3,,
37.62957,3,sj1,,
37.9962,1,sj3,,
37.9962,2,sj3,,
37.9962,3,sj1,,
38.362829999999995,1,w3,,
38.362829999999995,2,3-1,,f1
38.362829999999995,3,w1,,b0
38.729459999999996,2,lp1,,
38.86278,2,sj1,,
39.162749999999996,2,1-2,,
39.562709999999996,2,lp2,,
39.79602,2,j2-4,,
40.22931,2,lp4,,
40.762589999999996,1,sj3,,
40.762589999999996,2,sj4,,
40.762589999999996,3,sj4,,
41.12922,1,sj3,,
41.12922,3,sj4,,
41.12922,2,sj4,,
41.562509999999996,1,3-2,,f1
41.562509999999996,2,w4,,b0
41.562509999999996,3,w4,,
42.029129999999995,1,lp2,,
42.22911,1,sj2,,
42.89571,1,2-1,r1,
43.29567,1,lp1,,
43.92894,1,sj1,,
44.26224,1,j1-2,,
44.76219,1,lp2,,
45.09549,1,2-1,,
45.46212,1,1-4,rb0,
45.92874,1,lp4,,
46.22871,1,j4-1,,
46.22871,2,4-1,,f1
46.22871,3,4-1,,f1
46.69533,1,lp1,,
46.69533,2,lp1,,
46.69533,3,lp1,,
46.861979999999996,2,1-3,,
46.92864,1,1-3,,
47.02863,3,1-3,,
47.328599999999994,1,lp3,,
47.328599999999994,2,lp3,,
47.328599999999994,3,lp3,,
47.46192,1,j3-2,,
47.46192,2,j3-2,,
47.46192,3,j3-2,,
47.89521,1,lp2,,
47.89521,2,lp2,,
47.89521,3,lp2,,
48.29517,2,j2-4,,
48.29517,3,j2-4,,
48.495149999999995,1,j2-4,,
48.861779999999996,MOT_all,cut04,,
48.928439999999995,1,lp4,,b-1
48.928439999999995,2,lp4,,b-1
48.928439999999995,3,lp4,,b-1
48.928439999999995,2,,rb0,
48.928439999999995,3,,lb0,
49.02843,MOT_control_all,1C_01,,
49.39506,1,w4,,
49.39506,2,w4,,
49.39506,3,4-2,,
49.89501,3,sj2,,
50.22831,3,2-1,,
50.62827,3,lp1,,
50.961569999999995,3,w1,,
50.9949,2,j4-3,,
51.46152,2,sj3,,
51.86148,2,3-4,,
52.3281,2,sj4,,
52.594739999999994,1,j4-2,,
52.594739999999994,2,w4,,
53.06136,1,sj2,,
53.327999999999996,1,lp2,,
53.427989999999994,1,2-1,,
53.761289999999995,1,j1-3,,
54.227909999999994,1,lp3,,
54.594539999999995,1,j3-2,,
54.594539999999995,2,j4-2,,
54.594539999999995,3,j1-2,,
55.06116,1,sj2,,
55.06116,2,sj2,,
55.06116,3,sj2,,
55.427789999999995,1,2-1,,
55.427789999999995,2,2-1,,
55.427789999999995,3,2-1,,
55.794419999999995,1,w1,,
55.794419999999995,2,w1,,
55.794419999999995,3,1-3,,
56.227709999999995,3,lp3,,
56.42769,3,sp3-4,,
57.027629999999995,3,sj4,,
57.360929999999996,3,w4,,
57.360929999999996,2,j1-2,,
57.894209999999994,2,sj2,,
58.227509999999995,2,2-4,,
58.627469999999995,2,lp4,,
58.89411,1,j1-2,,
58.89411,2,w4,,
59.427389999999995,1,sj2,,
59.76069,1,2-4,,
60.12732,1,sj4,,
60.46062,1,lp4,,
60.96057,1,4-3,,
60.96057,2,4-3,,
60.96057,3,4-3,,
61.56051,1,3-1,,
61.56051,2,3-1,,
61.56051,3,3-1,,
61.927139999999994,1,sj1,,
61.927139999999994,2,sj1,,
61.927139999999994,3,sj1,,
62.327099999999994,1,w1,,
62.327099999999994,2,w1,,
62.327099999999994,3,w1,,
62.52708,1,sj1,,
62.52708,2,sj1,,
62.52708,3,sj1,,
62.89371,1,sj1,,
62.89371,2,sj1,,
62.89371,3,sj1,,
63.26034,1,sj1,,
63.26034,2,sj1,,
63.26034,3,sj1,,
63.72696,1,1-4,,
63.76029,2,w1,,
63.76029,3,w1,,
64.19358,1,lp4,,
64.56021,1,4-2,,
64.89350999999999,1,sj2,,
65.22681,1,sj2,,
65.22681,3,sj1,,
65.22681,2,sj1,,
65.56011,1,sj2,,
65.56011,3,sj1,,
65.56011,2,sj1,,
65.89341,1,sj2,,
65.89341,3,sj1,,
65.89341,2,sj1,,
66.16005,1,,,f0
66.16005,2,,,f0
66.16005,3,,,f0
66.16005,1,2-4,,
66.16005,3,1-4,,
66.16005,2,1-4,,
66.29337,MOT_mc_bg_black_00,none,,
66.3267,MOT_mc_light_center_00,l2,,
66.46002,1,4-3,,
66.46002,2,4-3,,
66.46002,3,4-3,,
66.89331,1,lp3,,
66.89331,2,lp3,,
66.89331,3,lp3,,
67.59324,1,3-4,,
67.59324,2,3-4,,
67.59324,3,3-4,,
68.02653,1,sj4,,
68.02653,2,sj4,,
68.02653,3,sj4,,
68.52647999999999,1,sj4,,
68.52647999999999,2,sj4,,
68.52647999999999,3,sj4,,
68.85978,1,4-2,,
68.85978,2,4-2,,
68.85978,3,4-2,,
68.85978,3,,r1,
68.85978,2,,l1,
69.25974,1,lp2,,
69.25974,2,lp2,,
69.25974,3,lp2,,
69.52638,1,j2-3,,
69.52638,2,j2-3,,
69.52638,3,j2-3,,
70.09299,1,lp3,,
70.09299,2,lp3,,
70.09299,3,lp3,,
70.79292,1,sj3,,
70.79292,2,sj3,,
70.79292,3,sj3,,
71.12622,1,sj3,,
71.12622,2,sj3,,
71.12622,3,sj3,,
71.45952,1,lp3,,
71.45952,2,lp3,,
71.45952,3,lp3,,
71.69283,3,3-4,,
71.69283,3,,r2,
72.05946,2,3-4,l2,
72.42609,1,j3-4,,
72.42609,3,w4,,
72.92604,1,lp4,,
72.92604,2,lp4,,
72.92604,3,lp4,,
73.22601,3,j4-2,,
73.22601,1,w4,,
73.22601,2,w4,,
73.82594999999999,2,j4-2,,
73.82594999999999,3,w2,,
74.39256,2,w2,,
74.62586999999999,1,j4-2,,
75.15915,1,sj2,,
75.45912,1,lp2,,
75.69243,1,2-1,l1,
76.05906,1,sj1,,
76.42569,1,lp1,,
76.69233,1,1-4,lb0,
77.15894999999999,1,lp4,,
77.45891999999999,MOT_control_all,1C_02,,
77.72556,1,sj4,,
77.72556,2,sj2,,
77.72556,3,sj2,,
78.19218,1,j4-3,,
78.19218,2,j2-3,,
78.19218,3,j2-3,,
78.6588,1,lp3,,
78.6588,2,lp3,,
78.6588,3,lp3,,
79.09209,1,w3,,
79.09209,2,w3,,
79.09209,3,3-1,rb1,
79.49204999999999,3,sj1,,
79.85867999999999,3,lp1,,
80.39196,3,1-4,,
80.79191999999999,3,sj4,,
81.12522,3,sj4,,
81.12522,1,sj3,,
81.12522,2,sj3,,
81.55851,3,sj4,,
81.55851,1,sj3,,
81.55851,2,sj3,,
81.9918,3,lp4,,
81.9918,1,lp3,,
81.9918,2,lp3,,
82.39175999999999,3,w4,,
82.39175999999999,1,w3,,
82.39175999999999,2,3-1,lb1,
82.92504,2,lp1,,
83.45832,2,1-4,,
83.92493999999999,2,lp4,,
84.12492,2,sj4,,
84.45822,1,sj3,,
84.45822,2,sj4,,
84.45822,3,sj4,,
84.85817999999999,1,sj3,,
84.85817999999999,2,sj4,,
84.85817999999999,3,sj4,,
85.25814,1,j3-1,,
85.25814,2,4-1,lb0,
85.25814,3,4-1,rb0,
85.69143,1,lp1,,
85.69143,2,lp1,,
85.69143,3,lp1,,
85.92474,MOT_control_all,1C_03,,
85.9914,1,1-4,,f1
86.49135,MOT_control_all,1C_04,,
86.59134,3,1-4,,f1
86.59134,1,w4,,b0
87.09129,3,lp4,,
87.55790999999999,MOT_control_all,1C_05,,
87.59124,2,1-4,,f1
87.59124,3,w4,,b0
88.02453,2,lp4,,
88.25784,1,4-2,,f1
88.25784,2,w4,,b0
88.6578,1,sp2-3,,
89.02443,1,sj3,,
89.3244,1,j3-1,,
89.3244,2,4-1,,f1
89.3244,3,4-1,,f1
89.75769,1,sj1,,
89.75769,2,sj1,,
89.75769,3,sj1,,
90.19098,1,1-2,,
90.19098,2,1-2,,
90.19098,3,1-2,,
90.6576,1,j2-3,,
90.75759,2,j2-3,,
90.85758,3,j2-3,,
91.22421,MOT_control_all,1C_06,,
91.29087,1,w3,,
91.29087,2,w3,,
91.29087,3,w3,,
91.55751,1,j3-4,,
91.55751,2,j3-4,,
91.55751,3,j3-4,,
91.95747,1,w4,,
91.95747,2,w4,,
91.95747,3,w4,,
92.09079,MOT_control_all,z05,,
92.15745,3,4-3,,f1
92.59074,3,lp3,,
93.29066999999999,3,3-4,,
93.72395999999999,1,sj4,,
93.72395999999999,2,sj4,,
93.72395999999999,3,sj4,,
94.22390999999999,1,sj4,,
94.22390999999999,2,sj4,,
94.22390999999999,3,sj4,,
94.55721,1,4-2,,
94.55721,2,4-2,,
94.55721,3,4-2,,
94.55721,3,,r1,
94.55721,2,,l1,
94.95716999999999,1,lp2,,
94.95716999999999,2,lp2,,
94.95716999999999,3,lp2,,
95.19048,MOT_control_all,z06,,
95.19048,2,2-3,,f1
95.19048,3,,,b0
95.79042,2,lp3,,
96.49034999999999,2,sj3,,
97.02363,1,sj2,,
97.02363,3,sj2,,
97.02363,2,w3,,b0
97.35692999999999,1,w2,,
97.35692999999999,3,w2,,
97.35692999999999,2,w3,,
97.59024,3,2-4,,
97.59024,3,,r2,
97.92354,2,3-4,l2,
98.22350999999999,1,j2-4,,
98.22350999999999,3,w4,,
98.42349,MOT_control_all,z07,,
98.59013999999999,1,lp4,,
98.59013999999999,2,lp4,,
98.59013999999999,3,lp4,,
98.62347,1,4-2,,f1
98.62347,3,w4,,
98.62347,2,w4,,
99.25674,1,lp2,,
99.55671,1,j2-1,,
100.08999,1,lp1,,
100.32329999999999,1,j1-2,,
100.85658,1,sj2,,
101.15655,1,lp2,,
101.38986,1,2-1,l1,
101.75649,1,sj1,,
102.12312,1,lp1,,
102.38976,1,1-4,lb0,
102.85638,1,lp4,,b0
103.35633,1,sj4,,
103.35633,2,sj4,,
103.35633,3,sj4,,
103.82294999999999,1,j4-3,,
103.82294999999999,2,j2-3,,
103.82294999999999,3,j2-3,,
104.28957,1,lp3,,
104.28957,2,lp3,,
104.28957,3,lp3,,
104.32289999999999,MOT_control_all,z08,,
104.58954,1,w3,,
104.58954,2,w3,,
104.58954,3,3-1,,f1
105.15615,3,w1,rb1,
105.48944999999999,3,lp1,,
106.15605,3,1-2,,b0
106.75599,3,sj2,,
106.75599,1,sj3,,
106.75599,2,sj3,,
107.18928,3,sj2,,
107.18928,1,sj3,,
107.18928,2,sj3,,
107.62257,3,lp2,,
107.62257,1,lp3,,
107.62257,2,lp3,,
107.92254,MOT_control_all,z09,,
108.02252999999999,3,w2,,
108.02252999999999,1,w3,,
108.02252999999999,2,3-1,,f1
108.55581,2,lp1,lb1,
109.08909,2,1-4,,
109.55570999999999,2,lp4,,
109.6557,2,w4,,b0
110.08899,1,sj3,,
110.08899,2,sj4,,
110.08899,3,sj2,,
110.48894999999999,1,sj3,,
110.48894999999999,2,sj4,,
110.48894999999999,3,sj2,,
110.88891,1,j3-1,,
110.88891,2,4-1,lb0,
110.88891,3,2-1,rb0,
111.3222,1,lp1,,
111.3222,2,lp1,,
111.3222,3,lp1,,
111.38886,MOT_control_all,z10,,
111.62217,1,1-4,,f1
112.15545,1,lp4,,f1
112.28877,3,1-4,,f1
112.28877,1,w4,,b0
112.82204999999999,3,lp4,,
113.18867999999999,2,1-4,,f1
113.18867999999999,3,w4,,b0
113.6553,2,lp4,,
113.88861,1,4-2,,f1
113.88861,2,w4,,b0
114.28856999999999,1,sp2-3,,
114.6552,1,sj3,,
114.85517999999999,MOT_control_all,z11,,
114.95517,1,j3-1,,
114.95517,2,4-1,,f1
114.95517,3,4-1,,f1
115.38846,1,sj1,,
115.38846,2,sj1,,
115.38846,3,sj1,,
115.82175,1,1-2,,
115.82175,2,1-2,,
115.82175,3,1-2,,
116.28837,1,j2-3,,
116.38835999999999,2,j2-3,,
116.48835,3,j2-3,,
116.92164,1,w3,,
116.92164,2,w3,,
116.92164,3,w3,,
117.18827999999999,1,j3-4,,
117.18827999999999,2,j3-4,,
117.18827999999999,3,j3-4,,
117.58824,1,lp4,,
117.58824,2,lp4,,
117.58824,3,lp4,,
117.68822999999999,1,j4-2,,
117.68822999999999,2,4-2,l1,
117.68822999999999,3,4-2,r1,
117.75488999999999,MOT_control_all,z12,,
118.02153,MOT_mc_stage_color_00,r-flash,,
118.08819,1,2-3,,
118.08819,2,2-3,l2,
118.08819,3,2-3,r2,
118.45482,1,hj3,,
118.45482,2,hj3,,
118.45482,3,hj3,,
119.35472999999999,1,lp3,,
119.35472999999999,2,lp3,,
119.35472999999999,3,lp3,,
119.72135999999999,MOT_mc_stage_color_00,r-flash,,
119.75469,2,3-1,,b0
119.75469,3,3-1,,b0
119.75469,1,3-1,,b0
120.28797,2,lp1,,
120.28797,3,lp1,,
120.28797,1,lp1,,
121.25453999999999,MOT_mc_stage_color_00,r-flash,,
121.35453,2,1-2,l3,
121.35453,3,1-2,r3,
121.35453,1,j1-2,,
121.85448,2,lp2,,
121.85448,3,lp2,,
121.85448,1,lp2,,
122.75439,2,2-4,lb2,
122.75439,3,2-4,rb2,
122.75439,1,j2-4,,
122.95437,MOT_mc_stage_color_00,r-flash,,
123.25434,2,sj4,,
123.25434,3,sj4,,
123.25434,1,sj4,,
123.58764,2,sj4,,
123.58764,3,sj4,,
123.58764,1,sj4,,
123.92093999999999,2,4-1,lb1,
123.92093999999999,3,4-1,rb1,
123.92093999999999,1,j4-1,,
124.42089,2,w1,,
124.42089,3,w1,,
124.42089,1,w1,,
124.65419999999999,2,sj1,,
124.65419999999999,3,sj1,,
124.65419999999999,1,sj1,,
125.02082999999999,2,sj1,,
125.02082999999999,3,sj1,,
125.02082999999999,1,sj1,,
125.32079999999999,2,w1,,
125.32079999999999,3,w1,,
125.32079999999999,1,w1,,
125.42079,2,sj1,,
125.42079,3,sj1,,
125.42079,1,sj1,,
125.75408999999999,2,sj1,,
125.75408999999999,3,sj1,,
125.75408999999999,1,sj1,,
126.08739,2,1-2,lb0,
126.08739,3,1-2,rb0,
126.08739,1,j1-2,,
126.52068,2,w2,,
126.52068,3,w2,,
126.52068,1,w2,,
126.85397999999999,2,sj2,,
126.85397999999999,3,sj2,,
126.85397999999999,1,sj2,,
127.22061,2,sj2,,
127.22061,3,sj2,,
127.22061,1,sj2,,
127.52058,2,2-3,r1,
127.52058,3,2-3,l1,
127.52058,1,j2-3,,
127.95387,2,w3,,
127.95387,3,w3,,
127.95387,1,w3,,
128.32049999999998,2,sj3,,
128.32049999999998,3,sj3,,
128.32049999999998,1,sj3,,
128.68713,2,sj3,,
128.68713,3,sj3,,
128.68713,1,sj3,,
128.95377,2,sp2-3,,
128.95377,3,sp2-3,,
128.95377,1,sp2-3,,
129.35372999999998,2,hj2,,
129.35372999999998,3,hj2,,
129.35372999999998,1,hj2,,
129.38706,MOT_mc_light_center_00,l3,,
129.987,MOT_all,cut05,,
130.55361,2,w2,,
130.55361,3,w2,,
130.55361,1,w2,,
