0.03333,MOT_control_all,hare1,,
0.03333,MOT_all,hare_cut1,,
44.49555,3,lp4,,,
44.49555,2,sort,-500,
44.49555,1,sort,-500,
44.862179999999995,1,1-2,,,
44.862179999999995,2,4-1,,,
44.862179999999995,3,4-1,,,
45.42879,1,j2-3,,,
45.42879,2,j1-2,,,
45.42879,3,j1-2,,,
45.79542,1,lp3,,,
45.79542,2,lp2,,,
45.79542,3,lp2,,,
46.095389999999995,1,3-4,,,
46.095389999999995,2,2-3,,,
46.095389999999995,3,2-3,,,
46.428689999999996,1,4-1,,,
46.428689999999996,2,3-4,,,
46.428689999999996,3,3-4,,,
46.79532,1,j1-2,,,
46.79532,2,j4-1,,,
46.79532,3,j4-1,,,
47.16195,1,sp2-3,,,
47.16195,2,sp1-2,,,
47.16195,3,sp1-2,,,
48.22851,1,j3-4,,,
48.22851,2,j2-3,,,
48.22851,3,j2-3,,,
48.59514,1,4-1,,,
48.59514,2,3-4,,,
48.59514,3,3-4,,,
48.928439999999995,1,j1-2,,,
48.928439999999995,2,j4-1,,,
48.928439999999995,3,j4-1,,,
49.56171,1,hj2,,,
49.56171,2,hj1,,,
49.56171,3,hj1,,,
50.128319999999995,1,2-3,,,
50.128319999999995,2,1-2,,,
50.128319999999995,3,1-2,,,
50.494949999999996,1,sj3,,,
50.494949999999996,2,sj2,,,
50.494949999999996,3,sj2,,,
50.86158,1,sj3,,,
50.86158,2,sj2,,,
50.86158,3,sj2,,,
51.19488,1,lp3,,,
51.19488,2,lp2,,,
51.19488,3,lp2,,,
51.761489999999995,1,3-4,,,
51.761489999999995,2,2-3,,,
51.761489999999995,3,2-3,,,
52.094789999999996,1,lp4,,,
52.094789999999996,2,lp3,,,
52.094789999999996,3,lp3,,,
52.494749999999996,1,j4-1,,,
52.494749999999996,2,j3-4,,,
52.494749999999996,3,j3-4,,,
53.12802,1,j1-2,,,
53.12802,2,j4-1,,,
53.12802,3,j4-1,,,
53.52798,1,lp2,,,
53.52798,2,lp1,,,
53.52798,3,lp1,,,
53.86128,2,sp1-2,,,
53.92794,1,sp2-3,,,
53.9946,3,sp1-2,,,
54.527879999999996,1,j3-4,,,
54.527879999999996,2,j2-3,,,
54.527879999999996,3,j2-3,,,
55.29447,1,4-1,l1,,
55.29447,2,3-4,l1,,
55.29447,3,3-4,l1,,
55.62777,1,lp1,,,
55.62777,2,lp4,,,
55.62777,3,lp4,,,
55.96107,1,1-2,lb0,,
55.96107,2,4-1,lb0,,
55.96107,3,4-1,lb0,,
56.261039999999994,2,1-2,,,
56.261039999999994,3,1-2,,,
56.3277,1,2-3,,,
56.72766,1,j3-4,,,
56.72766,2,j2-3,,,
56.72766,3,j2-3,,,
57.09429,1,sj4,,,
57.09429,2,sj3,,,
57.09429,3,sj3,,,
57.427589999999995,1,lp4,,,
57.427589999999995,2,lp3,,,
57.427589999999995,3,lp3,,,
57.827549999999995,1,j4-1,,,
57.92754,2,j3-4,,,
58.02753,3,j3-4,,,
58.594139999999996,1,j1-2,,,
58.694129999999994,2,j4-1,,,
58.79412,3,j4-1,,,
59.427389999999995,1,,r1,,
59.427389999999995,2,,r1,,
59.427389999999995,3,,r1,,
59.6607,1,w2,,,
59.76069,2,w1,,,
59.76069,1,2-3,rb0,,
59.76069,2,1-2,rb0,,
59.76069,3,1-2,rb0,,
60.12732,1,,l1,,
60.12732,2,,l1,,
60.12732,3,,l1,,
60.49395,1,3-4,lb0,,
60.49395,2,2-3,lb0,,
60.49395,3,2-3,lb0,,
60.82725,2,sj3,,,
60.82725,3,sj3,,,
60.89391,MOT_control_all,hare5,,
61.16055,1,sj4,,,
61.3272,2,w3,,,
61.3272,3,w3,,,
61.427189999999996,2,sj3,,,
61.427189999999996,3,sj3,,,
61.6605,1,w4,,,
61.79382,1,sj4,,,
61.927139999999994,2,w3,,,
61.927139999999994,3,w3,,,
62.16045,1,4-1,,,
62.16045,2,3-4,,,
62.16045,3,3-4,,,
62.49375,1,lp1,,,
62.49375,2,lp4,,,
62.49375,3,lp4,,,
62.82705,1,1-2,,,
62.82705,2,4-1,,,
62.82705,3,4-1,,,
63.160349999999994,1,lp2,,,
63.160349999999994,2,lp1,,,
63.160349999999994,3,lp1,,,
63.6603,1,j2-3,,,
63.6603,2,j1-2,,,
63.6603,3,j1-2,,,
63.9936,1,sj3,,,
63.9936,2,sj2,,,
63.9936,3,sj2,,,
64.3269,1,sj3,,,
64.3269,2,sj2,,,
64.3269,3,sj2,,,
64.82685,2,w2,,,
64.82685,1,w3,,,
64.82685,3,w2,,,
64.9935,1,3-4,,,
64.9935,2,2-3,,,
64.9935,3,2-3,,,
65.29347,1,lp4,,,
65.29347,2,lp3,,,
65.29347,3,lp3,,,
66.19337999999999,2,3-4,,,
66.19337999999999,3,3-4,,,
66.29337,1,4-1,,,
66.62666999999999,1,lp1,,,
66.62666999999999,2,lp4,,,
66.62666999999999,3,lp4,,,
67.02663,1,j1-2,,,
67.02663,2,j4-1,,,
67.02663,3,j4-1,,,
67.45992,1,j2-3,,,
67.79321999999999,1,j3-4,,,
67.79321999999999,2,j1-2,,,
67.79321999999999,3,j1-2,,,
68.12652,1,lp4,,,
68.12652,2,lp2,,,
68.12652,3,lp2,,,
68.45982,1,4-1,,,
68.45982,2,2-3,,,
68.45982,3,2-3,,,
68.79312,1,lp1,,,
68.79312,2,lp3,,,
68.79312,3,lp3,,,
69.29307,3,j3-4,,,
69.62637,1,j1-2,,,
69.993,2,j3-4,,,
70.35963,3,w4,,,
70.35963,1,j2-3,,,
70.69292999999999,1,j3-4,,,
70.69292999999999,2,j4-1,,,
70.69292999999999,3,j4-1,,,
71.05955999999999,1,lp4,,,
71.05955999999999,2,lp1,,,
71.05955999999999,3,lp1,,,
71.6595,1,4-1,,,
71.6595,2,1-2,,,
71.6595,3,1-2,,,
72.02613,1,1-2,,,
72.02613,2,2-3,,,
72.02613,3,2-3,,,
72.39276,1,lp2,,,
72.39276,2,lp3,,,
72.39276,3,lp3,,,
73.09268999999999,2,3-4,,,
73.09268999999999,3,3-4,,,
73.45931999999999,2,4-1,,,
73.45931999999999,3,4-1,,,
73.82594999999999,2,lp1,,,
73.82594999999999,3,lp1,,,
74.42589,1,2-3,,,
74.82585,1,3-4,,,
75.19248,1,lp4,,,
76.12572,1,4-1,,,
76.12572,2,1-2,,,
76.12572,3,1-2,,,
76.45902,1,j1-2,,,
76.45902,2,j2-3,,,
76.45902,3,j2-3,,,
76.92564,1,2-3,,,
76.92564,2,3-4,,,
76.92564,3,3-4,,,
77.45891999999999,1,j3-4,,,
77.45891999999999,2,j4-1,,,
77.45891999999999,3,j4-1,,,
77.9922,1,j4-1,,,
77.9922,2,j1-2,,,
77.9922,3,j1-2,,,
78.62546999999999,1,j1-2,,,
78.62546999999999,2,j2-3,,,
78.62546999999999,3,j2-3,,,
79.3254,1,2-3,,,
79.3254,2,3-4,,,
79.3254,3,3-4,,,
79.72536,1,3-4,,,
79.72536,2,4-1,,,
79.72536,3,4-1,,,
80.35862999999999,1,hj4,,,
80.35862999999999,2,hj1,,,
80.35862999999999,3,hj1,,,
80.55861,MOT_control_all,hare6,,
80.65859999999999,MOT_mc_bg_black_00,b0-45,,
80.69193,MOT_mc_stage_color_00,r-flash,,
81.12522,2,j1-2,,,
81.15854999999999,1,j4-1,,,
81.19188,3,j1-2,,,
81.62517,2,j2-3,,,
81.65849999999999,1,j1-2,,,
81.69183,3,j2-3,,,
81.92514,1,j2-3,,,
81.92514,2,j3-4,,,
81.92514,3,j3-4,,,
82.32509999999999,1,3-4,,,
82.32509999999999,2,4-1,,,
82.32509999999999,3,4-1,,,
82.92504,2,,l1,,
82.92504,3,,l1,,
82.95837,1,,r1,,
83.25833999999999,2,w1,,,
83.25833999999999,1,w4,,,
83.25833999999999,3,w1,,,
83.29167,2,,lb0,,
83.29167,3,,lb0,,
83.325,1,,rb0,,
83.59164,1,4-1,,,
83.59164,2,1-2,,,
83.59164,3,1-2,,,
84.09159,1,1-2,,,
84.09159,2,2-3,,,
84.09159,3,2-3,,,
84.55821,2,,r1,,
84.55821,3,,r1,,
84.59154,1,,l1,,
84.92484,2,,rb0,,
84.92484,3,,rb0,,
84.95817,1,,lb0,,
85.02483,2,w3,,,
85.02483,1,w2,,,
85.02483,3,w3,,,
85.25814,1,sj2,,,
85.25814,2,sj3,,,
85.25814,3,sj3,,,
85.62477,1,j2-3,,,
85.75809,2,w3,,,
85.75809,3,w3,,,
86.02472999999999,2,j3-4,,,
86.02472999999999,3,j3-4,,,
86.39135999999999,1,3-4,,,
86.39135999999999,2,4-1,,,
86.39135999999999,3,4-1,,,
86.72466,1,hj4,,,
86.72466,2,hj1,,,
86.72466,3,hj1,,,
87.35793,1,4-1,,,
87.35793,2,1-2,,,
87.35793,3,1-2,,,
87.69122999999999,1,1-2,,,
87.69122999999999,2,2-3,,,
87.69122999999999,3,2-3,,,
88.02453,1,hj2,,,
88.02453,2,hj3,,,
88.02453,3,hj3,,,
88.62447,1,,,b0,
88.62447,2,,,b-1,
88.62447,3,,,b-1,
89.05776,1,,,f1,
89.05776,2,,,f0,
89.05776,3,,,f0,
89.25774,2,w3,,,
89.25774,1,w2,,,
89.25774,3,w3,,,
89.42439,1,2-3,,,
89.42439,2,3-4,,,
89.42439,3,3-4,,,
89.79101999999999,1,3-4,,,
89.79101999999999,2,4-1,,,
89.79101999999999,3,4-1,,,
90.15764999999999,1,j4-1,,,
90.19098,2,j1-2,,,
90.19098,3,j1-2,,,
90.52427999999999,1,lp1,,,
90.52427999999999,2,lp2,,,
90.52427999999999,3,lp2,,,
91.42419,1,hj1,,,
91.42419,2,hj2,,,
91.42419,3,hj2,,,
91.79082,MOT_mc_bg_black_00,b45-0,,
91.82414999999999,MOT_mc_stage_color_00,b-flash,,
91.9908,1,1-2,,,
91.9908,2,2-3,,,
91.9908,3,2-3,,,
92.35743,1,sj2,,,
92.35743,2,sj3,,,
92.35743,3,sj3,,,
92.72406,1,sj2,,,
92.72406,2,sj3,,,
92.72406,3,sj3,,,
93.05736,1,lp2,,,
93.05736,2,lp3,,,
93.05736,3,lp3,,,
93.62397,1,2-3,,,
93.62397,2,3-4,,,
93.62397,3,3-4,,,
93.95727,1,lp3,,,
93.95727,2,lp4,,,
93.95727,3,lp4,,,
94.35723,1,j3-4,,,
94.35723,2,j4-1,,,
94.35723,3,j4-1,,,
94.9905,1,j4-1,,,
94.9905,2,j1-2,,,
94.9905,3,j1-2,,,
95.39045999999999,1,lp1,,,
95.39045999999999,2,lp2,,,
95.39045999999999,3,lp2,,,
95.72376,2,sp2-3,,,
95.79042,1,sp1-2,,,
95.85708,3,sp2-3,,,
96.39036,1,j2-3,,,
96.39036,2,j3-4,,,
96.39036,3,j3-4,,,
97.15695,1,3-4,l1,,
97.15695,2,4-1,l1,,
97.15695,3,4-1,l1,,
97.49024999999999,1,lp4,,,
97.49024999999999,2,lp1,,,
97.49024999999999,3,lp1,,,
97.82355,1,4-1,lb0,,
97.82355,2,1-2,lb0,,
97.82355,3,1-2,lb0,,
98.12352,2,2-3,,,
98.12352,3,2-3,,,
98.19018,1,1-2,,,
98.59013999999999,1,j2-3,,,
98.59013999999999,2,j3-4,,,
98.59013999999999,3,j3-4,,,
98.95676999999999,1,sj3,,,
98.95676999999999,2,sj4,,,
98.95676999999999,3,sj4,,,
99.29007,1,lp3,,,
99.29007,2,lp4,,,
99.29007,3,lp4,,,
99.69003,1,j3-4,,,
99.72336,MOT_control_all,hare7,,
99.79002,2,j4-1,,,
99.89000999999999,3,j4-1,,,
100.45662,1,j4-1,,,
100.55660999999999,2,j1-2,,,
100.6566,3,j1-2,,,
101.28987,1,,r1,,
101.28987,2,,r1,,
101.28987,3,,r1,,
101.52318,1,w1,,,
101.62317,2,w2,,,
101.62317,1,1-2,rb0,,
101.62317,2,2-3,rb0,,
101.62317,3,2-3,rb0,,
101.9898,1,,l1,,
101.9898,2,,l1,,
101.9898,3,,l1,,
102.35642999999999,1,2-3,lb0,,
102.35642999999999,2,3-4,lb0,,
102.35642999999999,3,3-4,lb0,,
102.58973999999999,1,j3-4,,,
102.58973999999999,2,j4-1,,,
102.58973999999999,3,j4-1,,,
103.12302,1,4-1,,,
103.12302,2,1-2,,,
103.12302,3,1-2,,,
103.52297999999999,1,1-2,,,
103.52297999999999,2,2-3,,,
103.52297999999999,3,2-3,,,
103.95626999999999,1,2-3,,,
103.95626999999999,2,3-4,,,
103.95626999999999,3,3-4,,,
104.38955999999999,1,sj3,,,
104.38955999999999,2,sj4,,,
104.38955999999999,3,sj4,,,
104.82284999999999,1,sj3,,,
104.82284999999999,2,sj4,,,
104.82284999999999,3,sj4,,,
105.3228,2,w4,,,
105.3228,1,w3,,,
105.3228,3,w4,,,
105.42278999999999,2,j4-1,,,
105.45612,1,j3-4,,,
105.48944999999999,3,j4-1,,,
105.92273999999999,2,j1-2,,,
105.95607,1,j4-1,,,
105.98939999999999,3,j1-2,,,
106.35602999999999,1,1-2,,,
106.35602999999999,2,2-3,,,
106.35602999999999,3,2-3,,,
106.78931999999999,1,2-3,,,
106.78931999999999,2,3-4,,,
106.78931999999999,3,3-4,,,
107.12262,1,j3-4,,,
107.12262,2,j4-1,,,
107.12262,3,j4-1,,,
107.52257999999999,1,4-1,,,
107.52257999999999,2,1-2,,,
107.52257999999999,3,1-2,,,
108.12252,2,,l1,,
108.12252,3,,l1,,
108.15585,1,,r1,,
108.45581999999999,2,w2,,,
108.45581999999999,1,w1,,,
108.45581999999999,3,w2,,,
108.48915,2,,lb0,,
108.48915,3,,lb0,,
108.52248,1,,rb0,,
108.78912,1,1-2,,,
108.78912,2,2-3,,,
108.78912,3,2-3,,,
109.28907,1,2-3,,,
109.28907,2,3-4,,,
109.28907,3,3-4,,,
109.82235,2,,r1,,
109.82235,3,,r1,,
109.85567999999999,1,,l1,,
110.18898,2,,rb0,,
110.18898,3,,rb0,,
110.22231,2,w4,,,
110.22231,1,w3,,,
110.22231,3,w4,,,
110.22231,1,,lb0,,
110.52228,1,sj3,,,
110.52228,2,sj4,,,
110.52228,3,sj4,,,
111.02223,2,w4,,,
111.02223,1,w3,,,
111.02223,3,w4,,,
111.05556,3,j4-1,,,
111.38886,1,j3-4,,,
111.75549,2,j4-1,,,
112.12212,3,w1,,,
112.12212,1,j4-1,,,
112.45541999999999,1,j1-2,,,
112.45541999999999,2,j1-2,,,
112.45541999999999,3,j1-2,,,
112.82204999999999,1,lp2,,,
112.82204999999999,2,lp2,,,
112.82204999999999,3,lp2,,,
113.45532,1,2-3,,,
113.45532,2,2-3,,,
113.45532,3,2-3,,,
113.82195,1,3-4,,,
113.82195,2,3-4,,,
113.82195,3,3-4,,,
114.18858,1,lp4,,,
114.18858,2,lp4,,,
114.18858,3,lp4,,,
114.88851,2,4-1,,,
114.88851,3,4-1,,,
115.25514,2,1-2,,,
115.25514,3,1-2,,,
115.62177,2,lp2,,,
115.62177,3,lp2,,,
116.22171,1,4-1,,,
116.62167,1,1-2,,,
116.9883,1,lp2,,,
117.68822999999999,1,2-3,,,
117.68822999999999,2,2-3,,,
117.68822999999999,3,2-3,,,
118.02153,1,j3-4,,,
118.02153,2,j3-4,,,
118.02153,3,j3-4,,,
118.75479,1,4-1,,,
118.75479,2,4-1,,,
118.75479,3,4-1,,,
119.28806999999999,1,j1-2,,,
119.28806999999999,2,j1-2,,,
119.28806999999999,3,j1-2,,,
119.82135,1,j2-3,,,
119.82135,2,j2-3,,,
119.82135,3,j2-3,,,
120.52127999999999,1,j3-4,,,
120.52127999999999,2,j3-4,,,
120.52127999999999,3,j3-4,,,
120.9879,1,4-1,,,
120.9879,2,4-1,,,
120.9879,3,4-1,,,
121.38785999999999,1,1-2,,,
121.38785999999999,2,1-2,,,
121.38785999999999,3,1-2,,,
121.95447,1,2-3,r1,,
121.95447,2,2-3,r1,,
121.95447,3,2-3,r1,,
122.25443999999999,1,lp3,,,
122.25443999999999,2,lp3,,,
122.25443999999999,3,lp3,,,
122.55440999999999,1,3-4,rb0,,
122.55440999999999,2,3-4,rb0,,
122.55440999999999,3,3-4,rb0,,
122.85437999999999,1,lp4,,,
122.85437999999999,2,lp4,,,
122.85437999999999,3,lp4,,,
123.22100999999999,1,j4-1,,,
123.22100999999999,2,j4-1,,,
123.22100999999999,3,j4-1,,,
123.55431,1,1-2,,,
123.55431,2,1-2,,,
123.55431,3,1-2,,,
123.85427999999999,1,j2-3,,,
123.85427999999999,2,j2-3,,,
123.85427999999999,3,j2-3,,,
124.18758,1,sp3-4,,,
124.18758,2,sp3-4,,,
124.18758,3,sp3-4,,,
124.65419999999999,1,4-1,,,
124.65419999999999,2,4-1,,,
124.65419999999999,3,4-1,,,
125.02082999999999,1,hj1,,,
125.15415,MOT_control_all,hare8,,
125.32079999999999,2,1-2,,,
125.32079999999999,3,1-2,,,
125.48745,MOT_mc_bg_black_00,b0-20,,
125.52077999999999,MOT_mc_stage_color_00,b-flash,,
126.25403999999999,2,w2,,,
126.25403999999999,1,w1,,,
126.25403999999999,3,w2,,,
