0.03333,MOT_mc_bg_black_00,seat100-0,,
2.03313,MOT_all,cut1,,
2.46642,MOT_control_all,1a_01,,
59.26074,4,lp2,,,
59.52738,4,2-3,rb0,,
59.894009999999994,1,2-3,,,
59.894009999999994,2,3-4,,,
59.894009999999994,3,4-1,,,
59.894009999999994,4,3-4,,,
59.894009999999994,5,2-3,,,
59.894009999999994,4,,,b0,
59.927339999999994,MOT_control_all,1c_00,,
60.227309999999996,1,3-4,,,
60.227309999999996,2,4-1,l1,,
60.227309999999996,3,1-2,r1,,
60.227309999999996,4,4-1,l1,,
60.227309999999996,5,3-4,r1,,
60.56061,1,lp4,,,
60.56061,2,lp1,,,
60.56061,3,lp2,,,
60.56061,4,lp1,,,
60.56061,5,lp4,,,
60.79392,1,j4-1,,,
60.79392,2,j1-2,,,
60.79392,3,j2-3,,,
60.79392,4,j1-2,,,
60.79392,5,j4-1,,,
61.127219999999994,1,1-2,,,
61.127219999999994,2,2-3,l2,,
61.127219999999994,3,3-4,r2,,
61.127219999999994,4,2-3,l2,,
61.127219999999994,5,1-2,r2,,
61.460519999999995,1,lp2,,,
61.460519999999995,2,lp3,,,
61.460519999999995,3,lp4,,,
61.460519999999995,4,lp3,,,
61.460519999999995,5,lp2,,,
61.79382,1,2-3,,,
61.860479999999995,2,3-4,,,
61.860479999999995,3,4-1,,,
61.927139999999994,4,3-4,,,
61.927139999999994,5,2-3,,,
62.260439999999996,1,lp3,,,
62.260439999999996,2,lp4,,,
62.260439999999996,3,lp1,,,
62.260439999999996,4,lp4,,,
62.260439999999996,5,lp3,,,
62.59374,1,j3-4,,,
62.693729999999995,2,4-1,l3,,
62.693729999999995,3,1-2,r3,,
62.79372,4,4-1,l3,,
62.79372,5,3-4,r3,,
63.19368,1,4-1,,b-1,
63.19368,2,1-2,,b-1,
63.19368,3,2-3,,b-1,
63.19368,4,1-2,,b-1,
63.19368,5,4-1,,b-1,
63.526979999999995,1,lp1,,,
63.526979999999995,2,lp2,,,
63.526979999999995,3,lp3,,,
63.526979999999995,4,lp2,,,
63.526979999999995,5,lp1,,,
64.06026,1,1-2,,,
64.06026,2,2-3,,,
64.06026,3,3-4,,,
64.06026,4,2-3,,,
64.06026,5,1-2,,,
64.36023,1,j2-3,,,
64.36023,2,j3-4,,,
64.36023,3,j4-1,,,
64.36023,4,j3-4,,,
64.36023,5,j2-3,,,
64.79352,1,3-4,,f0,
64.79352,2,4-1,,f0,
64.79352,3,1-2,,f0,
64.79352,4,4-1,,f0,
64.79352,5,3-4,,f0,
65.26013999999999,1,4-1,,f1,
65.26013999999999,2,1-2,,f1,
65.26013999999999,3,2-3,,f1,
65.26013999999999,4,1-2,,f1,
65.26013999999999,5,4-1,,f1,
65.72676,1,1-2,,b0,
65.72676,2,2-3,,b0,
65.72676,3,3-4,,b0,
65.72676,4,2-3,,b0,
65.72676,5,1-2,,b0,
66.06006,1,lp2,,,
66.06006,2,lp3,,,
66.06006,3,lp4,,,
66.06006,4,lp3,,,
66.06006,5,lp2,,,
66.3267,1,2-3,,f1,
66.3267,4,3-4,,f1,
66.3267,5,2-3,,f1,
66.72666,1,3-4,,,
66.72666,2,3-4,lb2,,
66.72666,3,4-1,rb2,,
66.72666,4,4-1,lb2,,
66.72666,5,3-4,rb2,,
67.09329,1,lp4,,,
67.09329,2,lp4,,,
67.09329,3,lp1,,,
67.09329,4,lp1,,,
67.09329,5,lp4,,,
67.35992999999999,3,1-2,,f1,
67.35992999999999,2,4-1,,f1,
67.69323,3,lp2,,,
67.69323,2,lp1,,,
68.05986,1,4-1,,,
68.05986,2,1-2,lb1,,
68.05986,3,2-3,rb1,,
68.05986,4,1-2,lb1,,
68.05986,5,4-1,rb1,,
68.39316,1,lp1,,,
68.39316,2,lp2,,,
68.39316,3,lp3,,,
68.39316,4,lp2,,,
68.39316,5,lp1,,,
68.62647,1,1-2,,b0,
68.62647,4,2-3,,b0,
68.62647,5,1-2,,b0,
69.02642999999999,2,2-3,,b0,
69.02642999999999,3,3-4,,b0,
69.39305999999999,1,2-3,,,
69.45971999999999,2,3-4,,,
69.45971999999999,3,4-1,,,
69.52638,4,3-4,,,
69.52638,5,2-3,,,
69.82634999999999,1,j3-4,,,
69.85968,2,j4-1,,,
69.85968,3,j1-2,,,
69.89301,4,j4-1,,,
69.89301,5,j3-4,,,
70.3263,2,,l2,,
70.3263,3,,r2,,
70.3263,4,,l2,,
70.3263,5,,r2,,
70.6596,2,,l3,,
70.6596,3,,r3,,
70.6596,4,,l3,,
70.6596,5,,r3,,
70.89291,1,w4,,,
70.92623999999999,3,w2,,,
70.92623999999999,2,w1,,,
70.95957,5,w4,,,
70.95957,4,w1,,,
70.99289999999999,2,1-2,,f1,
70.99289999999999,3,2-3,,f1,
71.19288,1,4-1,,f1,
71.19288,4,1-2,,f1,
71.19288,5,4-1,,f1,
71.62617,1,j1-2,,,
71.62617,2,2-3,lb2,,
71.62617,3,3-4,rb2,,
71.62617,4,2-3,lb2,,
71.62617,5,1-2,rb2,,
72.09279,1,2-3,,b0,
72.09279,4,3-4,,b0,
72.09279,5,2-3,,b0,
72.42609,2,3-4,,b0,
72.42609,3,4-1,,b0,
72.95936999999999,1,j3-4,,,
72.95936999999999,2,4-1,lb1,,
72.95936999999999,3,1-2,rb1,,
72.95936999999999,4,4-1,lb1,,
72.95936999999999,5,3-4,rb1,,
73.35933,1,lp4,,,
73.35933,2,lp1,,,
73.35933,3,lp2,,,
73.35933,4,lp1,,,
73.35933,5,lp4,,,
73.69263,2,1-2,lb0,,
73.69263,3,2-3,rb0,,
74.05926,4,1-2,lb0,,
74.05926,5,4-1,rb0,,
74.42589,1,j4-1,,,
74.42589,2,j2-3,,,
74.42589,3,j3-4,,,
74.42589,4,j2-3,,,
74.42589,5,j1-2,,,
74.85918,1,lp1,,,
74.85918,2,lp3,,,
74.85918,3,lp4,,,
74.85918,4,lp3,,,
74.85918,5,lp2,,,
75.15915,1,j1-2,,,
75.22581,2,j3-4,,,
75.22581,3,j4-1,,,
75.29247,4,j3-4,,,
75.29247,5,j2-3,,,
75.6591,1,lp2,,,
75.6591,2,lp4,,,
75.6591,3,lp1,,,
75.6591,4,lp4,,,
75.6591,5,lp3,,,
76.12572,1,2-3,,,
76.29236999999999,2,4-1,,,
76.29236999999999,3,1-2,,,
76.42569,4,4-1,,,
76.42569,5,3-4,,,
76.82565,1,j3-4,,,
76.82565,2,j1-2,,,
76.82565,3,j2-3,,,
76.82565,4,j1-2,,,
76.82565,5,j4-1,,,
77.19228,1,lp4,,,
77.19228,2,lp2,,,
77.19228,3,lp3,,,
77.19228,4,lp2,,,
77.19228,5,lp1,,,
77.69223,1,4-1,,,
77.69223,2,2-3,,,
77.69223,3,3-4,,,
77.69223,4,2-3,,,
77.69223,5,1-2,,,
78.05886,1,lp1,,,
78.05886,2,lp3,,,
78.05886,3,lp4,,,
78.05886,4,lp3,,,
78.05886,5,lp2,,,
78.35883,1,j1-2,,,
78.35883,2,j3-4,,,
78.35883,3,j4-1,,,
78.35883,4,j3-4,,,
78.35883,5,j2-3,,,
79.19207999999999,MOT_control_all,1c_01,,
79.19207999999999,2,4-1,,f1,
79.42539,5,w3,,,
79.42539,4,w4,,,
79.42539,3,w1,,,
79.42539,1,w2,,,
79.59204,2,1-2,,,
79.95867,2,2-3,l1,,
80.3253,2,lp3,,,
80.72525999999999,2,3-4,lb0,,
81.12522,2,,r1,,
81.65849999999999,2,w4,,,
81.65849999999999,2,,rb0,,
82.25844,MOT_control_all,1c_02,,
82.25844,2,4-1,,b0,
82.25844,3,1-2,,f1,
82.79172,3,2-3,,,
83.19167999999999,2,w1,,,
83.22501,3,3-4,l1,,
83.59164,3,lp4,,,
83.99159999999999,3,4-1,lb0,,
84.42488999999999,3,,r1,,
84.92484,3,w1,,,
84.95817,3,j1-2,,,
85.29146999999999,3,2-3,,,
85.62477,3,3-4,rb0,,
86.12472,MOT_control_all,1c_03,,
86.12472,3,sp4-1,,b0,
86.12472,1,sp2-3,,,
86.12472,2,sp1-2,,,
86.12472,4,sp4-1,,,
86.12472,5,sp3-4,,,
86.79132,1,j3-4,,,
87.19127999999999,2,2-3,r1,,
87.19127999999999,3,1-2,l1,,
87.55790999999999,4,1-2,r1,,
87.55790999999999,5,4-1,l1,,
87.85788,1,w4,,,
87.95787,1,j4-1,,,
87.95787,2,j3-4,,,
87.95787,3,j2-3,,,
87.95787,4,j2-3,,,
87.95787,5,j1-2,,,
88.85777999999999,1,1-2,,b-1,
88.85777999999999,2,4-1,,b-1,
88.85777999999999,3,3-4,,b-1,
88.85777999999999,4,3-4,,b-1,
88.85777999999999,5,2-3,,b-1,
89.19108,MOT_all,cut6,,
89.79101999999999,5,w3,,,
89.79101999999999,4,w4,,,
89.79101999999999,3,w4,,,
89.79101999999999,2,w1,,,
89.79101999999999,1,w2,,,
90.42429,3,4-1,lb0,,
90.42429,1,2-3,,,
90.42429,2,1-2,rb0,,
90.42429,4,4-1,rb0,,
90.42429,5,3-4,lb0,,
91.22421,1,j3-4,,,
91.22421,2,j2-3,,,
91.22421,3,j1-2,,,
91.22421,4,j1-2,,,
91.22421,5,j4-1,,,
92.09079,3,2-3,l1,,
92.09079,1,4-1,,,
92.09079,2,3-4,r1,,
92.09079,4,2-3,r1,,
92.09079,5,1-2,l1,,
93.02403,5,w2,,,
93.02403,4,w3,,,
93.02403,3,w3,,,
93.02403,2,w4,,,
93.02403,1,w1,,,
93.55731,1,1-2,,,
93.55731,2,4-1,,,
93.55731,3,3-4,,,
93.55731,4,3-4,,,
93.55731,5,2-3,,,
94.19058,1,j2-3,,,
94.19058,2,j1-2,,,
94.19058,3,j4-1,,,
94.19058,4,j4-1,,,
94.19058,5,j3-4,,,
94.65719999999999,1,3-4,,f0,
94.65719999999999,3,1-2,,,
94.65719999999999,2,2-3,,,
94.65719999999999,4,1-2,,,
94.65719999999999,5,4-1,,,
95.02382999999999,1,lp4,,,
95.59044,5,w1,,,
95.59044,4,w2,,,
95.59044,3,w2,,,
95.59044,2,w3,,,
96.35703,1,4-1,,,
96.35703,3,2-3,,f0,
96.35703,2,3-4,,f0,
96.35703,4,2-3,,,
96.35703,5,1-2,,,
96.75699,1,lp1,,,
96.75699,2,lp4,,,
96.75699,3,lp3,,,
97.29026999999999,5,w2,,,
97.29026999999999,4,w3,,,
97.59024,1,1-2,,,
97.59024,2,4-1,,,
97.59024,3,3-4,,,
97.59024,4,3-4,,,
97.59024,5,2-3,,,
97.95687,1,lp2,,,
97.95687,2,lp1,,,
97.95687,3,lp4,,,
97.95687,4,lp4,,,
97.95687,5,lp3,,,
98.22350999999999,1,2-3,,,
98.22350999999999,3,4-1,,,
98.22350999999999,2,1-2,,,
98.22350999999999,4,4-1,,f0,
98.22350999999999,5,3-4,,f0,
98.65679999999999,1,lp3,,,
98.65679999999999,2,lp2,,,
98.65679999999999,3,lp1,,,
98.65679999999999,4,lp1,,,
98.65679999999999,5,lp4,,,
99.99,1,3-4,,b-1,
99.99,2,2-3,,b-1,
99.99,3,1-2,,b-1,
99.99,4,1-2,,b-1,
99.99,5,4-1,,b-1,
100.25663999999999,MOT_control_all,3C_00,,
100.35663,1,4-1,,f0,
100.35663,2,3-4,,,
100.35663,3,2-3,,,
100.35663,4,2-3,,,
100.35663,5,1-2,,,
100.72326,1,1-2,,,
100.72326,2,4-1,,f0,
100.72326,3,3-4,,f0,
100.72326,4,3-4,,,
100.72326,5,2-3,,,
101.12321999999999,1,2-3,,,
101.12321999999999,2,1-2,,,
101.12321999999999,3,4-1,,,
101.12321999999999,4,4-1,,f0,
101.12321999999999,5,3-4,,f0,
101.52318,1,3-4,,,
101.52318,2,2-3,rb0,,
101.52318,3,1-2,lb0,,
101.52318,4,1-2,rb0,,
101.52318,5,4-1,lb0,,
101.85647999999999,1,lp4,,,
101.85647999999999,2,lp3,,,
101.85647999999999,3,lp2,,,
101.85647999999999,4,lp2,,,
101.85647999999999,5,lp1,,,
102.18978,1,j4-1,,,
102.18978,2,j3-4,,,
102.18978,3,j2-3,,,
102.18978,4,j2-3,,,
102.18978,5,j1-2,,,
102.62307,1,1-2,,,
102.62307,2,4-1,l1,,
102.62307,3,3-4,r1,,
102.62307,4,3-4,l1,,
102.62307,5,2-3,r1,,
102.95636999999999,1,lp2,,,
102.95636999999999,2,lp1,,,
102.95636999999999,3,lp4,,,
102.95636999999999,4,lp4,,,
102.95636999999999,5,lp3,,,
103.38965999999999,1,2-3,,,
103.48965,2,1-2,,,
103.48965,3,4-1,,,
103.58963999999999,4,4-1,,,
103.58963999999999,5,3-4,,,
103.95626999999999,1,j3-4,,,
103.95626999999999,2,j2-3,,,
103.95626999999999,3,j1-2,,,
103.95626999999999,4,j1-2,,,
103.95626999999999,5,j4-1,,,
104.48955,1,j4-1,,,
104.58954,2,3-4,l2,,
104.58954,3,2-3,r2,,
104.68952999999999,4,2-3,l2,,
104.68952999999999,5,1-2,r2,,
105.02283,1,lp1,,,
105.02283,2,lp4,,,
105.02283,3,lp3,,,
105.02283,4,lp3,,,
105.02283,5,lp2,,,
105.42278999999999,1,1-2,,b-1,
105.42278999999999,2,4-1,,b-1,
105.42278999999999,3,3-4,,b-1,
105.42278999999999,4,3-4,,b-1,
105.42278999999999,5,2-3,,b-1,
105.75609,1,lp2,,,
105.75609,2,lp1,,,
105.75609,3,lp4,,,
105.75609,4,lp4,,,
105.75609,5,lp3,,,
106.05606,1,j2-3,,,
106.05606,2,j1-2,,,
106.05606,3,j4-1,,,
106.05606,4,j4-1,,,
106.05606,5,j3-4,,,
106.48935,1,3-4,,f0,
106.48935,2,2-3,,f0,
106.48935,3,1-2,,f0,
106.48935,4,1-2,,f0,
106.48935,5,4-1,,f0,
106.88931,1,4-1,,,
106.88931,2,3-4,,,
106.88931,3,2-3,,,
106.88931,4,2-3,,,
106.88931,5,1-2,,,
107.25594,1,lp1,,,
107.25594,2,lp4,,,
107.25594,3,lp3,,,
107.25594,4,lp3,,,
107.25594,5,lp2,,,
107.72256,1,1-2,,f1,
107.72256,4,3-4,,f1,
107.72256,5,2-3,,f1,
108.12252,1,2-3,,,
108.12252,2,4-1,lb1,,
108.12252,3,3-4,rb1,,
108.12252,4,4-1,lb1,,
108.12252,5,3-4,rb1,,
108.48915,1,lp3,,,
108.48915,2,lp1,,,
108.48915,3,lp4,,,
108.48915,4,lp1,,,
108.48915,5,lp4,,,
108.62246999999999,3,4-1,,f1,
108.62246999999999,2,1-2,,f1,
108.95577,3,lp1,,,
108.95577,2,lp2,,,
109.38906,1,3-4,,,
109.38906,2,2-3,lb0,,
109.38906,3,1-2,rb0,,
109.38906,4,1-2,lb0,,
109.38906,5,4-1,rb0,,
109.88901,1,4-1,,,
109.88901,2,3-4,,,
109.88901,3,2-3,,,
109.88901,4,2-3,,,
109.88901,5,1-2,,,
110.38896,1,1-2,,b0,
110.38896,4,3-4,,b0,
110.38896,5,2-3,,b0,
110.72225999999999,2,4-1,,b0,
110.72225999999999,3,3-4,,b0,
111.08888999999999,1,2-3,,,
111.15554999999999,2,1-2,,,
111.15554999999999,3,4-1,,,
111.22220999999999,4,4-1,,,
111.22220999999999,5,3-4,,,
111.62217,1,j3-4,,,
111.65549999999999,2,j2-3,,,
111.65549999999999,3,j1-2,,,
111.68883,4,j1-2,,,
111.68883,5,j4-1,,,
112.08878999999999,2,,l1,,
112.08878999999999,3,,r1,,
112.08878999999999,4,,l1,,
112.08878999999999,5,,r1,,
112.42209,2,,l2,,
112.42209,3,,r2,,
112.42209,4,,l2,,
112.42209,5,,r2,,
112.68872999999999,1,w4,,,
112.72206,3,w2,,,
112.72206,2,w3,,,
112.72206,1,lp4,,,
112.72206,2,lp3,,,
112.72206,3,lp2,,,
112.72206,4,lp2,,,
112.72206,5,lp1,,,
112.9887,2,3-4,,f1,
112.9887,3,2-3,,f1,
113.28867,1,4-1,,f1,
113.28867,4,2-3,,f1,
113.28867,5,1-2,,f1,
113.58864,1,lp1,,,
113.58864,2,lp4,,,
113.58864,3,lp3,,,
113.58864,4,lp3,,,
113.58864,5,lp2,,,
113.85528,1,1-2,,b0,
113.85528,4,3-4,,b0,
113.85528,5,2-3,,b0,
114.12191999999999,2,4-1,,b0,
114.12191999999999,3,3-4,,b0,
114.55520999999999,1,j2-3,,,
114.55520999999999,2,1-2,lb1,,
114.55520999999999,3,4-1,rb1,,
114.55520999999999,4,4-1,lb1,,
114.55520999999999,5,3-4,rb1,,
114.95517,1,lp3,,,
114.95517,2,lp2,,,
114.95517,3,lp1,,,
114.95517,4,lp1,,,
114.95517,5,lp4,,,
115.72175999999999,1,j3-4,,,
115.72175999999999,2,j2-3,,,
115.72175999999999,3,j1-2,,,
115.72175999999999,4,j1-2,,,
115.72175999999999,5,j4-1,,,
116.15504999999999,1,lp4,,,
116.15504999999999,2,lp3,,,
116.15504999999999,3,lp2,,,
116.15504999999999,4,lp2,,,
116.15504999999999,5,lp1,,,
116.45501999999999,1,j4-1,,,
116.52167999999999,2,j3-4,,,
116.52167999999999,3,j2-3,,,
116.58833999999999,4,j2-3,,,
116.58833999999999,5,j1-2,,,
116.9883,1,lp1,,,
116.9883,2,lp4,,,
116.9883,3,lp3,,,
116.9883,4,lp3,,,
116.9883,5,lp2,,,
117.15495,1,1-2,,,
117.15495,3,3-4,rb0,,
117.15495,2,4-1,lb0,,
117.15495,5,2-3,rb0,,
117.15495,4,3-4,lb0,,
117.62156999999999,2,1-2,r1,,
117.62156999999999,3,4-1,l1,,
117.82154999999999,4,4-1,r1,,
117.82154999999999,5,3-4,l1,,
118.08819,1,w2,,,
118.15485,3,,l2,,
118.15485,2,,r2,,
118.15485,5,,l2,,
118.15485,4,,r2,,
118.52148,1,lp2,,,
118.52148,2,lp2,,,
118.52148,3,lp1,,,
118.52148,4,lp1,,,
118.52148,5,lp4,,,
118.95477,1,2-3,,b-1,
118.95477,2,2-3,,b-1,
118.95477,3,1-2,,b-1,
118.95477,4,1-2,,b-1,
118.95477,5,4-1,,b-1,
119.38806,1,lp3,,,
119.38806,2,lp3,,,
119.38806,3,lp2,,,
119.38806,4,lp2,,,
119.38806,5,lp1,,,
119.68803,1,j3-4,,,
119.68803,2,j3-4,,,
119.68803,3,j2-3,,,
119.68803,4,j2-3,,,
119.68803,5,j1-2,,,
120.05466,MOT_control_all,3C_01,,
120.42129,4,3-4,,f0,
120.75459,5,w2,,,
120.75459,3,w3,,,
120.75459,2,w4,,,
120.75459,1,w4,,,
120.82124999999999,4,4-1,,,
121.18787999999999,4,1-2,rb1,,
121.55451,4,lp2,,,
121.95447,4,2-3,r2,,
122.35443,4,,r3,,
122.88771,4,w3,,,
122.88771,4,,rb2,,
123.48764999999999,MOT_control_all,3C_02,,
123.48764999999999,4,3-4,,b-1,
123.48764999999999,5,2-3,,f0,
124.02092999999999,5,3-4,,,
124.42089,4,w4,,,
124.45421999999999,5,4-1,l3,,
124.82085,5,lp1,,,
125.22081,5,1-2,lb2,,
125.6541,5,,lb1,,
126.15405,5,w2,,,
126.18737999999999,5,j2-3,,,
126.52068,5,3-4,,,
126.85397999999999,5,4-1,l2,,
127.35392999999999,3,3-4,,,
127.35392999999999,1,4-1,,f0,
127.35392999999999,2,4-1,,,
127.35392999999999,4,4-1,,,
127.35392999999999,5,1-2,,b-1,
127.38726,MOT_control_all,3C_03,,
127.68723,1,lp1,,,
