time,move_type,BPM,color_pattern,color1,color2,color3,color4,color5,width1,width2,width3,width4,width5,3D_move_type,3D_BPM,start_image,
44.210526,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
44.887218,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
45.112782,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
45.789474,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
46.015038,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
46.691729,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
46.917293,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Oioi,133,0,
97.894737,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Oioi,133,8,
98.796992,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Oioi,133,8,
113.684211,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Oioi,66.5,0,
114.586466,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Oioi,0,7,
115.037594,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Oioi,133,8,
115.488722,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Oioi,66.5,0,
116.390977,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Oioi,0,7, 
116.842105,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Oioi,133,8,
117.293233,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
117.969925,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
118.195489,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
118.87218,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
119.097744,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
119.774436,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
120,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
120.676692,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
120.902256,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
121.578947,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
121.804511,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
122.481203,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
122.706767,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
123.383459,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
123.609023,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,99.75,0,
124.285714,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,199.5,9,
125.639098,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,44.33333333,0,
126.992481,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Uhoi,0,7,
133.533835,Uhoi,5,Random4,Blue03,Pink09,Blue03,Orange02,,,,,,,Bye,266,7,
