0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_light_up_00,off,,
0.03333,MOT_mc_light_center_00,off,,
15.09849,MOT_mc_stage_color_00,b-flash,,
15.93174,3,j4-1,,,
15.965069999999999,2,w4,,,
15.965069999999999,1,w1,,,
16.09839,MOT_mc_stage_color_00,b-flash,,
16.36503,1,j1-2,,,
16.36503,3,1-2,,,
16.83165,1,2-3,,,
16.83165,2,j4-1,,,
16.83165,3,2-3,,,
16.89831,MOT_mc_stage_color_00,b-flash,,
17.26494,1,3-4,,,
17.26494,2,1-2,,,
17.26494,3,3-4,,,
17.69823,1,j4-1,,,
17.69823,2,j2-3,,,
17.69823,3,j4-1,,,
17.79822,MOT_mc_stage_color_00,b-flash,,
18.26484,2,sp3-4,,,
18.3315,MOT_mc_stage_color_00,b-flash,,
18.43149,1,sp1-2,,,
18.59814,3,sp1-2,,,
19.49805,1,j2-3,,,
19.49805,2,j4-1,,,
19.49805,3,j2-3,,,
19.564709999999998,MOT_mc_stage_color_00,b-flash,,
20.06466,1,j3-4,,,
20.3313,2,1-2,r1,,
20.3313,3,3-4,l1,,
20.49795,MOT_mc_stage_color_00,b-flash,,
20.86458,1,4-1,,,
20.86458,2,2-3,,,
20.86458,3,4-1,,,
21.26454,1,1-2,,,
21.26454,2,3-4,rb0,,
21.26454,3,1-2,lb0,,
21.3312,MOT_mc_stage_color_00,b-flash,,
21.797819999999998,1,2-3,l1,,
21.797819999999998,2,4-1,l1,,
21.797819999999998,3,2-3,l1,,
22.09779,1,3-4,lb0,,
22.09779,2,1-2,lb0,,
22.09779,3,3-4,lb0,,
22.431089999999998,MOT_mc_stage_color_00,b-flash,,
23.031029999999998,3,w4,,,
23.031029999999998,2,w2,,,
23.031029999999998,1,w4,,,
23.06436,2,j2-3,,,
23.13102,MOT_mc_stage_color_00,b-flash,,
23.49765,1,j4-1,,,
23.49765,2,3-4,,,
23.96427,1,1-2,,,
23.96427,2,4-1,,,
23.96427,3,j4-1,,,
24.13092,MOT_mc_stage_color_00,b-flash,,
24.53088,1,2-3,,,
24.53088,2,1-2,,,
24.53088,3,1-2,,,
24.89751,1,3-4,,,
24.89751,2,2-3,,,
24.89751,3,2-3,,,
24.9975,MOT_mc_stage_color_00,b-flash,,
25.464119999999998,3,3-4,,,
25.49745,MOT_mc_stage_color_00,b-flash,,
25.53078,1,4-1,,,
25.59744,2,3-4,,,
25.79742,1,j1-2,,,
25.79742,2,j4-1,,,
25.79742,3,j4-1,,,
25.83075,MOT_mc_stage_color_00,b-flash,,
26.264039999999998,1,2-3,,,
26.39736,MOT_mc_stage_color_00,b-flash,,
26.39736,2,1-2,l1,,
26.39736,3,1-2,r1,,
26.76399,1,j3-4,,,
26.863979999999998,3,j2-3,,,
26.96397,MOT_mc_stage_color_00,b-flash,,
26.96397,2,j2-3,,,
27.263939999999998,1,4-1,,,
27.263939999999998,2,3-4,,,
27.263939999999998,3,3-4,,,
27.730559999999997,1,1-2,,,
27.730559999999997,2,4-1,,,
27.730559999999997,3,4-1,,,
27.79722,MOT_mc_stage_color_00,b-flash,,
28.26384,1,2-3,,,
28.26384,2,1-2,lb0,,
28.26384,3,1-2,rb0,,
28.330499999999997,MOT_mc_stage_color_00,b-flash,,
28.56381,1,j3-4,,,
28.56381,2,j2-3,,,
28.56381,3,j2-3,,,
28.63047,MOT_mc_stage_color_00,b-flash,,
28.9971,3,3-4,,,
29.16375,MOT_mc_stage_color_00,b-flash,,
29.330399999999997,1,4-1,,,
29.330399999999997,3,lp4,,,
29.63037,2,w3,,,
29.6637,1,lp1,,,
29.6637,2,3-4,,,
29.997,2,lp4,,,
30.79692,1,j1-2,,,
30.79692,2,j4-1,,,
30.79692,3,j4-1,,,
30.83025,MOT_mc_stage_color_00,b-flash,,
31.39686,1,2-3,,,
31.43019,MOT_mc_stage_color_00,b-flash,,
31.730159999999998,2,1-2,,,
31.730159999999998,3,1-2,,,
31.79682,MOT_mc_stage_color_00,b-flash,,
32.06346,1,,,,D40
32.06346,2,,,,D40
32.06346,3,,,,D40
32.06346,1,j3-4,,,
32.06346,2,j2-3,,,
32.06346,3,j2-3,,,
32.13012,MOT_all,cut3,,
32.16345,MOT_mc_stage_color_00,b-flash,,
32.16345,MOT_mc_bg_black_00,b20-65,,
32.16345,MOT_mc_light_up_00,off,,
32.16345,MOT_mc_light_center_00,off,,
32.76339,MOT_control_all,zoom6,,
32.76339,2,sp3-4,,,
32.86338,MOT_mc_stage_color_00,r-flash,,
32.89671,1,sp4-1,,,
33.03003,3,sp3-4,,,
33.896609999999995,1,,,,L20
33.896609999999995,2,,,,L0
33.896609999999995,3,,,,L20
33.896609999999995,1,j1-2,,,
33.896609999999995,2,4-1,,f1,
33.896609999999995,3,j4-1,,,
33.896609999999995,1,sort,-300,
33.896609999999995,3,sort,-300,
33.92994,MOT_control_all,zoom7,,
33.92994,MOT_all,cut4,,
33.9966,MOT_mc_bg_black_00,b65-45,,
33.9966,MOT_mc_light_center_00,stop,,
34.06326,MOT_mc_stage_color_00,b-flash,,
34.36323,2,1-2,l1,,
34.86318,2,2-3,,,
34.96317,3,w1,,,
34.96317,1,w2,,,
35.19648,2,lp3,,,
35.69643,1,2-3,,,
35.69643,3,1-2,,,
35.82975,MOT_mc_stage_color_00,b-flash,,
36.09639,2,3-4,,,
36.59634,2,4-1,lb0,,
36.62967,3,w2,,,
36.62967,1,w3,,,
36.92964,2,1-2,,,
37.36293,2,j2-3,,,
37.62957,1,3-4,,,
37.62957,3,2-3,,,
37.6629,MOT_mc_stage_color_00,b-flash,,
37.929539999999996,2,,r1,,
38.42949,2,3-4,,,
38.56281,3,w3,,,
38.56281,1,w4,,,
38.762789999999995,2,lp4,,,
39.22941,1,j4-1,,,
39.22941,3,j3-4,,,
39.39606,MOT_mc_stage_color_00,b-flash,,
39.596039999999995,2,4-1,rb0,,
40.09599,2,j1-2,,,
40.29597,3,w4,,,
40.29597,1,w1,,,
40.6626,2,,,,D20
40.6626,1,j1-2,,,
40.6626,2,2-3,,b0,
40.6626,3,j4-1,,,
40.69593,MOT_mc_stage_color_00,b-flash,,
41.12922,MOT_control_all,zoom8,,
41.12922,3,,,,L0
41.12922,3,1-2,,f1,
41.12922,1,sort,-300,
41.12922,2,sort,-300,
41.229209999999995,MOT_mc_stage_color_00,y-flash,,
41.52918,3,j2-3,,,
41.595839999999995,2,w3,,,
41.72916,1,w2,,,
41.995799999999996,3,3-4,r1,,
42.3291,3,lp4,,,
42.862379999999995,1,j2-3,,,
42.862379999999995,2,j3-4,,,
42.89571,MOT_mc_stage_color_00,b-flash,,
43.229009999999995,3,4-1,,,
43.628969999999995,3,hj1,,,
43.92894,2,w4,,,
43.92894,1,w3,,,
44.29557,3,1-2,rb0,,
44.76219,1,j3-4,,,
44.76219,2,j4-1,,,
44.76219,3,j2-3,,,
44.828849999999996,MOT_mc_stage_color_00,y-flash,,
45.46212,3,3-4,,,
45.79542,3,lp4,,,
45.82875,2,w1,,,
45.82875,1,w4,,,
45.82875,MOT_mc_stage_color_00,b-flash,,
46.495349999999995,1,,,,L0
46.495349999999995,3,,,,D20
46.495349999999995,1,4-1,,f1,
46.495349999999995,2,1-2,,,
46.495349999999995,3,4-1,,b0,
46.495349999999995,2,sort,-300,
46.495349999999995,3,sort,-300,
46.52868,MOT_control_all,zoom9,,
46.62867,MOT_mc_stage_color_00,r-flash,,
46.9953,1,1-2,,,
47.42859,3,w1,,,
47.42859,2,w2,,,
47.46192,1,2-3,,,
47.92854,1,j3-4,,,
48.39516,1,4-1,r1,,
48.39516,2,2-3,,,
48.39516,3,1-2,,,
48.461819999999996,MOT_mc_stage_color_00,b-flash,,
48.461819999999996,MOT_mc_light_center_00,on,,
48.79512,1,j1-2,,,
49.22841,1,2-3,,,
49.328399999999995,3,w2,,,
49.328399999999995,2,w3,,,
49.661699999999996,1,,rb0,,
50.094989999999996,1,3-4,,,
50.42829,1,lp4,,,
51.19488,1,j4-1,,,
51.394859999999994,MOT_mc_stage_color_00,r-flash,,
51.56151,1,1-2,,,
51.89481,1,hj2,,,
51.89481,2,3-4,,,
51.89481,3,2-3,,,
52.39476,MOT_control_all,zoom10,,
52.39476,1,lp2,,,
52.39476,3,3-4,,,
52.42809,MOT_mc_stage_color_00,y-flash,,
52.72806,3,j4-1,,,
52.82805,2,w4,,,
53.09469,3,1-2,,,
53.794619999999995,1,,,,D20
53.794619999999995,1,2-3,,b0,
53.794619999999995,3,2-3,,,
53.827949999999994,MOT_mc_stage_color_00,y-flash,,
54.42789,3,3-4,,,
54.72786,1,w3,,,
54.86118,MOT_control_all,zoom11,,
54.86118,2,,,,L0
54.86118,2,4-1,,f1,
54.86118,1,sort,-300,
54.86118,3,sort,-300,
54.927839999999996,MOT_mc_stage_color_00,b-flash,,
55.19448,2,j1-2,,,
55.26114,MOT_mc_stage_color_00,b-flash,,
55.361129999999996,3,w4,,,
55.59444,2,2-3,,,
55.69443,MOT_mc_stage_color_00,b-flash,,
55.9944,2,3-4,r1,,
56.39436,2,j4-1,,,
56.92764,2,1-2,,,
57.360929999999996,2,2-3,,,
57.460919999999994,MOT_mc_stage_color_00,b-flash,,
57.827549999999995,2,hj3,,,
58.660799999999995,2,3-4,rb0,,
58.82745,MOT_mc_stage_color_00,b-flash,,
59.12742,1,3-4,,,
59.12742,2,4-1,,,
59.12742,3,4-1,,,
59.460719999999995,2,lp1,,,
59.56071,MOT_control_all,zoom12,,
59.56071,1,4-1,,,
59.62737,MOT_mc_stage_color_00,r-flash,,
59.994,1,1-2,,,
60.06066,3,w1,,,
60.293969999999995,1,j2-3,,,
60.92724,2,,,,D20
60.92724,1,3-4,,,
60.92724,2,1-2,,b0,
61.060559999999995,MOT_mc_stage_color_00,r-flash,,
61.36053,1,hj4,,,
61.860479999999995,2,w2,,,
61.927139999999994,MOT_control_all,zoom13,,
61.960469999999994,1,4-1,,,
61.960469999999994,2,2-3,,,
61.960469999999994,3,1-2,,,
62.16045,MOT_mc_stage_color_00,b-flash,,
62.293769999999995,1,j1-2,,,
62.293769999999995,2,j3-4,,,
62.293769999999995,3,j2-3,,,
62.42709,MOT_mc_stage_color_00,b-flash,,
62.727059999999994,MOT_control_all,zoom14,,
62.727059999999994,3,,,,L0
62.727059999999994,3,3-4,,f1,
62.727059999999994,1,sort,-300,
62.727059999999994,2,sort,-300,
62.79372,MOT_mc_stage_color_00,y-flash,,
63.060359999999996,3,lp4,,,
63.36033,2,w4,,,
63.36033,1,w2,,,
63.59364,3,4-1,l1,,
64.02693,3,1-2,,,
64.49355,1,2-3,,,
64.49355,2,4-1,,,
64.49355,3,2-3,,,
64.59353999999999,MOT_mc_stage_color_00,b-flash,,
64.96016999999999,3,3-4,lb0,,
65.42679,2,w1,,,
65.42679,1,w3,,,
65.42679,3,j4-1,,,
66.12671999999999,3,1-2,,,
66.46002,1,3-4,,,
66.46002,2,1-2,,,
66.46002,3,hj2,,,
66.52668,MOT_mc_stage_color_00,y-flash,,
67.09329,1,j4-1,,,
67.09329,2,j2-3,,,
67.09329,3,lp2,,,
67.19328,MOT_mc_bg_black_00,b45-65,,
67.22661,MOT_mc_stage_color_00,r-flash,,
67.75989,MOT_control_all,zoom15,,
67.75989,3,,,,D20
67.75989,1,j1-2,,,
67.75989,2,j3-4,,,
67.75989,3,2-3,,b0,
67.85988,MOT_mc_stage_color_00,b-flash,,
68.39316,MOT_control_all,zoom16,,
68.39316,1,2-3,,,
68.39316,2,4-1,,,
68.39316,3,3-4,,,
68.49315,MOT_mc_stage_color_00,y-flash,,
69.09309,1,j3-4,,,
69.15975,MOT_mc_stage_color_00,b-flash,,
69.25974,3,j4-1,,,
69.32639999999999,2,w1,,,
69.35973,2,j1-2,,,
69.62637,MOT_control_all,zoom17,,
69.62637,1,,,,L0
69.62637,1,4-1,,f1,
69.62637,2,sort,-300,
69.62637,3,sort,-300,
69.6597,MOT_mc_stage_color_00,r-flash,,
70.02633,MOT_mc_bg_black_00,b65-20,,
70.02633,1,hj1,,,
70.02633,2,2-3,,,
70.02633,3,1-2,,,
70.09299,MOT_mc_stage_color_00,b-flash,,
70.09299,MOT_mc_light_up_00,stop,,
70.82625,1,1-2,,,
70.92623999999999,MOT_mc_stage_color_00,b-flash,,
70.95957,3,w2,,,
70.95957,2,w3,,,
71.29287,1,2-3,,,
71.75949,1,3-4,r1,,
71.75949,2,3-4,,,
71.75949,3,2-3,,,
71.82615,MOT_mc_stage_color_00,r-flash,,
72.39276,1,hj4,,,
72.69273,3,w3,,,
72.69273,2,w4,,,
72.79272,2,4-1,,,
72.79272,3,3-4,,,
72.82605,MOT_mc_stage_color_00,b-flash,,
73.25934,1,4-1,,,
73.59264,1,j1-2,,,
73.69263,MOT_mc_stage_color_00,b-flash,,
73.72596,3,w4,,,
73.72596,2,w1,,,
74.05926,1,2-3,,,
74.52588,1,3-4,rb0,,
74.52588,2,1-2,,,
74.52588,3,4-1,,,
74.62586999999999,MOT_mc_stage_color_00,r-flash,,
75.25914,1,hj4,,,
75.42578999999999,MOT_mc_stage_color_00,b-flash,,
75.45912,3,w1,,,
75.45912,2,w2,,,
75.85907999999999,1,lp4,,,
76.25904,MOT_control_all,zoom18,,
76.25904,1,,,,D20
76.25904,3,,,,L0
76.25904,1,4-1,,b0,
76.25904,3,1-2,,f1,
76.25904,1,sort,-300,
76.25904,2,sort,-300,
76.42569,MOT_mc_stage_color_00,y-flash,,
76.75899,3,2-3,l1,,
77.19228,1,1-2,,,
77.19228,2,2-3,,,
77.19228,3,j3-4,,,
77.25894,MOT_mc_stage_color_00,y-flash,,
77.92554,3,4-1,lb0,,
78.12552,2,w3,,,
78.12552,1,w2,,,
78.42549,3,1-2,,,
78.95877,3,j2-3,,,
79.12541999999999,MOT_mc_stage_color_00,b-flash,,
79.45872,1,j2-3,,,
79.45872,2,j3-4,,,
79.45872,3,3-4,r1,,
79.85867999999999,3,4-1,rb0,,
79.95867,MOT_mc_stage_color_00,y-flash,,
80.42528999999999,MOT_control_all,zoom19,,
80.42528999999999,2,,,,L0
80.42528999999999,3,,,,D20
80.42528999999999,2,4-1,,f1,
80.42528999999999,3,,,b0,
80.42528999999999,1,sort,-300,
80.42528999999999,3,sort,-300,
80.45862,MOT_mc_stage_color_00,b-flash,,
80.52528,1,w3,,,
80.79191999999999,3,w1,,,
80.79191999999999,1,3-4,,,
80.79191999999999,2,j1-2,,,
80.79191999999999,3,1-2,,,
80.85858,MOT_mc_stage_color_00,b-flash,,
81.29187,2,2-3,l1,,
81.42519,1,j4-1,,,
81.42519,3,j2-3,,,
81.45852,MOT_mc_stage_color_00,b-flash,,
81.62517,2,j3-4,,,
82.39175999999999,2,j4-1,,,
82.49175,3,w3,,,
82.49175,1,w1,,,
82.52508,MOT_mc_stage_color_00,b-flash,,
83.02503,2,1-2,,,
83.325,2,2-3,lb0,,
83.82495,2,sp3-4,,,
83.89161,MOT_mc_stage_color_00,b-flash,,
84.02493,1,1-2,,,
84.02493,3,3-4,,,
84.42488999999999,MOT_control_all,zoom20,,
84.42488999999999,1,j2-3,,,
84.42488999999999,2,hj4,,,
84.42488999999999,3,j4-1,,,
84.45822,MOT_mc_stage_color_00,b-flash,,
85.22480999999999,2,,,,D20
85.22480999999999,2,4-1,,b0,
85.3248,1,3-4,,,
85.42479,3,1-2,,,
85.49145,MOT_mc_stage_color_00,b-flash,,
85.72475999999999,1,j4-1,,,
85.72475999999999,2,j1-2,,,
85.72475999999999,3,j2-3,,,
86.19138,1,1-2,,,
86.19138,2,2-3,l1,,
86.19138,3,3-4,r1,,
86.29137,MOT_mc_stage_color_00,r-flash,,
86.59134,1,2-3,,,
86.59134,2,3-4,,,
86.59134,3,4-1,,,
86.69133,MOT_mc_stage_color_00,y-flash,,
87.02463,1,3-4,,,
87.02463,2,4-1,lb0,,
87.02463,3,1-2,rb0,,
87.09129,MOT_mc_stage_color_00,b-flash,,
87.95787,3,w2,,,
87.95787,2,w1,,,
87.95787,1,w4,,,
88.15785,MOT_mc_stage_color_00,b-flash,,
88.15785,1,4-1,,,
88.15785,2,1-2,,,
88.15785,3,2-3,,,
88.52448,1,sp1-2,,,
88.82445,2,sp2-3,,,
88.82445,3,sp3-4,,,
88.92443999999999,MOT_mc_stage_color_00,y-flash,,
89.39106,1,j2-3,,,
89.39106,2,j3-4,,,
89.39106,3,j4-1,,,
89.45772,MOT_mc_stage_color_00,r-flash,,
89.85768,1,3-4,,,
89.85768,3,j1-2,,,
89.991,MOT_mc_stage_color_00,b-flash,,
90.29097,1,4-1,,,
90.29097,2,j4-1,,,
90.85758,1,j1-2,,,
90.89090999999999,MOT_mc_stage_color_00,b-flash,,
90.92424,3,w2,,,
91.19087999999999,2,j1-2,,,
91.19087999999999,3,j2-3,,,
91.25753999999999,MOT_mc_stage_color_00,b-flash,,
91.59084,1,2-3,,,
91.59084,2,2-3,,,
91.59084,3,3-4,,,
91.6575,MOT_mc_stage_color_00,y-flash,,
91.95747,2,3-4,,,
92.12411999999999,1,3-4,,,
92.29077,3,4-1,,,
92.49074999999999,1,j4-1,,,
92.55740999999999,MOT_mc_stage_color_00,b-flash,,
92.89071,2,w4,,,
92.95737,3,1-2,,,
93.02403,1,1-2,,,
93.09069,2,4-1,,,
93.55731,1,j2-3,,,
93.55731,2,j1-2,,,
93.55731,3,j2-3,,,
93.65729999999999,MOT_mc_stage_color_00,r-flash,,
93.9906,1,3-4,,,
93.9906,2,2-3,l1,,
93.9906,3,3-4,r1,,
94.25724,1,4-1,,,
94.25724,2,3-4,,,
94.25724,3,4-1,,,
94.39056,MOT_mc_stage_color_00,b-flash,,
94.59053999999999,1,lp1,,,
94.59053999999999,2,lp4,,,
94.59053999999999,3,lp1,,,
95.19048,2,sp4-1,,,
95.29047,MOT_mc_stage_color_00,b-flash,,
95.39045999999999,1,sp1-2,,,
95.59044,3,sp1-2,,,
96.25703999999999,1,j2-3,,,
96.25703999999999,2,j1-2,,,
96.25703999999999,3,j2-3,,,
96.29037,MOT_mc_stage_color_00,r-flash,,
96.75699,1,3-4,,,
96.75699,2,2-3,,,
96.75699,3,3-4,,,
97.09029,1,4-1,,,
97.09029,2,3-4,lb0,,
97.09029,3,4-1,rb0,,
97.12362,MOT_mc_stage_color_00,y-flash,,
97.52358,2,j4-1,,,
97.52358,3,j1-2,,,
97.92354,1,j1-2,,,
98.15684999999999,MOT_mc_stage_color_00,b-flash,,
98.42349,MOT_control_all,zoom21,,
98.42349,1,,,,L0
98.42349,2,,,,L0
98.42349,3,,,,L0
98.42349,1,j2-3,,,
98.42349,2,j1-2,,,
98.42349,3,j2-3,,,
98.49015,MOT_mc_stage_color_00,r-flash,,
98.49015,MOT_mc_bg_black_00,b45-20,,
98.49015,MOT_mc_light_center_00,stop,,
98.82345,1,3-4,,,
98.82345,2,2-3,,,
98.82345,3,3-4,,,
98.85678,MOT_mc_stage_color_00,b-flash,,
98.85678,MOT_mc_bg_black_00,b0,,
98.85678,MOT_mc_light_up_00,on,,
98.85678,MOT_mc_light_center_00,on,,
99.15675,1,lp4,,,
99.15675,2,lp3,,,
99.15675,3,lp4,,,
99.69003,1,j4-1,,,
99.69003,2,j3-4,,,
99.69003,3,j4-1,,,
99.72336,MOT_mc_stage_color_00,b-flash,,
100.08999,1,1-2,,,
100.08999,2,4-1,,,
100.08999,3,1-2,,,
100.6566,MOT_mc_stage_color_00,r-flash,,
100.6566,1,2-3,r1,,
100.6566,2,1-2,r1,,
100.6566,3,2-3,r1,,
101.12321999999999,1,3-4,,,
101.12321999999999,2,2-3,,,
101.12321999999999,3,3-4,,,
101.48984999999999,1,4-1,rb0,,
101.48984999999999,2,3-4,rb0,,
101.48984999999999,3,4-1,rb0,,
101.62317,MOT_mc_stage_color_00,y-flash,,
102.18978,2,4-1,,,
102.18978,3,1-2,,,
102.35642999999999,1,1-2,,,
102.58973999999999,MOT_mc_stage_color_00,b-flash,,
102.82305,1,j2-3,,,
102.82305,2,j1-2,,,
102.82305,3,j2-3,,,
103.25634,1,3-4,,,
103.25634,2,2-3,,,
103.25634,3,3-4,,,
103.35633,MOT_mc_stage_color_00,r-flash,,
103.72296,1,4-1,,,
103.72296,2,3-4,,,
103.72296,3,4-1,,,
104.25623999999999,1,hj1,,,
104.25623999999999,2,hj4,,,
104.25623999999999,3,hj1,,,
104.32289999999999,MOT_mc_stage_color_00,b-flash,,
105.12281999999999,1,1-2,,,
105.12281999999999,2,4-1,l1,,
105.12281999999999,3,1-2,r1,,
105.22281,MOT_mc_stage_color_00,y-flash,,
105.55610999999999,1,j2-3,,,
105.55610999999999,2,j1-2,,,
105.55610999999999,3,j2-3,,,
105.6561,MOT_mc_stage_color_00,r-flash,,
105.98939999999999,3,j3-4,,,
106.05606,MOT_mc_stage_color_00,b-flash,,
106.18938,2,j2-3,,,
106.45602,1,j3-4,,,
106.85597999999999,1,4-1,,,
106.85597999999999,2,3-4,lb0,,
106.85597999999999,3,4-1,rb0,,
106.95597,MOT_mc_stage_color_00,b-flash,,
107.18928,1,lp1,,,
107.18928,2,lp4,,,
107.18928,3,lp1,,,
107.65589999999999,1,hj1,,,
107.65589999999999,2,hj4,,,
107.65589999999999,3,hj1,,,
107.72256,MOT_mc_stage_color_00,b-flash,,
108.25583999999999,1,1-2,,,
108.25583999999999,2,4-1,,,
108.25583999999999,3,1-2,,,
108.32249999999999,MOT_mc_stage_color_00,y-flash,,
108.62246999999999,1,j2-3,,,
108.62246999999999,2,j1-2,,,
108.62246999999999,3,j2-3,,,
108.75578999999999,MOT_mc_stage_color_00,b-flash,,
109.15575,2,2-3,,,
109.22241,1,3-4,,,
109.28907,3,3-4,,,
109.52238,1,j4-1,,,
109.52238,2,j3-4,,,
109.52238,3,j4-1,,,
109.58904,MOT_mc_stage_color_00,b-flash,,
110.05565999999999,1,1-2,l1,,
110.05565999999999,2,4-1,l1,,
110.05565999999999,3,1-2,l1,,
110.28896999999999,MOT_mc_stage_color_00,r-flash,,
110.48894999999999,1,2-3,lb0,,
110.48894999999999,2,1-2,lb0,,
110.48894999999999,3,2-3,lb0,,
111.08888999999999,3,j3-4,,,
111.18888,2,j2-3,,,
111.25554,MOT_mc_stage_color_00,y-flash,,
111.3222,1,j3-4,,,
111.72215999999999,1,4-1,,,
111.72215999999999,2,3-4,,,
111.72215999999999,3,4-1,,,
111.85548,MOT_mc_stage_color_00,b-flash,,
112.22211,1,1-2,,,
112.22211,2,4-1,,,
112.22211,3,1-2,,,
112.55541,1,j2-3,,,
112.6554,MOT_mc_stage_color_00,r-flash,,
112.82204999999999,2,j1-2,,,
112.82204999999999,3,j2-3,,,
113.28867,1,sp3-4,,,
113.28867,2,sp2-3,,,
113.28867,3,sp3-4,,,
113.35533,MOT_mc_stage_color_00,b-flash,,
114.75519,1,4-1,,,
114.75519,2,3-4,,,
114.75519,3,4-1,,,
114.82185,MOT_mc_stage_color_00,b-flash,,
115.12182,1,hj1,,,
115.12182,2,hj4,,,
115.12182,3,hj1,,,
115.15514999999999,MOT_mc_stage_color_00,y-flash,,
115.18848,MOT_control_all,zoom22,,
115.78841999999999,1,lp1,,,
115.78841999999999,2,lp4,,,
115.78841999999999,3,lp1,,,
116.88830999999999,MOT_control_all,zoom23,,
116.92164,1,,,,D20
116.92164,2,,,,L0
116.92164,3,,,,D20
116.92164,1,1-2,,,
116.92164,2,4-1,,f1,
116.92164,3,1-2,,,
116.92164,1,sort,-300,
116.92164,3,sort,-300,
116.9883,MOT_mc_stage_color_00,b-flash,,
117.22161,2,1-2,,,
117.52158,2,j2-3,,,
117.85488,3,w2,,,
117.85488,1,w2,,,
117.92154,MOT_control_all,zoom24,,
117.95487,MOT_mc_stage_color_00,b-flash,,
117.95487,MOT_mc_bg_black_00,b80,,
117.95487,MOT_mc_light_up_00,off,,
117.95487,MOT_mc_light_center_00,random,,
117.95487,1,,,,D40
117.95487,2,,,,D40
117.95487,3,,,,D40
117.95487,1,2-3,,,
117.95487,2,3-4,,b0,
117.95487,3,2-3,,,
118.45482,1,3-4,,,
118.45482,2,4-1,,,
118.45482,3,3-4,,,
