0.03333,MOT_mc_bg_black_00,stay,,
0.03333,MOT_mc_light_center_00,off,,
0.03333,MOT_mc_light_up_00,l2,,
18.764789999999998,4,1-2,l3,,
18.764789999999998,5,1-2,r3,,
18.764789999999998,1,j1-2,,,
18.764789999999998,1,,,,L0
19.09809,2,lp1,,,
19.09809,3,lp1,,,
19.09809,4,lp2,,,
19.09809,5,lp2,,,
19.43139,1,2-3,,,
19.997999999999998,1,3-4,l1,,
20.73126,1,4-1,l2,,
21.3312,MOT_mc_stage_color_00,b-flash,,
21.3312,2,1-2,,,
21.3312,3,1-2,,,
21.3312,4,2-3,,,
21.3312,5,2-3,,,
21.46452,1,1-2,,,
21.6645,2,lp2,,,
21.6645,3,lp2,,,
21.6645,4,lp3,,,
21.6645,5,lp3,,,
22.397759999999998,1,w2,,,
22.631069999999998,1,2-3,,,
22.96437,1,3-4,,,
23.430989999999998,1,4-1,,,
24.16425,1,sj1,,,
24.664199999999997,1,hj1,,,
24.89751,2,hj2,,,
24.89751,3,hj2,,,
25.064159999999998,4,hj3,,,
25.064159999999998,5,hj3,,,
25.73076,4,lp3,,,
25.73076,5,lp3,,,
25.73076,2,lp2,,,
25.73076,3,lp2,,,
25.897409999999997,1,w1,,,
26.93064,1,1-2,lb1,,
27.53058,1,sj2,,,
28.03053,1,w2,,,
28.130519999999997,1,hj2,,,
28.697129999999998,1,2-3,,,
29.39706,4,3-4,,,
29.39706,5,3-4,,,
29.63037,1,w3,,,
29.63037,2,2-3,,,
29.63037,3,2-3,,,
29.963669999999997,2,lp3,,,
29.963669999999997,3,lp3,,,
29.963669999999997,4,lp4,,,
29.963669999999997,5,lp4,,,
30.49695,1,3-4,,,
30.86358,1,4-1,,,
31.59684,1,j1-2,,,
32.19678,1,2-3,,,
33.063359999999996,1,j3-4,,,
33.79662,2,3-4,,,
33.79662,3,3-4,,,
33.79662,4,4-1,,,
33.79662,5,4-1,,,
33.79662,1,4-1,,,
34.12992,2,lp4,,,
34.12992,3,lp4,,,
34.12992,4,lp1,,,
34.12992,5,lp1,,,
34.696529999999996,1,j1-2,,,
35.69643,1,2-3,,,
36.22971,1,hj3,,,
37.46292,1,w3,,,
38.59614,2,4-1,,,
38.59614,3,4-1,,,
38.59614,4,1-2,,,
38.59614,5,1-2,,,
38.59614,1,3-4,,,
38.92944,2,lp1,,,
38.92944,3,lp1,,,
38.92944,4,lp2,,,
38.92944,5,lp2,,,
38.9961,1,j4-1,,,
39.49605,1,1-2,,,
39.82935,1,2-3,,,
40.22931,1,3-4,,,
40.59594,2,sj1,,,
40.59594,3,sj1,,,
40.59594,4,sj2,,,
40.59594,5,sj2,,,
40.59594,1,sj4,,,
41.09589,5,w2,,,
41.09589,4,w2,,,
41.09589,3,w1,,,
41.09589,2,w1,,,
41.09589,1,w4,,,
41.46252,2,1-2,,,
41.46252,3,1-2,,,
41.46252,4,2-3,,,
41.46252,5,2-3,,,
41.46252,1,4-1,,,
41.79582,2,lp2,,,
41.79582,3,lp2,,,
41.79582,4,lp3,,,
41.79582,5,lp3,,,
42.09579,1,sj1,,,
42.59574,1,1-2,,,
43.02903,1,2-3,,,
43.49565,1,j3-4,,,
44.29557,MOT_control_all,Alchemy_zoom03,,
44.29557,1,4-1,lb0,,
44.62887,1,1-2,r1,,
45.02883,1,2-3,,,
45.42879,1,j3-4,,,
45.9954,1,4-1,,,
46.462019999999995,1,sj1,,,
46.96197,1,hj1,,,
47.628569999999996,1,hj1,,,
48.861779999999996,1,w1,,,
50.62827,MOT_control_all,Alchemy_zoom04,,
50.62827,MOT_mc_stage_color_00,r-flash,,
50.6616,2,2-3,,,
50.6616,3,2-3,,,
50.6616,4,3-4,,,
50.6616,5,3-4,,,
50.6616,1,1-2,rb0,,
51.22821,2,3-4,l3,,
51.22821,3,3-4,r3,,
51.22821,4,4-1,l4,,
51.22821,5,4-1,r4,,
51.22821,1,2-3,,,
51.59484,2,4-1,,,
51.59484,3,4-1,,,
51.59484,4,1-2,,,
51.59484,5,1-2,,,
51.59484,1,3-4,,,
51.96147,2,j1-2,,,
51.96147,3,j1-2,,,
51.96147,4,j2-3,,,
51.96147,5,j2-3,,,
51.96147,1,j4-1,,,
52.42809,2,2-3,,,
52.42809,3,2-3,,,
52.42809,4,3-4,,,
52.42809,5,3-4,,,
52.42809,1,1-2,,,
52.82805,2,hj3,,,
52.82805,3,hj3,,,
52.82805,4,hj4,,,
52.82805,5,hj4,,,
52.82805,1,hj2,,,
53.394659999999995,MOT_mc_stage_color_00,b-flash,,
53.49465,2,lp3,,,
53.49465,3,lp3,,,
53.49465,4,lp4,,,
53.49465,5,lp4,,,
53.49465,1,2-3,,,
53.86128,1,3-4,,,
54.79452,1,w4,,,
54.961169999999996,1,4-1,,,
55.327799999999996,1,sj1,,,
55.69443,1,hj1,,,
56.46102,MOT_mc_stage_color_00,b-flash,,
56.46102,2,3-4,,,
56.46102,3,3-4,,,
56.46102,4,4-1,,,
56.46102,5,4-1,,,
56.46102,1,1-2,,,
57.027629999999995,2,4-1,,,
57.027629999999995,3,4-1,,,
57.027629999999995,4,1-2,,,
57.027629999999995,5,1-2,,,
57.027629999999995,1,2-3,,,
57.49425,2,1-2,,,
57.49425,3,1-2,,,
57.49425,4,2-3,,,
57.49425,5,2-3,,,
57.49425,1,3-4,,,
57.860879999999995,2,j2-3,,,
57.860879999999995,3,j2-3,,,
57.860879999999995,4,j3-4,,,
57.860879999999995,5,j3-4,,,
57.860879999999995,1,j4-1,,,
58.3275,2,3-4,,,
58.3275,3,3-4,,,
58.3275,4,4-1,,,
58.3275,5,4-1,,,
58.3275,1,1-2,,,
58.72746,2,hj4,,,
58.72746,3,hj4,,,
58.72746,4,hj1,,,
58.72746,5,hj1,,,
58.72746,1,hj2,,,
59.19408,MOT_mc_stage_color_00,y-flash,,
59.394059999999996,2,lp4,,,
59.394059999999996,3,lp4,,,
59.394059999999996,4,lp1,,,
59.394059999999996,5,lp1,,,
59.494049999999994,1,2-3,,,
60.02733,1,3-4,,,
60.42729,1,sj4,,,
60.89391,1,hj4,,,
61.56051,2,4-1,,,
61.56051,3,4-1,,,
61.56051,4,1-2,,,
61.56051,5,1-2,,,
61.56051,1,4-1,,,
62.19378,MOT_mc_stage_color_00,r-flash,,
62.19378,2,hj1,,,
62.19378,3,hj1,,,
62.19378,4,hj2,,,
62.19378,5,hj2,,,
62.19378,1,hj1,,,
62.86038,2,lp1,,,
62.86038,3,lp1,,,
62.86038,4,lp2,,,
62.86038,5,lp2,,,
62.86038,1,lp1,,,
63.59364,4,hj2,,,
63.59364,5,hj2,,,
64.09358999999999,2,hj1,,,
64.09358999999999,3,hj1,,,
64.62687,4,hj2,,,
64.62687,5,hj2,,,
64.9935,2,j1-2,,,
64.9935,3,j1-2,,,
65.29347,MOT_control_all,Alchemy_zoom05,,
65.29347,MOT_mc_stage_color_00,b-flash,,
65.29347,MOT_mc_light_up_00,l4,,
65.29347,MOT_mc_light_center_00,l2,,
65.29347,2,2-3,,,
65.29347,3,2-3,,,
65.29347,4,2-3,,,
65.29347,5,2-3,,,
65.29347,2,,,,L20
65.29347,3,,,,L20
65.29347,4,,,,L20
65.29347,5,,,,L20
65.29347,1,1-2,,,
65.82675,1,j2-3,,,
65.92674,4,j3-4,,,
65.92674,5,j3-4,,,
66.12671999999999,2,j3-4,,,
66.12671999999999,3,j3-4,,,
66.52668,2,4-1,,,
66.52668,3,4-1,,,
66.52668,4,4-1,,,
66.52668,5,4-1,,,
66.52668,1,3-4,,,
66.85998,MOT_mc_stage_color_00,y-flash,,
66.85998,2,1-2,,,
66.85998,3,1-2,,,
66.85998,4,1-2,,,
66.85998,5,1-2,,,
66.85998,1,4-1,,,
67.19328,2,hj2,,,
67.19328,3,hj2,,,
67.19328,4,hj2,,,
67.19328,5,hj2,,,
67.19328,1,hj1,,,
67.85988,2,2-3,,,
67.85988,3,2-3,,,
67.85988,4,2-3,,,
67.85988,5,2-3,,,
67.85988,1,1-2,,,
68.62647,2,3-4,,,
68.62647,3,3-4,,,
68.62647,4,3-4,,,
68.62647,5,3-4,,,
68.62647,1,2-3,,,
69.09309,2,4-1,,,
69.09309,3,4-1,,,
69.09309,4,4-1,,,
69.09309,5,4-1,,,
69.09309,1,3-4,,,
69.49305,2,hj1,,,
69.49305,3,hj1,,,
69.49305,4,hj1,,,
69.49305,5,hj1,,,
69.49305,1,hj4,,,
70.15965,2,lp1,,,
70.15965,3,lp1,,,
70.15965,4,lp1,,,
70.15965,5,lp1,,,
70.15965,1,lp4,,,
71.02623,MOT_mc_stage_color_00,r-flash,,
71.02623,1,4-1,r1,,
71.79281999999999,2,1-2,,,
71.79281999999999,3,1-2,,,
71.79281999999999,4,1-2,,,
71.79281999999999,5,1-2,,,
71.79281999999999,1,1-2,,,
72.12612,2,lp2,,,
72.12612,3,lp2,,,
72.12612,4,lp2,,,
72.12612,5,lp2,,,
72.42609,1,j2-3,,,
73.19268,1,3-4,,,
73.52597999999999,1,4-1,,,
74.22591,2,2-3,,,
74.22591,3,2-3,,,
74.22591,4,2-3,,,
74.22591,5,2-3,,,
74.22591,1,1-2,,,
74.79252,2,j3-4,,,
74.79252,3,j3-4,,,
74.79252,4,j3-4,,,
74.79252,5,j3-4,,,
74.79252,1,j2-3,,,
75.29247,2,4-1,,,
75.29247,3,4-1,,,
75.29247,4,4-1,,,
75.29247,5,4-1,,,
75.29247,1,sj3,,,
75.79241999999999,1,w3,,,
75.82575,1,3-4,,,
76.05906,2,hj1,,,
76.05906,3,hj1,,,
76.22570999999999,5,w1,,,
76.22570999999999,4,hj1,,,
76.22570999999999,5,hj1,,,
76.75899,1,w4,,,
76.95897,MOT_mc_stage_color_00,b-flash,,
76.95897,2,1-2,,,
76.95897,3,1-2,,,
76.95897,4,1-2,,,
76.95897,5,1-2,,,
76.95897,1,4-1,rb0,,
77.29227,2,lp2,,,
77.29227,3,lp2,,,
77.29227,4,lp2,,,
77.29227,5,lp2,,,
77.52557999999999,1,j1-2,,,
78.32549999999999,1,2-3,,,
78.89211,2,2-3,,,
78.89211,3,2-3,,,
78.89211,4,2-3,,,
78.89211,5,2-3,,,
78.89211,1,3-4,,,
79.62536999999999,MOT_mc_stage_color_00,b-flash,,
79.62536999999999,1,hj4,,,
79.82535,5,w3,,,
79.82535,4,w3,,,
79.82535,3,w3,,,
79.82535,2,hj3,,,
79.82535,3,hj3,,,
80.05866,4,hj3,,,
80.05866,5,hj3,,,
80.65859999999999,MOT_mc_stage_color_00,b-flash,,
80.65859999999999,2,3-4,,,
80.65859999999999,3,3-4,,,
80.65859999999999,4,3-4,,,
80.65859999999999,5,3-4,,,
80.65859999999999,1,4-1,,,
81.05856,MOT_mc_stage_color_00,b-flash,,
81.05856,2,j4-1,,,
81.05856,3,j4-1,,,
81.05856,4,j4-1,,,
81.05856,5,j4-1,,,
81.05856,1,j1-2,,,
82.12512,5,w1,,,
82.12512,4,w1,,,
82.12512,3,w1,,,
82.12512,2,w1,,,
82.12512,1,w2,,,
82.59174,MOT_mc_stage_color_00,b-flash,,
82.59174,1,2-3,l1,,
82.59174,4,1-2,l5,,
82.59174,5,1-2,r5,,
82.59174,2,1-2,l4,,
82.59174,3,1-2,r4,,
82.92504,2,lp2,,,
82.92504,3,lp2,,,
82.92504,4,lp2,,,
82.92504,5,lp2,,,
83.12501999999999,1,3-4,,,
83.6583,1,4-1,,,
84.3249,1,1-2,lb0,,
84.89151,2,2-3,,,
84.89151,3,2-3,,,
84.89151,4,2-3,,,
84.89151,5,2-3,,,
84.89151,1,2-3,,,
85.19148,2,lp3,,,
85.19148,3,lp3,,,
85.19148,4,lp3,,,
85.19148,5,lp3,,,
85.19148,1,lp3,,,
87.15795,MOT_mc_stage_color_00,b-flash,,
87.69122999999999,MOT_control_all,Alchemy_zoom06,,
87.69122999999999,MOT_all,Alchemy_cut02,,
87.69122999999999,MOT_mc_stage_color_00,b-flash,,
87.69122999999999,MOT_mc_light_center_00,on2_loop2,,
87.69122999999999,MOT_mc_light_up_00,l2,,
87.75788999999999,2,3-4,,,
87.75788999999999,3,3-4,,,
87.75788999999999,4,3-4,,,
87.75788999999999,5,3-4,,,
87.75788999999999,2,,,,D40
87.75788999999999,3,,,,D40
87.75788999999999,4,,,,D40
87.75788999999999,5,,,,D40
87.75788999999999,1,3-4,,,
88.3245,1,hj4,,,
88.42448999999999,2,4-1,lb3,,
88.42448999999999,3,4-1,rb3,,
88.62447,4,4-1,lb4,,
88.62447,5,4-1,rb4,,
89.35772999999999,3,w1,,,
89.35772999999999,2,w1,,,
89.55771,5,w1,,,
89.55771,4,w1,,,
89.55771,1,w4,,,
89.72435999999999,MOT_mc_stage_color_00,b-flash,,
90.02432999999999,MOT_control_all,Alchemy_zoom07,,
90.02432999999999,MOT_mc_stage_color_00,b-flash,,
90.02432999999999,MOT_mc_light_up_00,l3,,
90.02432999999999,MOT_mc_light_center_00,l2,,
90.02432999999999,2,hj1,,,
90.02432999999999,3,hj1,,,
90.02432999999999,4,hj1,,,
90.02432999999999,5,hj1,,,
90.02432999999999,2,,,,L20
90.02432999999999,3,,,,L20
90.02432999999999,4,,,,L20
90.02432999999999,5,,,,L20
90.02432999999999,1,hj4,,,
90.69093,2,1-2,,,
90.69093,3,1-2,,,
90.69093,4,1-2,,,
90.69093,5,1-2,,,
90.69093,1,4-1,,,
91.09089,2,2-3,,,
91.09089,3,2-3,,,
91.09089,4,2-3,,,
91.09089,5,2-3,,,
91.09089,1,1-2,,,
91.62416999999999,1,sj2,,,
91.62416999999999,2,sj3,,,
91.62416999999999,3,sj3,,,
91.62416999999999,4,sj3,,,
91.62416999999999,5,sj3,,,
92.12411999999999,5,w3,,,
92.12411999999999,4,w3,,,
92.12411999999999,3,w3,,,
92.12411999999999,2,w3,,,
92.12411999999999,1,w2,,,
92.15745,1,2-3,,,
92.15745,2,3-4,,,
92.15745,3,3-4,,,
92.15745,4,3-4,,,
92.15745,5,3-4,,,
92.52408,1,3-4,,,
92.52408,2,4-1,,,
92.52408,3,4-1,,,
92.52408,4,4-1,,,
92.52408,5,4-1,,,
92.95737,1,hj4,,,
92.95737,2,hj1,,,
92.95737,3,hj1,,,
92.95737,4,hj1,,,
92.95737,5,hj1,,,
93.89061,1,4-1,,,
93.89061,2,1-2,,,
93.89061,3,1-2,,,
93.89061,4,1-2,,,
93.89061,5,1-2,,,
94.3239,1,hj1,,,
94.42389,2,hj2,,,
94.42389,3,hj2,,,
94.62387,4,hj2,,,
94.62387,5,hj2,,,
94.72386,MOT_mc_stage_color_00,r-flash,,
95.25713999999999,MOT_mc_stage_color_00,y-flash,,
95.55711,1,w1,,,
95.6571,3,w2,,,
95.6571,2,w2,,,
95.79042,1,1-2,,,
95.79042,2,2-3,,,
95.79042,3,2-3,,,
95.79042,4,2-3,,,
95.79042,5,2-3,,,
96.15705,1,j2-3,,,
96.15705,2,j3-4,,,
96.15705,3,j3-4,,,
96.15705,4,j3-4,,,
96.15705,5,j3-4,,,
96.69032999999999,1,3-4,,,
96.69032999999999,2,4-1,,,
96.69032999999999,3,4-1,,,
96.69032999999999,4,4-1,,,
96.69032999999999,5,4-1,,,
97.25694,1,4-1,,,
97.25694,2,1-2,,,
97.25694,3,1-2,,,
97.25694,4,1-2,,,
97.25694,5,1-2,,,
97.95687,1,sj1,,,
97.95687,2,sj2,,,
97.95687,3,sj2,,,
97.95687,4,sj2,,,
97.95687,5,sj2,,,
98.45682,5,w2,,,
98.45682,4,w2,,,
98.45682,3,w2,,,
98.45682,2,w2,,,
98.45682,1,1-2,,,
98.45682,2,2-3,,,
98.45682,3,2-3,,,
98.45682,4,2-3,,,
98.45682,5,2-3,,,
99.15675,MOT_mc_stage_color_00,b-flash,,
99.32339999999999,1,j2-3,,,
99.32339999999999,2,j3-4,,,
99.32339999999999,3,j3-4,,,
99.32339999999999,4,j3-4,,,
99.32339999999999,5,j3-4,,,
99.75668999999999,1,3-4,,,
99.75668999999999,2,4-1,,,
99.75668999999999,3,4-1,,,
99.75668999999999,4,4-1,,,
99.75668999999999,5,4-1,,,
100.08999,1,lp4,,,
100.08999,2,lp1,,,
100.08999,3,lp1,,,
100.08999,4,lp1,,,
100.08999,5,lp1,,,
100.82325,MOT_mc_stage_color_00,b-flash,,
101.6565,MOT_mc_stage_color_00,b-flash,,
101.6565,1,4-1,,,
101.6565,2,1-2,,,
101.6565,3,1-2,,,
101.6565,4,1-2,,,
101.6565,5,1-2,,,
102.15644999999999,1,1-2,,,
102.15644999999999,2,2-3,,,
102.15644999999999,3,2-3,,,
102.15644999999999,4,2-3,,,
102.15644999999999,5,2-3,,,
102.82305,1,sj2,,,
102.82305,2,sj3,,,
102.82305,3,sj3,,,
102.82305,4,sj3,,,
102.82305,5,sj3,,,
103.28967,1,2-3,,,
103.28967,2,3-4,,,
103.28967,3,3-4,,,
103.28967,4,3-4,,,
103.28967,5,3-4,,,
103.85628,1,hj3,,,
103.85628,2,hj4,,,
103.85628,3,hj4,,,
103.85628,4,hj4,,,
103.85628,5,hj4,,,
104.52288,1,lp3,,,
104.52288,2,lp4,,,
104.52288,3,lp4,,,
104.52288,4,lp4,,,
104.52288,5,lp4,,,
105.38946,MOT_mc_stage_color_00,b-flash,,
105.38946,1,3-4,,,
105.38946,2,4-1,,,
105.38946,3,4-1,,,
105.38946,4,4-1,,,
105.38946,5,4-1,,,
105.85607999999999,MOT_mc_stage_color_00,b-flash,,
105.85607999999999,1,lp4,,,
105.85607999999999,2,lp1,,,
105.85607999999999,3,lp1,,,
105.85607999999999,4,lp1,,,
105.85607999999999,5,lp1,,,
107.42259,MOT_mc_stage_color_00,b-flash,,
107.42259,1,hj4,,,
107.42259,2,hj1,,,
107.42259,3,hj1,,,
107.42259,4,hj1,,,
107.42259,5,hj1,,,
108.08919,1,4-1,,,
108.08919,2,1-2,,,
108.08919,3,1-2,,,
108.08919,4,1-2,,,
108.08919,5,1-2,,,
108.78912,1,1-2,,,
108.78912,2,2-3,,,
108.78912,3,2-3,,,
108.78912,4,2-3,,,
108.78912,5,2-3,,,
109.28907,1,2-3,,,
109.28907,2,3-4,,,
109.28907,3,3-4,,,
109.28907,4,3-4,,,
109.28907,5,3-4,,,
110.05565999999999,1,3-4,,,
110.05565999999999,2,4-1,,,
110.05565999999999,3,4-1,,,
110.05565999999999,4,4-1,,,
110.05565999999999,5,4-1,,,
110.38896,1,lp4,,,
110.38896,2,lp1,,,
110.38896,3,lp1,,,
110.38896,4,lp1,,,
110.38896,5,lp1,,,
111.75549,MOT_mc_stage_color_00,b-flash,,
112.32209999999999,MOT_control_all,Alchemy_zoom08,,
112.32209999999999,MOT_mc_stage_color_00,b-flash,,
112.32209999999999,1,sj4,,,
112.32209999999999,4,sj1,,,
112.32209999999999,5,sj1,,,
112.32209999999999,2,sj1,,,
112.32209999999999,3,sj1,,,
112.82204999999999,5,w1,,,
112.82204999999999,4,w1,,,
112.82204999999999,3,w1,,,
112.82204999999999,2,w1,,,
112.82204999999999,1,4-1,,,
112.82204999999999,4,1-2,,,
112.82204999999999,5,1-2,,,
112.82204999999999,2,1-2,,,
112.82204999999999,3,1-2,,,
113.28867,1,hj1,,,
113.38866,2,hj2,,,
113.38866,3,hj2,,,
113.48864999999999,4,hj2,,,
113.48864999999999,5,hj2,,,
114.52188,1,w1,,,
114.62187,3,w2,,,
114.62187,2,w2,,,
114.72185999999999,5,w2,,,
114.72185999999999,4,w2,,,
115.28846999999999,MOT_mc_stage_color_00,b-flash,,
115.28846999999999,MOT_mc_light_up_00,l2,,
115.28846999999999,MOT_mc_light_center_00,off,,
115.28846999999999,1,,,,D60
115.28846999999999,2,,,,D60
115.28846999999999,3,,,,D60
115.28846999999999,4,,,,D60
115.28846999999999,5,,,,D60
