0.03333,MOT_mc_bg_black_00,seat100-0,,
3.0330299999999997,MOT_control_all,z0,,
3.0330299999999997,MOT_mc_back_00,in00,,
7.132619999999999,MOT_all,cut1,,
7.132619999999999,MOT_mc_stage_color_00,y-flash,,
7.132619999999999,MOT_mc_light_center_00,l1,,
7.132619999999999,MOT_mc_light_up_00,l1,,
7.132619999999999,MOT_mc_light_under_00,l1,,
7.132619999999999,MOT_control_all,z0_2,,
7.132619999999999,MOT_mc_light_up_00,l3_lp,,
7.132619999999999,MOT_mc_back_00,in01_2,,
136.95297,2,4-1,,,
136.95297,3,2-3,,,
137.21961,2,hj1,,,
137.21961,3,hj3,,,
137.71956,1,4-1,,f1,
137.71956,2,1-2,,f1,
137.71956,3,3-4,,f1,
138.01953,1,1-2,,,
138.01953,2,lp2,,,
138.01953,3,lp4,,,
138.28617,1,hj2,,,
138.65279999999998,2,j2-3,,,
138.65279999999998,3,j4-1,,,
139.15275,1,sp2-3,,,
139.15275,2,sp3-4,,,
139.15275,3,sp1-2,,,
139.91934,1,3-4,,f2,
139.91934,2,4-1,rw2,f2,
139.91934,3,2-3,lw2,f2,
140.28597,1,4-1,,,
140.28597,2,1-2,,,
140.28597,3,3-4,,,
140.41929,MOT_mc_stage_color_00,y-flash,,
141.21921,3,w4,,,
141.21921,2,w2,,,
141.21921,1,w1,,,
