0.03333,MOT_mc_bg_black_00,seat100-0,,
1.3998599999999999,MOT_mc_stage_color_00,b-flash,,
1.3998599999999999,MOT_mc_bg_black_00,b65-45,,
1.3998599999999999,MOT_mc_speaker_00,temp2,,
1.3998599999999999,MOT_mc_light_center_00,l1,,
1.3998599999999999,MOT_mc_light_under_00,l1,,
2.6664,MOT_mc_stage_color_00,y-flash,,
34.16325,3,w2,,,
34.39656,5,w2,,,
34.39656,4,w2,,,
34.76319,1,1-2,l1,,
35.36313,1,2-3,lb0,,
35.72976,2,j2-3,,,
35.96307,3,j2-3,,,
36.19638,4,j2-3,,,
36.296369999999996,1,w3,,,
36.39636,5,j2-3,,,
36.42969,1,3-4,,,
36.79632,2,w3,,,
36.9963,MOT_mc_stage_color_00,b-flash,,
36.9963,1,j4-1,,,
37.02963,3,w3,,,
37.26294,4,w3,,,
37.3296,2,j3-4,,,
37.3296,3,j3-4,,,
37.46292,5,w3,,,
37.62957,1,1-2,l1,,
37.929539999999996,MOT_mc_stage_color_00,b-y,,
37.929539999999996,4,j3-4,,,
37.929539999999996,5,j3-4,,,
38.22951,1,2-3,lb0,,
38.396159999999995,3,w4,,,
38.396159999999995,2,w4,,,
38.62947,2,j4-1,,,
38.62947,3,j4-1,,,
38.62947,4,j4-1,,,
38.62947,5,j4-1,,,
39.02943,1,sp3-4,,,
39.3294,MOT_mc_stage_color_00,y-flash,,
39.3294,2,j1-2,,,
39.69603,5,w1,,,
39.69603,4,w1,,,
39.69603,3,w1,,,
39.76269,3,j1-2,,,
40.19598,4,j1-2,,,
40.395959999999995,2,w2,,,
40.62927,5,j1-2,,,
40.829249999999995,3,w2,,,
41.09589,2,j2-3,,,
41.09589,3,j2-3,,,
41.09589,4,j2-3,,,
41.09589,5,j2-3,,,
41.09589,1,4-1,,,
41.42919,MOT_mc_stage_color_00,y-flash,,
41.42919,MOT_mc_bg_black_00,b45-20,,
41.42919,MOT_mc_light_center_00,l3,,
41.42919,MOT_mc_light_up_00,l4,,
41.42919,MOT_mc_light_under_00,l3,,
41.46252,1,j1-2,,,
42.029129999999995,MOT_mc_stage_color_00,b-flash,,
42.029129999999995,1,2-3,l1,,
42.16245,5,w3,,,
42.16245,4,w3,,,
42.16245,3,w3,,,
42.16245,2,w3,,,
42.62907,1,3-4,lb0,,
42.96237,2,j3-4,,,
42.96237,3,j3-4,,,
43.329,1,4-1,,,
43.662299999999995,4,j3-4,,,
43.662299999999995,5,j3-4,,,
44.028929999999995,3,w4,,,
44.028929999999995,2,w4,,,
44.09559,MOT_mc_stage_color_00,r-flash,,
44.09559,1,1-2,l1,,
44.72886,5,w4,,,
44.72886,4,w4,,,
44.76219,1,2-3,lb0,,
45.12882,1,j3-4,,,
45.46212,4,j4-1,,,
45.46212,5,j4-1,,,
45.82875,1,j4-1,,,
46.16205,2,j4-1,,,
46.16205,3,j4-1,,,
46.495349999999995,1,1-2,,,
46.52868,5,w1,,,
46.52868,4,w1,,,
47.16195,MOT_mc_stage_color_00,b-flash,,
47.16195,1,2-3,l1,,
47.228609999999996,3,w1,,,
47.228609999999996,2,w1,,,
47.661899999999996,1,3-4,lb0,,
48.29517,1,hj4,,,
49.06176,1,4-1,,,
49.42839,2,j1-2,,,
49.42839,3,j1-2,,,
49.661699999999996,4,j1-2,,,
49.661699999999996,5,j1-2,,,
49.79502,MOT_mc_stage_color_00,b-flash,,
49.79502,1,1-2,l1,,
50.494949999999996,3,w2,,,
50.494949999999996,2,w2,,,
50.528279999999995,MOT_mc_stage_color_00,r-flash,,
50.528279999999995,1,2-3,lb0,,
50.72826,5,w2,,,
50.72826,4,w2,,,
51.19488,MOT_mc_stage_color_00,b-flash,,
51.19488,1,3-4,r1,,
51.86148,1,4-1,rb0,,
52.161449999999995,2,j2-3,,,
52.161449999999995,3,j2-3,,,
52.36143,4,j2-3,,,
52.36143,5,j2-3,,,
52.79472,1,w1,,,
52.961369999999995,MOT_mc_stage_color_00,y-flash,,
52.961369999999995,1,j1-2,,,
53.22801,3,w3,,,
53.22801,2,w3,,,
53.427989999999994,5,w3,,,
53.427989999999994,4,w3,,,
53.52798,1,2-3,l1,,
54.02793,1,3-4,lb0,,
54.561209999999996,2,j3-4,,,
54.561209999999996,3,j3-4,,,
54.561209999999996,4,j3-4,,,
54.561209999999996,5,j3-4,,,
54.927839999999996,MOT_mc_stage_color_00,b-flash,,
54.927839999999996,1,j4-1,,,
55.52778,1,hj1,,,
55.62777,5,w4,,,
55.62777,4,w4,,,
55.62777,3,w4,,,
55.62777,2,w4,,,
56.227709999999995,1,1-2,r1,,
56.79432,1,2-3,rb0,,
57.427589999999995,1,j3-4,,,
57.6609,2,j4-1,,,
57.6609,3,j4-1,,,
57.9942,4,j4-1,,,
57.9942,5,j4-1,,,
58.49415,1,w4,,,
58.49415,MOT_mc_stage_color_00,b-flash,,
58.49415,1,4-1,l1,,
58.72746,3,w1,,,
58.72746,2,w1,,,
58.79412,2,j1-2,,,
59.060759999999995,5,w1,,,
59.060759999999995,4,w1,,,
59.060759999999995,1,1-2,l2,,
59.427389999999995,3,j1-2,,,
59.794019999999996,1,2-3,lb1,,
59.860679999999995,2,w2,,,
60.16065,4,j1-2,,,
60.49395,3,w2,,,
60.593939999999996,1,3-4,lb0,,
60.92724,5,j1-2,,,
61.22721,4,w2,,,
61.427189999999996,MOT_mc_stage_color_00,r-flash,,
61.427189999999996,1,j4-1,,,
61.9938,5,w2,,,
62.293769999999995,1,1-2,l1,,
62.627069999999996,2,j2-3,,,
62.627069999999996,3,j2-3,,,
62.96037,1,2-3,lb0,,
63.29367,4,j2-3,,,
63.29367,5,j2-3,,,
63.69363,3,w3,,,
63.69363,2,w3,,,
63.893609999999995,1,w3,,,
63.926939999999995,MOT_mc_stage_color_00,y-flash,,
63.926939999999995,2,lp3,,,
63.926939999999995,3,lp3,,,
63.926939999999995,4,lp3,,,
63.926939999999995,5,lp3,,,
63.926939999999995,1,3-4,l1,,
64.46021999999999,1,4-1,lb0,,
64.96016999999999,1,hj1,,,
65.82675,1,1-2,,,
66.66,1,2-3,l1,,
67.02663,1,3-4,lb0,,
67.95987,1,w4,,,
68.22650999999999,1,4-1,,,
68.59313999999999,1,sp1-2,,,
70.09299,1,2-3,,,
71.02623,1,w3,,,
71.22621,MOT_mc_stage_color_00,b-flash,,
71.22621,1,hj3,,,
71.82615,1,3-4,l1,,
72.45942,1,4-1,lb0,,
73.22601,1,sp1-2,,,
73.35933,2,j3-4,,,
73.62597,3,j3-4,,,
73.89260999999999,4,j3-4,,,
74.15925,5,j3-4,,,
74.42589,2,w4,,,
74.69252999999999,3,w4,,,
74.72586,2,lp4,,,
74.72586,3,lp4,,,
74.72586,4,lp4,,,
74.72586,5,lp4,,,
75.62577,1,2-3,r1,,
76.39236,1,3-4,rb0,,
77.15894999999999,1,4-1,,,
77.6589,2,4-1,,,
77.9922,3,j4-1,,,
78.09219,1,w1,,,
78.32549999999999,4,4-1,,,
78.32549999999999,5,4-1,,,
78.59214,2,w1,,,
78.79212,MOT_mc_stage_color_00,r-flash,,
78.79212,1,1-2,l1,,
79.05875999999999,3,w1,,,
79.25874,5,w1,,,
79.25874,4,w1,,,
79.29207,MOT_mc_stage_color_00,b-flash,,
79.29207,1,2-3,lb0,,
79.89201,1,3-4,r1,,
80.62527,1,4-1,rb0,,
80.95857,2,1-2,,,
80.95857,3,1-2,,,
80.95857,4,1-2,,,
80.95857,5,1-2,,,
81.39186,MOT_mc_stage_color_00,y-flash,,
81.39186,1,j1-2,,,
81.89180999999999,5,w2,,,
81.89180999999999,4,w2,,,
81.89180999999999,3,w2,,,
81.89180999999999,2,w2,,,
82.42509,MOT_mc_stage_color_00,b-flash,,
82.42509,1,2-3,l1,,
83.19167999999999,1,3-4,lb0,,
83.49164999999999,2,j2-3,,,
83.49164999999999,3,j2-3,,,
83.79162,1,4-1,r1,,
84.12492,4,j2-3,,,
84.12492,5,j2-3,,,
84.49154999999999,MOT_mc_stage_color_00,r-flash,,
84.49154999999999,1,1-2,r2,,
84.55821,3,w3,,,
84.55821,2,w3,,,
84.95817,1,2-3,rb1,,
85.19148,5,w3,,,
85.19148,4,w3,,,
85.65809999999999,1,j3-4,,,
86.39135999999999,1,4-1,,,
86.62467,2,j3-4,,,
86.62467,3,j3-4,,,
86.85798,4,j3-4,,,
86.85798,5,j3-4,,,
87.05796,MOT_mc_stage_color_00,b-flash,,
87.05796,1,1-2,r2,,
87.69122999999999,3,w4,,,
87.69122999999999,2,w4,,,
87.79122,1,2-3,rb1,,
87.92454,5,w4,,,
87.92454,4,w4,,,
88.62447,1,3-4,r2,,
89.25774,1,4-1,rb1,,
89.95767,MOT_mc_stage_color_00,b-flash,,
89.95767,1,1-2,rb0,,
90.79092,1,2-3,r1,,
91.55751,1,3-4,rb0,,
92.22411,1,4-1,,,
92.85737999999999,1,j1-2,,,
93.52398,1,j2-3,,,
93.55731,MOT_mc_stage_color_00,b-flash,,
94.09058999999999,1,3-4,,,
94.62387,1,4-1,l1,,
94.95716999999999,2,j4-1,,,
94.95716999999999,3,j4-1,,,
94.95716999999999,4,j4-1,,,
94.95716999999999,5,j4-1,,,
95.29047,1,1-2,lb0,,
95.92374,MOT_mc_stage_color_00,r-flash,,
95.92374,2,lp1,,,
95.92374,3,lp1,,,
95.92374,4,lp1,,,
95.92374,5,lp1,,,
95.92374,1,j2-3,,,
96.55700999999999,1,3-4,r1,,
97.12362,1,4-1,r2,,
97.82355,1,1-2,rb1,,
98.65679999999999,MOT_mc_stage_color_00,b-flash,,
98.65679999999999,1,2-3,rb0,,
99.22341,1,3-4,,,
99.72336,1,4-1,r1,,
100.25663999999999,1,1-2,rb0,,
101.18988,1,w2,,,
101.25654,MOT_mc_stage_color_00,b-flash,,
101.25654,1,2-3,l1,,
101.75649,1,3-4,lb0,,
102.22310999999999,1,j4-1,,,
102.85638,1,hj1,,,
104.08959,1,w1,,,
104.15625,MOT_mc_stage_color_00,b-flash,,
104.15625,1,1-2,l1,,
104.58954,1,2-3,lb0,,
105.42278999999999,1,3-4,,,
105.88941,1,sp4-1,,,
107.55591,1,1-2,,,
108.48915,1,w2,,,
108.55581,MOT_mc_stage_color_00,r-flash,,
108.55581,1,2-3,r1,,
109.02243,1,3-4,rb0,,
109.45572,1,4-1,,,
110.15565,1,sp1-2,,,
112.25544,1,lp2,,,
116.08838999999999,1,j2-3,,,
116.32169999999999,2,j1-2,,,
116.62167,3,j1-2,,,
116.92164,4,j1-2,,,
117.15495,1,w3,,,
117.22161,5,j1-2,,,
117.38825999999999,2,w2,,,
117.62156999999999,2,j2-3,,,
117.62156999999999,3,j2-3,,,
117.92154,4,j2-3,,,
117.92154,5,j2-3,,,
118.15485,1,3-4,,,
118.52148,MOT_mc_stage_color_00,b-flash,,
118.52148,MOT_mc_bg_black_00,b80-65,,
118.52148,MOT_mc_speaker_00,stay,,
118.52148,MOT_mc_light_up_00,l1,,
118.52148,MOT_mc_light_under_00,l1,,
118.52148,2,3-4,,,D60
118.52148,3,3-4,,,D60
118.52148,4,3-4,,,D60
118.52148,5,3-4,,,D60
118.52148,1,4-1,,b0,D60
119.45472,5,w4,,,
119.45472,4,w4,,,
119.45472,3,w4,,,
119.45472,2,w4,,,
119.45472,1,w1,,,
