0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_back_00,stay,,
0.03333,MOT_mc_special_02,stay,,
3.19968,MOT_mc_back_00,light1,,
3.19968,MOT_mc_special_02,light1,,
22.16445,3,4-1,,,
22.16445,4,4-1,,,
22.16445,5,4-1,,,
22.49775,1,3-4,,,
22.49775,2,1-2,,,
22.49775,3,1-2,,,
22.49775,4,1-2,,,
22.49775,5,1-2,,,
22.831049999999998,1,j4-1,,,
22.831049999999998,2,j2-3,,,
22.831049999999998,3,j2-3,,,
22.831049999999998,4,j2-3,,,
22.831049999999998,5,j2-3,,,
23.39766,4,3-4,,,
23.39766,5,3-4,,,
23.53098,2,3-4,,,
23.53098,3,3-4,,,
23.59764,1,1-2,,,
23.93094,1,j2-3,,,
23.93094,4,j4-1,,,
23.93094,5,j4-1,,,
24.09759,2,j4-1,,,
24.09759,3,j4-1,,,
24.96417,2,1-2,,,
24.96417,3,1-2,,,
24.9975,5,w1,,,
24.9975,4,w1,,,
24.9975,1,w3,,,
25.064159999999998,1,j3-4,,,
25.064159999999998,4,j1-2,,,
25.064159999999998,5,j1-2,,,
25.76409,1,4-1,,,
25.76409,2,2-3,,,
25.76409,3,2-3,,,
25.76409,4,2-3,,,
25.76409,5,2-3,,,
26.097389999999997,1,j1-2,,,
26.097389999999997,4,j3-4,,,
26.097389999999997,5,j3-4,,,
26.19738,2,3-4,,,
26.19738,3,3-4,,,
26.56401,1,j2-3,,,
26.56401,2,j4-1,,,
26.56401,3,j4-1,,,
26.56401,4,j4-1,,,
26.56401,5,j4-1,,,
27.063959999999998,1,3-4,,,
27.063959999999998,2,1-2,,,
27.063959999999998,3,1-2,,,
27.063959999999998,4,1-2,,,
27.063959999999998,5,1-2,,,
27.39726,1,4-1,,,
27.39726,2,2-3,,,
27.39726,3,2-3,,,
27.39726,4,2-3,,,
27.39726,5,2-3,,,
28.330499999999997,5,w3,,,
28.330499999999997,4,w3,,,
28.330499999999997,3,w3,,,
28.330499999999997,2,w3,,,
28.330499999999997,1,w1,,,
28.730459999999997,1,1-2,,,
28.730459999999997,2,3-4,,,
28.730459999999997,3,3-4,,,
28.730459999999997,4,3-4,,,
28.730459999999997,5,3-4,,,
29.06376,2,4-1,,,
29.06376,3,4-1,,,
29.23041,1,j2-3,,,
29.23041,4,j4-1,,,
29.23041,5,j4-1,,,
29.730359999999997,1,3-4,,,
29.730359999999997,2,1-2,,,
29.730359999999997,3,1-2,,,
29.730359999999997,4,1-2,,,
29.730359999999997,5,1-2,,,
30.6636,5,w2,,,
30.6636,4,w2,,,
30.6636,3,w2,,,
30.6636,2,w2,,,
30.6636,1,w4,,,
31.86348,2,2-3,,,
31.86348,3,2-3,,,
32.03013,1,4-1,,,
32.03013,4,2-3,,,
32.03013,5,2-3,,,
32.49675,1,j1-2,,,
32.49675,2,j3-4,,,
32.49675,3,j3-4,,,
32.49675,4,j3-4,,,
32.49675,5,j3-4,,,
32.9967,1,2-3,,,
32.9967,2,4-1,,,
32.9967,3,4-1,,,
32.9967,4,4-1,,,
32.9967,5,4-1,,,
33.33,1,3-4,,,
33.33,2,1-2,,,
33.33,3,1-2,,,
33.33,4,1-2,,,
33.33,5,1-2,,,
33.6633,1,4-1,,,
33.6633,2,2-3,,,
33.6633,3,2-3,,,
33.6633,4,2-3,,,
33.6633,5,2-3,,,
33.9966,2,j3-4,,,
33.9966,3,j3-4,,,
34.16325,1,j1-2,,,
34.16325,4,j3-4,,,
34.16325,5,j3-4,,,
35.063159999999996,3,w4,,,
35.063159999999996,2,w4,,,
35.129819999999995,1,j2-3,,,
35.129819999999995,4,j4-1,,,
35.129819999999995,5,j4-1,,,
35.39646,2,4-1,,,
35.39646,3,4-1,,,
36.19638,5,w1,,,
36.19638,4,w1,,,
36.19638,1,w3,,,
36.296369999999996,1,3-4,,,
36.296369999999996,2,1-2,,,
36.296369999999996,3,1-2,,,
36.296369999999996,4,1-2,,,
36.296369999999996,5,1-2,,,
36.663,1,4-1,,,
36.663,4,2-3,,,
36.663,5,2-3,,,
36.82965,2,j2-3,,,
36.82965,3,j2-3,,,
37.162949999999995,1,1-2,,,
37.162949999999995,2,3-4,,,
37.162949999999995,3,3-4,,,
37.162949999999995,4,3-4,,,
37.162949999999995,5,3-4,,,
37.529579999999996,1,j2-3,,,
37.529579999999996,2,j4-1,,,
37.529579999999996,3,j4-1,,,
37.529579999999996,4,j4-1,,,
37.529579999999996,5,j4-1,,,
38.49615,2,j1-2,,,
38.49615,3,j1-2,,,
38.59614,5,w1,,,
38.59614,4,w1,,,
38.59614,1,w3,,,
38.82945,1,3-4,,,
38.82945,2,2-3,,,
38.82945,3,2-3,,,
38.82945,4,1-2,,,
38.82945,5,1-2,,,
39.162749999999996,1,j4-1,,,
39.162749999999996,4,j2-3,,,
39.162749999999996,5,j2-3,,,
39.69603,1,1-2,,,
39.69603,2,3-4,,,
39.69603,3,3-4,,,
39.69603,4,3-4,,,
39.69603,5,3-4,,,
40.02933,1,j2-3,,,
40.02933,2,j4-1,,,
40.02933,3,j4-1,,,
40.02933,4,j4-1,,,
40.02933,5,j4-1,,,
40.52928,1,3-4,,,
40.52928,2,1-2,,,
40.52928,3,1-2,,,
40.52928,4,1-2,,,
40.52928,5,1-2,,,
40.89591,1,lp4,,,
40.89591,2,lp2,,,
40.89591,3,lp2,,,
40.89591,4,lp2,,,
40.89591,5,lp2,,,
42.16245,1,4-1,l1,,
42.16245,2,2-3,l2,,
42.16245,3,2-3,rb0,,
42.16245,4,2-3,l2,,
42.16245,5,2-3,rb0,,
42.69573,1,1-2,l2,,
42.69573,2,3-4,l3,,
42.69573,3,3-4,l1,,
42.69573,4,3-4,l3,,
42.69573,5,3-4,l1,,
43.09569,1,2-3,,,
43.09569,2,4-1,,,
43.09569,3,4-1,,,
43.09569,4,4-1,,,
43.09569,5,4-1,,,
43.42899,1,j3-4,,,
43.42899,2,j1-2,,,
43.42899,3,j1-2,,,
43.42899,4,j1-2,,,
43.42899,5,j1-2,,,
44.3289,1,4-1,,,
44.3289,2,2-3,,,
44.3289,3,2-3,,,
44.3289,4,2-3,,,
44.3289,5,2-3,,,
45.262139999999995,5,w3,,,
45.262139999999995,4,w3,,,
45.262139999999995,3,w3,,,
45.262139999999995,2,w3,,,
45.262139999999995,1,w1,,,
45.56211,1,1-2,lb1,,
45.56211,2,3-4,lb2,,
45.56211,3,3-4,lb0,,
45.56211,4,3-4,lb2,,
45.56211,5,3-4,lb0,,
46.095389999999995,1,2-3,lb0,,
46.095389999999995,2,4-1,lb1,,
46.095389999999995,3,4-1,r1,,
46.095389999999995,4,4-1,lb1,,
46.095389999999995,5,4-1,r1,,
46.428689999999996,2,1-2,,,
46.428689999999996,3,1-2,,,
46.62867,5,1-2,,,
46.62867,4,1-2,,,
46.62867,1,3-4,,,
46.9953,1,4-1,,,
46.9953,2,2-3,,,
46.9953,3,2-3,,,
46.9953,4,2-3,,,
46.9953,5,2-3,,,
47.328599999999994,1,1-2,,,
47.328599999999994,2,3-4,,,
47.328599999999994,3,3-4,,,
47.328599999999994,4,3-4,,,
47.328599999999994,5,3-4,,,
47.661899999999996,1,j2-3,,,
47.661899999999996,2,j4-1,,,
47.661899999999996,3,j4-1,,,
47.661899999999996,4,j4-1,,,
47.661899999999996,5,j4-1,,,
48.62847,MOT_all,S_cut2,,
48.72846,5,w1,,,
48.72846,4,w1,,,
48.72846,3,w1,,,
48.72846,2,w1,,,
48.72846,1,w3,,,
48.861779999999996,MOT_control_all,S_1a_03,,
48.861779999999996,1,j3-4,,,
49.56171,1,4-1,,,
50.39496,1,j1-2,l1,,
50.894909999999996,1,2-3,l2,,
51.22821,1,j3-4,,,
51.761489999999995,1,4-1,,,
52.128119999999996,2,w1,,,
52.128119999999996,3,w1,,,
52.128119999999996,4,w1,,,
52.128119999999996,5,w1,,,
52.69473,1,w1,,,
52.79472,1,1-2,,,
53.12802,1,2-3,,,
53.6613,1,j3-4,,,
54.227909999999994,1,4-1,,,
54.561209999999996,1,1-2,,,
54.927839999999996,1,j2-3,,,
55.6611,MOT_control_all,S_1a_04,,
55.9944,1,w3,,,
56.29437,1,3-4,,,
56.960969999999996,1,4-1,,,
57.3276,1,1-2,,,
57.6609,1,j2-3,,,
58.160849999999996,1,3-4,,,
58.49415,1,4-1,,,
59.427389999999995,1,w1,,,
59.56071,1,1-2,lb1,,
59.894009999999994,1,2-3,lb0,,
60.260639999999995,1,3-4,,,
61.19388,1,w4,,,
61.22721,1,j4-1,,,
61.460519999999995,MOT_all,S_cut3,,
61.927139999999994,MOT_control_all,S_1a_05,,
62.19378,1,1-2,,,
62.19378,2,1-2,,,
62.19378,3,1-2,,,
62.19378,4,1-2,,,
62.19378,5,1-2,,,
62.52708,1,2-3,,,
62.693729999999995,2,2-3,,,
62.693729999999995,3,2-3,,,
62.86038,4,2-3,,,
62.86038,5,2-3,,,
63.26034,4,3-4,,,
63.26034,5,3-4,,,
63.26034,1,3-4,,,
63.59364,2,3-4,,,
63.59364,3,3-4,,,
63.960269999999994,1,4-1,,,
63.960269999999994,2,4-1,,,
63.960269999999994,3,4-1,,,
63.960269999999994,4,4-1,,,
63.960269999999994,5,4-1,,,
64.29357,1,j1-2,,,
64.49355,2,j1-2,,,
64.49355,3,j1-2,,,
64.62687,4,j1-2,,,
64.62687,5,j1-2,,,
65.36013,1,w2,,,
65.56011,3,w2,,,
65.56011,2,w2,,,
65.62677,4,j2-3,,,
65.62677,5,j2-3,,,
65.62677,1,j2-3,,,
65.82675,3,j2-3,,,
65.82675,2,j2-3,,,
66.36003,3,j3-4,,,
66.36003,2,j3-4,,,
66.52668,4,j3-4,,,
66.52668,5,j3-4,,,
66.52668,1,j3-4,,,
67.02663,4,4-1,,,
67.02663,5,4-1,,,
67.12662,2,4-1,,,
67.12662,3,4-1,,,
67.22661,1,4-1,,,
67.69323,1,j1-2,,,
67.69323,2,j1-2,,,
67.69323,3,j1-2,,,
67.69323,4,j1-2,,,
67.69323,5,j1-2,,,
68.39316,4,2-3,,,
68.39316,5,2-3,,,
68.39316,1,2-3,,,
68.75979,3,w2,,,
68.75979,2,w2,,,
68.79312,2,j2-3,,,
68.79312,3,j2-3,,,
69.29307,2,3-4,,,
69.29307,3,3-4,,,
69.32639999999999,5,w3,,,
69.32639999999999,4,w3,,,
69.32639999999999,1,w3,,,
69.62637,4,j3-4,,,
69.62637,5,j3-4,,,
69.62637,1,j3-4,,,
70.22631,3,w4,,,
70.22631,2,w4,,,
70.22631,4,4-1,,,
70.22631,5,4-1,,,
70.22631,1,4-1,,,
70.62626999999999,2,j4-1,,,
70.62626999999999,3,j4-1,,,
71.15955,5,w1,,,
71.15955,4,w1,,,
71.15955,1,w1,,,
71.15955,2,1-2,,,
71.15955,3,1-2,,,
71.39286,4,j1-2,,,
71.39286,5,j1-2,,,
71.39286,1,j1-2,,,
72.09279,3,w2,,,
72.09279,2,w2,,,
72.45942,5,w2,,,
72.45942,4,w2,,,
72.45942,1,w2,,,
72.59273999999999,2,2-3,lb0,,
72.59273999999999,3,2-3,rb0,,
72.75939,1,2-3,,,
72.75939,4,2-3,lb0,,
72.75939,5,2-3,rb0,,
73.39265999999999,1,3-4,,,
73.39265999999999,2,3-4,,,
73.39265999999999,3,3-4,,,
73.39265999999999,4,3-4,,,
73.39265999999999,5,3-4,,,
73.95927,1,4-1,,,
73.95927,2,4-1,,,
73.95927,3,4-1,,,
73.95927,4,4-1,,,
73.95927,5,4-1,,,
74.29257,1,1-2,,,
74.29257,2,1-2,,,
74.29257,3,1-2,,,
74.29257,4,1-2,,,
74.29257,5,1-2,,,
74.69252999999999,1,j2-3,,,
74.69252999999999,2,j2-3,,,
74.69252999999999,3,j2-3,,,
74.69252999999999,4,j2-3,,,
74.69252999999999,5,j2-3,,,
74.72586,MOT_all,S_cut4,,
75.15915,MOT_control_all,S_1a_06,,
75.15915,MOT_mc_back_00,light,,
75.19248,1,3-4,,f2,
75.75909,5,w3,,,
75.75909,4,w3,,,
75.75909,3,w3,,,
75.75909,2,w3,,,
75.95907,1,4-1,,,
75.95907,2,3-4,,,
75.95907,3,3-4,,,
75.95907,4,3-4,,,
75.95907,5,3-4,,,
76.29236999999999,1,1-2,,,
76.45902,2,4-1,,,
76.45902,3,4-1,,,
76.62567,4,4-1,,,
76.62567,5,4-1,,,
77.02562999999999,4,1-2,,,
77.02562999999999,5,1-2,,,
77.02562999999999,1,2-3,,,
77.35893,2,1-2,,,
77.35893,3,1-2,,,
77.72556,1,j3-4,,,
77.92554,2,j2-3,,,
77.92554,3,j2-3,,,
77.95886999999999,5,w2,,,
77.95886999999999,4,w2,,,
78.05886,4,j2-3,,,
78.05886,5,j2-3,,,
78.79212,1,w4,,,
78.9921,3,w3,,,
78.9921,2,w3,,,
79.12541999999999,5,w3,,,
79.12541999999999,4,w3,,,
79.39206,4,j3-4,,,
79.39206,5,j3-4,,,
79.39206,1,j4-1,,,
79.59204,3,j3-4,,,
79.59204,2,j3-4,,,
80.12532,3,j4-1,,,
80.12532,2,j4-1,,,
80.29196999999999,4,j4-1,,,
80.29196999999999,5,j4-1,,,
80.29196999999999,1,j1-2,,,
80.79191999999999,1,2-3,,,
80.79191999999999,2,1-2,,,
80.79191999999999,3,1-2,,,
80.79191999999999,4,1-2,,,
80.79191999999999,5,1-2,,,
81.25854,4,2-3,,,
81.25854,5,2-3,,,
81.35853,2,2-3,,,
81.35853,3,2-3,,,
81.45852,1,3-4,,,
82.15845,4,3-4,,,
82.15845,5,3-4,,,
82.15845,1,4-1,,,
82.29177,3,w3,,,
82.29177,2,w3,,,
82.55841,2,j3-4,,,
82.55841,3,j3-4,,,
83.05836,2,4-1,,,
83.05836,3,4-1,,,
83.09169,5,w4,,,
83.09169,4,w4,,,
83.09169,1,w1,,,
83.45832,4,j4-1,,,
83.45832,5,j4-1,,,
83.45832,1,j1-2,,,
83.99159999999999,3,w1,,,
83.99159999999999,2,w1,,,
83.99159999999999,4,1-2,l1,,
83.99159999999999,5,1-2,r1,,
83.99159999999999,1,2-3,,,
84.39156,2,j1-2,,,
84.39156,3,j1-2,,,
84.89151,2,2-3,l1,,
84.89151,3,2-3,r1,,
84.92484,5,w2,,,
84.92484,4,w2,,,
84.92484,1,w3,,,
85.29146999999999,4,j2-3,,,
85.29146999999999,5,j2-3,,,
85.29146999999999,1,j3-4,,,
85.82475,3,w3,,,
85.82475,2,w3,,,
86.02472999999999,2,3-4,lb0,,
86.02472999999999,3,3-4,rb0,,
86.19138,1,4-1,,,
86.19138,4,3-4,lb0,,
86.19138,5,3-4,rb0,,
86.82464999999999,1,1-2,,,
86.82464999999999,2,4-1,,,
86.82464999999999,3,4-1,,,
86.82464999999999,4,4-1,,,
86.82464999999999,5,4-1,,,
87.39126,1,j2-3,,,
87.39126,2,j1-2,,,
87.39126,3,j1-2,,,
87.39126,4,j1-2,,,
87.39126,5,j1-2,,,
87.99119999999999,1,3-4,,,
87.99119999999999,4,2-3,,,
87.99119999999999,5,2-3,,,
88.19118,3,2-3,,,
88.19118,2,2-3,,,
88.52448,1,j4-1,,,
88.52448,2,j3-4,,,
88.52448,3,j3-4,,,
88.52448,4,j3-4,,,
88.52448,5,j3-4,,,
89.42439,4,j4-1,,,
89.42439,5,j4-1,,,
89.59103999999999,3,w4,,,
89.59103999999999,1,w1,,,
89.59103999999999,2,w4,,,
89.991,2,j4-1,,,
89.991,3,j4-1,,,
90.42429,1,j1-2,,,
90.49095,5,w1,,,
90.49095,4,w1,,,
90.62427,2,1-2,,,
90.62427,3,1-2,,,
90.72426,4,1-2,,,
90.72426,5,1-2,,,
91.05756,1,2-3,,,
91.05756,2,2-3,,,
91.05756,3,2-3,,,
91.05756,4,2-3,,,
91.05756,5,2-3,,,
91.39085999999999,1,lp3,,,
91.39085999999999,2,lp3,,,
91.39085999999999,3,lp3,,,
91.39085999999999,4,lp3,,,
91.39085999999999,5,lp3,,,
91.79082,1,j3-4,,,
92.29077,1,4-1,,,
92.69073,1,j1-2,,,
92.69073,2,j3-4,,,
92.69073,3,j3-4,,,
92.69073,4,j3-4,,,
92.69073,5,j3-4,,,
93.19068,4,4-1,,,
93.19068,5,4-1,,,
93.324,2,4-1,,,
93.324,3,4-1,,,
93.45732,1,2-3,,,
93.85728,1,j3-4,,,
93.85728,2,j1-2,,,
93.85728,3,j1-2,,,
93.85728,4,j1-2,,,
93.85728,5,j1-2,,,
94.35723,1,4-1,,,
94.35723,2,2-3,,,
94.35723,3,2-3,,,
94.35723,4,2-3,,,
94.35723,5,2-3,,,
94.69053,1,1-2,,,
94.92384,2,3-4,,,
94.92384,3,3-4,,,
95.05716,4,3-4,,,
95.05716,5,3-4,,,
95.39045999999999,1,j2-3,,,
95.39045999999999,2,j4-1,,,
95.39045999999999,3,j4-1,,,
95.39045999999999,4,j4-1,,,
95.39045999999999,5,j4-1,,,
96.15705,2,j1-2,,,
96.15705,3,j1-2,,,
96.35703,1,j3-4,,,
96.35703,4,j1-2,,,
96.35703,5,j1-2,,,
97.22361,3,w2,,,
97.22361,2,w2,,,
97.25694,1,4-1,,,
97.25694,2,2-3,,,
97.25694,3,2-3,,,
97.25694,4,2-3,,,
97.25694,5,2-3,,,
97.59024,1,1-2,,,
97.59024,2,3-4,,,
97.59024,3,3-4,,,
97.59024,4,3-4,,,
97.59024,5,3-4,,,
98.52347999999999,5,w4,,,
98.52347999999999,4,w4,,,
98.52347999999999,3,w4,,,
98.52347999999999,1,w2,,,
98.52347999999999,2,w4,,,
98.55681,MOT_control_all,S_1a_07,,
98.65679999999999,1,2-3,,,
98.65679999999999,2,4-1,,,
98.65679999999999,3,4-1,,,
98.65679999999999,4,4-1,,,
98.65679999999999,5,4-1,,,
99.05676,1,j3-4,,,
99.05676,2,j1-2,,,
99.05676,3,j1-2,,,
99.05676,4,j1-2,,,
99.05676,5,j1-2,,,
99.55671,1,4-1,,,
99.89000999999999,1,j1-2,,,
100.12331999999999,5,w2,,,
100.12331999999999,4,w2,,,
100.12331999999999,3,w2,,,
100.12331999999999,2,w2,,,
100.15665,2,j2-3,,,
100.15665,3,j2-3,,,
100.78992,1,j2-3,,,
100.78992,4,j2-3,,,
100.78992,5,j2-3,,,
101.22321,3,w3,,,
101.22321,2,w3,,,
101.35652999999999,2,j3-4,,,
101.35652999999999,3,j3-4,,,
101.85647999999999,5,w3,,,
101.85647999999999,4,w3,,,
101.85647999999999,1,w3,,,
102.08979,1,3-4,,,
102.08979,2,4-1,,,
102.08979,3,4-1,,,
102.08979,4,3-4,,,
102.08979,5,3-4,,,
102.48975,1,j4-1,,,
102.48975,2,j1-2,,,
102.48975,3,j1-2,,,
102.48975,4,j4-1,,,
102.48975,5,j4-1,,,
102.9897,1,1-2,,,
103.55631,5,w1,,,
103.55631,4,w1,,,
103.55631,3,w2,,,
103.55631,2,w2,,,
103.58963999999999,2,j2-3,,,
103.58963999999999,3,j2-3,,,
103.92294,1,w2,,,
104.22291,1,j2-3,,,
104.22291,4,j1-2,,,
104.22291,5,j1-2,,,
104.6562,3,w3,,,
104.6562,2,w3,,,
104.78952,2,j3-4,,,
104.78952,3,j3-4,,,
105.28947,5,w2,,,
105.28947,4,w2,,,
105.28947,1,w3,,,
105.42278999999999,1,3-4,,,
105.75609,1,j4-1,,,
105.85607999999999,3,w4,,,
105.85607999999999,2,w4,,,
106.3227,1,1-2,,,
106.92264,2,j4-1,,,
106.92264,3,j4-1,,,
107.25594,1,w2,,,
107.55591,1,j2-3,,,
107.55591,4,j2-3,,,
107.55591,5,j2-3,,,
107.9892,3,w1,,,
107.9892,2,w1,,,
108.12252,2,j1-2,,,
108.12252,3,j1-2,,,
108.62246999999999,5,w3,,,
108.62246999999999,4,w3,,,
108.62246999999999,1,w3,,,
109.02243,1,3-4,,,
109.18907999999999,3,w2,,,
109.18907999999999,2,w2,,,
109.35573,1,4-1,,,
109.68902999999999,2,j2-3,,,
109.68902999999999,3,j2-3,,,
110.28896999999999,1,w1,,,
110.3223,4,j3-4,,,
110.3223,5,j3-4,,,
110.42228999999999,1,j1-2,,,
110.75559,3,w3,,,
110.75559,2,w3,,,
110.88891,2,j3-4,,,
110.88891,3,j3-4,,,
111.12222,1,2-3,,,
111.38886,5,w4,,,
111.38886,4,w4,,,
111.45551999999999,1,j3-4,,,
111.88880999999999,2,j4-1,,,
111.88880999999999,3,j4-1,,,
112.42209,1,j4-1,,,
112.58874,4,j4-1,,,
112.58874,5,j4-1,,,
112.92204,1,1-2,,,
112.95537,3,w1,,,
112.95537,2,w1,,,
113.08869,2,j1-2,,,
113.08869,3,j1-2,,,
113.25533999999999,1,2-3,,,
113.6553,5,w1,,,
113.6553,4,w1,,,
114.15525,3,w2,,,
114.15525,2,w2,,,
114.18858,1,w3,,,
114.48854999999999,1,j3-4,,,
114.75519,MOT_control_all,S_1a_08,,
114.9885,1,4-1,,,
115.3218,1,1-2,,,
116.15504999999999,1,hj2,,,
116.82164999999999,1,j2-3,,,
117.32159999999999,1,3-4,,,
117.32159999999999,2,2-3,,,
117.32159999999999,3,2-3,,,
117.32159999999999,4,1-2,,,
117.32159999999999,5,1-2,,,
117.6549,1,sp4-1,,,
117.6549,2,sp3-4,,,
117.6549,3,sp3-4,,,
117.6549,4,sp2-3,,,
117.6549,5,sp2-3,,,
120.65459999999999,1,j1-2,,,
120.65459999999999,2,j4-1,,,
120.65459999999999,3,j4-1,,,
121.18787999999999,1,j2-3,,,
121.18787999999999,4,j3-4,,,
121.18787999999999,5,j3-4,,,
121.68782999999999,1,j3-4,,,
121.68782999999999,2,j1-2,,,
121.68782999999999,3,j1-2,,,
122.25443999999999,5,w4,,,
122.25443999999999,4,w4,,,
122.48774999999999,1,j4-1,,,
122.48774999999999,2,j2-3,,,
122.48774999999999,3,j2-3,,,
123.02103,1,j1-2,,,
123.02103,4,j4-1,,,
123.02103,5,j4-1,,,
123.52098,1,j2-3,,,
123.52098,2,j3-4,,,
123.52098,3,j3-4,,,
124.08758999999999,5,w1,,,
124.08758999999999,4,w1,,,
124.55421,1,j3-4,,,
124.55421,2,j4-1,,,
124.55421,3,j4-1,,,
125.08748999999999,1,j4-1,,,
125.08748999999999,4,j1-2,,,
125.08748999999999,5,j1-2,,,
125.58744,1,j1-2,,,
125.58744,2,j1-2,,,
125.58744,3,j1-2,,,
126.15405,5,w2,,,
126.15405,4,w2,,,
126.52068,1,j2-3,,,
126.52068,2,j2-3,,,
126.52068,3,j2-3,,,
127.05395999999999,1,j3-4,,,
127.05395999999999,4,j2-3,,,
127.05395999999999,5,j2-3,,,
127.55390999999999,1,j4-1,,,
127.55390999999999,2,j3-4,,,
127.55390999999999,3,j3-4,,,
128.12052,5,w3,,,
128.12052,4,w3,,,
128.35383,1,j1-2,,,
128.35383,2,j4-1,,,
128.35383,3,j4-1,,,
128.88711,1,j2-3,,,
128.88711,4,j3-4,,,
128.88711,5,j3-4,,,
129.38706,1,j3-4,,,
129.38706,2,j1-2,,,
129.38706,3,j1-2,,,
129.95367,5,w4,,,
129.95367,4,w4,,,
130.25364,1,j4-1,,,
130.25364,2,j2-3,,,
130.25364,3,j2-3,,,
130.78691999999998,1,j1-2,,,
130.78691999999998,4,j4-1,,,
130.78691999999998,5,j4-1,,,
131.28687,1,sp2-3,,,
131.28687,2,sp3-4,,,
131.28687,3,sp3-4,,,
131.28687,4,sp1-2,,,
131.28687,5,sp1-2,,,
133.48665,1,j3-4,,,
133.48665,2,j4-1,,,
133.48665,3,j4-1,,,
133.48665,4,j2-3,,,
133.48665,5,j2-3,,,
133.51998,MOT_control_all,S_1a_09,,
134.55321,5,w3,,,
134.55321,4,w3,,,
134.55321,3,w1,,,
134.55321,1,w4,,,
134.55321,2,w1,,,
134.75319,MOT_all,S_cut5,,
