0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_light_under_00,l1,,
0.03333,MOT_mc_light_up_00,l1,,
0.03333,MOT_mc_special_01,lp1,,
20.76459,MOT_control_all,zoom00_1,,
20.89791,1,4-1,,,
20.89791,2,1-2,rb1,,
20.89791,3,1-2,lb1,,
20.89791,4,1-2,rb1,,
20.89791,5,1-2,lb1,,
21.397859999999998,1,lp1,,,
21.397859999999998,2,lp2,,,
21.397859999999998,3,lp2,,,
21.397859999999998,4,lp2,,,
21.397859999999998,5,lp2,,,
22.197779999999998,1,1-2,,,
22.197779999999998,2,2-3,rb0,,
22.197779999999998,3,2-3,lb0,,
22.197779999999998,4,2-3,rb0,,
22.197779999999998,5,2-3,lb0,,
22.831049999999998,1,2-3,r1,,
22.831049999999998,2,3-4,r1,,
22.831049999999998,3,3-4,r1,,
22.831049999999998,4,3-4,r1,,
22.831049999999998,5,3-4,r1,,
23.56431,1,,r2,,
23.56431,2,,r2,,
23.56431,3,,r2,,
23.56431,4,,r2,,
23.56431,5,,r2,,
23.76429,5,w4,,,
23.76429,4,w4,,,
23.76429,3,w4,,,
23.76429,2,w4,,,
23.76429,1,w3,,,
24.29757,1,3-4,rb1,,
24.29757,2,4-1,rb1,,
24.29757,3,4-1,rb1,,
24.29757,4,4-1,rb1,,
24.29757,5,4-1,rb1,,
25.030829999999998,1,,rb0,,
25.030829999999998,2,,rb0,,
25.030829999999998,3,,rb0,,
25.030829999999998,4,,rb0,,
25.030829999999998,5,,rb0,,
25.230809999999998,5,w1,,,
25.230809999999998,4,w1,,,
25.230809999999998,3,w1,,,
25.230809999999998,2,w1,,,
25.230809999999998,1,w4,,,
25.73076,1,4-1,l1,,
25.73076,2,1-2,l1,,
25.73076,3,1-2,l1,,
25.73076,4,1-2,l1,,
25.73076,5,1-2,l1,,
26.464019999999998,1,,l2,,
26.464019999999998,2,,l2,,
26.464019999999998,3,,l2,,
26.464019999999998,4,,l2,,
26.464019999999998,5,,l2,,
26.663999999999998,5,w2,,,
26.663999999999998,4,w2,,,
26.663999999999998,3,w2,,,
26.663999999999998,2,w2,,,
26.663999999999998,1,w1,,,
26.863979999999998,1,lp1,,,
26.863979999999998,2,lp2,,,
26.863979999999998,3,lp2,,,
26.863979999999998,4,lp2,,,
26.863979999999998,5,lp2,,,
27.76389,1,1-2,lb1,,
27.76389,2,2-3,lb1,,
27.76389,3,2-3,lb1,,
27.76389,4,2-3,lb1,,
27.76389,5,2-3,lb1,,
28.23051,1,lp2,,,
28.23051,2,lp3,,,
28.23051,3,lp3,,,
28.23051,4,lp3,,,
28.23051,5,lp3,,,
28.6638,1,2-3,,,
29.26374,1,,lb0,,
29.26374,2,,lb0,,
29.26374,3,,lb0,,
29.26374,4,,lb0,,
29.26374,5,,lb0,,
29.59704,1,w3,,,
30.096989999999998,1,3-4,,,
30.19698,2,3-4,,,
30.19698,3,3-4,,,
30.296969999999998,5,3-4,,,
30.296969999999998,4,3-4,,,
30.69693,1,sj4,,,
30.69693,5,sj4,,,
30.69693,4,sj4,,,
30.86358,2,sj4,,,
30.86358,3,sj4,,,
31.19688,5,w4,,,
31.19688,4,w4,,,
31.19688,1,w4,,,
31.363529999999997,3,w4,,,
31.363529999999997,2,w4,,,
31.363529999999997,1,4-1,,,
31.363529999999997,5,4-1,,,
31.363529999999997,4,4-1,,,
31.363529999999997,MOT_all,cut02,,
31.69683,2,4-1,,,
31.69683,3,4-1,,,
32.19678,MOT_mc_bg_black_00,b20-00,,
32.19678,MOT_mc_light_up_00,l2,,
32.19678,MOT_control_all,zoom02,,
32.19678,1,lp1,,,
32.19678,2,lp1,,,
32.19678,3,lp1,,,
32.19678,4,lp1,,,
32.19678,5,lp1,,,
32.93004,1,w1,,,D20
32.93004,2,w1,,,D20
32.93004,4,w1,,,D20
32.93004,5,w1,,,D20
32.93004,3,1-2,,f1,
33.063359999999996,1,,,,D40
33.063359999999996,2,,,,D40
33.063359999999996,4,,,,D40
33.063359999999996,5,,,,D40
33.863279999999996,3,w2,,,
33.896609999999995,3,2-3,,,
34.329899999999995,3,j3-4,,,
35.39646,3,w4,,,
35.79642,3,sj4,,,
36.16305,3,j4-1,,,
36.59634,3,sj1,,,
36.96297,3,j1-2,,,
37.3296,3,sj2,,,
37.69623,3,j2-3,,,
37.69623,2,,,,L0
38.09619,3,lp3,,,
39.196079999999995,3,3-4,,b0,
39.196079999999995,2,1-2,,f1,
40.12932,3,w4,,,
40.12932,2,2-3,,,
40.52928,2,j3-4,,,
41.39586,2,sj4,,,
41.82915,2,j4-1,,,
42.26244,2,sj1,,,
42.69573,2,j1-2,,,
43.12902,2,j2-3,,,
43.72896,MOT_control_all,zoom03,,
43.72896,4,sj1,,,
43.72896,2,hj3,,,
44.12892,4,j1-2,,,
44.56221,2,lp3,,,
44.59554,4,sj2,,,
44.862179999999995,2,3-4,,b0,
44.862179999999995,4,2-3,,f1,L0
45.36213,4,3-4,r1,,
45.79542,2,w4,,,
45.82875,4,,r2,,
46.26204,4,j4-1,,,
46.895309999999995,4,sp1-2,,,
47.82855,4,sj2,,,
48.22851,4,2-3,rb1,,
48.56181,4,,rb0,,
48.928439999999995,4,lp3,,,
49.261739999999996,MOT_control_all,zoom04,,
49.295069999999996,5,,,,L0
49.42839,1,1-2,,,
49.42839,2,4-1,,,
49.42839,3,4-1,,,
49.42839,5,1-2,,,
49.761689999999994,4,j3-4,,,
49.96167,1,2-3,,,
49.96167,2,1-2,,,
49.96167,3,1-2,,,
49.96167,5,2-3,,,
50.29497,4,4-1,,b0,
50.29497,5,3-4,,f1,
50.79492,5,j4-1,,,
50.894909999999996,3,w2,,,
50.894909999999996,2,w2,,,
50.894909999999996,1,w3,,,
51.22821,4,w1,,,
51.361529999999995,5,1-2,l1,,
51.82815,5,hj2,,,
52.62807,5,sp2-3,,,
53.49465,5,sj3,,,
53.9946,5,w3,,,
54.06126,5,3-4,,,
54.42789,MOT_control_all,zoom05,,
54.76119,5,j4-1,,,
55.361129999999996,4,1-2,,,
55.361129999999996,2,2-3,,,
55.361129999999996,3,2-3,,,
55.361129999999996,5,1-2,,b0,
55.361129999999996,1,3-4,,f1,L0
55.794419999999995,1,4-1,,,
56.29437,5,w2,,,
56.29437,4,w2,,,
56.29437,3,w3,,,
56.29437,2,w3,,,
56.3277,4,sj2,,,
56.3277,2,sj3,,,
56.3277,3,sj3,,,
56.3277,5,sj2,,,
56.36103,1,j1-2,,,
56.79432,4,j2-3,,,
56.79432,2,j3-4,,,
56.79432,3,j3-4,,,
56.79432,5,j2-3,,,
56.960969999999996,1,j2-3,,,
57.56091,1,3-4,,,
57.760889999999996,4,sj3,,,
57.760889999999996,2,sj4,,,
57.760889999999996,3,sj4,,,
57.760889999999996,5,sj3,,,
58.06086,1,4-1,,,
58.194179999999996,4,j3-4,,,
58.194179999999996,2,j4-1,,,
58.194179999999996,3,j4-1,,,
58.194179999999996,5,j3-4,,,
58.46082,1,sp1-2,,,
59.22741,4,j4-1,,,
59.22741,2,j1-2,,,
59.22741,3,j1-2,,,
59.22741,5,j4-1,,,
59.29407,1,sj2,,,
59.794019999999996,1,2-3,,,
60.293969999999995,5,w1,,,
60.293969999999995,4,w1,,,
60.293969999999995,3,w2,,,
60.293969999999995,2,w2,,,
60.42729,1,3-4,,,
60.52728,2,2-3,,,
60.52728,3,2-3,,,
60.693929999999995,5,1-2,,,
60.693929999999995,4,1-2,,,
60.92724,1,lp4,,,
61.3272,MOT_control_all,zoom06,,
61.460519999999995,3,w3,,,
61.460519999999995,2,w3,,,
61.59384,1,4-1,,b0,
61.59384,3,3-4,,f1,
61.59384,5,2-3,,f1,
61.62717,4,w2,,,
62.16045,3,4-1,,,
62.16045,5,3-4,,,
62.52708,1,w1,,,
62.660399999999996,3,1-2,r1,,
62.660399999999996,5,4-1,l2,,
63.160349999999994,3,,r2,,
63.160349999999994,5,,l3,,
63.59364,5,w1,,,
63.59364,3,w2,,,
63.62697,3,2-3,rb1,,
63.62697,5,1-2,lb2,,
63.9936,3,,rb0,,
63.9936,5,,lb1,,
64.3269,3,3-4,,b0,
64.3269,5,2-3,,b0,
64.3269,2,3-4,,f1,
64.3269,4,2-3,,f1,
64.76019,2,4-1,l1,,
64.76019,4,3-4,r1,,
65.22681,2,sp1-2,,,
65.22681,4,sp4-1,,,
65.26013999999999,5,w3,,,
65.26013999999999,3,w4,,,
65.76008999999999,2,sj2,,,
65.76008999999999,4,sj1,,,
66.16005,2,,lb0,,
66.16005,4,,rb0,,
66.22671,MOT_control_all,zoom07,,
66.26004,4,w1,,,
66.26004,2,w2,,,
66.75999,2,sj2,,,
66.75999,3,sj4,,,
66.75999,5,sj3,,,
66.75999,4,sj1,,,
66.75999,2,2-3,,b0,
66.75999,4,1-2,,b0,
66.75999,1,1-2,,f1,
67.25994,5,w3,,,
67.25994,3,w4,,,
67.45992,2,j3-4,,,
67.45992,3,j4-1,,,
67.45992,5,j3-4,,,
67.45992,4,j2-3,,,
67.45992,1,j2-3,,,
67.9932,1,3-4,l1,,
68.19318,2,sj4,,,
68.19318,3,sj1,,,
68.19318,5,sj4,,,
68.19318,4,sj3,,,
68.39316,1,sp4-1,,,
68.69313,5,w4,,,
68.69313,4,w3,,,
68.69313,3,w1,,,
68.69313,2,w4,,,
68.82645,2,j4-1,,,
68.82645,3,j1-2,,,
68.82645,5,j4-1,,,
68.82645,4,j3-4,,,
68.95976999999999,1,sj1,,,
69.45971999999999,1,w1,,,
69.55971,2,sj1,,,
69.55971,3,sj2,,,
69.55971,5,sj1,,,
69.55971,4,sj4,,,
69.59304,1,,lb0,,
70.02633,1,1-2,,,
70.05966,5,w1,,,
70.05966,4,w4,,,
70.05966,3,w2,,,
70.05966,2,w1,,,
70.19297999999999,2,j1-2,,,
70.19297999999999,3,j2-3,,,
70.19297999999999,5,j1-2,,,
70.19297999999999,4,j4-1,,,
70.49295,1,j2-3,,,
70.85958,2,j2-3,,,
70.85958,3,j3-4,,,
70.85958,5,j2-3,,,
70.85958,4,j1-2,,,
70.85958,1,3-4,,,
71.45952,1,sp4-1,,,
71.92614,5,w3,,,
71.92614,4,w2,,,
71.92614,3,w4,,,
71.92614,2,w3,,,
71.92614,MOT_control_all,zoom08,,
72.39276,1,j1-2,,,
72.39276,2,3-4,,f1,
72.39276,3,4-1,,f1,
72.39276,4,2-3,,f1,
72.39276,5,3-4,,f1,
72.82605,1,lp2,,,
72.82605,2,lp4,,,
72.82605,3,lp1,,,
72.82605,4,lp3,,,
72.82605,5,lp4,,,
73.326,1,2-3,,,
73.326,2,4-1,,,
73.326,3,1-2,,,
73.326,4,3-4,,,
73.326,5,4-1,,,
73.79262,1,3-4,r1,,
73.79262,2,1-2,r1,,
73.79262,3,2-3,r1,,
73.79262,4,4-1,r1,,
73.79262,5,1-2,lb0,,
74.19257999999999,1,lp4,,,
74.19257999999999,2,lp2,,,
74.19257999999999,3,lp3,,,
74.19257999999999,4,lp1,,,
74.19257999999999,5,lp2,,,
74.45922,1,4-1,rb0,,
74.45922,2,2-3,rb0,,
74.45922,3,3-4,rb0,,
74.45922,4,1-2,rb0,,
74.45922,5,2-3,l1,,
74.89251,1,lp1,,,
74.89251,2,lp3,,,
74.89251,3,lp4,,,
74.89251,4,lp2,,,
74.89251,5,lp3,,,
75.09249,1,j1-2,,,
75.15915,2,j3-4,,,
75.15915,3,j4-1,,,
75.22581,5,j3-4,,,
75.22581,4,j2-3,,,
75.6591,1,lp2,,,
75.6591,2,lp4,,,
75.6591,3,lp1,,,
75.6591,4,lp3,,,
75.6591,5,lp4,,,
75.95907,1,j2-3,,,
75.95907,5,j4-1,,,
75.95907,4,j3-4,,,
76.45902,3,1-2,l1,,
76.45902,2,4-1,r1,,
76.9923,1,3-4,,,
76.9923,3,2-3,l2,,
76.9923,2,1-2,r2,,
76.9923,4,4-1,,,
76.9923,5,1-2,,,
77.42559,1,4-1,,b0,
77.42559,2,2-3,,b0,
77.42559,3,3-4,,b0,
77.42559,4,1-2,,b0,
77.42559,5,2-3,,b0,
77.95886999999999,1,hj1,,,
77.95886999999999,2,hj3,,,
77.95886999999999,3,hj4,,,
77.95886999999999,4,hj2,,,
77.95886999999999,5,hj3,,,
78.79212,1,lp1,,,
78.79212,2,lp3,,,
78.79212,3,lp4,,,
78.79212,4,lp2,,,
78.79212,5,lp3,,,
80.62527,4,j2-3,,,
80.62527,2,j3-4,,,
80.95857,1,j1-2,,,
81.3252,3,j4-1,,,
81.3252,5,j3-4,,,
81.69183,4,w3,,,
81.69183,2,w4,,,
81.69183,1,2-3,,,
81.69183,2,4-1,,,
81.69183,3,1-2,,,
81.75849,4,3-4,,,
81.75849,5,4-1,,,
81.9918,1,j3-4,,,
81.9918,4,j4-1,,,
81.9918,5,j1-2,,,
82.35843,2,j1-2,,,
82.35843,3,j2-3,,,
82.6584,MOT_mc_special_03,sabi,,
82.6584,MOT_mc_back_00,lp3,,
82.6584,MOT_mc_light_up_00,l3_lp,,
82.6584,1,j4-1,,,
82.6584,4,j1-2,,,
82.6584,5,j2-3,,,
82.6584,MOT_all,cut03,,
82.85838,2,j2-3,,,
82.85838,3,j3-4,,,
83.09169,MOT_mc_stage_color_00,r-flash,,
83.09169,MOT_control_all,zoom09,,
83.22501,1,1-2,,,
83.22501,2,3-4,,,
83.22501,3,4-1,,,
83.22501,4,2-3,,,
83.22501,5,3-4,,,
83.55830999999999,1,2-3,,f1,
83.55830999999999,2,4-1,,f1,
83.55830999999999,3,1-2,,f1,
83.55830999999999,4,3-4,,f1,
83.55830999999999,5,4-1,,f1,
84.19158,1,3-4,,,
84.19158,2,1-2,rb1,,
84.19158,3,2-3,lb1,,
84.19158,4,4-1,l1,,
84.19158,5,1-2,lb0,,
84.55821,1,4-1,,,
84.55821,2,,rb0,,
84.55821,3,,lb0,,
84.55821,4,,l2,,
84.55821,5,,r1,,
84.9915,1,1-2,r1,,
84.9915,2,2-3,r1,,
84.9915,3,3-4,r1,,
84.9915,4,1-2,lb1,,
84.9915,5,2-3,r2,,
85.62477,1,,rb0,,
85.62477,2,,rb0,,
85.62477,3,,rb0,,
85.62477,4,,l2,,
85.62477,5,,rb1,,
85.89141,MOT_control_all,zoom10,,
85.92474,5,w3,,,
85.92474,4,w2,,,
85.92474,3,w4,,,
85.92474,2,w3,,,
85.92474,1,w2,,,
85.95806999999999,1,2-3,,b0,
85.95806999999999,2,3-4,,b0,
85.95806999999999,3,4-1,,b0,
85.95806999999999,4,2-3,,b0,
85.95806999999999,5,3-4,,b0,
86.35803,1,hj3,,,
86.42469,2,hj4,,,
86.42469,3,hj1,,,
86.49135,4,hj3,,,
86.49135,5,hj4,,,
87.35793,1,3-4,,f1,
87.6579,3,w1,,,
87.6579,2,w4,,,
87.72456,5,w4,,,
87.72456,4,w3,,,
87.82455,2,4-1,,f1,
87.82455,3,1-2,,f1,
88.29117,1,w4,,,
88.39116,4,3-4,,f1,
88.39116,5,4-1,,f1,
88.75779,3,w2,,,
88.75779,2,w1,,,
88.75779,1,j4-1,,,
88.75779,2,j1-2,,,
88.75779,3,j2-3,,,
88.75779,4,j4-1,,,
88.75779,5,j1-2,,,
89.15775,1,1-2,l1,,
89.15775,2,2-3,l1,,
89.15775,3,3-4,l1,,
89.15775,4,1-2,l3,,
89.15775,5,2-3,rb0,,
89.69103,1,j2-3,,,
89.69103,2,j3-4,,,
89.69103,3,j4-1,,,
89.69103,4,j2-3,,,
89.69103,5,j3-4,,,
90.05766,1,,l2,,
90.05766,2,,l2,,
90.05766,3,,l2,,
90.05766,4,,l4,,
90.05766,5,,l1,,
90.75759,5,w4,,,
90.75759,4,w3,,,
90.75759,3,w1,,,
90.75759,2,w4,,,
90.75759,1,j3-4,,,
90.75759,2,j4-1,,,
90.75759,3,j1-2,,,
90.75759,4,j3-4,,,
90.75759,5,j4-1,,,
91.19087999999999,1,4-1,,,
91.19087999999999,2,1-2,,,
91.19087999999999,3,2-3,,,
91.19087999999999,4,4-1,,,
91.19087999999999,5,1-2,,,
91.59084,1,1-2,,,
91.59084,2,2-3,,,
91.59084,3,3-4,,,
91.59084,4,1-2,,,
91.59084,5,2-3,,,
91.95747,1,2-3,lb1,,
91.95747,2,3-4,lb1,,
91.95747,3,4-1,lb1,,
91.95747,4,2-3,lb3,,
91.95747,5,3-4,lb0,,
92.52408,1,,lb0,,
92.52408,2,,lb0,,
92.52408,3,,lb0,,
92.52408,4,,lb2,,
92.52408,5,,r1,,
92.89071,5,w4,,,
92.89071,4,w3,,,
92.89071,3,w1,,,
92.89071,2,w4,,,
92.89071,1,w3,,,
92.99069999999999,1,3-4,,,
92.99069999999999,2,4-1,,,
92.99069999999999,3,1-2,,,
92.99069999999999,4,3-4,,,
92.99069999999999,5,4-1,,,
93.35732999999999,1,j4-1,,,
93.35732999999999,2,j1-2,,,
93.35732999999999,3,j2-3,,,
93.35732999999999,4,j4-1,,,
93.35732999999999,5,j1-2,,,
93.95727,MOT_control_all,zoom11,,
94.12392,1,1-2,,,
94.12392,2,2-3,,,
94.12392,3,3-4,,,
94.12392,4,1-2,,,
94.12392,5,2-3,,,
94.69053,1,2-3,r1,,
94.69053,2,3-4,r1,,
94.69053,3,4-1,r1,,
94.69053,4,2-3,lb1,,
94.69053,5,3-4,r2,,
95.29047,1,,r2,,
95.29047,2,,r2,,
95.29047,3,,r2,,
95.29047,4,,lb0,,
95.29047,5,,r3,,
95.62377,5,w4,,,
95.62377,4,w3,,,
95.62377,3,w1,,,
95.62377,2,w4,,,
95.62377,1,w3,,,
95.82374999999999,1,3-4,rb1,,
95.82374999999999,2,4-1,rb1,,
95.82374999999999,3,1-2,rb1,,
95.82374999999999,4,3-4,l1,,
95.82374999999999,5,4-1,rb2,,
96.29037,1,,rb0,,
96.29037,2,,rb0,,
96.29037,3,,rb0,,
96.29037,4,,l2,,
96.29037,5,,rb1,,
96.75699,5,w1,,,
96.75699,4,w4,,,
96.75699,3,w2,,,
96.75699,2,w1,,,
96.75699,1,w4,,,
96.99029999999999,MOT_control_all,zoom12,,
96.99029999999999,1,4-1,,b0,
96.99029999999999,2,1-2,,b0,
96.99029999999999,3,2-3,,b0,
96.99029999999999,4,4-1,,b0,
96.99029999999999,5,1-2,,b0,
97.45692,1,hj1,,,
97.45692,2,hj2,,,
97.45692,3,hj3,,,
97.45692,4,hj1,,,
97.45692,5,hj2,,,
98.22350999999999,1,lp1,,,
98.22350999999999,2,lp2,,,
98.22350999999999,3,lp3,,,
98.22350999999999,4,lp1,,,
98.22350999999999,5,lp2,,,
98.72345999999999,4,1-2,,f1,
98.72345999999999,5,2-3,,f1,
99.09008999999999,2,2-3,,f1,
99.09008999999999,3,3-4,,f1,
99.45671999999999,1,1-2,,f1,
99.6567,5,w3,,,
99.6567,4,w2,,,
99.79002,1,2-3,,,
99.79002,2,3-4,,,
99.79002,3,4-1,,,
99.79002,4,2-3,,,
99.79002,5,3-4,,,
100.15665,1,3-4,l1,,
100.15665,2,4-1,l1,,
100.15665,3,1-2,l1,,
100.15665,4,3-4,l3,,
100.15665,5,4-1,rb0,,
100.58994,1,4-1,lb0,,
100.58994,2,1-2,lb0,,
100.58994,3,2-3,lb0,,
100.58994,4,4-1,lb2,,
100.58994,5,1-2,r1,,
101.02323,2,2-3,r1,,
101.02323,3,3-4,l1,,
101.02323,5,2-3,r2,,
101.02323,4,1-2,l3,,
101.45652,2,,rb0,,
101.45652,3,,lb0,,
101.45652,5,,rb1,,
101.45652,4,,lb2,,
101.52318,1,w1,,,
101.88981,2,lp3,,,
101.88981,3,lp4,,,
101.88981,5,lp3,,,
101.88981,4,lp2,,,
102.28976999999999,1,1-2,,,
102.28976999999999,2,3-4,,,
102.28976999999999,3,4-1,,,
102.28976999999999,4,2-3,,,
102.28976999999999,5,3-4,,,
102.75639,1,lp2,,,
102.75639,2,lp4,,,
102.75639,3,lp1,,,
102.75639,4,lp3,,,
102.75639,5,lp4,,,
103.05636,4,3-4,,,
103.12302,2,4-1,,,
103.18968,1,2-3,,,
103.25634,3,1-2,,,
103.323,5,4-1,,,
103.85628,1,sj3,,,
103.85628,2,sj1,,,
103.85628,3,sj2,,,
103.85628,4,sj4,,,
103.85628,5,sj1,,,
104.22291,1,j3-4,,,
104.22291,2,j1-2,,,
104.22291,3,j2-3,,,
104.22291,4,j4-1,,,
104.22291,5,j1-2,,,
104.88951,5,2-3,,,
104.95617,3,3-4,,,
105.02283,1,4-1,,,
105.08949,2,2-3,,,
105.15615,4,1-2,,,
105.62276999999999,1,1-2,,,
105.62276999999999,2,3-4,,,
105.62276999999999,3,4-1,,,
105.62276999999999,4,2-3,,,
105.62276999999999,5,3-4,,,
106.08939,1,lp2,,,
106.08939,2,lp4,,,
106.08939,3,lp1,,,
106.08939,4,lp3,,,
106.08939,5,lp4,,,
106.72265999999999,1,2-3,,,
106.72265999999999,2,4-1,,,
106.72265999999999,3,1-2,,,
106.72265999999999,4,3-4,,,
106.72265999999999,5,4-1,,,
107.28927,1,j3-4,,,
107.28927,2,j1-2,,,
107.28927,3,j2-3,,,
107.28927,4,j4-1,,,
107.28927,5,j1-2,,,
107.95586999999999,4,1-2,,b0,
108.05586,2,2-3,,b0,
108.15585,1,4-1,,b0,
108.25583999999999,3,3-4,,b0,
108.35583,5,2-3,,b0,
108.68912999999999,1,j1-2,,,
108.68912999999999,2,j3-4,,,
108.68912999999999,3,j4-1,,,
108.68912999999999,4,j2-3,,,
108.68912999999999,5,j3-4,,,
109.18907999999999,1,lp2,,,
109.18907999999999,2,lp4,,,
109.18907999999999,3,lp1,,,
109.18907999999999,4,lp3,,,
109.18907999999999,5,lp4,,,
109.98899999999999,1,j2-3,,,
109.98899999999999,2,j4-1,,,
109.98899999999999,3,j1-2,,,
109.98899999999999,4,j3-4,,,
109.98899999999999,5,j4-1,,,
110.62227,1,3-4,r1,,
110.62227,2,1-2,r1,,
110.62227,3,2-3,r1,,
110.62227,4,4-1,lb1,,
110.62227,5,1-2,r2,,
111.35553,1,,r2,,
111.35553,2,,r2,,
111.35553,3,,r2,,
111.35553,4,,lb0,,
111.35553,5,,r3,,
111.55551,5,w2,,,
111.55551,4,w1,,,
111.55551,3,w3,,,
111.55551,2,w2,,,
111.55551,1,w4,,,
112.08878999999999,1,4-1,rb1,,
112.08878999999999,2,2-3,rb1,,
112.08878999999999,3,3-4,rb1,,
112.08878999999999,4,1-2,l1,,
112.08878999999999,5,2-3,rb2,,
112.82204999999999,1,,rb0,,
112.82204999999999,2,,rb0,,
112.82204999999999,3,,rb0,,
112.82204999999999,4,,l2,,
112.82204999999999,5,,rb1,,
113.02203,5,w3,,,
113.02203,4,w2,,,
113.02203,3,w4,,,
113.02203,2,w3,,,
113.02203,1,w1,,,
113.52198,1,1-2,l1,,
113.52198,2,3-4,l1,,
113.52198,3,4-1,l1,,
113.52198,4,2-3,l3,,
113.52198,5,3-4,rb0,,
114.02193,1,,l2,,
114.02193,2,,l2,,
114.02193,3,,l2,,
114.02193,4,,l4,,
114.02193,5,,l1,,
114.35522999999999,1,hj2,,,
114.35522999999999,2,hj4,,,
114.35522999999999,3,hj1,,,
114.35522999999999,4,hj3,,,
114.35522999999999,5,hj4,,,
115.12182,1,lp2,,,
115.12182,2,lp4,,,
115.12182,3,lp1,,,
115.12182,4,lp3,,,
115.12182,5,lp4,,,
116.18838,1,2-3,lb1,,
116.18838,2,4-1,lb1,,
116.18838,3,1-2,lb1,,
116.18838,4,3-4,lb3,,
116.18838,5,4-1,lb0,,
116.62167,1,3-4,,,
116.62167,2,1-2,,,
116.62167,3,2-3,,,
116.62167,4,4-1,,,
116.62167,5,1-2,,,
117.05496,1,,lb0,,
117.05496,2,,lb0,,
117.05496,3,,lb0,,
117.05496,4,,lb2,,
117.05496,5,,r1,,
117.42159,1,lp4,,,
117.42159,2,lp2,,,
117.42159,3,lp3,,,
117.42159,4,lp1,,,
117.42159,5,lp2,,,
117.88821,1,4-1,,,
117.98819999999999,2,2-3,,,
117.98819999999999,3,3-4,,,
118.08819,5,2-3,,,
118.08819,4,1-2,,,
118.48814999999999,1,sj1,,,
118.48814999999999,5,sj3,,,
118.48814999999999,4,sj2,,,
118.6548,2,sj3,,,
118.6548,3,sj4,,,
118.98809999999999,5,w3,,,
118.98809999999999,4,w2,,,
118.98809999999999,1,w1,,,
119.05476,1,j1-2,,,
119.05476,5,j3-4,,,
119.05476,4,j2-3,,,
119.15474999999999,3,w4,,,
119.15474999999999,2,w3,,,
119.18808,2,j3-4,,,
119.18808,3,j4-1,,,
119.62137,1,j2-3,,,
119.62137,5,j4-1,,,
119.62137,4,j3-4,,,
119.75469,2,j4-1,,,
119.75469,3,j1-2,,,
