0.03333,MOT_control_all,l_zoom1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_all,l_cut1,,
14.19858,5,j4-1,,,
14.465219999999999,2,4-1,,,
14.465219999999999,3,4-1,,,
14.69853,1,hj4,,,
14.965169999999999,2,j1-2,,,
14.965169999999999,3,j1-2,,,
14.965169999999999,4,j1-2,,,
14.965169999999999,5,j1-2,,,
15.49845,2,2-3,,,
15.49845,3,2-3,,,
15.49845,4,2-3,,,
15.49845,5,2-3,,,
15.49845,1,j4-1,,,
15.89841,2,3-4,,,
15.89841,3,3-4,,,
16.36503,4,3-4,,,
16.36503,5,3-4,,,
16.56501,1,w1,,,
16.79832,2,4-1,,,
16.79832,3,4-1,,,
16.79832,4,4-1,,,
16.79832,5,4-1,,,
16.79832,1,1-2,,,
17.164949999999997,1,2-3,,,
17.43159,2,1-2,,,
17.43159,3,1-2,,,
17.43159,4,1-2,,,
17.43159,5,1-2,,,
17.79822,2,sp2-3,,,
17.79822,3,sp2-3,,,
17.79822,4,sp2-3,,,
17.79822,5,sp2-3,,,
17.79822,1,sp3-4,,,
18.79812,1,j4-1,,,
18.964769999999998,2,3-4,,,
19.198079999999997,3,3-4,,,
19.43139,4,3-4,,,
19.6647,5,3-4,,,
19.86468,1,w1,,,
19.89801,2,w4,,,
20.03133,2,4-1,,,
20.03133,3,4-1,,,
20.03133,4,4-1,,,
20.03133,5,4-1,,,
20.03133,1,j1-2,,,
20.46462,4,1-2,,,
20.46462,5,1-2,,,
20.69793,2,1-2,,,
20.69793,3,1-2,,,
20.93124,1,2-3,,,
21.29787,2,sp2-3,,,
21.29787,3,sp2-3,,,
21.29787,4,sp2-3,,,
21.29787,5,sp2-3,,,
21.29787,1,sp3-4,,,
22.53108,4,3-4,,,
22.69773,2,3-4,,,
22.86438,1,4-1,,,
22.9977,3,3-4,,,
23.13102,5,3-4,,,
23.39766,1,j1-2,,,
23.46432,4,w4,,,
23.630969999999998,2,hj4,,,
23.630969999999998,3,hj4,,,
23.630969999999998,4,hj4,,,
23.630969999999998,5,hj4,,,
24.39756,MOT_mc_stage_color_00,b-flash,,
24.39756,MOT_mc_bg_black_00,gb65-45,,
24.39756,2,lp4,,,
24.39756,3,lp4,,,
24.39756,4,lp4,,,
24.39756,5,lp4,,,
24.39756,1,2-3,,f1,Lbl
24.79752,1,j3-4,,,
25.3308,1,4-1,r1,,
25.697429999999997,1,1-2,rb0,,
26.064059999999998,1,j2-3,,,
26.464019999999998,2,j4-1,,,
26.464019999999998,3,j4-1,,,
26.464019999999998,4,j4-1,,,
26.464019999999998,5,j4-1,,,
27.03063,2,lp1,,,
27.03063,3,lp1,,,
27.03063,4,lp1,,,
27.03063,5,lp1,,,
27.03063,1,hj3,,,
27.897209999999998,1,3-4,,,
28.330499999999997,1,sp4-1,,,
29.36373,1,1-2,l1,,
29.730359999999997,1,j2-3,,,
30.26364,1,hj3,,,
30.930239999999998,1,sp3-4,,,
31.69683,2,j1-2,,,
31.69683,3,j1-2,,,
32.13012,1,4-1,,,
32.230109999999996,4,j1-2,,,
32.230109999999996,5,j1-2,,,
32.53008,1,lp1,,,
32.76339,3,w2,,,
32.76339,2,w2,,,
32.83005,2,j2-3,,,
32.83005,3,j2-3,,,
32.83005,4,j2-3,,,
32.83005,5,j2-3,,,
33.6633,1,1-2,,,
33.896609999999995,5,w3,,,
33.896609999999995,4,w3,,,
33.896609999999995,3,w3,,,
33.896609999999995,2,w3,,,
34.02993,2,j3-4,,,
34.02993,3,j3-4,,,
34.02993,4,j3-4,,,
34.02993,5,j3-4,,,
34.02993,1,hj2,,,
34.52988,2,lp4,,,
34.52988,3,lp4,,,
34.52988,4,lp4,,,
34.52988,5,lp4,,,
34.62987,1,2-3,l2,,
34.9965,1,3-4,lb1,,
35.36313,1,j4-1,,,
35.86308,1,sp1-2,,,
36.663,1,2-3,,,
37.096289999999996,1,j3-4,,,
37.69623,1,hj4,,,
38.89611,1,4-1,l2,,
39.26274,1,1-2,lb1,,
39.62937,1,2-3,lb0,,
40.02933,1,j3-4,,,
40.56261,1,sp4-1,,,
41.49585,2,j4-1,,,
41.49585,3,j4-1,,,
41.49585,4,j4-1,,,
41.49585,5,j4-1,,,
41.92914,1,1-2,,,
42.06246,4,1-2,,,
42.22911,2,1-2,,,
42.362429999999996,1,2-3,,,
42.49575,3,1-2,,,
42.56241,5,w1,,,
42.6624,5,1-2,,,
42.9957,4,w2,,,
43.162349999999996,2,lp2,,,
43.162349999999996,3,lp2,,,
43.162349999999996,4,lp2,,,
43.162349999999996,5,lp2,,,
43.29567,1,w3,,,
43.49565,1,3-4,r1,,
43.92894,1,4-1,rb0,,
44.36223,1,1-2,,,
44.795519999999996,1,hj2,,,
46.028729999999996,1,w2,,,
46.36203,1,j2-3,,,
46.92864,1,3-4,l1,,
47.295269999999995,1,4-1,lb0,,
47.661899999999996,1,sp1-2,,,
48.42849,1,2-3,,,
48.82845,1,3-4,r1,,
49.261739999999996,1,4-1,rb0,,
49.695029999999996,1,hj1,,,
50.86158,4,j2-3,,,
50.86158,5,j2-3,,,
50.928239999999995,1,w1,,,
51.22821,1,lp1,,,
51.294869999999996,2,j2-3,,,
51.294869999999996,3,j2-3,,,
51.761489999999995,1,j1-2,,,
51.89481,2,j3-4,,,
51.89481,3,j3-4,,,
51.92814,5,w3,,,
51.92814,4,w3,,,
52.22811,4,j3-4,,,
52.22811,5,j3-4,,,
52.82805,1,w2,,,
52.961369999999995,3,w4,,,
52.961369999999995,2,w4,,,
53.02803,2,lp4,,,
53.02803,3,lp4,,,
53.02803,4,lp4,,,
53.02803,5,lp4,,,
53.02803,1,hj2,,,
53.69463,1,2-3,r1,,
54.06126,1,3-4,rb0,,
54.42789,1,j4-1,,,
54.961169999999996,1,sp1-2,,,
55.827749999999995,1,2-3,l1,,
56.227709999999995,1,3-4,lb0,,
56.76099,1,hj4,,,
57.96087,1,4-1,r1,,
58.3275,1,1-2,rb0,,
58.694129999999994,1,2-3,,,
59.060759999999995,1,j3-4,,,
59.69403,1,sp4-1,,,
59.827349999999996,MOT_control_all,l_zoom4,,
60.56061,1,1-2,,,
61.29387,MOT_mc_stage_color_00,b-flash,,
61.29387,MOT_mc_bg_black_00,gb45-0,,
61.29387,2,j4-1,,,
61.29387,3,j4-1,,,
61.29387,4,j4-1,,,
61.29387,5,j4-1,,,
61.29387,1,hj2,,,
61.827149999999996,2,lp1,,,
61.827149999999996,3,lp1,,,
61.827149999999996,4,lp1,,,
61.827149999999996,5,lp1,,,
61.960469999999994,1,sp2-3,,,
63.093689999999995,1,3-4,r1,,
63.460319999999996,1,4-1,r2,,
63.860279999999996,1,1-2,rb1,,
64.22691,1,2-3,rb0,,
64.6602,1,sp3-4,,,
65.32679999999999,1,4-1,,,
65.69342999999999,1,j1-2,,,
65.86008,2,j1-2,,,
65.86008,3,j1-2,,,
65.86008,4,j1-2,,,
65.86008,5,j1-2,,,
66.3267,2,lp2,,,
66.3267,3,lp2,,,
66.3267,4,lp2,,,
66.3267,5,lp2,,,
66.3267,1,hj2,,,
66.95997,1,2-3,r1,,
67.3266,1,3-4,rb0,,
67.69323,1,j4-1,,,
68.19318,1,1-2,r1,,
68.55981,1,2-3,rb0,,
68.92644,1,j3-4,,,
69.55971,2,sp2-3,,,
69.55971,3,sp2-3,,,
69.55971,4,sp2-3,,,
69.55971,5,sp2-3,,,
69.55971,1,sp4-1,,,
70.62626999999999,2,3-4,,,
70.62626999999999,3,3-4,,,
70.62626999999999,4,3-4,,,
70.62626999999999,5,3-4,,,
70.62626999999999,1,1-2,,,
71.09289,2,lp4,,,
71.09289,3,lp4,,,
71.09289,4,lp4,,,
71.09289,5,lp4,,,
71.09289,1,j2-3,,,
71.6595,1,sp3-4,,,
72.35943,1,4-1,,,
72.72605999999999,1,j1-2,,,
73.25934,1,hj2,,,
74.09259,1,sp2-3,,,
74.6592,1,3-4,,,
75.02583,2,hj4,,,
75.02583,3,hj4,,,
75.02583,4,hj4,,,
75.02583,5,hj4,,,
75.02583,1,j4-1,,,
75.6591,2,lp4,,,
75.6591,3,lp4,,,
75.6591,4,lp4,,,
75.6591,5,lp4,,,
75.72576,1,hj1,,,
76.39236,1,1-2,l1,,
76.75899,1,2-3,lb0,,
77.12562,1,hj3,,,
77.69223,1,3-4,,,
78.05886,1,j4-1,,,
78.72546,1,1-2,,,
79.12541999999999,1,sp2-3,,,
79.3254,2,hj4,,,
79.3254,3,hj4,,,
79.3254,4,hj4,,,
79.3254,5,hj4,,,
80.09199,1,3-4,,,
80.49195,MOT_mc_stage_color_00,b-flash,,
80.49195,2,lp4,,,
80.49195,3,lp4,,,
80.49195,4,lp4,,,
80.49195,5,lp4,,,
80.49195,1,4-1,l1,,
80.82525,1,1-2,lb0,,
81.19188,1,sp2-3,,,
81.85848,1,3-4,,,
82.29177,1,j4-1,,,
82.85838,1,1-2,r1,,
83.25833999999999,1,2-3,rb0,,
83.69162999999999,1,sp3-4,,,
84.39156,1,4-1,,,
84.79151999999999,1,j1-2,,,
85.39146,2,j4-1,,,
85.39146,3,j4-1,,,
85.39146,4,j4-1,,,
85.39146,5,j4-1,,,
85.39146,1,hj2,,,
85.92474,2,lp1,,,
85.92474,3,lp1,,,
85.92474,4,lp1,,,
85.92474,5,lp1,,,
86.02472999999999,1,2-3,r1,,
86.39135999999999,1,3-4,rb0,,
86.75798999999999,1,j4-1,,,
87.25793999999999,1,1-2,,,
87.6579,1,2-3,,,
88.05785999999999,1,j3-4,,,
88.62447,1,sp4-1,,,
89.89101,1,1-2,,,
90.29097,MOT_mc_stage_color_00,y-flash,,
90.29097,2,j1-2,,,
90.29097,3,j1-2,,,
90.29097,4,j1-2,,,
90.29097,5,j1-2,,,
90.29097,1,hj2,,,
90.79092,2,lp2,,,
90.79092,3,lp2,,,
90.79092,4,lp2,,,
90.79092,5,lp2,,,
90.89090999999999,1,sp2-3,,,
91.6575,1,3-4,,,
92.02413,1,j4-1,,,
92.52408,1,1-2,r1,,
92.89071,1,2-3,rb0,,
93.25734,1,sp3-4,,,
93.9906,1,4-1,,,
94.35723,1,j1-2,,,
95.05716,1,2-3,r1,,
95.45711999999999,1,3-4,r2,,
95.85708,1,4-1,rb1,,
96.25703999999999,1,1-2,rb0,,
96.69032999999999,1,hj2,,,
97.39026,1,2-3,,,
97.75689,1,3-4,,,
98.12352,1,sp4-1,,,
98.29016999999999,MOT_control_all,l_zoom5,,
98.29016999999999,2,sp2-3,,,
98.29016999999999,3,sp2-3,,,
98.29016999999999,4,sp2-3,,,
98.29016999999999,5,sp2-3,,,
98.85678,4,3-4,,,
99.02342999999999,2,3-4,,,
99.19008,1,1-2,,,
99.32339999999999,3,3-4,,,
99.49005,5,3-4,,,
99.79002,4,w4,,,
99.85668,2,j4-1,,,
99.85668,3,j4-1,,,
99.85668,4,j4-1,,,
99.85668,5,j4-1,,,
100.12331999999999,1,w2,,,
100.22331,1,j2-3,,,
100.48995,2,hj1,,,
100.48995,3,hj1,,,
100.48995,4,hj1,,,
100.48995,5,hj1,,,
100.85658,1,3-4,,,
101.12321999999999,2,j1-2,,,
101.12321999999999,3,j1-2,,,
101.12321999999999,4,j1-2,,,
101.12321999999999,5,j1-2,,,
101.52318,1,4-1,,,
101.88981,1,1-2,,,
102.18978,5,w2,,,
102.18978,4,w2,,,
102.18978,3,w2,,,
102.18978,2,w2,,,
102.25644,1,sp2-3,,,
102.68973,1,3-4,,,
102.88971,2,j2-3,,,
102.88971,3,j2-3,,,
103.08968999999999,4,2-3,,,
103.08968999999999,5,2-3,,,
103.323,1,j4-1,,,
103.55631,2,j3-4,,,
103.55631,3,j3-4,,,
103.55631,4,j3-4,,,
103.55631,5,j3-4,,,
103.82294999999999,1,1-2,,,
104.05626,2,4-1,,,
104.05626,3,4-1,,,
104.05626,4,4-1,,,
104.05626,5,4-1,,,
104.25623999999999,1,sp2-3,,,
104.42289,2,sp1-2,,,
104.42289,3,sp1-2,,,
104.42289,4,sp1-2,,,
104.42289,5,sp1-2,,,
105.18947999999999,4,2-3,,,
105.18947999999999,5,2-3,,,
105.45612,2,2-3,,,
105.45612,3,2-3,,,
105.72276,1,3-4,,,
105.88941,2,j3-4,,,
105.88941,3,j3-4,,,
105.88941,4,j3-4,,,
105.88941,5,j3-4,,,
106.18938,1,4-1,,,
106.58933999999999,1,sp1-2,,,
106.78931999999999,2,sp4-1,,,
106.78931999999999,3,sp4-1,,,
106.78931999999999,4,sp4-1,,,
106.78931999999999,5,sp4-1,,,
107.3226,2,1-2,,,
107.3226,3,1-2,,,
107.3226,4,1-2,,,
107.3226,5,1-2,,,
107.3226,1,2-3,,,
107.72256,2,lp2,,,
107.72256,3,lp2,,,
107.72256,4,lp2,,,
107.72256,5,lp2,,,
107.72256,1,hj3,,,
108.28917,1,3-4,,,
108.68912999999999,1,sp4-1,,,
108.9891,MOT_control_all,l_zoom6,,
110.02233,MOT_mc_stage_color_00,b-flash,,
110.02233,1,1-2,,,
110.25564,2,j2-3,,,
110.25564,3,j2-3,,,
110.52228,1,2-3,,,
110.72225999999999,4,j2-3,,,
110.72225999999999,5,j2-3,,,
111.05556,1,3-4,,,
111.22220999999999,2,j3-4,,,
111.22220999999999,3,j3-4,,,
111.42219,4,hj3,,,
111.42219,5,hj3,,,
111.65549999999999,1,4-1,,,
112.12212,5,3-4,,,
112.28877,3,w4,,,
112.28877,2,w4,,,
112.35543,3,4-1,,,
112.58874,1,1-2,,,
112.6554,4,w3,,,
112.78872,2,4-1,,,
113.02203,4,3-4,,,
113.05536,5,w4,,,
113.28867,3,w1,,,
113.42199,1,j2-3,,,
113.62196999999999,2,j1-2,,,
113.62196999999999,3,j1-2,,,
113.88861,4,j4-1,,,
113.88861,5,j4-1,,,
114.25524,1,3-4,,,
114.68853,3,w2,,,
114.68853,2,w2,,,
114.82185,1,j4-1,,,
114.95517,5,w1,,,
114.95517,4,w1,,,
115.02183,2,j2-3,,,
115.02183,3,j2-3,,,
115.02183,4,j1-2,,,
115.02183,5,j1-2,,,
115.38846,1,1-2,,,
115.58843999999999,2,hj3,,,
115.58843999999999,3,hj3,,,
115.58843999999999,4,hj2,,,
115.58843999999999,5,hj2,,,
115.95506999999999,1,2-3,,,
116.35503,2,lp3,,,
116.35503,3,lp3,,,
116.35503,4,lp2,,,
116.35503,5,lp2,,,
116.38835999999999,1,sp3-4,,,
116.85498,1,j4-1,,,
117.32159999999999,1,1-2,,,
117.68822999999999,1,j2-3,,,
118.38816,1,sp3-4,,,
119.22140999999999,MOT_control_all,l_zoom7,,
119.42138999999999,MOT_mc_stage_color_00,b-flash,,
119.42138999999999,MOT_mc_bg_black_00,gb00-80,,
119.42138999999999,2,3-4,,,
119.42138999999999,3,3-4,,,
119.42138999999999,4,2-3,,,
119.42138999999999,5,2-3,,,
119.42138999999999,1,4-1,,,D20
120.35463,5,w3,,,
120.35463,4,w3,,,
120.35463,3,w4,,,
120.35463,2,w4,,,
120.35463,1,w1,,,
