0.03333,MOT_control_all,stay,,
14.19858,5,sj2,,,
14.565209999999999,1,j4-1,,,
14.565209999999999,2,j1-2,,,
14.565209999999999,3,j1-2,,,
14.565209999999999,4,j2-3,,,
14.565209999999999,5,j2-3,,,
15.165149999999999,1,hj1,,,
15.23181,2,hj2,,,
15.23181,3,hj2,,,
15.29847,MOT_control_all,zoom5,,
15.29847,4,hj3,,,
15.29847,5,hj3,,,
15.29847,MOT_mc_bg_black_00,b65-45,,
15.465119999999999,1,,,,L0
15.465119999999999,2,,,,L0
15.465119999999999,3,,,,L0
15.465119999999999,4,,,,L0
15.465119999999999,5,,,,L0
16.16505,1,sp1-2,,,
16.16505,2,sp2-3,,,
16.16505,3,sp2-3,,,
16.16505,4,sp3-4,,,
16.16505,5,sp3-4,,,
17.9982,1,2-3,,b0,
17.9982,2,3-4,,b0,
17.9982,3,3-4,,b0,
17.9982,4,4-1,,b0,
17.9982,5,4-1,,b0,
18.06486,MOT_control_all,zoom6,,
18.164849999999998,1,,,,D20
18.164849999999998,2,,,,D20
18.164849999999998,3,,,,D20
18.164849999999998,4,,,,D20
18.164849999999998,5,,,,D20
18.93144,5,w1,,,
18.93144,4,w1,,,
18.93144,3,w4,,,
18.93144,2,w4,,,
18.93144,1,w3,,,
19.564709999999998,4,1-2,,,
19.564709999999998,5,1-2,,,
20.46462,1,j3-4,,,
20.49795,5,w2,,,
20.49795,4,w2,,,
20.6646,2,j4-1,,,
20.86458,3,j4-1,,,
21.06456,4,j2-3,,,
21.06456,5,j2-3,,,
21.53118,1,w4,,,
21.631169999999997,1,4-1,,,
21.631169999999997,2,1-2,,,
21.631169999999997,3,1-2,,,
21.631169999999997,4,3-4,,,
21.631169999999997,5,3-4,,,
22.56441,5,w4,,,
22.56441,4,w4,,,
22.56441,3,w2,,,
22.56441,2,w2,,,
22.56441,1,w1,,,
22.631069999999998,1,j1-2,,,
23.19768,2,,l1,,
23.19768,3,,r1,,
23.19768,4,,l1,,
23.19768,5,,r1,,
23.56431,2,2-3,l2,,
23.56431,3,2-3,r2,,
23.56431,4,4-1,l2,,
23.56431,5,4-1,r2,,
23.69763,1,w2,,,
24.16425,1,j2-3,,,
24.49755,5,w1,,,
24.49755,4,w1,,,
24.49755,3,w3,,,
24.49755,2,w3,,,
24.56421,1,3-4,,,
24.830849999999998,2,,lb1,,
24.830849999999998,3,,rb1,,
24.830849999999998,4,,lb1,,
24.830849999999998,5,,rb1,,
25.16415,2,3-4,lb0,,
25.16415,3,3-4,rb0,,
25.16415,4,1-2,lb0,,
25.16415,5,1-2,rb0,,
25.49745,1,w4,,,
25.697429999999997,4,2-3,,,
25.697429999999997,5,2-3,,,
26.097389999999997,3,w4,,,
26.097389999999997,2,w4,,,
26.56401,1,j4-1,,,
26.63067,5,w3,,,
26.63067,4,w3,,,
26.76399,2,j4-1,,,
26.96397,3,j4-1,,,
27.16395,4,j3-4,,,
27.16395,5,j3-4,,,
27.63057,1,w1,,,
27.697229999999998,1,sj1,,,
27.83055,2,w1,,,
27.930539999999997,2,sj1,,,
27.930539999999997,3,sj1,,,
28.130519999999997,1,sj1,,,
28.130519999999997,4,sj4,,,
28.130519999999997,5,sj4,,,
28.330499999999997,2,sj1,,,
28.43049,3,sj1,,,
28.63047,5,w4,,,
28.63047,4,w4,,,
28.63047,1,w1,,,
28.6638,1,sj1,,,
28.83045,2,w1,,,
28.930439999999997,3,w1,,,
28.930439999999997,4,sj4,,,
28.930439999999997,5,sj4,,,
29.16375,1,w1,,,
29.19708,2,sj1,,,
29.19708,3,sj1,,,
29.36373,1,sj1,,,
29.36373,4,sj4,,,
29.36373,5,sj4,,,
29.497049999999998,MOT_control_all,zoom6_,,
29.697029999999998,3,w1,,,
29.697029999999998,2,w1,,,
29.83035,1,1-2,,f1,
29.83035,2,1-2,,f1,
29.83035,3,1-2,,f1,
29.86368,5,w4,,,
29.86368,4,w4,,,
29.930339999999998,1,,,,L0
29.930339999999998,2,,,,L0
29.930339999999998,3,,,,L0
30.330299999999998,1,2-3,,,
30.330299999999998,2,2-3,,,
30.330299999999998,3,2-3,,,
30.963569999999997,1,,l1,,
30.963569999999997,2,,l1,,
30.963569999999997,3,,l1,,
31.26354,3,w3,,,
31.26354,2,w3,,,
31.26354,1,w3,,,
31.46352,1,lp3,,,
31.46352,2,lp3,,,
31.46352,3,lp3,,,
32.296769999999995,1,,lb0,,
32.296769999999995,2,,lb0,,
32.296769999999995,3,,lb0,,
32.76339,1,,r1,,
32.76339,2,,r1,,
32.76339,3,,r1,,
33.36333,1,sj3,,,
33.36333,2,sj3,,,
33.36333,3,sj3,,,
33.863279999999996,3,w3,,,
33.863279999999996,2,w3,,,
33.863279999999996,1,w3,,,
33.92994,1,sp3-4,,,
33.92994,2,sp3-4,,,
33.92994,3,sp3-4,,,
34.59654,1,sj4,,,
34.59654,2,sj4,,,
34.59654,3,sj4,,,
35.096489999999996,3,w4,,,
35.096489999999996,2,w4,,,
35.096489999999996,1,lp4,rb0,,
35.096489999999996,2,lp4,rb0,,
35.096489999999996,3,lp4,rb0,,
35.86308,MOT_control_all,zoom9,,
36.09639,1,4-1,,b0,
36.09639,2,4-1,,b0,
36.09639,3,4-1,,b0,
36.09639,4,4-1,,f1,
36.09639,5,4-1,,f1,
36.26304,1,,,,D20
36.26304,2,,,,D20
36.26304,3,,,,D20
36.26304,4,,,,L0
36.26304,5,,,,L0
36.762989999999995,4,sj1,,,
36.762989999999995,5,sj1,,,
37.02963,3,w1,,,
37.02963,2,w1,,,
37.02963,1,w1,,,
37.22961,4,j1-2,,,
37.22961,5,j1-2,,,
38.19618,4,2-3,r1,,
38.19618,5,2-3,l1,,
38.62947,4,,r2,,
38.62947,5,,l2,,
39.09609,4,3-4,,,
39.09609,5,3-4,,,
39.596039999999995,4,,rb1,,
39.596039999999995,5,,lb1,,
40.02933,5,w4,,,
40.02933,4,w4,,,
40.19598,4,lp4,rb0,,
40.19598,5,lp4,lb0,,
41.49585,4,4-1,,b0,
41.49585,5,4-1,,b0,
41.49585,1,1-2,,f1,
41.49585,2,1-2,,f1,
41.49585,3,1-2,,f1,
41.69583,1,,,,L0
41.69583,2,,,,L0
41.69583,3,,,,L0
41.69583,4,,,,D20
41.69583,5,,,,D20
42.19578,1,2-3,,,
42.19578,2,2-3,,,
42.19578,3,2-3,,,
42.429089999999995,5,w1,,,
42.429089999999995,4,w1,,,
42.56241,1,hj3,,,
42.56241,2,hj3,,,
42.56241,3,hj3,,,
42.69573,MOT_control_all,zoom10,,
43.329,1,,l1,,
43.329,2,,l1,,
43.329,3,,l1,,
43.56231,1,3-4,,,
43.56231,2,3-4,,,
43.56231,3,3-4,,,
44.12892,1,,lb0,,
44.12892,2,,lb0,,
44.12892,3,,lb0,,
44.36223,1,4-1,,,
44.36223,2,4-1,,,
44.36223,3,4-1,,,
44.96217,1,j1-2,,,
45.228809999999996,2,j1-2,,,
45.295469999999995,3,w1,,,
45.36213,3,j1-2,,,
45.628769999999996,MOT_control_all,zoom11,,
45.76209,1,2-3,,,
45.76209,2,2-3,,,
45.76209,3,2-3,,,
46.16205,1,lp3,,,
46.16205,2,lp3,,,
46.26204,3,,l1,,
46.495349999999995,3,j3-4,,,
47.36193,3,4-1,,,
47.76189,3,,lb0,,
48.128519999999995,3,1-2,,,
48.69513,1,w3,,b0,
48.69513,2,w3,,b0,
48.69513,3,w2,,b0,
48.79512,MOT_control_all,zoom12,,
48.895109999999995,1,,,,D20
48.895109999999995,2,,,,D20
48.895109999999995,3,,,,D20
48.928439999999995,4,1-2,,f1,
48.928439999999995,5,1-2,,f1,
49.12842,4,,,,L0
49.12842,5,,,,L0
49.42839,4,j2-3,,,
49.42839,5,j2-3,,,
50.061659999999996,4,,r1,,
50.061659999999996,5,,l1,,
50.42829,4,3-4,,,
50.42829,5,3-4,,,
51.12822,4,,rb0,,
51.12822,5,,lb0,,
51.361529999999995,5,w4,,,
51.361529999999995,4,w4,,,
51.49485,4,4-1,,,
51.49485,5,4-1,,,
51.694829999999996,MOT_control_all,zoom13,,
51.89481,2,3-4,,f1,
51.89481,4,,,b0,
51.89481,5,,,b0,
52.094789999999996,2,,,,L0
52.094789999999996,4,,,,D20
52.094789999999996,5,,,,D20
52.42809,5,w1,,,
52.42809,4,w1,,,
52.62807,2,j4-1,,,
53.46132,2,1-2,r1,,
53.86128,2,2-3,,,
54.227909999999994,2,,rb0,,
54.561209999999996,2,j3-4,,,
54.994499999999995,2,,,b0,
54.994499999999995,4,1-2,,f1,
54.994499999999995,5,1-2,,f1,
54.994499999999995,MOT_mc_bg_black_00,b45-65,,
55.12782,1,,,,D40
55.12782,2,,,,D40
55.12782,3,,,,D40
55.12782,4,,,,L0
55.12782,5,,,,L0
55.16115,MOT_control_all,zoom14,,
55.62777,2,w4,,,
55.69443,4,2-3,r1,,
55.69443,5,2-3,r1,,
56.02773,4,lp3,,,
56.02773,5,lp3,,,
56.52768,4,3-4,r2,,
56.52768,5,3-4,r2,,
56.86098,4,lp4,,,
56.86098,5,lp4,,,
57.26094,4,4-1,rb1,,
57.26094,5,4-1,rb1,,
57.62757,4,1-2,,,
57.62757,5,1-2,,,
57.9942,4,,rb0,,
57.9942,5,,rb0,,
58.294169999999994,4,lp2,,,
58.294169999999994,5,lp2,,,
58.76079,4,2-3,,,
58.76079,5,2-3,,,
59.52738,4,sj3,,,
59.69403,5,w3,,,
59.894009999999994,5,sj3,,,
60.02733,4,w3,,,
60.39396,5,w3,,,
60.49395,4,hj3,,,
60.49395,5,hj3,,,
61.16055,2,4-1,,f1,
61.16055,3,2-3,,f1,
61.29387,MOT_control_all,zoom15,,
61.29387,2,,,,L0
61.29387,3,,,,L0
61.3272,4,,,b0,
61.3272,5,,,b0,
61.460519999999995,4,,,,D40
61.460519999999995,5,,,,D40
61.72716,5,w3,,,
61.72716,4,w3,,,
61.827149999999996,2,1-2,r1,,
61.827149999999996,3,3-4,l1,,
62.12712,2,lp2,,,
62.12712,3,lp4,,,
62.59374,2,2-3,r2,,
62.59374,3,4-1,l2,,
62.89371,2,lp3,,,
62.89371,3,lp1,,,
63.36033,2,3-4,rb1,,
63.36033,3,1-2,lb1,,
63.62697,2,lp4,,,
63.62697,3,lp2,,,
64.16024999999999,1,3-4,,f1,
64.16024999999999,2,,rb0,,
64.16024999999999,3,,lb0,,
64.29357,1,,,,L0
64.42689,2,w4,,b0,
64.42689,3,w2,,b0,
64.56021,2,,,,D40
64.56021,3,,,,D40
64.86018,1,4-1,,,
65.19348,1,1-2,,,
65.56011,1,hj2,,,
65.56011,2,4-1,,,
65.56011,3,2-3,,,
65.56011,4,3-4,,,
65.56011,5,3-4,,,
65.86008,MOT_control_all,zoom16,,
66.22671,4,4-1,,f1,
66.22671,5,4-1,,f1,
66.36003,4,,,,L20
66.36003,5,,,,L20
66.42669,2,1-2,,f1,
66.42669,3,3-4,,f1,
66.56000999999999,2,,,,L20
66.56000999999999,3,,,,L20
66.79332,1,w2,,,
67.05996,1,hj2,,,
67.05996,2,hj2,,,
67.05996,3,hj4,,,
67.05996,4,hj1,,,
67.05996,5,hj1,,,
67.09329,MOT_mc_bg_black_00,b65-0,,
67.25994,1,,,,L0
67.25994,2,,,,L0
67.25994,3,,,,L0
67.25994,4,,,,L0
67.25994,5,,,,L0
67.29326999999999,MOT_mc_stage_color_00,r-flash,,
67.39326,MOT_control_all,zoom17,,
67.72655999999999,2,2-3,,,
67.72655999999999,4,1-2,,,
67.89321,3,4-1,,,
67.89321,5,1-2,,,
68.22650999999999,1,2-3,r1,,
68.22650999999999,2,3-4,r1,,
68.22650999999999,3,1-2,r1,,
68.22650999999999,4,2-3,r1,,
68.22650999999999,5,2-3,r1,,
68.72646,1,hj3,,,
68.72646,2,hj4,,,
68.72646,3,hj2,,,
68.72646,4,hj3,,,
68.72646,5,hj3,,,
68.85978,MOT_mc_stage_color_00,o-flash,,
69.72636,1,3-4,rb0,,
69.72636,2,4-1,rb0,,
69.72636,3,2-3,rb0,,
69.72636,4,3-4,rb0,,
69.72636,5,3-4,rb0,,
70.3263,1,sj4,,,
70.3263,4,sj4,,,
70.3263,5,sj4,,,
70.39296,MOT_mc_stage_color_00,r-flash,,
70.49295,2,1-2,,,
70.49295,3,3-4,,,
70.72626,1,4-1,r1,,
70.72626,4,4-1,r1,,
70.72626,5,4-1,r1,,
70.89291,2,2-3,,,
70.89291,3,4-1,,,
71.09289,1,sj1,,,
71.09289,4,sj1,,,
71.09289,5,sj1,,,
71.25954,2,3-4,,,
71.25954,3,1-2,,,
71.49284999999999,1,1-2,rb0,,
71.49284999999999,4,1-2,rb0,,
71.49284999999999,5,1-2,rb0,,
71.82615,2,,,f2,
71.82615,1,lp2,,,
71.82615,3,lp2,,,
71.82615,4,lp2,,,
71.82615,5,lp2,,,
71.85947999999999,MOT_control_all,zoom18,,
72.19278,2,w4,,,
72.25944,2,j4-1,,,
72.72605999999999,2,,,b1,
73.22601,1,hj2,,,
73.22601,2,hj1,,,
73.22601,3,hj2,,,
73.22601,4,hj2,,,
73.22601,5,hj2,,,
73.49265,MOT_control_all,zoom19,,
73.52597999999999,MOT_mc_stage_color_00,r-flash,,
73.89260999999999,2,1-2,,,
73.89260999999999,4,2-3,,,
74.05926,3,2-3,,,
74.05926,5,2-3,,,
74.39256,1,2-3,r1,,
74.39256,2,2-3,r1,,
74.39256,3,3-4,r1,,
74.39256,4,3-4,r1,,
74.39256,5,3-4,r1,,
74.89251,1,j3-4,,,
74.89251,2,j3-4,,,
74.89251,3,j4-1,,,
74.89251,4,j4-1,,,
74.89251,5,j4-1,,,
75.09249,MOT_mc_stage_color_00,o-flash,,
75.35913,3,1-2,,,
75.35913,5,1-2,,,
75.52578,2,4-1,,,
75.52578,4,1-2,,,
75.89241,1,4-1,rb0,,
75.89241,2,1-2,rb0,,
75.89241,3,2-3,rb0,,
75.89241,4,2-3,rb0,,
75.89241,5,2-3,rb0,,
76.45902,1,1-2,,,
76.45902,2,2-3,,,
76.45902,3,3-4,,,
76.79231999999999,1,,,f2,
76.79231999999999,2,,,f2,
76.79231999999999,3,,,f2,
76.79231999999999,4,,,f2,
76.79231999999999,5,,,f2,
76.82565,5,w3,,,
76.82565,4,w3,,,
77.25894,4,3-4,,,
77.25894,5,3-4,,,
77.39226,3,w4,,,
77.39226,2,w3,,,
77.39226,1,w2,,,
77.62557,1,,,b1,
77.62557,2,,,b1,
77.62557,3,,,b1,
77.62557,4,,,b1,
77.62557,5,,,b1,
78.05886,MOT_control_all,zoom20,,
78.09219,3,4-1,,f2,
78.09219,1,lp2,,,
78.09219,2,lp3,,,
78.09219,4,lp4,,,
78.09219,5,lp4,,,
78.72546,3,1-2,,,
79.09209,3,,,b1,
79.49204999999999,1,j2-3,,,
79.49204999999999,2,j3-4,,,
79.49204999999999,3,j2-3,,,
79.49204999999999,4,j4-1,,,
79.49204999999999,5,j4-1,,,
79.59204,MOT_control_all,zoom21,,
79.62536999999999,MOT_mc_stage_color_00,r-flash,,
80.15865,4,1-2,,f2,
80.15865,1,lp3,,,
80.15865,2,lp4,,,
80.15865,3,lp3,,,
80.15865,5,lp1,,,
80.75859,4,,r1,,
81.09188999999999,4,w2,,,
81.25854,4,2-3,rb0,,
81.69183,4,,,b1,
81.69183,5,1-2,,f2,
82.19178,4,w3,,,
82.22511,5,2-3,,,
82.6584,5,sj3,,,
82.72506,4,lp3,,,
83.15835,5,w3,,,
83.29167,1,3-4,,f2,
83.29167,5,,,b1,
84.02493,1,lp4,,,
84.02493,5,lp3,,,
84.25824,1,,l1,,
84.55821,1,4-1,,,
84.95817,1,,lb0,,
85.25814,1,1-2,,,
85.72475999999999,MOT_control_all,zoom25,,
85.72475999999999,1,hj2,,,
85.72475999999999,2,hj4,,,
85.72475999999999,3,hj3,,,
85.72475999999999,4,hj3,,,
85.72475999999999,5,hj3,,,
85.82475,MOT_mc_stage_color_00,o-flash,,
86.52467999999999,2,,l1,,
86.52467999999999,4,,l1,,
86.52467999999999,3,,r1,,
86.52467999999999,5,,r1,,
86.79132,1,2-3,,,
86.79132,2,4-1,,,
86.79132,4,3-4,,,
86.79132,3,3-4,,,
86.79132,5,3-4,,,
87.09129,2,,,f2,
87.09129,3,,,f2,
87.62456999999999,1,j3-4,,,
87.62456999999999,2,j1-2,,,
87.62456999999999,3,j4-1,,,
87.72456,5,w4,,,
87.72456,4,w4,,,
88.09119,2,,lb0,,
88.09119,4,,lb0,,
88.09119,3,,rb0,,
88.09119,5,,rb0,,
88.35782999999999,1,4-1,,,
88.35782999999999,2,2-3,,,
88.35782999999999,4,4-1,,,
88.35782999999999,3,1-2,,,
88.35782999999999,5,4-1,,,
88.69113,4,lp1,,f2,
88.69113,5,lp1,,f2,
89.02443,1,1-2,,,
89.19108,2,3-4,,,
89.29106999999999,3,w2,,,
89.39106,3,2-3,,,
89.89101,4,j1-2,,,
89.89101,5,j1-2,,,
89.95767,1,w2,,,
90.12432,2,w4,,,
90.25764,1,hj2,,,
90.3243,3,w3,,,
90.79092,2,,l1,,
90.79092,3,,r1,,
90.79092,4,,l1,,
90.79092,5,,r1,,
90.95756999999999,5,w2,,,
90.95756999999999,4,w2,,,
91.09089,1,lp2,,,
91.09089,2,,lb0,,
91.09089,3,,rb0,,
91.09089,4,,lb0,,
91.09089,5,,rb0,,
91.39085999999999,1,2-3,,,
91.39085999999999,2,4-1,,,
91.39085999999999,3,3-4,,,
91.39085999999999,4,2-3,,,
91.39085999999999,5,2-3,,,
91.72416,1,hj3,,,
91.72416,2,hj1,,,
91.72416,3,hj4,,,
91.72416,4,hj3,,,
91.72416,5,hj3,,,
91.95747,MOT_control_all,zoom26,,
91.95747,MOT_mc_stage_color_00,r-flash,,
92.25744,1,sp3-4,,,
92.25744,2,sp1-2,,,
92.25744,3,sp4-1,,,
92.25744,4,sp3-4,,,
92.25744,5,sp3-4,,,
94.69053,1,j4-1,,,
94.69053,2,j2-3,,,
94.69053,3,j1-2,,,
94.69053,4,j4-1,,,
94.69053,5,j4-1,,,
95.02382999999999,MOT_mc_bg_black_00,b0-80,,
95.29047,1,,,b1,
95.29047,2,,,b1,
95.29047,3,,,b1,
95.29047,4,,,b1,
95.29047,5,,,b1,
95.29047,1,,,,D20
95.29047,2,,,,D20
95.29047,3,,,,D20
95.29047,4,,,,D20
95.29047,5,,,,D20
95.52378,1,,,,D40
95.52378,2,,,,D40
95.52378,3,,,,D40
95.52378,4,,,,D40
95.52378,5,,,,D40
95.75708999999999,5,w1,,,
95.75708999999999,4,w1,,,
95.75708999999999,3,w2,,,
95.75708999999999,2,w3,,,
95.75708999999999,1,w1,,,
96.02373,4,,l1,,
96.02373,5,,r1,,
96.657,2,,l1,,
96.657,3,,r1,,
97.59024,1,1-2,,,
97.95687,2,3-4,,,
97.95687,4,1-2,,,
97.95687,3,2-3,,,
97.95687,5,1-2,,,
98.52347999999999,1,w2,,,
98.62347,4,,lb0,,
98.62347,5,,rb0,,
98.89010999999999,5,w2,,,
98.89010999999999,4,w2,,,
98.89010999999999,3,w3,,,
98.89010999999999,2,w4,,,
99.29007,2,,lb0,,
99.29007,3,,rb0,,
99.72336,1,j2-3,,,
100.45662,4,2-3,,,
100.6566,3,3-4,,,
100.78992,1,w3,,,
100.88991,2,4-1,,,
101.12321999999999,5,2-3,,,
101.38986,4,w3,,,
101.58984,3,w4,,,
101.82315,2,w1,,,
101.85647999999999,1,sj3,,,
101.85647999999999,4,sj3,,,
101.85647999999999,5,sj3,,,
102.35642999999999,5,w3,,,
102.35642999999999,4,w3,,,
102.35642999999999,1,w3,,,
102.52308,2,sj1,,,
102.52308,3,sj4,,,
103.02302999999999,3,w4,,,
103.02302999999999,2,w1,,,
103.18968,1,j3-4,,,
103.6563,1,4-1,,,
103.6563,4,3-4,,,
103.6563,5,3-4,,,
104.35623,2,1-2,,,
104.35623,3,4-1,,,
104.58954,5,w4,,,
104.58954,4,w4,,,
104.58954,1,w1,,,
104.75618999999999,4,4-1,,,
104.75618999999999,5,4-1,,,
105.28947,3,w1,,,
105.28947,2,w2,,,
105.28947,1,j1-2,,,
105.68943,5,w1,,,
105.68943,4,w1,,,
106.22270999999999,4,sj1,,,
106.22270999999999,5,sj1,,,
106.35602999999999,1,w2,,,
106.72265999999999,5,w1,,,
106.72265999999999,4,w1,,,
106.72265999999999,1,j2-3,,,
107.08928999999999,MOT_control_all,zoom27,,
107.08928999999999,2,j2-3,,,
107.08928999999999,3,j1-2,,,
107.45591999999999,4,j1-2,,,
107.45591999999999,5,j1-2,,,
107.78922,1,w3,,,
107.92254,1,hj3,,,
107.92254,2,hj3,,,
107.92254,3,hj2,,,
107.92254,4,hj2,,,
107.92254,5,hj2,,,
108.62246999999999,2,3-4,,,
108.62246999999999,3,2-3,,,
108.6558,MOT_mc_bg_black_00,b80-20,,
108.82244999999999,1,,,,L0
108.82244999999999,2,,,,L0
108.82244999999999,3,,,,L0
108.82244999999999,4,,,,L0
108.82244999999999,5,,,,L0
108.88910999999999,1,3-4,,,
108.88910999999999,4,2-3,,,
108.88910999999999,5,2-3,,,
109.22241,2,sj4,,,
109.22241,3,sj3,,,
109.42239,1,sj4,,,
109.42239,4,sj3,,,
109.42239,5,sj3,,,
109.62236999999999,2,sj4,,,
109.72236,3,sj3,,,
109.92233999999999,5,w3,,,
109.92233999999999,4,w3,,,
109.92233999999999,1,w4,,,
109.95567,1,sj4,,,
110.12232,2,w4,,,
110.22231,3,w3,,,
110.22231,4,sj3,,,
110.22231,5,sj3,,,
110.45562,1,w4,,,
110.48894999999999,2,sj4,,,
110.48894999999999,3,sj3,,,
110.65559999999999,1,sj4,,,
110.65559999999999,4,sj3,,,
110.65559999999999,5,sj3,,,
110.9889,3,w3,,,
110.9889,2,w4,,,
111.02223,2,sj4,,,
111.02223,3,sj3,,,
111.15554999999999,5,w3,,,
111.15554999999999,4,w3,,,
111.15554999999999,1,w4,,,
111.22220999999999,1,sj4,,,
111.22220999999999,4,sj3,,,
111.22220999999999,5,sj3,,,
111.45551999999999,1,4-1,,,
111.45551999999999,2,4-1,,,
111.45551999999999,3,3-4,,,
111.45551999999999,4,3-4,,,
111.45551999999999,5,3-4,,,
111.78882,1,hj1,,,
111.78882,2,hj1,,,
111.78882,3,hj4,,,
111.78882,4,hj4,,,
111.78882,5,hj4,,,
112.35543,1,sp1-2,,,
112.35543,2,sp1-2,,,
112.35543,3,sp4-1,,,
112.35543,4,sp4-1,,,
112.35543,5,sp4-1,,,
114.85517999999999,1,hj2,,,
114.85517999999999,2,hj2,,,
114.85517999999999,3,hj1,,,
114.85517999999999,4,hj1,,,
114.85517999999999,5,hj1,,,
115.42179,1,sp2-3,,,
115.42179,2,sp2-3,,,
115.42179,3,sp1-2,,,
115.42179,4,sp1-2,,,
115.42179,5,sp1-2,,,
118.45482,1,j3-4,,,
118.68813,5,j2-3,,,
118.88811,3,sj2,,,
119.02143,4,sj2,,,
119.28806999999999,2,j3-4,,,
119.38806,3,w2,,,
119.52138,4,w2,,,
119.52138,1,j4-1,,,
119.72135999999999,4,sj2,,,
119.75469,5,w3,,,
119.85467999999999,3,sj2,,,
120.08798999999999,5,j3-4,,,
120.22130999999999,4,w2,,,
120.3213,4,j2-3,,,
120.35463,3,w2,,,
120.35463,2,w4,,,
120.52127999999999,1,sj1,,,
120.65459999999999,2,sj4,,,
120.92124,3,j2-3,,,
121.02122999999999,1,w1,,,
121.15455,5,w4,,,
121.15455,2,j4-1,,,
121.35453,5,sj4,,,
121.38785999999999,4,w3,,,
121.52118,1,hj1,,,
121.52118,2,hj1,,,
121.52118,3,hj3,,,
121.52118,4,hj3,,,
121.52118,5,hj4,,,
122.22111,MOT_control_all,zoom28,,
122.22111,1,sp1-2,,,
122.22111,2,sp1-2,,,
122.22111,3,sp3-4,,,
122.22111,4,sp3-4,,,
122.22111,5,sp4-1,,,
125.32079999999999,1,sj2,,,
125.38745999999999,2,sj2,,,
125.38745999999999,3,sj4,,,
125.45411999999999,4,sj4,,,
125.45411999999999,5,sj1,,,
125.55411,1,,,,D60
125.55411,2,,,,D60
125.55411,3,,,,D60
