0.03333,MOT_mc_bg_black_00,b80-45,,
10.53228,1,sj2,,
11.03223,1,w2,,
11.098889999999999,1,2-3,r1,
11.53218,1,3-4,,
12.032129999999999,1,sj4,,
12.432089999999999,1,lp4,,
12.76539,1,4-1,rb0,
13.09869,1,lp1,,
13.39866,1,1-2,l1,
13.831949999999999,1,lp2,,
14.065259999999999,1,2-3,,
14.665199999999999,1,sj3,,
14.69853,MOT_control_all,z02,,
14.965169999999999,1,j3-4,,
15.39846,1,4-1,lb0,
16.03173,1,1-2,,
16.43169,1,2-3,,
16.43169,2,1-2,,f1
16.43169,3,1-2,,f1
16.43169,4,1-2,,f1
16.43169,5,1-2,,f1
17.131619999999998,1,3-4,,
17.131619999999998,2,2-3,l1,
17.131619999999998,3,2-3,r1,
17.364929999999998,5,w2,,
17.364929999999998,4,w2,,
17.39826,4,2-3,l1,
17.39826,5,2-3,r1,
17.63157,1,lp4,,
17.63157,2,lp3,,
17.63157,3,lp3,,
17.63157,4,lp3,,
17.63157,5,lp3,,
17.9982,1,sj4,,
17.9982,2,sj3,,
17.9982,3,sj3,,
17.9982,4,sj3,,
17.9982,5,sj3,,
18.3315,1,4-1,,
18.3315,2,3-4,l2,
18.3315,3,3-4,r2,
18.3315,4,3-4,l2,
18.3315,5,3-4,r2,
18.764789999999998,1,sj1,,
18.83145,2,sj4,,
18.83145,3,sj4,,
18.89811,4,sj4,,
18.89811,5,sj4,,
19.26474,1,w1,,
19.3314,3,w4,,
19.3314,2,w4,,
19.364729999999998,4,4-1,lb1,
19.364729999999998,5,4-1,r3,
20.13132,3,4-1,r3,
20.13132,2,4-1,lb1,
20.29797,5,w1,,
20.29797,4,w1,,
20.93124,1,1-2,r1,
21.06456,3,w1,,
21.06456,2,w1,,
21.29787,1,lp2,,
21.29787,2,lp1,,
21.29787,3,lp1,,
21.29787,4,lp1,,
21.29787,5,lp1,,
21.997799999999998,MOT_mc_stage_color_00,r-flash,,
22.49775,1,2-3,rb0,
22.49775,2,1-2,l2,
22.49775,3,1-2,rb2,
22.49775,4,1-2,l2,
22.49775,5,1-2,rb2,
23.13102,1,3-4,,b0
23.13102,2,2-3,,b0
23.13102,3,2-3,,b0
23.13102,4,2-3,,b0
23.13102,5,2-3,,b0
23.56431,1,j4-1,,
23.56431,2,j3-4,,
23.56431,3,j3-4,,
23.56431,4,j3-4,,
23.56431,5,j3-4,,
24.030929999999998,1,lp1,,
24.030929999999998,2,lp4,,
24.030929999999998,3,lp4,,
24.030929999999998,4,lp4,,
24.030929999999998,5,lp4,,
24.76419,1,1-2,l1,
24.76419,4,4-1,l3,
24.76419,5,4-1,rb1,
24.96417,MOT_mc_stage_color_00,r-b,,
24.9975,2,4-1,lb1,
24.9975,3,4-1,r3,
25.39746,1,lp2,,
25.39746,2,lp1,,
25.39746,3,lp1,,
25.39746,4,lp1,,
25.39746,5,lp1,,
26.064059999999998,1,2-3,lb0,
26.064059999999998,4,1-2,lb2,
26.064059999999998,5,1-2,r2,
26.297369999999997,2,1-2,l2,
26.297369999999997,3,1-2,rb2,
26.73066,1,lp3,,
26.73066,2,lp2,,
26.73066,3,lp2,,
26.73066,4,lp2,,
26.73066,5,lp2,,
26.9973,1,3-4,,
27.3306,2,2-3,l3,
27.3306,3,2-3,r3,
27.697229999999998,4,2-3,l3,
27.697229999999998,5,2-3,r3,
27.930539999999997,1,w4,,
28.097189999999998,1,4-1,,
28.097189999999998,2,3-4,,
28.097189999999998,3,3-4,,
28.097189999999998,4,3-4,,
28.097189999999998,5,3-4,,
28.56381,1,1-2,r1,
28.56381,2,4-1,lb2,
28.56381,3,4-1,r4,
28.56381,4,4-1,lb2,
28.56381,5,4-1,r4,
29.19708,1,2-3,,
29.19708,2,1-2,,
29.19708,3,1-2,,
29.19708,4,1-2,,
29.19708,5,1-2,,
29.497049999999998,1,sj3,,
29.497049999999998,2,sj2,,
29.497049999999998,3,sj2,,
29.497049999999998,4,sj2,,
29.497049999999998,5,sj2,,
29.897009999999998,1,3-4,rb0,
29.897009999999998,2,2-3,l3,
29.897009999999998,3,2-3,rb3,
29.897009999999998,4,2-3,l3,
29.897009999999998,5,2-3,rb3,
30.59694,1,4-1,,
30.59694,2,3-4,,
30.59694,3,3-4,,
30.59694,4,3-4,,
30.59694,5,3-4,,
30.89691,1,sj1,,
30.89691,2,sj4,,
30.89691,3,sj4,,
30.89691,4,sj4,,
30.89691,5,sj4,,
31.330199999999998,1,lp1,,
31.330199999999998,2,lp4,,
31.330199999999998,3,lp4,,
31.330199999999998,4,lp4,,
31.330199999999998,5,lp4,,
32.03013,2,4-1,,
32.03013,3,4-1,,
32.296769999999995,1,1-2,,
32.296769999999995,4,4-1,,
32.296769999999995,5,4-1,,
32.89671,1,hj2,,
32.96337,3,w1,,
32.96337,2,w1,,
33.23001,5,w1,,
33.23001,4,w1,,
33.23001,2,hj1,,
33.23001,3,hj1,,
33.56331,4,hj1,,
33.56331,5,hj1,,
34.12992,1,w2,,
34.42989,2,1-2,lb2,
34.42989,3,1-2,rb2,
34.76319,4,1-2,lb2,
34.76319,5,1-2,rb2,
34.79652,MOT_control_all,z03,,
35.129819999999995,1,j2-3,,
35.129819999999995,2,j2-3,,
35.129819999999995,3,j2-3,,
35.129819999999995,4,j2-3,,
35.129819999999995,5,j2-3,,
35.59644,2,3-4,,f1
36.19638,5,w3,,
36.19638,4,w3,,
36.19638,3,w3,,
36.19638,1,w3,,
36.363029999999995,2,4-1,lb1,
36.729659999999996,2,lp1,,
37.129619999999996,2,1-2,,
37.42959,2,2-3,lb0,
37.896209999999996,2,sj3,,
38.29617,2,lp3,,
38.6628,2,sp3-4,,
39.42939,2,sj4,,
39.929339999999996,2,w4,,
40.19598,2,4-1,r1,
40.72926,2,sj1,,
40.96257,2,j1-2,,
41.72916,2,2-3,rb0,
42.09579,2,3-4,l1,
42.56241,2,lp4,,
44.028929999999995,2,sj4,,
44.428889999999996,2,j4-1,,
44.795519999999996,2,1-2,lb0,
45.56211,2,lp2,,
45.96207,2,2-3,l1,
46.3287,2,lp3,,
46.462019999999995,MOT_control_all,z04,,
47.09529,3,3-4,,f1
47.09529,2,3-4,,b0
47.86188,3,4-1,rb1,
48.028529999999996,2,w4,,
48.29517,3,lp1,,
48.62847,3,1-2,rb0,
49.02843,3,lp2,,
49.42839,3,sp2-3,,
50.528279999999995,3,hj3,,
51.328199999999995,3,3-4,r1,
51.694829999999996,3,4-1,r2,
52.128119999999996,3,lp1,,
52.46142,3,j1-2,,
52.86138,3,lp2,,
53.26134,3,hj2,,
54.3279,3,2-3,rb1,
54.76119,3,lp3,,
55.16115,3,j3-4,,
55.52778,3,4-1,rb0,
55.92774,3,sp1-2,,
57.060959999999994,3,2-3,r1,
57.460919999999994,3,sj3,,
57.894209999999994,MOT_control_all,z05,,
57.894209999999994,3,lp3,,
58.994099999999996,4,3-4,,f1
58.994099999999996,3,3-4,,b0
59.72736,4,lp4,,
59.927339999999994,3,w4,,
60.12732,4,4-1,lb1,
60.49395,4,1-2,lb0,
60.89391,4,2-3,,
61.3272,4,sj3,,
61.6605,4,lp3,,
62.02713,4,3-4,r1,
62.42709,4,lp4,,
62.79372,4,sj4,,
63.19368,4,lp4,,
63.526979999999995,4,4-1,rb0,
63.893609999999995,4,lp1,,
64.22691,4,1-2,l1,
64.26024,MOT_control_all,z06,,
64.52687999999999,4,2-3,,b0
65.09349,5,3-4,,f1
65.46012,4,w3,,
65.59344,5,sj4,,
65.96007,5,4-1,rb1,
66.26004,5,1-2,rb0,
66.69333,5,j2-3,,
67.19328,5,lp3,,
67.42658999999999,5,3-4,r1,
67.82655,5,lp4,,
68.15984999999999,5,sp4-1,,
68.92644,5,sj1,,
69.32639999999999,5,1-2,,
69.55971,MOT_mc_stage_color_00,y-flash,,
69.69303,MOT_control_all,z07,,
69.72636,1,sj3,,
69.72636,2,sj4,,
69.72636,3,sj4,,
69.72636,4,sj3,,
69.72636,5,sj2,,
69.993,MOT_mc_special_01,confetti,,
69.993,MOT_mc_light_center_00,l2,,
69.993,MOT_mc_back_00,himawari,,
69.993,MOT_mc_bg_black_00,none,,
70.09299,1,3-4,,f1
70.09299,2,4-1,,f1
70.09299,3,4-1,,f1
70.09299,4,3-4,,f1
70.09299,5,2-3,,
70.45962,5,3-4,r2,
70.45962,3,1-2,r2,
70.45962,4,4-1,l2,
70.45962,2,1-2,l2,
70.45962,1,4-1,,
70.85958,3,2-3,r3,
70.85958,2,2-3,lb1,
71.25954,1,lp1,,
71.25954,2,lp3,,
71.25954,3,lp3,,
71.25954,4,lp1,,
71.25954,5,lp4,,
72.39276,5,4-1,r3,
72.39276,4,1-2,lb1,
72.39276,1,1-2,r1,
72.79272,5,lp1,,
72.79272,4,lp2,,
72.79272,1,lp2,,
73.15935,1,j2-3,,
73.55931,1,lp3,,
73.92594,2,j3-4,,
73.92594,3,j3-4,,
74.15925,4,j2-3,,
74.15925,5,j1-2,,
74.69252999999999,1,3-4,rb0,
74.89251,2,4-1,l2,
74.89251,3,4-1,rb2,
75.09249,4,3-4,l2,
75.09249,5,2-3,rb2,
75.45912,1,lp4,,
75.45912,2,lp1,,
75.45912,3,lp1,,
75.45912,4,lp4,,
75.45912,5,lp3,,
75.85907999999999,2,1-2,l3,
75.85907999999999,3,1-2,rb1,
76.22570999999999,1,4-1,l1,
76.22570999999999,4,4-1,l3,
76.22570999999999,5,3-4,rb1,
76.62567,1,j1-2,,
76.62567,2,j2-3,,
76.62567,3,j2-3,,
76.62567,4,j1-2,,
76.62567,5,j4-1,,
77.05896,1,lp2,,
77.05896,2,lp3,,
77.05896,3,lp3,,
77.05896,4,lp2,,
77.05896,5,lp1,,
77.75889,2,3-4,lb2,
77.75889,3,3-4,r2,
78.15885,2,lp4,,
78.15885,3,lp4,,
78.52548,1,2-3,lb0,
78.52548,4,2-3,lb2,
78.52548,5,1-2,r2,
78.92544,1,lp3,,
78.92544,4,lp3,,
78.92544,5,lp2,,
79.29207,2,4-1,,
79.29207,3,4-1,,
79.59204,2,lp1,,
79.59204,3,lp1,,
79.69203,1,3-4,,
79.69203,2,1-2,,
79.69203,3,1-2,,
79.69203,4,3-4,,
79.69203,5,2-3,,
80.05866,1,lp4,,
80.05866,2,lp2,,
80.05866,3,lp2,,
80.05866,4,lp4,,
80.05866,5,lp3,,
80.45862,2,2-3,lb1,
80.45862,3,2-3,r3,
80.45862,1,4-1,r1,
80.45862,4,4-1,lb1,
80.45862,5,3-4,r3,
80.92524,1,lp1,,
80.92524,2,lp3,,
80.92524,3,lp3,,
80.92524,4,lp1,,
80.92524,5,lp4,,
81.39186,1,hj1,,
81.39186,2,hj3,,
81.39186,3,hj3,,
81.39186,4,hj1,,
81.39186,5,hj4,,
82.35843,1,1-2,r2,
82.35843,2,3-4,lb0,
82.35843,3,3-4,r4,
82.35843,4,1-2,lb0,
82.35843,5,4-1,r4,
82.72506,1,2-3,r3,
82.72506,2,4-1,r1,
82.72506,3,4-1,r5,
82.72506,4,2-3,r1,
82.72506,5,1-2,r5,
83.12501999999999,1,lp3,,
83.12501999999999,2,lp1,,
83.12501999999999,3,lp1,,
83.12501999999999,4,lp3,,
83.12501999999999,5,lp2,,
83.52498,1,3-4,rb2,
83.52498,2,1-2,rb0,
83.52498,3,1-2,rb4,
83.52498,4,3-4,rb0,
83.52498,5,2-3,rb4,
83.89161,1,lp4,,
83.89161,2,lp2,,
83.89161,3,lp2,,
83.89161,4,lp4,,
83.89161,5,lp3,,
84.22491,1,4-1,rb1,
84.22491,2,2-3,l1,
84.22491,3,2-3,rb3,
84.22491,4,4-1,l1,
84.22491,5,3-4,rb3,
85.02483,1,sp1-2,,
85.15814999999999,5,w4,,
85.15814999999999,4,w1,,
85.15814999999999,3,w3,,
85.15814999999999,2,w3,,
85.22480999999999,2,sp3-4,,
85.22480999999999,3,sp3-4,,
85.42479,4,sp1-2,,
85.42479,5,sp4-1,,
86.19138,1,sj2,,
86.19138,2,sj4,,
86.19138,3,sj4,,
86.19138,5,sj1,,
86.19138,4,sj2,,
86.59134,1,2-3,,
86.59134,2,4-1,,
86.59134,3,4-1,,
86.59134,5,1-2,,
86.59134,4,2-3,,
86.95797,1,hj3,,
86.95797,2,hj1,,
86.95797,3,hj1,,
86.95797,5,hj2,,
86.95797,4,hj3,,
87.59124,MOT_mc_stage_color_00,y-flash,,
87.72456,1,3-4,rb0,
87.72456,2,1-2,l2,
87.72456,3,1-2,rb2,
87.72456,5,2-3,rb2,
87.72456,4,3-4,l2,
88.49114999999999,1,4-1,l1,
88.49114999999999,2,2-3,l3,
88.49114999999999,3,2-3,rb1,
88.49114999999999,5,3-4,rb1,
88.49114999999999,4,4-1,l3,
89.25774,1,sj1,,
89.25774,2,sj3,,
89.25774,3,sj3,,
89.25774,4,sj1,,
89.25774,5,sj4,,
89.69103,1,lp1,,
89.69103,2,lp3,,
89.69103,3,lp3,,
89.69103,4,lp1,,
89.69103,5,lp4,,
90.02432999999999,1,1-2,lb0,
90.02432999999999,2,3-4,lb2,
90.02432999999999,3,3-4,r2,
90.02432999999999,5,4-1,r2,
90.02432999999999,4,1-2,lb2,
90.79092,MOT_mc_stage_color_00,y-flash,,
90.79092,1,sp2-3,,
90.79092,2,sp4-1,,
90.79092,3,sp4-1,,
90.79092,4,sp2-3,,
90.79092,5,sp1-2,,
91.55751,1,3-4,r1,
91.55751,2,1-2,lb1,
91.55751,3,1-2,r3,
91.55751,5,2-3,r3,
91.55751,4,3-4,lb1,
91.92414,1,lp4,,
91.92414,2,lp2,,
91.92414,3,lp2,,
91.92414,4,lp4,,
91.92414,5,lp3,,
92.3241,1,j4-1,,
92.3241,2,j2-3,,
92.3241,3,j2-3,,
92.3241,4,j4-1,,
92.3241,5,j3-4,,
92.72406,1,1-2,,
92.72406,2,3-4,,
92.72406,3,3-4,,
92.72406,4,1-2,,
92.72406,5,4-1,,
93.15735,1,lp2,,
93.15735,2,lp4,,
93.15735,3,lp4,,
93.15735,4,lp2,,
93.15735,5,lp1,,
93.85728,1,hj2,,
93.85728,2,hj4,,
93.85728,3,hj4,,
93.85728,4,hj2,,
93.85728,5,hj1,,
94.9905,1,2-3,r2,
94.9905,2,4-1,lb0,
94.9905,3,4-1,r4,
94.9905,4,2-3,lb0,
94.9905,5,1-2,r4,
95.39045999999999,1,3-4,r3,
95.39045999999999,2,1-2,r1,
95.39045999999999,3,1-2,r5,
95.39045999999999,4,3-4,r1,
95.39045999999999,5,2-3,r5,
96.15705,1,4-1,rb2,
96.15705,2,2-3,rb0,
96.15705,3,2-3,rb4,
96.15705,4,4-1,rb0,
96.15705,5,3-4,rb4,
96.52368,1,1-2,rb1,
96.52368,2,3-4,l1,
96.52368,3,3-4,rb3,
96.52368,4,1-2,l1,
96.52368,5,4-1,rb3,
97.3236,1,j2-3,,
97.3236,2,j4-1,,
97.3236,3,j4-1,,
97.3236,4,j2-3,,
97.3236,5,j1-2,,
98.09018999999999,1,3-4,rb0,
98.09018999999999,2,1-2,l2,
98.09018999999999,3,1-2,rb2,
98.09018999999999,4,3-4,l2,
98.09018999999999,5,2-3,rb2,
98.45682,1,4-1,l1,
98.45682,2,2-3,l3,
98.45682,3,2-3,rb1,
98.45682,4,4-1,l3,
98.45682,5,3-4,rb1,
99.22341,1,1-2,lb0,
99.22341,2,3-4,lb2,
99.22341,3,3-4,r2,
99.22341,4,1-2,lb2,
99.22341,5,4-1,r2,
99.59004,1,2-3,r1,
99.59004,2,4-1,lb1,
99.59004,3,4-1,r3,
99.59004,4,2-3,lb1,
99.59004,5,1-2,r3,
99.99,1,sj3,,
99.99,2,sj1,,
99.99,3,sj1,,
99.99,4,sj3,,
99.99,5,sj2,,
100.35663,1,j3-4,,
100.35663,2,j1-2,,
100.35663,3,j1-2,,
100.35663,4,j3-4,,
100.35663,5,j2-3,,
100.75658999999999,1,4-1,rb0,
100.75658999999999,2,2-3,l2,
100.75658999999999,3,2-3,rb2,
100.75658999999999,4,4-1,l2,
100.75658999999999,5,3-4,rb2,
101.15655,1,j1-2,,
101.15655,2,j3-4,,
101.15655,3,j3-4,,
101.15655,4,j1-2,,
101.15655,5,j4-1,,
101.6565,1,lp2,,
101.6565,2,lp4,,
101.6565,3,lp4,,
101.6565,4,lp2,,
101.6565,5,lp1,,
101.92313999999999,1,2-3,,
101.92313999999999,2,4-1,,
101.92313999999999,3,4-1,,
101.92313999999999,4,2-3,,
101.92313999999999,5,1-2,,
102.28976999999999,1,lp3,,
102.28976999999999,2,lp1,,
102.28976999999999,3,lp1,,
102.28976999999999,4,lp3,,
102.28976999999999,5,lp2,,
102.65639999999999,1,3-4,,
102.65639999999999,2,1-2,lb1,
102.65639999999999,3,1-2,rb1,
102.65639999999999,4,3-4,lb1,
102.65639999999999,5,2-3,rb1,
103.05636,1,j4-1,,
103.05636,2,j2-3,,
103.05636,3,j2-3,,
103.05636,4,j4-1,,
103.05636,5,j3-4,,
103.58963999999999,1,lp1,,
103.58963999999999,2,lp3,,
103.58963999999999,3,lp3,,
103.58963999999999,4,lp1,,
103.58963999999999,5,lp4,,
103.82294999999999,1,1-2,,
103.82294999999999,2,3-4,,
103.82294999999999,3,3-4,,
103.82294999999999,4,1-2,,
103.82294999999999,5,4-1,,
104.18957999999999,1,sp2-3,,
104.18957999999999,2,sp4-1,,
104.18957999999999,3,sp4-1,,
104.18957999999999,4,sp2-3,,
104.18957999999999,5,sp1-2,,
104.95617,1,sj3,,
104.95617,4,sj3,,
104.95617,5,sj2,,
105.35613,2,sj1,,
105.35613,3,sj1,,
105.45612,5,w2,,
105.45612,4,w3,,
105.45612,1,w3,,
105.72276,1,lp3,,
105.72276,2,lp1,,
105.72276,3,lp1,,
105.72276,4,lp3,,
105.72276,5,lp2,,
106.48935,1,3-4,,
106.48935,2,1-2,l2,
106.48935,3,1-2,r2,
106.48935,4,3-4,l2,
106.48935,5,2-3,r2,
106.88931,1,j4-1,,
106.88931,2,j2-3,,
106.88931,3,j2-3,,
106.88931,4,j4-1,,
106.88931,5,j3-4,,
107.38926,1,lp1,,
107.38926,2,lp3,,
107.38926,3,lp3,,
107.38926,4,lp1,,
107.38926,5,lp4,,
108.42249,1,hj1,,
108.82244999999999,2,hj3,,
108.82244999999999,3,hj3,,
109.18907999999999,4,hj1,,
109.18907999999999,5,hj4,,
109.6557,1,w1,,
109.95567,1,1-2,,
109.95567,2,3-4,,
109.95567,3,3-4,,
109.95567,4,1-2,,
109.95567,5,4-1,,
110.35562999999999,1,lp2,,
110.35562999999999,2,lp4,,
110.35562999999999,3,lp4,,
110.35562999999999,4,lp2,,
110.35562999999999,5,lp1,,
110.72225999999999,1,2-3,,
110.72225999999999,2,4-1,lb1,
110.72225999999999,3,4-1,rb1,
110.72225999999999,4,2-3,lb1,
110.72225999999999,5,1-2,rb1,
111.12222,1,3-4,,
111.12222,2,1-2,,
111.12222,3,1-2,,
111.12222,4,3-4,,
111.12222,5,2-3,,
111.48885,1,sj4,,
111.48885,2,sj2,,
111.48885,3,sj2,,
111.48885,4,sj4,,
111.48885,5,sj3,,
111.85548,1,lp4,,
111.85548,2,lp2,,
111.85548,3,lp2,,
111.85548,4,lp4,,
111.85548,5,lp3,,
112.25544,1,4-1,,
112.25544,2,2-3,,
112.25544,3,2-3,,
112.25544,4,4-1,,
112.25544,5,3-4,,
112.6554,1,1-2,,
112.6554,2,3-4,l2,
112.6554,3,3-4,r2,
112.6554,4,1-2,l2,
112.6554,5,4-1,r2,
113.02203,1,lp2,,
113.02203,2,lp4,,
113.02203,3,lp4,,
113.02203,4,lp2,,
113.02203,5,lp1,,
113.78862,1,sp2-3,,
113.78862,2,sp4-1,,
113.78862,3,sp4-1,,
113.78862,4,sp2-3,,
113.78862,5,sp1-2,,
114.55520999999999,1,j3-4,,
114.92183999999999,2,j1-2,,
114.92183999999999,3,j1-2,,
115.3218,4,j3-4,,
115.3218,5,j2-3,,
115.62177,1,w4,,
115.9884,3,w2,,
115.9884,2,w2,,
116.08838999999999,1,sj4,,
116.08838999999999,2,sj2,,
116.08838999999999,3,sj2,,
116.08838999999999,4,sj4,,
116.08838999999999,5,sj3,,
116.45501999999999,1,j4-1,,
116.45501999999999,2,j2-3,,
116.45501999999999,3,j2-3,,
116.45501999999999,4,j4-1,,
116.45501999999999,5,j3-4,,
116.85498,1,sj1,,
116.85498,2,sj3,,
116.85498,3,sj3,,
116.85498,4,sj1,,
116.85498,5,sj4,,
117.28827,1,1-2,,
117.28827,2,3-4,,
117.28827,3,3-4,,
117.28827,4,1-2,,
117.28827,5,4-1,,
117.62156999999999,1,sj2,,
117.62156999999999,2,sj4,,
117.62156999999999,3,sj4,,
117.62156999999999,4,sj2,,
117.62156999999999,5,sj1,,
118.05485999999999,1,2-3,,
118.05485999999999,2,4-1,,
118.05485999999999,3,4-1,,
118.05485999999999,4,2-3,,
118.05485999999999,5,1-2,,
118.18817999999999,MOT_mc_special_01,confetti_out,,
118.38816,1,hj3,,
118.38816,2,hj1,,
118.38816,3,hj1,,
118.38816,4,hj3,,
118.38816,5,hj2,,
119.62137,5,w2,,
119.62137,4,w3,,
119.62137,3,w1,,
119.62137,2,w1,,
119.62137,1,w3,,
