0.03333,MOT_mc_bg_black_00,b65,,
32.9967,2,3-4,,f1,
32.9967,1,,,,D20
32.9967,2,,,,L0
33.42999,2,4-1,,,
33.896609999999995,2,sj1,,,
33.92994,1,w4,,,
34.39656,2,sp1-2,,,
35.29647,1,4-1,,,
35.29647,2,2-3,,,
35.79642,1,1-2,,,
35.79642,2,hj3,,,
35.86308,MOT_mc_stage_color_00,b-flash,,
36.729659999999996,1,w2,,,
36.729659999999996,MOT_control_all,mystery_zoom_04,,
36.729659999999996,MOT_mc_stage_color_00,b-r,,
36.729659999999996,1,2-3,,f1,
36.729659999999996,2,3-4,,b0,
36.729659999999996,1,,,,L0
36.729659999999996,2,,,,D20
37.162949999999995,1,3-4,,,
37.62957,1,sj4,,,
37.6629,2,w4,,,
38.06286,1,sp4-1,,,
38.9961,1,1-2,,,
38.9961,2,4-1,,,
39.49605,1,hj2,,,
39.49605,2,1-2,,,
39.562709999999996,MOT_mc_stage_color_00,b-flash,,
40.42929,2,w2,,,
40.42929,1,2-3,,b0,
40.42929,1,,,,D20
40.86258,1,3-4,,,
40.86258,2,2-3,,f1,
40.86258,2,,,,L0
40.89591,MOT_control_all,mystery_zoom_05,,
41.36253,2,sj3,,,
41.79582,1,w4,,,
41.86248,2,w3,,,
42.29577,2,3-4,,,
43.162349999999996,2,sp4-1,,,
44.062259999999995,1,4-1,,,
44.062259999999995,2,1-2,,,
44.16225,MOT_mc_stage_color_00,b-flash,,
44.92884,MOT_control_all,mystery_zoom_06,,
44.92884,1,1-2,,f1,
44.92884,2,2-3,,b0,
44.92884,1,,,,L0
44.92884,2,,,,D20
45.36213,1,2-3,,,
45.82875,1,sp3-4,,,
45.82875,2,3-4,,,
46.56201,1,hj4,,,
46.56201,2,4-1,,,
46.62867,MOT_mc_stage_color_00,b-flash,,
46.9953,MOT_all,MH_cut3,,
47.328599999999994,1,4-1,,,
47.328599999999994,2,1-2,,f1,
47.328599999999994,2,,,,L0
47.36193,MOT_control_all,mystery_zoom_07,,
47.36193,MOT_mc_stage_color_00,r-flash,,
47.36193,MOT_mc_bg_black_00,b45-0,,
47.661899999999996,1,1-2,,,
47.661899999999996,2,2-3,,,
47.82855,MOT_mc_stage_color_00,b-flash,,
48.16185,2,3-4,,,
48.528479999999995,1,2-3,,,
49.02843,1,sp3-4,,,
49.02843,2,sp4-1,,,
49.86168,2,j1-2,,,
50.161649999999995,1,j4-1,,,
50.76159,1,1-2,r1,,
50.76159,2,2-3,l1,,
51.294869999999996,1,sp2-3,,,
51.294869999999996,2,sp3-4,,,
51.82815,1,j3-4,,,
51.82815,2,j4-1,,,
52.3281,1,4-1,,,
52.76139,2,1-2,,,
53.26134,1,w1,,,
53.327999999999996,1,1-2,,,
53.327999999999996,2,2-3,,,
53.794619999999995,1,,rb0,,
53.794619999999995,2,,lb0,,
54.26124,2,w3,,,
54.26124,1,hj2,,,
54.26124,2,hj3,,,
54.3279,MOT_mc_stage_color_00,b-flash,,
55.16115,1,2-3,,,
55.16115,2,3-4,,,
55.59444,1,3-4,,,
55.59444,2,4-1,,,
55.9944,2,1-2,,,
56.42769,1,4-1,,,
56.82765,1,,r1,,
56.82765,2,,l1,,
56.92764,2,w2,,,
57.3276,1,j1-2,,,
57.59424,2,j2-3,,,
58.12752,1,2-3,,,
58.12752,2,3-4,,,
58.627469999999995,1,,rb0,,
58.627469999999995,2,,lb0,,
59.060759999999995,1,w3,,,
59.060759999999995,2,w4,,,
59.16075,1,3-4,,,
59.16075,2,4-1,,,
59.76069,1,sj4,,,
59.76069,2,sj1,,,
60.260639999999995,1,w4,,,
60.260639999999995,2,w1,,,
60.52728,1,sp4-1,,,
60.52728,2,sp1-2,,,
61.6605,1,hj1,,,
61.6605,2,hj2,,,
61.893809999999995,MOT_mc_stage_color_00,r-flash,,
62.16045,MOT_mc_stage_color_00,b-flash,,
62.660399999999996,MOT_control_all,mystery_zoom_08,,
62.660399999999996,1,1-2,,,
62.660399999999996,2,2-3,,,
63.29367,1,2-3,,,
63.29367,2,3-4,,,
63.72696,1,,r1,,
63.72696,2,,l1,,
64.22691,1,w3,,,
64.22691,2,w4,,,
64.46021999999999,2,4-1,,,
64.79352,1,3-4,,,
65.16015,1,4-1,,,
65.16015,2,1-2,,,
65.26013999999999,MOT_mc_stage_color_00,b-flash,,
65.49345,1,1-2,,,
65.49345,2,2-3,,,
65.56011,MOT_mc_stage_color_00,r-flash,,
65.89341,1,,rb0,,
65.89341,2,,lb0,,
66.16005,1,j2-3,,,
66.16005,2,j3-4,,,
66.3267,MOT_mc_stage_color_00,b-flash,,
67.22661,1,w3,,,
67.22661,2,w4,,,
67.82655,MOT_control_all,mystery_zoom_09,,
67.82655,1,3-4,,b0,
67.82655,2,4-1,,,
67.82655,1,,,,D20
68.42649,2,1-2,,,
68.75979,1,w4,,,
68.92644,1,4-1,,,
68.92644,2,hj2,,,
69.09309,MOT_mc_stage_color_00,b-flash,,
69.85968,1,w1,,,
70.09299,MOT_control_all,mystery_zoom_10,,
70.09299,1,1-2,,f1,
70.09299,2,2-3,,,
70.09299,1,,,,L0
70.69292999999999,1,,r1,,
70.69292999999999,2,,l1,,
71.02623,1,w2,,,
71.02623,2,w3,,,
71.09289,1,2-3,,,
71.45952,2,3-4,,,
71.9928,1,3-4,rb0,,
71.9928,2,4-1,lb0,,
72.52608,2,j1-2,,,
72.65939999999999,MOT_mc_stage_color_00,b-flash,,
72.79272,1,j4-1,,,
73.05936,MOT_mc_stage_color_00,r-flash,,
73.29267,1,1-2,,,
73.29267,2,2-3,,,
73.62597,1,sj2,,,
73.62597,2,sj3,,,
73.72596,MOT_mc_stage_color_00,b-flash,,
74.12592,1,w2,,,
74.12592,2,w3,,,
75.12581999999999,MOT_control_all,mystery_zoom_11,,
75.12581999999999,1,2-3,,,
75.12581999999999,2,3-4,,b0,
75.12581999999999,2,,,,D20
75.72576,1,3-4,,,
76.05906,2,w4,,,
76.29236999999999,1,hj4,,,
76.29236999999999,2,4-1,,,
76.35902999999999,MOT_mc_stage_color_00,b-flash,,
77.12562,MOT_control_all,mystery_zoom_12,,
77.22561,2,w1,,,
77.22561,MOT_mc_stage_color_00,b-flash,,
77.22561,MOT_mc_bg_black_00,b0-20,,
77.22561,1,,,b0,
77.22561,2,1-2,,f1,
77.22561,1,,,,D20
77.22561,2,,,,L0
77.52557999999999,1,w4,,,
77.89220999999999,1,4-1,,f1,
77.89220999999999,2,,,b0,
77.89220999999999,1,,,,L0
77.89220999999999,2,,,,D20
78.15885,2,w2,,,
78.29217,1,hj1,,,
79.09209,MOT_mc_stage_color_00,b-flash,,
79.09209,1,,,b0,
79.09209,2,2-3,,f1,
79.09209,1,,,,D20
79.09209,2,,,,L0
79.52538,1,w1,,,
79.6587,1,1-2,,f1,
79.6587,2,,,b0,
79.6587,1,,,,L0
79.6587,2,,,,D20
80.02533,2,w3,,,
80.02533,1,2-3,,,
80.82525,1,,,b0,
80.82525,2,3-4,,f1,
80.82525,1,,,,D20
80.82525,2,,,,L0
80.85858,MOT_mc_stage_color_00,b-flash,,
80.95857,1,w3,,,
81.52517999999999,1,3-4,,f1,
81.52517999999999,2,,,b0,
81.52517999999999,1,,,,L0
81.52517999999999,2,,,,D20
81.75849,2,w4,,,
81.89180999999999,1,j4-1,,,
82.75838999999999,MOT_mc_stage_color_00,r-flash,,
82.75838999999999,1,1-2,,,
82.75838999999999,2,4-1,,f1,
82.75838999999999,2,,,,L0
83.25833999999999,1,sp2-3,,,
83.25833999999999,2,sp1-2,,,
83.79162,1,hj3,,,
83.79162,2,hj2,,,
83.82495,MOT_mc_stage_color_00,b-flash,,
84.6582,1,j3-4,,,
84.6582,2,,,b0,
84.6582,2,,,,D20
84.72485999999999,MOT_mc_stage_color_00,r-flash,,
85.02483,2,w2,,,
85.25814,1,,,b0,
85.25814,2,2-3,,f1,
85.25814,1,,,,D20
85.25814,2,,,,L0
85.62477,2,3-4,,,
85.72475999999999,1,w4,,,
86.49135,1,4-1,,f1,
86.49135,2,,,b0,
86.49135,1,,,,L0
86.49135,2,,,,D20
86.55801,2,w4,,,
86.55801,MOT_mc_stage_color_00,r-flash,,
87.05796,1,,,b0,
87.05796,2,4-1,,f1,
87.05796,1,,,,D20
87.05796,2,,,,L0
87.42459,1,w1,,,
87.42459,2,sj1,,,
87.92454,2,w1,,,
88.25784,1,1-2,,f1,
88.25784,2,,,b0,
88.25784,1,,,,L0
88.25784,2,,,,D20
88.35782999999999,MOT_mc_stage_color_00,r-flash,,
88.92443999999999,1,,,b0,
88.92443999999999,2,1-2,,f1,
88.92443999999999,1,,,,D20
88.92443999999999,2,,,,L0
89.19108,1,w2,,,
89.25774,2,hj2,,,
90.15764999999999,MOT_mc_stage_color_00,r-flash,,
90.15764999999999,1,2-3,,f1,
90.15764999999999,2,2-3,,,
90.15764999999999,1,,,,L0
90.6576,1,3-4,,,
90.6576,2,3-4,,,
91.12422,MOT_mc_stage_color_00,b-flash,,
91.12422,1,hj4,,,
91.12422,2,hj4,,,
91.9908,1,sp4-1,,,
91.9908,2,sp4-1,,,
91.9908,1,,,,D20
91.9908,2,,,,D20
92.09079,MOT_mc_stage_color_00,b-r,,
92.09079,MOT_mc_bg_black_00,b20-65,,
92.92403999999999,1,1-2,,b0,
92.92403999999999,2,1-2,,b0,
93.15735,MOT_control_all,mystery_zoom_13,,
93.42398999999999,MOT_mc_bg_black_00,b65-45,,
93.42398999999999,2,,,,L0
93.45732,1,2-3,,,
93.45732,2,2-3,,f1,
93.85728,2,3-4,,,
93.9906,MOT_mc_stage_color_00,r-flash,,
94.39056,1,w3,,,
94.39056,2,,r1,,
94.79052,2,w4,,,
95.15715,1,3-4,,,
95.15715,2,4-1,,,
96.09039,1,w4,,,
96.09039,2,w1,,,
96.29037,2,,rb0,,
96.82365,1,lp4,,,
96.82365,2,1-2,,,
97.3236,2,2-3,,,
98.25684,2,w3,,,
98.42349,2,,l1,,
99.32339999999999,1,4-1,,,
99.32339999999999,2,3-4,,,
99.42339,MOT_mc_stage_color_00,r-flash,,
99.75668999999999,2,4-1,lb0,,
100.25663999999999,1,w1,,,
100.32329999999999,1,1-2,,,
100.32329999999999,2,hj1,,,
100.35663,MOT_mc_stage_color_00,r-flash,,
101.22321,1,2-3,,f1,
101.22321,2,1-2,,b0,
101.22321,1,,,,L0
101.22321,2,,,,D20
101.25654,MOT_control_all,mystery_zoom_14,,
101.25654,MOT_mc_stage_color_00,b-flash,,
101.72316,1,,l1,,
102.15644999999999,1,w3,,,
102.15644999999999,2,w2,,,
102.25644,1,3-4,,,
102.9897,1,,lb0,,
102.9897,2,2-3,,,
103.18968,1,w4,,,
103.62297,1,4-1,,,
103.62297,2,3-4,,,
104.18957999999999,1,1-2,,,
104.18957999999999,2,4-1,,,
104.78952,1,,r1,,
104.78952,2,lp1,,,
105.12281999999999,1,w2,,,
105.82275,1,j2-3,,,
106.62267,1,3-4,,,
106.62267,2,1-2,,,
106.65599999999999,MOT_mc_stage_color_00,b-flash,,
107.18928,1,4-1,rb0,,
107.18928,2,2-3,,,
107.62257,1,hj1,,,
107.62257,2,3-4,,,
107.65589999999999,MOT_mc_stage_color_00,b-flash,,
108.28917,MOT_control_all,mystery_zoom_15,,
108.28917,MOT_mc_stage_color_00,b-flash,,
108.28917,MOT_mc_bg_black_00,b45-0,,
108.28917,1,1-2,,b0,
108.28917,2,4-1,,,
108.28917,2,,,,L0
108.88910999999999,1,2-3,,f1,
108.88910999999999,2,1-2,,f1,
109.48904999999999,1,3-4,,,
109.48904999999999,2,2-3,,,
109.88901,1,j4-1,,,
110.25564,2,j3-4,,,
110.75559,1,sp1-2,,,
110.75559,2,sp4-1,,,
111.35553,2,1-2,,,
111.42219,MOT_mc_stage_color_00,b-flash,,
111.65549999999999,1,2-3,,,
111.78882,MOT_mc_stage_color_00,b-flash,,
112.02212999999999,1,3-4,,,
112.02212999999999,2,2-3,,,
112.42209,1,,r1,,
112.42209,2,,l1,,
112.45541999999999,MOT_mc_stage_color_00,b-flash,,
112.95537,1,w4,,,
112.95537,2,w3,,,
113.92193999999999,1,4-1,,,
113.92193999999999,2,3-4,,,
113.95527,MOT_mc_stage_color_00,b-flash,,
114.48854999999999,1,,rb0,,
114.48854999999999,2,,lb0,,
114.85517999999999,1,w1,,,
114.85517999999999,2,w4,,,
115.08849,1,j1-2,,,
115.08849,2,j4-1,,,
115.15514999999999,MOT_mc_stage_color_00,b-flash,,
116.15504999999999,1,w2,,,
116.15504999999999,2,w1,,,
116.18838,1,,l1,,
116.18838,2,,l1,,
116.62167,1,2-3,,,
116.62167,2,1-2,,,
116.95496999999999,2,2-3,,,
117.22161,1,3-4,,,
117.62156999999999,1,,lb0,,
117.62156999999999,2,,lb0,,
117.88821,2,w3,,,
118.02153,1,j4-1,,,
118.02153,2,j3-4,,,
118.68813,1,,r1,,
118.68813,2,,r1,,
118.72146,MOT_mc_stage_color_00,r-flash,,
119.02143,1,1-2,,,
119.08809,2,w4,,,
119.12142,MOT_mc_stage_color_00,r-flash,,
119.38806,2,4-1,,,
119.72135999999999,1,2-3,rb0,,
119.72135999999999,2,1-2,rb0,,
119.75469,MOT_mc_stage_color_00,r-flash,,
120.65459999999999,1,w3,,,
120.65459999999999,2,w2,,,
121.22121,MOT_mc_stage_color_00,b-flash,,
121.22121,1,3-4,,,
121.22121,2,2-3,,,
121.82114999999999,1,sp4-1,,,
121.82114999999999,2,sp3-4,,,
122.38776,1,hj1,,,
122.38776,2,hj4,,,
122.45442,MOT_mc_stage_color_00,b-flash,,
123.02103,MOT_mc_stage_color_00,r-flash,,
123.02103,MOT_mc_bg_black_00,b0-45,,
123.02103,1,1-2,,b0,
123.02103,2,4-1,,b0,
123.02103,1,,,,D20
123.02103,2,,,,D20
123.95427,1,w2,,,
123.95427,2,w1,,,
