0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,stay,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,2,sort,-500,
0.03333,3,sort,-500,
0.16665,MOT_mc_special_01,open,,
0.53328,MOT_mc_bg_black_00,seat100-0,,
1.46652,MOT_control_all,sing01,,
23.36433,2,lp4,,,
23.36433,3,lp4,,,
23.36433,4,lp4,,,
23.36433,5,lp4,,,
23.79762,1,sp4-1,,,
23.79762,2,sp4-1,,,
23.79762,3,sp4-1,,,
23.79762,4,sp4-1,,,
23.79762,5,sp4-1,,,
24.53088,MOT_control_all,sing02,,
24.53088,MOT_mc_bg_black_00,b65-45,,
24.69753,1,sj1,,,
24.69753,2,sj1,,,
24.69753,3,sj1,,,
24.69753,4,sj1,,,
24.69753,5,sj1,,,
25.13082,MOT_mc_stage_color_00,b-flash,,
25.13082,1,1-2,,,
25.13082,2,1-2,,f1,
25.13082,3,1-2,,,
25.13082,4,1-2,,,
25.13082,5,1-2,,,
25.19748,MOT_mc_light_up_00,l2,,
25.53078,2,lp2,,,
26.064059999999998,5,w2,,,
26.064059999999998,4,w2,,,
26.064059999999998,3,w2,,,
26.064059999999998,1,w2,,,
26.13072,2,j2-3,,,
26.53068,2,j3-4,,,
26.93064,2,4-1,,,
27.36393,2,lp1,,,
28.097189999999998,2,j1-2,,,
28.497149999999998,2,lp2,,,
28.897109999999998,2,2-3,,,
29.330399999999997,2,sp3-4,,,
30.19698,2,sj4,,,
30.69693,2,w4,,,
30.930239999999998,1,2-3,,,
30.930239999999998,2,4-1,r1,,
30.930239999999998,3,2-3,,,
30.930239999999998,4,2-3,,,
30.930239999999998,5,2-3,,,
31.43019,2,lp1,,,
31.86348,5,w3,,,
31.86348,4,w3,,,
31.86348,3,w3,,,
31.86348,1,w3,,,
32.03013,2,j1-2,,,
32.43009,2,j2-3,,,
32.83005,2,3-4,rb0,,
33.26334,2,lp4,,,
33.9966,2,4-1,l1,,
34.39656,2,lp1,,,
34.79652,2,1-2,lb0,,
35.22981,2,sp2-3,,,
35.96307,MOT_control_all,sing03,,
36.09639,2,sj3,,,
36.46302,MOT_mc_stage_color_00,y-flash,,
36.46302,1,3-4,,,
36.46302,4,3-4,,,
36.46302,3,3-4,,,
36.46302,2,3-4,,b0,
36.46302,5,3-4,,f1,
37.129619999999996,5,lp4,,,
37.36293,5,j4-1,,,
37.39626,4,w4,,,
37.39626,3,w4,,,
37.39626,2,w4,,,
37.39626,1,w4,,,
37.86288,5,1-2,l1,,
38.396159999999995,5,lp2,,,
38.62947,5,2-3,lb0,,
39.09609,5,lp3,,,
39.36273,5,3-4,r1,,
39.82935,5,lp4,,,
40.56261,5,sj4,,,
40.89591,5,lp4,,,
41.39586,5,j4-1,,,
41.82915,5,lp1,,,
42.06246,1,4-1,,,
42.06246,4,4-1,,,
42.06246,3,4-1,,,
42.06246,2,4-1,,,
42.06246,5,1-2,,,
42.52908,5,lp2,,,
42.9957,4,w1,,,
42.9957,3,w1,,,
42.9957,2,w1,,,
42.9957,1,w1,,,
43.02903,5,j2-3,,,
43.52898,5,3-4,r2,,
44.062259999999995,5,lp4,,,
44.36223,5,4-1,rb1,,
44.862179999999995,5,lp1,,,
45.12882,5,1-2,rb0,,
45.628769999999996,5,lp2,,,
46.22871,5,sj2,,,
46.662,5,lp2,,,
47.09529,5,j2-3,,,
47.16195,MOT_control_all,sing04,,
47.19528,MOT_mc_bg_black_00,b45-65,,
47.52858,5,lp3,,,
47.661899999999996,1,1-2,,,
47.661899999999996,4,1-2,,,
47.661899999999996,2,1-2,,,
47.661899999999996,5,3-4,,b0,
47.661899999999996,3,1-2,,f1,
47.728559999999995,MOT_mc_stage_color_00,r-flash,,
48.19518,3,lp2,,,
48.59514,5,w4,,,
48.59514,4,w2,,,
48.59514,2,w2,,,
48.59514,1,w2,,,
48.861779999999996,3,2-3,l1,,
49.16175,3,j3-4,,,
49.62837,3,lp4,,,
49.79502,3,4-1,lb0,,
49.995,MOT_control_all,sing05,,
50.19498,3,lp1,,,
50.494949999999996,MOT_mc_stage_color_00,r-flash,,
50.494949999999996,3,1-2,,b0,
50.494949999999996,4,2-3,,f1,
50.961569999999995,4,lp3,,,
51.328199999999995,4,j3-4,,,
51.42819,3,w2,,,
51.761489999999995,4,lp4,,,
51.92814,4,4-1,r1,,
52.36143,4,lp1,,,
52.594739999999994,4,1-2,rb0,,
53.06136,4,lp2,,,
53.16135,MOT_control_all,sing06,,
53.727959999999996,MOT_mc_stage_color_00,y-flash,,
53.727959999999996,4,2-3,,b0,
53.727959999999996,1,2-3,,f1,
54.194579999999995,1,lp3,,,
54.594539999999995,1,j3-4,,,
54.6612,4,w3,,,
55.06116,1,j4-1,,,
55.49445,1,1-2,,,
55.59444,MOT_control_all,sing07,,
56.02773,MOT_mc_stage_color_00,r-flash,,
56.02773,1,sp2-3,,,
56.02773,4,sp3-4,,f1,
56.02773,3,sp2-3,,f1,
57.09429,1,sj3,,,
57.29427,3,sj3,,,
57.49425,4,sj4,,,
57.59424,1,w3,,,
57.794219999999996,3,w3,,,
57.860879999999995,1,lp3,,,
57.860879999999995,3,lp3,,,
57.860879999999995,4,lp4,,,
58.76079,1,j3-4,,,
58.86078,3,j3-4,,,
58.96077,4,j4-1,,,
59.36073,1,lp4,,,
59.36073,3,lp4,,,
59.36073,4,lp1,,,
61.027229999999996,MOT_mc_bg_black_00,b65-45,,
61.060559999999995,MOT_mc_stage_color_00,r-flash,,
61.060559999999995,1,4-1,,,
61.060559999999995,4,1-2,,,
61.060559999999995,2,2-3,,f1,
61.060559999999995,3,4-1,,,
61.060559999999995,5,4-1,,f1,
61.22721,MOT_mc_light_center_00,in,,
61.9938,5,w1,,,
61.9938,4,w2,,,
61.9938,3,w1,,,
61.9938,2,w3,,,
61.9938,1,w1,,,
62.02713,1,1-2,r1,,
62.02713,4,2-3,r1,,
62.02713,2,3-4,r1,,
62.02713,3,1-2,r1,,
62.02713,5,1-2,r1,,
62.46042,1,sp2-3,,,
62.46042,2,sp4-1,,,
62.46042,3,sp2-3,,,
62.46042,4,sp3-4,,,
62.46042,5,sp2-3,,,
63.36033,1,3-4,rb0,,
63.36033,4,4-1,rb0,,
63.36033,2,1-2,rb0,,
63.36033,3,3-4,rb0,,
63.36033,5,3-4,rb0,,
63.82695,MOT_mc_bg_black_00,b45-20,,
63.893609999999995,1,4-1,,,
63.893609999999995,4,1-2,,,
63.893609999999995,2,2-3,,,
63.893609999999995,3,4-1,,,
63.893609999999995,5,4-1,,,
63.960269999999994,MOT_mc_stage_color_00,b-flash,,
63.960269999999994,MOT_mc_light_center_00,loop,,
63.960269999999994,MOT_mc_light_up_00,l3,,
64.3269,1,1-2,r1,,
64.3269,4,2-3,r1,,
64.3269,2,3-4,r1,,
64.3269,3,1-2,r1,,
64.3269,5,1-2,r1,,
64.76019,1,2-3,r2,,
64.76019,4,3-4,r2,,
64.76019,2,4-1,r2,,
64.76019,3,2-3,r2,,
64.76019,5,2-3,r2,,
65.26013999999999,1,3-4,,,
65.26013999999999,2,1-2,,,
65.26013999999999,3,3-4,,,
65.26013999999999,4,4-1,,,
65.26013999999999,5,3-4,,,
65.52678,1,sj4,,,
65.52678,2,sj2,,,
65.52678,3,sj4,,,
65.52678,4,sj1,,,
65.52678,5,sj4,,,
65.59344,MOT_mc_stage_color_00,b-flash,,
65.82675,MOT_mc_stage_color_00,b-flash,,
65.89341,1,4-1,rb1,,
65.89341,4,1-2,rb1,,
65.89341,2,2-3,rb1,,
65.89341,3,4-1,rb1,,
65.89341,5,4-1,rb1,,
66.3267,1,1-2,rb0,,
66.3267,4,2-3,rb0,,
66.3267,2,3-4,rb0,,
66.3267,3,1-2,rb0,,
66.3267,5,1-2,rb0,,
66.72666,1,j2-3,,,
66.72666,2,j4-1,,,
66.72666,3,j2-3,,,
66.72666,4,j3-4,,,
66.72666,5,j2-3,,,
66.92663999999999,MOT_mc_stage_color_00,b-flash,,
67.15995,MOT_mc_stage_color_00,b-flash,,
67.15995,1,j3-4,,,
67.59324,2,j1-2,,,
67.59324,3,j3-4,,,
67.79321999999999,5,w3,,,
67.79321999999999,4,w4,,,
68.02653,4,j4-1,,,
68.02653,5,j3-4,,,
68.22650999999999,1,w4,,,
68.45982,1,4-1,,,
68.45982,2,2-3,,,
68.45982,3,4-1,,,
68.45982,4,1-2,,,
68.45982,5,4-1,,,
68.85978,4,sp2-3,,,
68.85978,5,sp1-2,,,
68.95976999999999,2,sp3-4,,,
68.95976999999999,3,sp1-2,,,
69.05976,1,sp1-2,,,
69.55971,1,hj2,,,
69.62637,2,hj4,,,
69.62637,3,hj2,,,
69.69303,4,hj3,,,
69.69303,5,hj2,,,
70.29297,1,2-3,l1,,
70.29297,4,3-4,l1,,
70.29297,2,4-1,l1,,
70.29297,3,2-3,l1,,
70.29297,5,2-3,l1,,
70.72626,1,lp3,,,
70.72626,2,lp1,,,
70.72626,3,lp3,,,
70.72626,4,lp4,,,
70.72626,5,lp3,,,
71.49284999999999,1,3-4,l2,,
71.69283,2,1-2,l2,,
71.69283,3,3-4,l2,,
71.89281,4,4-1,l2,,
71.89281,5,3-4,l2,,
72.29276999999999,1,lp4,,,
72.29276999999999,2,lp2,,,
72.29276999999999,3,lp4,,,
72.29276999999999,4,lp1,,,
72.29276999999999,5,lp4,,,
72.55941,1,4-1,lb1,,
72.55941,4,1-2,lb1,,
72.55941,2,2-3,lb1,,
72.55941,3,4-1,lb1,,
72.55941,5,4-1,lb1,,
72.9927,1,lp1,,,
72.9927,2,lp3,,,
72.9927,3,lp1,,,
72.9927,4,lp2,,,
72.9927,5,lp1,,,
73.25934,1,1-2,lb0,,
73.25934,4,2-3,lb0,,
73.25934,2,3-4,lb0,,
73.25934,3,1-2,lb0,,
73.25934,5,1-2,lb0,,
73.69263,1,lp2,,,
73.69263,2,lp4,,,
73.69263,3,lp2,,,
73.69263,4,lp3,,,
73.69263,5,lp2,,,
73.95927,1,j2-3,,,
74.09259,2,j4-1,,,
74.09259,3,j2-3,,,
74.22591,4,j3-4,,,
74.22591,5,j2-3,,,
74.52588,1,lp3,,,
74.52588,2,lp1,,,
74.52588,3,lp3,,,
74.52588,4,lp4,,,
74.52588,5,lp3,,,
74.95917,MOT_control_all,sing07_2,,
75.29247,1,3-4,,,
75.29247,4,4-1,,,
75.29247,2,1-2,,,
75.29247,3,3-4,,,
75.29247,5,3-4,,,
75.72576,1,4-1,r1,,
75.72576,4,1-2,r1,,
75.72576,2,2-3,r1,,
75.72576,3,4-1,r1,,
75.72576,5,4-1,r1,,
76.15905,1,1-2,r2,,
76.15905,4,2-3,r2,,
76.15905,2,3-4,r2,,
76.15905,3,1-2,r2,,
76.15905,5,1-2,r2,,
76.65899999999999,MOT_mc_stage_color_00,b-flash,,
76.65899999999999,1,2-3,,,
76.65899999999999,2,4-1,,,
76.65899999999999,3,2-3,,,
76.65899999999999,4,3-4,,,
76.65899999999999,5,2-3,,,
76.89231,MOT_mc_stage_color_00,b-flash,,
76.92564,1,sj3,,,
76.92564,2,sj1,,,
76.92564,3,sj3,,,
76.92564,4,sj4,,,
76.92564,5,sj3,,,
77.29227,1,3-4,rb1,,
77.29227,4,4-1,rb1,,
77.29227,2,1-2,rb1,,
77.29227,3,3-4,rb1,,
77.29227,5,3-4,rb1,,
77.72556,1,4-1,rb0,,
77.72556,4,1-2,rb0,,
77.72556,2,2-3,rb0,,
77.72556,3,4-1,rb0,,
77.72556,5,4-1,rb0,,
77.9922,MOT_mc_stage_color_00,b-flash,,
78.12552,1,j1-2,,,
78.12552,2,j3-4,,,
78.12552,3,j1-2,,,
78.12552,4,j2-3,,,
78.12552,5,j1-2,,,
78.22551,MOT_mc_stage_color_00,b-flash,,
78.55881,1,j2-3,,,
78.9921,2,j4-1,,,
78.9921,3,j2-3,,,
79.19207999999999,5,w2,,,
79.19207999999999,4,w3,,,
79.42539,4,j3-4,,,
79.42539,5,j2-3,,,
79.62536999999999,1,w3,,,
79.85867999999999,1,3-4,,,
79.85867999999999,2,1-2,,,
79.85867999999999,3,3-4,,,
79.85867999999999,4,4-1,,,
79.85867999999999,5,3-4,,,
80.25864,4,sp1-2,,,
80.25864,5,sp4-1,,,
80.35862999999999,2,sp2-3,,,
80.35862999999999,3,sp4-1,,,
80.45862,1,sp4-1,,,
80.95857,1,hj1,,,
81.02523,2,hj3,,,
81.02523,3,hj1,,,
81.09188999999999,4,hj2,,,
81.09188999999999,5,hj1,,,
81.69183,1,1-2,l1,,
81.69183,4,2-3,l1,,
81.69183,2,3-4,l1,,
81.69183,3,1-2,l1,,
81.69183,5,1-2,l1,,
82.12512,1,lp2,,,
82.12512,2,lp4,,,
82.12512,3,lp2,,,
82.12512,4,lp3,,,
82.12512,5,lp2,,,
82.89171,1,2-3,l2,,
83.09169,2,4-1,l2,,
83.09169,3,2-3,l2,,
83.29167,4,3-4,l2,,
83.29167,5,2-3,l2,,
83.69162999999999,1,lp3,,,
83.69162999999999,2,lp1,,,
83.69162999999999,3,lp3,,,
83.69162999999999,4,lp4,,,
83.69162999999999,5,lp3,,,
83.95827,1,3-4,lb1,,
83.95827,4,4-1,lb1,,
83.95827,2,1-2,lb1,,
83.95827,3,3-4,lb1,,
83.95827,5,3-4,lb1,,
84.39156,1,lp4,,,
84.39156,2,lp2,,,
84.39156,3,lp4,,,
84.39156,4,lp1,,,
84.39156,5,lp4,,,
84.6582,1,4-1,lb0,,
84.6582,4,1-2,lb0,,
84.6582,2,2-3,lb0,,
84.6582,3,4-1,lb0,,
84.6582,5,4-1,lb0,,
85.09149,1,lp1,,,
85.09149,2,lp3,,,
85.09149,3,lp1,,,
85.09149,4,lp2,,,
85.09149,5,lp1,,,
86.29137,1,j1-2,,,
86.52467999999999,2,j3-4,,,
86.52467999999999,3,j1-2,,,
86.79132,4,j2-3,,,
86.79132,5,j1-2,,,
87.19127999999999,1,j2-3,,,
87.32459999999999,2,j4-1,,,
87.32459999999999,3,j2-3,,,
87.45792,4,j3-4,,,
87.45792,5,j2-3,,,
87.69122999999999,1,3-4,,,
87.79122,2,1-2,,,
87.79122,3,3-4,,,
87.89121,4,4-1,,,
87.89121,5,3-4,,,
88.39116,1,hj4,,,
88.42448999999999,2,hj2,,,
88.42448999999999,3,hj4,,,
88.45782,4,hj1,,,
88.45782,5,hj4,,,
89.3244,4,1-2,,,
89.3244,5,4-1,,,
89.42439,2,2-3,,,
89.42439,3,4-1,,,
89.52438,MOT_mc_bg_black_00,b20-65,,
89.52438,1,4-1,,,
89.69103,MOT_control_all,sing08,,
90.05766,1,hj1,,,
90.05766,2,hj3,,,
90.05766,3,hj1,,,
90.05766,4,hj2,,,
90.05766,5,hj1,,,
90.92424,1,lp1,,,
90.92424,2,lp3,,,
90.92424,3,lp1,,,
90.92424,4,lp2,,,
90.92424,5,lp1,,,
91.32419999999999,1,1-2,,,
91.32419999999999,2,3-4,,,
91.32419999999999,3,1-2,,,
91.32419999999999,4,2-3,,,
91.32419999999999,5,1-2,,,
91.69082999999999,1,lp2,,,
91.69082999999999,2,lp4,,,
91.69082999999999,3,lp2,,,
91.69082999999999,4,lp3,,,
91.69082999999999,5,lp2,,,
92.79072,1,2-3,r1,,
92.79072,2,4-1,r1,,
92.79072,3,2-3,r1,,
92.79072,4,3-4,r1,,
92.79072,5,2-3,r1,,
93.19068,1,lp3,,,
93.19068,2,lp1,,,
93.19068,3,lp3,,,
93.19068,4,lp4,,,
93.19068,5,lp3,,,
93.79061999999999,1,3-4,r2,,
93.85728,2,1-2,r2,,
93.85728,3,3-4,r2,,
93.92394,4,4-1,r2,,
93.92394,5,3-4,r2,,
94.25724,1,lp4,,,
94.25724,2,lp2,,,
94.25724,3,lp4,,,
94.25724,4,lp1,,,
94.25724,5,lp4,,,
94.82385,1,j4-1,,,
94.95716999999999,2,j2-3,,,
94.95716999999999,3,j4-1,,,
95.09049,4,j1-2,,,
95.09049,5,j4-1,,,
95.52378,1,lp1,,,
95.52378,2,lp3,,,
95.52378,3,lp1,,,
95.52378,4,lp2,,,
95.52378,5,lp1,,,
95.82374999999999,1,1-2,rb1,,
95.82374999999999,2,3-4,rb1,,
95.82374999999999,3,1-2,rb1,,
95.82374999999999,4,2-3,rb1,,
95.82374999999999,5,1-2,rb1,,
96.19037999999999,1,lp2,,,
96.19037999999999,2,lp4,,,
96.19037999999999,3,lp2,,,
96.19037999999999,4,lp3,,,
96.19037999999999,5,lp2,,,
96.79032,1,j2-3,,,
96.92363999999999,2,j4-1,,,
96.92363999999999,3,j2-3,,,
97.05695999999999,4,j3-4,,,
97.05695999999999,5,j2-3,,,
97.42358999999999,1,lp3,,,
97.42358999999999,2,lp1,,,
97.42358999999999,3,lp3,,,
97.42358999999999,4,lp4,,,
97.42358999999999,5,lp3,,,
98.19018,1,3-4,rb0,,
98.25684,2,1-2,rb0,,
98.25684,3,3-4,rb0,,
98.3235,4,4-1,rb0,,
98.3235,5,3-4,rb0,,
98.65679999999999,1,lp4,,,
98.65679999999999,2,lp2,,,
98.65679999999999,3,lp4,,,
98.65679999999999,4,lp1,,,
98.65679999999999,5,lp4,,,
98.89010999999999,1,4-1,,,
98.95676999999999,2,2-3,,,
98.95676999999999,3,4-1,,,
99.02342999999999,4,1-2,,,
99.02342999999999,5,4-1,,,
99.35673,1,lp1,,,
99.35673,2,lp3,,,
99.35673,3,lp1,,,
99.35673,4,lp2,,,
99.35673,5,lp1,,,
99.79002,1,sp1-2,,,
99.79002,2,sp3-4,,,
99.79002,3,sp1-2,,,
99.79002,4,sp2-3,,,
99.79002,5,sp1-2,,,
100.15665,MOT_control_all,sing09,,
100.15665,MOT_mc_bg_black_00,b65-20,,
100.42329,1,sj2,,,
100.42329,2,sj4,,,
100.42329,3,sj2,,,
100.42329,4,sj3,,,
100.42329,5,sj2,,,
100.6566,1,2-3,,,
100.6566,4,3-4,,,
100.6566,2,4-1,,,
100.6566,3,2-3,,,
100.6566,5,2-3,,,
101.08989,1,3-4,r1,,
101.08989,4,4-1,r1,,
101.08989,2,1-2,r1,,
101.08989,3,3-4,r1,,
101.08989,5,3-4,r1,,
101.52318,1,4-1,r2,,
101.52318,4,1-2,r2,,
101.52318,2,2-3,r2,,
101.52318,3,4-1,r2,,
101.52318,5,4-1,r2,,
102.02313,1,1-2,,,
102.02313,2,3-4,,,
102.02313,3,1-2,,,
102.02313,4,2-3,,,
102.02313,5,1-2,,,
102.22310999999999,MOT_mc_stage_color_00,r-flash,,
102.28976999999999,1,sj2,,,
102.28976999999999,2,sj4,,,
102.28976999999999,3,sj2,,,
102.28976999999999,4,sj3,,,
102.28976999999999,5,sj2,,,
102.45642,MOT_mc_stage_color_00,b-flash,,
102.65639999999999,1,2-3,rb1,,
102.65639999999999,4,3-4,rb1,,
102.65639999999999,2,4-1,rb1,,
102.65639999999999,3,2-3,rb1,,
102.65639999999999,5,2-3,rb1,,
103.08968999999999,1,3-4,rb0,,
103.08968999999999,4,4-1,rb0,,
103.08968999999999,2,1-2,rb0,,
103.08968999999999,3,3-4,rb0,,
103.08968999999999,5,3-4,rb0,,
103.48965,1,j4-1,,,
103.48965,2,j2-3,,,
103.48965,3,j4-1,,,
103.48965,4,j1-2,,,
103.48965,5,j4-1,,,
103.55631,MOT_mc_stage_color_00,r-flash,,
103.78962,MOT_mc_stage_color_00,b-flash,,
103.92294,1,j1-2,,,
104.35623,2,j3-4,,,
104.35623,3,j1-2,,,
104.55621,5,w1,,,
104.55621,4,w2,,,
104.78952,4,j2-3,,,
104.78952,5,j1-2,,,
104.98949999999999,1,w2,,,
105.22281,1,2-3,,,
105.22281,2,4-1,,,
105.22281,3,2-3,,,
105.22281,4,3-4,,,
105.22281,5,2-3,,,
105.62276999999999,4,sp4-1,,,
105.62276999999999,5,sp3-4,,,
105.72276,2,sp1-2,,,
105.72276,3,sp3-4,,,
105.82275,1,sp3-4,,,
106.3227,1,hj4,,,
106.38936,2,hj2,,,
106.38936,3,hj4,,,
106.45602,4,hj1,,,
106.45602,5,hj4,,,
107.05596,1,4-1,l1,,
107.05596,4,1-2,l1,,
107.05596,2,2-3,l1,,
107.05596,3,4-1,l1,,
107.05596,5,4-1,l1,,
107.48925,1,lp1,,,
107.48925,2,lp3,,,
107.48925,3,lp1,,,
107.48925,4,lp2,,,
107.48925,5,lp1,,,
108.25583999999999,1,1-2,l2,,
108.45581999999999,2,3-4,l2,,
108.45581999999999,3,1-2,l2,,
108.6558,4,2-3,l2,,
108.6558,5,1-2,l2,,
109.05575999999999,1,lp2,,,
109.05575999999999,2,lp4,,,
109.05575999999999,3,lp2,,,
109.05575999999999,4,lp3,,,
109.05575999999999,5,lp2,,,
109.3224,1,2-3,lb1,,
109.3224,4,3-4,lb1,,
109.3224,2,4-1,lb1,,
109.3224,3,2-3,lb1,,
109.3224,5,2-3,lb1,,
109.75569,1,lp3,,,
109.75569,2,lp1,,,
109.75569,3,lp3,,,
109.75569,4,lp4,,,
109.75569,5,lp3,,,
110.02233,1,3-4,lb0,,
110.02233,4,4-1,lb0,,
110.02233,2,1-2,lb0,,
110.02233,3,3-4,lb0,,
110.02233,5,3-4,lb0,,
110.45562,1,lp4,,,
110.45562,2,lp2,,,
110.45562,3,lp4,,,
110.45562,4,lp1,,,
110.45562,5,lp4,,,
110.72225999999999,1,j4-1,,,
110.85557999999999,2,j2-3,,,
