0.03333,MOT_all,sky_cut01,,
0.03333,MOT_mc_bg_black_00,b80,,
0.03333,MOT_mc_special_03,g,,
0.03333,MOT_control_all,zoom_sky,,
21.36453,5,j4-1,,,
21.73116,1,lp1,,,
21.73116,2,lp1,,,
21.73116,3,lp1,,,
21.73116,4,lp1,,,
21.73116,5,lp1,,,
22.16445,2,1-2,,,
22.16445,3,1-2,,,
22.16445,4,1-2,,,
22.16445,5,1-2,,,
22.49775,1,1-2,,,
22.86438,1,2-3,,,
23.09769,5,w2,,,
23.09769,4,w2,,,
23.09769,3,w2,,,
23.09769,2,w2,,,
23.19768,2,j2-3,,,
23.19768,3,j2-3,,,
23.19768,4,j2-3,,,
23.19768,5,j2-3,,,
23.19768,1,j3-4,,,
23.79762,1,sj4,,,
24.16425,1,sj4,,,
24.264239999999997,5,w3,,,
24.264239999999997,4,w3,,,
24.264239999999997,3,w3,,,
24.264239999999997,2,w3,,,
24.53088,1,lp4,,,
24.9975,1,4-1,,,
24.9975,2,3-4,,,
24.9975,3,3-4,,,
24.9975,4,3-4,,,
24.9975,5,3-4,,,
25.3308,2,4-1,,,
25.3308,3,4-1,,,
25.3308,4,4-1,,,
25.3308,5,4-1,,,
25.43079,MOT_mc_bg_black_00,b65-45,,
25.59744,MOT_mc_stage_color_00,b-flash,,
25.697429999999997,1,1-2,,,
26.097389999999997,1,2-3,,,
26.264039999999998,5,w1,,,
26.264039999999998,4,w1,,,
26.264039999999998,3,w1,,,
26.264039999999998,2,w1,,,
26.73066,1,j3-4,,,
27.063959999999998,1,lp4,,,
27.83055,1,4-1,,,
28.130519999999997,1,1-2,,,
28.59714,1,j2-3,,,
28.59714,2,j1-2,,,
28.59714,3,j1-2,,,
28.59714,4,j1-2,,,
28.59714,5,j1-2,,,
29.03043,1,lp3,,,
29.6637,5,w2,,,
29.6637,4,w2,,,
29.6637,3,w2,,,
29.6637,2,w2,,,
30.363629999999997,1,j3-4,,,
30.730259999999998,1,4-1,,,
31.03023,1,lp1,,,
31.530179999999998,1,j1-2,,,
31.59684,2,2-3,,,
31.59684,3,2-3,,,
31.59684,4,2-3,,,
31.59684,5,2-3,,,
31.89681,1,lp2,,,
32.53008,5,w3,,,
32.53008,4,w3,,,
32.53008,3,w3,,,
32.53008,2,w3,,,
32.663399999999996,1,2-3,,,
33.03003,1,3-4,,,
33.36333,1,lp4,,,
34.02993,1,4-1,,,
34.36323,1,lp1,,,
36.22971,1,1-2,,,
36.22971,2,3-4,,,
36.22971,3,3-4,,,
36.22971,4,3-4,,,
36.22971,5,3-4,,,
36.56301,1,hj2,,,
36.62967,2,hj4,,,
36.62967,3,hj4,,,
36.696329999999996,4,hj4,,,
36.696329999999996,5,hj4,,,
37.29627,1,j2-3,,,
37.29627,2,j4-1,,,
37.29627,3,j4-1,,,
37.29627,4,j4-1,,,
37.29627,5,j4-1,,,
37.896209999999996,1,sj3,,,
37.896209999999996,2,sj1,,,
37.896209999999996,3,sj1,,,
37.896209999999996,4,sj1,,,
37.896209999999996,5,sj1,,,
38.29617,1,sp3-4,,,
38.29617,2,sp1-2,,,
38.29617,3,sp1-2,,,
38.29617,4,sp1-2,,,
38.29617,5,sp1-2,,,
39.39606,1,hj4,,,
39.39606,2,hj2,,,
39.39606,3,hj2,,,
39.39606,4,hj2,,,
39.39606,5,hj2,,,
40.09599,1,w4,,,
40.329299999999996,1,j4-1,,,
40.62927,5,w2,,,
40.62927,4,w2,,,
40.62927,3,w2,,,
40.62927,2,w2,,,
40.69593,1,1-2,,,
40.9959,1,j2-3,,,
41.36253,1,lp3,,,
42.19578,1,j3-4,,,
42.56241,1,sj4,,,
42.829049999999995,2,j2-3,,,
42.829049999999995,3,j2-3,,,
42.829049999999995,4,j2-3,,,
42.829049999999995,5,j2-3,,,
42.96237,1,lp4,,,
43.69563,1,4-1,,,
43.89561,5,w3,,,
43.89561,4,w3,,,
43.89561,3,w3,,,
43.89561,2,w3,,,
44.028929999999995,1,sj1,,,
44.395559999999996,1,lp1,,,
45.195479999999996,1,1-2,,,
45.195479999999996,2,3-4,,,
45.195479999999996,3,3-4,,,
45.195479999999996,4,3-4,,,
45.195479999999996,5,3-4,,,
45.49545,1,j2-3,,,
45.86208,1,lp3,,,
46.12872,5,w4,,,
46.12872,4,w4,,,
46.12872,3,w4,,,
46.12872,2,w4,,,
46.9953,1,3-4,,,
46.9953,2,4-1,,,
46.9953,3,4-1,,,
46.9953,4,4-1,,,
46.9953,5,4-1,,,
47.328599999999994,1,lp4,,,
47.328599999999994,2,lp1,,,
47.328599999999994,3,lp1,,,
47.328599999999994,4,lp1,,,
47.328599999999994,5,lp1,,,
47.728559999999995,1,4-1,,,
47.728559999999995,2,1-2,,,
47.728559999999995,3,1-2,,,
47.728559999999995,4,1-2,,,
47.728559999999995,5,1-2,,,
47.86188,MOT_mc_stage_color_00,b-flash,,
47.86188,1,,,,D40
47.92854,MOT_mc_bg_black_00,b45-20,,
47.92854,MOT_mc_special_02,in_g,,
47.92854,MOT_mc_speaker_00,clock_g-g,,
47.9952,MOT_all,sky_cut02,,
47.9952,1,,,,D60
47.9952,2,,,,D80
47.9952,3,,,,D80
47.9952,4,,,,D80
47.9952,5,,,,D80
48.028529999999996,1,j1-2,,,
48.028529999999996,2,j2-3,,,
48.028529999999996,3,j2-3,,,
48.028529999999996,4,j2-3,,,
48.028529999999996,5,j2-3,,,
48.128519999999995,1,,,,D80
49.09509,5,w3,,,
49.09509,4,w3,,,
49.09509,3,w3,,,
49.09509,2,w3,,,
49.09509,1,w2,,,
49.728359999999995,MOT_mc_light_center_00,l3_t,,
49.82835,1,2-3,,,
49.82835,2,3-4,,,
49.82835,3,3-4,,,
49.82835,4,3-4,,,
49.82835,5,3-4,,,
49.995,MOT_mc_light_up_00,l4,,
50.02833,1,,,,L60
50.02833,2,,,,L60
50.02833,3,,,,L60
50.02833,4,,,,L60
50.02833,5,,,,L60
50.094989999999996,1,j3-4,,,
50.094989999999996,2,j4-1,,,
50.094989999999996,3,j4-1,,,
50.094989999999996,4,j4-1,,,
50.094989999999996,5,j4-1,,,
50.128319999999995,MOT_mc_stage_color_00,b-flash,,
50.161649999999995,1,,,,Lbl
50.161649999999995,2,,,,L40
50.161649999999995,3,,,,L40
50.161649999999995,4,,,,L40
50.161649999999995,5,,,,L40
50.22831,MOT_mc_light_under_00,l1,,
50.461619999999996,2,1-2,,,
50.461619999999996,3,1-2,,,
50.461619999999996,4,1-2,,,
50.461619999999996,5,1-2,,,
50.461619999999996,1,lp4,,,
50.76159,2,j2-3,,,
50.76159,3,j2-3,,,
50.76159,4,j2-3,,,
50.76159,5,j2-3,,,
51.12822,2,3-4,,,
51.12822,3,3-4,,,
51.12822,4,3-4,,,
51.12822,5,3-4,,,
51.294869999999996,1,j4-1,,,
51.394859999999994,2,j4-1,,,
51.394859999999994,3,j4-1,,,
51.394859999999994,4,j4-1,,,
51.394859999999994,5,j4-1,,,
51.761489999999995,2,1-2,,,
51.761489999999995,3,1-2,,,
51.761489999999995,4,1-2,,,
51.761489999999995,5,1-2,,,
52.094789999999996,2,j2-3,,,
52.094789999999996,3,j2-3,,,
52.094789999999996,4,j2-3,,,
52.094789999999996,5,j2-3,,,
52.094789999999996,1,j1-2,,,
52.46142,1,lp2,,,
52.46142,2,lp3,,,
52.46142,3,lp3,,,
52.46142,4,lp3,,,
52.46142,5,lp3,,,
52.46142,1,w2,,,
52.79472,1,2-3,,,
53.09469,1,3-4,,,
53.394659999999995,1,sj4,,,
53.761289999999995,1,lp4,,,
54.527879999999996,1,4-1,,,
54.82785,1,1-2,,,
55.16115,1,sj2,,,
55.49445,2,3-4,,,
55.49445,3,3-4,,,
55.49445,4,3-4,,,
55.49445,5,3-4,,,
55.49445,1,j2-3,,,
55.794419999999995,2,4-1,,,
55.794419999999995,3,4-1,,,
55.794419999999995,4,4-1,,,
55.794419999999995,5,4-1,,,
55.89441,1,lp3,,,
56.09439,2,sj1,,,
56.09439,3,sj1,,,
56.09439,4,sj1,,,
56.09439,5,sj1,,,
56.46102,2,sj1,,,
56.46102,3,sj1,,,
56.46102,4,sj1,,,
56.46102,5,sj1,,,
56.82765,2,1-2,,,
56.82765,3,1-2,,,
56.82765,4,1-2,,,
56.82765,5,1-2,,,
57.12762,2,2-3,,,
57.12762,3,2-3,,,
57.12762,4,2-3,,,
57.12762,5,2-3,,,
57.12762,1,3-4,,,
57.460919999999994,2,sj3,,,
57.460919999999994,3,sj3,,,
57.460919999999994,4,sj3,,,
57.460919999999994,5,sj3,,,
57.460919999999994,1,4-1,,,
57.72756,1,j1-2,,,
57.96087,5,w3,,,
57.96087,4,w3,,,
57.96087,3,w3,,,
57.96087,2,w3,,,
58.06086,1,lp2,,,
58.46082,1,2-3,,,
58.76079,1,lp3,,,
59.62737,2,3-4,,,
59.62737,3,3-4,,,
59.62737,4,3-4,,,
59.62737,5,3-4,,,
59.62737,1,3-4,,,
59.894009999999994,1,j4-1,,,
60.56061,5,w4,,,
60.56061,3,w4,,,
60.56061,2,w4,,,
60.56061,4,j4-1,,,
60.56061,5,j4-1,,,
60.593939999999996,2,j4-1,,,
60.593939999999996,3,j4-1,,,
60.627269999999996,1,j1-2,,,
61.127219999999994,1,2-3,,,
61.127219999999994,2,1-2,,,
61.127219999999994,3,1-2,,,
61.127219999999994,4,1-2,,,
61.127219999999994,5,1-2,,,
61.427189999999996,2,2-3,,,
61.427189999999996,3,2-3,,,
61.427189999999996,4,2-3,,,
61.427189999999996,5,2-3,,,
61.427189999999996,1,3-4,,,
61.62717,MOT_mc_stage_color_00,b-flash,,
61.69383,1,j4-1,,,
62.02713,1,lp1,,,
62.360429999999994,5,w3,,,
62.360429999999994,4,w3,,,
62.360429999999994,3,w3,,,
62.360429999999994,2,w3,,,
62.42709,1,1-2,,,
62.760389999999994,1,2-3,,,
63.093689999999995,1,sj3,,,
63.093689999999995,2,sj3,,,
63.093689999999995,3,sj3,,,
63.093689999999995,4,sj3,,,
63.093689999999995,5,sj3,,,
63.460319999999996,2,lp3,,,
63.460319999999996,3,lp3,,,
63.460319999999996,4,lp3,,,
63.460319999999996,5,lp3,,,
63.460319999999996,1,3-4,,,
63.860279999999996,1,sj4,,,
64.36023,1,w4,,,
64.46021999999999,1,j4-1,,,
64.49355,2,3-4,r1,,
64.49355,4,3-4,r1,,
64.49355,3,3-4,l1,,
64.49355,5,3-4,l1,,
65.22681,2,4-1,r2,,
65.22681,4,4-1,r2,,
65.22681,3,4-1,l2,,
65.22681,5,4-1,l2,,
65.22681,1,1-2,,,
65.76008999999999,1,j2-3,,,
65.76008999999999,2,j1-2,,,
65.76008999999999,3,j1-2,,,
65.76008999999999,4,j1-2,,,
65.76008999999999,5,j1-2,,,
66.16005,1,3-4,,,
66.49334999999999,1,sj4,,,
66.82665,5,w2,,,
66.82665,4,w2,,,
66.82665,3,w2,,,
66.82665,2,w2,,,
66.85998,1,sj4,,,
67.15995,4,j2-3,,,
67.19328,2,j2-3,,,
67.22661,1,j4-1,,,
67.25994,3,j2-3,,,
67.29326999999999,5,j2-3,,,
67.92654,1,1-2,,,
67.92654,2,3-4,,,
67.92654,3,3-4,,,
67.92654,4,3-4,,,
67.92654,5,3-4,,,
68.39316,1,j2-3,,,
68.39316,2,j4-1,,,
68.39316,3,j4-1,,,
68.39316,4,j4-1,,,
68.39316,5,j4-1,,,
68.79312,1,lp3,,,
68.79312,2,lp1,,,
68.79312,3,lp1,,,
68.79312,4,lp1,,,
68.79312,5,lp1,,,
69.85968,2,1-2,rb1,,
69.85968,4,1-2,rb1,,
69.85968,3,1-2,lb1,,
69.85968,5,1-2,lb1,,
69.85968,1,j3-4,,,
70.49295,2,,rb0,,
70.49295,4,,rb0,,
70.49295,3,,lb0,,
70.49295,5,,lb0,,
70.49295,1,4-1,,,
70.79292,5,w2,,,
70.79292,4,w2,,,
70.79292,3,w2,,,
70.79292,2,w2,,,
70.99289999999999,1,lp1,,,
70.99289999999999,2,lp2,,,
70.99289999999999,3,lp2,,,
70.99289999999999,4,lp2,,,
70.99289999999999,5,lp2,,,
72.85938,2,2-3,,,
72.85938,4,2-3,,,
72.85938,3,2-3,,,
72.85938,5,2-3,,,
72.85938,1,j1-2,,,
73.19268,1,j2-3,,,
73.19268,2,j3-4,,,
73.19268,3,j3-4,,,
73.19268,4,j3-4,,,
73.19268,5,j3-4,,,
73.62597,4,4-1,,,
73.62597,5,4-1,,,
73.92594,2,4-1,,,
73.92594,3,4-1,,,
74.25923999999999,1,w3,,,
74.29257,1,j3-4,,,
74.55921,5,w1,,,
74.55921,4,w1,,,
74.85918,3,w1,,,
74.85918,2,w1,,,
74.95917,1,j4-1,,,
74.95917,2,j1-2,,,
74.95917,3,j1-2,,,
74.95917,4,j1-2,,,
74.95917,5,j1-2,,,
75.3258,1,1-2,,,
75.3258,2,2-3,,,
75.3258,3,2-3,,,
75.3258,4,2-3,,,
75.3258,5,2-3,,,
75.69243,1,sj2,,,
75.69243,2,sj3,,,
75.69243,3,sj3,,,
75.69243,4,sj3,,,
75.69243,5,sj3,,,
76.02573,1,lp2,,,
76.02573,2,lp3,,,
76.02573,3,lp3,,,
76.02573,4,lp3,,,
76.02573,5,lp3,,,
76.49235,1,2-3,,,
76.49235,2,3-4,,,
76.49235,3,3-4,,,
76.49235,4,3-4,,,
76.49235,5,3-4,,,
76.75899,1,3-4,,,
76.75899,2,4-1,,,
76.75899,3,4-1,,,
76.75899,4,4-1,,,
76.75899,5,4-1,,,
77.02562999999999,1,hj4,,,
77.02562999999999,2,hj1,,,
77.02562999999999,3,hj1,,,
77.02562999999999,4,hj1,,,
77.02562999999999,5,hj1,,,
77.09228999999999,MOT_mc_bg_black_00,b20-65,,
77.39226,2,,,,D60
77.39226,3,,,,D60
77.39226,4,,,,D60
77.39226,5,,,,D60
77.42559,MOT_mc_stage_color_00,y-flash,,
77.49225,MOT_mc_light_center_00,l3_t,,
77.49225,MOT_mc_special_03,g,,
77.49225,MOT_mc_light_up_00,l2,,
77.62557,1,lp4,,,
77.62557,2,lp1,,,
77.62557,3,lp1,,,
77.62557,4,lp1,,,
77.62557,5,lp1,,,
79.92533999999999,1,,,b0,
79.95867,2,1-2,r1,,
79.95867,3,1-2,l1,,
79.95867,4,1-2,r1,,
79.95867,5,1-2,l1,,
80.25864,1,4-1,,,
80.62527,1,sj1,,,
80.69193,2,2-3,rb0,,
80.69193,3,2-3,lb0,,
80.69193,4,2-3,rb0,,
80.69193,5,2-3,lb0,,
80.95857,1,1-2,,,
81.3252,1,sj2,,,
81.35853,2,3-4,r1,,
81.35853,3,3-4,l1,,
81.35853,4,3-4,r1,,
81.35853,5,3-4,l1,,
81.69183,1,2-3,,,
82.09179,2,4-1,rb0,,
82.09179,3,4-1,lb0,,
82.09179,4,4-1,rb0,,
82.09179,5,4-1,lb0,,
82.09179,1,sj3,,,
82.59174,1,w3,,,
82.82504999999999,1,sp3-4,,,
82.82504999999999,2,sp1-2,,,
82.82504999999999,3,sp1-2,,,
82.82504999999999,4,sp1-2,,,
82.82504999999999,5,sp1-2,,,
83.42499,1,j4-1,,,
83.49164999999999,2,j2-3,,,
83.49164999999999,3,j2-3,,,
83.55830999999999,4,j2-3,,,
83.55830999999999,5,j2-3,,,
83.82495,1,j1-2,,,
83.89161,2,j3-4,,,
83.89161,3,j3-4,,,
83.95827,4,j3-4,,,
83.95827,5,j3-4,,,
84.25824,2,4-1,,,
84.25824,3,4-1,,,
84.25824,4,4-1,,,
84.25824,5,4-1,,,
84.35822999999999,1,2-3,,,
84.59154,2,sj1,,,
84.59154,3,sj1,,,
84.59154,4,sj1,,,
84.59154,5,sj1,,,
84.59154,1,3-4,,,
84.85817999999999,1,j4-1,,,
85.09149,5,w1,,,
85.09149,4,w1,,,
85.09149,3,w1,,,
85.09149,2,w1,,,
85.82475,2,1-2,,,
85.82475,3,1-2,,,
85.82475,4,1-2,,,
85.82475,5,1-2,,,
85.82475,1,1-2,,,
86.09138999999999,1,j2-3,,,
86.42469,1,lp3,,,
86.42469,2,lp2,,,
86.42469,3,lp2,,,
86.42469,4,lp2,,,
86.42469,5,lp2,,,
86.79132,1,j3-4,,,
86.79132,2,j2-3,,,
86.79132,3,j2-3,,,
86.79132,4,j2-3,,,
86.79132,5,j2-3,,,
87.39126,2,,,f0,
87.39126,3,,,f0,
87.39126,4,,,f0,
87.39126,5,,,f0,
87.39126,1,,,f1,
87.85788,5,w3,,,
87.85788,4,w3,,,
87.85788,3,w3,,,
87.85788,2,w3,,,
87.85788,1,w4,,,
87.99119999999999,2,,,b-1,
87.99119999999999,3,,,b-1,
87.99119999999999,4,,,b-1,
87.99119999999999,5,,,b-1,
87.99119999999999,1,,,b0,
88.42448999999999,2,3-4,,,
88.42448999999999,3,3-4,,,
88.42448999999999,4,3-4,,,
88.42448999999999,5,3-4,,,
88.42448999999999,1,4-1,,,
88.59114,MOT_mc_light_center_00,l3_t,,
88.59114,MOT_mc_special_03,g-stay,,
88.62447,MOT_mc_bg_black_00,b65-80,,
88.69113,MOT_mc_light_up_00,l1,,
88.69113,1,,,f1,
88.82445,MOT_mc_stage_color_00,b-flash,,
88.82445,2,,,,D80
88.82445,3,,,,D80
88.82445,4,,,,D80
88.82445,5,,,,D80
88.92443999999999,MOT_mc_light_under_00,l2,,
88.92443999999999,MOT_mc_light_center_00,l1_t,,
89.02443,1,lp1,,,
89.35772999999999,5,w4,,,
89.35772999999999,4,w4,,,
89.35772999999999,3,w4,,,
89.35772999999999,2,w4,,,
89.42439,1,1-2,,,
89.75769,1,2-3,,,
90.09098999999999,1,sj3,,,
90.09098999999999,2,sj4,,,
90.09098999999999,3,sj4,,,
90.09098999999999,4,sj4,,,
90.09098999999999,5,sj4,,,
90.45761999999999,1,lp3,,,
90.45761999999999,2,lp4,,,
90.45761999999999,3,lp4,,,
90.45761999999999,4,lp4,,,
90.45761999999999,5,lp4,,,
90.85758,1,sj3,,,
91.35753,1,w3,,,
91.45752,1,j3-4,,,
91.49085,2,4-1,,,
91.49085,4,4-1,,,
91.49085,3,4-1,,,
91.49085,5,4-1,,,
92.22411,2,1-2,,,
92.22411,4,1-2,,,
92.22411,3,1-2,,,
92.22411,5,1-2,,,
92.22411,1,4-1,,,
92.69073,1,j1-2,,,
92.69073,2,j2-3,,,
92.69073,3,j2-3,,,
92.69073,4,j2-3,,,
92.69073,5,j2-3,,,
93.02403,1,2-3,,,
93.35732999999999,1,sj3,,,
93.72395999999999,1,sj3,,,
93.75729,5,w3,,,
93.75729,4,w3,,,
93.75729,3,w3,,,
93.75729,2,w3,,,
94.05726,1,lp3,,,
94.35723,2,3-4,,,
94.35723,3,3-4,,,
94.35723,4,3-4,,,
94.35723,5,3-4,,,
94.35723,1,3-4,,,
94.69053,1,lp4,,,
95.09049,1,j4-1,,,
95.19048,2,,l1,,
95.19048,4,,l1,,
95.19048,3,,r1,,
95.19048,5,,r1,,
95.29047,5,w4,,,
95.29047,4,w4,,,
95.29047,3,w4,,,
95.29047,2,w4,,,
95.75708999999999,1,j1-2,,,
95.75708999999999,2,j4-1,,,
95.75708999999999,3,j4-1,,,
95.75708999999999,4,j4-1,,,
95.75708999999999,5,j4-1,,,
96.52368,1,2-3,,,
96.52368,2,1-2,,,
96.52368,3,1-2,,,
96.52368,4,1-2,,,
96.52368,5,1-2,,,
96.82365,1,3-4,,,
96.82365,2,2-3,,,
96.82365,3,2-3,,,
96.82365,4,2-3,,,
96.82365,5,2-3,,,
97.15695,1,sj4,,,
97.15695,2,sj3,,,
97.15695,3,sj3,,,
97.15695,4,sj3,,,
97.15695,5,sj3,,,
97.52358,1,lp4,,,
97.52358,2,lp3,,,
97.52358,3,lp3,,,
97.52358,4,lp3,,,
97.52358,5,lp3,,,
98.12352,2,3-4,lb0,,
98.12352,4,3-4,lb0,,
98.12352,3,3-4,rb0,,
98.12352,5,3-4,rb0,,
98.12352,1,j4-1,,,
98.45682,4,j4-1,,,
98.49015,2,j4-1,,,
98.52347999999999,1,j1-2,,,
98.55681,3,j4-1,,,
98.59013999999999,5,j4-1,,,
98.95676999999999,4,j1-2,,,
98.9901,2,j1-2,,,
99.02342999999999,1,j2-3,,,
99.05676,3,j1-2,,,
99.09008999999999,5,j1-2,,,
99.42339,MOT_mc_stage_color_00,r-flash,,
99.42339,MOT_mc_bg_black_00,b80-45,,
99.49005,1,3-4,,,
99.49005,2,2-3,,,
99.49005,3,2-3,,,
99.49005,4,2-3,,,
99.49005,5,2-3,,,
99.62337,MOT_mc_stage_color_00,b-flash,,
99.85668,1,hj4,,,
99.85668,2,hj3,,,
99.85668,3,hj3,,,
99.85668,4,hj3,,,
99.85668,5,hj3,,,
99.89000999999999,MOT_mc_stage_color_00,y-flash,,
100.18997999999999,MOT_mc_bg_black_00,b45-20,,
100.18997999999999,MOT_mc_light_up_00,l4,,
100.18997999999999,2,,,,L60
100.18997999999999,3,,,,L60
100.18997999999999,4,,,,L60
100.18997999999999,5,,,,L60
100.32329999999999,MOT_mc_stage_color_00,b-flash,,
100.32329999999999,2,,,,L40
100.32329999999999,3,,,,L40
100.32329999999999,4,,,,L40
100.32329999999999,5,,,,L40
100.42329,MOT_mc_light_under_00,l1,,
100.42329,MOT_mc_light_center_00,l3_t,,
100.72326,2,3-4,,,
100.72326,3,3-4,,,
100.72326,4,3-4,,,
100.72326,5,3-4,,,
100.72326,1,lp4,,,
101.02323,2,j4-1,,,
101.02323,3,j4-1,,,
101.02323,4,j4-1,,,
101.02323,5,j4-1,,,
101.38986,2,1-2,,,
101.38986,3,1-2,,,
101.38986,4,1-2,,,
101.38986,5,1-2,,,
101.55650999999999,1,j4-1,,,
101.6565,2,j2-3,,,
101.6565,3,j2-3,,,
101.6565,4,j2-3,,,
101.6565,5,j2-3,,,
102.02313,2,3-4,,,
102.02313,3,3-4,,,
102.02313,4,3-4,,,
102.02313,5,3-4,,,
102.35642999999999,2,j4-1,,,
102.35642999999999,3,j4-1,,,
102.35642999999999,4,j4-1,,,
102.35642999999999,5,j4-1,,,
102.35642999999999,1,j1-2,,,
102.72305999999999,1,lp2,,,
102.72305999999999,2,lp1,,,
102.72305999999999,3,lp1,,,
102.72305999999999,4,lp1,,,
102.72305999999999,5,lp1,,,
102.72305999999999,1,w2,,,
103.05636,1,2-3,,,
103.35633,1,3-4,,,
103.6563,1,sj4,,,
104.02293,1,lp4,,,
104.75618999999999,1,4-1,,,
