0.03333,MOT_all,hack_cut01,,
0.03333,MOT_control_all,zoom_hack,,
0.03333,MOT_mc_special_03,r,,
0.03333,MOT_mc_bg_black_00,b80,,
21.397859999999998,1,3-4,,,
21.797819999999998,1,4-1,,,
21.831149999999997,5,w4,,,
21.831149999999997,4,w4,,,
21.831149999999997,3,w4,,,
21.831149999999997,2,w4,,,
22.197779999999998,1,1-2,lb0,,
22.597739999999998,1,j2-3,,,
23.19768,1,lp3,,,
23.664299999999997,1,3-4,r1,,
24.29757,1,4-1,rb0,,
24.89751,1,j1-2,,,
25.13082,2,sj4,,,
25.13082,3,sj4,,,
25.3308,4,sj4,,,
25.3308,5,sj4,,,
25.36413,1,lp2,,,
25.53078,2,j4-1,,,
25.53078,3,j4-1,,,
25.63077,4,j4-1,,,
25.63077,5,j4-1,,,
25.9974,1,2-3,,,
26.53068,1,j3-4,,,
26.59734,3,w1,,,
26.59734,2,w1,,,
26.697329999999997,5,w1,,,
26.697329999999997,4,w1,,,
27.097289999999997,2,1-2,lb0,,
27.097289999999997,3,1-2,rb0,,
27.097289999999997,4,1-2,lb0,,
27.097289999999997,5,1-2,rb0,,
27.297269999999997,1,lp4,,,
27.59724,2,j2-3,,,
27.59724,3,j2-3,,,
27.59724,4,j2-3,,,
27.59724,5,j2-3,,,
28.130519999999997,2,3-4,,,
28.130519999999997,3,3-4,,,
28.130519999999997,4,3-4,,,
28.130519999999997,5,3-4,,,
28.130519999999997,1,4-1,,,
28.46382,1,lp1,,,
29.06376,5,w4,,,
29.06376,4,w4,,,
29.06376,3,w4,,,
29.06376,2,w4,,,
29.46372,1,j1-2,,,
30.03033,1,lp2,,,
31.03023,1,2-3,r1,,
31.19688,2,4-1,r1,,
31.19688,3,4-1,r1,,
31.19688,4,4-1,r1,,
31.19688,5,4-1,r1,,
31.46352,1,lp3,,,
32.13012,5,w1,,,
32.13012,4,w1,,,
32.13012,3,w1,,,
32.13012,2,w1,,,
32.53008,1,3-4,rb0,,
32.696729999999995,2,1-2,rb0,,
32.696729999999995,3,1-2,rb0,,
32.696729999999995,4,1-2,rb0,,
32.696729999999995,5,1-2,rb0,,
32.89671,1,lp4,,,
33.62997,5,w2,,,
33.62997,4,w2,,,
33.62997,3,w2,,,
33.62997,2,w2,,,
34.12992,1,4-1,l1,,
34.296569999999996,2,2-3,l1,,
34.296569999999996,3,2-3,l1,,
34.296569999999996,4,2-3,l1,,
34.296569999999996,5,2-3,l1,,
34.52988,1,lp1,,,
35.22981,5,w3,,,
35.22981,4,w3,,,
35.22981,3,w3,,,
35.22981,2,w3,,,
35.56311,1,1-2,lb0,,
35.72976,2,3-4,lb0,,
35.72976,3,3-4,lb0,,
35.72976,4,3-4,lb0,,
35.72976,5,3-4,lb0,,
35.96307,1,lp2,,,
36.663,5,w4,,,
36.663,4,w4,,,
36.663,3,w4,,,
36.663,2,w4,,,
36.696329999999996,1,sp2-3,,,
37.06296,2,4-1,,,
37.06296,3,4-1,,,
37.42959,4,4-1,,,
37.42959,5,4-1,,,
37.9962,3,w1,,,
37.9962,2,sp1-2,,,
37.9962,3,sp1-2,,,
37.9962,4,sp1-2,,,
37.9962,5,sp1-2,,,
38.22951,1,3-4,,,
38.62947,1,j4-1,,,
38.9961,MOT_mc_bg_black_00,b45-65,,
39.129419999999996,2,2-3,,,
39.129419999999996,3,2-3,,,
39.129419999999996,4,2-3,,,
39.129419999999996,5,2-3,,,
39.196079999999995,MOT_mc_stage_color_00,r-flash,,
39.39606,1,lp1,,,
39.72936,2,j3-4,,,
39.72936,3,j3-4,,,
39.72936,4,j3-4,,,
39.72936,5,j3-4,,,
39.72936,1,1-2,,b0,
40.12932,1,lp2,,,
40.19598,MOT_mc_stage_color_00,r-flash,,
40.19598,1,,,,D20
40.19598,2,,,,D60
40.19598,3,,,,D60
40.19598,4,,,,D60
40.19598,5,,,,D60
40.795919999999995,5,w4,,,
40.795919999999995,4,w4,,,
40.795919999999995,3,w4,,,
40.795919999999995,2,w4,,,
41.46252,2,4-1,,,
41.46252,3,4-1,,,
41.46252,4,4-1,,,
41.46252,5,4-1,,,
41.46252,1,2-3,,,
41.86248,1,lp3,,,
42.395759999999996,5,w1,,,
42.395759999999996,4,w1,,,
42.395759999999996,3,w1,,,
42.395759999999996,2,w1,,,
43.02903,2,1-2,l1,,
43.02903,3,1-2,l1,,
43.02903,4,1-2,l1,,
43.02903,5,1-2,l1,,
43.02903,1,3-4,l1,,
43.42899,1,lp4,,,
43.96227,5,w2,,,
43.96227,4,w2,,,
43.96227,3,w2,,,
43.96227,2,w2,,,
44.395559999999996,2,2-3,lb0,,
44.395559999999996,3,2-3,lb0,,
44.395559999999996,4,2-3,lb0,,
44.395559999999996,5,2-3,lb0,,
44.395559999999996,1,4-1,lb0,,
44.795519999999996,1,lp1,,,
45.3288,5,w3,,,
45.3288,4,w3,,,
45.3288,3,w3,,,
45.3288,2,w3,,,
45.86208,2,3-4,,,
45.86208,3,3-4,,,
45.86208,4,3-4,,,
45.86208,5,3-4,,,
45.86208,1,1-2,,,
46.22871,1,lp2,,,
46.79532,5,w4,,,
46.79532,4,w4,,,
46.79532,3,w4,,,
46.79532,2,w4,,,
47.328599999999994,2,j4-1,,,
47.328599999999994,3,j4-1,,,
47.328599999999994,4,j4-1,,,
47.328599999999994,5,j4-1,,,
47.328599999999994,1,j2-3,,,
47.728559999999995,1,lp3,,,
48.39516,5,w1,,,
48.39516,4,w1,,,
48.39516,3,w1,,,
48.39516,2,w1,,,
48.461819999999996,1,3-4,,,
48.861779999999996,1,j4-1,,,
49.09509,2,j1-2,,,
49.09509,3,j1-2,,,
49.09509,4,j1-2,,,
49.09509,5,j1-2,,,
49.59504,1,1-2,,,
49.92834,1,2-3,,,
50.161649999999995,5,w2,,,
50.161649999999995,4,w2,,,
50.161649999999995,3,w2,,,
50.161649999999995,2,w2,,,
50.26164,1,j3-4,,,
50.42829,2,2-3,l1,,
50.42829,3,2-3,r1,,
50.62827,4,2-3,l1,,
50.62827,5,2-3,r1,,
50.79492,1,lp4,,,
51.19488,2,j3-4,,,
51.19488,3,j3-4,,,
51.19488,1,4-1,,,
51.394859999999994,4,j3-4,,,
51.394859999999994,5,j3-4,,,
51.728159999999995,2,4-1,,,
51.728159999999995,3,4-1,,,
51.728159999999995,4,4-1,,,
51.728159999999995,5,4-1,,,
51.728159999999995,1,j1-2,,,
52.3281,1,lp2,,,
52.6614,5,w1,,,
52.6614,4,w1,,,
52.6614,3,w1,,,
52.6614,2,w1,,,
53.394659999999995,2,1-2,l2,,
53.394659999999995,3,1-2,rb0,,
53.394659999999995,4,1-2,l2,,
53.394659999999995,5,1-2,rb0,,
53.394659999999995,1,2-3,l1,,
54.09459,1,lp3,,,
54.3279,5,w2,,,
54.3279,4,w2,,,
54.3279,3,w2,,,
54.3279,2,w2,,,
55.027829999999994,2,j2-3,,,
55.027829999999994,3,j2-3,,,
55.027829999999994,4,j2-3,,,
55.027829999999994,5,j2-3,,,
55.027829999999994,1,j3-4,,,
55.727759999999996,1,lp4,,,
56.09439,5,w3,,,
56.09439,4,w3,,,
56.09439,3,w3,,,
56.09439,2,w3,,,
56.39436,2,3-4,lb1,,
56.39436,3,3-4,r1,,
56.39436,4,3-4,lb1,,
56.39436,5,3-4,r1,,
56.39436,1,4-1,lb0,,
56.79432,1,lp1,,,
57.3276,5,w4,,,
57.3276,4,w4,,,
57.3276,3,w4,,,
57.3276,2,w4,,,
57.394259999999996,2,4-1,lb0,,
57.394259999999996,3,4-1,rb0,,
57.394259999999996,4,4-1,lb0,,
57.394259999999996,5,4-1,rb0,,
57.394259999999996,1,1-2,,,
57.72756,2,1-2,,,
57.72756,3,1-2,,,
57.72756,4,1-2,,,
57.72756,5,1-2,,,
57.72756,1,j2-3,,,
58.06086,2,lp2,,,
58.06086,3,lp2,,,
58.06086,4,lp2,,,
58.06086,5,lp2,,,
58.160849999999996,1,lp3,,,
59.26074,2,2-3,,,
59.26074,3,2-3,,,
59.26074,4,2-3,,,
59.26074,5,2-3,,,
59.26074,1,3-4,,,
59.6607,2,lp3,,,
59.6607,3,lp3,,,
59.6607,4,lp3,,,
59.6607,5,lp3,,,
59.6607,1,lp4,,,
59.894009999999994,1,sj4,,,
59.994,2,j3-4,,,
59.994,3,j3-4,,,
59.994,4,j3-4,,,
59.994,5,j3-4,,,
60.39396,1,w4,,,
60.46062,2,lp4,,,
60.46062,3,lp4,,,
60.46062,4,lp4,,,
60.46062,5,lp4,,,
60.693929999999995,2,4-1,r1,,
60.693929999999995,3,4-1,l1,,
60.693929999999995,4,4-1,r1,,
60.693929999999995,5,4-1,l1,,
60.82725,1,4-1,,,
61.093889999999995,2,lp1,,,
61.093889999999995,3,lp1,,,
61.093889999999995,4,lp1,,,
61.093889999999995,5,lp1,,,
61.460519999999995,2,j1-2,,,
61.460519999999995,3,j1-2,,,
61.460519999999995,4,j1-2,,,
61.460519999999995,5,j1-2,,,
61.460519999999995,1,1-2,,f1,
61.960469999999994,2,lp2,,,
61.960469999999994,3,lp2,,,
61.960469999999994,4,lp2,,,
61.960469999999994,5,lp2,,,
62.19378,1,2-3,,,
62.42709,2,sp2-3,,,
62.42709,3,sp2-3,,,
62.42709,4,sp2-3,,,
62.42709,5,sp2-3,,,
62.59374,1,sj3,,,
62.96037,1,3-4,,,
63.26034,1,,,,D40
63.26034,1,j4-1,,,
63.26034,2,j3-4,,,
63.26034,3,j3-4,,,
63.26034,4,j3-4,,,
63.26034,5,j3-4,,,
63.327,MOT_mc_stage_color_00,r-flash,,
63.39366,MOT_all,hack_cut02,,
63.39366,MOT_mc_special_02,in_r,,
63.39366,MOT_mc_bg_black_00,b65-20,,
63.39366,1,,,,D60
63.39366,2,,,,D60
63.39366,3,,,,D60
63.39366,4,,,,D60
63.39366,5,,,,D60
63.426989999999996,MOT_mc_speaker_00,clock_r-r,,
63.526979999999995,1,,,,D80
63.526979999999995,2,,,,D80
63.526979999999995,3,,,,D80
63.526979999999995,4,,,,D80
63.526979999999995,5,,,,D80
64.3269,5,w4,,,
64.3269,4,w4,,,
64.3269,3,w4,,,
64.3269,2,w4,,,
64.3269,1,w1,,,
65.09349,MOT_mc_light_center_00,l3_t,,
65.12682,1,j1-2,,,
65.12682,2,j4-1,,,
65.12682,3,j4-1,,,
65.12682,4,j4-1,,,
65.12682,5,j4-1,,,
65.19348,MOT_mc_light_up_00,l4,,
65.32679999999999,1,,,,L40
65.32679999999999,2,,,,L40
65.32679999999999,3,,,,L40
65.32679999999999,4,,,,L40
65.32679999999999,5,,,,L40
65.39345999999999,MOT_mc_stage_color_00,r-flash,,
65.46012,1,,,,L20
65.46012,2,,,,L20
65.46012,3,,,,L20
65.46012,4,,,,L20
65.46012,5,,,,L20
65.46012,2,1-2,r2,,
65.46012,3,1-2,l2,,
65.46012,4,1-2,r2,,
65.46012,5,1-2,l2,,
65.46012,1,j2-3,,,
65.59344,1,,,,Lred
65.89341,2,j2-3,,,
65.89341,3,j2-3,,,
65.89341,4,j2-3,,,
65.89341,5,j2-3,,,
65.89341,1,lp3,,,
66.39336,2,lp3,,,
66.39336,3,lp3,,,
66.39336,4,lp3,,,
66.39336,5,lp3,,,
66.39336,1,j3-4,,,
66.72666,2,3-4,r3,,
66.72666,3,3-4,l3,,
66.72666,4,3-4,r3,,
66.72666,5,3-4,l3,,
66.82665,1,lp4,,,
67.12662,2,lp4,,,
67.12662,3,lp4,,,
67.12662,4,lp4,,,
67.12662,5,lp4,,,
67.62657,2,4-1,rb2,,
67.62657,3,4-1,lb2,,
67.62657,4,4-1,rb2,,
67.62657,5,4-1,lb2,,
67.62657,1,4-1,,,
67.89321,1,1-2,,,
68.19318,2,1-2,rb1,,
68.19318,3,1-2,lb1,,
68.19318,4,1-2,rb1,,
68.19318,5,1-2,lb1,,
68.19318,1,sj2,,,
68.52647999999999,1,lp2,,,
68.55981,2,lp2,,,
68.55981,3,lp2,,,
68.55981,4,lp2,,,
68.55981,5,lp2,,,
68.69313,2,2-3,rb0,,
68.69313,4,2-3,rb0,,
68.82645,1,2-3,r1,,
69.02642999999999,3,2-3,lb0,,
69.02642999999999,5,2-3,lb0,,
69.12642,1,lp3,,,
69.39305999999999,2,lp3,,,
69.39305999999999,3,lp3,,,
69.39305999999999,4,lp3,,,
69.39305999999999,5,lp3,,,
69.62637,1,3-4,rb0,,
69.6597,3,j3-4,,,
69.6597,2,j3-4,,,
69.92634,1,lp4,,,
70.22631,4,j3-4,,,
70.22631,5,j3-4,,,
70.22631,1,hj4,,,
70.72626,3,w4,,,
70.72626,2,lp4,,,
70.72626,3,lp4,,,
70.72626,4,lp4,,,
70.72626,5,lp4,,,
71.05955999999999,3,4-1,,b-1,
71.05955999999999,2,4-1,,b-1,
71.05955999999999,1,4-1,,,
71.25954,1,1-2,,,
71.45952,4,4-1,,b-1,
71.45952,5,4-1,,b-1,
71.45952,1,sj2,,,
71.82615,1,j2-3,,,
71.85947999999999,2,lp1,,,
71.85947999999999,3,lp1,,,
71.85947999999999,4,lp1,,,
71.85947999999999,5,lp1,,,
72.25944,1,3-4,,,
72.65939999999999,2,1-2,,f0,
72.65939999999999,3,1-2,,f0,
72.65939999999999,4,1-2,,f0,
72.65939999999999,5,1-2,,f0,
72.65939999999999,1,j4-1,,,
73.05936,2,lp2,,,
73.05936,3,lp2,,,
73.05936,4,lp2,,,
73.05936,5,lp2,,,
73.22601,1,lp1,,,
73.82594999999999,2,2-3,r1,,
73.82594999999999,3,2-3,l1,,
73.82594999999999,1,1-2,,,
74.19257999999999,4,2-3,r1,,
74.19257999999999,5,2-3,l1,,
74.19257999999999,1,j2-3,,,
74.6592,2,lp3,,,
74.6592,3,lp3,,,
74.6592,4,lp3,,,
74.6592,5,lp3,,,
74.6592,1,lp3,,,
74.85918,4,3-4,r2,,
74.85918,5,3-4,l2,,
74.85918,2,3-4,r2,,
74.85918,3,3-4,l2,,
75.02583,1,j3-4,,,
75.25914,2,lp4,,,
75.25914,3,lp4,,,
75.25914,4,lp4,,,
75.25914,5,lp4,,,
75.25914,1,4-1,,,
75.55910999999999,4,4-1,r3,,
75.55910999999999,5,4-1,l3,,
75.55910999999999,2,4-1,r3,,
75.55910999999999,3,4-1,l3,,
75.55910999999999,1,hj1,,,
75.9924,2,lp1,,,
75.9924,3,lp1,,,
75.9924,4,lp1,,,
75.9924,5,lp1,,,
76.19238,2,1-2,,b-1,
76.19238,3,1-2,,b-1,
76.39236,4,1-2,,b-1,
76.39236,5,1-2,,b-1,
76.39236,1,sj1,,,
76.82565,2,2-3,,f0,
76.82565,3,2-3,,f0,
76.82565,4,2-3,,f0,
76.82565,5,2-3,,f0,
76.82565,1,j1-2,,,
77.25894,2,3-4,rb2,,
77.25894,3,3-4,lb2,,
77.25894,4,3-4,rb2,,
77.25894,5,3-4,lb2,,
77.25894,1,j2-3,,,
77.35893,MOT_mc_stage_color_00,r-flash,,
77.79222,2,j4-1,,,
77.79222,3,j4-1,,,
77.79222,4,j4-1,,,
77.79222,5,j4-1,,,
77.79222,1,lp3,,,
78.29217,2,lp1,,,
78.29217,3,lp1,,,
78.29217,4,lp1,,,
78.29217,5,lp1,,,
78.29217,1,j3-4,,,
78.62546999999999,2,1-2,rb1,,
78.62546999999999,3,1-2,lb1,,
78.62546999999999,4,1-2,rb1,,
78.62546999999999,5,1-2,lb1,,
78.72546,1,lp4,,,
78.9921,2,lp2,,,
78.9921,3,lp2,,,
78.9921,4,lp2,,,
78.9921,5,lp2,,,
79.52538,1,4-1,,,
79.79202,1,1-2,,,
80.09199,2,2-3,rb0,,
80.09199,3,2-3,lb0,,
80.09199,4,2-3,rb0,,
80.09199,5,2-3,lb0,,
80.09199,1,sj2,,,
80.42528999999999,1,lp2,,,
80.59194,2,3-4,l1,,
80.59194,4,3-4,l1,,
80.72525999999999,1,2-3,r1,,
80.92524,3,3-4,r1,,
80.92524,5,3-4,r1,,
81.02523,1,lp3,,,
81.29187,2,lp4,,,
81.29187,3,lp4,,,
81.29187,4,lp4,,,
81.29187,5,lp4,,,
81.52517999999999,1,3-4,rb0,,
81.55851,3,j4-1,,,
81.55851,2,j4-1,,,
81.82515,1,lp4,,,
82.12512,4,j4-1,,,
82.12512,5,j4-1,,,
82.12512,1,hj4,,,
82.62507,3,w1,,,
82.62507,2,w1,,,
82.6584,2,lp1,,,
82.6584,3,lp1,,,
82.6584,4,lp1,,,
82.6584,5,lp1,,,
82.95837,3,1-2,r2,,
82.95837,2,1-2,l2,,
82.95837,1,4-1,,,
83.15835,1,1-2,,,
83.35833,4,1-2,l2,,
83.35833,5,1-2,r2,,
83.35833,1,sj2,,,
83.72496,1,j2-3,,,
83.82495,2,lp2,,,
83.82495,3,lp2,,,
83.82495,4,lp2,,,
83.82495,5,lp2,,,
84.15825,1,3-4,,,
84.49154999999999,2,2-3,,,
84.49154999999999,3,2-3,,,
84.49154999999999,1,j4-1,,,
84.6582,4,2-3,,,
84.6582,5,2-3,,,
85.12482,2,lp3,,,
85.12482,3,lp3,,,
85.12482,4,lp3,,,
85.12482,5,lp3,,,
85.12482,1,lp1,,,
85.72475999999999,2,3-4,lb1,,
85.72475999999999,3,3-4,rb1,,
85.72475999999999,1,1-2,r1,,
86.09138999999999,4,3-4,lb1,,
86.09138999999999,5,3-4,rb1,,
86.09138999999999,1,j2-3,,,
86.49135,2,lp4,,,
86.49135,3,lp4,,,
86.49135,4,lp4,,,
86.49135,5,lp4,,,
86.55801,1,lp3,,,
86.92464,2,4-1,lb0,,
86.92464,3,4-1,rb0,,
86.92464,1,j3-4,,,
87.25793999999999,4,4-1,lb0,,
87.25793999999999,5,4-1,rb0,,
87.25793999999999,1,4-1,,,
87.59124,4,1-2,r1,,
87.59124,5,1-2,l1,,
87.59124,2,1-2,r1,,
87.59124,3,1-2,l1,,
87.59124,1,1-2,rb0,,
87.95787,2,lp2,,,
87.95787,3,lp2,,,
87.95787,4,lp2,,,
87.95787,5,lp2,,,
88.25784,2,sp2-3,,b-1,
88.25784,3,sp2-3,,b-1,
88.25784,4,sp2-3,,b-1,
88.25784,5,sp2-3,,b-1,
88.52448,1,w2,,,
88.89111,2,sp3-4,,,
88.89111,3,sp3-4,,,
88.89111,4,sp3-4,,,
88.89111,5,sp3-4,,,
88.89111,1,2-3,,b0,
89.09109,2,sj4,,,
89.09109,3,sj4,,,
89.09109,4,sj4,,,
89.09109,5,sj4,,,
89.42439,2,lp4,,,
89.42439,3,lp4,,,
89.42439,4,lp4,,,
89.42439,5,lp4,,,
89.42439,1,,,b-1,
89.62437,2,j4-1,,,
89.62437,3,j4-1,,,
89.82435,1,w3,,,
89.82435,4,j4-1,,,
89.82435,5,j4-1,,,
89.82435,1,3-4,,f0,
90.25764,2,1-2,,f0,
90.25764,3,1-2,,f0,
90.25764,4,1-2,,f0,
90.25764,5,1-2,,f0,
90.25764,1,4-1,,f1,
90.62427,2,lp2,,,
90.62427,3,lp2,,,
90.62427,4,lp2,,,
90.62427,5,lp2,,,
90.79092,MOT_mc_stage_color_00,r-flash,,
90.79092,2,2-3,rb0,,
90.79092,3,2-3,lb0,,
90.79092,4,2-3,rb0,,
90.79092,5,2-3,lb0,,
90.79092,1,j1-2,,,
91.22421,2,j3-4,,,
91.22421,3,j3-4,,,
91.22421,4,j3-4,,,
91.22421,5,j3-4,,,
91.22421,1,lp2,,,
91.72416,2,lp4,,,
91.72416,3,lp4,,,
91.72416,4,lp4,,,
91.72416,5,lp4,,,
91.72416,1,j2-3,,,
92.05745999999999,2,4-1,l1,,
92.05745999999999,3,4-1,r1,,
92.05745999999999,4,4-1,l1,,
92.05745999999999,5,4-1,r1,,
92.15745,1,lp3,,,
92.45742,2,lp1,,,
92.45742,3,lp1,,,
92.45742,4,lp1,,,
92.45742,5,lp1,,,
92.95737,2,j1-2,,,
92.95737,3,j1-2,,,
92.95737,4,j1-2,,,
92.95737,5,j1-2,,,
92.95737,1,3-4,,,
93.22400999999999,1,4-1,,,
93.52398,2,2-3,l2,,
93.52398,3,2-3,r2,,
93.52398,4,2-3,l2,,
93.52398,5,2-3,r2,,
93.52398,1,sj1,,,
93.85728,1,lp1,,,
94.02393,2,3-4,l3,,
94.02393,4,3-4,l3,,
94.15724999999999,1,1-2,r1,,
94.35723,3,3-4,r3,,
94.35723,5,3-4,r3,,
94.45721999999999,1,lp2,,,
94.72386,2,lp4,,,
94.72386,3,lp4,,,
94.72386,4,lp4,,,
94.72386,5,lp4,,,
94.95716999999999,1,2-3,rb0,,
94.9905,3,j4-1,,,
94.9905,2,j4-1,,,
95.25713999999999,1,lp3,,,
95.55711,4,j4-1,,,
95.55711,5,j4-1,,,
95.55711,1,hj3,,,
95.9904,2,lp1,,,
95.9904,3,lp1,,,
95.9904,4,lp1,,,
95.9904,5,lp1,,,
96.39036,3,1-2,,b-1,
96.39036,2,1-2,,b-1,
96.39036,1,3-4,,,
96.59034,1,4-1,,,
96.79032,4,1-2,,b-1,
96.79032,5,1-2,,b-1,
96.79032,1,sj1,,,
97.15695,2,lp2,,,
97.15695,3,lp2,,,
97.15695,4,lp2,,,
97.15695,5,lp2,,,
97.15695,1,j1-2,,,
97.59024,4,2-3,lb2,,
97.59024,5,2-3,rb2,,
97.59024,2,2-3,lb2,,
97.59024,3,2-3,rb2,,
97.59024,1,2-3,,,
97.9902,2,3-4,,f0,
97.9902,3,3-4,,f0,
97.9902,4,3-4,,f0,
97.9902,5,3-4,,f0,
97.9902,1,j3-4,,,
98.39016,2,lp4,,,
98.39016,3,lp4,,,
98.39016,4,lp4,,,
98.39016,5,lp4,,,
98.55681,1,lp4,,,
99.15675,2,4-1,lb1,,
99.15675,3,4-1,rb1,,
99.15675,1,4-1,,,
99.52337999999999,4,4-1,lb1,,
99.52337999999999,5,4-1,rb1,,
99.52337999999999,1,j1-2,,,
99.92334,2,lp1,,,
99.92334,3,lp1,,,
99.92334,4,lp1,,,
99.92334,5,lp1,,,
99.99,1,lp2,,,
100.18997999999999,4,1-2,lb0,,
100.18997999999999,5,1-2,rb0,,
100.18997999999999,2,1-2,lb0,,
100.18997999999999,3,1-2,rb0,,
100.35663,1,j2-3,,,
100.55660999999999,2,lp2,,,
100.55660999999999,3,lp2,,,
100.55660999999999,4,lp2,,,
100.55660999999999,5,lp2,,,
100.68992999999999,1,hj3,,,
100.78992,4,2-3,r1,,
100.78992,5,2-3,l1,,
100.78992,2,2-3,r1,,
100.78992,3,2-3,l1,,
101.18988,2,lp3,,,
101.18988,3,lp3,,,
101.18988,4,lp3,,,
101.18988,5,lp3,,,
101.3232,1,3-4,,b0,
101.52318,2,3-4,,b-1,
101.52318,3,3-4,,b-1,
101.72316,4,3-4,,b-1,
101.72316,5,3-4,,b-1,
101.72316,1,sj4,,,
102.15644999999999,2,4-1,,f0,
102.15644999999999,3,4-1,,f0,
102.15644999999999,4,4-1,,f0,
102.15644999999999,5,4-1,,f0,
102.15644999999999,1,4-1,,f1,
102.68973,4,1-2,,,
102.68973,5,1-2,,,
102.68973,2,1-2,,,
102.68973,3,1-2,,,
102.68973,1,j1-2,,,
103.12302,2,j2-3,,,
103.12302,3,j2-3,,,
103.12302,4,j2-3,,,
103.12302,5,j2-3,,,
103.12302,1,lp2,,,
103.62297,2,lp3,,,
103.62297,3,lp3,,,
103.62297,4,lp3,,,
