0.03333,MOT_mc_bg_black_00,seat100-0,,
2.3997599999999997,MOT_mc_speaker_00,temp2,,
3.4329899999999998,MOT_mc_stage_color_00,b-flash,,
68.65979999999999,MOT_mc_light_center_00,l3,,
68.65979999999999,MOT_mc_light_up_00,l4,,
68.65979999999999,MOT_mc_light_under_00,l3,,
68.85978,1,4-1,l1,,
69.02642999999999,5,w4,,,
69.02642999999999,4,w4,,,
69.02642999999999,3,w4,,,
69.02642999999999,2,j4-1,,,
69.22641,3,j4-1,,,
69.25974,1,1-2,l2,,
69.42639,4,j4-1,,,
69.62637,5,j4-1,,,
69.6597,1,sp2-3,,,
70.09299,2,w1,,,
70.15965,2,j1-2,,,
70.15965,3,j1-2,,,
70.15965,4,j1-2,,,
70.15965,5,j1-2,,,
70.42629,1,3-4,lb1,,
70.79292,1,4-1,l2,,
71.19288,1,1-2,,,
71.22621,5,w2,,,
71.22621,4,w2,,,
71.22621,3,w2,,,
71.22621,2,w2,,,
71.59284,1,2-3,,,
72.02613,2,j2-3,,,
72.02613,3,j2-3,,,
72.02613,4,j2-3,,,
72.02613,5,j2-3,,,
72.12612,1,3-4,l3,,
72.59273999999999,1,4-1,lb2,,
72.75939,2,lp3,,,
72.75939,3,lp3,,,
72.75939,4,lp3,,,
72.75939,5,lp3,,,
73.02602999999999,1,1-2,,,
73.42599,1,sp2-3,,,
73.92594,1,3-4,l3,,
74.35923,1,4-1,lb2,,
74.79252,1,1-2,,,
75.22581,1,2-3,lb1,,
75.82575,MOT_mc_stage_color_00,b-flash,,
75.82575,2,j3-4,,,
75.82575,3,j3-4,,,
75.82575,4,j3-4,,,
75.82575,5,j3-4,,,
75.82575,1,3-4,lb0,,
76.22570999999999,1,4-1,l1,,
76.62567,2,lp4,,,
76.62567,3,lp4,,,
76.62567,4,lp4,,,
76.62567,5,lp4,,,
76.62567,1,j1-2,,,
77.15894999999999,1,2-3,l2,,
77.55891,1,3-4,lb1,,
77.92554,1,4-1,,,
78.45882,1,1-2,l2,,
78.89211,1,2-3,lb1,,
79.29207,1,3-4,,,
79.69203,1,4-1,lb0,,
80.12532,1,hj1,,,
80.45862,2,j4-1,,,
80.45862,3,j4-1,,,
80.85858,1,sp1-2,,,
81.3252,4,j4-1,,,
81.3252,5,j4-1,,,
81.52517999999999,3,w1,,,
81.52517999999999,2,w1,,,
81.85848,1,2-3,r1,,
82.32509999999999,1,3-4,rb0,,
82.39175999999999,5,w1,,,
82.39175999999999,4,w1,,,
82.49175,2,lp1,,,
82.49175,3,lp1,,,
82.49175,4,lp1,,,
82.49175,5,lp1,,,
82.72506,1,4-1,,,
83.45832,MOT_mc_stage_color_00,y-flash,,
83.45832,1,1-2,l1,,
83.89161,1,2-3,l2,,
84.3249,1,sp3-4,,,
85.22480999999999,MOT_mc_stage_color_00,b-flash,,
85.22480999999999,1,4-1,lb1,,
85.65809999999999,1,1-2,lb0,,
86.05806,1,j2-3,,,
86.45801999999999,1,3-4,,,
87.05796,MOT_mc_stage_color_00,r-flash,,
87.05796,1,hj4,,,
87.49125,2,j1-2,,,
87.49125,3,j1-2,,,
87.99119999999999,4,j1-2,,,
87.99119999999999,5,j1-2,,,
88.29117,1,w4,,,
88.55780999999999,3,w2,,,
88.55780999999999,2,w2,,,
88.59114,1,4-1,l1,,
88.9911,1,1-2,lb0,,
89.05776,5,w2,,,
89.05776,4,w2,,,
89.39106,1,2-3,,,
89.75769,1,j3-4,,,
90.12432,1,sp4-1,,,
90.42429,2,j2-3,,,
90.42429,3,j2-3,,,
90.42429,4,j2-3,,,
90.42429,5,j2-3,,,
91.09089,MOT_mc_stage_color_00,b-flash,,
91.09089,1,j1-2,,,
91.49085,5,w3,,,
91.49085,4,w3,,,
91.49085,3,w3,,,
91.49085,2,w3,,,
91.59084,1,2-3,l1,,
92.02413,1,3-4,lb0,,
92.62406999999999,1,j4-1,,,
93.25734,1,1-2,r1,,
93.85728,1,2-3,rb0,,
94.39056,1,j3-4,,,
95.12382,1,4-1,r1,,
95.62377,1,1-2,rb0,,
96.19037999999999,1,sp2-3,,,
98.59013999999999,1,3-4,,,
99.25674,MOT_mc_stage_color_00,b-flash,,
99.25674,1,j4-1,,,
99.49005,2,j3-4,,,
99.75668999999999,3,j3-4,,,
100.02333,4,j3-4,,,
100.28997,5,j3-4,,,
100.32329999999999,1,w1,,,
100.48995,1,j1-2,,,
100.55660999999999,2,w4,,,
100.68992999999999,2,j4-1,,,
100.68992999999999,3,j4-1,,,
100.68992999999999,4,j4-1,,,
100.68992999999999,5,j4-1,,,
101.02323,1,2-3,l1,,
101.48984999999999,MOT_mc_stage_color_00,r-flash,,
101.48984999999999,1,3-4,lb0,,
101.75649,5,w1,,,
101.75649,4,w1,,,
101.75649,3,w1,,,
101.75649,2,w1,,,
101.92313999999999,1,4-1,l1,,
102.28976999999999,2,j1-2,,,
102.28976999999999,3,j1-2,,,
102.55641,4,j1-2,,,
102.55641,5,j1-2,,,
102.85638,1,w1,,,
103.15634999999999,MOT_mc_stage_color_00,b-flash,,
103.15634999999999,1,j1-2,,,
103.35633,3,w2,,,
103.35633,2,j2-3,,,
103.62297,5,w2,,,
103.62297,4,w2,,,
103.62297,3,j2-3,,,
103.88960999999999,4,j2-3,,,
104.15625,5,j2-3,,,
104.22291,1,w2,,,
104.38955999999999,1,j2-3,,,
104.42289,2,w3,,,
104.6562,2,j3-4,,,
104.6562,3,j3-4,,,
104.95617,4,j3-4,,,
104.95617,5,j3-4,,,
105.18947999999999,1,3-4,lb0,,
105.42278999999999,2,j4-1,,,
105.42278999999999,3,j4-1,,,
105.68943,4,j4-1,,,
105.68943,5,j4-1,,,
105.88941,1,j4-1,,,
106.08939,2,j1-2,,,
106.08939,3,j1-2,,,
106.08939,4,j1-2,,,
106.08939,5,j1-2,,,
106.52268,1,j1-2,,,
106.75599,2,j2-3,,,
107.02262999999999,3,j2-3,,,
107.15594999999999,5,w2,,,
107.15594999999999,4,w2,,,
107.28927,4,j2-3,,,
107.55591,5,j2-3,,,
107.58923999999999,1,w2,,,
107.78922,1,j2-3,,,
107.82254999999999,2,w3,,,
108.02252999999999,2,j3-4,,,
108.02252999999999,3,j3-4,,,
108.02252999999999,4,j3-4,,,
108.02252999999999,5,j3-4,,,
108.38915999999999,1,j3-4,,,
108.6558,4,j4-1,,,
108.6558,5,j4-1,,,
108.95577,2,j4-1,,,
108.95577,3,j4-1,,,
109.3224,1,j4-1,,,
109.55570999999999,2,j1-2,,,
109.55570999999999,3,j1-2,,,
109.72236,5,w1,,,
109.72236,4,w1,,,
109.82235,4,j1-2,,,
109.82235,5,j1-2,,,
110.38896,1,w1,,,
110.38896,MOT_mc_stage_color_00,b-flash,,
110.38896,2,lp2,,,
110.38896,3,lp2,,,
110.38896,4,lp2,,,
110.38896,5,lp2,,,
110.38896,1,lp1,,,
114.48854999999999,MOT_mc_stage_color_00,b-flash,,
114.48854999999999,MOT_mc_bg_black_00,b20-65,,
114.48854999999999,MOT_mc_speaker_00,stay,,
114.48854999999999,MOT_mc_light_center_00,l1,,
114.48854999999999,MOT_mc_light_up_00,l1,,
114.48854999999999,MOT_mc_light_under_00,l2,,
114.48854999999999,2,2-3,,,D60
114.48854999999999,3,2-3,,,D60
114.48854999999999,4,2-3,,,D60
114.48854999999999,5,2-3,,,D60
114.48854999999999,1,1-2,,b0,D60
115.42179,5,w3,,,
115.42179,4,w3,,,
115.42179,3,w3,,,
115.42179,2,w3,,,
115.42179,1,w2,,,
