0.03333,MOT_control_all,zoom1,,
17.764889999999998,2,,rb0,
17.764889999999998,3,,rb0,
17.764889999999998,4,,rb0,
17.764889999999998,5,,rb0,
17.764889999999998,1,,rb0,
18.09819,1,2-4,,
18.09819,2,2-4,,
18.09819,3,2-4,,
18.09819,4,2-4,,
18.09819,5,2-4,,
18.49815,1,,l1,
18.49815,2,,l1,
18.49815,3,,l1,
18.49815,4,,l1,
18.49815,5,,l1,
19.23141,1,,lb0,
19.23141,2,,lb0,
19.23141,3,,lb0,
19.23141,4,,lb0,
19.23141,5,,lb0,
19.564709999999998,1,4-2,,
19.564709999999998,2,4-2,,
19.564709999999998,3,4-2,,
19.564709999999998,4,4-2,,
19.564709999999998,5,4-2,,
19.997999999999998,1,w2,,
19.997999999999998,2,w2,,
19.997999999999998,3,w2,,
19.997999999999998,4,w2,,
19.997999999999998,5,w2,,
19.997999999999998,1,2-1,,f1
20.13132,MOT_mc_light_center_00,l1,,
20.29797,1,j1-2,,
20.6646,1,lp2,,
22.06446,1,2-3,,
22.397759999999998,1,lp3,,
22.73106,1,j3-1,,
23.13102,1,lp1,,
24.064259999999997,1,1-3,,
24.39756,1,lp3,,
24.89751,1,3-4,,b0
25.264139999999998,1,4-1,,
25.664099999999998,1,w1,,
25.697429999999997,3,,,f1
25.697429999999997,5,,,f1
26.23071,3,j2-3,,
26.23071,5,j2-3,,
26.73066,3,3-1,,
26.73066,5,3-1,,
27.097289999999997,3,sj1,,
27.097289999999997,5,sj1,,
27.43059,3,lp1,,
27.43059,5,lp1,,
28.16385,3,,,b0
28.16385,5,,,b0
28.36383,3,w1,,
28.36383,5,w1,,
28.697129999999998,2,,,f1
28.697129999999998,4,,,f1
29.097089999999998,2,j2-3,,
29.097089999999998,4,j2-3,,
29.59704,2,3-1,,
29.59704,4,3-1,,
29.963669999999997,2,sj1,,
30.296969999999998,4,sj1,,
30.763589999999997,2,,,b0
30.763589999999997,4,,,b0
31.03023,2,w1,,
31.03023,4,w1,,
31.563509999999997,MOT_mc_bg_black_00,b20-80,,
31.59684,1,1-2,,
31.59684,2,1-2,,
31.59684,3,1-2,,
31.59684,4,1-2,,
31.59684,5,1-2,,
31.59684,1,1-3,,f1
31.730159999999998,MOT_mc_speaker_00,l2_heart,,
31.83015,MOT_mc_stage_color_00,r-flash,,
31.930139999999998,1,w2,,
31.930139999999998,2,w2,,
31.930139999999998,3,w2,,
31.930139999999998,4,w2,,
31.930139999999998,5,w2,,
31.930139999999998,1,lp3,,
32.73006,1,,,b0
33.03003,1,w3,,
33.03003,4,2-3,,f1
33.59664,4,sj3,,
34.16325,4,,,b0
34.36323,2,2-3,,f1
34.36323,5,2-3,,f1
34.46322,4,w3,,
34.82985,2,3-4,,
34.82985,5,3-4,,
35.19648,2,lp4,,
35.19648,5,lp4,,
35.929739999999995,2,sj4,,
36.296369999999996,2,w4,,
36.329699999999995,5,sj4,,
36.729659999999996,2,4-3,,
36.729659999999996,5,4-3,,
37.02963,2,,,b0
37.02963,5,,,b0
37.29627,1,3-1,,f1
37.29627,3,2-1,,f1
37.36293,MOT_mc_bg_black_00,b80-65,,
37.36293,2,w3,,
37.36293,5,w3,,
37.529579999999996,MOT_mc_stage_color_00,r-b,,
37.72956,MOT_mc_light_center_00,l2,,
37.76289,1,1-4,,
37.76289,3,1-4,,
38.12952,1,sj4,,
38.12952,3,sj4,,
38.49615,1,sj4,,
38.49615,3,sj4,,
38.96277,1,lp4,,
38.96277,3,lp4,,
39.62937,1,4-3,,b0
39.62937,3,4-3,,b0
39.929339999999996,1,w3,,
39.929339999999996,3,w3,,
40.22931,1,j3-4,,
40.22931,2,j3-4,,
40.22931,3,j3-4,,
40.22931,4,j3-4,,
40.22931,5,j3-4,,
40.89591,1,j4-3,,
40.89591,2,j4-3,,
40.89591,3,j4-3,,
40.89591,4,j4-3,,
40.89591,5,j4-3,,
41.3292,4,sj3,,
41.3292,1,w3,,
41.3292,2,w3,,
41.3292,3,w3,,
41.3292,4,w3,,
41.3292,5,w3,,
41.52918,5,sj3,,
41.72916,2,sj3,,
41.86248,4,j3-2,,
41.92914,3,sj3,,
42.06246,5,j3-2,,
42.12912,1,sj3,,
42.26244,2,j3-2,,
42.46242,3,j3-2,,
42.6624,1,j3-2,,
43.06236,1,j2-1,,
43.06236,2,j2-1,,
43.06236,3,j2-1,,
43.06236,4,j2-1,,
43.06236,5,j2-1,,
43.52898,1,lp1,,
43.52898,2,lp1,,
43.52898,3,lp1,,
43.52898,4,lp1,,
43.52898,5,lp1,,
44.59554,1,1-3,,
44.59554,2,1-3,,
44.59554,3,1-3,,
44.59554,4,1-3,,
44.59554,5,1-3,,
44.96217,1,sp3-4,,
44.96217,2,sp3-4,,
44.96217,3,sp3-4,,
44.96217,4,sp3-4,,
44.96217,5,sp3-4,,
45.76209,1,hj4,,
45.76209,2,hj4,,
45.76209,3,hj4,,
45.76209,4,hj4,,
45.76209,5,hj4,,
45.82875,MOT_mc_bg_black_00,b65-20,,
45.9954,MOT_mc_stage_color_00,b-flash,,
46.028729999999996,MOT_mc_light_center_00,l3,,
46.028729999999996,MOT_mc_light_under_00,l1,,
46.495349999999995,1,4-1,,
46.495349999999995,2,4-1,,
46.495349999999995,3,4-1,,
46.495349999999995,4,4-1,,
46.495349999999995,5,4-1,,
46.828649999999996,1,lp1,,
46.828649999999996,2,lp1,,
46.828649999999996,3,lp1,,
46.828649999999996,4,lp1,,
46.828649999999996,5,lp1,,
47.52858,1,j1-4,,
47.52858,4,j1-4,,
47.52858,5,j1-4,,
47.89521,2,j1-4,,
47.89521,3,j1-4,,
48.36183,1,4-2,,
48.36183,2,4-2,,
48.36183,3,4-2,,
48.36183,4,4-2,,
48.36183,5,4-2,,
48.79512,5,2-4,,
48.82845,1,w2,,
48.82845,2,w2,,
48.82845,3,w2,,
49.16175,4,2-4,,
49.52838,3,2-4,,
49.56171,5,w4,,
49.92834,2,2-4,,
49.96167,4,w4,,
50.26164,1,2-4,,
50.29497,3,w4,,
50.59494,1,4-3,,
50.59494,2,4-3,,
50.59494,3,4-3,,
50.59494,4,4-3,,
50.59494,5,4-3,,
51.06156,1,sp3-4,,
51.06156,2,sp3-4,,
51.06156,3,sp3-4,,
51.06156,4,sp3-4,,
51.06156,5,sp3-4,,
51.52818,1,j3-1,,
51.52818,2,j3-1,,
51.52818,3,j3-1,,
51.52818,4,j3-1,,
51.52818,5,j3-1,,
51.92814,1,lp1,,
51.92814,2,lp1,,
51.92814,3,lp1,,
51.92814,4,lp1,,
51.92814,5,lp1,,
51.92814,3,j1-2,,
51.92814,5,j1-2,,
52.46142,3,j2-3,,
52.46142,5,j2-3,,
52.961369999999995,3,sj3,,
52.961369999999995,5,sj3,,
53.16135,4,j1-2,,
53.16135,2,j1-2,,
53.394659999999995,3,sj3,,
53.394659999999995,5,sj3,,
53.69463,4,j2-3,,
53.69463,2,j2-3,,
53.89461,3,w3,,
53.89461,5,w3,,
54.194579999999995,2,sj3,,
54.194579999999995,4,sj3,,
54.627869999999994,2,sj3,,
54.627869999999994,4,sj3,,
54.76119,1,sj1,,
55.12782,2,w3,,
55.12782,4,w3,,
55.16115,1,1-2,,
55.49445,1,2-3,,
55.827749999999995,1,lp3,,
57.22761,1,sj3,,
57.827549999999995,1,j3-4,,
58.39416,1,4-1,,
58.76079,1,sj1,,
59.12742,1,sj1,,
59.494049999999994,1,j1-2,,
59.894009999999994,1,lp2,,
59.994,2,3-4,,
59.994,3,3-4,,
59.994,4,3-4,,
59.994,5,3-4,,
60.293969999999995,2,4-1,,
60.293969999999995,3,4-1,,
60.293969999999995,4,4-1,,
60.293969999999995,5,4-1,,
60.89391,2,sj1,,
60.89391,3,sj1,,
60.89391,4,sj1,,
60.89391,5,sj1,,
61.22721,2,j1-2,,
61.22721,3,j1-2,,
61.22721,4,j1-2,,
61.22721,5,j1-2,,
61.6605,2,2-3,,
61.6605,3,2-3,,
61.6605,4,2-3,,
61.6605,5,2-3,,
61.960469999999994,2,sj3,,
61.960469999999994,3,sj3,,
61.960469999999994,4,sj3,,
61.960469999999994,5,sj3,,
62.360429999999994,2,sj3,,
62.360429999999994,3,sj3,,
62.360429999999994,4,sj3,,
62.360429999999994,5,sj3,,
62.693729999999995,1,j2-4,,
62.760389999999994,2,j3-4,,
62.760389999999994,3,j3-4,,
62.760389999999994,4,j3-4,,
62.760389999999994,5,j3-4,,
63.160349999999994,1,lp4,,
63.160349999999994,2,lp4,,
63.160349999999994,3,lp4,,
63.160349999999994,4,lp4,,
63.160349999999994,5,lp4,,
63.62697,1,4-3,l1,
63.62697,4,4-3,l1,
63.62697,5,4-3,l1,
63.926939999999995,1,lp3,,
63.926939999999995,4,lp3,,
63.926939999999995,5,lp3,,
64.3269,2,4-3,l1,
64.3269,3,4-3,l1,
64.6602,1,lp3,,
64.6602,2,lp3,,
64.6602,3,lp3,,
64.6602,4,lp3,,
64.6602,5,lp3,,
64.9935,1,3-2,lb0,
64.9935,4,3-2,lb0,
64.9935,5,3-2,lb0,
65.39345999999999,1,lp2,,
65.39345999999999,4,lp2,,
65.39345999999999,5,lp2,,
65.76008999999999,2,3-2,lb0,
65.76008999999999,3,3-2,lb0,
66.09339,2,w2,,
66.09339,3,w2,,
66.36003,1,j2-4,,
66.36003,2,2-4,,
66.36003,3,2-4,,
66.36003,4,2-4,,
66.36003,5,2-4,,
66.72666,1,lp4,,
66.72666,2,lp4,,
66.72666,3,lp4,,
66.72666,4,lp4,,
66.72666,5,lp4,,
67.89321,1,4-1,,
67.89321,2,4-1,,
67.89321,3,4-1,,
67.89321,4,4-1,,
67.89321,5,4-1,,
68.55981,1,j1-4,,
68.55981,2,j1-4,,
68.55981,3,j1-4,,
68.55981,4,j1-4,,
68.55981,5,j1-4,,
69.25974,1,4-1,,f1
69.25974,2,4-1,,f1
69.25974,3,4-1,,f1
69.25974,4,4-1,,f1
69.25974,5,4-1,,f1
69.69303,1,lp1,,
69.69303,2,lp1,,
69.69303,3,lp1,,
69.69303,4,lp1,,
69.69303,5,lp1,,
70.05966,1,1-2,,
70.05966,2,1-2,,
70.05966,3,1-2,,
70.05966,4,1-2,,
70.05966,5,1-2,,
70.39296,1,w2,,
70.39296,2,w2,,
70.39296,3,w2,,
70.39296,4,w2,,
70.39296,5,w2,,
70.72626,1,2-1,,
70.72626,2,2-1,,
70.72626,3,2-1,,
70.72626,4,2-1,,
70.72626,5,2-1,,
70.92623999999999,1,,,b0
71.05955999999999,2,,,b0
71.05955999999999,3,,,b0
71.22621,4,,,b0
71.22621,5,,,b0
71.55951,1,lp1,,
71.55951,2,lp1,,
71.55951,3,lp1,,
71.55951,4,lp1,,
71.55951,5,lp1,,
72.12612,1,sj1,,
72.12612,2,sj1,,
72.12612,3,sj1,,
72.12612,4,sj1,,
72.12612,5,sj1,,
72.49275,1,1-2,,
72.49275,2,1-2,,
72.49275,3,1-2,,
72.49275,4,1-2,,
72.49275,5,1-2,,
72.95936999999999,1,sj2,,
72.95936999999999,2,sj2,,
72.95936999999999,3,sj2,,
72.95936999999999,4,sj2,,
72.95936999999999,5,sj2,,
73.326,1,2-1,,
73.326,2,2-1,,
73.326,3,2-1,,
73.326,4,2-1,,
73.326,5,2-1,,
73.79262,1,1-4,,
73.79262,2,1-4,,
73.79262,3,1-4,,
73.79262,4,1-4,,
73.79262,5,1-4,,
74.09259,1,4-2,,
74.09259,2,4-2,,
74.09259,3,4-2,,
74.09259,4,4-2,,
74.09259,5,4-2,,
74.39256,1,2-3,,
74.39256,2,2-3,,
74.39256,3,2-3,,
74.39256,4,2-3,,
74.39256,5,2-3,,
74.82585,1,j3-4,,
74.82585,2,j3-4,,
74.82585,3,j3-4,,
74.82585,4,j3-4,,
74.82585,5,j3-4,,
75.22581,1,w4,,
75.22581,2,w4,,
75.22581,3,w4,,
75.22581,4,w4,,
75.22581,5,w4,,
75.22581,3,sj4,,
75.52578,4,sj4,,
75.82575,1,sj4,,
75.95907,3,sj4,,
76.12572,2,sj4,,
76.25904,4,sj4,,
76.42569,5,sj4,,
76.55901,1,sj4,,
76.72565999999999,3,sj4,,
76.85898,2,sj4,,
77.02562999999999,4,sj4,,
77.15894999999999,5,sj4,,
77.3256,1,sj4,,
77.59223999999999,2,sj4,,
77.85888,5,sj4,,
78.15885,1,4-1,,
78.15885,2,4-1,,
78.15885,3,4-1,,
78.15885,4,4-1,,
78.15885,5,4-1,,
78.82545,1,1-2,,
78.82545,2,1-2,,
78.82545,3,1-2,,
78.82545,4,1-2,,
78.82545,5,1-2,,
79.12541999999999,1,lp2,,
79.12541999999999,2,lp2,,
79.12541999999999,3,lp2,,
79.12541999999999,4,lp2,,
79.12541999999999,5,lp2,,
80.19198,1,2-4,,
80.19198,2,2-4,,
80.19198,3,2-4,,
80.19198,4,2-4,,
80.19198,5,2-4,,
80.52528,1,hj4,,
80.52528,2,hj4,,
80.52528,3,hj4,,
80.52528,4,hj4,,
80.52528,5,hj4,,
81.22520999999999,1,4-3,,
81.22520999999999,2,4-3,,
81.22520999999999,3,4-3,,
81.22520999999999,4,4-3,,
81.22520999999999,5,4-3,,
81.62517,1,lp3,,
81.62517,2,lp3,,
81.62517,3,lp3,,
81.62517,4,lp3,,
81.62517,5,lp3,,
82.69172999999999,1,j3-2,,
82.69172999999999,4,j3-2,,
82.69172999999999,5,j3-2,,
82.79172,2,j3-2,,
82.79172,3,j3-2,,
83.25833999999999,1,sj2,,
83.25833999999999,2,sj2,,
83.25833999999999,3,sj2,,
83.25833999999999,4,sj2,,
83.25833999999999,5,sj2,,
83.69162999999999,1,lp2,,
83.69162999999999,2,lp2,,
83.69162999999999,3,lp2,,
83.69162999999999,4,lp2,,
83.69162999999999,5,lp2,,
84.15825,1,2-1,,
84.15825,2,2-1,,
84.15825,3,2-1,,
84.15825,4,2-1,,
84.15825,5,2-1,,
84.49154999999999,1,lp1,,
84.49154999999999,2,lp1,,
84.49154999999999,3,lp1,,
84.49154999999999,4,lp1,,
84.49154999999999,5,lp1,,
85.05816,1,1-4,,
85.05816,2,1-4,,
85.05816,3,1-4,,
85.05816,4,1-4,,
85.05816,5,1-4,,
85.42479,1,sj4,,
85.42479,2,sj4,,
85.42479,3,sj4,,
85.42479,4,sj4,,
85.42479,5,sj4,,
85.79142,1,sj4,,
85.79142,2,sj4,,
85.79142,3,sj4,,
85.79142,4,sj4,,
85.79142,5,sj4,,
86.19138,1,lp4,,
86.19138,2,lp4,,
86.19138,3,lp4,,
86.19138,4,lp4,,
86.19138,5,lp4,,
86.658,MOT_mc_bg_black_00,b20-65,,
86.658,MOT_mc_light_center_00,l1,,
86.79132,1,4-3,,
86.79132,2,4-3,,
86.79132,3,4-3,,
86.79132,4,4-3,,
86.79132,5,4-3,,
86.79132,2,,,f1
86.79132,4,,,f1
87.12462,1,w3,,
87.12462,2,w3,,
87.12462,3,w3,,
87.12462,4,w3,,
87.12462,5,w3,,
87.12462,2,lp3,,
87.12462,4,lp3,,
88.19118,2,j3-4,,
88.19118,4,j3-4,,
88.59114,2,lp4,,
88.59114,4,lp4,,
89.62437,3,,,f1
89.62437,5,,,f1
89.62437,2,lp4,,
89.62437,4,lp4,,
89.62437,2,,,b0
89.62437,4,,,b0
90.02432999999999,2,w4,,
90.02432999999999,4,w4,,
90.05766,3,3-4,,
90.05766,5,3-4,,
90.35763,3,sj4,,
90.79092,3,lp4,,
90.82424999999999,5,sj4,,
91.25753999999999,3,sj4,,
91.29087,5,lp4,,
91.69082999999999,3,lp4,,b0
91.69082999999999,5,lp4,,b0
92.15745,3,4-3,,
92.15745,5,4-3,,
92.15745,1,3-3,,
92.15745,2,4-3,,
92.15745,4,4-3,,
92.62406999999999,MOT_mc_bg_black_00,b65-20,,
92.62406999999999,MOT_mc_light_center_00,l3,,
92.62406999999999,1,lp3,r1,
92.62406999999999,2,lp3,r1,
92.62406999999999,3,lp3,r1,
92.62406999999999,4,lp3,r1,
92.62406999999999,5,lp3,r1,
92.85737999999999,1,,r2,
92.85737999999999,2,,r2,
92.85737999999999,3,,r2,
92.85737999999999,4,,r2,
92.85737999999999,5,,r2,
93.09069,1,,r3,
93.09069,2,,r3,
93.09069,3,,r3,
93.09069,4,,r3,
93.09069,5,,r3,
93.29066999999999,1,,r4,
93.29066999999999,2,,r4,
93.29066999999999,3,,r4,
93.29066999999999,4,,r4,
93.29066999999999,5,,r4,
93.55731,1,3-4,,
93.55731,2,3-4,,
93.55731,3,3-4,,
93.55731,4,3-4,,
93.55731,5,3-4,,
93.79061999999999,1,lp4,,
93.79061999999999,2,lp4,,
93.79061999999999,3,lp4,,
93.79061999999999,4,lp4,,
93.79061999999999,5,lp4,,
93.9906,1,,rb3,
93.9906,2,,rb3,
93.9906,3,,rb3,
93.9906,4,,rb3,
93.9906,5,,rb3,
94.22390999999999,1,,rb2,
94.22390999999999,2,,rb2,
94.22390999999999,3,,rb2,
94.22390999999999,4,,rb2,
94.22390999999999,5,,rb2,
94.49055,1,,rb1,
94.49055,2,,rb1,
94.49055,3,,rb1,
94.49055,4,,rb1,
94.49055,5,,rb1,
94.75719,1,,rb0,
94.75719,2,,rb0,
94.75719,3,,rb0,
94.75719,4,,rb0,
94.75719,5,,rb0,
94.9905,1,4-1,,
94.9905,2,4-1,,
94.9905,3,4-1,,
94.9905,4,4-1,,
94.9905,5,4-1,,
95.25713999999999,1,lp1,,
95.25713999999999,2,lp1,,
95.25713999999999,3,lp1,,
95.25713999999999,4,lp1,,
95.25713999999999,5,lp1,,
95.59044,1,1-2,,
95.59044,2,1-2,,
95.59044,3,1-2,,
95.59044,4,1-2,,
95.59044,5,1-2,,
95.9904,2,j2-3,,
96.19037999999999,5,j2-3,,
96.19037999999999,1,j2-3,,
96.39036,3,j2-3,,
96.59034,2,w3,,
96.62366999999999,4,j2-3,,
97.05695999999999,1,sj3,,
97.05695999999999,2,sj3,,
97.05695999999999,3,sj3,,
97.05695999999999,4,sj3,,
97.05695999999999,5,sj3,,
97.45692,1,lp3,,
97.45692,2,lp3,,
97.45692,3,lp3,,
97.45692,4,lp3,,
97.45692,5,lp3,,
98.49015,4,3-4,,
98.49015,5,3-4,,
98.69013,2,3-4,,
98.69013,3,3-4,,
98.89010999999999,1,j2-4,,
99.25674,1,4-1,,
99.25674,2,4-1,,
99.25674,3,4-1,,
99.25674,4,4-1,,
99.25674,5,4-1,,
99.75668999999999,1,j1-3,,
99.75668999999999,2,j1-3,,
99.75668999999999,3,j1-3,,
99.75668999999999,4,j1-3,,
99.75668999999999,5,j1-3,,
100.18997999999999,1,lp3,,
100.18997999999999,2,lp3,,
100.18997999999999,3,lp3,,
100.18997999999999,4,lp3,,
100.18997999999999,5,lp3,,
100.18997999999999,5,,,f1
100.58994,5,sp3-4,,
101.95647,5,j3-2,,
102.35642999999999,5,w2,,
102.35642999999999,5,,,b0
102.68973,1,j3-4,,
102.68973,2,j3-4,,
102.68973,3,j3-4,,
102.68973,4,j3-4,,
102.68973,5,j3-4,,
102.68973,5,j2-4,,
103.08968999999999,1,sj4,,
103.08968999999999,2,sj4,,
103.08968999999999,3,sj4,,
103.08968999999999,4,sj4,,
103.08968999999999,5,sj4,,
103.45631999999999,1,lp4,,
103.45631999999999,2,lp4,,
103.45631999999999,3,lp4,,
103.45631999999999,4,lp4,,
103.45631999999999,5,lp4,,
104.28957,1,4-3,l1,
104.28957,4,4-3,l1,
104.28957,5,4-3,l1,
104.58954,1,lp3,,
104.58954,4,lp3,,
104.58954,5,lp3,,
104.98949999999999,2,4-3,l1,
104.98949999999999,3,4-3,l1,
105.3228,1,lp3,,
105.3228,2,lp3,,
105.3228,3,lp3,,
105.3228,4,lp3,,
105.3228,5,lp3,,
105.6561,1,3-2,lb0,
105.6561,4,3-2,lb0,
105.6561,5,3-2,lb0,
106.05606,1,lp2,,
106.05606,4,lp2,,
106.05606,5,lp2,,
106.42268999999999,2,3-2,lb0,
106.42268999999999,3,3-2,lb0,
106.75599,2,w2,,
106.75599,3,w2,,
107.02262999999999,1,j2-4,,
107.02262999999999,2,2-4,,
107.02262999999999,3,2-4,,
107.02262999999999,4,2-4,,
107.02262999999999,5,2-4,,
107.38926,1,lp4,,
107.38926,2,lp4,,
107.38926,3,lp4,,
107.38926,4,lp4,,
107.38926,5,lp4,,
108.55581,1,4-1,,
108.55581,2,4-1,,
108.55581,3,4-1,,
108.55581,4,4-1,,
108.55581,5,4-1,,
109.22241,1,j1-4,,
109.22241,2,j1-4,,
109.22241,3,j1-4,,
109.22241,4,j1-4,,
109.22241,5,j1-4,,
109.92233999999999,1,4-1,,f1
109.92233999999999,2,4-1,,f1
109.92233999999999,3,4-1,,f1
109.92233999999999,4,4-1,,f1
109.92233999999999,5,4-1,,f1
110.35562999999999,1,w1,,
110.35562999999999,2,w1,,
110.35562999999999,3,w1,,
110.35562999999999,4,w1,,
110.35562999999999,5,w1,,
110.35562999999999,1,lp1,,
110.72225999999999,1,1-2,,
111.05556,1,w2,,
111.38886,1,2-1,,
111.58883999999999,1,,,b0
111.72215999999999,2,,,b0
111.72215999999999,3,,,b0
111.88880999999999,4,,,b0
111.88880999999999,5,,,b0
112.22211,1,lp1,,
112.22211,2,lp1,,
112.22211,3,lp1,,
112.22211,4,lp1,,
112.22211,5,lp1,,
112.78872,1,1-4,,
112.78872,2,1-4,,
112.78872,3,1-4,,
112.78872,4,1-4,,
112.78872,5,1-4,,
112.78872,4,sj1,,
112.78872,5,sj1,,
113.15535,1,w4,,
113.15535,2,w4,,
113.15535,3,w4,,
113.15535,4,w4,,
113.15535,5,w4,,
113.15535,4,w1,,
113.15535,5,w1,,
113.62196999999999,4,sj1,,
113.62196999999999,5,sj1,,
113.98859999999999,4,1-2,,
113.98859999999999,5,1-2,,
114.38856,4,2-3,,
114.38856,5,2-3,,
114.78851999999999,4,j3-4,,
114.78851999999999,5,j3-4,,
115.42179,1,4-1,,
115.42179,2,4-1,,
115.42179,3,4-1,,
115.42179,4,4-1,,
115.42179,5,4-1,,
115.75509,1,w1,,
115.75509,2,w1,,
115.75509,3,w1,,
115.75509,4,w1,,
115.75509,5,w1,,
115.75509,2,sj1,,
115.75509,3,sj1,,
116.12172,2,w1,,
116.12172,3,w1,,
116.58833999999999,2,sj1,,
116.58833999999999,3,sj1,,
116.95496999999999,2,1-2,,
116.95496999999999,3,1-2,,
117.35493,2,2-3,,
117.35493,3,2-3,,
117.75488999999999,2,j3-4,,
117.75488999999999,3,j3-4,,
118.3215,1,4-1,,
118.3215,2,4-1,,
118.3215,3,4-1,,
118.3215,4,4-1,,
118.3215,5,4-1,,
