0.03333,MOT_all,cut1,,
0.03333,MOT_mc_bg_black_00,b65,,
2.0664599999999997,MOT_mc_stage_color_00,r-flash,,
14.065259999999999,4,w2,,,
14.065259999999999,3,w2,,,
14.065259999999999,2,w2,,,
14.065259999999999,1,w4,,,
14.165249999999999,1,4-1,,,
14.39856,2,2-3,,,
14.39856,3,2-3,,,
14.59854,4,2-3,,,
14.59854,5,2-3,,,
14.83185,1,sp1-2,,,
15.265139999999999,MOT_mc_stage_color_00,r-flash,,
15.265139999999999,1,j2-3,,,
15.265139999999999,2,3-4,,,
15.265139999999999,3,3-4,,,
15.265139999999999,4,3-4,,,
15.265139999999999,5,3-4,,,
16.19838,5,w4,,,
16.19838,4,w4,,,
16.19838,3,w4,,,
16.19838,2,w4,,,
16.331699999999998,1,3-4,,,
16.331699999999998,2,4-1,,,
16.331699999999998,3,4-1,,,
16.331699999999998,4,4-1,,,
16.331699999999998,5,4-1,,,
16.665,1,hj4,,,
16.665,2,j1-2,,,
16.665,3,j1-2,,,
16.665,4,j1-2,,,
16.665,5,j1-2,,,
17.331599999999998,1,4-1,,b0,
17.331599999999998,2,2-3,,,
17.331599999999998,3,2-3,,,
17.331599999999998,4,2-3,,,
17.331599999999998,5,2-3,,,
17.331599999999998,1,,,,D20
17.46492,MOT_mc_stage_color_00,r-flash,,
18.26484,5,w3,,,
18.26484,4,w3,,,
18.26484,3,w3,,,
18.26484,2,w3,,,
18.26484,1,w1,,,
18.3315,1,j1-2,,,
18.564809999999998,2,j3-4,,,
18.564809999999998,3,j3-4,,,
18.83145,4,j3-4,,,
18.83145,5,j3-4,,,
19.06476,1,2-3,,,
19.398059999999997,1,3-4,,,
19.398059999999997,2,4-1,,,
19.398059999999997,3,4-1,,,
19.398059999999997,4,4-1,,,
19.398059999999997,5,4-1,,,
19.598039999999997,MOT_mc_stage_color_00,b-flash,,
19.598039999999997,MOT_mc_bg_black_00,b65-45,,
19.73136,1,4-1,,f1,
19.73136,1,,,,L0
20.3313,5,w1,,,
20.3313,4,w1,,,
20.3313,3,w1,,,
20.3313,2,w1,,,
20.53128,1,,r1,,
20.6646,1,w1,,,
21.06456,1,1-2,,,
21.49785,1,j2-3,,,
22.09779,1,,rb0,,
22.09779,2,1-2,,,
22.09779,3,1-2,,,
22.09779,4,1-2,,,
22.09779,5,1-2,,,
22.56441,1,w3,,,
22.597739999999998,1,3-4,,,
22.597739999999998,2,2-3,,,
22.597739999999998,3,2-3,,,
22.597739999999998,4,2-3,,,
22.597739999999998,5,2-3,,,
23.16435,1,4-1,,,
23.53098,5,w3,,,
23.53098,4,w3,,,
23.53098,3,w3,,,
23.53098,2,w3,,,
23.664299999999997,1,1-2,,,
24.19758,1,j2-3,,,
24.464219999999997,2,j3-4,,,
24.464219999999997,3,j3-4,,,
24.76419,4,j3-4,,,
24.76419,5,j3-4,,,
25.264139999999998,1,w3,,,
25.29747,1,3-4,,,
25.53078,3,w4,,,
25.53078,2,w4,,,
25.79742,1,4-1,l1,,
25.79742,2,lp4,,,
25.79742,3,lp4,,,
25.79742,4,lp4,,,
25.79742,5,lp4,,,
26.39736,1,j1-2,,,
26.9973,1,2-3,,,
26.9973,2,4-1,,,
26.9973,3,4-1,,,
26.9973,4,4-1,,,
26.9973,5,4-1,,,
27.63057,1,3-4,lb0,,
27.63057,2,1-2,,,
27.63057,3,1-2,,,
27.63057,4,1-2,,,
27.63057,5,1-2,,,
28.330499999999997,MOT_mc_stage_color_00,r-flash,,
28.46382,1,4-1,,,
28.56381,5,w2,,,
28.56381,4,w2,,,
28.56381,3,w2,,,
28.56381,2,w2,,,
29.130419999999997,1,,r1,,
29.130419999999997,2,,r1,,
29.130419999999997,3,,r1,,
29.130419999999997,4,,r1,,
29.130419999999997,5,,r1,,
29.39706,1,w1,,,
29.59704,1,1-2,,,
30.03033,1,2-3,,,
30.03033,2,2-3,,,
30.03033,3,2-3,,,
30.03033,4,2-3,,,
30.03033,5,2-3,,,
30.730259999999998,1,,rb0,,
30.730259999999998,2,,rb0,,
30.730259999999998,3,,rb0,,
30.730259999999998,4,,rb0,,
30.730259999999998,5,,rb0,,
30.963569999999997,5,w3,,,
30.963569999999997,4,w3,,,
30.963569999999997,3,w3,,,
30.963569999999997,2,w3,,,
30.963569999999997,1,w3,,,
31.19688,1,3-4,,,
31.83015,1,4-1,,,
31.83015,2,3-4,,,
31.83015,3,3-4,,,
32.13012,4,3-4,,,
32.13012,5,3-4,,,
32.49675,1,1-2,,,
32.76339,3,w4,,,
32.76339,2,w4,,,
32.9967,1,j2-3,,,
33.063359999999996,5,w4,,,
33.063359999999996,4,w4,,,
33.26334,2,j4-1,,,
33.26334,3,j4-1,,,
33.52998,4,j4-1,,,
33.52998,5,j4-1,,,
33.96327,1,3-4,l1,,
34.296569999999996,1,4-1,,,
34.329899999999995,3,w1,,,
34.329899999999995,2,w1,,,
34.59654,5,w1,,,
34.59654,4,w1,,,
34.696529999999996,1,1-2,,,
35.29647,1,,lb0,,
35.62977,1,w2,,,
35.72976,1,j2-3,,,
35.72976,2,1-2,,,
35.72976,3,1-2,,,
35.72976,4,1-2,,,
35.72976,5,1-2,,,
36.296369999999996,1,hj3,,,
36.363029999999995,MOT_mc_stage_color_00,b-flash,,
36.663,5,w2,,,
36.663,4,w2,,,
36.663,3,w2,,,
36.663,2,w2,,,
36.86298,1,3-4,,,
37.39626,1,4-1,,,
37.39626,2,2-3,,,
37.39626,3,2-3,,,
37.39626,4,2-3,,,
37.39626,5,2-3,,,
37.9962,1,1-2,,,
38.329499999999996,5,w3,,,
38.329499999999996,4,w3,,,
38.329499999999996,3,w3,,,
38.329499999999996,2,w3,,,
38.49615,1,2-3,,,
39.09609,1,3-4,r1,,
39.09609,2,,l1,,
39.09609,3,,r1,,
39.09609,4,,l1,,
39.09609,5,,r1,,
39.46272,1,4-1,,,
39.82935,1,1-2,,,
40.329299999999996,1,,rb0,,
40.762589999999996,1,w2,,,
40.92924,1,2-3,,,
40.92924,2,3-4,,,
40.92924,3,3-4,,,
40.92924,4,3-4,,,
40.92924,5,3-4,,,
41.49585,1,3-4,l1,,
41.86248,5,w4,,,
41.86248,4,w4,,,
41.86248,3,w4,,,
41.86248,2,w4,,,
42.16245,1,sp4-1,,,
42.16245,2,lp4,,,
42.16245,3,lp4,,,
42.16245,4,lp4,,,
42.16245,5,lp4,,,
43.09569,1,j1-2,,,
43.79562,1,2-3,lb0,,
43.79562,2,4-1,lb0,,
43.79562,3,4-1,rb0,,
43.79562,4,4-1,lb0,,
43.79562,5,4-1,rb0,,
44.29557,1,3-4,,,
44.29557,2,1-2,,,
44.29557,3,1-2,,,
44.29557,4,1-2,,,
44.29557,5,1-2,,,
44.828849999999996,1,j4-1,,,
44.828849999999996,2,j2-3,,,
44.828849999999996,3,j2-3,,,
44.828849999999996,4,j2-3,,,
44.828849999999996,5,j2-3,,,
44.895509999999994,MOT_mc_stage_color_00,b-flash,,
45.36213,1,1-2,,,
45.89541,5,w3,,,
45.89541,4,w3,,,
45.89541,3,w3,,,
45.89541,2,w3,,,
46.028729999999996,1,hj2,,,
46.72866,1,2-3,,,
46.72866,2,3-4,,,
46.72866,3,3-4,,,
46.72866,4,3-4,,,
46.72866,5,3-4,,,
47.261939999999996,1,j3-4,,,
47.661899999999996,5,w4,,,
47.661899999999996,4,w4,,,
47.661899999999996,3,w4,,,
47.661899999999996,2,w4,,,
47.82855,1,4-1,,,
48.22851,1,j1-2,,,
48.22851,2,j4-1,,,
48.22851,3,j4-1,,,
48.59514,4,j4-1,,,
48.59514,5,j4-1,,,
49.22841,1,2-3,,,
49.295069999999996,3,w1,,,
49.295069999999996,2,w1,,,
49.661699999999996,5,w1,,,
49.661699999999996,4,w1,,,
49.695029999999996,1,,l1,,
50.161649999999995,1,w3,,,
50.19498,1,j3-4,,,
50.82825,1,4-1,,,
50.82825,2,1-2,,,
50.82825,3,1-2,,,
50.82825,4,1-2,,,
50.82825,5,1-2,,,
51.394859999999994,MOT_mc_stage_color_00,b-flash,,
51.394859999999994,1,1-2,lb0,,
51.761489999999995,5,w2,,,
51.761489999999995,4,w2,,,
51.761489999999995,3,w2,,,
51.761489999999995,2,w2,,,
51.82815,1,2-3,,,
51.82815,2,2-3,,,
51.82815,3,2-3,,,
51.82815,4,2-3,,,
51.82815,5,2-3,,,
52.3281,1,j3-4,,,
52.42809,MOT_mc_stage_color_00,b-flash,,
52.594739999999994,2,j3-4,,,
52.594739999999994,3,j3-4,,,
52.69473,MOT_mc_stage_color_00,r-flash,,
52.76139,5,w3,,,
52.76139,4,w3,,,
52.894709999999996,4,j3-4,,,
52.894709999999996,5,j3-4,,,
52.994699999999995,MOT_mc_stage_color_00,b-flash,,
53.26134,1,j4-1,,,
53.26134,2,4-1,,,
53.26134,3,4-1,,,
53.26134,4,4-1,,,
53.26134,5,4-1,,,
53.827949999999994,MOT_mc_stage_color_00,b-flash,,
53.827949999999994,1,hj1,,,
53.827949999999994,2,hj1,,,
53.827949999999994,3,hj1,,,
53.827949999999994,4,hj1,,,
53.827949999999994,5,hj1,,,
54.3279,1,1-2,,b0,
54.3279,4,1-2,,,
54.3279,5,1-2,,,
54.3279,1,,,,D20
54.36123,MOT_mc_stage_color_00,r-flash,,
54.627869999999994,2,1-2,,,
54.627869999999994,3,1-2,,,
54.6612,MOT_mc_stage_color_00,b-flash,,
54.961169999999996,1,sp2-3,,,
54.961169999999996,2,sp2-3,,,
54.961169999999996,3,sp2-3,,,
54.961169999999996,4,sp2-3,,,
54.961169999999996,5,sp2-3,,,
54.994499999999995,MOT_mc_stage_color_00,r-flash,,
55.62777,1,hj3,,,
55.62777,2,hj3,,,
55.62777,3,hj3,,,
55.727759999999996,MOT_mc_stage_color_00,b-flash,,
55.89441,4,hj3,,,
55.89441,5,hj3,,,
56.06106,MOT_mc_stage_color_00,r-flash,,
56.46102,MOT_mc_bg_black_00,b45-65,,
56.49435,1,3-4,,f1,
56.49435,2,3-4,,,
56.49435,3,3-4,,,
56.49435,4,3-4,,,
56.49435,5,3-4,,,
56.49435,1,,,,L0
56.994299999999996,1,4-1,,,
57.427589999999995,5,w4,,,
57.427589999999995,4,w4,,,
57.427589999999995,3,w4,,,
57.427589999999995,2,w4,,,
57.6609,1,1-2,,,
57.6609,2,4-1,,,
57.6609,3,4-1,,,
57.827549999999995,4,4-1,,,
57.827549999999995,5,4-1,,,
58.02753,1,2-3,,,
58.39416,1,hj3,,,
58.594139999999996,3,w1,,,
58.594139999999996,2,w1,,,
58.76079,5,w1,,,
58.76079,4,w1,,,
59.62737,1,w3,,,
60.260639999999995,1,3-4,,,
60.76059,1,,r1,,
61.16055,1,4-1,,,
61.79382,1,1-2,,,
62.39376,1,,rb0,,
62.39376,2,1-2,,,
62.39376,3,1-2,,,
62.39376,4,1-2,,,
62.39376,5,1-2,,,
62.727059999999994,1,w2,,,
62.760389999999994,1,2-3,,,
62.760389999999994,2,2-3,,,
62.760389999999994,3,2-3,,,
62.760389999999994,4,2-3,,,
62.760389999999994,5,2-3,,,
63.69363,5,w3,,,
63.69363,4,w3,,,
63.69363,3,w3,,,
63.69363,2,w3,,,
63.69363,1,w3,,,
64.6602,1,3-4,,,
64.6602,2,3-4,,,
64.6602,3,3-4,,,
64.6602,4,3-4,,,
64.6602,5,3-4,,,
65.32679999999999,1,,r1,,
65.59344,5,w4,,,
65.59344,4,w4,,,
65.59344,3,w4,,,
65.59344,2,w4,,,
65.59344,1,w4,,,
65.69342999999999,1,4-1,,,
66.16005,1,1-2,,,
66.59334,1,,rb0,,
67.09329,1,w2,,,
67.19328,1,j2-3,,,
67.45992,MOT_mc_stage_color_00,r-flash,,
67.92654,1,3-4,,,
67.92654,2,4-1,,,
67.92654,3,4-1,,,
67.9932,MOT_mc_stage_color_00,b-flash,,
68.55981,MOT_mc_stage_color_00,r-flash,,
68.55981,MOT_mc_bg_black_00,b65-45,,
68.55981,1,4-1,,,
68.55981,2,1-2,,,
68.55981,3,1-2,,,
68.55981,4,4-1,,,
68.55981,5,4-1,,,
69.15975,1,1-2,l1,,
69.15975,2,2-3,,,
69.15975,3,2-3,,,
69.15975,4,1-2,,,
69.15975,5,1-2,,,
69.52638,1,2-3,,,
69.89301,1,j3-4,,,
70.09299,5,w2,,,
70.09299,4,w2,,,
70.09299,3,w3,,,
70.09299,2,w3,,,
70.45962,1,hj4,,,
70.45962,2,3-4,,,
70.45962,3,3-4,,,
70.45962,4,2-3,,,
70.45962,5,2-3,,,
71.22621,1,4-1,lb0,,
71.22621,2,4-1,,,
71.22621,3,4-1,,,
71.22621,4,3-4,,,
71.22621,5,3-4,,,
71.35952999999999,MOT_mc_stage_color_00,r-flash,,
71.59284,1,sp1-2,,,
72.15944999999999,5,w4,,,
72.15944999999999,4,w4,,,
72.15944999999999,3,w1,,,
72.15944999999999,2,w1,,,
72.29276999999999,1,hj2,,,
72.29276999999999,2,lp1,,,
72.29276999999999,3,lp1,,,
72.29276999999999,4,lp4,,,
72.29276999999999,5,lp4,,,
72.3261,MOT_mc_stage_color_00,r-flash,,
73.52597999999999,1,w2,,,
73.85928,1,j2-3,,,
73.85928,4,j4-1,,,
73.85928,5,j4-1,,,
74.15925,2,j1-2,,,
74.15925,3,j1-2,,,
74.45922,1,3-4,,,
74.45922,4,1-2,,,
74.45922,5,1-2,,,
74.72586,2,2-3,,,
74.72586,3,2-3,,,
74.95917,MOT_all,cut2,,
74.99249999999999,1,hj4,,,
74.99249999999999,2,3-4,,,
74.99249999999999,3,3-4,,,
74.99249999999999,4,2-3,,,
74.99249999999999,5,2-3,,,
75.05915999999999,MOT_mc_stage_color_00,b-flash,,
75.05915999999999,MOT_mc_bg_black_00,b45-0,,
75.55910999999999,MOT_mc_stage_color_00,r-flash,,
75.55910999999999,1,4-1,,,
75.89241,1,j1-2,,,
75.92573999999999,5,w3,,,
75.92573999999999,4,w3,,,
75.92573999999999,3,w4,,,
75.92573999999999,2,w4,,,
76.12572,2,j4-1,,,
76.12572,3,j4-1,,,
76.39236,1,2-3,,,
76.39236,4,j3-4,,,
76.39236,5,j3-4,,,
76.9923,1,,r1,,
76.9923,2,lp1,,,
76.9923,3,lp1,,,
76.9923,4,lp4,,,
76.9923,5,lp4,,,
77.3256,1,w3,,,
77.49225,1,3-4,,,
77.9922,1,4-1,rb0,,
77.9922,2,1-2,,,
77.9922,3,1-2,,,
77.9922,4,4-1,,,
77.9922,5,4-1,,,
78.92544,5,w1,,,
78.92544,4,w1,,,
78.92544,3,w2,,,
78.92544,2,w2,,,
78.92544,1,w1,,,
79.95867,1,1-2,l1,,
80.45862,1,2-3,,,
80.82525,1,3-4,,,
81.29187,1,sj4,,,
81.79182,1,w4,,,
81.85848,1,4-1,lb0,,
81.85848,2,2-3,,,
81.85848,3,2-3,,,
81.85848,4,1-2,,,
81.85848,5,1-2,,,
82.39175999999999,1,j1-2,,,
82.39175999999999,2,3-4,,,
82.39175999999999,3,3-4,,,
82.39175999999999,4,2-3,,,
82.39175999999999,5,2-3,,,
82.82504999999999,4,3-4,,,
82.82504999999999,5,3-4,,,
82.9917,MOT_mc_stage_color_00,b-flash,,
83.22501,1,2-3,,,
83.22501,2,4-1,,,
83.22501,3,4-1,,,
83.35833,MOT_mc_stage_color_00,r-flash,,
83.69162999999999,1,3-4,,,
83.72496,MOT_mc_stage_color_00,b-flash,,
83.75829,5,w4,,,
83.75829,4,w4,,,
83.95827,2,1-2,,,
83.95827,3,1-2,,,
83.95827,4,4-1,,,
83.95827,5,4-1,,,
84.09159,MOT_mc_stage_color_00,r-flash,,
84.3249,1,4-1,,,
84.3249,2,2-3,,,
84.3249,3,2-3,,,
84.3249,4,1-2,,,
84.3249,5,1-2,,,
84.69153,1,j1-2,,,
85.25814,5,w2,,,
85.25814,4,w2,,,
85.25814,3,w3,,,
85.25814,2,w3,,,
85.29146999999999,1,2-3,,,
85.75809,1,3-4,,,
86.19138,1,hj4,,,
86.89130999999999,1,4-1,r1,,
86.89130999999999,2,3-4,,,
86.89130999999999,3,3-4,,,
87.55790999999999,1,1-2,,,
87.55790999999999,4,2-3,,,
87.55790999999999,5,2-3,,,
87.82455,3,w4,,,
87.82455,2,w4,,,
88.12451999999999,1,2-3,,,
88.49114999999999,5,w3,,,
88.49114999999999,4,w3,,,
88.59114,1,3-4,rb0,,
88.59114,2,4-1,,,
88.59114,3,4-1,,,
88.59114,4,3-4,,,
88.59114,5,3-4,,,
89.02443,MOT_mc_stage_color_00,r-flash,,
89.15775,1,4-1,,,
89.15775,2,1-2,,,
89.15775,3,1-2,,,
89.15775,4,4-1,,,
89.15775,5,4-1,,,
89.52438,1,j1-2,,,
90.09098999999999,5,w1,,,
90.09098999999999,4,w1,,,
90.09098999999999,3,w2,,,
90.09098999999999,2,w2,,,
90.09098999999999,1,,l1,,
90.52427999999999,1,2-3,lb0,,
91.05756,1,sp3-4,,,
91.05756,2,sp2-3,,,
91.05756,3,sp2-3,,,
91.05756,4,sp1-2,,,
91.05756,5,sp1-2,,,
91.92414,1,hj4,,,
91.92414,2,hj3,,,
91.92414,3,hj3,,,
91.92414,4,hj2,,,
91.92414,5,hj2,,,
91.95747,MOT_mc_stage_color_00,r-flash,,
92.99069999999999,MOT_mc_stage_color_00,b-flash,,
92.99069999999999,1,4-1,,,
92.99069999999999,4,2-3,,,
92.99069999999999,5,2-3,,,
93.15735,3,w3,,,
93.15735,2,w3,,,
93.22400999999999,2,3-4,,,
93.22400999999999,3,3-4,,,
93.45732,1,j1-2,,,
93.45732,2,lp4,,,
93.45732,3,lp4,,,
93.45732,4,lp3,,,
93.45732,5,lp3,,,
93.9906,1,2-3,,,
94.55721,1,,r1,,
94.92384,1,w3,,,
95.15715,1,3-4,,,
95.49045,1,4-1,,,
95.49045,2,4-1,,,
95.49045,3,4-1,,,
95.49045,4,3-4,,,
95.49045,5,3-4,,,
95.95707,1,1-2,,,
96.35703,1,2-3,,,
96.35703,2,1-2,,,
96.35703,3,1-2,,,
96.42369,5,w4,,,
96.42369,4,w4,,,
96.82365,1,3-4,,,
96.82365,2,2-3,,,
96.82365,3,2-3,,,
96.82365,4,4-1,,,
96.82365,5,4-1,,,
97.29026999999999,1,j4-1,,,
97.29026999999999,2,j3-4,,,
97.29026999999999,3,j3-4,,,
97.39026,MOT_mc_stage_color_00,b-flash,,
97.52358,4,j1-2,,,
97.52358,5,j1-2,,,
97.82355,1,1-2,,,
98.29016999999999,1,,rb0,,
98.35683,3,w4,,,
98.35683,2,w4,,,
98.59013999999999,5,w2,,,
98.59013999999999,4,w2,,,
98.72345999999999,1,2-3,,,
98.72345999999999,2,4-1,,,
98.72345999999999,3,4-1,,,
98.72345999999999,4,2-3,,,
98.72345999999999,5,2-3,,,
99.49005,1,,l1,,
99.6567,5,w3,,,
99.6567,4,w3,,,
99.6567,3,w1,,,
99.6567,2,w1,,,
99.6567,1,w3,,,
99.85668,1,3-4,,,
100.15665,MOT_mc_stage_color_00,b-flash,,
100.48995,1,j4-1,,,
100.48995,2,1-2,,,
100.48995,3,1-2,,,
100.6566,MOT_mc_stage_color_00,r-flash,,
101.12321999999999,1,1-2,lb0,,
101.12321999999999,2,2-3,,,
101.12321999999999,3,2-3,,,
101.12321999999999,4,3-4,,,
101.12321999999999,5,3-4,,,
101.28987,MOT_mc_stage_color_00,b-flash,,
101.6565,1,2-3,r1,,
101.6565,2,3-4,r1,,
101.6565,3,3-4,r1,,
101.6565,4,4-1,r1,,
101.6565,5,4-1,r1,,
102.25644,1,3-4,,,
102.58973999999999,5,w1,,,
102.58973999999999,4,w1,,,
102.58973999999999,3,w4,,,
102.58973999999999,2,w4,,,
102.58973999999999,1,sp4-1,,,
102.58973999999999,2,lp4,,,
102.58973999999999,3,lp4,,,
102.58973999999999,4,lp1,,,
102.58973999999999,5,lp1,,,
103.22301,1,1-2,rb0,,
103.22301,2,4-1,rb0,,
103.22301,3,4-1,rb0,,
103.22301,4,1-2,rb0,,
103.22301,5,1-2,rb0,,
103.72296,1,2-3,,,
103.72296,2,1-2,,,
103.72296,3,1-2,,,
103.72296,4,2-3,,,
103.72296,5,2-3,,,
104.12292,1,3-4,,,
104.45622,1,4-1,,,
104.6562,5,w3,,,
104.6562,4,w3,,,
104.6562,3,w2,,,
104.6562,2,w2,,,
104.78952,1,1-2,,,
105.15615,1,j2-3,,,
105.15615,2,j2-3,,,
105.15615,3,j2-3,,,
105.45612,4,j3-4,,,
105.45612,5,j3-4,,,
105.98939999999999,1,sp3-4,,,
105.98939999999999,2,sp3-4,,,
105.98939999999999,3,sp3-4,,,
105.98939999999999,4,sp4-1,,,
105.98939999999999,5,sp4-1,,,
106.28936999999999,MOT_mc_stage_color_00,b-flash,,
106.65599999999999,1,hj4,,,
106.65599999999999,2,j4-1,,,
106.65599999999999,3,j4-1,,,
106.65599999999999,4,j1-2,,,
106.65599999999999,5,j1-2,,,
106.88931,MOT_mc_stage_color_00,b-flash,,
107.42259,1,4-1,,,
107.42259,2,1-2,,,
107.42259,3,1-2,,,
107.42259,4,2-3,,,
107.42259,5,2-3,,,
108.12252,1,j1-2,,,
108.12252,2,j2-3,,,
108.12252,3,j2-3,,,
108.35583,5,w3,,,
108.35583,4,w3,,,
108.48915,4,j3-4,,,
108.48915,5,j3-4,,,
108.95577,1,2-3,,,
109.02243,MOT_mc_stage_color_00,b-flash,,
109.18907999999999,3,w3,,,
109.18907999999999,2,w3,,,
109.35573,2,3-4,,,
109.35573,3,3-4,,,
109.45572,MOT_mc_stage_color_00,r-flash,,
109.55570999999999,5,w4,,,
109.55570999999999,4,w4,,,
109.78902,4,4-1,,,
109.78902,5,4-1,,,
109.88901,1,w3,,,
109.92233999999999,MOT_mc_stage_color_00,b-flash,,
110.12232,1,3-4,,,
110.28896999999999,3,w4,,,
110.28896999999999,2,w4,,,
110.48894999999999,1,4-1,,,
110.72225999999999,5,w1,,,
110.72225999999999,4,w1,,,
110.82225,MOT_mc_stage_color_00,b-flash,,
110.85557999999999,1,hj1,,,
110.85557999999999,2,4-1,l1,,
110.85557999999999,3,4-1,r1,,
110.85557999999999,4,1-2,l1,,
110.85557999999999,5,1-2,r1,,
111.75549,1,1-2,,,
111.78882,5,w2,,,
111.78882,4,w2,,,
111.78882,3,w1,,,
111.78882,2,w1,,,
112.02212999999999,2,1-2,,,
112.02212999999999,3,1-2,,,
112.05546,MOT_mc_stage_color_00,r-flash,,
112.28877,4,2-3,,,
112.28877,5,2-3,,,
112.45541999999999,MOT_mc_stage_color_00,b-flash,,
112.68872999999999,1,2-3,,,
112.68872999999999,2,2-3,lb0,,
112.68872999999999,3,2-3,rb0,,
112.68872999999999,4,3-4,lb0,,
112.68872999999999,5,3-4,rb0,,
112.9887,1,hj3,,,
112.9887,2,hj3,,,
112.9887,3,hj3,,,
112.9887,4,hj4,,,
112.9887,5,hj4,,,
113.08869,MOT_mc_stage_color_00,r-flash,,
113.68862999999999,1,3-4,,b0,
113.68862999999999,1,,,,D20
114.02193,1,4-1,,,
114.02193,2,3-4,,,
114.02193,3,3-4,,,
114.22191,5,w4,,,
114.22191,4,w4,,,
114.35522999999999,4,4-1,,,
114.35522999999999,5,4-1,,,
114.75519,1,1-2,,,
114.75519,4,1-2,,,
114.75519,5,1-2,,,
114.95517,3,w4,,,
114.95517,2,w4,,,
115.22180999999999,1,2-3,,,
115.22180999999999,2,4-1,,,
115.22180999999999,3,4-1,,,
115.22180999999999,4,2-3,,,
115.22180999999999,5,2-3,,,
115.75509,1,j3-4,,,
115.75509,2,j1-2,,,
115.75509,3,j1-2,,,
115.75509,4,j3-4,,,
115.75509,5,j3-4,,,
116.48835,1,4-1,,,
116.48835,2,2-3,,,
116.48835,3,2-3,,,
116.48835,4,4-1,,,
116.48835,5,4-1,,,
117.15495,1,1-2,,,
117.15495,2,3-4,,,
117.15495,3,3-4,,,
117.15495,4,1-2,,,
117.15495,5,1-2,,,
117.72156,1,j2-3,,,
118.08819,5,w2,,,
118.08819,4,w2,,,
118.08819,3,w4,,,
118.08819,2,w4,,,
118.18817999999999,2,j4-1,,,
118.18817999999999,3,j4-1,,,
118.62146999999999,4,j2-3,,,
118.62146999999999,5,j2-3,,,
118.78811999999999,1,w3,,,
119.15474999999999,1,3-4,,,
119.15474999999999,4,3-4,,,
119.15474999999999,5,3-4,,,
119.25474,3,w1,,,
119.25474,2,w1,,,
119.55471,2,1-2,,,
119.55471,3,1-2,,,
119.988,5,4-1,,,
120.08798999999999,4,w4,,,
120.08798999999999,1,w4,,,
120.22130999999999,1,4-1,,,
120.22130999999999,2,2-3,,,
120.22130999999999,3,2-3,,,
120.48795,4,4-1,,,
120.82124999999999,1,1-2,,,
120.92124,5,w1,,,
121.05456,2,3-4,,,
