0.00000,3,sort,-3000,
0.00000,4,sort,-3000,
0.00000,5,sort,-3000,
0.06666,MOT_all,ppd_cut1,,
21.397859999999998,MOT_mc_stage_color_00,b-flash,,
22.09779,1,j2-3,,,
22.09779,2,j4-1,,,
22.09779,3,j1-2,,,
22.09779,4,j4-1,,,
22.09779,5,j4-1,,,
22.73106,MOT_mc_stage_color_00,y-flash,,
22.89771,1,j3-4,,,
22.9977,2,j1-2,,,
22.9977,3,j2-3,,,
23.06436,MOT_mc_light_up_00,l3,,
23.06436,MOT_mc_speaker_00,temp1,,
23.09769,3,j3-4,,,
23.09769,4,j1-2,,,
23.09769,5,j1-2,,,
23.46432,1,j4-1,,,
23.56431,2,j2-3,,,
23.56431,3,j4-1,,,
23.664299999999997,3,j1-2,,,
23.664299999999997,4,j2-3,,,
23.664299999999997,5,j2-3,,,
24.464219999999997,1,1-2,,,
24.464219999999997,2,3-4,,,
24.464219999999997,3,2-3,,,
24.464219999999997,4,3-4,,,
24.464219999999997,5,3-4,,,
24.464219999999997,MOT_mc_stage_color_00,r-flash,,
25.030829999999998,1,j2-3,,,
25.030829999999998,2,j4-1,,,
25.030829999999998,3,3-4,,,
25.030829999999998,4,4-1,,,
25.030829999999998,5,4-1,,,
25.59744,1,j3-4,,,
25.59744,3,4-1,,,
25.59744,4,1-2,l1,,
25.59744,5,1-2,r1,,
25.9974,2,j1-2,,,
25.9974,3,1-2,,,
25.9974,4,2-3,l2,,
25.9974,5,2-3,r2,,
26.297369999999997,MOT_mc_light_up_00,l2,,
26.297369999999997,MOT_mc_speaker_00,temp2,,
26.43069,1,4-1,,,
26.43069,2,2-3,,,
26.43069,3,2-3,,,
26.43069,4,3-4,,,
26.43069,5,3-4,,,
26.863979999999998,1,1-2,,,
26.863979999999998,2,3-4,,,
26.863979999999998,3,3-4,,,
26.863979999999998,4,4-1,,,
26.863979999999998,5,4-1,,,
27.297269999999997,MOT_mc_stage_color_00,b-flash,,
27.36393,1,j2-3,,,
27.36393,2,j4-1,,,
27.36393,3,lp4,,,
27.36393,4,lp1,,,
27.36393,5,lp1,,,
27.96387,1,hj3,,,
27.96387,2,hj1,,,
28.83045,1,3-4,,,
29.19708,2,w1,,,
29.26374,2,1-2,,,
29.76369,1,hj4,,,
29.76369,2,hj2,,,
30.330299999999998,1,4-1,,,
30.330299999999998,2,2-3,,,
30.330299999999998,3,4-1,,,
30.330299999999998,4,1-2,,,
30.330299999999998,5,1-2,,,
30.6636,1,j1-2,,,
30.6636,2,j3-4,,,
30.6636,3,1-2,,,
30.6636,4,2-3,,,
30.6636,5,2-3,,,
31.29687,1,hj2,,,
31.29687,2,hj4,,,
31.29687,3,hj2,,,
31.29687,4,hj3,,,
31.29687,5,hj3,,,
31.86348,1,2-3,,,
31.86348,2,4-1,,,
31.86348,3,2-3,,,
31.86348,4,3-4,,,
31.86348,5,3-4,,,
31.89681,MOT_mc_stage_color_00,y-flash,,
32.19678,1,j3-4,,,
32.19678,2,j1-2,,,
32.19678,3,3-4,,,
32.19678,4,4-1,,,
32.19678,5,4-1,,,
32.83005,1,hj4,,,
32.83005,2,hj2,,,
32.83005,3,hj4,,,
32.83005,4,hj1,,,
32.83005,5,hj1,,,
33.59664,1,4-1,,,
33.59664,2,2-3,,,
33.59664,3,4-1,,,
33.59664,4,1-2,,,
33.59664,5,1-2,,,
34.329899999999995,1,j1-2,,,
34.329899999999995,2,j3-4,,,
34.329899999999995,3,j1-2,,,
34.329899999999995,4,j2-3,,,
34.329899999999995,5,j2-3,,,
34.89651,1,2-3,,,
34.89651,2,4-1,,,
34.89651,3,2-3,,,
34.89651,4,3-4,,,
34.89651,5,3-4,,,
35.29647,1,hj3,,,
35.29647,2,hj1,,,
35.56311,3,hj3,,,
35.56311,4,hj4,,,
35.56311,5,hj4,,,
36.22971,1,3-4,,,
36.22971,2,1-2,,,
36.22971,3,3-4,,,
36.22971,4,4-1,,,
36.22971,5,4-1,,,
36.59634,1,hj4,,,
36.59634,2,hj2,,,
36.59634,3,hj4,,,
36.59634,4,hj1,,,
36.59634,5,hj1,,,
36.62967,MOT_mc_stage_color_00,r-flash,,
37.39626,1,4-1,,,
37.39626,2,2-3,,,
37.39626,3,4-1,,,
37.39626,4,1-2,,,
37.39626,5,1-2,,,
37.9962,1,j1-2,,,
37.9962,2,j3-4,,,
37.9962,3,j1-2,,,
37.9962,4,j2-3,,,
37.9962,5,j2-3,,,
38.46282,1,2-3,,,
38.46282,2,4-1,,,
38.46282,3,2-3,,,
38.46282,4,3-4,lb1,,
38.46282,5,3-4,rb1,,
38.796119999999995,1,3-4,,,
38.796119999999995,2,1-2,,,
38.796119999999995,3,3-4,,,
38.796119999999995,4,4-1,lb0,,
38.796119999999995,5,4-1,rb0,,
39.162749999999996,1,j4-1,,,
39.162749999999996,2,j2-3,,,
39.162749999999996,3,j4-1,,,
39.162749999999996,4,j1-2,,,
39.162749999999996,5,j1-2,,,
39.3294,MOT_mc_stage_color_00,b-flash,,
39.89601,1,1-2,,,
39.89601,2,3-4,,,
39.89601,3,1-2,,,
39.89601,4,2-3,,,
39.89601,5,2-3,,,
40.49595,1,j2-3,,,
40.49595,2,j4-1,,,
40.49595,3,j2-3,,,
40.49595,4,j3-4,,,
40.49595,5,j3-4,,,
40.96257,1,j3-4,,,
40.96257,2,j1-2,,,
40.96257,3,j3-4,,,
40.96257,4,j4-1,,,
40.96257,5,j4-1,,,
41.52918,1,hj4,,,
41.52918,2,hj2,,,
41.52918,3,hj4,,,
41.52918,4,hj1,,,
41.52918,5,hj1,,,
42.72906,1,j4-1,,,
42.72906,2,j2-3,,,
42.72906,3,j4-1,,,
42.72906,4,j1-2,,,
42.72906,5,j1-2,,,
42.72906,MOT_mc_stage_color_00,y-flash,,
43.262339999999995,1,j1-2,,,
43.262339999999995,2,j3-4,,,
43.262339999999995,3,j1-2,,,
43.262339999999995,4,j2-3,,,
43.262339999999995,5,j2-3,,,
43.29567,MOT_mc_stage_color_00,r-flash,,
43.79562,1,hj2,,,
43.79562,2,hj4,,,
43.79562,3,hj2,,,
43.79562,4,hj3,,,
43.79562,5,hj3,,,
43.89561,MOT_mc_stage_color_00,b-flash,,
44.395559999999996,MOT_mc_stage_color_00,y-flash,,
44.462219999999995,1,j2-3,,,
44.462219999999995,2,j4-1,,,
44.462219999999995,3,j2-3,,,
44.462219999999995,4,j3-4,,,
44.462219999999995,5,j3-4,,,
44.895509999999994,MOT_mc_stage_color_00,r-flash,,
44.96217,1,3-4,,,
44.96217,2,1-2,,,
44.96217,3,3-4,,,
44.96217,4,4-1,,,
44.96217,5,4-1,,,
45.79542,1,hj4,,,
45.79542,2,hj2,,,
45.79542,3,hj4,,,
45.79542,4,hj1,,,
45.79542,5,hj1,,,
45.79542,MOT_mc_stage_color_00,b-flash,,
46.462019999999995,1,j4-1,,,
46.462019999999995,2,j2-3,,,
46.462019999999995,3,j4-1,,,
46.462019999999995,4,j1-2,,,
46.462019999999995,5,j1-2,,,
47.261939999999996,1,hj1,,,
47.261939999999996,2,hj3,,,
47.261939999999996,3,hj1,,,
47.261939999999996,4,hj2,,,
47.261939999999996,5,hj2,,,
47.328599999999994,MOT_mc_stage_color_00,y-flash,,
47.9952,1,j1-2,,,
47.9952,2,j3-4,,,
47.9952,3,j1-2,,,
47.9952,4,j2-3,,,
47.9952,5,j2-3,,,
48.861779999999996,1,j2-3,,,
48.861779999999996,2,4-1,,,
48.861779999999996,3,2-3,,,
48.861779999999996,4,3-4,,,
48.861779999999996,5,3-4,,,
48.861779999999996,MOT_mc_light_up_00,l1,,
48.861779999999996,MOT_mc_speaker_00,temp1,,
48.861779999999996,MOT_mc_stage_color_00,r-flash,,
49.19508,2,lp1,,,
49.19508,3,lp3,,,
49.19508,4,lp4,,,
49.19508,5,lp4,,,
49.39506,1,3-4,l1,,
50.061659999999996,1,4-1,l2,,
50.76159,1,hj1,,,
51.02823,2,hj1,,,
51.02823,3,hj3,,,
51.02823,4,hj4,,,
51.02823,5,hj4,,,
51.694829999999996,2,1-2,,,
51.694829999999996,3,3-4,,,
51.694829999999996,4,4-1,,,
51.694829999999996,5,4-1,,,
51.82815,MOT_mc_stage_color_00,b-flash,,
51.92814,1,j1-2,,,
52.02813,2,lp2,,,
52.02813,3,lp4,,,
52.02813,4,lp1,,,
52.02813,5,lp1,,,
52.69473,MOT_mc_stage_color_00,y-flash,,
52.72806,1,2-3,,,
53.327999999999996,1,j3-4,,,
53.827949999999994,1,4-1,lb1,,
53.827949999999994,2,2-3,,,
53.827949999999994,3,4-1,,,
53.827949999999994,4,1-2,,,
53.827949999999994,5,1-2,,,
54.161249999999995,1,1-2,lb0,,
54.161249999999995,2,j3-4,,,
54.161249999999995,3,j1-2,,,
54.161249999999995,4,j2-3,,,
54.161249999999995,5,j2-3,,,
54.6612,2,lp4,,,
54.6612,3,lp2,,,
54.6612,4,lp3,,,
54.6612,5,lp3,,,
54.79452,1,2-3,r1,,
55.12782,1,hj3,,,
55.361129999999996,2,4-1,,,
55.361129999999996,3,2-3,,,
55.361129999999996,4,3-4,,,
55.361129999999996,5,3-4,,,
55.69443,2,j1-2,,,
55.69443,3,j3-4,,,
55.69443,4,j4-1,,,
55.69443,5,j4-1,,,
55.69443,MOT_mc_stage_color_00,r-flash,,
56.12772,1,3-4,rb0,,
56.72766,1,hj4,,,
56.76099,5,w1,,,
56.76099,4,w1,,,
56.76099,3,w4,,,
56.76099,2,w2,,,
57.027629999999995,2,2-3,,,
57.027629999999995,3,4-1,,,
57.027629999999995,4,1-2,,,
57.027629999999995,5,1-2,,,
57.26094,MOT_mc_stage_color_00,b-flash,,
57.360929999999996,2,j3-4,,,
57.360929999999996,3,j1-2,,,
57.360929999999996,4,j2-3,,,
57.360929999999996,5,j2-3,,,
57.394259999999996,1,4-1,,,
57.860879999999995,2,lp4,,,
57.860879999999995,3,lp2,,,
57.860879999999995,4,lp3,,,
57.860879999999995,5,lp3,,,
58.06086,1,j1-2,,,
58.694129999999994,1,2-3,,,
59.027429999999995,1,hj3,,,
59.36073,2,hj4,,,
59.36073,3,hj2,,,
59.36073,4,hj3,,,
59.36073,5,hj3,,,
59.36073,MOT_mc_stage_color_00,y-flash,,
60.260639999999995,1,w3,,,
60.593939999999996,5,w3,,,
60.593939999999996,4,w3,,,
60.593939999999996,3,w2,,,
60.593939999999996,2,w4,,,
60.627269999999996,1,3-4,,,
60.627269999999996,2,4-1,,,
60.627269999999996,3,2-3,,,
60.627269999999996,4,3-4,,,
60.627269999999996,5,3-4,,,
60.96057,1,lp4,,,
60.96057,3,lp3,,,
60.96057,4,lp4,,,
60.96057,5,lp4,,,
60.96057,MOT_mc_stage_color_00,r-flash,,
61.060559999999995,2,j1-2,,,
61.59384,2,2-3,r1,,
62.260439999999996,2,3-4,r2,,
62.96037,2,hj4,,,
63.22701,1,hj4,,,
63.22701,3,hj3,,,
63.22701,4,hj4,,,
63.22701,5,hj4,,,
63.893609999999995,1,4-1,,,
63.893609999999995,3,3-4,,,
63.893609999999995,4,4-1,,,
63.893609999999995,5,4-1,,,
64.12692,2,j4-1,,,
64.12692,MOT_mc_stage_color_00,b-flash,,
64.22691,1,lp1,,,
64.22691,3,lp4,,,
64.22691,4,lp1,,,
64.22691,5,lp1,,,
64.92684,2,1-2,,,
65.52678,2,j2-3,,,
66.02673,2,3-4,rb1,,
66.02673,1,1-2,,,
66.02673,3,4-1,,,
66.02673,4,1-2,,,
66.02673,5,1-2,,,
66.36003,2,4-1,rb0,,
66.36003,1,j2-3,,,
66.36003,3,j1-2,,,
66.36003,4,j2-3,,,
66.36003,5,j2-3,,,
66.85998,1,lp3,,,
66.85998,3,lp2,,,
66.85998,4,lp3,,,
66.85998,5,lp3,,,
66.95997,MOT_mc_stage_color_00,y-flash,,
66.99329999999999,2,1-2,l1,,
67.3266,2,hj2,,,
67.52658,MOT_mc_stage_color_00,r-flash,,
67.85988,1,3-4,,,
67.85988,3,2-3,,,
67.85988,4,3-4,,,
67.85988,5,3-4,,,
67.85988,MOT_mc_stage_color_00,b-flash,,
68.19318,1,j4-1,,,
68.19318,3,j3-4,,,
68.19318,4,j4-1,,,
68.19318,5,j4-1,,,
68.3265,2,2-3,lb0,,
68.92644,2,hj3,,,
69.25974,5,w1,,,
69.25974,4,w1,,,
69.25974,3,w4,,,
69.25974,1,w1,,,
69.45971999999999,MOT_mc_stage_color_00,y-flash,,
69.52638,1,1-2,,,
69.52638,3,4-1,,,
69.52638,4,1-2,,,
69.52638,5,1-2,,,
69.59304,2,3-4,,,
69.85968,1,j2-3,,,
69.85968,3,j1-2,,,
69.85968,4,j2-3,,,
69.85968,5,j2-3,,,
70.25963999999999,2,j4-1,,,
70.35963,1,lp3,,,
70.35963,3,lp2,,,
70.35963,4,lp3,,,
70.35963,5,lp3,,,
70.89291,2,1-2,,,
71.22621,2,hj2,,,
71.55951,MOT_mc_stage_color_00,r-flash,,
71.85947999999999,1,hj3,,,
71.85947999999999,3,hj2,,,
71.85947999999999,4,hj3,,,
71.85947999999999,5,hj3,,,
72.45942,2,w2,,,
72.65939999999999,1,3-4,,,
72.65939999999999,2,2-3,,,
72.65939999999999,3,2-3,,,
72.65939999999999,4,3-4,,,
72.65939999999999,5,3-4,,,
72.9927,1,lp4,,,
72.9927,3,lp3,,,
72.9927,4,lp4,,,
72.9927,5,lp4,,,
73.22601,2,3-4,l1,,
73.22601,MOT_mc_stage_color_00,b-flash,,
74.15925,2,w4,,,
74.45922,2,4-1,l2,,
74.95917,MOT_mc_light_up_00,l1,,
75.39246,2,w1,,,
75.42578999999999,MOT_mc_stage_color_00,y-flash,,
75.55910999999999,2,j1-2,,,
76.09239,2,hj2,,,
76.22570999999999,MOT_mc_stage_color_00,r-flash,,
76.72565999999999,2,2-3,,,
77.12562,2,3-4,,,
77.52557999999999,2,hj4,,,
78.62546999999999,MOT_mc_stage_color_00,b-flash,,
78.75878999999999,2,w4,,,
79.05875999999999,1,4-1,,,
79.05875999999999,2,4-1,lb1,,
79.05875999999999,3,3-4,,,
79.05875999999999,4,4-1,l1,,
79.05875999999999,5,4-1,r1,,
79.39206,1,hj1,,,
79.39206,MOT_mc_stage_color_00,y-flash,,
79.75869,MOT_mc_stage_color_00,r-flash,,
79.99199999999999,5,w1,,,
79.99199999999999,4,w1,,,
79.99199999999999,3,w4,,,
79.99199999999999,2,w1,,,
80.3253,1,j1-2,,,
80.3253,MOT_mc_stage_color_00,b-flash,,
80.95857,1,2-3,,,
81.12522,MOT_mc_stage_color_00,y-flash,,
81.3252,1,hj3,,,
81.49185,MOT_mc_stage_color_00,r-flash,,
82.35843,1,3-4,,,
82.35843,2,1-2,lb0,,
82.35843,3,4-1,,,
82.35843,4,1-2,lb0,,
82.35843,5,1-2,rb0,,
82.35843,MOT_mc_stage_color_00,b-flash,,
83.15835,1,j4-1,,,
83.15835,2,j2-3,,,
83.15835,3,1-2,,,
83.15835,4,2-3,,,
83.15835,5,2-3,,,
83.15835,MOT_mc_stage_color_00,y-flash,,
83.79162,1,hj1,,,
83.79162,2,hj3,,,
83.79162,3,hj2,,,
83.79162,4,hj3,,,
83.79162,5,hj3,,,
83.95827,MOT_mc_stage_color_00,r-flash,,
84.3249,MOT_mc_stage_color_00,b-flash,,
84.45822,1,1-2,,,
84.45822,2,3-4,,,
84.45822,3,2-3,,,
84.45822,4,3-4,,,
84.45822,5,3-4,,,
84.85817999999999,1,hj2,,,
84.85817999999999,2,hj4,,,
84.85817999999999,3,hj3,,,
84.85817999999999,4,hj4,,,
84.85817999999999,5,hj4,,,
85.3248,1,2-3,,,
85.3248,2,4-1,,,
85.3248,3,3-4,,,
85.3248,4,4-1,,,
85.3248,5,4-1,,,
85.3248,3,4-1,,,
85.3248,4,1-2,,,
85.3248,5,1-2,,,
85.3248,MOT_mc_stage_color_00,y-flash,,
85.3248,MOT_mc_light_up_00,l3,,
85.3248,MOT_mc_speaker_00,temp2,,
85.89141,1,j3-4,,,
85.89141,2,j1-2,,,
85.89141,3,1-2,,,
85.89141,4,2-3,,,
85.89141,5,2-3,,,
86.25804,MOT_mc_stage_color_00,r-flash,,
86.45801999999999,1,j4-1,,,
86.45801999999999,3,2-3,,,
86.45801999999999,4,3-4,l1,,
86.45801999999999,5,3-4,r1,,
86.85798,2,j2-3,,,
86.85798,3,3-4,,,
86.85798,4,4-1,l2,,
86.85798,5,4-1,r2,,
87.29127,1,1-2,,,
87.29127,2,3-4,,,
87.29127,3,4-1,,,
87.29127,4,1-2,,,
87.29127,5,1-2,,,
87.72456,1,2-3,,,
87.72456,2,4-1,,,
87.72456,3,1-2,,,
87.72456,4,2-3,,,
87.72456,5,2-3,,,
88.22451,1,j3-4,,,
88.22451,2,j1-2,,,
88.22451,3,lp2,,,
88.22451,4,lp3,,,
88.22451,5,lp3,,,
88.35782999999999,MOT_mc_stage_color_00,b-flash,,
88.82445,1,hj4,,,
88.82445,2,hj2,,,
88.82445,3,hj2,,,
88.82445,4,hj3,,,
88.82445,5,hj3,,,
89.15775,MOT_mc_stage_color_00,y-flash,,
89.69103,1,4-1,,,
89.69103,3,2-3,,,
89.69103,4,3-4,,,
89.69103,5,3-4,,,
90.02432999999999,3,lp3,,,
90.02432999999999,4,lp4,,,
90.02432999999999,5,lp4,,,
90.05766,2,w2,,,
90.12432,2,2-3,,,
90.62427,1,hj1,,,
90.62427,2,hj3,,,
91.19087999999999,1,1-2,,,
91.19087999999999,2,3-4,,,
91.19087999999999,3,3-4,,,
91.19087999999999,4,4-1,,,
91.19087999999999,5,4-1,,,
91.42419,MOT_mc_stage_color_00,r-flash,,
91.52418,1,j2-3,,,
91.52418,2,j4-1,,,
91.52418,3,4-1,,,
91.52418,4,1-2,,,
91.52418,5,1-2,,,
92.15745,1,hj3,,,
92.15745,2,hj1,,,
92.15745,3,hj1,,,
92.15745,4,hj2,,,
92.15745,5,hj2,,,
92.29077,MOT_mc_stage_color_00,b-flash,,
92.72406,1,3-4,,,
92.72406,2,1-2,,,
92.72406,3,1-2,,,
92.72406,4,2-3,,,
92.72406,5,2-3,,,
93.05736,1,j4-1,,,
93.05736,2,j2-3,,,
93.05736,3,2-3,,,
93.05736,4,3-4,,,
93.05736,5,3-4,,,
93.69063,1,hj1,,,
93.69063,2,hj3,,,
93.69063,3,hj3,,,
93.69063,4,hj4,,,
93.69063,5,hj4,,,
93.92394,MOT_mc_stage_color_00,y-flash,,
94.45721999999999,1,1-2,,,
94.45721999999999,2,3-4,,,
94.45721999999999,3,3-4,,,
94.45721999999999,4,4-1,,,
94.45721999999999,5,4-1,,,
94.69053,MOT_mc_stage_color_00,r-flash,,
95.19048,1,j2-3,,,
95.19048,2,j4-1,,,
95.19048,3,j4-1,,,
95.19048,4,j1-2,,,
95.19048,5,j1-2,,,
95.35713,MOT_mc_stage_color_00,b-flash,,
95.75708999999999,1,3-4,,,
95.75708999999999,2,1-2,,,
95.75708999999999,3,1-2,,,
95.75708999999999,4,2-3,,,
95.75708999999999,5,2-3,,,
95.79042,MOT_mc_stage_color_00,y-flash,,
96.15705,1,hj4,,,
96.15705,2,hj2,,,
96.42369,3,hj2,,,
96.42369,4,hj3,,,
96.42369,5,hj3,,,
96.72366,MOT_mc_stage_color_00,r-flash,,
97.09029,1,4-1,,,
97.09029,2,2-3,,,
97.09029,3,2-3,,,
97.09029,4,3-4,,,
97.09029,5,3-4,,,
97.45692,1,hj1,,,
97.45692,2,hj3,,,
97.45692,3,hj3,,,
97.45692,4,hj4,,,
97.45692,5,hj4,,,
97.72355999999999,MOT_mc_stage_color_00,b-flash,,
98.25684,1,1-2,,,
98.25684,2,3-4,,,
98.25684,3,3-4,,,
98.25684,4,4-1,,,
98.25684,5,4-1,,,
98.3235,MOT_mc_stage_color_00,y-flash,,
98.85678,1,j2-3,,,
98.85678,2,j4-1,,,
98.85678,3,j4-1,,,
98.85678,4,j1-2,,,
98.85678,5,j1-2,,,
99.02342999999999,MOT_mc_stage_color_00,r-flash,,
99.32339999999999,1,3-4,,,
99.32339999999999,2,1-2,,,
99.32339999999999,3,1-2,,,
99.32339999999999,4,2-3,lb1,,
99.32339999999999,5,2-3,rb1,,
99.6567,1,4-1,,,
99.6567,2,2-3,,,
99.6567,3,2-3,,,
99.6567,4,3-4,lb0,,
99.6567,5,3-4,rb0,,
100.02333,1,j1-2,,,
100.02333,2,j3-4,,,
100.02333,3,j3-4,,,
100.02333,4,j4-1,,,
100.02333,5,j4-1,,,
100.55660999999999,MOT_mc_stage_color_00,b-flash,,
100.75658999999999,1,2-3,,,
100.75658999999999,2,4-1,,,
100.75658999999999,3,4-1,,,
100.75658999999999,4,1-2,,,
100.75658999999999,5,1-2,,,
101.35652999999999,1,j3-4,,,
101.35652999999999,2,j1-2,,,
101.35652999999999,3,j1-2,,,
101.35652999999999,4,j2-3,,,
101.35652999999999,5,j2-3,,,
101.45652,MOT_mc_stage_color_00,y-flash,,
101.82315,1,j4-1,,,
101.82315,2,j2-3,,,
101.82315,3,j2-3,,,
101.82315,4,j3-4,,,
101.82315,5,j3-4,,,
102.12312,MOT_mc_stage_color_00,r-flash,,
102.38976,1,hj1,,,
102.38976,2,hj3,,,
102.38976,3,hj3,,,
102.38976,4,hj4,,,
102.38976,5,hj4,,,
102.85638,MOT_mc_stage_color_00,b-flash,,
103.58963999999999,1,j1-2,,,
103.58963999999999,2,j3-4,,,
103.58963999999999,3,j3-4,,,
103.58963999999999,4,j4-1,,,
103.58963999999999,5,j4-1,,,
103.82294999999999,MOT_mc_stage_color_00,y-flash,,
104.12292,1,j2-3,,,
104.12292,2,j4-1,,,
104.12292,3,j4-1,,,
104.12292,4,j1-2,,,
104.12292,5,j1-2,,,
104.38955999999999,MOT_mc_stage_color_00,r-flash,,
104.6562,1,hj3,,,
104.6562,2,hj1,,,
104.6562,3,hj1,,,
104.6562,4,hj2,,,
104.6562,5,hj2,,,
104.95617,MOT_mc_stage_color_00,b-flash,,
105.3228,1,j3-4,,,
105.3228,2,j1-2,,,
105.3228,3,j1-2,,,
105.3228,4,j2-3,,,
105.3228,5,j2-3,,,
105.52278,MOT_mc_stage_color_00,y-flash,,
105.82275,1,4-1,,,
105.82275,2,2-3,,,
105.82275,3,2-3,,,
105.82275,4,3-4,,,
105.82275,5,3-4,,,
106.28936999999999,MOT_mc_stage_color_00,r-flash,,
106.65599999999999,1,hj1,,,
106.65599999999999,2,hj3,,,
106.65599999999999,3,hj3,,,
106.65599999999999,4,hj4,,,
106.65599999999999,5,hj4,,,
106.78931999999999,MOT_mc_stage_color_00,b-flash,,
107.3226,1,j1-2,,,
107.3226,2,j3-4,,,
107.3226,3,j3-4,,,
107.3226,4,j4-1,,,
107.3226,5,j4-1,,,
107.42259,MOT_mc_stage_color_00,y-flash,,
108.12252,1,hj2,,,
108.12252,2,hj4,,,
108.12252,3,hj4,,,
108.12252,4,hj1,,,
108.12252,5,hj1,,,
108.32249999999999,MOT_mc_stage_color_00,r-flash,,
108.85578,1,j2-3,,,
108.85578,2,j4-1,,,
108.85578,3,j4-1,,,
108.85578,4,j1-2,,,
108.85578,5,j1-2,,,
109.15575,MOT_mc_stage_color_00,b-flash,,
109.88901,1,hj3,,,
109.88901,2,hj1,,,
109.88901,3,hj1,,,
109.88901,4,hj2,,,
109.88901,5,hj2,,,
109.88901,MOT_mc_stage_color_00,y-flash,,
110.88891,1,3-4,,,
110.88891,2,1-2,,,
110.88891,3,1-2,,,
110.88891,4,2-3,,,
110.88891,5,2-3,,,
111.22220999999999,1,lp4,,,
111.22220999999999,2,lp2,,,
111.22220999999999,3,lp2,,,
111.22220999999999,4,lp3,,,
111.22220999999999,5,lp3,,,
114.52188,1,j4-1,,,
114.52188,2,j2-3,,,
114.52188,MOT_mc_stage_color_00,r-flash,,
114.85517999999999,3,j2-3,,,
114.85517999999999,4,j3-4,,,
114.85517999999999,5,j3-4,,,
115.3218,1,hj1,,,
115.3218,2,hj3,,,
115.42179,MOT_mc_stage_color_00,b-flash,,
115.78841999999999,MOT_mc_stage_color_00,y-flash,,
115.82175,3,hj3,,,
115.82175,4,hj4,,,
115.82175,5,hj4,,,
116.48835,1,1-2,,,
116.48835,2,3-4,,,
116.48835,3,3-4,,,
116.48835,4,4-1,,,
116.48835,5,4-1,,,
116.82164999999999,1,lp2,,,
116.82164999999999,2,lp4,,,
116.82164999999999,3,lp4,,,
116.82164999999999,4,lp1,,,
116.82164999999999,5,lp1,,,
119.02143,3,j4-1,,,
119.02143,MOT_mc_stage_color_00,r-flash,,
119.75469,1,j2-3,,,
119.75469,5,j1-2,,,
120.08798999999999,3,w1,,,
