0.03333,MOT_control_all,g_zoom1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_all,g_cut1,,
11.832149999999999,5,2-3,rb0,,
12.06546,1,j3-4,,,
12.46542,5,3-4,,,
12.532079999999999,3,w3,,,
12.532079999999999,2,w3,,,
12.732059999999999,3,3-4,,,
12.76539,4,w3,,,
12.9987,1,4-1,,,
13.232009999999999,2,3-4,,,
13.39866,5,w4,,,
13.46532,4,3-4,,,
13.6653,3,w4,,,
13.79862,1,1-2,,,
13.831949999999999,2,4-1,,,
13.831949999999999,3,4-1,,,
13.831949999999999,4,4-1,,,
13.831949999999999,5,4-1,,,
14.29857,2,sp1-2,,,
14.29857,3,sp1-2,,,
14.29857,4,sp1-2,,,
14.29857,5,sp1-2,,,
14.29857,1,sp2-3,,,
15.53178,1,j3-4,,,
15.93174,2,2-3,,,
15.93174,3,2-3,,,
16.39836,4,2-3,,,
16.39836,5,2-3,,,
16.59834,1,w4,,,
16.83165,2,3-4,,,
16.83165,3,3-4,,,
16.83165,4,3-4,,,
16.83165,5,3-4,,,
16.83165,1,4-1,,,
17.29827,1,1-2,,,
17.531579999999998,2,4-1,,,
17.531579999999998,3,4-1,,,
17.764889999999998,5,w4,,,
17.764889999999998,4,w4,,,
17.83155,4,4-1,,,
17.83155,5,4-1,,,
18.19818,2,hj1,,,
18.19818,3,hj1,,,
18.19818,4,hj1,,,
18.19818,5,hj1,,,
18.19818,1,j2-3,,,
18.89811,1,j3-4,,,
19.09809,2,1-2,,,
19.3314,3,1-2,,,
19.43139,5,w1,,,
19.43139,4,w1,,,
19.564709999999998,4,1-2,,,
19.798019999999998,5,1-2,,,
19.964669999999998,1,w4,,,
20.03133,2,w2,,,
20.13132,2,2-3,,,
20.13132,3,2-3,,,
20.13132,4,2-3,,,
20.13132,5,2-3,,,
20.13132,1,j4-1,,,
20.53128,4,3-4,,,
20.53128,5,3-4,,,
20.797919999999998,2,3-4,,,
20.797919999999998,3,3-4,,,
21.03123,1,1-2,,,
21.3312,2,4-1,,,
21.46452,5,w4,,,
21.46452,4,w4,,,
21.597839999999998,3,4-1,,,
21.86448,4,4-1,,,
21.96447,1,w2,,,
22.13112,5,4-1,,,
22.26444,2,w1,,,
22.431089999999998,1,j2-3,,,
22.53108,3,w1,,,
22.6644,2,1-2,,,
22.6644,3,1-2,,,
22.6644,4,1-2,,,
22.6644,5,1-2,,,
23.031029999999998,4,2-3,,,
23.031029999999998,5,2-3,,,
23.231009999999998,2,2-3,,,
23.231009999999998,3,2-3,,,
23.430989999999998,1,3-4,,,
23.664299999999997,5,3-4,,,
23.864279999999997,3,3-4,,,
23.96427,4,w3,,,
24.064259999999997,1,4-1,,,
24.16425,2,w3,,,
24.264239999999997,2,3-4,,,
24.49755,4,3-4,,,
24.59754,5,w4,,,
24.79752,3,w4,,,
24.830849999999998,2,hj4,,,
24.830849999999998,3,hj4,,,
24.830849999999998,4,hj4,,,
24.830849999999998,5,hj4,,,
24.830849999999998,1,j1-2,,,
25.29747,1,j2-3,,,
25.49745,2,4-1,,,
25.697429999999997,3,4-1,,,
25.897409999999997,4,4-1,,,
26.064059999999998,5,w4,,,
26.097389999999997,5,4-1,,,
26.36403,1,w3,,,
26.43069,2,w1,,,
26.464019999999998,2,1-2,,,
26.464019999999998,3,1-2,,,
26.464019999999998,4,1-2,,,
26.464019999999998,5,1-2,,,
26.464019999999998,1,3-4,,,
26.897309999999997,2,sp2-3,,,
26.897309999999997,3,sp2-3,,,
26.897309999999997,4,sp2-3,,,
26.897309999999997,5,sp2-3,,,
26.897309999999997,1,hj4,,,
28.130519999999997,1,w4,,,
28.39716,4,3-4,,,
28.39716,5,3-4,,,
28.59714,2,3-4,,,
28.59714,3,3-4,,,
28.79712,1,4-1,,,
29.330399999999997,5,w4,,,
29.330399999999997,4,w4,,,
29.39706,2,lp4,,,
29.39706,3,lp4,,,
29.39706,4,lp4,,,
29.39706,5,lp4,,,
29.39706,1,lp1,,,
30.03033,MOT_mc_stage_color_00,gb-flash,,
30.03033,1,1-2,,f1,Lbl
30.363629999999997,1,hj2,,,
31.59684,1,w2,,,
32.296769999999995,1,2-3,l1,,
32.663399999999996,1,3-4,lb0,,
33.03003,1,j4-1,,,
33.72996,1,1-2,,,
34.09659,1,sp2-3,,,
34.82985,2,4-1,,,
34.82985,3,4-1,,,
35.19648,4,4-1,,,
35.19648,5,4-1,,,
35.59644,2,j1-2,,,
35.59644,3,j1-2,,,
35.59644,4,j1-2,,,
35.59644,5,j1-2,,,
36.42969,2,lp2,,,
36.42969,3,lp2,,,
36.42969,4,lp2,,,
36.42969,5,lp2,,,
36.49635,1,hj3,,,
37.26294,1,sp3-4,,,
38.59614,1,4-1,l1,,
38.96277,1,1-2,lb0,,
39.3294,1,j2-3,,,
39.82935,1,3-4,,,
40.329299999999996,1,sp4-1,,,
41.3292,2,2-3,,,
41.3292,3,2-3,,,
41.3292,1,1-2,,,
41.52918,4,2-3,,,
41.52918,5,2-3,,,
41.72916,1,2-3,,,
41.962469999999996,2,lp3,,,
41.962469999999996,3,lp3,,,
41.962469999999996,4,lp3,,,
41.962469999999996,5,lp3,,,
42.6624,1,w3,,,
42.862379999999995,1,j3-4,,,
43.49565,1,hj4,,,
44.29557,1,4-1,,,
45.12882,1,1-2,r1,,
45.49545,1,2-3,rb0,,
45.86208,1,j3-4,,,
46.36203,1,4-1,,,
46.72866,1,sp1-2,,,
47.628569999999996,1,2-3,,,
48.528479999999995,2,j3-4,,,
48.56181,1,w3,,,
48.6618,3,j3-4,,,
48.79512,4,j3-4,,,
48.79512,5,j3-4,,,
49.02843,1,3-4,,,
49.295069999999996,2,lp4,,,
49.295069999999996,3,lp4,,,
49.295069999999996,4,lp4,,,
49.295069999999996,5,lp4,,,
49.39506,1,4-1,r1,,
49.761689999999994,1,1-2,rb0,,
50.128319999999995,1,j2-3,,,
50.494949999999996,2,4-1,,,
50.494949999999996,3,4-1,,,
50.86158,4,4-1,,,
50.86158,5,4-1,,,
51.19488,1,w3,,,
51.394859999999994,2,lp1,,,
51.394859999999994,3,lp1,,,
51.394859999999994,4,lp1,,,
51.394859999999994,5,lp1,,,
51.59484,1,3-4,r1,,
51.96147,1,4-1,rb0,,
52.3281,1,hj1,,,
52.961369999999995,1,sp1-2,,,
53.827949999999994,2,sp1-2,,,
53.827949999999994,3,sp1-2,,,
53.827949999999994,4,sp1-2,,,
53.827949999999994,5,sp1-2,,,
53.827949999999994,1,2-3,,,
54.227909999999994,1,lp3,,,
55.16115,2,2-3,,,
55.16115,3,2-3,,,
55.16115,4,2-3,,,
55.16115,5,2-3,,,
55.62777,MOT_mc_stage_color_00,b-flash,,
55.62777,2,lp3,,,
55.62777,3,lp3,,,
55.62777,4,lp3,,,
55.62777,5,lp3,,,
55.62777,1,hj3,,,
56.42769,1,3-4,l1,,
56.92764,1,4-1,lb0,,
57.72756,1,j1-2,,,
58.260839999999995,1,2-3,,,
58.79412,1,hj3,,,
59.52738,1,3-4,,,
60.02733,1,j4-1,,,
60.56061,1,sp1-2,,,
61.22721,1,2-3,,,
61.69383,1,j3-4,,,
62.327099999999994,1,4-1,,,
62.693729999999995,1,sp1-2,,,
63.36033,1,j2-3,,,
63.860279999999996,1,3-4,r1,,
64.22691,1,4-1,rb0,,
64.6602,1,hj1,,,
65.36013,1,j1-2,,,
65.46012,MOT_control_all,g_zoom3,,
65.86008,1,sp2-3,,,
67.09329,MOT_mc_stage_color_00,b-flash,,
67.09329,MOT_mc_bg_black_00,gb45-0,,
67.19328,2,3-4,,,
67.19328,3,3-4,,,
67.19328,4,3-4,,,
67.19328,5,3-4,,,
67.19328,1,hj3,,,
67.62657,2,lp4,,,
67.62657,3,lp4,,,
67.62657,4,lp4,,,
67.62657,5,lp4,,,
68.12652,1,j3-4,,,
68.65979999999999,1,4-1,l1,,
69.02642999999999,1,1-2,lb0,,
69.42639,1,2-3,,,
69.92634,2,j4-1,,,
69.92634,3,j4-1,,,
69.92634,4,j4-1,,,
69.92634,5,j4-1,,,
69.92634,1,hj3,,,
70.42629,2,lp1,,,
70.42629,3,lp1,,,
70.42629,4,lp1,,,
70.42629,5,lp1,,,
70.6596,1,3-4,l1,,
71.02623,1,4-1,lb0,,
71.39286,1,j1-2,,,
71.9928,1,2-3,,,
72.45942,1,hj3,,,
73.42599,1,3-4,r1,,
73.79262,1,4-1,rb0,,
74.19257999999999,1,j1-2,,,
74.75918999999999,2,j1-2,,,
74.75918999999999,3,j1-2,,,
74.75918999999999,4,j1-2,,,
74.75918999999999,5,j1-2,,,
74.75918999999999,1,hj2,,,
75.25914,2,lp2,,,
75.25914,3,lp2,,,
75.25914,4,lp2,,,
75.25914,5,lp2,,,
75.49244999999999,1,sp2-3,,,
76.22570999999999,1,3-4,,,
76.59234,1,4-1,l1,,
76.95897,1,1-2,lb0,,
77.3256,1,2-3,,,
77.69223,1,3-4,,,
78.05886,1,sp4-1,,,
78.85878,1,1-2,r1,,
79.29207,1,2-3,rb0,,
79.69203,2,hj2,,,
79.69203,3,hj2,,,
79.69203,4,hj2,,,
79.69203,5,hj2,,,
79.69203,1,3-4,r1,,
80.09199,1,4-1,rb0,,
80.49195,1,1-2,,,
80.82525,1,sp2-3,,,
80.92524,5,w2,,,
80.92524,4,w2,,,
80.92524,3,w2,,,
80.92524,2,w2,,,
81.19188,2,j2-3,,,
81.19188,3,j2-3,,,
81.19188,1,3-4,r1,,
81.55851,4,j2-3,,,
81.55851,5,j2-3,,,
81.55851,1,4-1,rb0,,
81.92514,1,j1-2,,,
82.25844,3,w3,,,
82.25844,2,w3,,,
82.59174,2,hj3,,,
82.59174,3,hj3,,,
82.59174,4,hj3,,,
82.59174,5,hj3,,,
82.59174,1,hj2,,,
83.15835,2,lp3,,,
83.15835,3,lp3,,,
83.15835,4,lp3,,,
83.15835,5,lp3,,,
83.29167,1,2-3,,,
83.6583,1,j3-4,,,
84.3249,1,4-1,r1,,
84.69153,1,1-2,rb0,,
85.05816,1,2-3,,,
85.49145,1,j3-4,,,
85.92474,1,hj4,,,
86.55801,1,4-1,,,
86.92464,1,j1-2,,,
87.55790999999999,2,3-4,,,
87.55790999999999,3,3-4,,,
87.55790999999999,4,3-4,,,
87.55790999999999,5,3-4,,,
87.55790999999999,1,j2-3,,,
88.09119,2,lp4,,,
88.09119,3,lp4,,,
88.09119,4,lp4,,,
88.09119,5,lp4,,,
88.09119,1,hj3,,,
89.05776,1,3-4,r1,,
89.42439,1,4-1,rb0,,
89.79101999999999,1,1-2,,,
90.15764999999999,1,j2-3,,,
90.75759,2,j4-1,,,
90.75759,3,j4-1,,,
90.75759,4,j4-1,,,
90.75759,5,j4-1,,,
90.75759,1,hj3,,,
91.22421,2,lp1,,,
91.22421,3,lp1,,,
91.22421,4,lp1,,,
91.22421,5,lp1,,,
91.22421,1,sp3-4,,,
92.15745,1,4-1,,,
92.69073,1,hj1,,,
93.35732999999999,1,1-2,,,
93.85728,1,hj2,,,
94.05726,MOT_control_all,g_zoom4,,
94.75719,1,2-3,,,
95.49045,1,sp3-4,,,
97.09029,1,j4-1,,,
97.35692999999999,2,1-2,l1,,
97.35692999999999,3,1-2,r1,,
97.52358,4,1-2,l1,,
97.52358,5,1-2,r1,,
97.89021,4,2-3,,,
97.89021,5,2-3,,,
98.05686,2,2-3,,,
98.05686,3,2-3,,,
98.15684999999999,1,w1,,,
98.22350999999999,1,1-2,,,
98.59013999999999,1,2-3,,,
98.79012,2,3-4,lb0,,
98.79012,3,3-4,rb0,,
98.82345,5,w3,,,
98.82345,4,w3,,,
99.02342999999999,4,3-4,lb0,,
99.02342999999999,5,3-4,rb0,,
99.42339,4,4-1,,,
99.42339,5,4-1,,,
99.52337999999999,1,w3,,,
99.6567,2,4-1,,,
99.6567,3,4-1,,,
99.85668,1,3-4,,,
100.35663,5,w1,,,
100.35663,4,w1,,,
100.45662,1,j4-1,,,
100.58994,3,w1,,,
100.58994,2,w1,,,
100.6566,2,1-2,,,
100.6566,3,1-2,,,
100.82325,4,1-2,,,
100.82325,5,1-2,,,
101.18988,4,j2-3,,,
101.18988,5,j2-3,,,
101.35652999999999,2,j2-3,,,
101.35652999999999,3,j2-3,,,
101.52318,1,w1,,,
101.58984,1,1-2,,,
101.95647,1,2-3,,,
102.08979,2,3-4,,,
102.08979,3,3-4,,,
102.25644,5,w3,,,
102.25644,4,w3,,,
102.3231,4,3-4,,,
102.3231,5,3-4,,,
102.72305999999999,4,4-1,,,
102.72305999999999,5,4-1,,,
102.88971,1,w3,,,
102.95636999999999,2,4-1,,,
102.95636999999999,3,4-1,,,
103.22301,1,3-4,,,
103.58963999999999,1,j4-1,,,
103.6563,5,w1,,,
103.6563,4,w1,,,
103.78962,2,1-2,l1,,
103.78962,3,1-2,r1,,
103.95626999999999,4,1-2,l1,,
103.95626999999999,5,1-2,r1,,
104.32289999999999,4,2-3,,,
104.32289999999999,5,2-3,,,
104.48955,2,2-3,,,
104.48955,3,2-3,,,
104.6562,1,w1,,,
104.72286,1,1-2,,,
105.08949,1,2-3,,,
105.22281,2,3-4,lb0,,
105.22281,3,3-4,rb0,,
105.25614,5,w3,,,
105.25614,4,w3,,,
105.45612,4,3-4,lb0,,
105.45612,5,3-4,rb0,,
105.85607999999999,4,4-1,,,
105.85607999999999,5,4-1,,,
106.02273,1,w3,,,
106.08939,2,4-1,,,
106.08939,3,4-1,,,
106.35602999999999,1,3-4,,,
106.75599,2,sp1-2,,,
106.75599,3,sp1-2,,,
106.75599,4,sp1-2,,,
106.75599,5,sp1-2,,,
106.75599,1,sp4-1,,,
108.32249999999999,2,2-3,,,
108.32249999999999,3,2-3,,,
108.32249999999999,4,2-3,,,
108.32249999999999,5,2-3,,,
108.32249999999999,1,1-2,,,
108.48915,4,3-4,,,
108.6558,2,3-4,,,
108.82244999999999,1,2-3,,,
108.9891,3,3-4,,,
109.15575,5,3-4,,,
109.42239,4,w4,,,
109.48904999999999,2,j4-1,,,
109.48904999999999,3,j4-1,,,
109.48904999999999,4,j4-1,,,
109.48904999999999,5,j4-1,,,
109.48904999999999,1,3-4,,,
109.95567,1,j4-1,,,
110.15565,2,1-2,l1,,
110.15565,3,1-2,r1,,
110.3223,4,1-2,l1,,
110.3223,5,1-2,r1,,
110.68893,4,2-3,,,
110.68893,5,2-3,,,
110.85557999999999,2,2-3,,,
110.85557999999999,3,2-3,,,
111.02223,1,w1,,,
111.08888999999999,1,1-2,,,
111.45551999999999,1,2-3,,,
111.58883999999999,2,3-4,lb0,,
111.58883999999999,3,3-4,rb0,,
111.62217,5,w3,,,
111.62217,4,w3,,,
111.82215,4,3-4,lb0,,
111.82215,5,3-4,rb0,,
112.22211,4,j4-1,,,
112.22211,5,j4-1,,,
112.38875999999999,1,w3,,,
112.45541999999999,2,j4-1,,,
112.45541999999999,3,j4-1,,,
112.72206,1,3-4,,,
113.08869,1,4-1,,,
113.28867,5,w1,,,
113.28867,4,w1,,,
113.35533,2,1-2,,,
113.35533,3,1-2,,,
113.62196999999999,4,1-2,,,
113.62196999999999,5,1-2,,,
113.95527,2,j2-3,,,
113.95527,3,j2-3,,,
113.95527,4,j2-3,,,
113.95527,5,j2-3,,,
113.95527,1,1-2,,,
114.62187,4,3-4,,,
114.82185,2,3-4,,,
114.88851,1,w2,,,
115.02183,5,w3,,,
115.02183,3,w3,,,
115.02183,1,2-3,,,
115.22180999999999,3,3-4,,,
115.42179,5,3-4,,,
115.55511,4,w4,,,
115.75509,2,j4-1,,,
115.75509,3,j4-1,,,
115.75509,4,j4-1,,,
115.75509,5,j4-1,,,
115.75509,1,3-4,,,
116.38835999999999,5,1-2,,,
116.62167,3,1-2,,,
116.68833,1,w4,,,
116.82164999999999,4,w1,,,
116.82164999999999,2,w1,,,
116.82164999999999,1,4-1,,,
117.05496,2,1-2,,,
117.28827,4,1-2,,,
117.32159999999999,5,w2,,,
117.55490999999999,3,w2,,,
117.58824,1,1-2,,,
117.92154,4,2-3,,,
117.98819999999999,2,w2,,,
118.15485,2,2-3,,,
118.38816,1,2-3,,,
118.62146999999999,3,2-3,,,
118.85477999999999,4,w3,,,
118.85477999999999,5,2-3,,,
119.08809,2,w3,,,
119.12142,2,3-4,,,
119.12142,3,3-4,,,
119.12142,4,3-4,,,
119.12142,5,3-4,,,
119.3214,1,w3,,,
119.48805,2,sp4-1,,,
119.48805,3,sp4-1,,,
119.48805,4,sp4-1,,,
119.48805,5,sp4-1,,,
119.48805,1,sp3-4,,,
121.12122,2,1-2,,,
121.12122,3,1-2,,,
121.12122,4,1-2,,,
121.12122,5,1-2,,,
121.12122,1,4-1,,,
122.05445999999999,5,w2,,,
122.05445999999999,4,w2,,,
122.05445999999999,3,w2,,,
122.05445999999999,2,w2,,,
122.05445999999999,1,w1,,,
122.75439,2,lp2,,,
122.75439,3,lp2,,,
122.75439,4,lp2,,,
122.75439,5,lp2,,,
122.75439,1,lp1,,,
125.85408,MOT_mc_stage_color_00,b-flash,,
125.85408,MOT_mc_bg_black_00,gb00-80,,
125.85408,2,2-3,,,
125.85408,3,2-3,,,
125.85408,4,2-3,,,
125.85408,5,2-3,,,
125.85408,1,1-2,,,D20
126.78732,5,w3,,,
126.78732,4,w3,,,
126.78732,3,w3,,,
126.78732,2,w3,,,
126.78732,1,w2,,,
