0.03333,MOT_all,Dcut1,,
0.03333,MOT_control_all,Dzoom_1,,
29.56371,5,2-3,,,
29.897009999999998,1,j3-4,,,
29.897009999999998,2,j3-4,,,
29.897009999999998,3,j3-4,,,
29.897009999999998,4,j3-4,,,
29.897009999999998,5,j3-4,,,
30.63027,1,4-1,,,
30.63027,2,4-1,,,
30.63027,3,4-1,,,
30.63027,4,4-1,,,
30.63027,5,4-1,,,
30.9969,1,j1-2,,,
30.9969,2,j1-2,,,
30.9969,3,j1-2,,,
30.9969,4,j1-2,,,
30.9969,5,j1-2,,,
31.19688,MOT_mc_stage_color_00,r-flash,,
31.49685,1,2-3,,,
31.49685,2,2-3,,,
31.49685,3,2-3,,,
31.49685,4,2-3,,,
31.49685,5,2-3,,,
32.16345,1,sp3-4,,,
32.16345,2,sp3-4,,,
32.16345,3,sp3-4,,,
32.16345,4,sp3-4,,,
32.16345,5,sp3-4,,,
35.76309,MOT_mc_stage_color_00,b-flash,,
35.76309,1,hj4,,,
35.76309,2,hj4,,,
35.76309,3,hj4,,,
35.76309,4,hj4,,,
35.76309,5,hj4,,,
36.42969,1,sp4-1,,,
36.42969,2,sp4-1,,,
36.42969,3,sp4-1,,,
36.42969,4,sp4-1,,,
36.42969,5,sp4-1,,,
38.6628,1,1-2,,,
38.6628,2,1-2,,,
38.6628,3,1-2,,,
38.6628,4,1-2,,,
38.6628,5,1-2,,,
39.09609,MOT_control_all,Dzoom_4,,
39.129419999999996,2,j2-3,,,
39.129419999999996,3,j2-3,,,
39.39606,MOT_mc_stage_color_00,y-flash,,
39.39606,MOT_mc_back_00,lt_3,,
39.562709999999996,1,j2-3,,,
39.562709999999996,4,j2-3,,,
39.562709999999996,5,j2-3,,,
39.86268,MOT_mc_stage_color_00,r-flash,,
40.02933,2,j3-4,,,
40.02933,3,j3-4,,,
40.52928,1,j3-4,,,
40.52928,4,j3-4,,,
40.52928,5,j3-4,,,
41.09589,3,w4,,,
41.09589,2,w4,,,
41.12922,2,j4-1,,,
41.12922,3,j4-1,,,
41.39586,1,j4-1,,,
41.39586,4,j4-1,,,
41.39586,5,j4-1,,,
41.629169999999995,2,j1-2,,,
41.629169999999995,3,j1-2,,,
41.92914,1,j1-2,,,
41.92914,4,j1-2,,,
41.92914,5,j1-2,,,
42.69573,3,w2,,,
42.69573,2,w2,,,
42.69573,1,j2-3,,,
42.69573,2,j2-3,,,
42.69573,3,j2-3,,,
42.69573,4,j2-3,,,
42.69573,5,j2-3,,,
42.89571,MOT_mc_stage_color_00,b-flash,,
43.195679999999996,4,j3-4,,,
43.195679999999996,5,j3-4,,,
43.46232,2,j3-4,,,
43.46232,3,j3-4,,,
43.72896,1,j3-4,,,
44.062259999999995,1,4-1,,,
44.062259999999995,2,4-1,,,
44.062259999999995,3,4-1,,,
44.062259999999995,4,4-1,,,
44.062259999999995,5,4-1,,,
44.395559999999996,1,1-2,,,
44.395559999999996,2,1-2,,,
44.395559999999996,3,1-2,,,
44.395559999999996,4,1-2,,,
44.395559999999996,5,1-2,,,
44.72886,1,j2-3,,,
44.72886,2,j2-3,,,
44.72886,3,j2-3,,,
44.72886,4,j2-3,,,
44.72886,5,j2-3,,,
45.3288,1,3-4,,,
45.3288,2,3-4,,,
45.3288,3,3-4,,,
45.3288,4,3-4,,,
45.3288,5,3-4,,,
45.89541,1,j4-1,,,
45.89541,2,j4-1,,,
45.89541,3,j4-1,,,
45.89541,4,j4-1,,,
45.89541,5,j4-1,,,
46.028729999999996,MOT_mc_stage_color_00,y-flash,,
46.52868,MOT_mc_stage_color_00,r-flash,,
46.52868,1,1-2,,,
46.52868,2,1-2,,,
46.52868,3,1-2,,,
46.52868,4,1-2,,,
46.52868,5,1-2,,,
46.96197,1,2-3,,,
46.96197,2,2-3,,,
46.96197,3,2-3,,,
46.96197,4,2-3,,,
46.96197,5,2-3,,,
47.49525,1,3-4,,,
47.49525,2,3-4,,,
47.49525,3,3-4,,,
47.49525,4,3-4,,,
47.49525,5,3-4,,,
48.128519999999995,2,j4-1,,,
48.128519999999995,3,j4-1,,,
48.39516,1,j4-1,,,
48.39516,4,j4-1,,,
48.39516,5,j4-1,,,
48.62847,2,j1-2,,,
48.62847,3,j1-2,,,
48.928439999999995,1,j1-2,,,
48.928439999999995,4,j1-2,,,
48.928439999999995,5,j1-2,,,
49.695029999999996,3,w2,,,
49.695029999999996,2,w2,,,
49.761689999999994,1,2-3,,,
49.761689999999994,2,2-3,,,
49.761689999999994,3,2-3,,,
49.761689999999994,4,2-3,,,
49.761689999999994,5,2-3,,,
50.061659999999996,1,3-4,,,
50.061659999999996,2,3-4,,,
50.061659999999996,3,3-4,,,
50.061659999999996,4,3-4,,,
50.061659999999996,5,3-4,,,
50.42829,1,4-1,,,
50.42829,2,4-1,,,
50.42829,3,4-1,,,
50.42829,4,4-1,,,
50.42829,5,4-1,,,
50.79492,1,j1-2,,,
50.79492,2,j1-2,,,
50.79492,3,j1-2,,,
50.79492,4,j1-2,,,
50.79492,5,j1-2,,,
50.9949,MOT_mc_stage_color_00,b-flash,,
51.394859999999994,1,2-3,,,
51.394859999999994,2,2-3,,,
51.394859999999994,3,2-3,,,
51.394859999999994,4,2-3,,,
51.394859999999994,5,2-3,,,
51.794819999999994,4,3-4,lb0,,
51.794819999999994,5,3-4,rb0,,
51.9948,2,3-4,lb0,,
51.9948,3,3-4,rb0,,
51.9948,1,3-4,,,
52.46142,1,j4-1,,,
52.46142,2,j4-1,,,
52.46142,3,j4-1,,,
52.46142,4,j4-1,,,
52.46142,5,j4-1,,,
52.72806,MOT_mc_stage_color_00,y-flash,,
53.294669999999996,1,1-2,,,
53.294669999999996,2,1-2,,,
53.294669999999996,3,1-2,,,
53.294669999999996,4,1-2,,,
53.294669999999996,5,1-2,,,
53.59464,1,2-3,,,
53.59464,2,2-3,,,
53.59464,3,2-3,,,
53.59464,4,2-3,,,
53.59464,5,2-3,,,
53.96127,1,3-4,,,
53.96127,2,3-4,,,
53.96127,3,3-4,,,
53.96127,4,3-4,,,
53.96127,5,3-4,,,
54.3279,1,j4-1,,,
54.3279,2,j4-1,,,
54.3279,3,j4-1,,,
54.3279,4,j4-1,,,
54.3279,5,j4-1,,,
54.594539999999995,MOT_mc_stage_color_00,r-flash,,
54.82785,1,1-2,,,
54.82785,2,1-2,,,
54.82785,3,1-2,,,
54.82785,4,1-2,,,
54.82785,5,1-2,,,
55.19448,1,2-3,,,
55.19448,2,2-3,,,
55.19448,3,2-3,,,
55.19448,4,2-3,,,
55.19448,5,2-3,,,
56.12772,5,w3,,,
56.12772,4,w3,,,
56.12772,3,w3,,,
56.12772,2,w3,,,
56.12772,1,w3,,,
56.194379999999995,3,j3-4,,,
56.194379999999995,5,j3-4,,,
56.36103,MOT_mc_stage_color_00,b-flash,,
56.627669999999995,2,j3-4,,,
56.627669999999995,4,j3-4,,,
56.79432,MOT_mc_stage_color_00,y-flash,,
56.92764,1,j3-4,,,
57.22761,MOT_control_all,Dzoom_5,,
57.22761,MOT_mc_stage_color_00,r-flash,,
57.26094,5,w4,,,
57.26094,3,w4,,,
57.6609,1,4-1,l1,,
57.6609,2,4-1,l1,,
57.6609,3,4-1,l1,,
57.6609,4,4-1,l1,,
57.6609,5,4-1,l1,,
57.6609,MOT_mc_back_00,lt_2,,
57.9942,1,1-2,l2,,
57.9942,2,1-2,l2,,
57.9942,3,1-2,l2,,
57.9942,4,1-2,l2,,
57.9942,5,1-2,l2,,
58.3275,1,j2-3,,,
58.3275,2,j2-3,,,
58.3275,3,j2-3,,,
58.3275,4,j2-3,,,
58.3275,5,j2-3,,,
59.16075,1,3-4,lb1,,
59.16075,2,3-4,lb1,,
59.16075,3,3-4,lb1,,
59.16075,4,3-4,lb1,,
59.16075,5,3-4,lb1,,
59.494049999999994,1,4-1,lb0,,
59.494049999999994,2,4-1,lb0,,
59.494049999999994,3,4-1,lb0,,
59.494049999999994,4,4-1,lb0,,
59.494049999999994,5,4-1,lb0,,
59.827349999999996,1,j1-2,,,
59.827349999999996,2,j1-2,,,
59.827349999999996,3,j1-2,,,
59.827349999999996,4,j1-2,,,
59.827349999999996,5,j1-2,,,
60.293969999999995,1,j2-3,,,
60.293969999999995,2,j2-3,,,
60.293969999999995,3,j2-3,,,
60.293969999999995,4,j2-3,,,
60.293969999999995,5,j2-3,,,
61.16055,1,3-4,r1,,
61.16055,2,3-4,r1,,
61.16055,3,3-4,r1,,
61.16055,4,3-4,r1,,
61.16055,5,3-4,r1,,
61.493849999999995,1,4-1,r2,,
61.493849999999995,2,4-1,r2,,
61.493849999999995,3,4-1,r2,,
61.493849999999995,4,4-1,r2,,
61.493849999999995,5,4-1,r2,,
61.827149999999996,1,1-2,,,
61.827149999999996,2,1-2,,,
61.827149999999996,3,1-2,,,
61.827149999999996,4,1-2,,,
61.827149999999996,5,1-2,,,
62.293769999999995,1,2-3,,,
62.293769999999995,2,2-3,,,
62.293769999999995,3,2-3,,,
62.293769999999995,4,2-3,,,
62.293769999999995,5,2-3,,,
62.660399999999996,1,3-4,,,
62.660399999999996,4,3-4,,,
62.660399999999996,5,3-4,,,
62.92704,2,3-4,,,
62.92704,3,3-4,,,
63.29367,1,4-1,,,
63.29367,2,4-1,,,
63.29367,3,4-1,,,
63.29367,4,4-1,,,
63.29367,5,4-1,,,
63.72696,1,j1-2,,,
63.72696,4,j1-2,,,
63.72696,5,j1-2,,,
63.9936,2,j1-2,,,
63.9936,3,j1-2,,,
64.79352,5,w2,,,
64.79352,4,w2,,,
64.79352,1,w2,,,
64.86018,1,2-3,rb1,,
64.86018,2,2-3,rb1,,
64.86018,3,2-3,rb1,,
64.86018,4,2-3,rb1,,
64.86018,5,2-3,rb1,,
65.19348,1,3-4,rb0,,
65.19348,2,3-4,rb0,,
65.19348,3,3-4,rb0,,
65.19348,4,3-4,rb0,,
65.19348,5,3-4,rb0,,
65.52678,1,j4-1,,,
65.52678,2,j4-1,,,
65.52678,3,j4-1,,,
65.52678,4,j4-1,,,
65.52678,5,j4-1,,,
66.42669,1,1-2,,,
66.42669,2,1-2,,,
66.42669,3,1-2,,,
66.42669,4,1-2,,,
66.42669,5,1-2,,,
66.75999,1,j2-3,,,
66.75999,2,j2-3,,,
66.75999,3,j2-3,,,
66.75999,4,j2-3,,,
66.75999,5,j2-3,,,
67.22661,1,3-4,,,
67.22661,2,3-4,,,
67.22661,3,3-4,,,
67.22661,4,3-4,,,
67.22661,5,3-4,,,
67.55991,1,4-1,,,
67.55991,2,4-1,,,
67.55991,3,4-1,,,
67.55991,4,4-1,,,
67.55991,5,4-1,,,
67.95987,1,1-2,,,
67.95987,2,1-2,,,
67.95987,3,1-2,,,
67.95987,4,1-2,,,
67.95987,5,1-2,,,
68.29317,1,2-3,,,
68.29317,2,2-3,,,
68.29317,3,2-3,,,
68.29317,4,2-3,,,
68.29317,5,2-3,,,
69.22641,5,w3,,,
69.22641,4,w3,,,
69.22641,3,w3,,,
69.22641,2,w3,,,
69.22641,1,w3,,,
69.35973,1,j3-4,,,
69.35973,2,j3-4,,,
69.35973,3,j3-4,,,
69.35973,4,j3-4,,,
69.35973,5,j3-4,,,
69.85968,1,4-1,,,
69.85968,2,4-1,,,
69.85968,3,4-1,,,
69.85968,4,4-1,,,
69.85968,5,4-1,,,
70.19297999999999,1,j1-2,,,
70.19297999999999,4,j1-2,,,
70.19297999999999,5,j1-2,,,
70.35963,2,j1-2,,,
70.35963,3,j1-2,,,
71.19288,1,2-3,,,
71.19288,2,2-3,,,
71.19288,3,2-3,,,
71.19288,4,2-3,,,
71.19288,5,2-3,,,
71.92614,1,j3-4,,,
71.92614,2,j3-4,,,
71.92614,3,j3-4,,,
71.92614,4,j3-4,,,
71.92614,5,j3-4,,,
71.9928,MOT_mc_stage_color_00,b-flash,,
72.42609,4,4-1,,,
72.42609,5,4-1,,,
72.65939999999999,2,4-1,,,
72.65939999999999,3,4-1,,,
72.85938,1,4-1,,,
73.19268,1,j1-2,,,
73.35933,5,w1,,,
73.35933,4,w1,,,
73.59264,3,w1,,,
73.59264,2,w1,,,
73.69263,1,j2-3,,,
73.69263,2,j1-2,,,
73.69263,3,j1-2,,,
73.69263,4,j1-2,,,
73.69263,5,j1-2,,,
73.75929,MOT_mc_stage_color_00,y-flash,,
74.19257999999999,4,2-3,,,
74.19257999999999,5,2-3,,,
74.42589,2,2-3,,,
74.42589,3,2-3,,,
74.62586999999999,1,3-4,,,
74.95917,1,4-1,,,
74.95917,2,3-4,,,
74.95917,3,3-4,,,
74.95917,4,3-4,,,
74.95917,5,3-4,,,
75.35913,1,j1-2,,,
75.35913,4,j4-1,,,
75.35913,5,j4-1,,,
75.85907999999999,2,j4-1,,,
75.85907999999999,3,j4-1,,,
76.42569,5,w1,,,
76.42569,4,w1,,,
76.42569,1,2-3,,,
76.42569,2,1-2,,,
76.42569,3,1-2,,,
76.42569,4,1-2,,,
76.42569,5,1-2,,,
77.35893,5,w2,,,
77.35893,4,w2,,,
77.35893,3,w2,,,
77.35893,2,w2,,,
77.35893,1,w3,,,
78.35883,1,j3-4,,,
78.9921,1,j4-1,,,
78.9921,2,j2-3,,,
78.9921,3,j2-3,,,
78.9921,4,j2-3,,,
78.9921,5,j2-3,,,
79.15875,MOT_mc_stage_color_00,r-flash,,
79.6587,4,3-4,,,
79.6587,5,3-4,,,
79.89201,2,3-4,,,
79.89201,3,3-4,,,
80.05866,1,w1,,,
80.09199,1,1-2,,,
80.42528999999999,1,j2-3,,,
80.59194,5,w4,,,
80.59194,4,w4,,,
80.82525,3,w4,,,
80.82525,2,w4,,,
80.92524,MOT_mc_stage_color_00,r-flash,,
80.92524,1,j3-4,,,
80.92524,2,j4-1,,,
80.92524,3,j4-1,,,
80.92524,4,j4-1,,,
80.92524,5,j4-1,,,
81.42519,4,1-2,,,
81.42519,5,1-2,,,
81.65849999999999,2,1-2,,,
81.65849999999999,3,1-2,,,
81.85848,1,4-1,,,
82.19178,1,1-2,,,
82.19178,2,2-3,,,
82.19178,3,2-3,,,
82.19178,4,2-3,,,
82.19178,5,2-3,,,
82.59174,1,j2-3,,,
82.59174,4,j3-4,,,
82.59174,5,j3-4,,,
83.09169,2,j3-4,,,
83.09169,3,j3-4,,,
83.6583,5,w4,,,
83.6583,4,w4,,,
83.6583,1,3-4,,,
83.6583,2,4-1,,,
83.6583,3,4-1,,,
83.6583,4,4-1,,,
83.6583,5,4-1,,,
84.05825999999999,1,4-1,,,
84.05825999999999,2,1-2,,,
84.05825999999999,3,1-2,,,
84.05825999999999,4,1-2,,,
84.05825999999999,5,1-2,,,
84.42488999999999,1,1-2,,,
84.42488999999999,2,2-3,,,
84.42488999999999,3,2-3,,,
84.42488999999999,4,2-3,,,
84.42488999999999,5,2-3,,,
84.89151,4,j3-4,,,
84.89151,5,j3-4,,,
85.19148,2,j3-4,,,
85.19148,3,j3-4,,,
85.35813,1,w2,,,
85.62477,1,j2-3,,,
85.95806999999999,5,w4,,,
85.95806999999999,4,w4,,,
86.25804,3,w4,,,
86.25804,2,w4,,,
86.69133,1,w3,,,
87.55790999999999,MOT_mc_stage_color_00,b-flash,,
87.55790999999999,1,hj3,,,
87.55790999999999,2,4-1,,,
87.55790999999999,3,4-1,,,
87.55790999999999,4,4-1,,,
87.55790999999999,5,4-1,,,
87.55790999999999,MOT_mc_back_00,lt_1,,
87.89121,2,lp1,,,
87.89121,3,lp1,,,
87.89121,4,lp1,,,
87.89121,5,lp1,,,
88.79111999999999,1,w3,,,
88.85777999999999,1,3-4,,,
89.42439,1,4-1,,,
89.75769,1,1-2,,,
90.09098999999999,1,2-3,,,
91.02423,1,w3,,,
91.05756,1,j3-4,,,
91.22421,MOT_mc_stage_color_00,y-flash,,
91.59084,2,j1-2,,,
91.59084,3,j1-2,,,
92.09079,5,j1-2,,,
92.09079,4,j1-2,,,
92.12411999999999,1,w4,,,
92.59074,1,4-1,,,
92.59074,2,2-3,,,
92.59074,3,2-3,,,
92.59074,4,2-3,,,
92.59074,5,2-3,,,
92.92403999999999,1,hj1,,,
92.99069999999999,MOT_mc_stage_color_00,r-flash,,
93.09069,2,hj3,,,
93.09069,3,hj3,,,
93.22400999999999,4,hj3,,,
93.22400999999999,5,hj3,,,
93.89061,1,1-2,,,
93.89061,2,3-4,,,
93.89061,3,3-4,,,
93.89061,4,3-4,,,
93.89061,5,3-4,,,
94.22390999999999,1,lp2,,,
94.22390999999999,2,lp4,,,
94.22390999999999,3,lp4,,,
94.22390999999999,4,lp4,,,
94.22390999999999,5,lp4,,,
98.59013999999999,1,2-3,,,
98.59013999999999,2,4-1,,,
98.59013999999999,3,4-1,,,
98.59013999999999,4,4-1,,,
98.59013999999999,5,4-1,,,
99.02342999999999,1,3-4,,,
99.15675,2,1-2,,,
99.15675,3,1-2,,,
99.29007,4,1-2,,,
99.29007,5,1-2,,,
99.62337,MOT_control_all,Dzoom_6,,
99.95667,1,w4,,,
100.05666,MOT_mc_stage_color_00,b-flash,,
100.05666,1,4-1,,,
100.05666,2,2-3,,,
100.05666,3,2-3,,,
100.05666,4,2-3,,,
100.05666,5,2-3,,,
100.05666,MOT_mc_back_00,lt_4,,
100.45662,1,j1-2,,,
100.45662,2,j3-4,,,
100.45662,3,j3-4,,,
100.45662,4,j3-4,,,
100.45662,5,j3-4,,,
100.58994,MOT_mc_stage_color_00,y-flash,,
101.02323,4,4-1,,,
101.02323,5,4-1,,,
101.22321,2,4-1,,,
101.22321,3,4-1,,,
101.38986,1,2-3,,,
101.85647999999999,2,j1-2,,,
101.85647999999999,3,j1-2,,,
101.95647,5,w1,,,
101.95647,4,w1,,,
102.12312,1,j3-4,,,
102.12312,4,j1-2,,,
102.12312,5,j1-2,,,
102.35642999999999,2,j2-3,,,
102.35642999999999,3,j2-3,,,
102.65639999999999,1,j4-1,,,
102.65639999999999,4,j2-3,,,
102.65639999999999,5,j2-3,,,
103.05636,1,1-2,,,
103.05636,2,3-4,,,
103.05636,3,3-4,,,
103.05636,4,3-4,,,
103.05636,5,3-4,,,
103.62297,4,j4-1,,,
103.62297,5,j4-1,,,
103.68963,MOT_mc_stage_color_00,r-flash,,
103.88960999999999,2,j4-1,,,
103.88960999999999,3,j4-1,,,
103.9896,1,w2,,,
104.15625,1,j2-3,,,
104.48955,1,3-4,,,
104.48955,2,1-2,,,
104.48955,3,1-2,,,
104.48955,4,1-2,,,
104.48955,5,1-2,,,
104.82284999999999,1,4-1,,,
104.82284999999999,2,2-3,,,
104.82284999999999,3,2-3,,,
104.82284999999999,4,2-3,,,
104.82284999999999,5,2-3,,,
105.15615,1,j1-2,,,
105.15615,2,j3-4,,,
105.15615,3,j3-4,,,
105.15615,4,j3-4,,,
105.15615,5,j3-4,,,
105.45612,1,2-3,,,
105.45612,2,4-1,,,
105.45612,3,4-1,,,
105.45612,4,4-1,,,
105.45612,5,4-1,,,
105.82275,1,j3-4,,,
105.82275,2,j1-2,,,
105.82275,3,j1-2,,,
105.82275,4,j1-2,,,
105.82275,5,j1-2,,,
106.72265999999999,1,j4-1,,,
106.72265999999999,2,j2-3,,,
106.72265999999999,3,j2-3,,,
106.72265999999999,4,j2-3,,,
106.72265999999999,5,j2-3,,,
106.82265,MOT_mc_stage_color_00,b-flash,,
107.28927,MOT_mc_stage_color_00,y-flash,,
107.28927,1,1-2,,,
107.28927,2,3-4,,,
107.28927,3,3-4,,,
107.28927,4,3-4,,,
107.28927,5,3-4,,,
107.72256,1,2-3,,,
107.72256,2,4-1,,,
107.72256,3,4-1,,,
107.72256,4,4-1,,,
107.72256,5,4-1,,,
108.22251,1,j3-4,,,
108.22251,4,j1-2,,,
108.22251,5,j1-2,,,
108.42249,2,j1-2,,,
108.42249,3,j1-2,,,
109.08909,4,j2-3,,,
109.08909,5,j2-3,,,
109.28907,1,w4,,,
109.35573,2,j2-3,,,
109.35573,3,j2-3,,,
109.58904,1,j4-1,,,
109.95567,1,1-2,,,
110.05565999999999,2,3-4,,,
110.05565999999999,3,3-4,,,
