0.03333,MOT_mc_bg_black_00,seat100-0,,
0.06666,MOT_all,cut1,,
0.06666,MOT_control_all,zoom_1,,
0.06666,MOT_mc_back_00,lt_1,,
121.38785999999999,2,w4,,,
121.75448999999999,1,2-3,r2,,
122.68772999999999,1,w3,,,
123.05435999999999,2,4-1,l3,,
123.9876,2,w1,,,
124.42089,1,3-4,r3,,
125.28747,MOT_mc_back_00,lt_1,,
125.28747,MOT_mc_stage_color_00,r-flash,,
125.35413,1,w4,,,
125.45411999999999,MOT_all,cut4,,
