0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.06666,MOT_mc_special_03,y,,
66.89331,6,w2,,,
66.89331,5,w4,,,
66.92663999999999,2,j2-3,,,
66.92663999999999,1,2-3,,,
66.92663999999999,5,4-1,,,
66.92663999999999,3,4-1,,,
66.92663999999999,4,2-3,,,
66.92663999999999,6,2-3,,,
66.99329999999999,1,,,,D40
66.99329999999999,3,,,,D40
66.99329999999999,4,,,,D40
66.99329999999999,5,,,,D40
66.99329999999999,6,,,,D40
67.3266,2,sj3,,,
67.72655999999999,2,sj3,,,
67.85988,6,w3,,,
67.85988,4,w3,,,
67.85988,5,w1,,,
67.85988,3,w1,,,
67.85988,1,w3,,,
68.12652,2,lp3,,,
68.65979999999999,2,3-4,,,
69.42639,2,4-1,r1,,
69.79302,2,1-2,,,
70.35963,2,2-3,rb0,,
71.19288,4,3-4,l1,,
71.19288,1,3-4,l1,,
71.19288,5,1-2,l1,,
71.22621,1,,,,L0
71.22621,3,,,,L0
71.22621,4,,,,L0
71.22621,5,,,,L0
71.22621,6,,,,L0
71.29287,2,w3,,,
71.55951,2,3-4,l1,,
71.55951,3,1-2,l1,,
71.55951,6,3-4,l1,,
71.95947,1,j4-1,,,
71.95947,2,j4-1,,,
71.95947,3,j2-3,,,
71.95947,4,j4-1,,,
71.95947,5,j2-3,,,
71.95947,6,j4-1,,,
72.3261,1,lp1,,,
72.3261,2,lp1,,,
72.3261,3,lp3,,,
72.3261,4,lp1,,,
72.3261,5,lp3,,,
72.3261,6,lp1,,,
72.75939,4,1-2,lb0,,
72.85938,2,1-2,lb0,,
72.95936999999999,1,1-2,lb0,,
73.05936,3,3-4,lb0,,
73.15935,5,3-4,lb0,,
73.25934,6,1-2,lb0,,
73.62597,1,j2-3,,,
73.62597,2,j2-3,,,
73.62597,3,j4-1,,,
73.62597,4,j2-3,,,
73.62597,5,j4-1,,,
73.62597,6,j2-3,,,
74.09259,1,3-4,,,
74.09259,2,3-4,,,
74.09259,3,1-2,,,
74.09259,4,3-4,,,
74.09259,5,1-2,,,
74.09259,6,3-4,,,
74.52588,4,4-1,r1,,
74.52588,1,4-1,r1,,
74.52588,5,2-3,r1,,
74.89251,2,4-1,r1,,
74.89251,3,2-3,r1,,
74.89251,6,4-1,r1,,
75.29247,1,j1-2,,,
75.29247,2,j1-2,,,
75.29247,3,j3-4,,,
75.29247,4,j1-2,,,
75.29247,5,j3-4,,,
75.29247,6,j1-2,,,
75.6591,1,lp2,,,
75.6591,2,lp2,,,
75.6591,3,lp4,,,
75.6591,4,lp2,,,
75.6591,5,lp4,,,
75.6591,6,lp2,,,
76.02573,6,2-3,rb0,,
76.12572,5,4-1,rb0,,
76.22570999999999,3,4-1,rb0,,
76.3257,1,2-3,rb0,,
76.42569,2,2-3,rb0,,
76.52568,4,2-3,rb0,,
76.92564,1,3-4,,,
76.92564,2,3-4,,,
76.92564,3,1-2,,,
76.92564,4,3-4,,,
76.92564,5,1-2,,,
76.92564,6,3-4,,,
77.39226,1,4-1,,,
77.39226,2,4-1,,,
77.39226,3,2-3,,,
77.39226,4,4-1,,,
77.39226,5,2-3,,,
77.39226,6,4-1,,,
77.79222,1,j1-2,,,
77.79222,2,j1-2,,,
77.79222,3,j3-4,,,
77.79222,4,j1-2,,,
77.79222,5,j3-4,,,
77.79222,6,j1-2,,,
78.15885,1,lp2,,,
78.15885,2,lp2,,,
78.15885,3,lp4,,,
78.15885,4,lp2,,,
78.15885,5,lp4,,,
78.15885,6,lp2,,,
78.59214,1,2-3,,,
78.59214,2,2-3,,,
78.59214,3,4-1,,,
78.59214,4,2-3,,,
78.59214,5,4-1,,,
78.59214,6,2-3,,,
78.92544,1,lp3,,,
78.92544,2,lp3,,,
78.92544,3,lp1,,,
78.92544,4,lp3,,,
78.92544,5,lp1,,,
78.92544,6,lp3,,,
79.49204999999999,1,j3-4,,,
79.49204999999999,2,j3-4,,,
79.49204999999999,3,j1-2,,,
79.49204999999999,4,j3-4,,,
79.49204999999999,5,j1-2,,,
79.49204999999999,6,j3-4,,,
79.85867999999999,1,sj4,,,
79.85867999999999,2,sj4,,,
79.85867999999999,3,sj2,,,
79.85867999999999,4,sj4,,,
79.85867999999999,5,sj2,,,
79.85867999999999,6,sj4,,,
80.22531,4,j4-1,,,
80.22531,6,j4-1,,,
80.35862999999999,5,w2,,,
80.35862999999999,2,w4,,,
80.35862999999999,3,w2,,,
80.35862999999999,1,w4,,,
80.49195,2,j4-1,,,
80.49195,5,j2-3,,,
80.75859,1,j4-1,,,
80.75859,3,j2-3,,,
81.09188999999999,1,j1-2,,,
81.09188999999999,2,j1-2,,,
81.09188999999999,3,j3-4,,,
81.09188999999999,4,j1-2,,,
81.09188999999999,5,j3-4,,,
81.09188999999999,6,j1-2,,,
81.42519,MOT_mc_stage_color_00,r-flash,,
81.49185,1,lp2,,,
81.49185,2,lp2,,,
81.49185,3,lp4,,,
81.49185,4,lp2,,,
81.49185,5,lp4,,,
81.49185,6,lp2,,,
82.72506,1,2-3,,,
82.72506,2,2-3,,,
82.72506,3,4-1,,,
82.72506,4,2-3,,,
82.72506,5,4-1,,,
82.72506,6,2-3,,,
83.55830999999999,1,3-4,,,
83.55830999999999,2,3-4,,,
83.55830999999999,3,1-2,,,
83.55830999999999,4,3-4,,,
83.55830999999999,5,1-2,,,
83.55830999999999,6,3-4,,,
83.95827,1,sj4,,,
83.95827,2,sj4,,,
83.95827,3,sj2,,,
83.95827,4,sj4,,,
83.95827,5,sj2,,,
83.95827,6,sj4,,,
84.39156,1,sj4,,,
84.39156,2,sj4,,,
84.39156,3,sj2,,,
84.39156,4,sj4,,,
84.39156,5,sj2,,,
84.39156,6,sj4,,,
84.79151999999999,1,lp4,,,
84.79151999999999,2,lp4,,,
84.79151999999999,3,lp2,,,
84.79151999999999,4,lp4,,,
84.79151999999999,5,lp2,,,
84.79151999999999,6,lp4,,,
85.35813,4,4-1,,,
85.42479,2,4-1,,,
85.49145,1,4-1,,,
85.55811,3,2-3,,,
85.62477,5,2-3,,,
85.69143,6,4-1,,,
86.09138999999999,4,j1-2,,,
86.15805,2,j1-2,,,
86.22471,1,j1-2,,,
86.29137,3,j3-4,,,
86.35803,5,j3-4,,,
86.42469,6,j1-2,,,
86.79132,4,2-3,,,
86.85798,2,2-3,,,
86.92464,1,2-3,,,
86.9913,3,4-1,,,
87.05796,5,4-1,,,
87.09129,4,lp3,,,
87.12462,6,2-3,,,
87.15795,2,lp3,,,
87.22461,1,lp3,,,
87.29127,3,lp1,,,
87.35793,5,lp1,,,
87.42459,6,lp3,,,
87.89121,4,3-4,r1,,
87.89121,1,3-4,r1,,
87.89121,5,1-2,r1,,
88.3245,2,3-4,l1,,
88.3245,3,1-2,l1,,
88.3245,6,3-4,l1,,
88.75779,4,4-1,rb0,,
88.75779,1,4-1,rb0,,
88.75779,5,2-3,rb0,,
89.12442,2,,lb0,,
89.12442,3,,lb0,,
89.12442,6,,lb0,,
89.25774,6,w4,,,
89.25774,2,w4,,,
89.25774,3,w2,,,
89.35772999999999,4,,r1,,
89.35772999999999,1,,r1,,
89.35772999999999,5,,r1,,
89.55771,2,4-1,l1,,
89.55771,3,2-3,l1,,
89.55771,6,4-1,l1,,
89.65769999999999,2,,,,D20
89.65769999999999,3,,,,D20
89.65769999999999,6,,,,D20
89.69103,4,w1,,,
89.69103,5,w3,,,
89.69103,1,w1,,,
89.72435999999999,4,1-2,rb0,,
89.72435999999999,1,1-2,rb0,,
89.72435999999999,5,3-4,rb0,,
89.82435,1,,,,D20
89.82435,4,,,,D20
89.82435,5,,,,D20
89.92434,2,,lb0,,
89.92434,3,,lb0,,
89.92434,6,,lb0,,
89.991,2,,,,D40
89.991,3,,,,D40
89.991,6,,,,D40
90.09098999999999,4,,r1,,
90.09098999999999,1,,r1,,
90.09098999999999,5,,r1,,
90.15764999999999,1,,,,D40
90.15764999999999,4,,,,D40
90.15764999999999,5,,,,D40
90.25764,2,1-2,l1,,
90.25764,3,3-4,l1,,
90.25764,6,1-2,l1,,
90.42429,4,2-3,rb0,,
90.42429,1,2-3,rb0,,
90.42429,5,4-1,rb0,,
90.55761,2,2-3,lb0,,
90.55761,3,4-1,lb0,,
90.55761,6,2-3,lb0,,
90.72426,4,3-4,,,
90.72426,1,3-4,,,
90.72426,5,1-2,,,
91.02423,1,j4-1,,,
91.02423,2,j3-4,,,
91.02423,3,j1-2,,,
91.02423,4,j4-1,,,
91.02423,5,j2-3,,,
91.02423,6,j3-4,,,
91.42419,1,sj1,,,
91.42419,2,sj4,,,
91.42419,3,sj2,,,
91.42419,4,sj1,,,
91.42419,5,sj3,,,
91.42419,6,sj4,,,
91.85748,1,lp1,,,
91.85748,2,lp4,,,
91.85748,3,lp2,,,
91.85748,4,lp1,,,
91.85748,5,lp3,,,
91.85748,6,lp4,,,
92.69073,1,j1-2,,,
92.69073,2,j4-1,,,
92.69073,3,j2-3,,,
92.69073,4,j1-2,,,
92.69073,5,j3-4,,,
92.69073,6,j4-1,,,
93.75729,6,w1,,,
93.75729,4,w2,,,
93.75729,5,w4,,,
93.75729,2,w1,,,
93.75729,3,w3,,,
93.75729,1,2-3,,,
93.75729,2,1-2,,,
93.75729,3,3-4,,,
93.75729,4,2-3,,,
93.75729,5,4-1,,,
93.75729,6,1-2,,,
94.39056,1,hj3,,,
94.39056,2,hj2,,,
94.39056,3,hj4,,,
94.39056,4,hj3,,,
94.39056,5,hj1,,,
94.39056,6,hj2,,,
94.79052,MOT_mc_stage_color_00,b-flash,,
94.79052,1,,,,L0
94.79052,2,,,,L0
94.79052,3,,,,L0
94.79052,4,,,,L0
94.79052,5,,,,L0
94.79052,6,,,,L0
94.92384,1,sp3-4,,,
94.92384,2,sp2-3,,,
94.92384,3,sp4-1,,,
94.92384,4,sp3-4,,,
94.92384,5,sp1-2,,,
94.92384,6,sp2-3,,,
96.02373,1,j4-1,,,
96.02373,2,j3-4,,,
96.02373,3,j1-2,,,
96.02373,4,j4-1,,,
96.02373,5,j2-3,,,
96.02373,6,j3-4,,,
96.45702,1,sj1,,,
96.45702,2,sj4,,,
96.45702,3,sj2,,,
96.45702,4,sj1,,,
96.45702,5,sj3,,,
96.45702,6,sj4,,,
96.92363999999999,3,j2-3,,,
96.92363999999999,1,1-2,,,
96.92363999999999,2,4-1,,,
96.92363999999999,4,1-2,,,
96.92363999999999,5,3-4,,,
96.92363999999999,6,4-1,,,
97.02363,1,,,,D60
97.02363,2,,,,D60
97.02363,4,,,,D60
97.02363,5,,,,D60
97.02363,6,,,,D60
97.3236,3,sj3,,,
97.72355999999999,3,sj3,,,
97.85687999999999,6,w1,,,
97.85687999999999,4,w2,,,
97.85687999999999,5,w4,,,
97.85687999999999,2,w1,,,
97.85687999999999,1,w2,,,
98.15684999999999,3,lp3,,,
98.59013999999999,3,3-4,,,
98.95676999999999,3,lp4,,,
99.42339,3,j4-1,,,
100.22331,1,2-3,,,
100.22331,2,1-2,,,
100.22331,3,1-2,,,
100.22331,4,2-3,,,
100.22331,5,4-1,,,
100.22331,6,1-2,,,
100.28997,1,,,,L0
100.28997,2,,,,L0
100.28997,4,,,,L0
100.28997,5,,,,L0
100.28997,6,,,,L0
100.62326999999999,1,3-4,,,
100.62326999999999,2,2-3,,,
100.62326999999999,3,2-3,,,
100.62326999999999,4,3-4,,,
100.62326999999999,5,1-2,,,
100.62326999999999,6,2-3,,,
101.05655999999999,1,j4-1,,,
101.05655999999999,2,j3-4,,,
101.05655999999999,3,j3-4,,,
101.05655999999999,4,j4-1,,,
101.05655999999999,5,j2-3,,,
101.05655999999999,6,j3-4,,,
101.48984999999999,1,sp1-2,,,
101.48984999999999,2,sp4-1,,,
101.48984999999999,3,sp4-1,,,
101.48984999999999,4,sp1-2,,,
101.48984999999999,5,sp3-4,,,
101.48984999999999,6,sp4-1,,,
102.25644,4,j2-3,,,
102.25644,2,j1-2,,,
102.42309,5,j4-1,,,
102.42309,6,j1-2,,,
102.65639999999999,1,j2-3,,,
102.65639999999999,3,j1-2,,,
103.323,4,w3,,,
103.323,2,w2,,,
103.48965,6,w2,,,
103.48965,5,w1,,,
103.52297999999999,1,j3-4,,,
103.52297999999999,3,2-3,,,
103.52297999999999,2,2-3,,,
103.52297999999999,4,3-4,,,
103.52297999999999,5,1-2,,,
103.52297999999999,6,2-3,,,
