0.16665,MOT_all,cut01,,
45.595439999999996,3,2-3,r3,
45.96207,3,lp3,,
46.52868,2,w1,,
46.52868,1,w1,,
46.96197,3,3-4,,
47.328599999999994,3,j4-1,,
47.82855,3,lp1,,
48.26184,3,1-2,rb2,
48.6618,3,lp2,,
49.19508,3,2-3,,
49.59504,3,j3-4,,
50.061659999999996,3,lp4,,
51.794819999999994,1,1-2,r2,
51.794819999999994,2,1-2,lb0,
51.794819999999994,3,4-1,,
52.69473,3,1-2,rb1,
52.72806,2,w2,,
52.72806,1,w2,,
53.09469,3,lp2,,
53.92794,3,2-3,rb0,
54.3279,3,lp3,,
55.727759999999996,3,3-4,l1,
56.12772,3,lp4,,
57.49425,3,4-1,,
57.894209999999994,3,lp1,,
58.89411,3,sp1-2,,
59.894009999999994,3,sj2,,
60.327299999999994,3,lp2,,
60.693929999999995,MOT_all,cut05,,
60.727259999999994,3,2-3,lb0,
60.92724,1,2-3,rb1,
60.92724,2,2-3,l1,
61.127219999999994,3,lp3,,
61.860479999999995,2,w3,,
61.860479999999995,1,w3,,
62.227109999999996,3,w3,,b0
62.39376,MOT_control_all,hotaru,,
62.39376,MOT_mc_back_00,hotaru,,
62.39376,MOT_mc_light_center_00,l2,,
62.39376,MOT_mc_stage_color_00,l2,,
62.39376,2,3-4,,f1
63.060359999999996,2,lp4,,
63.36033,2,4-1,lb0,
63.76029,2,j1-2,,
64.22691,2,lp2,,
64.92684,2,2-3,r1,
65.29347,2,lp3,,
65.82675,2,3-4,r2,
66.19337999999999,2,lp4,,
66.62666999999999,2,4-1,rb1,
66.66,1,3-4,rb0,
66.66,3,3-4,l1,
67.05996,2,lp1,,
67.59324,3,w4,,
67.59324,1,w4,,
68.15984999999999,2,1-2,rb0,
68.59313999999999,2,lp2,,
69.85968,2,2-3,,
69.92634,1,j4-1,,
69.993,3,j4-1,,
70.25963999999999,2,j3-4,,
70.69292999999999,2,lp4,,
70.99289999999999,1,w1,,
71.05955999999999,3,w1,,
71.79281999999999,1,1-2,r1,
71.79281999999999,3,1-2,lb0,
71.79281999999999,2,4-1,l1,
72.22610999999999,2,lp1,,
72.72605999999999,3,w2,,
72.72605999999999,1,w2,,
73.09268999999999,2,sj1,,
73.52597999999999,2,lp1,,
73.82594999999999,2,1-2,l2,
74.25923999999999,2,lp2,,
74.85918,1,2-3,r2,
74.85918,3,2-3,l1,
75.6591,2,j2-3,,
75.79241999999999,3,w3,,
75.79241999999999,1,w3,,
76.09239,2,lp3,,
76.55901,2,3-4,lb1,
76.62567,1,3-4,,
76.69233,3,3-4,,
76.92564,2,lp4,,
77.55891,1,w4,,
77.62557,3,w4,,
78.72546,2,4-1,lb0,
78.79212,1,4-1,rb1,
78.79212,3,4-1,lb0,
79.09209,2,lp1,,
79.49204999999999,MOT_all,cut06,,
79.69203,2,1-2,r1,
79.72536,3,w1,,
79.72536,1,w1,,
80.05866,2,lp2,,
80.39196,MOT_mc_light_center_00,l3,,
80.39196,MOT_mc_stage_color_00,l3,,
80.59194,1,1-2,,
80.69193,2,2-3,,
80.79191999999999,3,1-2,,
81.15854999999999,3,2-3,,f1
81.15854999999999,2,3-4,,
81.15854999999999,1,2-3,,f1
81.22520999999999,MOT_control_all,sabi,,
81.25854,MOT_mc_back_00,red,,
81.85848,MOT_mc_back_00,blue,,
81.85848,1,j3-4,,
81.85848,2,4-1,,
81.85848,3,3-4,,
82.32509999999999,1,lp4,,
82.32509999999999,2,lp1,,
82.32509999999999,3,lp4,,
82.95837,1,4-1,,
82.95837,2,j1-2,,
82.95837,3,4-1,,
83.09169,MOT_mc_back_00,yellow,,
83.52498,1,1-2,,
83.52498,3,j1-2,,
83.52498,2,2-3,,
83.69162999999999,MOT_mc_back_00,white,,
84.02493,1,lp2,,
84.02493,2,lp3,,
84.02493,3,lp2,,
84.55821,1,2-3,r2,
84.55821,3,2-3,r1,
84.55821,2,3-4,rb0,
85.22480999999999,1,lp3,,
85.22480999999999,2,lp4,,
85.22480999999999,3,lp3,,
85.82475,2,4-1,,
85.89141,1,3-4,,
85.92474,3,3-4,,
86.75798999999999,2,w1,,
86.82464999999999,1,w4,,
86.85798,3,w4,,
86.92464,1,j4-1,,
86.92464,2,j1-2,,
86.92464,3,j4-1,,
87.45792,1,lp1,,
87.45792,2,lp2,,
87.45792,3,lp1,,
88.85777999999999,1,1-2,,
89.29106999999999,2,2-3,,
89.72435999999999,3,1-2,,
89.79101999999999,1,w2,,
90.22431,2,w3,,
90.22431,1,lp2,,
90.22431,2,lp3,,
90.22431,3,lp2,,
91.75748999999999,1,2-3,,
91.75748999999999,2,3-4,,b0
91.75748999999999,3,2-3,,b0
92.22411,1,lp3,,
92.69073,3,w3,,
92.69073,2,w4,,
93.42398999999999,1,3-4,rb1,
93.85728,1,lp4,,
94.39056,1,4-1,,b0
94.39056,2,4-1,,f1
94.39056,3,3-4,,
94.92384,2,lp1,,
95.32379999999999,3,w4,,
95.32379999999999,1,w1,,
95.89041,2,1-2,r1,
96.3237,2,lp2,,
96.95697,1,1-2,,
96.95697,2,2-3,,b0
96.95697,3,4-1,,f1
97.05695999999999,MOT_mc_back_00,erase,,
97.55691,3,lp1,,
97.89021,2,w3,,
97.89021,1,w2,,
98.22350999999999,3,1-2,r2,
98.65679999999999,3,lp2,,
99.79002,3,2-3,,
100.22331,3,lp3,,
100.32329999999999,3,j3-4,,
100.85658,3,lp4,,
101.35652999999999,1,2-3,,f1
101.35652999999999,2,3-4,,f1
101.35652999999999,3,4-1,,
101.48984999999999,MOT_mc_back_00,daidai,,
101.95647,1,lp3,,
101.95647,2,lp4,,
101.95647,3,lp1,,
102.65639999999999,MOT_mc_back_00,ai,,
102.78971999999999,1,3-4,r2,
103.52297999999999,MOT_mc_back_00,midori,,
103.55631,2,4-1,rb0,
103.72296,1,w4,,
104.35623,3,1-2,r3,
104.38955999999999,MOT_mc_back_00,murasaki,,
104.48955,2,w1,,
104.78952,1,lp4,,
104.78952,2,lp1,,
104.78952,3,lp2,,
105.35613,3,2-3,,
105.42278999999999,1,4-1,,
105.48944999999999,2,1-2,,
105.68943,MOT_mc_back_00,hikari,,
106.02273,1,1-2,,
106.18938,2,2-3,,
106.28936999999999,3,w3,,
106.35602999999999,3,3-4,,
106.68933,1,lp2,,
106.68933,2,lp3,,
106.68933,3,lp4,,
107.25594,1,2-3,,
107.25594,2,3-4,,
107.25594,3,4-1,,
107.68923,1,lp3,,
107.68923,2,lp4,,
107.68923,3,lp1,,
108.92244,1,j3-4,,
108.92244,2,j4-1,,
108.92244,3,j1-2,,
109.3224,1,lp4,,
109.3224,2,lp1,,
109.3224,3,lp2,,
109.95567,2,1-2,,
110.05565999999999,3,2-3,,
110.15565,1,4-1,,
110.55561,1,lp1,,
110.55561,2,lp2,,
110.55561,3,lp3,,
111.82215,1,1-2,,
111.9888,2,2-3,,
112.15545,3,3-4,,
112.55541,1,lp2,,
112.55541,2,lp3,,
112.55541,3,lp4,,
112.82204999999999,2,3-4,,
112.95537,1,2-3,,
113.08869,3,4-1,,
113.6553,1,lp3,,
113.6553,2,lp4,,
113.6553,3,lp1,,
114.25524,3,1-2,rb2,
114.35522999999999,2,4-1,r1,
114.45522,1,3-4,rb1,
114.95517,1,lp4,,
114.95517,2,lp1,,
114.95517,3,lp2,,
115.55511,3,2-3,,
115.65509999999999,2,1-2,,
115.75509,1,4-1,,
116.25504,1,lp1,,
116.25504,2,lp2,,
116.25504,3,lp3,,
116.68833,1,1-2,rb0,
116.78832,MOT_mc_back_00,erase2,,
117.12162,1,lp2,,
118.15485,2,2-3,r2,
118.62146999999999,2,lp3,,
119.38806,3,3-4,rb1,
119.88801,3,lp4,,
121.05456,1,j2-3,,
121.05456,2,j3-4,,
121.05456,3,j4-1,,
121.58784,1,lp3,,
121.58784,2,lp4,,
121.58784,3,lp1,,
123.48764999999999,1,3-4,,
123.48764999999999,2,4-1,,
123.48764999999999,3,1-2,,
124.42089,3,w2,,
124.42089,2,w1,,
124.42089,1,w4,,
