0.03333,MOT_mc_bg_black_00,b80,,
0.03333,MOT_mc_light_center_00,off,,
0.03333,MOT_control_all,tokiwo_zoom1,,
0.03333,MOT_all,tokiwo_cut1,,
12.79872,3,lp1,,,
12.79872,4,lp1,,,
12.79872,5,lp1,,,
13.232009999999999,1,1-2,rb0,,
13.232009999999999,2,1-2,rb0,,
13.232009999999999,3,1-2,rb0,,
13.232009999999999,4,1-2,rb0,,
13.232009999999999,5,1-2,rb0,,
13.631969999999999,1,sj2,,,
13.631969999999999,2,sj2,,,
13.631969999999999,3,sj2,,,
13.631969999999999,4,sj2,,,
13.631969999999999,5,sj2,,,
14.03193,1,lp2,,,
14.03193,2,lp2,,,
14.03193,3,lp2,,,
14.03193,4,lp2,,,
14.03193,5,lp2,,,
14.63187,1,2-3,,,
14.63187,2,2-3,,,
14.63187,3,2-3,,,
14.63187,4,2-3,,,
14.63187,5,2-3,,,
14.93184,1,3-4,,,
14.93184,2,3-4,,,
14.93184,3,3-4,,,
14.93184,4,3-4,,,
14.93184,5,3-4,,,
15.23181,1,lp4,,,
15.23181,2,lp4,,,
15.23181,3,lp4,,,
15.23181,4,lp4,,,
15.23181,5,lp4,,,
17.23161,MOT_mc_light_center_00,nomal,,
17.29827,1,4-1,,,
17.29827,2,4-1,,,
17.29827,3,4-1,,,
17.29827,4,4-1,,,
17.29827,5,4-1,,,
17.29827,1,,,f1,
17.49825,MOT_mc_bg_black_00,b80-65,,
17.531579999999998,MOT_all,tokiwo_cut2,,
17.564909999999998,1,,,,L20
17.564909999999998,2,,,,L20
17.564909999999998,3,,,,L60
17.564909999999998,4,,,,L60
17.564909999999998,5,,,,L60
17.564909999999998,MOT_mc_stage_color_00,r-flash,,
17.63157,MOT_mc_light_up_00,l2,,
17.89821,1,lp1,,,
18.23151,5,w1,,,
18.23151,4,w1,,,
18.23151,3,w1,,,
18.23151,2,w1,,,
18.39816,1,j1-2,,,
18.9981,1,lp2,,,
19.53138,1,2-3,l1,,
19.997999999999998,1,lp3,,,
21.13122,1,j3-4,,,
21.26454,3,1-2,,,
21.26454,4,1-2,,,
21.26454,5,1-2,,,
21.26454,2,1-2,,,
21.597839999999998,3,sj2,,,
21.597839999999998,4,sj2,,,
21.597839999999998,5,sj2,,,
21.597839999999998,2,sj2,,,
21.597839999999998,1,lp4,,,
22.06446,1,sp4-1,,,
22.09779,5,w2,,,
22.09779,4,w2,,,
22.09779,3,w2,,,
22.09779,2,w2,,,
22.797719999999998,1,sj1,,,
23.16435,1,1-2,l2,,
23.73096,1,lp2,,,
24.59754,1,2-3,l3,,
24.76419,3,sp2-3,,,
24.76419,4,sp2-3,,,
24.76419,5,sp2-3,,,
24.76419,2,sp2-3,,,
24.93084,1,3-4,,,
25.39746,1,sp4-1,,,
25.897409999999997,1,sj1,,,
26.16405,3,sj3,,,
26.16405,4,sj3,,,
26.16405,5,sj3,,,
26.16405,2,sj3,,,
26.264039999999998,1,lp1,,,
26.663999999999998,5,w3,,,
26.663999999999998,4,w3,,,
26.663999999999998,3,w3,,,
26.663999999999998,2,w3,,,
26.863979999999998,1,1-2,,,
27.19728,1,2-3,,,
27.19728,2,3-4,,,
27.19728,3,3-4,,,
27.19728,4,3-4,,,
27.19728,5,3-4,,,
27.497249999999998,1,lp3,,,
27.497249999999998,2,lp4,,,
27.497249999999998,3,lp4,,,
27.497249999999998,4,lp4,,,
27.497249999999998,5,lp4,,,
28.59714,1,3-4,,,
28.59714,2,4-1,,,
28.59714,3,4-1,,,
28.59714,4,4-1,,,
28.59714,5,4-1,,,
28.897109999999998,1,sj4,,,
29.330399999999997,1,lp4,,,
29.530379999999997,5,w1,,,
29.530379999999997,4,w1,,,
29.530379999999997,3,w1,,,
29.530379999999997,2,w1,,,
29.83035,1,4-1,,,
30.23031,1,j1-2,,,
30.363629999999997,3,sp1-2,,,
30.363629999999997,4,sp1-2,,,
30.363629999999997,5,sp1-2,,,
30.363629999999997,2,sp1-2,,,
30.63027,1,lp2,,,
31.330199999999998,1,j2-3,,,
31.330199999999998,2,j2-3,,,
31.330199999999998,3,j2-3,,,
31.330199999999998,4,j2-3,,,
31.330199999999998,5,j2-3,,,
31.730159999999998,1,,lb2,,
32.06346,1,,lb1,,
32.36343,1,3-4,,,
32.39676,5,w3,,,
32.39676,4,w3,,,
32.39676,3,w3,,,
32.39676,2,w3,,,
32.49675,1,,lb0,,
32.89671,1,lp4,,,
33.92994,1,4-1,,,
34.22991,1,1-2,,,
34.52988,1,lp2,,,
35.16315,1,2-3,,,
35.463119999999996,1,j3-4,,,
35.79642,1,sp4-1,,,
36.49635,1,j1-2,,,
36.82965,3,j3-4,,,
36.82965,4,j3-4,,,
36.82965,5,j3-4,,,
36.82965,2,j3-4,,,
36.82965,1,sj2,,,
37.19628,1,lp2,,,
37.19628,2,lp4,,,
37.19628,3,lp4,,,
37.19628,4,lp4,,,
37.19628,5,lp4,,,
37.72956,1,2-3,,,
37.72956,2,4-1,,,
37.72956,3,4-1,,,
37.72956,4,4-1,,,
37.72956,5,4-1,,,
38.06286,1,j3-4,,,
38.396159999999995,1,lp4,,,
38.6628,5,w1,,,
38.6628,4,w1,,,
38.6628,3,w1,,,
38.6628,2,w1,,,
40.12932,MOT_control_all,tokiwo_zoom2,,
40.26264,1,4-1,,b0,
40.26264,2,1-2,,f1,
40.42929,3,1-2,,,
40.42929,4,1-2,,,
40.42929,5,1-2,,,
40.49595,MOT_mc_stage_color_00,b-flash,,
40.56261,MOT_mc_light_center_00,yoko,,
40.762589999999996,3,j2-3,,,
40.762589999999996,4,j2-3,,,
40.762589999999996,5,j2-3,,,
40.762589999999996,1,1-2,,,
40.86258,2,lp2,,,
41.29587,2,j2-3,,,
41.69583,1,w2,,,
41.69583,2,lp3,,,
41.82915,5,w3,,,
41.82915,4,w3,,,
41.82915,3,w3,,,
42.029129999999995,2,3-4,r1,,
42.49575,2,4-1,r2,,
42.89571,2,sp1-2,,,
43.36233,2,sj2,,,
43.628969999999995,3,sj3,,,
43.628969999999995,4,sj3,,,
43.628969999999995,5,sj3,,,
43.628969999999995,1,sj2,,,
43.72896,2,lp2,,,
44.062259999999995,3,3-4,,,
44.062259999999995,4,3-4,,,
44.062259999999995,5,3-4,,,
44.062259999999995,1,2-3,,,
44.16225,2,j2-3,,,
44.795519999999996,2,lp3,,,
44.9955,5,w4,,,
44.9955,4,w4,,,
44.9955,3,w4,,,
44.9955,1,w3,,,
45.228809999999996,2,3-4,rb1,,
45.595439999999996,2,4-1,rb0,,
45.86208,2,j1-2,,,
45.89541,3,sj4,,,
45.89541,4,sj4,,,
45.89541,5,sj4,,,
45.89541,1,sj3,,,
46.29537,2,lp2,,,
46.39536,5,w4,,,
46.39536,4,w4,,,
46.39536,3,w4,,,
46.39536,1,w3,,,
46.62867,2,2-3,r1,,
46.9953,2,lp3,,,
47.79522,2,3-4,r2,,
48.16185,2,lp4,,,
49.09509,2,j4-1,,,
49.56171,3,4-1,,,
49.56171,4,4-1,,,
49.56171,5,4-1,,,
49.56171,1,3-4,,,
49.56171,2,1-2,,,
49.96167,2,lp2,,,
50.494949999999996,5,w1,,,
50.494949999999996,4,w1,,,
50.494949999999996,3,w1,,,
50.494949999999996,1,w4,,,
51.42819,1,4-1,,,
51.42819,2,2-3,,,
51.42819,3,1-2,,,
51.42819,4,1-2,,,
51.42819,5,1-2,,,
51.728159999999995,2,sj3,,,
52.161449999999995,2,lp3,,,
52.36143,5,w2,,,
52.36143,4,w2,,,
52.36143,3,w2,,,
52.36143,1,w1,,,
52.6614,2,3-4,,,
53.06136,2,j4-1,,,
53.19468,3,sp2-3,,,
53.19468,4,sp2-3,,,
53.19468,5,sp2-3,,,
53.19468,1,sp1-2,,,
53.46132,2,lp1,,,
54.161249999999995,1,j2-3,,,
54.161249999999995,2,j1-2,,,
54.161249999999995,3,j3-4,,,
54.161249999999995,4,j3-4,,,
54.161249999999995,5,j3-4,,,
54.561209999999996,2,,rb1,,
54.89451,2,,rb0,,
55.19448,2,2-3,,,
55.22781,5,w4,,,
55.22781,4,w4,,,
55.22781,3,w4,,,
55.22781,1,w3,,,
55.727759999999996,2,lp3,,,
56.76099,2,3-4,,,
57.060959999999994,2,4-1,,,
57.360929999999996,2,lp1,,,
57.9942,2,1-2,,,
58.294169999999994,2,j2-3,,,
58.627469999999995,2,sp3-4,,,
59.3274,2,j4-1,,,
59.6607,3,j4-1,,,
59.6607,4,j4-1,,,
59.6607,5,j4-1,,,
59.6607,1,j3-4,,,
59.6607,2,sj1,,,
60.02733,1,lp4,,,
60.02733,2,lp1,,,
60.02733,3,lp1,,,
60.02733,4,lp1,,,
60.02733,5,lp1,,,
60.56061,1,4-1,,,
60.56061,2,1-2,,,
60.56061,3,1-2,,,
60.56061,4,1-2,,,
60.56061,5,1-2,,,
60.89391,2,j2-3,,,
61.22721,2,lp3,,,
61.493849999999995,5,w2,,,
61.493849999999995,4,w2,,,
61.493849999999995,3,w2,,,
61.493849999999995,1,w1,,,
61.76049,2,3-4,,,
61.960469999999994,MOT_control_all,tokiwo_zoom3,,
62.09379,2,lp4,,,
64.49355,3,j2-3,,,
64.49355,4,j2-3,,,
64.49355,5,j2-3,,,
64.6602,1,1-2,,f1,
64.6602,2,4-1,,b0,
64.9935,MOT_all,tokiwo_cut3,,
65.26013999999999,1,2-3,,,
65.39345999999999,MOT_mc_stage_color_00,r-flash,,
65.39345999999999,MOT_mc_light_center_00,l4_u,,
65.39345999999999,MOT_mc_light_up_00,l3,,
65.42679,MOT_mc_bg_black_00,b65-20,,
65.42679,1,,,,L0
65.42679,2,,,,L0
65.42679,3,,,,L40
65.42679,4,,,,L40
65.42679,5,,,,L40
65.56011,5,w3,,,
65.56011,4,w3,,,
65.56011,3,w3,,,
65.59344,2,w1,,,
65.59344,1,lp3,,,
65.86008,1,3-4,r1,,
66.16005,1,lp4,,,
66.39336,3,3-4,,,
66.39336,4,3-4,,,
66.39336,5,3-4,,,
66.39336,2,1-2,,,
66.39336,1,4-1,,,
66.72666,3,lp4,,,
66.72666,4,lp4,,,
66.72666,5,lp4,,,
66.72666,2,lp2,,,
66.72666,1,sp1-2,,,
67.82655,1,j2-3,,,
68.19318,3,4-1,,,
68.19318,4,4-1,,,
68.19318,5,4-1,,,
68.19318,2,2-3,,,
68.19318,1,sj3,,,
68.59313999999999,3,j1-2,,,
68.59313999999999,4,j1-2,,,
68.59313999999999,5,j1-2,,,
68.59313999999999,2,j3-4,,,
68.59313999999999,1,3-4,rb0,,
68.95976999999999,1,4-1,,,
69.35973,1,j1-2,,,
69.6597,5,w2,,,
69.6597,4,w2,,,
69.6597,3,w2,,,
69.6597,2,w4,,,
69.85968,3,2-3,,,
69.85968,4,2-3,,,
69.85968,5,2-3,,,
69.85968,2,4-1,,,
69.85968,1,2-3,l1,,
70.22631,1,lp3,,,
70.22631,2,lp1,,,
70.22631,3,lp3,,,
70.22631,4,lp3,,,
70.22631,5,lp3,,,
71.45952,3,3-4,,,
71.45952,4,3-4,,,
71.45952,5,3-4,,,
71.45952,2,1-2,,,
71.45952,1,3-4,l2,,
71.9928,3,4-1,,,
71.9928,4,4-1,,,
71.9928,5,4-1,,,
71.9928,2,2-3,,,
71.9928,1,j4-1,,,
72.42609,1,1-2,,,
72.79272,1,lp2,,,
72.92604,5,w1,,,
72.92604,4,w1,,,
72.92604,3,w1,,,
72.92604,2,w3,,,
73.326,3,1-2,,,
73.326,4,1-2,,,
73.326,5,1-2,,,
73.326,2,3-4,,,
73.326,1,j2-3,,,
73.69263,3,lp2,,,
73.69263,4,lp2,,,
73.69263,5,lp2,,,
73.69263,1,lp3,,,
73.69263,1,sp3-4,,,
74.25923999999999,2,w4,,,
75.05915999999999,1,j4-1,,,
75.09249,3,2-3,,,
75.09249,4,2-3,,,
75.09249,5,2-3,,,
75.09249,2,4-1,,,
75.49244999999999,1,j1-2,,,
75.49244999999999,2,j1-2,,,
75.49244999999999,3,j3-4,,,
75.49244999999999,4,j3-4,,,
75.49244999999999,5,j3-4,,,
75.92573999999999,1,2-3,,,
76.3257,1,3-4,,,
76.55901,5,w4,,,
76.55901,4,w4,,,
76.55901,3,w4,,,
76.55901,2,w2,,,
76.69233,1,j4-1,,,
77.05896,1,lp1,,,
77.9922,MOT_control_all,tokiwo_zoom4,,
77.9922,3,4-1,,,
77.9922,4,4-1,,,
77.9922,5,4-1,,,
77.9922,1,1-2,lb1,b0,
77.9922,2,2-3,,f1,
78.39215999999999,MOT_mc_stage_color_00,b-flash,,
78.45882,MOT_mc_light_center_00,l4_u,,
78.45882,2,3-4,,,
78.92544,5,w1,,,
78.92544,4,w1,,,
78.92544,3,w1,,,
78.92544,1,w2,,,
79.05875999999999,2,4-1,r1,,
79.35873,2,lp1,,,
79.89201,2,1-2,,,
80.19198,3,1-2,,,
80.19198,4,1-2,,,
80.19198,5,1-2,,,
80.19198,1,2-3,,,
80.19198,2,2-3,,,
80.52528,3,lp2,,,
80.52528,4,lp2,,,
80.52528,5,lp2,,,
80.52528,1,lp3,,,
80.52528,2,sp3-4,,,
81.62517,2,4-1,,,
81.9918,3,2-3,,,
81.9918,4,2-3,,,
81.9918,5,2-3,,,
81.9918,1,3-4,,,
81.9918,2,sj1,,,
82.39175999999999,3,j3-4,,,
82.39175999999999,4,j3-4,,,
82.39175999999999,5,j3-4,,,
82.39175999999999,1,j4-1,,,
82.39175999999999,2,1-2,rb0,,
82.75838999999999,2,2-3,,,
83.15835,2,j3-4,,,
83.45832,5,w4,,,
83.45832,4,w4,,,
83.45832,3,w4,,,
83.45832,1,w1,,,
83.6583,3,4-1,,,
83.6583,4,4-1,,,
83.6583,5,4-1,,,
83.6583,1,1-2,,,
83.6583,2,4-1,l1,,
84.02493,1,lp2,,,
84.02493,2,lp1,,,
84.02493,3,lp1,,,
84.02493,4,lp1,,,
84.02493,5,lp1,,,
84.05825999999999,2,lp1,,,
85.15814999999999,3,sj1,,,
85.15814999999999,4,sj1,,,
85.15814999999999,5,sj1,,,
85.15814999999999,1,sj2,,,
85.15814999999999,2,1-2,l2,,
85.62477,3,sj1,,,
85.62477,4,sj1,,,
85.62477,5,sj1,,,
85.62477,1,sj2,,,
85.75809,2,2-3,lb1,,
86.12472,5,w1,,,
86.12472,4,w1,,,
86.12472,3,w1,,,
86.12472,1,w2,,,
86.19138,2,3-4,,,
86.55801,2,lp4,,,
86.62467,MOT_control_all,tokiwo_zoom5,,
87.09129,3,1-2,,,
87.09129,4,1-2,,,
87.09129,5,1-2,,,
87.09129,1,2-3,,,
87.09129,2,j4-1,,,
87.45792,3,lp2,,,
87.45792,4,lp2,,,
87.45792,5,lp2,,,
87.45792,1,lp3,,,
87.45792,2,sp1-2,,,
88.82445,2,j2-3,,,
88.85777999999999,3,2-3,,,
88.85777999999999,4,2-3,,,
88.85777999999999,5,2-3,,,
88.85777999999999,1,3-4,,,
89.25774,1,j4-1,,,
89.25774,2,j3-4,,,
89.25774,3,j3-4,,,
89.25774,4,j3-4,,,
89.25774,5,j3-4,,,
89.69103,2,4-1,,,
90.09098999999999,2,1-2,,,
90.3243,5,w4,,,
90.3243,4,w4,,,
90.3243,3,w4,,,
90.3243,1,w1,,,
90.45761999999999,2,j2-3,,,
90.82424999999999,2,lp3,,,
92.45742,2,3-4,lb0,b0,
92.72406,1,1-2,,f1,
92.72406,2,4-1,,,
92.72406,3,4-1,,,
92.72406,4,4-1,,,
92.72406,5,4-1,,,
92.89071,MOT_mc_bg_black_00,b20-65,,
92.99069999999999,3,,,,D60
92.99069999999999,4,,,,D60
92.99069999999999,5,,,,D60
92.99069999999999,MOT_mc_light_center_00,kougo,,
93.05736,MOT_mc_stage_color_00,b-flash,,
93.12402,3,,,,D80
93.12402,4,,,,D80
93.12402,5,,,,D80
93.12402,MOT_mc_special_03,r,,
93.12402,1,j2-3,,,
93.12402,2,lp1,,,
93.12402,3,lp1,,,
93.12402,4,lp1,,,
93.12402,5,lp1,,,
93.59064,1,j3-4,,,
93.95727,1,4-1,,,
94.35723,1,lp1,,,
95.09049,1,1-2,,,
95.35713,1,2-3,,,
95.62377,1,j3-4,,,
96.12371999999999,1,4-1,,,
96.39036,1,1-2,,,
96.657,1,j2-3,,,
97.02363,1,lp3,,,
97.12362,2,1-2,,,
97.12362,3,1-2,,,
97.12362,4,1-2,,,
97.12362,5,1-2,,,
97.45692,2,lp2,,,
97.45692,3,lp2,,,
97.45692,4,lp2,,,
97.45692,5,lp2,,,
97.89021,1,3-4,,,
98.09018999999999,2,2-3,,,
98.09018999999999,3,2-3,,,
98.09018999999999,4,2-3,,,
98.09018999999999,5,2-3,,,
98.25684,1,lp4,,,
98.42349,2,lp3,,,
98.42349,3,lp3,,,
98.42349,4,lp3,,,
98.42349,5,lp3,,,
99.22341,1,j4-1,,,
99.22341,2,j3-4,,,
99.22341,3,j3-4,,,
99.22341,4,j3-4,,,
99.22341,5,j3-4,,,
99.59004,1,1-2,,,
99.92334,1,2-3,,,
100.28997,5,w4,,,
100.28997,4,w4,,,
100.28997,3,w4,,,
100.28997,2,w4,,,
100.32329999999999,1,sj3,,,
100.72326,1,sj3,,,
101.08989,1,3-4,,,
101.35652999999999,1,lp4,,,
101.72316,2,4-1,,f1,
101.72316,1,,,b0,
101.72316,1,4-1,,,
101.72316,3,4-1,,,
101.72316,4,4-1,,,
101.72316,5,4-1,,,
101.82315,MOT_mc_light_center_00,kougo,,
101.88981,MOT_mc_stage_color_00,b-flash,,
101.88981,MOT_mc_special_03,r-b,,
102.12312,2,j1-2,,,
102.12312,1,lp1,,,
102.12312,3,lp1,,,
102.12312,4,lp1,,,
102.12312,5,lp1,,,
102.58973999999999,2,j2-3,,,
102.95636999999999,2,3-4,,,
103.35633,2,lp4,,,
104.08959,2,4-1,,,
104.35623,2,1-2,,,
104.62286999999999,2,j2-3,,,
105.12281999999999,2,3-4,,,
105.38946,2,4-1,,,
105.6561,2,j1-2,,,
106.02273,2,lp2,,,
106.12272,1,1-2,,,
106.12272,3,1-2,,,
106.12272,4,1-2,,,
106.12272,5,1-2,,,
106.45602,1,lp2,,,
106.45602,3,lp2,,,
106.45602,4,lp2,,,
106.45602,5,lp2,,,
106.88931,2,2-3,,,
107.08928999999999,1,2-3,,,
107.08928999999999,3,2-3,,,
107.08928999999999,4,2-3,,,
107.08928999999999,5,2-3,,,
107.25594,2,lp3,,,
107.42259,1,lp3,,,
107.42259,3,lp3,,,
107.42259,4,lp3,,,
107.42259,5,lp3,,,
108.22251,1,j3-4,,,
108.22251,2,j3-4,,,
108.22251,3,j3-4,,,
108.22251,4,j3-4,,,
108.22251,5,j3-4,,,
108.58914,2,4-1,,,
108.92244,2,1-2,,,
109.28907,MOT_all,tokiwo_cut4,,
109.28907,5,w4,,,
109.28907,4,w4,,,
109.28907,3,w4,,,
109.28907,1,w4,,,
109.3224,2,sj2,,,
109.72236,2,lp2,,,
110.62227,2,2-3,,b0,
110.62227,1,j4-1,,,
110.62227,3,j4-1,,,
110.62227,4,j4-1,,,
110.62227,5,j4-1,,,
111.25554,1,1-2,,,
111.25554,2,3-4,,,
111.68883,5,w1,,,
111.68883,4,w1,,,
111.68883,3,w1,,,
111.68883,1,j2-3,,,
111.68883,2,j4-1,,,
112.12212,1,lp3,,,
112.12212,2,lp1,,,
114.28856999999999,1,3-4,,,
114.28856999999999,2,1-2,,,
114.72185999999999,1,sj4,,,
114.72185999999999,2,sj2,,,
115.12182,1,sj4,,,
115.12182,2,sj2,,,
115.12182,3,1-2,,,
115.12182,4,1-2,,,
115.12182,5,1-2,,,
115.48845,1,lp4,,,
115.48845,2,lp2,,,
116.05506,5,w2,,,
116.05506,4,w2,,,
116.05506,3,w2,,,
117.18827999999999,1,4-1,,,
117.18827999999999,2,2-3,,,
117.18827999999999,3,2-3,,,
117.18827999999999,4,2-3,,,
117.18827999999999,5,2-3,,,
117.75488999999999,1,1-2,,,
117.75488999999999,2,3-4,,,
117.75488999999999,3,3-4,,,
117.75488999999999,4,3-4,,,
117.75488999999999,5,3-4,,,
118.15485,1,j2-3,,,
118.15485,2,j4-1,,,
118.15485,3,j4-1,,,
118.15485,4,j4-1,,,
118.15485,5,j4-1,,,
118.48814999999999,1,lp3,,,
118.48814999999999,2,lp1,,,
118.48814999999999,3,lp1,,,
118.48814999999999,4,lp1,,,
118.48814999999999,5,lp1,,,
118.78811999999999,3,j1-2,,,
118.78811999999999,4,j1-2,,,
118.78811999999999,5,j1-2,,,
118.95477,1,j3-4,,,
118.95477,2,j1-2,,,
119.42138999999999,1,4-1,,,
119.42138999999999,2,2-3,,,
119.42138999999999,3,2-3,,,
119.42138999999999,4,2-3,,,
119.42138999999999,5,2-3,,,
119.78801999999999,1,j1-2,,,
119.78801999999999,2,j3-4,,,
119.78801999999999,3,lp3,,,
119.78801999999999,4,lp3,,,
119.78801999999999,5,lp3,,,
120.85458,2,w4,,,
120.85458,1,w2,,,
121.75448999999999,1,2-3,,,
121.75448999999999,2,4-1,,,
122.08779,1,lp3,,,
122.08779,2,lp1,,,
122.85437999999999,1,3-4,,,
122.85437999999999,2,1-2,,,
123.18768,1,lp4,,,
123.18768,2,lp2,,,
124.05426,1,4-1,,,
124.05426,2,2-3,,,
124.05426,3,3-4,,,
124.05426,4,3-4,,,
124.05426,5,3-4,,,
124.9875,5,w4,,,
124.9875,4,w4,,,
124.9875,3,w4,,,
124.9875,2,w3,,,
124.9875,1,w1,,,
