0.03333,MOT_mc_bg_black_00,b80,,
0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.03333,MOT_mc_light_center_00,01a,,
11.832149999999999,1,sp2-3,l1,,
11.832149999999999,2,sp2-3,l1,,
11.832149999999999,3,sp2-3,l1,,
11.832149999999999,4,sp2-3,l1,,
11.832149999999999,5,sp2-3,l1,,
12.49875,1,,l2,,
12.49875,2,,l2,,
12.49875,3,,l2,,
12.49875,4,,l2,,
12.49875,5,,l2,,
13.331999999999999,1,3-4,,,
13.331999999999999,2,3-4,,,
13.331999999999999,3,3-4,,,
13.331999999999999,4,3-4,,,
13.331999999999999,5,3-4,,,
13.831949999999999,1,sp4-1,,,
13.831949999999999,2,sp4-1,,,
13.831949999999999,3,sp4-1,,,
13.831949999999999,4,sp4-1,,,
13.831949999999999,5,sp4-1,,,
15.265139999999999,1,1-2,,,
15.265139999999999,2,1-2,,,
15.265139999999999,3,1-2,,,
15.265139999999999,4,1-2,,,
15.265139999999999,5,1-2,,,
15.765089999999999,1,,lb1,,
15.765089999999999,2,,lb1,,
15.765089999999999,3,,lb1,,
15.765089999999999,4,,lb1,,
15.765089999999999,5,,lb1,,
16.06506,1,2-3,lb0,,
16.06506,2,2-3,lb0,,
16.06506,3,2-3,lb0,,
16.06506,4,2-3,lb0,,
16.06506,5,2-3,lb0,,
16.43169,1,lp3,,,
16.43169,2,lp3,,,
16.43169,3,lp3,,,
16.43169,4,lp3,,,
16.43169,5,lp3,,,
17.09829,1,3-4,,,
17.09829,2,3-4,,,
17.09829,3,3-4,,,
17.09829,4,3-4,,,
17.09829,5,3-4,,,
17.531579999999998,1,sp4-1,,,
17.531579999999998,2,sp4-1,,,
17.531579999999998,3,sp4-1,,,
17.531579999999998,4,sp4-1,,,
17.531579999999998,5,sp4-1,,,
18.364829999999998,MOT_mc_stage_color_00,r-flash,,
18.364829999999998,1,1-2,r1,,
18.364829999999998,2,1-2,r1,,
18.364829999999998,3,1-2,r1,,
18.364829999999998,4,1-2,r1,,
18.364829999999998,5,1-2,r1,,
18.83145,1,2-3,,,
18.83145,2,2-3,,,
18.83145,3,2-3,,,
18.83145,4,2-3,,,
18.83145,5,2-3,,,
19.29807,1,3-4,rb0,,
19.29807,2,3-4,rb0,,
19.29807,3,3-4,rb0,,
19.29807,4,3-4,rb0,,
19.29807,5,3-4,rb0,,
19.798019999999998,1,4-1,r1,,
19.798019999999998,2,4-1,r1,,
19.798019999999998,3,4-1,r1,,
19.798019999999998,4,4-1,r1,,
19.798019999999998,5,4-1,r1,,
20.23131,1,1-2,rb0,,
20.23131,2,1-2,rb0,,
20.23131,3,1-2,rb0,,
20.23131,4,1-2,rb0,,
20.23131,5,1-2,rb0,,
20.597939999999998,1,sp2-3,,,
20.597939999999998,2,sp2-3,,,
20.597939999999998,3,sp2-3,,,
20.597939999999998,4,sp2-3,,,
20.597939999999998,5,sp2-3,,,
21.197879999999998,1,3-4,r1,,
21.197879999999998,2,3-4,r1,,
21.197879999999998,3,3-4,r1,,
21.197879999999998,4,3-4,r1,,
21.197879999999998,5,3-4,r1,,
21.597839999999998,1,4-1,r2,,
21.597839999999998,2,4-1,r2,,
21.597839999999998,3,4-1,r2,,
21.597839999999998,4,4-1,r2,,
21.597839999999998,5,4-1,r2,,
21.96447,1,1-2,r3,,
21.96447,2,1-2,r3,,
21.96447,3,1-2,r3,,
21.96447,4,1-2,r3,,
21.96447,5,1-2,r3,,
22.26444,1,lp2,,,
22.26444,2,lp2,,,
22.26444,3,lp2,,,
22.26444,4,lp2,,,
22.26444,5,lp2,,,
22.797719999999998,1,hj2,,,
22.797719999999998,2,hj2,,,
22.797719999999998,3,hj2,,,
22.797719999999998,4,hj2,,,
22.797719999999998,5,hj2,,,
23.39766,1,sp2-3,rb2,,
23.39766,2,sp2-3,rb2,,
23.39766,3,sp2-3,rb2,,
23.39766,4,sp2-3,rb2,,
23.39766,5,sp2-3,rb2,,
23.79762,1,,rb1,,
23.79762,2,,rb1,,
23.79762,3,,rb1,,
23.79762,4,,rb1,,
23.79762,5,,rb1,,
24.430889999999998,1,3-4,rb0,,
24.430889999999998,2,3-4,rb0,,
24.430889999999998,3,3-4,rb0,,
24.430889999999998,4,3-4,rb0,,
24.430889999999998,5,3-4,rb0,,
24.79752,1,lp4,,,
24.79752,2,lp4,,,
24.79752,3,lp4,,,
24.79752,4,lp4,,,
24.79752,5,lp4,,,
25.697429999999997,1,j4-1,,,
25.697429999999997,2,j4-1,,,
25.697429999999997,3,j4-1,,,
25.697429999999997,4,j4-1,,,
25.697429999999997,5,j4-1,,,
25.79742,MOT_mc_stage_color_00,y-flash,,
25.79742,MOT_mc_bg_black_00,b45-20,,
25.79742,MOT_mc_light_center_00,02a,,
26.13072,1,1-2,,f1,
26.19738,MOT_control_all,zoom2,,
26.53068,1,lp2,,,
26.76399,2,w1,,,
26.76399,3,w1,,,
26.76399,4,w1,,,
26.76399,5,w1,,,
27.16395,1,2-3,,,
27.56391,1,j3-4,,,
27.930539999999997,1,lp4,,,
28.96377,1,4-1,,,
29.330399999999997,1,j1-2,,,
29.730359999999997,1,lp2,,,
30.763589999999997,1,2-3,,,
31.163549999999997,1,j3-4,,,
31.63017,1,sj4,,,
32.09679,1,sj4,,,
32.59674,1,4-1,,,
32.9967,1,j1-2,,,
33.39666,1,lp2,,,
34.56321,1,j2-3,,,
34.82985,MOT_all,cut2,,
34.96317,1,3-4,,,
34.96317,1,,,b0,
35.19648,1,sort,-300,
35.6631,MOT_control_all,zoom3,,
35.896409999999996,1,w4,,,
36.06306,1,,,,D60
36.16305,4,,,,L0
36.16305,5,,,,L0
36.39636,4,j1-2,,,
36.39636,5,j1-2,,,
36.52968,MOT_mc_stage_color_00,b-flash,,
36.82965,4,2-3,,,
36.82965,5,2-3,,,
37.19628,4,lp3,,,
37.19628,5,lp3,,,
37.72956,4,j3-4,,,
37.72956,5,j3-4,,,
38.16285,4,4-1,,,
38.16285,5,4-1,,,
38.59614,4,1-2,,,
38.59614,5,1-2,,,
39.06276,4,2-3,,,
39.06276,5,2-3,,,
39.529379999999996,3,sort,-600,
39.596039999999995,4,j3-4,,,
39.596039999999995,5,j3-4,,,
40.06266,4,j4-1,,,
40.06266,5,j4-1,,,
40.49595,3,j1-2,,,
40.56261,4,,,,D60
40.56261,5,,,,D60
40.59594,MOT_mc_stage_color_00,r-flash,,
40.62927,3,,,,L0
40.96257,3,j2-3,,,
41.12922,4,w1,,,
41.12922,5,w1,,,
41.42919,3,3-4,,,
41.79582,3,lp4,,,
42.395759999999996,3,j4-1,,,
42.72906,2,sort,-500,
42.762389999999996,3,1-2,,,
43.06236,3,2-3,,,
43.39566,3,j3-4,,,
44.062259999999995,3,,,,D60
44.3289,MOT_mc_stage_color_00,y-flash,,
44.3289,2,j1-2,,,
44.395559999999996,2,,,,L0
44.462219999999995,3,w4,,,
44.72886,2,j2-3,,,
45.195479999999996,2,3-4,,,
45.56211,2,lp4,,,
46.19538,2,j4-1,,,
46.62867,2,j1-2,,,
47.06196,2,2-3,,,
47.52858,2,3-4,,,
47.695229999999995,2,,,,D60
48.061859999999996,MOT_mc_stage_color_00,b-flash,,
48.061859999999996,5,1-2,,,
48.061859999999996,5,,,f1,
48.19518,5,,,,L0
48.461819999999996,2,w4,,,
48.528479999999995,5,j2-3,,,
48.9951,5,j3-4,,,
49.361729999999994,5,lp4,,,
49.92834,5,4-1,l1,,
50.3283,5,1-2,lb0,,
50.79492,5,2-3,,,
50.79492,5,,,b0,
51.42819,5,,,,D60
51.59484,4,1-2,,f1,
51.728159999999995,5,w3,,,
51.728159999999995,4,,,,L0
51.82815,MOT_mc_stage_color_00,r-flash,,
52.161449999999995,4,sj2,,,
52.594739999999994,4,sj2,,,
52.994699999999995,4,lp2,,,
53.56131,4,2-3,,,
53.86128,4,3-4,,,
54.161249999999995,4,4-1,,,
54.527879999999996,4,1-2,,,
54.527879999999996,4,,,b0,
55.06116,1,4-1,,,
55.12782,1,,,,L0
55.12782,4,,,,D60
55.16115,MOT_mc_stage_color_00,y-flash,,
55.427789999999995,1,1-2,,f1,
55.461119999999994,4,w2,,,
55.52778,MOT_mc_light_center_00,03a,,
55.56111,MOT_mc_bg_black_00,b20-65,,
55.59444,MOT_mc_stage_color_00,y-flash,,
55.794419999999995,1,lp2,,,
56.3277,1,2-3,,,
56.69433,1,lp3,,,
57.29427,1,3-4,,,
57.6609,1,j4-1,,,
58.09419,1,j1-2,,,
58.627469999999995,1,2-3,,b0,
58.627469999999995,2,j4-1,,,
58.627469999999995,3,j4-1,,,
58.627469999999995,4,j2-3,,,
58.627469999999995,5,j3-4,,,
58.76079,MOT_mc_stage_color_00,b-flash,,
58.76079,2,,,,L0
58.76079,3,,,,L0
58.76079,4,,,,L0
58.76079,5,,,,L0
59.060759999999995,1,3-4,,f1,
59.060759999999995,2,1-2,,f1,
59.060759999999995,3,1-2,,f1,
59.060759999999995,4,3-4,,f1,
59.060759999999995,5,4-1,,f1,
59.19408,MOT_mc_bg_black_00,b65-0,,
59.19408,MOT_mc_light_center_00,04a,,
59.26074,MOT_mc_stage_color_00,b-flash,,
59.62737,1,4-1,,,
59.62737,2,2-3,,,
59.62737,3,2-3,,,
59.62737,4,4-1,,,
59.62737,5,1-2,,,
59.994,1,j1-2,,,
59.994,2,j3-4,,,
59.994,3,j3-4,,,
59.994,4,j1-2,,,
59.994,5,j2-3,,,
60.593939999999996,1,2-3,,,
60.593939999999996,2,4-1,,,
60.593939999999996,3,4-1,,,
60.593939999999996,4,2-3,,,
60.593939999999996,5,3-4,,,
60.96057,1,lp3,,,
60.96057,2,lp1,,,
60.96057,3,lp1,,,
60.96057,4,lp3,,,
60.96057,5,lp4,,,
61.460519999999995,1,3-4,,,
61.460519999999995,2,1-2,,,
61.460519999999995,3,1-2,,,
61.460519999999995,4,3-4,,,
61.460519999999995,5,4-1,,,
61.827149999999996,1,j4-1,,,
61.827149999999996,2,j2-3,,,
61.827149999999996,3,j2-3,,,
61.827149999999996,4,j4-1,,,
61.827149999999996,5,j1-2,,,
62.227109999999996,1,lp1,,,
62.227109999999996,2,lp3,,,
62.227109999999996,3,lp3,,,
62.227109999999996,4,lp1,,,
62.227109999999996,5,lp2,,,
62.46042,4,j1-2,,,
62.46042,4,,,f2,
62.56041,MOT_mc_stage_color_00,r-flash,,
62.56041,MOT_mc_bg_black_00,b0-20,,
62.86038,4,2-3,,,
63.22701,4,lp3,,,
63.6603,4,j3-4,,,
64.59353999999999,4,4-1,,,
64.96016999999999,4,lp1,,,
65.32679999999999,MOT_mc_stage_color_00,y-flash,,
65.76008999999999,MOT_mc_stage_color_00,b-flash,,
66.09339,4,1-2,,b1,
66.09339,2,j3-4,,,
66.09339,3,j3-4,,,
66.09339,1,j1-2,,,
66.09339,5,j2-3,,,
66.22671,MOT_mc_stage_color_00,r-flash,,
66.22671,MOT_mc_bg_black_00,b20-0,,
66.52668,1,2-3,,,
66.52668,2,4-1,,,
66.52668,3,4-1,,,
66.52668,4,2-3,,,
66.52668,5,3-4,,,
66.75999,MOT_mc_stage_color_00,r-flash,,
67.09329,1,3-4,,,
67.09329,2,1-2,,,
67.09329,3,1-2,,,
67.09329,4,3-4,,,
67.09329,5,4-1,,,
67.45992,1,j4-1,,,
67.45992,2,j2-3,,,
67.45992,3,j2-3,,,
67.45992,4,j4-1,,,
67.45992,5,j1-2,,,
68.05986,1,1-2,,,
68.05986,2,3-4,,,
68.05986,3,3-4,,,
68.05986,4,1-2,,,
68.05986,5,2-3,,,
68.42649,1,lp2,,,
68.42649,2,lp4,,,
68.42649,3,lp4,,,
68.42649,4,lp2,,,
68.42649,5,lp3,,,
68.92644,1,2-3,,,
68.92644,2,4-1,,,
68.92644,3,4-1,,,
68.92644,4,2-3,,,
68.92644,5,3-4,,,
69.29307,1,j3-4,,,
69.29307,2,j1-2,,,
69.29307,3,j1-2,,,
69.29307,4,j3-4,,,
69.29307,5,j4-1,,,
69.6597,1,lp4,,,
69.6597,2,lp2,,,
69.6597,3,lp2,,,
69.6597,4,lp4,,,
69.6597,5,lp1,,,
69.85968,2,2-3,,f2,
69.92634,MOT_mc_stage_color_00,y-flash,,
69.92634,MOT_mc_bg_black_00,b0-20,,
70.22631,2,j3-4,,,
70.79292,2,j4-1,,,
71.15955,2,1-2,,,
71.49284999999999,2,lp2,,,
71.82615,2,2-3,,,
72.15944999999999,2,j3-4,,,
72.49275,2,lp4,,,
73.55931,2,4-1,,b1,
73.55931,1,j4-1,,,
73.55931,3,j2-3,,,
73.55931,4,j4-1,,,
73.55931,5,j1-2,,,
73.69263,MOT_mc_stage_color_00,b-flash,,
73.69263,MOT_mc_bg_black_00,b20-0,,
73.9926,1,1-2,,,
73.9926,2,1-2,,,
73.9926,3,3-4,,,
73.9926,4,1-2,,,
73.9926,5,2-3,,,
74.12592,MOT_mc_stage_color_00,b-flash,,
74.55921,1,2-3,,,
74.55921,2,2-3,,,
74.55921,3,4-1,,,
74.55921,4,2-3,,,
74.55921,5,3-4,,,
74.92584,1,j3-4,,,
74.92584,2,j3-4,,,
74.92584,3,j1-2,,,
74.92584,4,j3-4,,,
74.92584,5,j4-1,,,
75.52578,1,4-1,,,
75.52578,2,4-1,,,
75.52578,3,2-3,,,
75.52578,4,4-1,,,
75.52578,5,1-2,,,
75.89241,1,lp1,,,
75.89241,2,lp1,,,
75.89241,3,lp3,,,
75.89241,4,lp1,,,
75.89241,5,lp2,,,
76.39236,1,1-2,,,
76.39236,2,1-2,,,
76.39236,3,3-4,,,
76.39236,4,1-2,,,
76.39236,5,2-3,,,
76.75899,1,j2-3,,,
76.75899,2,j2-3,,,
76.75899,3,j4-1,,,
76.75899,4,j2-3,,,
76.75899,5,j3-4,,,
77.15894999999999,1,lp3,,,
77.15894999999999,2,lp3,,,
77.15894999999999,3,lp1,,,
77.15894999999999,4,lp3,,,
77.15894999999999,5,lp4,,,
77.39226,5,j4-1,,,
77.39226,5,,,f2,
77.42559,MOT_mc_stage_color_00,r-flash,,
77.42559,MOT_mc_bg_black_00,b0-20,,
77.79222,5,1-2,,,
78.19218,5,lp2,,,
78.62546999999999,5,j2-3,,,
79.55870999999999,5,3-4,,,
79.92533999999999,5,lp4,,,
80.12532,MOT_mc_stage_color_00,y-flash,,
80.65859999999999,MOT_mc_stage_color_00,b-flash,,
81.02523,5,4-1,,b1,
81.02523,2,j3-4,,,
81.02523,3,j1-2,,,
81.02523,1,j3-4,,,
81.02523,4,j3-4,,,
81.09188999999999,MOT_mc_bg_black_00,b20-0,,
81.12522,MOT_mc_stage_color_00,r-flash,,
81.45852,1,j4-1,,,
81.45852,2,j4-1,,,
81.45852,3,j2-3,,,
81.45852,4,j4-1,,,
81.45852,5,j1-2,,,
81.59183999999999,MOT_mc_stage_color_00,r-flash,,
82.02512999999999,1,1-2,,,
82.02512999999999,2,1-2,,,
82.02512999999999,3,3-4,,,
82.02512999999999,4,1-2,,,
82.02512999999999,5,2-3,,,
82.39175999999999,1,j2-3,,,
82.39175999999999,2,j2-3,,,
82.39175999999999,3,j4-1,,,
82.39175999999999,4,j2-3,,,
82.39175999999999,5,j3-4,,,
82.9917,1,3-4,,,
82.9917,2,3-4,,,
82.9917,3,1-2,,,
82.9917,4,3-4,,,
82.9917,5,4-1,,,
83.35833,1,lp4,,,
83.35833,2,lp4,,,
83.35833,3,lp2,,,
83.35833,4,lp4,,,
83.35833,5,lp1,,,
83.85828,1,4-1,,,
83.85828,2,4-1,,,
83.85828,3,2-3,,,
83.85828,4,4-1,,,
83.85828,5,1-2,,,
84.22491,1,j1-2,,,
84.22491,2,j1-2,,,
84.22491,3,j3-4,,,
84.22491,4,j1-2,,,
84.22491,5,j2-3,,,
84.59154,1,lp2,,,
84.59154,2,lp2,,,
84.59154,3,lp4,,,
84.59154,4,lp2,,,
84.59154,5,lp3,,,
84.82485,3,j4-1,,,
84.85817999999999,MOT_mc_stage_color_00,y-flash,,
84.85817999999999,MOT_mc_bg_black_00,b0-20,,
85.19148,3,j1-2,,,
85.75809,3,j2-3,,,
86.12472,3,3-4,,,
86.49135,3,lp4,,,
86.79132,3,4-1,,,
87.12462,3,j1-2,,,
87.45792,3,lp2,,,
88.49114999999999,MOT_mc_stage_color_00,b-flash,,
88.55780999999999,2,2-3,,,
88.55780999999999,3,2-3,,,
88.55780999999999,4,2-3,,,
88.55780999999999,5,3-4,,,
88.55780999999999,1,j2-3,,,
88.95777,MOT_mc_stage_color_00,b-flash,,
89.19108,1,j3-4,,,
89.49105,2,w3,,,
89.49105,3,w3,,,
89.49105,4,w3,,,
89.49105,5,w4,,,
89.62437,1,j4-1,,,
90.02432999999999,1,lp1,,,
90.6576,1,1-2,,,
91.19087999999999,1,2-3,,,
91.69082999999999,1,3-4,,,
92.15745,1,4-1,,,
92.15745,2,3-4,,,
92.15745,3,3-4,,,
92.15745,4,3-4,,,
92.15745,5,4-1,,,
92.49074999999999,1,j1-2,,,
92.49074999999999,2,j4-1,,,
92.49074999999999,3,j4-1,,,
92.49074999999999,4,j4-1,,,
92.49074999999999,5,j1-2,,,
92.75739,MOT_mc_stage_color_00,r-flash,,
92.75739,MOT_mc_bg_black_00,b20-0,,
92.82405,1,lp2,,,
92.82405,2,lp1,,,
92.82405,3,lp1,,,
92.82405,4,lp1,,,
92.82405,5,lp2,,,
93.52398,1,j2-3,,,
93.52398,2,j1-2,,,
93.52398,3,j1-2,,,
93.52398,4,j1-2,,,
93.52398,5,j2-3,,,
93.85728,1,sp3-4,,,
93.85728,2,sp2-3,,,
93.85728,3,sp2-3,,,
93.85728,4,sp2-3,,,
93.85728,5,sp3-4,,,
96.3237,1,j4-1,,,
96.3237,2,j3-4,,,
96.3237,3,j3-4,,,
96.3237,4,j3-4,,,
96.3237,5,j4-1,,,
97.19028,1,j1-2,,,
97.19028,2,j4-1,,,
97.19028,3,j4-1,,,
97.19028,4,j4-1,,,
97.19028,5,j1-2,,,
98.15684999999999,1,2-3,,,
98.15684999999999,2,1-2,,,
98.15684999999999,3,1-2,,,
98.15684999999999,4,1-2,,,
98.15684999999999,5,2-3,,,
98.62347,1,j3-4,,,
98.75679,MOT_mc_stage_color_00,y-flash,,
99.05676,2,j2-3,,,
99.05676,3,j2-3,,,
99.09008999999999,4,w2,,,
99.09008999999999,5,w3,,,
99.25674,MOT_mc_stage_color_00,b-flash,,
99.49005,4,j2-3,,,
99.49005,5,j3-4,,,
99.69003,1,w4,,,
99.75668999999999,MOT_mc_stage_color_00,r-flash,,
99.75668999999999,MOT_mc_bg_black_00,b0-20,,
100.05666,1,4-1,,,
100.05666,2,3-4,,,
100.05666,3,3-4,,,
100.05666,4,3-4,,,
100.05666,5,4-1,,,
100.38996,1,lp1,,,
100.38996,2,lp4,,,
100.38996,3,lp4,,,
100.38996,4,lp4,,,
100.38996,5,lp1,,,
101.88981,1,1-2,,,
101.88981,2,4-1,,,
101.88981,3,4-1,,,
101.88981,4,4-1,,,
101.88981,5,1-2,,,
102.22310999999999,1,lp2,,,
102.22310999999999,2,lp1,,,
102.22310999999999,3,lp1,,,
102.22310999999999,4,lp1,,,
102.22310999999999,5,lp2,,,
103.75628999999999,1,2-3,,,
103.75628999999999,2,1-2,,,
103.75628999999999,3,1-2,,,
103.75628999999999,4,1-2,,,
103.75628999999999,5,2-3,,,
104.08959,1,lp3,,,
104.08959,2,lp2,,,
104.08959,3,lp2,,,
104.08959,4,lp2,,,
104.08959,5,lp3,,,
105.52278,1,j3-4,,,
105.52278,2,j2-3,,,
105.52278,3,j2-3,,,
105.52278,4,j2-3,,,
105.52278,5,j3-4,,,
105.95607,1,j4-1,,,
105.95607,2,j3-4,,,
105.95607,3,j3-4,,,
105.95607,4,j3-4,,,
105.95607,5,j4-1,,,
106.42268999999999,1,j1-2,,,
106.42268999999999,2,j4-1,,,
106.42268999999999,3,j4-1,,,
106.42268999999999,4,j4-1,,,
106.42268999999999,5,j1-2,,,
107.48925,2,w1,,,
107.48925,3,w1,,,
107.48925,4,w1,,,
107.48925,1,w2,,,
107.48925,5,w2,,,
107.55591,1,2-3,,,
107.55591,2,1-2,,,
107.55591,3,1-2,,,
107.55591,4,1-2,,,
107.55591,5,2-3,,,
107.65589999999999,MOT_mc_stage_color_00,y-flash,,
107.65589999999999,MOT_mc_bg_black_00,b20-45,,
107.65589999999999,MOT_mc_light_center_00,04b,,
108.05586,1,j3-4,,,
108.05586,2,j2-3,,,
108.05586,3,j2-3,,,
108.05586,4,j2-3,,,
108.05586,5,j3-4,,,
108.52248,1,j4-1,,,
108.52248,2,j3-4,,,
108.52248,3,j3-4,,,
108.52248,4,j3-4,,,
108.52248,5,j4-1,,,
108.95577,1,lp1,,,
108.95577,2,lp4,,,
108.95577,3,lp4,,,
108.95577,4,lp4,,,
108.95577,5,lp1,,,
109.75569,1,1-2,,,
109.75569,2,sp4-1,l1,,
109.75569,4,sp4-1,l1,,
109.75569,3,sp4-1,r1,,
109.75569,5,sp1-2,r1,,
110.12232,1,j2-3,,,
110.12232,2,,lb0,,
110.12232,4,,lb0,,
110.12232,3,,rb0,,
110.12232,5,,rb0,,
110.45562,2,1-2,l1,,
110.45562,4,1-2,l1,,
110.45562,3,1-2,r1,,
110.45562,5,2-3,r1,,
110.48894999999999,1,lp3,,,
110.75559,2,lp2,,,
110.75559,3,lp2,,,
110.75559,4,lp2,,,
110.75559,5,lp3,,,
111.52217999999999,1,3-4,,,
111.52217999999999,2,2-3,,,
111.52217999999999,3,2-3,,,
111.52217999999999,4,2-3,,,
111.52217999999999,5,3-4,,,
111.95546999999999,1,4-1,,,
111.95546999999999,2,3-4,,,
111.95546999999999,3,3-4,,,
111.95546999999999,4,3-4,,,
111.95546999999999,5,4-1,,,
112.32209999999999,1,1-2,,,
112.32209999999999,2,4-1,,,
112.32209999999999,3,4-1,,,
112.32209999999999,4,4-1,,,
112.32209999999999,5,1-2,,,
112.68872999999999,1,lp2,,,
112.68872999999999,2,lp1,,,
112.68872999999999,3,lp1,,,
112.68872999999999,4,lp1,,,
112.68872999999999,5,lp2,,,
113.62196999999999,MOT_mc_stage_color_00,b-flash,,
113.62196999999999,1,sp2-3,,,
113.62196999999999,2,sp1-2,,,
113.62196999999999,3,sp1-2,,,
113.62196999999999,4,sp1-2,,,
113.62196999999999,5,sp2-3,,,
114.12191999999999,MOT_mc_stage_color_00,r-flash,,
114.62187,MOT_mc_stage_color_00,y-flash,,
114.88851,1,j3-4,,,
114.88851,2,j2-3,,,
114.88851,3,j2-3,,,
114.88851,4,j2-3,,,
114.88851,5,j3-4,,,
115.05516,MOT_mc_stage_color_00,b-flash,,
115.3218,1,lp4,,,
115.3218,2,lp3,,,
115.3218,3,lp3,,,
115.3218,4,lp3,,,
115.3218,5,lp4,,,
116.32169999999999,1,j4-1,,,
116.32169999999999,2,j3-4,,,
116.32169999999999,3,j3-4,,,
116.32169999999999,4,j3-4,,,
116.32169999999999,5,j4-1,,,
116.78832,1,1-2,,,
116.78832,2,4-1,,,
116.78832,3,4-1,,,
116.78832,4,4-1,,,
116.78832,5,1-2,,,
117.28827,1,2-3,,,
117.28827,2,1-2,,,
117.28827,3,1-2,,,
117.28827,4,1-2,,,
117.28827,5,2-3,,,
117.72156,1,j3-4,,,
117.72156,2,j2-3,,,
117.72156,3,j2-3,,,
117.72156,4,j2-3,,,
117.72156,5,j3-4,,,
118.08819,1,lp4,,,
118.08819,2,lp3,,,
118.08819,3,lp3,,,
118.08819,4,lp3,,,
118.08819,5,lp4,,,
118.6548,4,j3-4,,,
118.6548,5,j4-1,,,
118.75479,MOT_mc_stage_color_00,r-flash,,
118.82145,2,j3-4,,,
118.82145,3,j3-4,,,
118.98809999999999,1,j4-1,,,
119.48805,1,j1-2,,,
119.48805,2,4-1,lb0,,
119.48805,3,4-1,rb0,,
119.48805,4,4-1,lb0,,
119.48805,5,1-2,rb0,,
119.85467999999999,1,lp2,,,
119.85467999999999,2,lp1,,,
119.85467999999999,3,lp1,,,
119.85467999999999,4,lp1,,,
119.85467999999999,5,lp2,,,
120.45461999999999,1,j2-3,,,
