0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_back_00,lt_1,,
3.16635,MOT_mc_stage_color_00,y-flash,,
3.16635,MOT_mc_back_00,lt_4,,
3.16635,MOT_mc_light_center_00,lt_4,,
18.59814,3,j4-1,,,
18.59814,4,j4-1,,,
18.9981,1,2-3,,,
18.9981,2,1-2,,,
18.9981,3,1-2,,,
18.9981,4,1-2,,,
19.364729999999998,1,j3-4,,,
19.364729999999998,2,j2-3,,,
19.364729999999998,3,j2-3,,,
19.364729999999998,4,j2-3,,,
19.83135,4,3-4,,,
19.89801,2,3-4,,,
19.964669999999998,1,4-1,,,
20.03133,3,3-4,,,
20.597939999999998,1,hj1,,,
20.597939999999998,2,hj4,,,
20.597939999999998,3,hj4,,,
20.597939999999998,4,hj4,,,
21.13122,MOT_control_all,zoom03,,
21.56451,MOT_mc_back_00,lt_1,,
21.56451,1,1-2,,,
21.56451,3,4-1,,,
21.56451,4,4-1,,,
21.56451,2,4-1,,f1,L0
22.09779,2,1-2,r1,,
22.49775,4,w1,,,
22.49775,3,w1,,,
22.49775,1,w2,,,
22.53108,2,,r2,,
22.831049999999998,2,lp2,,,
23.231009999999998,2,2-3,,,
23.630969999999998,2,j3-4,,,
24.264239999999997,2,,rb1,,
24.59754,2,lp4,,,
24.9975,2,hj4,,,
25.897409999999997,2,lp4,,,
26.264039999999998,1,2-3,,,
26.264039999999998,2,4-1,,,
26.264039999999998,3,1-2,,,
26.264039999999998,4,1-2,,,
26.59734,1,sj3,,,
26.59734,2,sj1,,,
26.59734,3,sj2,,,
26.59734,4,sj2,,,
26.93064,1,3-4,,,
26.93064,2,1-2,,,
26.93064,3,2-3,,,
26.93064,4,2-3,,,
27.3306,1,j4-1,,,
27.3306,2,j2-3,,,
27.3306,3,j3-4,,,
27.3306,4,j3-4,,,
28.097189999999998,2,3-4,rb0,,
28.39716,4,w4,,,
28.39716,3,w4,,,
28.39716,1,w1,,,
28.930439999999997,2,,l1,,
29.03043,2,w4,,,
29.36373,2,lp4,,,
29.997,2,4-1,,,
30.39696,2,j1-2,,,
30.963569999999997,2,lp2,,,
31.6635,2,2-3,lb0,,
32.263439999999996,2,lp3,,,
32.663399999999996,1,1-2,,,
32.663399999999996,2,3-4,,,
32.663399999999996,3,4-1,,,
32.663399999999996,4,4-1,,,
33.03003,1,2-3,,,
33.03003,2,4-1,,,
33.03003,3,1-2,,,
33.03003,4,1-2,,,
33.463319999999996,1,j3-4,,,
33.463319999999996,2,j1-2,,,
33.463319999999996,3,j2-3,,,
33.463319999999996,4,j2-3,,,
33.59664,MOT_control_all,zoom04,,
34.02993,2,2-3,,b0,D40
34.02993,3,3-4,,f1,L0
34.52988,4,w3,,,
34.52988,1,w4,,,
34.59654,3,4-1,,,
34.96317,2,w3,,,
34.9965,3,j1-2,,,
35.59644,3,2-3,l1,,
36.02973,3,lp3,,,
36.46302,3,3-4,lb0,,
36.86298,MOT_control_all,zoom05,,
37.162949999999995,3,4-1,,b0,D40
37.162949999999995,4,3-4,,f1,L0
37.86288,4,4-1,r1,,
38.09619,3,w1,,,
38.26284,4,,r2,,
38.69613,4,1-2,,,
39.02943,4,j2-3,,,
39.39606,4,3-4,rb1,,
39.79602,4,,rb0,,
40.29597,MOT_control_all,zoom06,,
40.329299999999996,4,w4,,,
40.42929,4,4-1,,b0,D40
40.42929,1,4-1,,f1,L0
40.96257,1,1-2,,,
41.3292,1,j2-3,,,
41.36253,4,w1,,,
41.82915,1,sp3-4,,,
42.795719999999996,1,j4-1,,,
43.329,1,1-2,,,
43.96227,1,2-3,,,
44.462219999999995,1,lp3,,,
44.62887,1,j3-4,,,
45.09549,1,lp4,,,
45.662099999999995,4,1-2,,,
45.72876,2,3-4,,,
45.79542,1,4-1,,,
45.86208,3,1-2,,,
46.22871,3,2-3,,,
46.29537,1,1-2,,,
46.36203,2,4-1,,,
46.428689999999996,4,2-3,,,
46.462019999999995,MOT_control_all,zoom06_2,,
47.12862,MOT_control_all,zoom07,,
47.12862,MOT_mc_light_center_00,lt_1,,
47.12862,MOT_mc_special_03,blue,,
47.12862,2,1-2,,f1,L0
47.12862,1,2-3,,b0,D40
47.16195,3,w3,,,
47.36193,4,w3,,,
47.728559999999995,2,lp2,,,
48.061859999999996,1,w3,,,
48.22851,2,2-3,,,
48.72846,2,j3-4,,,
49.22841,2,lp4,,,
49.92834,2,4-1,l1,,
50.3283,2,,l2,,
50.69493,2,,l3,,
50.86158,2,w1,,,
51.06156,2,j1-2,,,
51.56151,2,lp2,,,
52.094789999999996,2,2-3,lb2,,
52.46142,2,lp3,,,
52.79472,2,w3,lb1,,
53.22801,2,3-4,lb0,,
53.727959999999996,2,j4-1,,,
54.127919999999996,2,lp1,,,
55.29447,2,hj1,,,
56.194379999999995,2,1-2,r1,,
56.76099,2,j2-3,,,
57.3276,2,3-4,rb0,,
57.760889999999996,2,lp4,,,
57.96087,MOT_control_all,zoom08,,
58.56081,3,3-4,,f1,L0
58.56081,2,4-1,,b0,D40
59.060759999999995,3,j4-1,,,
59.3274,1,3-4,,,
59.3274,4,3-4,,,
59.3274,2,1-2,,,
59.59404,3,1-2,,,
59.794019999999996,1,4-1,,,
59.794019999999996,4,4-1,,,
59.794019999999996,2,2-3,,,
60.12732,3,j2-3,,,
60.260639999999995,1,j1-2,,,
60.260639999999995,4,j1-2,,,
60.260639999999995,2,j3-4,,,
60.660599999999995,3,lp3,,,
61.3272,4,w2,,,
61.3272,2,w4,,,
61.3272,1,w2,,,
61.460519999999995,3,3-4,,,
61.860479999999995,3,j4-1,,,
62.360429999999994,3,lp1,,,
62.79372,MOT_control_all,zoom09,,
63.29367,4,2-3,,f1,L0
63.29367,3,1-2,,b0,D40
63.72696,4,lp3,,,
63.9936,4,3-4,l1,,
64.22691,3,w2,,,
64.46021999999999,4,lp4,,,
65.02683,4,4-1,,,
65.46012,4,lp1,,,
65.86008,4,sp1-2,,,
66.79332,4,2-3,lb0,,
67.29326999999999,4,lp3,,,
67.92654,1,2-3,,,
67.92654,2,4-1,,,
67.92654,3,2-3,,,
68.29317,1,sj3,,,
68.29317,2,sj1,,,
68.29317,3,sj3,,,
68.65979999999999,1,j3-4,,,
68.65979999999999,2,j1-2,,,
68.65979999999999,3,j3-4,,,
69.72636,3,w4,,,
69.72636,2,w2,,,
69.72636,1,w4,,,
69.89301,MOT_control_all,zoom10,,
70.19297999999999,1,4-1,,f1,L0
70.19297999999999,4,3-4,,b0,D40
70.62626999999999,1,1-2,,,
70.95957,1,sp2-3,,,
71.12622,4,w4,,,
71.55951,1,hj3,,,
71.89281,4,4-1,,,
72.02613,2,2-3,,,
72.15944999999999,3,4-1,,,
72.39276,1,lp3,,,
72.39276,MOT_all,cut03,,
72.42609,MOT_mc_stage_color_00,b-flash,,
72.42609,MOT_control_all,zoom11,,
72.69273,MOT_mc_back_00,lt_3,,
72.69273,MOT_mc_light_center_00,lt_3,,
72.79272,1,3-4,,,
72.79272,2,3-4,,f1,L0
72.79272,3,1-2,,f1,L0
72.79272,4,1-2,,f1,L0
72.82605,MOT_mc_special_03,sabi,,
73.15935,MOT_control_all,zoom11_2,,
73.35933,1,4-1,,,
73.35933,2,4-1,,,
73.35933,3,2-3,,,
73.35933,4,2-3,,,
73.92594,1,j1-2,,,
73.92594,2,j1-2,,,
73.92594,3,j3-4,,,
73.92594,4,j3-4,,,
74.45922,1,lp2,,,
74.45922,2,lp2,,,
74.45922,3,lp4,,,
74.45922,4,lp4,,,
74.85918,1,2-3,r1,,
74.85918,2,2-3,l1,,
74.85918,3,4-1,l1,,
74.85918,4,4-1,r1,,
75.29247,1,lp3,,,
75.29247,2,lp3,,,
75.29247,3,lp1,,,
75.29247,4,lp1,,,
75.62577,1,w3,rb0,,
75.62577,2,w3,lb0,,
75.62577,3,w1,lb0,,
75.62577,4,w1,rb0,,
76.15905,1,3-4,,,
76.15905,2,3-4,,,
76.15905,3,1-2,,,
76.15905,4,1-2,,,
76.59234,1,4-1,r1,,
76.59234,2,4-1,l1,,
76.59234,3,2-3,r1,,
76.59234,4,2-3,l1,,
76.9923,1,lp1,,,
76.9923,2,lp1,,,
76.9923,3,lp3,,,
76.9923,4,lp3,,,
77.25894,1,w1,r2,,
77.25894,2,w1,l2,,
77.25894,3,w3,r2,,
77.25894,4,w3,l2,,
77.75889,1,j1-2,,,
77.75889,2,j1-2,,,
77.75889,3,j3-4,,,
77.75889,4,j3-4,,,
78.15885,1,lp2,,,
78.15885,2,lp2,,,
78.15885,3,lp4,,,
78.15885,4,lp4,,,
78.39215999999999,1,2-3,rb1,,
78.39215999999999,2,2-3,lb1,,
78.39215999999999,3,4-1,rb1,,
78.39215999999999,4,4-1,lb1,,
78.79212,1,,rb0,,
78.79212,2,,lb0,,
78.79212,3,,r2,,
78.79212,4,,l2,,
79.09209,1,lp3,,,
79.09209,2,lp3,,,
79.09209,3,lp1,,,
79.09209,4,lp1,,,
79.3254,1,3-4,r1,,
79.3254,2,3-4,l1,,
79.3254,3,1-2,rb1,,
79.3254,4,1-2,lb1,,
79.79202,1,lp4,,,
79.79202,2,lp4,,,
79.79202,3,lp2,,,
79.79202,4,lp2,,,
80.15865,1,4-1,,,
80.15865,2,4-1,,,
80.15865,3,2-3,,,
80.15865,4,2-3,,,
80.62527,1,lp1,,,
80.62527,2,lp1,,,
80.62527,3,lp3,,,
80.62527,4,lp3,,,
81.22520999999999,4,3-4,,,
81.29187,2,1-2,,,
81.35853,1,1-2,,,
81.42519,3,3-4,,,
81.82515,1,lp2,,,
81.82515,2,lp2,,,
81.82515,3,lp4,,,
81.82515,4,lp4,,,
82.12512,3,4-1,,,
82.19178,1,2-3,,,
82.25844,2,2-3,,,
82.32509999999999,4,4-1,,,
82.69172999999999,1,lp3,,,
82.69172999999999,2,lp3,,,
82.69172999999999,3,lp1,,,
82.69172999999999,4,lp1,,,
83.19167999999999,1,3-4,r2,,
83.19167999999999,2,3-4,l2,,
83.19167999999999,3,1-2,rb0,,
83.19167999999999,4,1-2,lb0,,
83.55830999999999,1,lp4,,,
83.55830999999999,2,lp4,,,
83.55830999999999,3,lp2,,,
83.55830999999999,4,lp2,,,
83.95827,1,,rb1,,
83.95827,2,,lb1,,
83.95827,3,,l1,,
83.95827,4,,r1,,
84.45822,1,4-1,rb0,,
84.45822,2,4-1,lb0,,
84.45822,3,2-3,lb0,,
84.45822,4,2-3,rb0,,
84.92484,1,lp1,,,
84.92484,2,lp1,,,
84.92484,3,lp3,,,
84.92484,4,lp3,,,
85.29146999999999,1,1-2,,,
85.29146999999999,2,1-2,,,
85.29146999999999,3,3-4,,,
85.29146999999999,4,3-4,,,
85.75809,1,j2-3,,,
85.75809,2,j2-3,,,
85.75809,3,j4-1,,,
85.75809,4,j4-1,,,
86.25804,1,lp3,,,
86.25804,2,lp3,,,
86.25804,3,lp1,,,
86.25804,4,lp1,,,
86.32469999999999,MOT_mc_stage_color_00,b-flash,,
86.32469999999999,MOT_control_all,zoom12,,
86.52467999999999,1,3-4,,,D20
86.52467999999999,2,3-4,,,D20
86.52467999999999,3,1-2,,,D20
86.52467999999999,4,1-2,,f2,
86.89130999999999,4,lp2,,,
87.12462,4,2-3,,,
87.45792,3,w2,,,
87.45792,2,w4,,,
87.45792,1,w4,,,
87.55790999999999,4,lp3,,,
87.82455,4,j3-4,,,
88.25784,4,lp4,,,
88.49114999999999,4,4-1,,,
88.92443999999999,4,lp1,,,
89.62437,MOT_mc_stage_color_00,b-flash,,
89.62437,MOT_control_all,zoom13,,
89.82435,1,4-1,,f2,L0
89.82435,1,1-2,,,L0
89.82435,2,4-1,,f2,L0
89.82435,3,2-3,,f2,L0
89.82435,4,1-2,,,
90.3243,1,2-3,l1,,
90.3243,2,1-2,r1,,
90.3243,3,3-4,l1,,
90.3243,4,2-3,r1,,
90.6576,1,lp3,,,
90.6576,2,lp2,,,
90.6576,3,lp4,,,
90.6576,4,lp3,,,
91.02423,1,3-4,lb0,,
91.02423,2,2-3,rb0,,
91.02423,3,4-1,lb0,,
91.02423,4,3-4,rb0,,
91.49085,1,lp4,,,
91.49085,2,lp3,,,
91.49085,3,lp1,,,
91.49085,4,lp4,,,
91.79082,1,4-1,r1,,
91.79082,2,3-4,l1,,
91.79082,3,1-2,r1,,
91.79082,4,4-1,l1,,
92.29077,1,j1-2,,,
92.29077,2,j4-1,,,
92.29077,3,j2-3,,,
92.29077,4,j1-2,,,
92.79072,1,lp2,,,
92.79072,2,lp1,,,
92.79072,3,lp3,,,
92.79072,4,lp2,,,
92.99069999999999,MOT_mc_stage_color_00,b-flash,,
92.99069999999999,MOT_control_all,zoom14,,
93.05736,1,2-3,,,
93.05736,2,1-2,,b1,D20
93.05736,3,3-4,,b1,D20
93.05736,4,2-3,,b1,D20
93.52398,1,lp3,,,
93.82395,1,j3-4,,,
93.9906,4,w3,,,
93.9906,3,w4,,,
93.9906,2,w2,,,
94.45721999999999,4,3-4,,,
94.52387999999999,2,2-3,,,
94.59053999999999,1,j4-1,,,
94.65719999999999,3,4-1,,,
95.02382999999999,1,lp1,,,
95.02382999999999,2,lp3,,,
95.02382999999999,3,lp1,,,
95.02382999999999,4,lp4,,,
95.35713,3,1-2,,,
95.42379,1,j1-2,,,
95.49045,2,3-4,,,
95.55711,4,4-1,,,
96.02373,1,2-3,,,
96.02373,2,4-1,,f2,L0
96.02373,3,2-3,,f2,L0
96.02373,4,1-2,,f2,L0
96.39036,MOT_mc_stage_color_00,b-flash,,
96.39036,MOT_control_all,zoom15,,
96.49034999999999,1,j3-4,,,
96.49034999999999,2,j1-2,,,
96.49034999999999,3,j3-4,,,
96.49034999999999,4,j2-3,,,
96.85698,1,sp4-1,,,
96.85698,2,sp2-3,,,
96.85698,3,sp4-1,,,
96.85698,4,sp3-4,,,
97.72355999999999,1,1-2,,,
97.72355999999999,2,3-4,,,
97.72355999999999,3,1-2,,,
97.72355999999999,4,4-1,,,
98.19018,1,2-3,,,
98.19018,2,4-1,,,
98.19018,3,2-3,,,
98.19018,4,1-2,,,
98.69013,1,j3-4,,,
98.69013,2,j1-2,,,
98.69013,3,j3-4,,,
98.69013,4,j2-3,,,
99.22341,MOT_mc_stage_color_00,b-flash,,
99.22341,MOT_mc_back_00,lt_4,,
99.22341,MOT_mc_light_center_00,lt_4,,
99.35673,1,j4-1,,,
99.35673,2,lp2,,,
99.35673,3,lp4,,,
99.35673,4,lp3,,,
99.6567,MOT_mc_stage_color_00,r-flash,,
99.72336,4,j3-4,,,
100.08999,3,j4-1,,,
100.12331999999999,MOT_mc_stage_color_00,y-flash,,
100.42329,1,w1,,,
100.42329,2,j2-3,,,
100.55660999999999,MOT_mc_stage_color_00,r-flash,,
100.78992,4,w4,,,
100.95657,MOT_mc_stage_color_00,y-flash,,
100.95657,1,j1-2,,,D40
100.95657,2,j3-4,,,D40
100.95657,3,j1-2,,,D40
100.95657,4,j4-1,,,D40
100.95657,MOT_all,cut04,,
100.98989999999999,MOT_mc_back_00,lt_1,,
100.98989999999999,MOT_mc_light_center_00,lt_1,,
100.98989999999999,MOT_mc_special_03,end,,
101.55650999999999,1,lp2,,,
101.55650999999999,2,lp4,,,
101.55650999999999,3,lp2,,,
101.55650999999999,4,lp1,,,
102.02313,MOT_mc_stage_color_00,b-flash,,
102.15644999999999,MOT_control_all,zoom15_2,,
102.15644999999999,MOT_mc_back_00,lt_3,,
102.15644999999999,MOT_mc_light_center_00,lt_3,,
102.15644999999999,MOT_mc_special_03,sabi,,
102.18978,1,2-3,rb0,,
102.18978,2,4-1,lb0,,
102.18978,3,2-3,rb0,,
102.18978,4,1-2,lb0,,
102.18978,1,,,,L0
102.18978,2,,,,L0
102.18978,3,,,,L0
102.18978,4,,,,L0
102.75639,1,3-4,,,
102.75639,2,1-2,,,
102.75639,3,3-4,,,
102.75639,4,2-3,,,
103.323,1,j4-1,,,
103.323,2,j2-3,,,
103.323,3,j4-1,,,
103.323,4,j3-4,,,
103.85628,1,lp1,,,
103.85628,2,lp3,,,
103.85628,3,lp1,,,
103.85628,4,lp4,,,
104.25623999999999,1,1-2,r1,,
104.25623999999999,2,3-4,l1,,
104.25623999999999,3,1-2,l1,,
104.25623999999999,4,4-1,r1,,
104.68952999999999,1,lp2,,,
104.68952999999999,2,lp4,,,
104.68952999999999,3,lp2,,,
104.68952999999999,4,lp1,,,
105.02283,1,w2,rb0,,
105.02283,2,w4,lb0,,
105.02283,3,w2,lb0,,
105.02283,4,w1,rb0,,
105.55610999999999,1,2-3,,,
105.55610999999999,2,4-1,,,
105.55610999999999,3,2-3,,,
105.55610999999999,4,1-2,,,
105.98939999999999,1,3-4,r1,,
105.98939999999999,2,1-2,l1,,
105.98939999999999,3,3-4,r1,,
105.98939999999999,4,2-3,l1,,
106.38936,1,lp4,,,
106.38936,2,lp2,,,
106.38936,3,lp4,,,
106.38936,4,lp3,,,
106.65599999999999,1,w4,r2,,
106.65599999999999,2,w2,l2,,
106.65599999999999,3,w4,r2,,
106.65599999999999,4,w3,l2,,
107.15594999999999,1,j4-1,,,
107.15594999999999,2,j2-3,,,
107.15594999999999,3,j4-1,,,
107.15594999999999,4,j3-4,,,
107.55591,1,lp1,,,
107.55591,2,lp3,,,
107.55591,3,lp1,,,
107.55591,4,lp4,,,
107.78922,1,1-2,rb1,,
107.78922,2,3-4,lb1,,
107.78922,3,1-2,rb1,,
107.78922,4,4-1,lb1,,
108.18918,1,,rb0,,
108.18918,2,,lb0,,
108.18918,3,,r2,,
108.18918,4,,l2,,
108.48915,1,lp2,,,
108.48915,2,lp4,,,
108.48915,3,lp2,,,
108.48915,4,lp1,,,
108.72246,1,2-3,r1,,
108.72246,2,4-1,l1,,
108.72246,3,2-3,rb1,,
108.72246,4,1-2,lb1,,
109.18907999999999,1,lp3,,,
109.18907999999999,2,lp1,,,
109.18907999999999,3,lp3,,,
109.18907999999999,4,lp2,,,
109.55570999999999,1,3-4,,,
109.55570999999999,2,1-2,,,
109.55570999999999,3,3-4,,,
109.55570999999999,4,2-3,,,
110.02233,1,lp4,,,
110.02233,2,lp2,,,
110.02233,3,lp4,,,
110.02233,4,lp3,,,
110.62227,4,3-4,,,
110.68893,2,2-3,,,
110.75559,1,4-1,,,
110.82225,3,4-1,,,
111.22220999999999,1,lp1,,,
111.22220999999999,2,lp3,,,
111.22220999999999,3,lp1,,,
111.22220999999999,4,lp4,,,
111.52217999999999,3,1-2,,,
111.58883999999999,1,1-2,,,
111.65549999999999,2,3-4,,,
111.72215999999999,4,4-1,,,
112.08878999999999,1,lp2,,,
112.08878999999999,2,lp4,,,
112.08878999999999,3,lp2,,,
112.08878999999999,4,lp1,,,
112.58874,1,2-3,r2,,
112.58874,2,4-1,l2,,
112.58874,3,2-3,rb0,,
112.58874,4,1-2,lb0,,
112.95537,1,lp3,,,
112.95537,2,lp1,,,
112.95537,3,lp3,,,
112.95537,4,lp2,,,
113.35533,1,,rb1,,
113.35533,2,,lb1,,
113.35533,3,,l1,,
113.35533,4,,r1,,
113.85528,1,3-4,rb0,,
113.85528,2,1-2,lb0,,
113.85528,3,3-4,lb0,,
113.85528,4,2-3,rb0,,
114.3219,1,lp4,,,
114.3219,2,lp2,,,
114.3219,3,lp4,,,
114.3219,4,lp3,,,
114.68853,1,4-1,,,
114.68853,2,2-3,,,
114.68853,3,4-1,,,
114.68853,4,3-4,,,
115.15514999999999,1,j1-2,,,
115.15514999999999,2,j3-4,,,
115.15514999999999,3,j1-2,,,
115.15514999999999,4,j4-1,,,
115.65509999999999,1,lp2,,,
115.65509999999999,2,lp4,,,
115.65509999999999,3,lp2,,,
115.65509999999999,4,lp1,,,
115.72175999999999,MOT_mc_stage_color_00,b-flash,,
115.72175999999999,MOT_control_all,zoom16,,
115.92174,2,4-1,,,
115.92174,1,2-3,,b1,D20
115.92174,3,2-3,,b1,D20
115.92174,4,1-2,,b1,D20
116.28837,2,lp1,,,
116.52167999999999,2,1-2,l1,,
116.85498,4,w2,,,
116.85498,3,w3,,,
116.85498,1,w3,,,
116.92164,2,lp2,,,
117.22161,2,w2,lb0,,
117.55490999999999,2,lp2,,,
117.88821,2,2-3,,,
118.3215,2,lp3,,,
118.85477999999999,MOT_mc_stage_color_00,b-flash,,
118.85477999999999,MOT_control_all,zoom17,,
119.22140999999999,1,3-4,,f2,L0
119.22140999999999,2,3-4,,,
119.22140999999999,3,3-4,,f2,L0
119.22140999999999,4,2-3,,f2,L0
119.72135999999999,1,4-1,l1,,
119.72135999999999,2,4-1,r1,,
119.72135999999999,3,4-1,l1,,
119.72135999999999,4,3-4,r1,,
120.05466,1,lp1,,,
120.05466,2,lp1,,,
120.05466,3,lp1,,,
120.05466,4,lp4,,,
120.42129,1,1-2,lb0,,
120.42129,2,1-2,rb0,,
120.42129,3,1-2,lb0,,
120.42129,4,4-1,rb0,,
120.88790999999999,1,lp2,,,
120.88790999999999,2,lp2,,,
120.88790999999999,3,lp2,,,
120.88790999999999,4,lp1,,,
121.18787999999999,1,2-3,r1,,
121.18787999999999,2,2-3,l1,,
121.18787999999999,3,2-3,r1,,
121.18787999999999,4,1-2,l1,,
121.68782999999999,1,j3-4,,,
121.68782999999999,2,j3-4,,,
121.68782999999999,3,j3-4,,,
121.68782999999999,4,j2-3,,,
122.18777999999999,MOT_mc_stage_color_00,b-flash,,
122.18777999999999,MOT_control_all,zoom18,,
122.18777999999999,1,lp4,,,
122.18777999999999,2,lp4,,,
122.18777999999999,3,lp4,,,
122.18777999999999,4,lp3,,,
122.45442,1,4-1,,b1,D20
122.45442,2,4-1,,b1,D20
122.45442,3,4-1,,,
122.45442,4,3-4,,b1,D20
122.92103999999999,3,lp1,,,
123.22100999999999,3,j1-2,,,
123.38766,4,w4,,,
123.38766,2,w1,,,
123.38766,1,w1,,,
123.62097,3,lp2,,,
123.85427999999999,4,4-1,,,
123.92093999999999,2,1-2,,,
123.9876,1,1-2,,,
124.05426,3,j2-3,,,
124.42089,3,lp3,,,
124.75419,3,j3-4,,,
124.78752,4,w1,,,
124.82085,1,2-3,,,
124.85418,2,w2,,,
124.88750999999999,2,2-3,,,
124.95416999999999,4,1-2,,,
125.22081,3,lp4,,,
125.38745999999999,MOT_mc_stage_color_00,b-flash,,
125.38745999999999,MOT_control_all,zoom19,,
125.75408999999999,1,3-4,,f2,L0
125.75408999999999,2,3-4,,f2,L0
125.75408999999999,3,4-1,,,
125.75408999999999,4,2-3,,f2,L0
126.25403999999999,1,sp4-1,,,
126.25403999999999,2,sp4-1,,,
126.25403999999999,3,sp1-2,,,
126.25403999999999,4,sp3-4,,,
127.12061999999999,1,1-2,,,
127.12061999999999,2,1-2,,,
127.12061999999999,3,2-3,,,
127.12061999999999,4,4-1,,,
127.58724,1,2-3,,b1,
127.58724,2,2-3,,b1,
127.58724,3,3-4,,b1,
127.58724,4,1-2,,b1,
128.08719,1,j3-4,,,
128.08719,2,j3-4,,,
128.08719,3,j4-1,,,
128.08719,4,j2-3,,,
128.58714,MOT_mc_stage_color_00,b-flash,,
128.75378999999998,1,j4-1,,,
128.75378999999998,2,lp4,,,
128.75378999999998,3,lp1,,,
128.75378999999998,4,lp3,,,
128.82045,MOT_mc_back_00,lt_4,,
128.82045,MOT_mc_light_center_00,lt_4,,
129.08709,MOT_mc_stage_color_00,r-flash,,
129.12042,4,j3-4,,,
129.48704999999998,3,j1-2,,,
129.55371,MOT_mc_stage_color_00,y-flash,,
129.82035,1,w1,,,
129.82035,2,j4-1,,,
130.05366,MOT_mc_stage_color_00,r-flash,,
130.15365,MOT_all,cut05,,
130.18698,4,w4,,,
130.35362999999998,1,j1-2,,,
130.35362999999998,2,j1-2,,,
130.35362999999998,3,j2-3,,,
130.35362999999998,4,j4-1,,,
130.48695,MOT_mc_back_00,lt_1,,
130.48695,MOT_mc_light_center_00,lt_1,,
130.48695,MOT_mc_special_03,end,,
131.42019,4,w1,,,
131.42019,3,w3,,,
131.42019,2,w2,,,
131.42019,1,w2,,,
