0.03333,MOT_mc_stage_color_00,b,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
2.23311,MOT_mc_back_00,in,,
2.23311,MOT_mc_special_01,1a,,
3.63297,MOT_control_all,z01,,
26.23071,1,2-3,,f1,
26.697329999999997,1,3-4,r5,,
27.13062,1,sj4,,,
27.16395,2,w3,,,
27.59724,1,4-1,,,
28.16385,1,lp1,,,
28.897109999999998,2,3-4,,,
28.897109999999998,1,1-2,,,
29.56371,1,2-3,,,
29.83035,2,w4,,,
30.163649999999997,1,lp3,,,
31.43019,2,4-1,,,
31.43019,1,3-4,,,
31.963469999999997,1,lp4,,,
32.03013,2,1-2,,,
32.630069999999996,2,2-3,,,
32.73006,1,4-1,,,
33.23001,1,j1-2,,,
33.56331,2,w3,,,
33.82995,1,lp2,,,
34.49655,1,j2-3,,,
35.096489999999996,1,sj3,,,
35.56311,1,3-4,rb4,,
36.09639,1,,rb3,,
36.49635,1,w4,,,
36.59634,1,lp4,,,
37.02963,1,j4-1,,,
37.6629,1,lp1,,,
38.362829999999995,1,1-2,,,
38.92944,1,lp2,,,
39.79602,MOT_control_all,z03,,
40.06266,MOT_mc_stage_color_00,r-b,,
40.06266,1,2-3,,b0,
40.06266,2,3-4,,f1,
40.06266,MOT_mc_back_00,1a_sae,,
40.06266,MOT_mc_special_01,powapowa_blue,,
40.06266,MOT_all,cut3,,
40.69593,2,j4-1,,,
40.9959,1,w3,,,
41.29587,2,lp1,,,
41.89581,2,1-2,l5,,
42.72906,2,lp2,,,
43.662299999999995,2,sp2-3,,,
44.52888,2,sj3,,,
45.02883,2,w3,,,
45.09549,2,j3-4,,,
45.662099999999995,2,4-1,,,
46.19538,2,lp1,,,
47.56191,2,1-2,lb4,,
48.128519999999995,2,,lb3,,
48.495149999999995,2,w2,,,
48.69513,2,lp2,,,
49.361729999999994,2,j2-3,,,
49.89501,2,3-4,l4,,
50.42829,2,lp4,,,
50.6616,2,w4,l5,,
51.16155,2,4-1,,,
51.728159999999995,2,1-2,,,
52.22811,2,lp2,,,
52.62807,2,j2-3,,,
53.22801,2,j3-4,,,
53.794619999999995,2,4-1,,,
54.227909999999994,2,j1-2,,,
54.86118,2,lp2,,,
55.52778,MOT_control_all,z04,,
55.761089999999996,2,2-3,,,
55.761089999999996,1,3-4,,f1,
55.761089999999996,MOT_mc_back_00,1B,,
55.761089999999996,MOT_mc_special_01,1B,,
55.761089999999996,MOT_all,cut4,,
56.39436,2,3-4,lb4,,
56.39436,1,4-1,rb2,,
56.86098,2,4-1,lb3,,
56.86098,1,1-2,rb1,,
57.360929999999996,2,sj1,,,
57.360929999999996,1,sj2,,,
57.860879999999995,2,w1,,,
57.860879999999995,1,w2,,,
57.92754,2,1-2,,,
57.92754,1,2-3,,,
58.52748,2,lp2,,,
58.52748,1,lp3,,,
59.027429999999995,2,j2-3,,,
59.027429999999995,1,j3-4,,,
59.6607,1,j4-1,,,
60.09399,2,w3,,,
60.12732,2,j3-4,,,
60.693929999999995,1,1-2,,,
60.693929999999995,2,4-1,,,
61.26054,1,j2-3,,,
61.26054,2,j1-2,,,
61.79382,2,2-3,,,
62.227109999999996,1,3-4,,,
62.660399999999996,1,j4-1,,,
62.660399999999996,2,j3-4,,,
62.9937,MOT_control_all,z05,,
63.22701,1,1-2,,,
63.22701,2,4-1,,b0,
63.72696,1,j2-3,,,
64.16024999999999,2,w1,,,
64.36023,1,3-4,,,
64.9935,1,j4-1,,,
65.52678,1,1-2,,,
66.3267,1,2-3,,b0,
66.62666999999999,MOT_control_all,z06,,
66.79332,2,1-2,,f1,
67.09329,2,lp2,,,
67.25994,1,w3,,,
67.72655999999999,2,j2-3,,,
68.05986,2,lp3,,,
68.42649,2,3-4,,,
68.92644,2,4-1,,b0,
69.25974,2,lp1,,,
69.42639,MOT_control_all,z07,,
69.52638,1,3-4,,f1,
69.95967,1,j4-1,,,
70.22631,2,1-2,,f1,
70.6596,2,j2-3,,,
70.75959,MOT_control_all,z09,,
70.92623999999999,1,1-2,,,
71.3262,2,3-4,lb2,,
71.3262,1,2-3,rb0,,
71.45952,MOT_all,cut5,,
71.75949,MOT_mc_stage_color_00,b-y,,
71.75949,MOT_control_all,z11,,
71.75949,1,j3-4,,,
71.75949,2,j4-1,,,
71.79281999999999,MOT_mc_back_00,last,,
71.79281999999999,MOT_mc_special_01,last,,
72.19278,1,lp4,,,
72.19278,2,lp1,,,
72.49275,1,4-1,l1,,
72.49275,2,1-2,lb1,,
72.9927,1,,l2,,
72.9927,2,,lb0,,
73.42599,2,w2,,,
73.42599,1,sp1-2,,,
73.42599,2,sp2-3,,,
74.25923999999999,1,2-3,lb1,,
74.25923999999999,2,3-4,l1,,
74.55921,1,lp3,,,
74.55921,2,lp4,,,
74.79252,1,w3,lb0,,
74.79252,2,w4,l2,,
75.22581,2,4-1,,f2,
75.85907999999999,2,sj1,,,
76.29236999999999,1,3-4,,f2,
76.35902999999999,2,w1,,,
76.79231999999999,1,sj4,,,
77.05896,1,4-1,,b1,
77.05896,2,1-2,,b1,
77.35893,1,lp1,,,
77.35893,2,lp2,,,
77.52557999999999,1,1-2,l1,,
77.52557999999999,2,2-3,lb1,,
77.92554,1,,l2,,
77.92554,2,,lb0,,
78.29217,1,,l3,,
78.29217,2,,r1,,
78.45882,2,w3,,,
78.45882,1,w2,,,
78.75878999999999,1,2-3,l4,,
78.75878999999999,2,3-4,r2,,
79.09209,1,lp3,,,
79.09209,2,lp4,,,
79.35873,1,sj3,,,
79.35873,2,sj4,,,
79.85867999999999,2,w4,,,
79.85867999999999,1,w3,,,
79.89201,1,3-4,lb3,,
79.89201,2,4-1,rb1,,
80.42528999999999,1,,lb2,,
80.42528999999999,2,,rb0,,
80.69193,1,lp4,,,
80.69193,2,lp1,,,
80.9919,1,sp4-1,,,
80.9919,2,sp1-2,,,
81.75849,1,sj1,,,
81.75849,2,sj2,,,
82.05846,1,lp1,,,
82.05846,2,lp2,,,
82.39175999999999,1,1-2,l3,,
82.39175999999999,2,2-3,r1,,
82.6584,1,lp2,,,
82.6584,2,lp3,,,
83.29167,1,2-3,l4,,
83.29167,2,3-4,r2,,
83.82495,1,lp3,,,
83.82495,2,lp4,,,
84.45822,1,3-4,,,
84.45822,2,4-1,,,
84.75819,1,lp4,,,
84.75819,2,lp1,,,
85.42479,1,j4-1,,,
85.42479,2,j1-2,,,
85.75809,1,lp1,,,
85.75809,2,lp2,,,
86.09138999999999,MOT_mc_back_00,last2,,
86.09138999999999,MOT_mc_special_01,last2,,
86.15805,MOT_mc_stage_color_00,y-r,,
86.15805,MOT_control_all,z12,,
86.15805,MOT_all,cut6,,
86.59134,1,j1-2,,,
86.59134,2,j2-3,,,
86.95797,1,lp2,,,
86.95797,2,lp3,,,
87.32459999999999,1,2-3,lb3,,
87.32459999999999,2,3-4,rb1,,
87.59124,1,lp3,,,
87.59124,2,lp4,,,
87.82455,1,w3,lb2,,
87.82455,2,w4,rb0,,
88.25784,1,sp3-4,,,
88.25784,2,sp4-1,,,
89.09109,1,4-1,lb1,,
89.09109,2,1-2,l1,,
89.39106,1,lp1,,,
89.39106,2,lp2,,,
89.62437,1,w1,lb0,,
89.62437,2,w2,l2,,
90.05766,2,2-3,,f2,
90.35763,2,lp3,,,
90.69093,2,sj3,,,
91.12422,1,1-2,,f2,
91.19087999999999,2,w3,,,
91.62416999999999,1,sj2,,,
91.89081,1,2-3,,b1,
91.89081,2,3-4,,b1,
92.55740999999999,1,3-4,l1,,
92.55740999999999,2,4-1,lb1,,
93.12402,1,,lb0,,
93.12402,2,,l2,,
93.49065,2,w1,,,
93.49065,1,w4,,,
93.59064,1,lp4,r1,,
93.59064,2,lp1,l3,,
94.19058,1,sj4,,,
94.19058,2,sj1,,,
94.45721999999999,1,lp4,,,
94.45721999999999,2,lp1,,,
94.72386,1,4-1,r2,,
94.72386,2,1-2,l4,,
95.25713999999999,1,,r3,,
95.25713999999999,2,,l5,,
95.52378,1,lp1,,,
95.52378,2,lp2,,,
95.82374999999999,1,sp1-2,,,
95.82374999999999,2,sp2-3,,,
96.59034,1,sj2,,,
96.59034,2,sj3,,,
97.09029,2,w3,,,
97.09029,1,w2,,,
97.22361,1,2-3,r4,,
97.22361,2,3-4,,,
97.55691,1,lp3,,,
97.55691,2,lp4,,,
98.12352,1,3-4,,,
98.12352,2,4-1,,,
98.42349,1,j4-1,,,
98.42349,2,j1-2,,,
98.75679,1,lp1,,,
98.75679,2,lp2,,,
99.29007,1,1-2,rb3,,
99.29007,2,2-3,lb4,,
99.82334999999999,1,lp2,,,
99.82334999999999,2,lp3,,,
100.25663999999999,1,j2-3,,,
100.25663999999999,2,j3-4,,,
100.85658,1,lp3,,,
100.85658,2,lp4,,,
101.22321,1,3-4,,,
101.22321,2,4-1,,,
101.72316,1,lp4,,,
101.72316,2,lp1,,,
102.05646,1,j4-1,,,
102.05646,2,j1-2,,,
102.42309,1,lp1,,,
102.42309,2,lp2,,,
102.75639,1,1-2,rb2,,
102.75639,2,2-3,lb3,,
103.05636,1,lp2,,,
103.05636,2,lp3,,,
103.25634,1,sj2,,,
103.25634,2,sj3,,,
103.6563,1,2-3,,,
103.6563,2,3-4,,,
103.92294,1,lp3,,,
103.92294,2,lp4,,,
104.58954,1,3-4,r3,,
104.58954,2,4-1,l4,,
104.85618,1,lp4,,,
104.85618,2,lp1,,,
105.08949,1,sj4,,,
105.08949,2,sj1,,,
105.35613,1,lp4,,,
105.35613,2,lp1,,,
105.58944,1,j4-1,,,
105.58944,2,j1-2,,,
105.92273999999999,1,lp1,,,
105.92273999999999,2,lp2,,,
106.58933999999999,1,1-2,r4,,
106.58933999999999,2,2-3,l5,,
106.88931,1,lp2,,,
106.88931,2,lp3,,,
107.08928999999999,1,sj2,,,
107.08928999999999,2,sj3,,,
107.48925,1,2-3,,,
107.48925,2,3-4,,,
107.9892,1,lp3,,,
107.9892,2,lp4,,,
108.38915999999999,1,3-4,,,
108.38915999999999,2,4-1,,,
108.88910999999999,1,sj4,,,
108.88910999999999,2,sj1,,,
109.38906,2,w1,,,
109.38906,1,j4-1,,,
109.38906,2,j1-2,,,
109.95567,1,lp1,,,
109.95567,2,lp2,,,
110.22231,1,1-2,rb3,,
110.22231,2,2-3,lb4,,
110.72225999999999,1,sj2,,,
110.72225999999999,2,sj3,,,
111.12222,1,2-3,,,
111.12222,2,3-4,,,
111.65549999999999,1,3-4,rb2,,
111.65549999999999,2,4-1,lb3,,
112.15545,1,sj4,,,
112.15545,2,sj1,,,
112.6554,2,w1,,,
112.6554,1,j4-1,,,
112.6554,2,j1-2,,,
113.15535,1,lp1,,,
113.15535,2,lp2,,,
113.48864999999999,1,1-2,rb1,,
113.48864999999999,2,2-3,lb2,,
114.05525999999999,1,sj2,,,
114.05525999999999,2,sj3,,,
114.45522,1,2-3,,,
114.45522,2,3-4,,,
114.92183999999999,1,3-4,,,
114.92183999999999,2,4-1,,,
115.3218,1,j4-1,,,
115.3218,2,j1-2,,,
115.78841999999999,1,sj1,,,
115.78841999999999,2,sj2,,,
116.12172,1,1-2,,,
116.12172,2,2-3,,,
116.48835,1,j2-3,,,
116.48835,2,j3-4,,,
116.82164999999999,1,j3-4,,,
116.82164999999999,2,j4-1,,,
117.22161,1,lp4,,,
117.22161,2,lp1,,,
118.72146,1,4-1,rb0,,
118.72146,2,1-2,lb1,,
118.98809999999999,1,lp1,,,
118.98809999999999,2,lp2,,,
120.55461,1,1-2,l1,,
120.55461,2,2-3,lb0,,
120.82124999999999,1,lp2,,,
120.82124999999999,2,lp3,,,
122.38776,1,2-3,l2,,
122.38776,2,3-4,r1,,
122.68772999999999,1,lp3,,,
122.68772999999999,2,lp4,,,
124.35423,1,3-4,,,
124.35423,2,4-1,,,
124.35423,MOT_mc_back_00,last_Black,,
124.72085999999999,1,lp4,,,
124.72085999999999,2,lp1,,,
126.12071999999999,1,4-1,,,
126.12071999999999,2,1-2,,,
127.05395999999999,2,w2,,,
127.05395999999999,1,w1,,,
