0.03333,MOT_all,coconatsu_cut0,,
95.35713,4,,lb0,,
96.72366,1,1-2,,,
96.72366,2,4-1,,,
96.85698,MOT_control_all,coconatsu_zoom20,,
96.85698,MOT_mc_stage_color_00,b-flash,,
96.89031,3,2-3,,,
96.89031,4,1-2,,,
97.12362,1,lp2,,,
97.12362,2,lp1,,,
97.12362,3,lp3,,,
97.12362,4,lp2,,,
98.3235,2,hj1,,,
98.49015,MOT_mc_stage_color_00,y-flash,,
98.82345,2,hj1,,,
99.19008,MOT_control_all,coconatsu_zoom21,,
99.42339,3,3-4,,,
99.42339,1,2-3,,b0,
99.42339,2,1-2,,b0,
99.42339,4,2-3,,b0,
99.75668999999999,3,4-1,r1,,
100.02333,3,lp1,,,
100.35663,4,w3,,,
100.35663,2,w2,,,
100.35663,1,w3,,,
100.82325,3,1-2,rb0,,
101.08989,3,lp2,,,
102.05646,3,2-3,,,
102.88971,3,3-4,,,
103.52297999999999,MOT_control_all,coconatsu_zoom22,,
103.68963,2,,,f1,
103.68963,4,,,f1,
103.68963,3,,,b0,
103.82294999999999,3,w4,,,
104.08959,2,sp2-3,,,
104.08959,4,sp3-4,,,
104.52288,MOT_control_all,coconatsu_zoom23,,
104.68952999999999,3,4-1,,f1,
104.68952999999999,2,w3,,b0,
104.68952999999999,4,w4,,b0,
105.22281,3,1-2,l1,,
105.75609,3,2-3,lb0,,
106.35602999999999,3,sp3-4,,,
107.38926,3,hj4,,,
107.55591,MOT_control_all,coconatsu_zoom24,,
107.78922,1,,,f1,
107.78922,2,,,f1,
107.78922,4,,,f1,
108.08919,MOT_mc_stage_color_00,b-flash,,
108.08919,1,j3-4,,,
108.18918,2,j3-4,,,
108.28917,3,j4-1,,,
108.38915999999999,4,j4-1,,,
108.72246,MOT_mc_stage_color_00,r-flash,,
108.72246,1,lp4,,,
108.72246,2,lp4,,,
108.72246,3,lp1,,,
108.72246,4,lp1,,,
109.25573999999999,1,sp4-1,,,
109.25573999999999,2,sp4-1,,,
109.25573999999999,3,sp1-2,,,
109.25573999999999,4,sp1-2,,,
109.42239,MOT_mc_stage_color_00,y-flash,,
109.95567,1,w1,,b0,
109.95567,2,w1,,,
109.95567,3,w2,,b0,
109.95567,4,w2,,,
110.42228999999999,4,j2-3,,,
110.78891999999999,2,sj1,,,
111.05556,2,sj1,,,
111.35553,2,sj1,,,
111.48885,4,w3,,,
111.62217,2,hj1,,,
111.9888,MOT_control_all,coconatsu_zoom25,,
112.02212999999999,MOT_all,coconatsu_cut4,,
112.02212999999999,1,1-2,,f1,
112.02212999999999,2,1-2,,,
112.02212999999999,3,2-3,,f1,
112.02212999999999,4,3-4,,,
112.12212,MOT_mc_stage_color_00,y-flash,,
112.95537,4,w4,,,
112.95537,3,w3,,,
112.95537,2,w2,,,
112.95537,1,w2,,,
113.28867,1,hj2,,,
113.28867,2,hj2,,,
113.28867,3,hj3,,,
113.28867,4,hj4,,,
113.45532,MOT_mc_stage_color_00,b-flash,,
114.52188,4,w4,,,
114.52188,3,w3,,,
114.52188,2,w2,,,
114.52188,1,w2,,,
114.58854,1,j2-3,,,
114.58854,4,j4-1,,,
114.95517,MOT_mc_stage_color_00,r-flash,,
115.38846,2,j2-3,,,
115.38846,3,j3-4,,,
115.65509999999999,4,w1,,,
115.65509999999999,1,w3,,,
115.65509999999999,MOT_mc_stage_color_00,y-flash,,
116.05506,1,hj3,,,
116.05506,2,hj3,,,
116.05506,3,hj4,,,
116.05506,4,hj1,,,
116.45501999999999,MOT_mc_stage_color_00,b-flash,,
116.55501,1,j3-4,,,
116.58833999999999,2,j3-4,,,
116.62167,3,j4-1,,,
116.655,4,j1-2,,,
117.02163,2,hj4,,,
117.52158,1,w4,,,
117.52158,2,w4,,,
117.52158,3,w1,,,
117.52158,4,w2,,,
