0.03333,MOT_mc_bg_black_00,seat100-0,,
2.19978,MOT_mc_bg_black_00,b80-45_2,,
2.3331,MOT_mc_stage_color_00,b-flash,,
36.42969,MOT_mc_stage_color_00,b-flash,,
36.42969,1,2-3,,,
36.42969,2,2-3,,,
36.42969,3,2-3,,,
36.42969,4,2-3,,,
36.42969,5,2-3,,,
37.129619999999996,MOT_mc_stage_color_00,r-flash,,
37.129619999999996,1,3-4,,,
37.129619999999996,2,3-4,lb0,,
37.129619999999996,3,3-4,rb0,,
37.129619999999996,4,3-4,lb0,,
37.129619999999996,5,3-4,rb0,,
37.82955,MOT_mc_light_under_00,l2,,
38.06286,5,w4,,,
38.06286,4,w4,,,
38.06286,3,w4,,,
38.06286,2,w4,,,
38.06286,1,w4,,,
38.26284,MOT_mc_stage_color_00,b-flash,,
38.26284,2,sort,-500,
38.26284,3,sort,-500,
38.26284,1,4-1,,f1,
38.26284,1,,,,L0
39.196079999999995,1,w1,,,
39.46272,1,,r1,,
39.562709999999996,MOT_mc_stage_color_00,b-flash,,
40.795919999999995,4,j4-1,,,
40.829249999999995,MOT_mc_stage_color_00,b-flash,,
41.46252,MOT_mc_stage_color_00,r-flash,,
41.46252,1,j1-2,,,
41.46252,2,j4-1,,,
41.46252,3,j4-1,,,
41.86248,4,w1,,,
42.12912,MOT_mc_stage_color_00,b-flash,,
42.12912,5,j4-1,,,
42.52908,3,w1,,,
42.52908,2,w1,,,
42.52908,1,w2,,,
43.195679999999996,5,w1,,,
43.262339999999995,1,2-3,,,
43.329,MOT_mc_stage_color_00,b-flash,,
43.69563,1,j3-4,,,
44.59554,1,,rb0,,
44.62887,MOT_mc_stage_color_00,b-flash,,
44.76219,1,w4,,,
44.9955,1,4-1,,,
45.76209,3,1-2,,,
45.76209,5,1-2,,,
45.82875,MOT_mc_stage_color_00,b-flash,,
45.92874,1,w1,,,
46.428689999999996,MOT_mc_stage_color_00,y-flash,,
46.428689999999996,2,1-2,,,
46.428689999999996,4,1-2,,,
46.69533,5,w2,,,
46.69533,3,w2,,,
47.09529,MOT_mc_stage_color_00,b-flash,,
47.09529,1,1-2,,,
47.09529,2,2-3,,,
47.09529,3,2-3,,,
47.09529,4,2-3,,,
47.09529,5,2-3,,,
48.028529999999996,5,w3,,,
48.028529999999996,4,w3,,,
48.028529999999996,3,w3,,,
48.028529999999996,2,w3,,,
48.028529999999996,1,w2,,,
48.128519999999995,1,j2-3,,,
48.16185,MOT_mc_stage_color_00,b-flash,,
48.76179,1,3-4,,,
49.62837,1,,l1,,
49.695029999999996,1,w4,,,
49.695029999999996,MOT_mc_stage_color_00,b-flash,,
50.26164,1,4-1,,,
50.69493,MOT_mc_stage_color_00,y-flash,,
50.72826,1,j1-2,,,
51.26154,2,,l1,,
51.26154,3,,r1,,
51.26154,4,,l1,,
51.26154,5,,r1,,
51.56151,1,2-3,lb0,,
51.56151,2,3-4,,,
51.56151,3,3-4,,,
51.56151,4,3-4,,,
51.56151,5,3-4,,,
51.62817,MOT_mc_stage_color_00,r-flash,,
52.494749999999996,5,w4,,,
52.494749999999996,4,w4,,,
52.494749999999996,3,w4,,,
52.494749999999996,2,w4,,,
52.494749999999996,1,w3,,,
52.82805,2,4-1,,,
52.82805,3,4-1,,,
52.82805,4,4-1,,,
52.82805,5,4-1,,,
53.46132,MOT_mc_stage_color_00,b-flash,,
53.46132,1,3-4,,,
53.761289999999995,5,w1,,,
53.761289999999995,4,w1,,,
53.761289999999995,3,w1,,,
53.761289999999995,2,w1,,,
53.86128,1,,r1,,
54.39456,1,w4,,,
54.561209999999996,1,4-1,,,
54.961169999999996,MOT_mc_stage_color_00,b-flash,,
54.994499999999995,1,,rb0,,
55.49445,1,w1,,,
55.49445,4,j1-2,,,
55.49445,5,j1-2,,,
55.9944,2,1-2,,,
56.261039999999994,3,1-2,,,
56.561009999999996,5,w2,,,
56.561009999999996,4,w2,,,
56.561009999999996,1,1-2,,,
56.92764,2,w2,,,
56.960969999999996,1,j2-3,,,
56.994299999999996,MOT_mc_stage_color_00,b-flash,,
57.19428,3,w2,,,
57.26094,2,,lb0,,
57.26094,3,,rb0,,
57.26094,4,,lb0,,
57.26094,5,,rb0,,
57.52758,1,3-4,,,
57.860879999999995,1,4-1,,,
57.860879999999995,2,2-3,,,
57.860879999999995,3,2-3,,,
57.860879999999995,4,2-3,,,
57.860879999999995,5,2-3,,,
58.06086,MOT_mc_stage_color_00,r-flash,,
58.06086,MOT_mc_light_up_00,l2,,
58.06086,MOT_mc_light_center_00,l2,,
58.194179999999996,1,lp1,,,
58.194179999999996,2,lp3,,,
58.194179999999996,3,lp3,,,
58.194179999999996,4,lp3,,,
58.194179999999996,5,lp3,,,
58.89411,1,1-2,,,
58.96077,MOT_mc_stage_color_00,b-flash,,
59.427389999999995,1,j2-3,,,
60.06066,1,3-4,,,
60.16065,MOT_mc_stage_color_00,r-flash,,
60.727259999999994,1,4-1,,,
60.727259999999994,2,3-4,,,
60.727259999999994,3,3-4,,,
60.727259999999994,4,3-4,,,
60.727259999999994,5,3-4,,,
61.6605,5,w4,,,
61.6605,4,w4,,,
61.6605,3,w4,,,
61.6605,2,w4,,,
61.6605,1,w1,,,
62.19378,MOT_mc_stage_color_00,b-flash,,
62.19378,4,4-1,r1,,
62.56041,1,1-2,r1,,
62.56041,2,4-1,r1,,
62.56041,3,4-1,r1,,
62.92704,5,4-1,r1,,
63.027029999999996,MOT_mc_stage_color_00,y-flash,,
63.127019999999995,4,w1,,,
63.493649999999995,3,w1,,,
63.493649999999995,2,w1,,,
63.493649999999995,1,w2,,,
63.79362,MOT_mc_stage_color_00,b-flash,,
63.79362,1,lp2,r2,,
63.860279999999996,5,w1,,,
64.6602,1,2-3,,,
65.12682,MOT_mc_stage_color_00,r-flash,,
65.16015,1,,rb1,,
65.46012,2,1-2,,,
65.46012,3,1-2,,,
65.46012,4,1-2,,,
65.46012,5,1-2,,,
65.59344,1,w3,,,
66.26004,MOT_mc_stage_color_00,b-flash,,
66.3267,1,3-4,,,
66.39336,5,w2,,,
66.39336,4,w2,,,
66.39336,3,w2,,,
66.39336,2,w2,,,
66.72666,1,,rb0,,
66.72666,2,,rb0,,
66.72666,3,,rb0,,
66.72666,4,,rb0,,
66.72666,5,,rb0,,
67.25994,1,w4,,,
67.39326,1,j4-1,,,
68.05986,1,1-2,,,
68.05986,2,2-3,,,
68.05986,3,2-3,,,
68.05986,4,2-3,,,
68.05986,5,2-3,,,
68.12652,MOT_mc_stage_color_00,b-flash,,
68.95976999999999,MOT_mc_stage_color_00,y-flash,,
68.95976999999999,1,2-3,,,
68.9931,5,w3,,,
68.9931,4,w3,,,
68.9931,3,w3,,,
68.9931,2,w3,,,
69.32639999999999,4,3-4,,,
69.59304,1,3-4,,,
69.59304,2,3-4,,,
69.59304,3,3-4,,,
69.72636,MOT_mc_stage_color_00,b-flash,,
69.85968,5,3-4,,,
70.15965,1,4-1,,,
70.25963999999999,4,w4,,,
70.52628,3,w4,,,
70.52628,2,w4,,,
70.52628,1,,l1,,
70.59294,MOT_mc_stage_color_00,r-flash,,
70.79292,5,w4,,,
71.05955999999999,1,1-2,,,
71.52618,1,2-3,lb0,,
71.52618,2,4-1,,,
71.52618,3,4-1,,,
71.52618,4,4-1,,,
71.52618,5,4-1,,,
71.59284,MOT_mc_stage_color_00,b-flash,,
72.45942,5,w1,,,
72.45942,4,w1,,,
72.45942,3,w1,,,
72.45942,2,w1,,,
72.45942,1,w3,,,
72.49275,MOT_mc_bg_black_00,b45-80,,
72.65939999999999,1,j3-4,,,
72.72605999999999,MOT_mc_light_up_00,l1,,
72.72605999999999,MOT_mc_light_center_00,l1,,
73.02602999999999,MOT_mc_stage_color_00,b-flash,,
73.02602999999999,2,j1-2,,,
73.02602999999999,3,j1-2,,,
73.45931999999999,1,4-1,,,
73.45931999999999,4,j1-2,,,
73.45931999999999,5,j1-2,,,
73.49265,MOT_mc_stage_color_00,b-flash,,
73.92594,1,1-2,,,
74.09259,3,w2,,,
74.09259,2,w2,,,
74.35923,2,2-3,l1,,
74.35923,3,2-3,r1,,
74.35923,4,2-3,l1,,
74.35923,5,2-3,r1,,
74.42589,MOT_mc_stage_color_00,r-flash,,
74.85918,1,w2,,,
74.89251,1,2-3,,,
75.02583,MOT_mc_stage_color_00,y-flash,,
75.29247,5,w3,,,
75.29247,4,w3,,,
75.29247,3,w3,,,
75.29247,2,w3,,,
75.49244999999999,1,3-4,,,
75.49244999999999,2,3-4,lb0,,
75.49244999999999,3,3-4,rb0,,
75.49244999999999,4,3-4,lb0,,
75.49244999999999,5,3-4,rb0,,
75.62577,MOT_mc_stage_color_00,b-flash,,
75.92573999999999,1,lp4,,,
76.42569,5,w4,,,
76.42569,4,w4,,,
76.42569,3,w4,,,
76.42569,2,w4,,,
76.52568,2,4-1,,,
76.52568,3,4-1,,,
76.52568,4,4-1,,,
76.52568,5,4-1,,,
77.02562999999999,1,4-1,,b0,
77.02562999999999,1,,,,D20
77.42559,2,,l1,,
77.42559,3,,r1,,
77.42559,4,,l1,,
77.42559,5,,r1,,
77.45891999999999,5,w1,,,
77.45891999999999,4,w1,,,
77.45891999999999,3,w1,,,
77.45891999999999,2,w1,,,
77.69223,1,1-2,,,
78.09219,MOT_mc_bg_black_00,b80-65,,
78.32549999999999,4,1-2,lb0,,
78.32549999999999,5,1-2,rb0,,
78.35883,MOT_mc_stage_color_00,b-flash,,
78.62546999999999,1,w2,,,
78.79212,2,1-2,lb0,,
78.79212,3,1-2,rb0,,
78.82545,MOT_mc_stage_color_00,b-flash,,
79.25874,5,w2,,,
79.25874,4,w2,,,
79.3254,1,j2-3,,,
79.3254,2,j2-3,,,
79.3254,3,j2-3,,,
79.3254,4,j2-3,,,
79.3254,5,j2-3,,,
79.35873,MOT_mc_stage_color_00,b-flash,,
79.99199999999999,MOT_mc_bg_black_00,b65-45,,
80.02533,MOT_mc_stage_color_00,r-flash,,
80.02533,2,sort,-500,
80.02533,3,sort,-500,
80.02533,1,3-4,,f1,
80.02533,1,,,,L0
80.39196,5,w3,,,
80.39196,4,w3,,,
80.39196,3,w3,,,
80.39196,2,w3,,,
80.62527,MOT_mc_stage_color_00,b-flash,,
80.62527,MOT_mc_bg_black_00,b45-20,,
80.62527,MOT_mc_light_up_00,l4,,
80.62527,MOT_mc_light_center_00,l3,,
80.62527,MOT_mc_light_under_00,l1,,
80.62527,1,4-1,,,
80.9919,1,j1-2,,,
81.45852,2,3-4,,,
81.45852,3,3-4,,,
81.45852,4,3-4,,,
81.45852,5,3-4,,,
81.82515,1,2-3,r1,,
82.39175999999999,5,w4,,,
82.39175999999999,4,w4,,,
82.39175999999999,3,w4,,,
82.39175999999999,2,w4,,,
82.49175,1,3-4,rb0,,
82.49175,4,4-1,,,
82.49175,5,4-1,,,
82.55841,MOT_mc_stage_color_00,b-flash,,
83.12501999999999,1,4-1,,,
83.12501999999999,2,4-1,,,
83.12501999999999,3,4-1,,,
83.19167999999999,MOT_mc_stage_color_00,b-flash,,
83.42499,5,w1,,,
83.42499,4,w1,,,
83.75829,2,j1-2,,,
83.75829,4,j1-2,,,
83.82495,MOT_mc_stage_color_00,r-flash,,
84.05825999999999,3,w1,,,
84.05825999999999,1,w1,,,
84.3249,3,j1-2,,,
84.3249,5,j1-2,,,
84.82485,4,w2,,,
84.82485,2,w2,,,
84.89151,1,j1-2,,,
85.02483,MOT_mc_stage_color_00,r-flash,,
85.39146,5,w2,,,
85.39146,3,w2,,,
85.39146,1,2-3,,,
85.72475999999999,1,3-4,,,
85.89141,MOT_mc_stage_color_00,y-flash,,
86.25804,1,,l1,,
86.658,1,w4,,,
86.72466,1,j4-1,,,
87.45792,1,1-2,,,
87.45792,4,,l1,,
87.45792,5,,r1,,
87.62456999999999,MOT_mc_stage_color_00,b-flash,,
87.79122,2,,l1,,
87.79122,3,,r1,,
88.12451999999999,1,2-3,,,
88.49114999999999,1,hj3,,,
88.62447,MOT_mc_stage_color_00,y-flash,,
89.09109,1,sp3-4,,,
89.09109,2,2-3,,,
89.09109,3,2-3,,,
89.09109,4,2-3,,,
89.09109,5,2-3,,,
89.3244,MOT_mc_stage_color_00,r-flash,,
89.62437,1,4-1,lb0,,
89.991,1,j1-2,,,
89.991,2,3-4,lb0,,
89.991,3,3-4,rb0,,
89.991,4,3-4,lb0,,
89.991,5,3-4,rb0,,
90.19098,MOT_mc_stage_color_00,b-flash,,
90.62427,1,2-3,l1,,
90.72426,MOT_mc_stage_color_00,b-flash,,
90.92424,5,w4,,,
90.92424,4,w4,,,
90.92424,3,w4,,,
90.92424,2,w4,,,
91.32419999999999,1,3-4,,,
91.32419999999999,4,4-1,l1,,
91.62416999999999,2,4-1,l1,,
91.62416999999999,3,4-1,l1,,
91.95747,1,j4-1,,,
91.95747,5,4-1,l1,,
92.25744,4,w1,,,
92.55740999999999,3,w1,,,
92.55740999999999,2,w1,,,
92.59074,1,,l2,,
92.6574,MOT_mc_stage_color_00,r-flash,,
92.85737999999999,1,1-2,,,
92.85737999999999,2,1-2,,,
92.85737999999999,3,1-2,,,
92.89071,5,w1,,,
93.15735,1,,lb1,,
93.15735,2,2-3,,,
93.15735,3,2-3,,,
93.15735,4,1-2,,,
93.15735,5,1-2,,,
93.29066999999999,MOT_mc_stage_color_00,b-flash,,
93.79061999999999,1,w2,,,
93.82395,1,2-3,,,
93.95727,MOT_mc_stage_color_00,y-flash,,
94.09058999999999,5,w2,,,
94.09058999999999,4,w2,,,
94.09058999999999,3,w3,,,
94.09058999999999,2,w3,,,
94.09058999999999,1,,lb0,,
94.09058999999999,2,,lb0,,
94.09058999999999,3,,lb0,,
94.09058999999999,4,,lb0,,
94.09058999999999,5,,lb0,,
94.49055,1,hj3,,,
94.49055,2,j3-4,,,
94.49055,3,j3-4,,,
94.49055,4,j2-3,,,
94.49055,5,j2-3,,,
94.65719999999999,MOT_mc_stage_color_00,b-flash,,
95.42379,1,3-4,,,
95.42379,2,4-1,,,
95.42379,3,4-1,,,
95.42379,4,3-4,,,
95.42379,5,3-4,,,
95.75708999999999,1,,r1,,
95.92374,MOT_mc_stage_color_00,r-flash,,
96.35703,5,w4,,,
96.35703,4,w4,,,
96.35703,3,w1,,,
96.35703,2,w1,,,
96.35703,1,4-1,,,
96.82365,1,1-2,,,
96.89031,2,,l1,,
96.89031,3,,r1,,
96.89031,4,,l1,,
96.89031,5,,r1,,
97.6569,1,2-3,,,
98.3235,1,,rb0,,
98.45682,MOT_mc_stage_color_00,y-flash,,
98.59013999999999,1,w3,,,
98.89010999999999,1,3-4,l1,,
98.89010999999999,2,,lb0,,
98.89010999999999,3,,rb0,,
98.89010999999999,4,,lb0,,
98.89010999999999,5,,rb0,,
99.42339,1,j4-1,,,
99.92334,1,1-2,,,
99.99,MOT_mc_stage_color_00,b-flash,,
100.12331999999999,2,1-2,,,
100.12331999999999,3,1-2,,,
100.42329,1,,lb0,,
100.42329,4,4-1,,,
100.42329,5,4-1,,,
100.85658,1,j2-3,,,
100.85658,2,2-3,,,
100.85658,3,2-3,,,
100.85658,4,1-2,,,
100.85658,5,1-2,,,
100.95657,MOT_mc_stage_color_00,b-flash,,
101.35652999999999,1,lp3,,,
101.78981999999999,5,w2,,,
101.78981999999999,4,w2,,,
101.78981999999999,3,w3,,,
101.78981999999999,2,w3,,,
102.95636999999999,2,3-4,,,
102.95636999999999,3,3-4,,,
103.323,1,3-4,,,
103.323,4,2-3,,,
103.323,5,2-3,,,
103.88960999999999,3,w4,,,
103.88960999999999,2,w4,,,
104.25623999999999,5,w3,,,
104.25623999999999,4,w3,,,
104.25623999999999,1,w4,,,
104.32289999999999,MOT_mc_stage_color_00,b-flash,,
104.32289999999999,1,j4-1,,,
104.82284999999999,1,1-2,,,
105.18947999999999,1,2-3,,,
105.78941999999999,1,j3-4,,,
105.78941999999999,2,j4-1,,,
105.78941999999999,3,j4-1,,,
105.88941,MOT_mc_stage_color_00,b-flash,,
106.18938,4,j3-4,,,
106.18938,5,j3-4,,,
106.3227,MOT_mc_stage_color_00,b-flash,,
106.72265999999999,1,4-1,,,
106.72265999999999,3,1-2,,,
106.72265999999999,5,4-1,,,
106.82265,MOT_mc_stage_color_00,r-flash,,
106.85597999999999,2,w1,,,
107.05596,1,1-2,,,
107.05596,2,1-2,,,
107.05596,4,4-1,,,
107.15594999999999,MOT_mc_stage_color_00,b-flash,,
107.65589999999999,5,w1,,,
107.65589999999999,3,w2,,,
107.65589999999999,1,sp2-3,,,
107.75589,MOT_mc_stage_color_00,y-flash,,
107.9892,4,w1,,,
107.9892,2,w2,,,
108.42249,1,j3-4,,,
108.42249,2,2-3,,,
108.42249,3,2-3,,,
108.42249,4,1-2,,,
108.42249,5,1-2,,,
108.52248,MOT_mc_stage_color_00,b-flash,,
109.02243,1,4-1,,b0,
109.02243,2,3-4,,,
109.02243,3,3-4,,,
109.02243,4,2-3,,,
109.02243,5,2-3,,,
109.02243,1,,,,D20
109.95567,5,w3,,,
109.95567,4,w3,,,
109.95567,3,w4,,,
109.95567,2,w4,,,
109.95567,1,w1,,,
110.15565,1,j1-2,,,
110.15565,2,j4-1,,,
110.15565,3,j4-1,,,
110.15565,4,j3-4,,,
110.15565,5,j3-4,,,
111.22220999999999,5,w4,,,
111.22220999999999,4,w4,,,
111.22220999999999,3,w1,,,
111.22220999999999,2,w1,,,
111.22220999999999,1,w2,,,
111.45551999999999,1,j2-3,,,
111.62217,MOT_mc_stage_color_00,b-flash,,
112.08878999999999,1,3-4,,,
112.08878999999999,2,j1-2,,,
112.08878999999999,3,j1-2,,,
112.15545,MOT_mc_stage_color_00,r-flash,,
112.62207,1,4-1,,,
112.62207,4,j4-1,,,
112.62207,5,j4-1,,,
112.72206,MOT_mc_stage_color_00,b-flash,,
113.15535,3,w2,,,
113.15535,2,w2,,,
113.55530999999999,1,w1,,,
113.68862999999999,5,w1,,,
113.68862999999999,4,w1,,,
113.95527,1,1-2,,,
113.95527,2,2-3,,,
113.95527,3,2-3,,,
113.95527,4,1-2,,,
113.95527,5,1-2,,,
114.88851,5,w2,,,
114.88851,4,w2,,,
114.88851,3,w3,,,
114.88851,2,w3,,,
114.88851,1,w2,,,
115.15514999999999,1,j2-3,,,
115.15514999999999,2,j3-4,,,
115.15514999999999,3,j3-4,,,
115.15514999999999,4,j2-3,,,
115.15514999999999,5,j2-3,,,
116.22171,5,w3,,,
116.22171,4,w3,,,
116.22171,3,w4,,,
116.22171,2,w4,,,
116.22171,1,w3,,,
116.62167,1,3-4,,,
116.62167,3,4-1,,,
116.62167,5,3-4,,,
116.68833,MOT_mc_stage_color_00,b-flash,,
117.22161,1,4-1,,,
117.22161,2,4-1,,,
117.22161,4,3-4,,,
117.28827,MOT_mc_stage_color_00,y-flash,,
117.55490999999999,5,w4,,,
117.55490999999999,3,w1,,,
117.78822,1,1-2,,,
117.78822,2,1-2,,,
117.78822,3,1-2,,,
117.78822,4,4-1,,,
117.78822,5,4-1,,,
117.88821,MOT_mc_stage_color_00,b-flash,,
118.72146,5,w1,,,
118.72146,4,w1,,,
118.72146,3,w2,,,
118.72146,2,w2,,,
118.72146,1,w2,,,
118.95477,1,j2-3,,,
118.95477,2,j2-3,,,
118.95477,3,j2-3,,,
118.95477,4,j1-2,,,
118.95477,5,j1-2,,,
120.02132999999999,5,w2,,,
120.02132999999999,4,w2,,,
120.02132999999999,3,w3,,,
120.02132999999999,2,w3,,,
120.02132999999999,1,w3,,,
120.18798,1,3-4,,,
120.18798,2,3-4,l1,,
120.18798,3,3-4,r1,,
120.18798,4,2-3,l1,,
120.18798,5,2-3,r1,,
121.12122,5,w3,,,
121.12122,4,w3,,,
121.12122,3,w4,,,
121.12122,2,w4,,,
121.12122,1,w4,,,
121.55451,1,4-1,,,
121.55451,4,3-4,lb0,,
121.55451,5,3-4,rb0,,
121.75448999999999,MOT_mc_stage_color_00,b-flash,,
122.15445,1,1-2,,,
122.15445,2,4-1,lb0,,
122.15445,3,4-1,rb0,,
122.38776,MOT_mc_stage_color_00,r-flash,,
122.48774999999999,5,w4,,,
122.48774999999999,4,w4,,,
122.72106,1,j2-3,,,
122.72106,2,1-2,,,
122.72106,3,1-2,,,
122.72106,4,4-1,,,
122.72106,5,4-1,,,
123.02103,MOT_mc_stage_color_00,b-flash,,
123.65429999999999,5,w1,,,
123.65429999999999,4,w1,,,
123.65429999999999,3,w2,,,
123.65429999999999,2,w2,,,
123.78761999999999,1,w3,,,
124.02092999999999,1,3-4,l1,,
124.02092999999999,2,2-3,l1,,
124.02092999999999,3,2-3,l1,,
124.02092999999999,4,1-2,l1,,
124.02092999999999,5,1-2,l1,,
124.95416999999999,5,w2,,,
124.95416999999999,4,w2,,,
124.95416999999999,3,w3,,,
124.95416999999999,2,w3,,,
124.95416999999999,1,w4,,,
125.28747,1,4-1,lb0,,
125.28747,2,3-4,lb0,,
125.28747,3,3-4,lb0,,
125.28747,4,2-3,lb0,,
125.28747,5,2-3,lb0,,
126.22071,5,w3,,,
126.22071,4,w3,,,
126.22071,3,w4,,,
126.22071,2,w4,,,
126.22071,1,w1,,,
126.62066999999999,1,1-2,,,
126.72066,MOT_mc_stage_color_00,b-flash,,
127.22061,1,2-3,,,
127.22061,2,4-1,,,
127.22061,3,4-1,,,
127.3206,MOT_mc_stage_color_00,y-flash,,
127.82055,1,3-4,,,
127.82055,2,1-2,,,
127.82055,3,1-2,,,
127.82055,4,3-4,,,
127.82055,5,3-4,,,
