0.03333,MOT_all,doremi1,,
0.03333,6,sort,-500,
0.03333,2,sort,-500,
0.03333,3,sort,-500,
0.03333,7,sort,-500,
2.5997399999999997,MOT_control_all,zero_zoom1,,
2.5997399999999997,MOT_mc_light_under_00,zero_flare,,
80.29196999999999,9,2-3,rb1,,
80.92524,MOT_mc_stage_color_00,b-flash,,
80.92524,1,1-2,rb0,,
80.92524,2,1-2,rb0,,
80.92524,3,4-1,rb0,,
80.92524,4,3-4,rb0,,
80.92524,5,4-1,rb0,,
80.92524,6,2-3,rb0,,
80.92524,7,3-4,rb0,,
80.92524,8,4-1,rb0,,
80.92524,9,3-4,rb0,,
81.59183999999999,8,hj1,,,
81.59183999999999,4,hj4,,,
81.59183999999999,1,hj2,,,
81.59183999999999,5,hj1,,,
81.59183999999999,9,hj4,,,
81.69183,MOT_mc_stage_color_00,y-flash,,
81.85848,7,w4,,,
81.85848,6,w3,,,
81.85848,3,w1,,,
81.85848,2,w2,,,
81.92514,6,hj3,,,
81.92514,2,hj2,,,
81.92514,3,hj1,,,
81.92514,7,hj4,,,
82.82504999999999,9,w4,,,
82.82504999999999,8,w1,,,
82.82504999999999,5,w1,,,
82.82504999999999,4,w4,,,
82.82504999999999,1,w2,,,
82.89171,6,j3-4,,,
82.89171,7,j4-1,,,
82.89171,2,w2,,,
82.89171,3,w1,,,
83.25833999999999,MOT_mc_stage_color_00,r-flash,,
83.39166,6,lp4,,,
83.39166,7,lp1,,,
83.89161,6,j4-1,,,
84.05825999999999,7,j1-2,,,
84.69153,6,lp1,,,
84.69153,7,lp2,,,
84.75819,MOT_mc_stage_color_00,y-flash,,
85.82475,6,j1-2,,,
86.05806,MOT_mc_stage_color_00,r-flash,,
86.05806,MOT_mc_light_center_00,star,,
86.29137,7,j2-3,,,
86.69133,6,lp2,,,
86.69133,7,lp3,,,
87.35793,6,sp2-3,,,
87.35793,7,sp3-4,,,
87.82455,MOT_control_all,zero_zoom16,,
88.89111,8,1-2,l1,,
88.89111,4,4-1,l1,,
88.89111,1,2-3,l1,,
88.89111,5,1-2,l1,,
88.89111,9,4-1,l1,,
88.89111,6,lp3,,,
88.89111,2,lp2,,,
88.89111,3,lp1,,,
88.89111,7,lp4,,,
89.22440999999999,8,lp2,,,
89.22440999999999,4,lp1,,,
89.22440999999999,1,lp3,,,
89.22440999999999,5,lp2,,,
89.22440999999999,9,lp1,,,
89.25774,MOT_mc_stage_color_00,y-flash,,
89.69103,6,3-4,l1,,
89.69103,2,2-3,l1,,
89.69103,3,1-2,l1,,
89.69103,7,4-1,l1,,
90.02432999999999,6,lp4,,,
90.02432999999999,2,lp3,,,
90.02432999999999,3,lp2,,,
90.02432999999999,7,lp1,,,
90.12432,MOT_mc_stage_color_00,b-flash,,
90.59093999999999,1,sp3-4,,,
90.59093999999999,2,sp3-4,,,
90.59093999999999,3,sp2-3,,,
90.59093999999999,4,sp1-2,,,
90.59093999999999,5,sp2-3,,,
90.59093999999999,6,sp4-1,,,
90.59093999999999,7,sp1-2,,,
90.59093999999999,8,sp2-3,,,
90.59093999999999,9,sp1-2,,,
90.89090999999999,MOT_mc_stage_color_00,y-flash,,
91.95747,8,3-4,lb0,,
91.95747,4,2-3,lb0,,
91.95747,1,4-1,lb0,,
91.95747,5,3-4,lb0,,
91.95747,9,2-3,lb0,,
91.95747,6,lp1,,,
91.95747,2,lp4,,,
91.95747,3,lp3,,,
91.95747,7,lp2,,,
92.35743,MOT_mc_stage_color_00,r-flash,,
92.62406999999999,6,1-2,lb0,,
92.62406999999999,2,4-1,lb0,,
92.62406999999999,3,3-4,lb0,,
92.62406999999999,7,2-3,lb0,,
92.89071,9,w3,,,
92.89071,8,w4,,,
92.89071,5,w4,,,
92.89071,4,w3,,,
92.89071,1,w1,,,
93.29066999999999,8,hj4,,,
93.29066999999999,4,hj3,,,
93.29066999999999,1,hj1,,,
93.29066999999999,5,hj4,,,
93.29066999999999,9,hj3,,,
93.49065,MOT_mc_stage_color_00,b-flash,,
93.49065,MOT_mc_light_center_00,chord,,
93.55731,7,w3,,,
93.55731,6,w2,,,
93.55731,3,w4,,,
93.55731,2,w1,,,
93.59064,6,hj2,,,
93.59064,2,hj1,,,
93.59064,3,hj4,,,
93.59064,7,hj3,,,
94.25724,1,lp1,,,
94.25724,2,lp1,,,
94.25724,3,lp4,,,
94.25724,4,lp3,,,
94.25724,5,lp4,,,
94.25724,6,lp2,,,
94.25724,7,lp3,,,
94.25724,8,lp4,,,
94.25724,9,lp3,,,
94.62387,MOT_mc_stage_color_00,y-flash,,
95.35713,MOT_control_all,zero_zoom17,,
95.52378,MOT_mc_stage_color_00,b-flash,,
95.69042999999999,1,w1,,,
95.69042999999999,2,j1-2,,,
95.69042999999999,3,w4,,,
95.69042999999999,4,w3,,,
95.69042999999999,5,w4,,,
95.69042999999999,6,w2,,,
95.69042999999999,7,w3,,,
95.69042999999999,8,w4,,,
95.69042999999999,9,w3,,,
96.49034999999999,2,sp2-3,,,
96.95697,MOT_mc_stage_color_00,y-flash,,
97.75689,2,sj3,,,
98.15684999999999,2,sj3,,,
98.45682,MOT_mc_stage_color_00,r-flash,,
98.52347999999999,2,3-4,,,
98.82345,2,lp4,,,
100.02333,MOT_mc_stage_color_00,y-flash,,
100.85658,2,w4,,,
100.85658,3,j4-1,,,
101.18988,3,j1-2,,,
101.6565,3,sp2-3,,,
101.88981,MOT_mc_stage_color_00,r-flash,,
102.9897,MOT_control_all,zero_zoom18,,
103.02302999999999,MOT_mc_stage_color_00,b-flash,,
103.08968999999999,3,lp3,,,
104.58954,MOT_mc_stage_color_00,y-flash,,
104.82284999999999,3,w3,,,
104.82284999999999,8,lp4,,,
104.82284999999999,6,lp2,,,
104.82284999999999,4,lp3,,,
104.82284999999999,5,lp4,,,
104.82284999999999,7,lp3,,,
104.82284999999999,9,lp3,,,
105.3228,8,hj4,,,
105.3228,6,hj2,,,
105.3228,4,hj3,,,
105.3228,5,hj4,,,
105.3228,7,hj3,,,
105.3228,9,hj3,,,
105.98939999999999,8,sp4-1,,,
105.98939999999999,6,sp2-3,,,
105.98939999999999,4,sp3-4,,,
105.98939999999999,5,sp4-1,,,
105.98939999999999,7,sp3-4,,,
105.98939999999999,9,sp3-4,,,
106.05606,MOT_mc_stage_color_00,r-flash,,
106.85597999999999,4,j4-1,,,
106.85597999999999,5,j1-2,,,
107.12262,6,j3-4,,,
107.12262,7,j4-1,,,
107.38926,8,j1-2,,,
107.38926,9,j4-1,,,
107.55591,MOT_mc_stage_color_00,b-flash,,
107.72256,8,2-3,,,
107.72256,6,4-1,,,
107.72256,4,1-2,,,
107.72256,5,2-3,,,
107.72256,7,1-2,,,
107.72256,9,1-2,,,
108.08919,8,lp3,,,
108.08919,6,lp1,,,
108.08919,4,lp2,,,
108.08919,5,lp3,,,
108.08919,7,lp2,,,
108.08919,9,lp2,,,
108.15585,MOT_mc_stage_color_00,y-flash,,
109.15575,MOT_mc_stage_color_00,r-flash,,
109.88901,8,j3-4,,,
109.88901,6,j1-2,,,
109.88901,4,j2-3,,,
109.88901,2,j4-1,,,
110.15565,MOT_mc_stage_color_00,b-flash,,
110.15565,MOT_mc_light_center_00,star,,
110.25564,1,j1-2,,,
110.25564,3,j3-4,,,
110.25564,5,j3-4,,,
110.25564,7,j2-3,,,
110.25564,9,j2-3,,,
110.78891999999999,1,hj2,,,
110.78891999999999,2,hj1,,,
110.78891999999999,3,hj4,,,
110.78891999999999,4,hj3,,,
110.78891999999999,5,hj4,,,
110.78891999999999,6,hj2,,,
110.78891999999999,7,hj3,,,
110.78891999999999,8,hj4,,,
110.78891999999999,9,hj3,,,
111.3222,1,lp2,,,
111.3222,2,lp1,,,
111.3222,3,lp4,,,
111.3222,4,lp3,,,
111.3222,5,lp4,,,
111.3222,6,lp2,,,
111.3222,7,lp3,,,
111.3222,8,lp4,,,
111.3222,9,lp3,,,
111.82215,1,j2-3,,,
111.82215,2,j1-2,,,
111.82215,3,j4-1,,,
112.02212999999999,MOT_mc_stage_color_00,y-flash,,
112.02212999999999,MOT_mc_light_under_00,zero_flare,,
112.02212999999999,4,j3-4,,,
112.02212999999999,5,j4-1,,,
112.22211,6,j2-3,,,
112.22211,7,j3-4,,,
112.42209,8,j4-1,,,
112.42209,9,j3-4,,,
112.85538,MOT_mc_stage_color_00,r-flash,,
112.88870999999999,3,w1,,,
112.88870999999999,2,w2,,,
112.88870999999999,1,w3,,,
112.9887,8,1-2,,,
112.9887,6,3-4,,,
112.9887,4,4-1,,,
113.05536,5,1-2,,,
113.05536,7,4-1,,,
113.05536,9,4-1,,,
113.12201999999999,1,3-4,,,
113.12201999999999,2,2-3,,,
113.12201999999999,3,1-2,,,
113.92193999999999,6,w4,,,
113.92193999999999,8,w2,,,
113.92193999999999,4,w1,,,
113.98859999999999,7,w1,,,
113.98859999999999,9,w1,,,
113.98859999999999,5,w2,,,
114.05525999999999,3,w2,,,
114.05525999999999,2,w3,,,
114.05525999999999,1,w4,,,
