0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_back_00,lt_1,,
0.03333,MOT_control_all,zoom_1,,
41.229209999999995,1,4-1,r2,,
41.76249,1,1-2,,,
42.09579,MOT_mc_stage_color_00,b-flash,,
42.22911,1,j2-3,,,
42.72906,MOT_mc_stage_color_00,y-flash,,
43.162349999999996,1,3-4,rb1,,
43.39566,MOT_mc_stage_color_00,r-flash,,
43.76229,1,4-1,rb0,,
44.22891,1,1-2,,,
44.6622,MOT_mc_stage_color_00,b-flash,,
44.6622,1,2-3,,,
44.9955,1,3-4,,,
45.295469999999995,MOT_mc_stage_color_00,y-flash,,
45.36213,1,j4-1,,,
45.42879,2,j3-4,,,
45.42879,3,j1-2,,,
45.52878,4,j4-1,,,
45.52878,5,j4-1,,,
46.428689999999996,1,w1,,,
46.495349999999995,3,w2,,,
46.495349999999995,2,w4,,,
46.59534,5,w1,,,
46.59534,4,w1,,,
47.19528,MOT_mc_stage_color_00,r-flash,,
47.19528,4,1-2,,,
47.19528,5,1-2,,,
47.295269999999995,2,4-1,,,
47.295269999999995,3,2-3,,,
47.39526,1,1-2,,,
47.79522,MOT_control_all,zoom_6,,
48.028529999999996,1,,,,D40
48.128519999999995,5,w2,,,
48.128519999999995,4,w2,,,
48.22851,3,w3,,,
48.22851,2,w1,,,
48.3285,1,w2,,,
48.461819999999996,MOT_mc_stage_color_00,b-flash,,
48.461819999999996,4,,,,L0
48.461819999999996,4,2-3,,f1,
48.461819999999996,1,2-3,,b0,
48.461819999999996,2,1-2,,,
48.461819999999996,3,3-4,,,
48.461819999999996,5,2-3,,,
48.79512,1,lp3,,,
48.79512,2,lp2,,,
48.79512,3,lp4,,,
48.79512,4,lp3,,,
48.79512,5,lp3,,,
49.39506,4,j3-4,,,
50.02833,4,4-1,,,
50.36163,4,1-2,,,
51.02823,4,j2-3,,,
51.56151,4,lp3,,,
52.36143,4,,,,D40
52.994699999999995,MOT_control_all,zoom_7,,
53.46132,MOT_mc_stage_color_00,y-flash,,
53.46132,5,,,,L0
53.46132,5,3-4,,f1,
53.46132,4,3-4,,b0,
53.46132,2,2-3,,,
53.46132,3,4-1,,,
53.46132,1,3-4,,,
53.794619999999995,1,lp4,,,
53.794619999999995,2,lp3,,,
53.794619999999995,3,lp1,,,
53.794619999999995,4,lp4,,,
53.794619999999995,5,lp4,,,
54.42789,5,j4-1,,,
54.86118,5,1-2,,,
55.16115,5,2-3,,,
55.49445,5,3-4,,,
56.09439,5,j4-1,,,
56.594339999999995,5,lp1,,,
57.394259999999996,5,,,,D40
58.12752,MOT_control_all,zoom_8,,
58.660799999999995,MOT_mc_stage_color_00,r-flash,,
58.660799999999995,2,,,,L0
58.660799999999995,3,,,,L0
58.660799999999995,2,3-4,,f1,
58.660799999999995,5,1-2,,b0,
58.660799999999995,3,1-2,,f1,
58.660799999999995,1,4-1,,,
58.660799999999995,4,4-1,,,
58.994099999999996,1,lp1,,,
58.994099999999996,2,lp4,,,
58.994099999999996,3,lp2,,,
58.994099999999996,4,lp1,,,
58.994099999999996,5,lp2,,,
59.59404,2,j4-1,,,
59.59404,3,j2-3,,,
60.227309999999996,2,1-2,,,
60.227309999999996,3,3-4,,,
60.86058,3,4-1,r1,,
60.86058,2,2-3,l1,,
61.19388,MOT_mc_stage_color_00,b-flash,,
61.19388,3,1-2,,,
61.19388,2,3-4,,,
61.527179999999994,3,2-3,rb0,,
61.527179999999994,2,4-1,lb0,,
61.827149999999996,MOT_mc_stage_color_00,y-flash,,
61.827149999999996,3,3-4,,,
61.827149999999996,2,1-2,,,
62.16045,2,j2-3,,,
62.16045,3,j4-1,,,
62.260439999999996,1,j1-2,,,
62.260439999999996,4,j1-2,,,
62.260439999999996,5,j2-3,,,
62.327099999999994,MOT_mc_stage_color_00,r-flash,,
62.693729999999995,1,lp2,,,
62.693729999999995,2,lp3,,,
62.693729999999995,3,lp1,,,
62.693729999999995,4,lp2,,,
62.693729999999995,5,lp3,,,
63.76029,MOT_mc_stage_color_00,b-flash,,
65.02683,2,,,,D40
65.02683,3,,,,D40
65.06016,MOT_mc_stage_color_00,y-flash,,
65.26013999999999,MOT_control_all,zoom_9,,
65.6601,1,,,,L0
65.6601,2,3-4,,b0,
65.6601,1,2-3,,f1,
65.6601,3,1-2,,b0,
65.6601,5,3-4,,,
65.6601,4,2-3,,,
65.9934,2,lp4,,,
65.9934,3,lp2,,,
65.9934,4,lp3,,,
65.9934,5,lp4,,,
66.16005,1,j3-4,,,
66.3267,MOT_mc_stage_color_00,r-flash,,
67.12662,1,4-1,,,
67.29326999999999,MOT_mc_stage_color_00,b-flash,,
67.49325,1,j1-2,,,
67.52658,2,j4-1,,,
67.52658,3,j2-3,,,
67.59324,MOT_mc_stage_color_00,y-flash,,
67.59324,4,j3-4,,,
67.59324,5,j4-1,,,
68.05986,1,lp2,,,
68.05986,2,lp1,,,
68.05986,3,lp3,,,
68.05986,4,lp4,,,
68.05986,5,lp1,,,
69.19308,1,,,,D40
70.75959,MOT_mc_stage_color_00,r-flash,,
71.15955,MOT_control_all,zoom_10,,
71.22621,MOT_all,cut2,,
71.22621,2,1-2,,f1,
71.22621,3,3-4,,f1,
71.22621,4,4-1,,f1,
71.22621,5,1-2,,f1,
71.22621,1,2-3,,,
71.45952,MOT_mc_stage_color_00,b-flash,,
71.45952,MOT_mc_back_00,lt_2,,
71.45952,1,,,,L0
71.45952,2,,,,L0
71.45952,3,,,,L0
71.45952,4,,,,L0
71.45952,5,,,,L0
72.15944999999999,5,w2,,,
72.15944999999999,4,w1,,,
72.15944999999999,3,w4,,,
72.15944999999999,2,w2,,,
72.15944999999999,1,w3,,,
72.19278,1,3-4,,,
72.19278,2,2-3,,,
72.19278,3,4-1,,,
72.19278,4,1-2,,,
72.19278,5,2-3,,,
72.52608,MOT_mc_stage_color_00,y-flash,,
72.52608,1,4-1,,,
72.52608,2,3-4,,,
72.52608,3,1-2,,,
72.52608,4,2-3,,,
72.52608,5,3-4,,,
72.9927,1,j1-2,,,
72.9927,2,j4-1,,,
72.9927,3,j2-3,,,
72.9927,4,j3-4,,,
72.9927,5,j4-1,,,
73.59264,1,2-3,,,
73.59264,2,1-2,,,
73.59264,3,3-4,,,
73.59264,4,4-1,,,
73.59264,5,1-2,,,
73.9926,1,j3-4,,,
74.12592,MOT_mc_stage_color_00,r-flash,,
74.12592,2,j2-3,,,
74.12592,3,j4-1,,,
74.22591,4,j1-2,,,
74.22591,5,j2-3,,,
74.29257,MOT_mc_stage_color_00,b-flash,,
74.75918999999999,1,4-1,,,
74.75918999999999,2,3-4,,,
74.75918999999999,3,1-2,,,
74.75918999999999,4,2-3,,,
74.75918999999999,5,3-4,,,
75.09249,1,lp1,,,
75.09249,2,lp4,,,
75.09249,3,lp2,,,
75.09249,4,lp3,,,
75.09249,5,lp4,,,
75.25914,MOT_mc_stage_color_00,y-flash,,
75.85907999999999,MOT_mc_stage_color_00,r-flash,,
76.42569,1,j1-2,,,
76.42569,2,j4-1,,,
76.42569,3,j2-3,,,
76.42569,4,j3-4,,,
76.42569,5,j4-1,,,
76.52568,MOT_mc_stage_color_00,b-flash,,
77.15894999999999,MOT_mc_stage_color_00,y-flash,,
77.49225,5,w1,,,
77.49225,4,w4,,,
77.49225,3,w3,,,
77.49225,2,w1,,,
77.49225,1,2-3,,,
77.49225,2,1-2,,,
77.49225,3,3-4,,,
77.49225,4,4-1,,,
77.49225,5,1-2,,,
77.79222,1,j3-4,,,
77.92554,2,j2-3,,,
77.92554,3,j4-1,,,
78.02553,4,j1-2,,,
78.02553,5,j2-3,,,
78.25883999999999,MOT_mc_stage_color_00,r-flash,,
78.42549,1,4-1,,,
78.42549,2,3-4,,,
78.42549,3,1-2,,,
78.82545,4,2-3,,,
78.82545,5,3-4,,,
79.15875,1,j1-2,,,
79.15875,2,j4-1,,,
79.15875,3,j2-3,,,
79.15875,4,j3-4,,,
79.15875,5,j4-1,,,
79.6587,MOT_mc_stage_color_00,b-flash,,
79.6587,1,lp2,,,
79.6587,2,lp1,,,
79.6587,3,lp3,,,
79.6587,4,lp4,,,
79.6587,5,lp1,,,
80.95857,MOT_mc_stage_color_00,y-flash,,
81.29187,1,j2-3,,,
81.29187,2,j1-2,,,
81.29187,3,j3-4,,,
81.29187,4,j4-1,,,
81.29187,5,j1-2,,,
81.52517999999999,MOT_mc_stage_color_00,r-flash,,
82.22511,MOT_mc_stage_color_00,b-flash,,
82.22511,1,3-4,,,
82.22511,2,2-3,,,
82.22511,3,4-1,,,
82.22511,4,1-2,,,
82.22511,5,2-3,,,
82.72506,1,j4-1,,,
82.72506,2,j3-4,,,
82.72506,3,j1-2,,,
82.72506,4,j2-3,,,
82.72506,5,j3-4,,,
83.19167999999999,1,1-2,,,
83.19167999999999,2,4-1,,,
83.19167999999999,3,2-3,,,
83.19167999999999,4,3-4,,,
83.19167999999999,5,4-1,,,
83.49164999999999,MOT_mc_stage_color_00,y-flash,,
83.49164999999999,1,2-3,,,
83.49164999999999,4,4-1,,,
83.49164999999999,5,1-2,,,
83.79162,2,1-2,,,
83.79162,3,3-4,,,
84.15825,1,3-4,,,
84.15825,2,2-3,,,
84.15825,3,4-1,,,
84.15825,4,1-2,,,
84.15825,5,2-3,,,
84.49154999999999,2,3-4,,,
84.49154999999999,3,1-2,,,
84.69153,1,4-1,,,
84.69153,4,2-3,,,
84.69153,5,3-4,,,
84.79151999999999,MOT_mc_stage_color_00,r-flash,,
85.02483,1,j1-2,,,
85.09149,2,j4-1,,,
85.09149,3,j2-3,,,
85.15814999999999,4,j3-4,,,
85.15814999999999,5,j4-1,,,
85.65809999999999,1,lp2,,,
85.65809999999999,2,lp1,,,
85.65809999999999,3,lp3,,,
85.65809999999999,4,lp4,,,
85.65809999999999,5,lp1,,,
86.05806,MOT_mc_stage_color_00,b-flash,,
86.25804,1,j2-3,,,
86.25804,2,j1-2,,,
86.25804,3,j3-4,,,
86.25804,4,j4-1,,,
86.25804,5,j1-2,,,
86.39135999999999,MOT_control_all,zoom_11_1,,
86.658,1,j3-4,,,
86.82464999999999,2,j2-3,,,
86.82464999999999,3,j4-1,,,
86.95797,4,j1-2,,,
86.95797,5,j2-3,,,
87.35793,MOT_mc_stage_color_00,y-flash,,
87.72456,1,w4,,,
87.89121,3,w1,,,
87.89121,2,w3,,,
87.99119999999999,MOT_mc_stage_color_00,r-flash,,
88.02453,5,w3,,,
88.02453,4,w2,,,
88.42448999999999,1,j4-1,,,
88.42448999999999,2,j3-4,,,
88.42448999999999,3,j1-2,,,
88.42448999999999,4,j2-3,,,
88.42448999999999,5,j3-4,,,
88.62447,MOT_mc_stage_color_00,b-flash,,
88.89111,1,1-2,,,
88.89111,2,4-1,,,
88.89111,3,2-3,,,
88.89111,4,3-4,,,
88.89111,5,4-1,,,
89.25774,1,2-3,,,
89.25774,2,1-2,,,
89.25774,3,3-4,,,
89.25774,4,4-1,,,
89.25774,5,1-2,,,
89.29106999999999,MOT_mc_stage_color_00,y-flash,,
89.62437,1,3-4,,,
89.62437,2,2-3,,,
89.62437,3,4-1,,,
89.62437,4,1-2,,,
89.62437,5,2-3,,,
89.89101,MOT_mc_stage_color_00,r-flash,,
90.22431,1,4-1,,,
90.35763,2,3-4,,,
90.35763,3,1-2,,,
90.45761999999999,4,2-3,,,
90.45761999999999,5,3-4,,,
90.52427999999999,MOT_mc_stage_color_00,y-flash,,
91.15755,1,w1,,,
91.15755,MOT_mc_stage_color_00,r-flash,,
91.29087,3,w2,,,
91.29087,2,w4,,,
91.39085999999999,5,w4,,,
91.39085999999999,4,w3,,,
91.55751,1,j1-2,,,
91.55751,2,j4-1,,,
91.55751,3,j2-3,,,
91.55751,4,j3-4,,,
91.55751,5,j4-1,,,
91.79082,MOT_mc_stage_color_00,b-flash,,
92.45742,MOT_mc_stage_color_00,y-flash,,
92.62406999999999,5,w1,,,
92.62406999999999,4,w4,,,
92.62406999999999,3,w3,,,
92.62406999999999,2,w1,,,
92.62406999999999,1,w2,,,
92.69073,1,2-3,,,
92.69073,2,1-2,,,
92.69073,3,3-4,,,
92.69073,4,4-1,,,
92.69073,5,1-2,,,
93.02403,1,3-4,,,
93.02403,2,2-3,,,
93.02403,3,4-1,,,
93.02403,4,1-2,,,
93.02403,5,2-3,,,
93.49065,1,j4-1,,,
93.49065,2,j3-4,,,
93.49065,3,j1-2,,,
93.49065,4,j2-3,,,
93.49065,5,j3-4,,,
93.55731,MOT_mc_stage_color_00,r-flash,,
94.09058999999999,1,1-2,,,
94.09058999999999,2,4-1,,,
94.09058999999999,3,2-3,,,
94.09058999999999,4,3-4,,,
94.09058999999999,5,4-1,,,
94.49055,1,j2-3,,,
94.62387,2,j1-2,,,
94.62387,3,j3-4,,,
94.72386,4,j4-1,,,
94.72386,5,j1-2,,,
94.92384,MOT_mc_stage_color_00,b-flash,,
95.35713,1,3-4,,,
95.35713,2,2-3,,,
95.35713,3,4-1,,,
95.35713,4,1-2,,,
95.35713,5,2-3,,,
95.62377,MOT_mc_stage_color_00,y-flash,,
95.69042999999999,1,lp4,,,
95.69042999999999,2,lp3,,,
95.69042999999999,3,lp1,,,
95.69042999999999,4,lp2,,,
95.69042999999999,5,lp3,,,
96.25703999999999,MOT_mc_stage_color_00,r-flash,,
96.69032999999999,1,j4-1,,,
96.69032999999999,2,j3-4,,,
96.69032999999999,3,j1-2,,,
96.69032999999999,4,j2-3,,,
96.69032999999999,5,j3-4,,,
96.89031,MOT_mc_stage_color_00,b-flash,,
97.52358,MOT_mc_stage_color_00,y-flash,,
97.75689,5,w4,,,
97.75689,4,w3,,,
97.75689,3,w2,,,
97.75689,2,w4,,,
97.75689,1,w1,,,
97.85687999999999,1,1-2,,,
97.85687999999999,2,4-1,,,
97.85687999999999,3,2-3,,,
97.85687999999999,4,3-4,,,
97.85687999999999,5,4-1,,,
98.15684999999999,1,j2-3,,,
98.22350999999999,MOT_mc_stage_color_00,r-flash,,
98.29016999999999,2,j1-2,,,
98.29016999999999,3,j3-4,,,
98.39016,4,j4-1,,,
98.39016,5,j1-2,,,
98.79012,1,3-4,,,
98.79012,2,2-3,,,
98.79012,3,4-1,,,
98.85678,MOT_mc_stage_color_00,b-flash,,
99.19008,4,1-2,,,
99.19008,5,2-3,,,
99.45671999999999,MOT_mc_stage_color_00,y-flash,,
99.52337999999999,1,j4-1,,,
99.52337999999999,2,j3-4,,,
99.52337999999999,3,j1-2,,,
99.52337999999999,4,j2-3,,,
99.52337999999999,5,j3-4,,,
100.02333,1,lp1,,,
100.02333,2,lp4,,,
100.02333,3,lp2,,,
100.02333,4,lp3,,,
100.02333,5,lp4,,,
100.08999,MOT_mc_stage_color_00,r-flash,,
100.72326,MOT_mc_stage_color_00,b-flash,,
101.38986,MOT_mc_stage_color_00,y-flash,,
101.88981,1,j1-2,,,
101.88981,2,j4-1,,,
101.88981,3,j2-3,,,
101.88981,4,j3-4,,,
101.88981,5,j4-1,,,
101.92313999999999,MOT_mc_stage_color_00,r-flash,,
102.68973,MOT_mc_stage_color_00,b-flash,,
102.82305,1,2-3,,,
102.82305,2,1-2,,,
102.82305,3,3-4,,,
102.82305,4,4-1,,,
102.82305,5,1-2,,,
103.28967,MOT_mc_stage_color_00,y-flash,,
103.323,1,j3-4,,,
103.323,2,j2-3,,,
103.323,3,j4-1,,,
103.323,4,j1-2,,,
103.323,5,j2-3,,,
103.78962,1,4-1,,,
103.78962,2,3-4,,,
103.78962,3,1-2,,,
103.78962,4,2-3,,,
103.78962,5,3-4,,,
103.92294,MOT_mc_stage_color_00,r-flash,,
104.08959,1,1-2,,,
104.08959,4,3-4,,,
104.08959,5,4-1,,,
104.38955999999999,2,4-1,,,
104.38955999999999,3,2-3,,,
104.55621,MOT_mc_stage_color_00,b-flash,,
104.75618999999999,1,2-3,,,
104.75618999999999,2,1-2,,,
104.75618999999999,3,3-4,,,
104.75618999999999,4,4-1,,,
104.75618999999999,5,1-2,,,
105.08949,2,2-3,,,
105.08949,3,4-1,,,
105.18947999999999,MOT_mc_stage_color_00,y-flash,,
105.28947,1,3-4,,,
105.28947,4,1-2,,,
105.28947,5,2-3,,,
105.52278,MOT_mc_stage_color_00,r-flash,,
105.62276999999999,1,j4-1,,,
105.68943,2,j3-4,,,
105.68943,3,j1-2,,,
105.75609,4,j2-3,,,
105.75609,5,j3-4,,,
106.25604,1,lp1,,,
106.25604,2,lp4,,,
106.25604,3,lp2,,,
106.25604,4,lp3,,,
106.25604,5,lp4,,,
106.45602,MOT_mc_stage_color_00,b-flash,,
106.85597999999999,1,j1-2,,,
106.85597999999999,2,j4-1,,,
106.85597999999999,3,j2-3,,,
106.85597999999999,4,j3-4,,,
106.85597999999999,5,j4-1,,,
107.12262,MOT_mc_stage_color_00,y-flash,,
107.25594,1,j2-3,,,
107.42259,2,j1-2,,,
107.42259,3,j3-4,,,
107.55591,4,j4-1,,,
107.55591,5,j1-2,,,
107.75589,MOT_mc_stage_color_00,r-flash,,
108.32249999999999,1,w3,,,
108.38915999999999,MOT_mc_stage_color_00,b-flash,,
108.48915,3,w4,,,
108.48915,2,w2,,,
108.62246999999999,5,w2,,,
108.62246999999999,4,w1,,,
108.88910999999999,5,j2-3,,,
109.02243,MOT_mc_stage_color_00,y-flash,,
109.12241999999999,4,j1-2,,,
109.35573,3,j4-1,,,
109.62236999999999,2,j2-3,,,
109.6557,MOT_mc_stage_color_00,r-flash,,
109.78902,1,j3-4,,,
109.95567,5,w3,,,
110.18898,4,w2,,,
110.28896999999999,MOT_mc_stage_color_00,b-flash,,
110.42228999999999,3,w1,,,
110.68893,2,w3,,,
110.68893,1,j4-1,,,
110.68893,4,j2-3,,,
110.68893,5,j3-4,,,
110.92223999999999,MOT_mc_stage_color_00,y-flash,,
111.22220999999999,2,j3-4,,,
111.22220999999999,3,j1-2,,,
111.55551,MOT_mc_stage_color_00,r-flash,,
111.75549,5,w4,,,
111.75549,4,w3,,,
111.75549,1,w1,,,
111.88880999999999,1,j1-2,,f2,
112.18878,2,4-1,l1,,
112.18878,3,2-3,r1,,
112.22211,MOT_mc_stage_color_00,b-flash,,
112.35543,4,3-4,l1,,
112.35543,5,4-1,r1,,
112.82204999999999,MOT_mc_stage_color_00,y-flash,,
112.95537,1,w2,,,
113.12201999999999,3,w3,,,
113.12201999999999,2,w1,,,
113.28867,5,w1,,,
113.28867,4,w4,,,
113.28867,1,j2-3,,,
113.28867,2,j1-2,,,
113.28867,3,j3-4,,,
113.28867,4,j4-1,,,
113.28867,5,j1-2,,,
113.45532,MOT_mc_stage_color_00,r-flash,,
114.08859,1,3-4,,,
114.08859,2,2-3,,,
114.08859,3,4-1,,,
114.08859,4,1-2,,,
114.08859,5,2-3,,,
114.12191999999999,MOT_mc_stage_color_00,b-flash,,
114.45522,4,j2-3,,,
114.45522,5,j3-4,,,
114.75519,MOT_mc_stage_color_00,y-flash,,
114.75519,2,j3-4,,,
114.75519,3,j1-2,,,
115.02183,1,j4-1,,,
115.52177999999999,5,w4,,,
115.52177999999999,4,w3,,,
115.52177999999999,1,1-2,,,
115.52177999999999,2,4-1,,,
115.52177999999999,3,2-3,,,
115.52177999999999,4,3-4,,,
115.52177999999999,5,4-1,,,
115.85508,1,lp2,,,
115.85508,2,lp1,,,
115.85508,3,lp3,,,
115.85508,4,lp4,,,
115.85508,5,lp1,,,
116.15504999999999,MOT_all,cut3,,
116.9883,MOT_mc_stage_color_00,r-flash,,
118.05485999999999,MOT_control_all,zoom_11,,
118.22151,MOT_mc_stage_color_00,b-flash,,
118.22151,1,2-3,,,
118.22151,2,1-2,,,
118.22151,3,3-4,,,
118.22151,4,4-1,,,
118.22151,5,1-2,,,
118.68813,MOT_all,cut4,,
118.85477999999999,MOT_mc_stage_color_00,y-flash,,
118.85477999999999,1,j3-4,,,
118.98809999999999,MOT_mc_back_00,lt_3,,
119.15474999999999,5,w2,,,
119.15474999999999,4,w1,,,
119.15474999999999,3,w4,,,
119.15474999999999,2,w2,,,
119.35472999999999,2,j2-3,,,
