0.03333,MOT_mc_bg_black_00,seat100-0,,
0.89991,MOT_all,cut1,,
1.26654,MOT_control_all,z100-130,,
1.3998599999999999,MOT_mc_bg_black_00,b65-20,,
1.3998599999999999,MOT_mc_stage_color_00,r-flash,,
1.3998599999999999,MOT_mc_light_up_00,l2,,
1.3998599999999999,MOT_mc_light_center_00,l3_nomonitor,,
1.3998599999999999,MOT_mc_light_under_00,l1,,
1.3998599999999999,MOT_mc_speaker_00,temp2,,
1.3998599999999999,MOT_mc_special_05,rainbow,,
46.96197,3,3-4,,,
46.96197,1,sp2-3,,,
47.82855,1,sj3,,,
47.89521,3,w4,,,
47.89521,2,w4,,,
48.26184,1,lp3,,,
48.96177,2,j4-1,,,
48.96177,3,j4-1,,,
48.96177,1,3-4,r1,,
49.49505,2,1-2,l5,,
49.49505,3,1-2,r5,,
49.89501,1,w4,,,
50.02833,2,j2-3,,,
50.02833,3,j2-3,,,
50.528279999999995,2,3-4,lb4,,
50.528279999999995,3,3-4,rb4,,
51.22821,MOT_mc_stage_color_00,b-flash,,
51.22821,2,4-1,lb3,,
51.22821,3,4-1,rb3,,
51.22821,1,4-1,rb0,,
51.728159999999995,1,1-2,l1,,
52.161449999999995,3,w1,,,
52.161449999999995,2,w1,,,
52.36143,1,2-3,,,
52.72806,1,sj3,,,
53.16135,1,j3-4,,,
53.827949999999994,1,lp4,,,
54.227909999999994,2,1-2,lb2,,
54.227909999999994,3,1-2,rb2,,
54.227909999999994,1,4-1,lb0,,
54.76119,1,lp1,,,
54.961169999999996,MOT_mc_stage_color_00,b-flash,,
54.961169999999996,MOT_mc_bg_black_00,b45-65,,
54.961169999999996,2,,,,D40
54.961169999999996,3,,,,D40
55.16115,3,w2,,,
55.16115,2,w2,,,
55.327799999999996,2,sj2,,,
55.327799999999996,3,sj2,,,
55.327799999999996,1,1-2,,,
55.761089999999996,2,2-3,,,
55.761089999999996,3,2-3,,,
55.761089999999996,1,sj2,,,
56.261039999999994,1,w2,,,
56.29437,2,sj3,,,
56.29437,3,sj3,,,
56.29437,1,sj2,,,
56.79432,3,w3,,,
56.79432,1,w2,,,
56.79432,2,3-4,,,
56.79432,3,3-4,,,
56.79432,1,j2-3,,,
57.12762,2,sj4,,,
57.12762,3,sj4,,,
57.460919999999994,2,j4-1,,,
57.460919999999994,3,j4-1,,,
57.460919999999994,1,hj3,,,
57.894209999999994,2,sj1,,,
57.894209999999994,3,sj1,,,
58.3275,2,sj1,,,
58.3275,3,sj1,,,
58.694129999999994,1,w3,,,
58.694129999999994,2,1-2,,,
58.694129999999994,3,1-2,,,
59.094089999999994,2,hj2,,,
59.094089999999994,3,hj2,,,
59.52738,1,3-4,,,
59.96067,2,sj2,,,
59.96067,3,sj2,,,
59.96067,1,sj4,,,
60.46062,3,w2,,,
60.46062,2,w2,,,
60.46062,1,w4,,,
60.49395,2,sj2,,,
60.49395,3,sj2,,,
60.49395,1,sj4,,,
60.9939,3,w2,,,
60.9939,1,w4,,,
60.9939,2,2-3,,,
60.9939,3,2-3,,,
60.9939,1,j4-1,,,
61.3272,2,sj3,,,
61.3272,3,sj3,,,
61.6605,2,j3-4,,,
61.6605,3,j3-4,,,
61.6605,1,j1-2,,,
62.260439999999996,1,lp2,,,
62.727059999999994,3,w4,,,
62.727059999999994,2,w4,,,
62.760389999999994,1,2-3,,,
62.89371,2,4-1,,,
62.89371,3,4-1,,,
63.160349999999994,1,lp3,,,
63.29367,2,hj1,,,
63.29367,3,hj1,,,
63.62697,1,3-4,,,
64.02693,1,lp4,,,
64.52687999999999,3,w1,,,
64.52687999999999,2,w1,,,
64.82685,MOT_control_all,z100-130_2,,
64.82685,2,1-2,,,
64.82685,3,1-2,,,
64.9935,MOT_mc_bg_black_00,b45-20,,
64.9935,MOT_mc_light_up_00,l4,,
64.9935,MOT_mc_light_center_00,l3_nomonitor,,
64.9935,MOT_mc_stage_color_00,r-flash,,
64.9935,MOT_mc_special_02,kirakira,,
64.9935,MOT_mc_special_05,rainbow2,,
64.9935,2,,,,L0
64.9935,3,,,,L0
65.32679999999999,1,4-1,l1,,
65.32679999999999,2,2-3,l3,,
65.32679999999999,3,2-3,rb1,,
65.89341,1,1-2,l2,,
65.89341,2,3-4,l4,,
65.89341,3,3-4,rb0,,
66.39336,1,lp2,,,
66.39336,2,lp4,,,
66.39336,3,lp4,,,
66.92663999999999,1,2-3,l3,,
66.92663999999999,2,4-1,l5,,
66.92663999999999,3,4-1,l1,,
67.52658,1,3-4,lb2,,
67.85988,3,w1,,,
67.85988,2,w1,,,
67.92654,2,1-2,lb4,,
67.92654,3,1-2,lb0,,
68.45982,1,w4,,,
68.49315,1,4-1,lb1,,
68.49315,2,2-3,lb3,,
68.49315,3,2-3,r1,,
69.02642999999999,1,1-2,lb0,,
69.02642999999999,2,3-4,lb2,,
69.02642999999999,3,3-4,r2,,
69.69303,1,sp2-3,,,
69.92634,2,sp4-1,,,
69.92634,3,sp4-1,,,
70.72626,1,3-4,r1,,
70.72626,2,1-2,lb1,,
70.72626,3,1-2,r3,,
71.15955,1,4-1,r2,,
71.15955,2,2-3,lb0,,
71.15955,3,2-3,r4,,
71.72616,1,1-2,,,
71.72616,2,3-4,,,
71.72616,3,3-4,,,
72.22610999999999,1,j2-3,,,
72.22610999999999,2,j4-1,,,
72.22610999999999,3,j4-1,,,
73.09268999999999,1,3-4,rb1,,
73.09268999999999,2,1-2,l1,,
73.09268999999999,3,1-2,rb3,,
73.62597,1,lp4,,,
73.62597,2,lp2,,,
73.62597,3,lp2,,,
74.35923,1,4-1,rb0,,
74.35923,2,2-3,l2,,
74.35923,3,2-3,rb2,,
74.85918,1,lp1,,,
74.85918,2,lp3,,,
74.85918,3,lp3,,,
75.45912,1,j1-2,,,
75.45912,2,j3-4,,,
75.45912,3,j3-4,,,
75.95907,1,lp2,,,
75.95907,2,lp4,,,
75.95907,3,lp4,,,
76.55901,1,2-3,,,
76.9923,2,4-1,,,
77.3256,3,4-1,,,
77.49225,1,w3,,,
77.6589,1,3-4,l1,,
77.6589,2,1-2,l3,,
77.6589,3,1-2,rb1,,
78.12552,1,lp4,,,
78.12552,2,lp2,,,
78.12552,3,lp2,,,
78.85878,1,4-1,lb0,,
78.85878,2,2-3,lb2,,
78.85878,3,2-3,r2,,
79.3254,1,lp1,,,
79.3254,2,lp3,,,
79.3254,3,lp3,,,
79.72536,MOT_mc_stage_color_00,r-flash,,
79.82535,3,3-4,,b-1,
80.22531,MOT_mc_stage_color_00,r-flash,,
80.22531,1,1-2,,b0,
80.62527,2,3-4,,b-1,
80.75859,3,w4,,,
80.82525,MOT_mc_stage_color_00,r-flash,,
80.9919,1,2-3,,f1,
80.9919,2,4-1,,f0,
80.9919,3,4-1,,f0,
81.49185,1,lp3,,,
81.49185,2,lp1,,,
81.49185,3,lp1,,,
82.32509999999999,1,3-4,r1,,
82.32509999999999,2,1-2,lb1,,
82.32509999999999,3,1-2,r3,,
82.89171,1,4-1,r2,,
82.89171,2,2-3,lb0,,
82.89171,3,2-3,r4,,
83.39166,1,lp1,,,
83.39166,2,lp3,,,
83.39166,3,lp3,,,
83.92493999999999,1,1-2,r3,,
83.92493999999999,2,3-4,r1,,
83.92493999999999,3,3-4,r5,,
84.52488,1,2-3,rb2,,
84.85817999999999,3,w4,,,
84.85817999999999,2,w4,,,
84.92484,2,4-1,rb0,,
84.92484,3,4-1,rb4,,
85.45812,1,w3,,,
85.49145,1,3-4,rb1,,
85.49145,2,1-2,l1,,
85.49145,3,1-2,rb3,,
86.02472999999999,1,4-1,rb0,,
86.02472999999999,2,2-3,l2,,
86.02472999999999,3,2-3,rb2,,
86.69133,1,sp1-2,,,
86.92464,2,sp3-4,,,
86.92464,3,sp3-4,,,
87.72456,1,2-3,l1,,
87.72456,2,4-1,l3,,
87.72456,3,4-1,rb1,,
88.15785,1,3-4,l2,,
88.15785,2,1-2,l4,,
88.15785,3,1-2,rb0,,
88.72446,1,4-1,,,
88.72446,2,2-3,,,
88.72446,3,2-3,,,
89.22440999999999,1,j1-2,,,
89.22440999999999,2,j3-4,,,
89.22440999999999,3,j3-4,,,
90.09098999999999,1,2-3,lb1,,
90.09098999999999,2,4-1,lb3,,
90.09098999999999,3,4-1,r1,,
90.62427,1,lp3,,,
90.62427,2,lp1,,,
90.62427,3,lp1,,,
91.35753,1,3-4,lb0,,
91.35753,2,1-2,lb2,,
91.35753,3,1-2,r2,,
91.85748,1,lp4,,,
91.85748,2,lp2,,,
91.85748,3,lp2,,,
92.45742,1,j4-1,,,
92.45742,2,j2-3,,,
92.45742,3,j2-3,,,
92.95737,1,lp1,,,
92.95737,2,lp3,,,
92.95737,3,lp3,,,
93.55731,1,1-2,,,
93.9906,2,3-4,,,
94.3239,3,3-4,,,
94.49055,1,w2,,,
94.65719999999999,1,2-3,r1,,
94.65719999999999,2,4-1,lb1,,
94.65719999999999,3,4-1,r3,,
95.12382,1,lp3,,,
95.12382,2,lp1,,,
95.12382,3,lp1,,,
95.85708,1,3-4,rb0,,
95.85708,2,1-2,l2,,
95.85708,3,1-2,rb2,,
96.22371,MOT_control_all,z130-100_2,,
96.3237,1,lp4,,,
96.3237,2,lp2,,,
96.3237,3,lp2,,,
96.82365,1,4-1,,,
96.82365,2,2-3,,,
96.82365,3,2-3,,,
97.3236,1,j1-2,,,
97.3236,2,j3-4,,,
97.3236,3,j3-4,,,
97.85687999999999,2,4-1,,,
97.85687999999999,3,4-1,,,
98.15684999999999,1,sj2,,,
98.42349,2,1-2,,,
98.42349,3,1-2,,,
98.65679999999999,1,w2,,,
98.72345999999999,1,sj2,,,
99.05676,1,j2-3,,,
99.05676,2,j2-3,,,
99.05676,3,j2-3,,,
99.52337999999999,1,lp3,,,
99.52337999999999,2,lp3,,,
99.52337999999999,3,lp3,,,
99.95667,2,sj3,,,
100.12331999999999,3,sj3,,,
100.45662,2,w3,,,
100.62326999999999,3,w3,,,
100.62326999999999,1,3-4,,,
100.62326999999999,2,3-4,,,
100.62326999999999,3,3-4,,,
101.12321999999999,1,j4-1,,,
101.12321999999999,2,j4-1,,,
101.12321999999999,3,j4-1,,,
101.72316,1,lp1,,,
101.72316,2,lp1,,,
101.72316,3,lp1,,,
102.18978,1,1-2,r1,,
102.18978,2,1-2,lb1,,
102.18978,3,1-2,r3,,
102.82305,1,2-3,r2,,
102.82305,2,2-3,lb0,,
102.82305,3,2-3,r4,,
103.35633,1,3-4,r3,,
103.35633,2,3-4,r1,,
103.35633,3,3-4,r5,,
104.18957999999999,1,4-1,rb2,,
104.18957999999999,2,4-1,rb0,,
104.18957999999999,3,4-1,rb4,,
104.82284999999999,1,1-2,rb1,,
104.82284999999999,2,1-2,l1,,
104.82284999999999,3,1-2,rb3,,
105.35613,1,2-3,rb0,,
105.35613,2,2-3,l2,,
105.35613,3,2-3,rb2,,
106.15605,1,sj3,,,
106.15605,2,sj3,,,
106.15605,3,sj3,,,
106.48935,1,3-4,l1,,
106.48935,2,3-4,l3,,
106.48935,3,3-4,rb1,,
107.05596,1,sj4,,,
107.05596,2,sj4,,,
107.05596,3,sj4,,,
107.35593,1,4-1,l2,,
107.35593,2,4-1,l4,,
107.35593,3,4-1,rb0,,
107.68923,1,sj1,,,
107.68923,2,sj1,,,
107.68923,3,sj1,,,
108.02252999999999,1,1-2,l3,,
108.02252999999999,2,1-2,l5,,
108.02252999999999,3,1-2,l1,,
108.75578999999999,1,2-3,,,
108.82244999999999,2,2-3,,,
108.88910999999999,3,2-3,,,
109.25573999999999,1,j3-4,,,
109.25573999999999,2,j3-4,,,
109.25573999999999,3,j3-4,,,
109.72236,1,4-1,lb2,,
109.72236,2,4-1,lb4,,
109.72236,3,4-1,lb0,,
110.18898,1,j1-2,,,
110.18898,2,j1-2,,,
110.18898,3,j1-2,,,
110.65559999999999,1,sj2,,,
110.65559999999999,2,sj2,,,
110.65559999999999,3,sj2,,,
110.9889,1,2-3,lb1,,
110.9889,2,2-3,lb3,,
110.9889,3,2-3,r1,,
111.3222,1,sj3,,,
111.3222,2,sj3,,,
111.3222,3,sj3,,,
111.65549999999999,1,3-4,lb0,,
111.65549999999999,2,3-4,lb2,,
111.65549999999999,3,3-4,r2,,
112.02212999999999,1,j4-1,,,
112.02212999999999,2,j4-1,,,
112.02212999999999,3,j4-1,,,
112.55541,1,lp1,,,
112.55541,2,lp1,,,
112.55541,3,lp1,,,
112.75538999999999,1,j1-2,,,
112.82204999999999,2,j1-2,,,
112.85538,3,j1-2,,,
113.28867,1,lp2,,,
113.28867,2,lp2,,,
113.28867,3,lp2,,,
113.72196,1,2-3,,,
114.55520999999999,2,2-3,,,
114.55520999999999,3,2-3,,,
114.6552,1,w3,,,
115.05516,1,lp3,,,
115.05516,2,lp3,,,
115.05516,3,lp3,,,
119.68803,MOT_mc_stage_color_00,r-flash,,
119.68803,MOT_mc_light_up_00,l1,,
119.68803,MOT_mc_light_center_00,l1_nomonitor,,
119.68803,1,3-4,,,
119.68803,2,3-4,,,
119.68803,3,3-4,,,
120.62127,3,w4,,,
120.62127,2,w4,,,
120.62127,1,w4,,,
