0.03333,MOT_mc_bg_black_00,seat100-0,,
2.7997199999999998,MOT_mc_light_up_00,l1,,
88.75779,1,w1,,,
88.85777999999999,1,1-2,r1,,
89.3244,1,2-3,,,
89.35772999999999,5,w3,,,
89.35772999999999,4,w3,,,
89.35772999999999,3,w1,,,
89.35772999999999,2,w1,,,
89.95767,2,1-2,r1,,
89.95767,3,1-2,r1,,
90.15764999999999,MOT_mc_stage_color_00,b-flash,,
90.25764,1,w3,,,
90.29097,4,3-4,r1,,
90.29097,5,3-4,r1,,
90.6576,1,3-4,rb0,,
90.6576,2,2-3,rb0,,
90.6576,3,2-3,rb0,,
90.6576,4,4-1,rb0,,
90.6576,5,4-1,rb0,,
90.82424999999999,MOT_mc_stage_color_00,r-flash,,
91.45752,4,1-2,,,
91.59084,5,w1,,,
91.59084,3,w3,,,
91.59084,2,w3,,,
91.59084,1,w4,,,
91.75748999999999,2,3-4,,,
91.75748999999999,4,2-3,,,
91.85748,MOT_mc_stage_color_00,b-flash,,
92.02413,1,4-1,,,
92.3241,1,1-2,,,
92.3241,3,3-4,,,
92.39076,MOT_mc_stage_color_00,r-flash,,
92.59074,5,1-2,,,
92.69073,4,w3,,,
92.69073,2,w4,,,
92.89071,1,2-3,,,
92.89071,2,4-1,,,
92.89071,3,4-1,,,
92.89071,4,3-4,,,
92.89071,5,2-3,,,
92.95737,MOT_mc_stage_color_00,b-flash,,
93.45732,1,3-4,,,
93.45732,2,1-2,r1,,
93.45732,3,1-2,l1,,
93.45732,4,4-1,r1,,
93.45732,5,3-4,l1,,
93.49065,MOT_mc_stage_color_00,b-flash,,
93.89061,1,sp4-1,,,
93.89061,2,sp2-3,,,
93.89061,3,sp2-3,,,
93.89061,4,sp1-2,,,
93.89061,5,sp4-1,,,
93.92394,MOT_mc_stage_color_00,y-flash,,
94.3239,1,j1-2,,,
94.3239,2,j3-4,,,
94.3239,3,j3-4,,,
94.3239,4,j2-3,,,
94.3239,5,j1-2,,,
94.35723,MOT_mc_stage_color_00,b-flash,,
94.82385,1,2-3,,,
94.82385,2,4-1,rb0,,
94.82385,3,4-1,lb0,,
94.85718,MOT_mc_stage_color_00,b-flash,,
95.12382,4,3-4,rb0,,
95.12382,5,2-3,lb0,,
95.19048,MOT_mc_stage_color_00,r-flash,,
95.6571,3,1-2,r1,,
95.6571,5,3-4,r1,,
95.75708999999999,2,w1,,,
95.75708999999999,1,w3,,,
95.75708999999999,MOT_mc_stage_color_00,b-flash,,
95.9904,2,1-2,l1,,
95.9904,4,4-1,l1,,
96.09039,MOT_mc_stage_color_00,r-flash,,
96.45702,1,3-4,,,
96.59034,5,w4,,,
96.59034,3,w2,,,
96.62366999999999,2,j2-3,,,
96.62366999999999,3,j2-3,,,
96.79032,1,j4-1,,,
96.92363999999999,4,w1,,,
97.09029,2,3-4,lb0,,
97.09029,3,3-4,rb0,,
97.49024999999999,1,1-2,,,
97.49024999999999,4,1-2,lb0,,
97.49024999999999,5,4-1,rb0,,
97.62357,MOT_mc_stage_color_00,b-flash,,
98.02353,3,w4,,,
98.02353,2,w4,,,
98.25684,1,2-3,,,
98.25684,3,4-1,,,
98.25684,5,1-2,,,
98.29016999999999,MOT_mc_stage_color_00,b-flash,,
98.42349,4,w2,,,
98.59013999999999,1,3-4,,,
98.59013999999999,2,4-1,,,
98.59013999999999,4,2-3,,,
98.62347,MOT_mc_stage_color_00,r-flash,,
99.19008,5,w2,,,
99.19008,3,w1,,,
99.22341,2,j1-2,,,
99.25674,MOT_mc_stage_color_00,b-flash,,
99.52337999999999,4,w3,,,
99.52337999999999,1,w4,,,
99.55671,3,j1-2,,,
99.62337,MOT_mc_stage_color_00,r-flash,,
99.79002,4,j3-4,,,
99.99,5,j2-3,,,
100.18997999999999,1,j4-1,,,
100.28997,2,w2,,,
100.55660999999999,2,2-3,,,
100.55660999999999,3,2-3,,,
100.55660999999999,4,4-1,,,
100.55660999999999,5,3-4,,,
100.68992999999999,MOT_mc_stage_color_00,b-flash,,
101.12321999999999,MOT_mc_stage_color_00,r-flash,,
101.25654,1,w1,,,
101.28987,1,1-2,,,
101.48984999999999,5,w4,,,
101.48984999999999,4,w1,,,
101.48984999999999,3,w3,,,
101.48984999999999,2,w3,,,
101.68983,1,2-3,,,
101.68983,2,3-4,,,
101.68983,3,3-4,,,
102.15644999999999,4,1-2,,,
102.25644,MOT_mc_stage_color_00,b-flash,,
102.38976,5,4-1,,,
102.62307,3,w4,,,
102.62307,2,w4,,,
102.62307,1,w3,,,
102.65639999999999,1,j3-4,,,
103.08968999999999,4,w2,,,
103.12302,1,4-1,,,
103.12302,2,4-1,,,
103.12302,3,4-1,,,
103.12302,4,2-3,,,
103.12302,5,1-2,,,
103.18968,MOT_mc_stage_color_00,r-flash,,
103.75628999999999,2,1-2,,,
103.75628999999999,4,3-4,,,
104.05626,5,w2,,,
104.05626,3,w1,,,
104.05626,1,w1,,,
104.15625,2,hj2,,,
104.15625,4,hj4,,,
104.18957999999999,MOT_mc_stage_color_00,b-flash,,
104.45622,3,1-2,,,
104.45622,5,2-3,,,
104.75618999999999,MOT_mc_stage_color_00,r-flash,,
104.78952,3,hj2,,,
104.78952,5,hj3,,,
105.12281999999999,1,1-2,,,
105.3228,MOT_mc_stage_color_00,b-flash,,
105.38946,4,w4,,,
105.38946,2,w2,,,
105.45612,1,hj2,,,
105.45612,2,2-3,,,
