0.03333,MOT_mc_bg_black_00,seat100-0,,
2.43309,MOT_mc_speaker_00,temp4,,
2.43309,MOT_mc_light_up_00,l1,,
11.59884,MOT_mc_stage_color_00,y-flash,,
11.79882,1,1-2,,,
11.79882,2,j2-3,,,
11.79882,3,j2-3,,,
11.79882,4,j2-3,,,
11.79882,5,j2-3,,,
11.89881,MOT_mc_stage_color_00,b-flash,,
12.09879,1,lp2,,,
12.79872,1,j2-3,,,
12.79872,2,sp3-4,,,
12.79872,3,sp3-4,,,
12.79872,4,sp3-4,,,
12.79872,5,sp3-4,,,
13.26534,1,3-4,,,
13.26534,2,j4-1,,,
13.26534,3,j4-1,,,
13.26534,4,j4-1,,,
13.26534,5,j4-1,,,
13.29867,MOT_mc_stage_color_00,b-flash,,
13.76529,1,4-1,,,
13.89861,MOT_mc_stage_color_00,b-flash,,
13.965269999999999,2,1-2,,,
13.965269999999999,3,1-2,,,
13.965269999999999,4,1-2,,,
13.965269999999999,5,1-2,,,
14.43189,1,1-2,,,
14.53188,MOT_mc_stage_color_00,b-flash,,
14.59854,4,2-3,,,
14.59854,5,2-3,,,
14.79852,1,2-3,,,
14.79852,2,2-3,,,
14.79852,3,2-3,,,
14.89851,MOT_mc_stage_color_00,y-flash,,
15.165149999999999,1,j3-4,,,
15.165149999999999,2,3-4,,,
15.165149999999999,3,3-4,,,
15.165149999999999,4,3-4,,,
15.165149999999999,5,3-4,,,
15.29847,MOT_mc_stage_color_00,b-flash,,
15.79842,1,,,,D20
15.79842,1,4-1,,b0,
15.79842,2,4-1,,,
15.79842,3,4-1,,,
15.79842,4,4-1,,,
15.79842,5,4-1,,,
15.965069999999999,MOT_mc_stage_color_00,b-flash,,
16.63167,1,1-2,,,
16.63167,2,1-2,,,
16.63167,3,1-2,,,
16.63167,4,1-2,,,
16.63167,5,1-2,,,
16.79832,MOT_mc_stage_color_00,b-flash,,
17.131619999999998,1,j2-3,,,
17.131619999999998,2,j2-3,,,
17.131619999999998,3,j2-3,,,
17.131619999999998,4,j2-3,,,
17.131619999999998,5,j2-3,,,
17.364929999999998,MOT_mc_stage_color_00,b-flash,,
17.79822,1,3-4,,,
17.79822,2,3-4,,,
17.79822,3,3-4,,,
17.79822,4,3-4,,,
17.79822,5,3-4,,,
17.9982,MOT_mc_stage_color_00,b-flash,,
18.53148,1,4-1,r1,,
18.53148,2,4-1,r1,,
18.53148,3,4-1,r1,,
18.53148,4,4-1,r1,,
18.53148,5,4-1,r1,,
18.59814,MOT_mc_stage_color_00,b-flash,,
19.26474,1,1-2,rb0,,
19.26474,2,1-2,rb0,,
19.26474,3,1-2,rb0,,
19.26474,4,1-2,rb0,,
19.26474,5,1-2,rb0,,
19.398059999999997,MOT_mc_stage_color_00,b-flash,,
19.69803,1,j2-3,,,
19.93134,MOT_mc_stage_color_00,b-flash,,
20.09799,3,2-3,,,
20.09799,5,2-3,,,
20.197979999999998,4,w2,,,
20.197979999999998,2,w2,,,
20.26464,2,2-3,,,
20.26464,4,2-3,,,
20.36463,MOT_mc_stage_color_00,y-flash,,
20.53128,1,j3-4,,,
20.69793,2,j3-4,,,
20.69793,3,j3-4,,,
20.797919999999998,MOT_mc_stage_color_00,b-flash,,
20.86458,4,j3-4,,,
20.86458,5,j3-4,,,
21.23121,1,4-1,,,
21.23121,2,4-1,,,
21.23121,3,4-1,,,
21.23121,4,4-1,,,
21.23121,5,4-1,,,
21.3312,MOT_mc_stage_color_00,b-flash,,
21.96447,1,j1-2,,,
21.96447,2,j1-2,,,
21.96447,3,j1-2,,,
21.96447,4,j1-2,,,
21.96447,5,j1-2,,,
22.16445,MOT_mc_stage_color_00,b-flash,,
22.46442,1,2-3,l1,,
22.46442,2,2-3,l1,,
22.46442,3,2-3,l1,,
22.46442,4,2-3,l1,,
22.46442,5,2-3,l1,,
22.631069999999998,MOT_mc_stage_color_00,y-flash,,
22.831049999999998,1,3-4,lb0,,
22.831049999999998,2,3-4,lb0,,
22.831049999999998,3,3-4,lb0,,
22.831049999999998,4,3-4,lb0,,
22.831049999999998,5,3-4,lb0,,
22.96437,MOT_mc_stage_color_00,b-flash,,
23.16435,1,j4-1,,,
23.16435,2,j4-1,,,
23.16435,3,j4-1,,,
23.16435,4,j4-1,,,
23.16435,5,j4-1,,,
23.430989999999998,MOT_mc_stage_color_00,y-flash,,
23.864279999999997,1,1-2,,,
23.96427,MOT_mc_stage_color_00,b-flash,,
24.19758,2,1-2,,,
24.19758,3,1-2,,,
24.230909999999998,5,w1,,,
24.230909999999998,4,w1,,,
24.39756,MOT_mc_stage_color_00,y-flash,,
24.430889999999998,1,2-3,,,
24.430889999999998,4,1-2,,,
24.430889999999998,5,1-2,,,
24.664199999999997,2,j2-3,,,
24.664199999999997,3,j2-3,,,
24.864179999999998,MOT_mc_stage_color_00,b-flash,,
24.89751,4,j2-3,,,
24.89751,5,j2-3,,,
25.230809999999998,1,j3-4,,,
25.3308,MOT_mc_stage_color_00,y-flash,,
25.664099999999998,4,j3-4,,,
25.73076,3,w3,,,
25.73076,2,w3,,,
25.79742,MOT_mc_stage_color_00,b-flash,,
25.79742,1,j4-1,,,
25.79742,2,j3-4,,,
25.79742,3,j3-4,,,
25.93074,5,j3-4,,,
26.43069,1,j1-2,,,
26.43069,2,sp4-1,,,
26.43069,3,sp4-1,,,
26.43069,4,sp4-1,,,
26.43069,5,sp4-1,,,
26.497349999999997,MOT_mc_stage_color_00,y-flash,,
26.83065,2,j1-2,,,
26.83065,3,j1-2,,,
26.83065,4,j1-2,,,
26.83065,5,j1-2,,,
26.897309999999997,MOT_mc_stage_color_00,b-flash,,
26.897309999999997,MOT_mc_speaker_00,temp1,,
26.897309999999997,MOT_mc_light_up_00,l3,,
26.897309999999997,1,,,,L0
27.13062,1,2-3,,f1,
27.13062,2,sort,-500,
27.13062,3,sort,-500,
27.13062,4,sort,-500,
27.13062,5,sort,-500,
27.43059,1,3-4,,,
27.897209999999998,5,w2,,,
27.897209999999998,4,w2,,,
27.897209999999998,3,w2,,,
27.897209999999998,2,w2,,,
27.96387,1,4-1,l1,,
28.330499999999997,1,1-2,,,
28.86378,1,hj2,,,
29.36373,2,j2-3,,,
29.36373,3,j2-3,,,
29.36373,4,j2-3,,,
29.36373,5,j2-3,,,
29.43039,MOT_mc_stage_color_00,b-flash,,
29.697029999999998,1,2-3,,,
30.03033,1,3-4,lb0,,
30.43029,5,w3,,,
30.43029,4,w3,,,
30.43029,3,w3,,,
30.43029,2,w3,,,
30.63027,1,4-1,,,
31.06356,1,,r1,,
31.530179999999998,1,j1-2,,,
32.13012,1,2-3,,,
32.13012,2,j3-4,,,
32.13012,3,j3-4,,,
32.13012,4,j3-4,,,
32.13012,5,j3-4,,,
32.230109999999996,MOT_mc_stage_color_00,b-flash,,
32.630069999999996,1,j3-4,,,
33.13002,1,4-1,rb0,,
33.19668,5,w4,,,
33.19668,4,w4,,,
33.19668,3,w4,,,
33.19668,2,w4,,,
33.463319999999996,1,lp1,,,
34.263239999999996,1,j1-2,,,
34.296569999999996,MOT_mc_stage_color_00,b-flash,,
34.39656,2,j4-1,,,
34.39656,3,j4-1,,,
34.52988,4,j4-1,,,
34.52988,5,j4-1,,,
34.79652,1,2-3,,,
34.9965,MOT_mc_stage_color_00,y-flash,,
35.463119999999996,3,w1,,,
35.463119999999996,2,w1,,,
35.463119999999996,1,j3-4,,,
35.59644,5,w1,,,
35.59644,4,w1,,,
35.69643,MOT_mc_stage_color_00,b-flash,,
36.12972,1,4-1,,,
36.26304,MOT_mc_stage_color_00,b-flash,,
36.42969,1,1-2,,,
36.79632,1,hj2,,,
36.79632,2,j1-2,,,
36.79632,3,j1-2,,,
36.79632,4,j1-2,,,
36.79632,5,j1-2,,,
36.92964,MOT_mc_stage_color_00,y-flash,,
37.46292,2,2-3,,,
37.46292,3,2-3,,,
37.46292,4,2-3,,,
37.46292,5,2-3,,,
37.62957,MOT_mc_stage_color_00,b-flash,,
37.79622,1,2-3,l1,,
38.12952,1,3-4,,,
38.12952,2,3-4,,,
38.12952,3,3-4,,,
38.12952,4,3-4,,,
38.12952,5,3-4,,,
38.62947,1,4-1,,,
39.06276,5,w4,,,
39.06276,4,w4,,,
39.06276,3,w4,,,
39.06276,2,w4,,,
39.06276,1,j1-2,,,
39.6627,1,j2-3,,,
40.29597,MOT_mc_stage_color_00,b-flash,,
40.46262,1,3-4,,,
40.795919999999995,1,4-1,lb0,,
40.795919999999995,2,4-1,,,
40.795919999999995,3,4-1,,,
40.795919999999995,4,4-1,,,
40.795919999999995,5,4-1,,,
41.46252,1,j1-2,,,
41.72916,5,w1,,,
41.72916,4,w1,,,
41.72916,3,w1,,,
41.72916,2,w1,,,
41.89581,1,2-3,r1,,
42.3291,1,3-4,,,
42.92904,1,j4-1,,,
42.9957,MOT_mc_stage_color_00,b-flash,,
43.42899,1,1-2,rb0,,
43.42899,2,1-2,,,
43.42899,3,1-2,,,
43.46232,MOT_mc_stage_color_00,y-flash,,
43.92894,1,hj2,,,
43.92894,2,2-3,,,
43.92894,3,2-3,,,
43.92894,4,1-2,,,
43.92894,5,1-2,,,
43.995599999999996,MOT_mc_stage_color_00,b-flash,,
44.862179999999995,5,w2,,,
44.862179999999995,4,w2,,,
44.862179999999995,3,w3,,,
44.862179999999995,2,w3,,,
45.09549,1,2-3,,,
45.46212,1,j3-4,,,
45.46212,2,3-4,,,
45.46212,3,3-4,,,
45.46212,4,2-3,,,
45.46212,5,2-3,,,
45.76209,MOT_mc_stage_color_00,b-flash,,
46.16205,1,sp4-1,,,
46.39536,5,w3,,,
46.39536,4,w3,,,
46.39536,3,w4,,,
46.39536,2,w4,,,
46.76199,1,j1-2,,,
47.12862,MOT_mc_stage_color_00,y-flash,,
47.12862,4,j3-4,,,
47.12862,5,j3-4,,,
47.261939999999996,2,j4-1,,,
47.36193,MOT_mc_stage_color_00,b-flash,,
47.39526,3,j4-1,,,
47.628569999999996,1,j2-3,,,
47.76189,MOT_mc_stage_color_00,y-flash,,
48.19518,5,w4,,,
48.19518,4,w4,,,
48.29517,MOT_mc_bg_black_00,b45-80_2,,
48.29517,MOT_mc_light_up_00,l1,,
48.29517,2,,,,D40
48.29517,3,,,,D40
48.29517,4,,,,D40
48.29517,5,,,,D40
48.29517,1,3-4,l1,,
48.29517,2,1-2,,,
48.29517,3,1-2,,,
48.29517,4,4-1,,,
48.29517,5,4-1,,,
48.39516,MOT_mc_stage_color_00,b-flash,,
48.39516,MOT_mc_speaker_00,temp4,,
48.62847,1,lp4,,,
48.62847,2,lp2,,,
48.62847,3,lp2,,,
48.62847,4,lp1,,,
48.62847,5,lp1,,,
49.09509,1,,l2,,
49.96167,1,4-1,,,
50.29497,1,j1-2,,,
51.02823,1,,lb1,,
51.22821,MOT_mc_stage_color_00,b-flash,,
51.361529999999995,1,w2,,,
51.394859999999994,1,2-3,lb0,,
51.728159999999995,1,lp3,,,
52.494749999999996,1,j3-4,,,
52.494749999999996,2,2-3,,,
52.494749999999996,3,2-3,,,
52.494749999999996,4,1-2,,,
52.494749999999996,5,1-2,,,
52.561409999999995,MOT_mc_stage_color_00,y-flash,,
52.961369999999995,1,4-1,,,
52.961369999999995,2,j3-4,,,
52.961369999999995,3,j3-4,,,
52.961369999999995,4,j2-3,,,
52.961369999999995,5,j2-3,,,
53.06136,MOT_mc_stage_color_00,b-flash,,
53.394659999999995,MOT_mc_bg_black_00,b80-45_2,,
53.394659999999995,MOT_mc_light_up_00,l2,,
53.394659999999995,MOT_mc_light_center_00,l2,,
53.394659999999995,MOT_mc_light_under_00,l1,,
53.56131,MOT_mc_stage_color_00,y-flash,,
53.56131,MOT_mc_speaker_00,temp1,,
53.59464,2,,,,L20
53.59464,3,,,,L20
53.59464,4,,,,L20
53.59464,5,,,,L20
53.59464,1,j1-2,,,
53.96127,2,j4-1,,,
53.96127,4,j3-4,,,
54.02793,5,w3,,,
54.02793,3,w4,,,
54.227909999999994,1,2-3,,,
54.227909999999994,3,j4-1,,,
54.227909999999994,5,j3-4,,,
54.82785,1,3-4,,,
54.86118,MOT_mc_stage_color_00,b-flash,,
55.027829999999994,4,w4,,,
55.027829999999994,2,w1,,,
55.12782,1,4-1,,,
55.12782,2,1-2,,,
55.12782,3,1-2,,,
55.29447,5,w4,,,
55.56111,1,j1-2,,,
55.56111,4,4-1,,,
55.56111,5,4-1,,,
56.02773,1,2-3,,,
56.02773,2,j2-3,,,
56.02773,3,j2-3,,,
56.02773,4,j1-2,,,
56.02773,5,j1-2,,,
56.194379999999995,MOT_mc_stage_color_00,y-flash,,
56.960969999999996,1,w3,,,
57.09429,5,w2,,,
57.09429,4,w2,,,
57.09429,3,w3,,,
57.09429,2,w3,,,
57.26094,1,j3-4,,,
57.460919999999994,MOT_mc_stage_color_00,b-flash,,
57.460919999999994,2,j3-4,,,
57.460919999999994,3,j3-4,,,
57.460919999999994,4,j2-3,,,
57.460919999999994,5,j2-3,,,
57.827549999999995,1,4-1,r1,,
58.227509999999995,1,j1-2,,,
58.52748,5,w3,,,
58.52748,4,w3,,,
58.52748,3,w4,,,
58.52748,2,w4,,,
58.72746,1,2-3,,,
58.96077,MOT_mc_stage_color_00,b-flash,,
59.26074,1,,rb0,,
59.36073,MOT_mc_stage_color_00,y-flash,,
59.56071,1,lp3,,,
59.794019999999996,MOT_mc_stage_color_00,b-flash,,
60.293969999999995,MOT_mc_stage_color_00,y-flash,,
61.027229999999996,1,3-4,,,
61.060559999999995,MOT_mc_stage_color_00,b-flash,,
61.39386,1,j4-1,,,
61.39386,2,4-1,,,
61.39386,3,4-1,,,
61.39386,4,3-4,,,
61.39386,5,3-4,,,
61.527179999999994,MOT_mc_stage_color_00,b-flash,,
61.860479999999995,3,j1-2,,,
61.860479999999995,5,j4-1,,,
62.09379,2,j1-2,,,
62.09379,4,j4-1,,,
62.12712,MOT_mc_stage_color_00,y-flash,,
62.327099999999994,1,j1-2,,,
62.693729999999995,1,2-3,,,
62.82705,MOT_mc_stage_color_00,b-flash,,
62.82705,MOT_mc_bg_black_00,b20-45,,
62.92704,5,w1,,,
62.92704,3,w2,,,
63.060359999999996,1,sp3-4,,,
63.060359999999996,2,sp2-3,,,
63.060359999999996,3,sp2-3,,,
63.060359999999996,4,sp1-2,,,
63.060359999999996,5,sp1-2,,,
63.460319999999996,1,hj4,,,
63.460319999999996,2,hj3,,,
63.460319999999996,3,hj3,,,
63.460319999999996,4,hj2,,,
63.460319999999996,5,hj2,,,
63.493649999999995,MOT_mc_stage_color_00,y-flash,,
63.493649999999995,MOT_mc_bg_black_00,b20-45,,
64.12692,1,j4-1,,,
64.12692,2,j3-4,,,
64.12692,3,j3-4,,,
64.12692,4,j2-3,,,
64.12692,5,j2-3,,,
64.16024999999999,MOT_mc_stage_color_00,r-flash,,
64.16024999999999,MOT_mc_bg_black_00,b20-65,,
64.16024999999999,MOT_mc_light_up_00,l1,,
64.16024999999999,MOT_mc_light_center_00,l1,,
64.16024999999999,MOT_mc_light_under_00,l3,,
64.56021,1,1-2,r1,,
64.86018,1,2-3,,,
65.19348,5,w3,,,
65.19348,4,w3,,,
65.19348,3,w4,,,
65.19348,2,w4,,,
65.19348,1,,rb0,,
65.29347,2,4-1,,,
65.29347,3,4-1,,,
65.32679999999999,MOT_mc_stage_color_00,b-flash,,
65.42679,1,3-4,,,
65.62677,4,3-4,,,
65.62677,5,3-4,,,
65.69342999999999,MOT_mc_stage_color_00,b-flash,,
65.96007,MOT_mc_bg_black_00,b45-80_2,,
65.96007,MOT_mc_light_up_00,l3,,
65.96007,MOT_mc_light_under_00,l2,,
65.96007,2,j1-2,,,
65.96007,3,j1-2,,,
65.96007,4,j4-1,,,
65.96007,5,j4-1,,,
66.06006,MOT_mc_stage_color_00,r-flash,,
66.19337999999999,MOT_mc_speaker_00,temp2,,
66.19337999999999,2,,,,D40
66.19337999999999,3,,,,D40
66.19337999999999,4,,,,D40
66.19337999999999,5,,,,D40
66.19337999999999,1,j4-1,,,
66.62666999999999,1,1-2,l1,,
66.82665,MOT_mc_stage_color_00,r-flash,,
67.02663,5,w1,,,
67.02663,4,w1,,,
67.02663,3,w2,,,
67.02663,2,w2,,,
67.22661,1,j2-3,,,
67.72655999999999,1,,lb0,,
68.09318999999999,1,3-4,,,
68.69313,1,4-1,,,
68.82645,MOT_mc_stage_color_00,b-flash,,
68.82645,4,sp1-2,,,
68.9931,2,sp2-3,,,
69.05976,1,1-2,,,
69.15975,3,sp2-3,,,
69.32639999999999,5,sp1-2,,,
69.45971999999999,1,hj2,,,
69.49305,MOT_mc_stage_color_00,r-flash,,
69.55971,2,j3-4,,,
69.55971,3,j3-4,,,
69.55971,4,j2-3,,,
69.55971,5,j2-3,,,
70.05966,1,2-3,r1,,
70.15965,MOT_mc_stage_color_00,b-flash,,
70.39296,1,lp3,,,
70.39296,2,4-1,,,
70.39296,3,4-1,,,
70.39296,4,3-4,,,
70.39296,5,3-4,,,
70.85958,1,j3-4,,,
71.22621,1,,r2,,
71.3262,5,w4,,,
71.3262,4,w4,,,
71.3262,3,w1,,,
71.3262,2,w1,,,
71.42618999999999,1,4-1,,,
71.79281999999999,1,lp1,rb1,,
72.12612,1,,rb0,,
72.29276999999999,MOT_mc_stage_color_00,r-flash,,
72.39276,2,sp1-2,,,
72.39276,3,sp1-2,,,
72.39276,4,sp4-1,,,
72.39276,5,sp4-1,,,
72.95936999999999,2,,,,L20
72.95936999999999,3,,,,L20
72.95936999999999,4,,,,L20
72.95936999999999,5,,,,L20
72.95936999999999,1,j1-2,,,
72.95936999999999,2,j2-3,,,
72.95936999999999,3,j2-3,,,
72.95936999999999,4,j1-2,,,
72.95936999999999,5,j1-2,,,
73.09268999999999,MOT_mc_stage_color_00,b-flash,,
73.09268999999999,MOT_mc_bg_black_00,b80-65,,
73.09268999999999,MOT_mc_light_up_00,l2,,
73.09268999999999,MOT_mc_light_center_00,l2,,
73.29267,1,2-3,,,
73.75929,1,hj3,,,
73.75929,2,hj3,,,
73.75929,3,hj3,,,
73.75929,4,hj2,,,
73.75929,5,hj2,,,
73.82594999999999,MOT_mc_stage_color_00,r-flash,,
74.25923999999999,1,3-4,,,
74.69252999999999,1,sp4-1,,,
74.99249999999999,5,w2,,,
74.99249999999999,4,w2,,,
74.99249999999999,3,w3,,,
74.99249999999999,2,w3,,,
75.29247,1,hj1,,,
75.29247,2,hj3,,,
75.29247,3,hj3,,,
75.29247,4,hj2,,,
75.29247,5,hj2,,,
75.35913,MOT_mc_stage_color_00,b-flash,,
75.92573999999999,1,j1-2,,,
76.02573,MOT_mc_stage_color_00,r-flash,,
76.09239,2,j3-4,,,
76.09239,3,j3-4,,,
76.09239,4,j2-3,,,
76.09239,5,j2-3,,,
76.52568,1,2-3,l1,,
76.62567,MOT_mc_stage_color_00,b-flash,,
76.85898,1,3-4,lb0,,
77.15894999999999,5,w3,,,
77.15894999999999,4,w3,,,
77.15894999999999,3,w4,,,
77.15894999999999,2,w4,,,
77.39226,1,j4-1,,,
77.45891999999999,MOT_mc_stage_color_00,b-flash,,
77.72556,4,j3-4,,,
77.72556,5,j3-4,,,
77.85888,2,j4-1,,,
77.85888,3,j4-1,,,
77.95886999999999,MOT_mc_stage_color_00,r-flash,,
77.9922,1,j1-2,,,
78.35883,1,2-3,,,
78.39215999999999,MOT_mc_stage_color_00,b-flash,,
78.62546999999999,2,j1-2,,,
78.62546999999999,3,j1-2,,,
78.62546999999999,4,j4-1,,,
78.62546999999999,5,j4-1,,,
78.69212999999999,MOT_mc_stage_color_00,r-flash,,
78.89211,1,3-4,,,
79.05875999999999,2,2-3,,,
79.05875999999999,3,2-3,,,
79.05875999999999,4,1-2,,,
79.05875999999999,5,1-2,,,
79.09209,MOT_mc_stage_color_00,b-flash,,
79.35873,1,4-1,,,
79.62536999999999,MOT_mc_stage_color_00,b-flash,,
79.6587,1,hj1,,,
79.6587,2,j3-4,,,
79.6587,3,j3-4,,,
79.6587,4,j2-3,,,
79.6587,5,j2-3,,,
80.15865,1,1-2,,,
80.15865,2,4-1,,,
80.15865,3,4-1,,,
80.15865,4,3-4,,,
80.15865,5,3-4,,,
80.19198,MOT_mc_stage_color_00,b-flash,,
80.19198,MOT_mc_bg_black_00,b45-65,,
80.19198,MOT_mc_speaker_00,stay,,
80.19198,MOT_mc_light_up_00,l1,,
80.19198,MOT_mc_light_center_00,l1,,
80.19198,MOT_mc_light_under_00,l3,,
80.9919,MOT_mc_speaker_00,temp2,,
81.09188999999999,5,w4,,,
81.09188999999999,4,w4,,,
81.09188999999999,3,w1,,,
81.09188999999999,1,w2,,,
81.09188999999999,2,1-2,,,
81.09188999999999,3,1-2,,,
81.09188999999999,4,4-1,,,
81.09188999999999,5,4-1,,,
81.19188,MOT_mc_stage_color_00,r-flash,,
81.42519,1,2-3,r1,,
81.42519,2,sp2-3,,,
81.42519,3,sp2-3,,,
81.42519,4,sp1-2,,,
81.42519,5,sp1-2,,,
81.75849,MOT_mc_bg_black_00,b65-45,,
81.82515,1,j3-4,,,
81.82515,2,j3-4,,,
81.82515,3,j3-4,,,
81.82515,4,j2-3,,,
81.82515,5,j2-3,,,
81.92514,MOT_mc_stage_color_00,r-flash,,
81.92514,MOT_mc_light_up_00,l2,,
81.92514,MOT_mc_light_center_00,l2,,
81.92514,MOT_mc_light_under_00,l2,,
82.29177,1,4-1,,,
82.79172,1,lp1,r2,,
82.89171,5,w3,,,
82.89171,4,w3,,,
82.89171,3,w4,,,
82.89171,2,w4,,,
82.89171,MOT_mc_stage_color_00,b-flash,,
83.62496999999999,1,j1-2,,,
83.69162999999999,MOT_mc_stage_color_00,r-flash,,
84.05825999999999,1,2-3,rb1,,
84.05825999999999,2,4-1,,,
84.05825999999999,3,4-1,,,
84.09159,MOT_mc_stage_color_00,b-flash,,
84.45822,1,,rb0,,
84.45822,2,1-2,,,
84.45822,3,1-2,,,
84.45822,4,3-4,,,
84.45822,5,3-4,,,
84.55821,MOT_mc_stage_color_00,r-flash,,
84.89151,1,hj3,,,
84.89151,2,j2-3,,,
84.89151,3,j2-3,,,
84.89151,4,j4-1,,,
84.89151,5,j4-1,,,
85.02483,MOT_mc_stage_color_00,b-flash,,
85.39146,1,j3-4,,,
85.39146,2,j3-4,,,
85.39146,3,j3-4,,,
85.39146,4,j1-2,,,
85.39146,5,j1-2,,,
85.62477,MOT_mc_stage_color_00,r-flash,,
85.92474,1,4-1,,,
85.92474,2,4-1,,,
85.92474,3,4-1,,,
85.92474,4,2-3,,,
85.92474,5,2-3,,,
86.29137,1,1-2,l1,,
86.29137,2,lp1,,,
86.29137,3,lp1,,,
86.29137,4,lp3,,,
86.29137,5,lp3,,,
86.42469,MOT_mc_stage_color_00,b-flash,,
86.658,1,j2-3,,,
87.22461,1,3-4,l2,,
87.32459999999999,MOT_mc_stage_color_00,r-flash,,
87.55790999999999,1,lp4,,,
87.69122999999999,1,,lb1,,
88.09119,1,4-1,lb0,,
88.09119,2,j1-2,,,
88.09119,3,j1-2,,,
88.09119,4,j3-4,,,
88.09119,5,j3-4,,,
88.15785,MOT_mc_stage_color_00,b-flash,,
88.55780999999999,1,1-2,,,
89.02443,1,sj2,,,
89.02443,2,2-3,l1,,
89.02443,3,2-3,r1,,
89.02443,4,4-1,l1,,
89.02443,5,4-1,r1,,
89.05776,MOT_mc_stage_color_00,r-flash,,
89.42439,1,,r1,,
89.52438,1,w2,,,
89.82435,1,2-3,,,
89.95767,5,w1,,,
89.95767,4,w1,,,
89.95767,3,w3,,,
89.95767,2,w3,,,
89.95767,MOT_mc_stage_color_00,b-flash,,
90.19098,1,j3-4,,,
90.75759,1,4-1,rb0,,
90.75759,2,3-4,lb0,,
90.75759,3,3-4,rb0,,
90.75759,4,1-2,lb0,,
90.75759,5,1-2,rb0,,
90.89090999999999,MOT_mc_stage_color_00,r-flash,,
91.15755,1,j1-2,,,
91.15755,2,j4-1,,,
91.15755,4,j2-3,,,
91.59084,1,2-3,,,
91.59084,3,j4-1,,,
91.59084,5,j2-3,,,
91.75748999999999,MOT_mc_stage_color_00,b-flash,,
92.12411999999999,1,sp3-4,,,
92.12411999999999,2,sp1-2,,,
92.12411999999999,3,sp1-2,,,
92.12411999999999,4,sp3-4,,,
92.12411999999999,5,sp3-4,,,
92.69073,MOT_mc_stage_color_00,r-flash,,
92.99069999999999,1,hj4,,,
92.99069999999999,2,j2-3,,,
92.99069999999999,3,j2-3,,,
92.99069999999999,4,j4-1,,,
92.99069999999999,5,j4-1,,,
93.52398,MOT_mc_stage_color_00,r-flash,,
93.72395999999999,1,lp4,,,
93.72395999999999,2,lp3,,,
93.72395999999999,3,lp3,,,
93.72395999999999,4,lp1,,,
93.72395999999999,5,lp1,,,
94.3239,MOT_mc_stage_color_00,b-flash,,
94.79052,MOT_mc_stage_color_00,r-flash,,
95.29047,MOT_mc_stage_color_00,b-flash,,
95.29047,1,j4-1,,,
95.29047,2,j3-4,,,
95.29047,3,j3-4,,,
95.29047,4,j1-2,,,
95.29047,5,j1-2,,,
95.69042999999999,1,1-2,,,
95.69042999999999,2,4-1,,,
95.69042999999999,3,4-1,,,
95.69042999999999,4,2-3,,,
95.69042999999999,5,2-3,,,
96.15705,MOT_mc_stage_color_00,b-flash,,
96.52368,1,2-3,l1,,
96.52368,2,1-2,l1,,
96.52368,3,1-2,l1,,
96.52368,4,3-4,l1,,
