0.06666,MOT_all,warutsu00,,
15.465119999999999,3,w1,,
15.465119999999999,2,w1,,
15.765089999999999,3,1-2,r1,
15.765089999999999,2,1-2,r1,
16.36503,1,w2,,
16.665,1,2-3,r2,
16.69833,3,w2,,
16.69833,2,w2,,
16.9983,3,2-3,r2,
16.9983,2,2-3,r2,
17.59824,1,w3,,
17.89821,1,3-4,rb1,
17.93154,3,w3,,
17.93154,2,w3,,
18.23151,3,3-4,rb1,
18.23151,2,3-4,rb1,
18.83145,1,w4,,
19.13142,1,4-1,rb0,
19.164749999999998,3,w4,,
19.164749999999998,2,w4,,
19.46472,3,4-1,rb0,
19.46472,2,4-1,rb0,
20.06466,1,w1,,
20.36463,1,j1-2,,f1
20.397959999999998,3,w1,,
20.397959999999998,2,w1,,
20.69793,3,1-2,,
20.69793,2,1-2,,
20.69793,1,lp2,,
20.83125,MOT_mc_bg_black_00,b80-45,,
21.23121,MOT_mc_light_center_00,l1,,
21.23121,MOT_all,warutsu02,,
21.631169999999997,3,w2,,
21.631169999999997,2,w2,,
21.6645,1,j2-3,,
22.3311,1,lp3,,
22.431089999999998,1,,l1,
24.29757,1,j3-4,,
24.53088,2,j2-3,,
24.73086,3,j2-3,,
25.36413,1,w4,,
25.39746,1,4-1,lb0,
25.59744,2,w3,,
25.79742,3,w3,,
26.3307,1,w1,,
26.663999999999998,1,1-2,r1,
27.59724,1,w2,,
27.930539999999997,1,2-3,r2,
28.86378,1,3-4,,
28.86378,2,3-4,,
28.86378,3,3-4,,
29.26374,1,j4-1,,
29.26374,2,j4-1,,
29.26374,3,j4-1,,
30.330299999999998,3,w1,,
30.330299999999998,2,w1,,
30.330299999999998,1,j1-2,,
31.19688,1,lp2,,
31.69683,1,,rb1,
32.86338,3,1-2,,
32.86338,2,1-2,,
32.86338,1,,rb0,
33.79662,3,w2,,
33.79662,2,w2,,
34.329899999999995,1,2-3,l1,
34.62987,1,lp3,,
35.39646,1,3-4,l2,
36.09639,1,lp4,,
36.762989999999995,1,j4-1,,
37.82955,1,w1,,
38.02953,1,j1-2,,
38.22951,3,j2-3,,
38.362829999999995,1,lp2,,
38.42949,2,j2-3,,
39.29607,3,w3,,
39.46272,1,,lb1,
39.49605,2,w3,,
40.6626,1,,lb0,
41.89581,1,2-3,,
42.829049999999995,1,w3,,
43.29567,3,3-4,,
43.29567,2,3-4,,
44.22891,3,w4,,
44.22891,2,w4,,
44.56221,3,lp4,,
44.56221,2,lp4,,
44.56221,1,lp3,,
45.79542,1,,l1,
46.9953,3,4-1,,
46.9953,2,4-1,,
46.9953,1,,l2,
47.261939999999996,3,lp1,,
47.261939999999996,2,lp1,,
48.26184,1,3-4,l3,
49.19508,1,w4,,
49.62837,1,,lb2,
49.89501,1,lp4,,
51.02823,1,,lb1,
51.394859999999994,1,,lb0,
52.161449999999995,1,sp4-1,,
53.22801,1,j1-2,,
54.29457,1,w2,,
54.627869999999994,2,sj1,,
54.86118,1,sj2,,
55.09449,3,sj1,,
55.12782,2,w1,,
55.327799999999996,3,j1-2,,
55.361129999999996,1,w2,,
55.56111,1,j2-3,,
55.794419999999995,2,j1-2,,
56.227709999999995,3,,,b-1
56.227709999999995,2,,,b-1
56.39436,3,w2,,
56.627669999999995,1,w3,,
56.69433,3,,l1,
56.69433,2,,r1,
56.69433,1,hj3,,
56.76099,1,j3-4,,
56.76099,2,j2-3,,
56.76099,3,j2-3,,
57.26094,MOT_mc_special_02,hokori,,
57.26094,MOT_mc_light_center_00,l3,,
57.26094,1,lp4,,
57.26094,2,lp3,,
57.26094,3,lp3,,
59.72736,1,j4-1,,
60.06066,3,j3-4,,
60.06066,2,j3-4,,
60.46062,1,lp1,,
60.46062,2,lp4,,
60.46062,3,lp4,,
61.59384,1,j1-2,,
62.02713,1,sj2,,
62.327099999999994,1,2-3,,
63.26034,1,w3,,
65.26013999999999,MOT_mc_bg_black_00,b65-80,,
65.26013999999999,MOT_mc_special_01,l1_03,,
65.26013999999999,1,j3-1,,b0
65.32679999999999,3,4-1,lb0,
65.32679999999999,2,4-1,rb0,
65.56011,3,,r1,
65.56011,2,,l1,
65.72676,1,,,b-1
65.92674,1,1-2,,
66.26004,3,w1,,
66.26004,2,w1,,
66.85998,1,w2,,
67.55991,3,lp1,,
67.55991,2,lp1,,
67.55991,1,lp2,,f0
68.72646,1,,,f1
70.02633,1,2-3,,
70.75959,1,3-4,,
71.59284,3,1-2,,
71.59284,2,1-2,,
71.59284,1,j4-1,,
72.05946,MOT_all,warutsu03,,
72.29276999999999,MOT_mc_special_01,white_flash,,
72.29276999999999,MOT_mc_special_03,petal_fall,,
72.49275,MOT_mc_bg_black_00,b65-20,,
72.49275,MOT_mc_light_up_00,l4,,
72.49275,1,j1-2,,
72.52608,3,w2,,
72.52608,2,w2,,
72.52608,3,,r2,
72.52608,2,,l2,
72.65939999999999,MOT_all,warutsu04,,
72.9927,MOT_mc_stage_color_00,r-flash,,
72.9927,3,sj2,,
72.9927,2,sj2,,
72.9927,1,sj2,,
73.42599,3,2-3,rb1,
73.42599,2,2-3,l3,
73.42599,1,,r1,
73.49265,1,w2,,
73.75929,1,2-3,rb0,
73.9926,1,lp3,,
74.22591,3,,r2,
74.22591,2,,lb2,
74.35923,3,w3,,
74.35923,2,w3,,
74.6592,3,3-4,r3,
74.6592,2,3-4,lb1,
74.85918,1,j3-4,,
75.3258,1,lp4,,
75.49244999999999,3,,rb2,
75.49244999999999,2,,l2,
75.49244999999999,1,,l1,
75.59244,3,w4,,
75.59244,2,w4,,
75.92573999999999,3,4-1,rb1,
75.92573999999999,2,4-1,l3,
75.92573999999999,1,,l2,
76.3257,1,sp4-1,lb1,
76.69233,1,,lb0,
76.79231999999999,3,,r2,
76.79231999999999,2,,lb2,
76.85898,3,w1,,
76.85898,2,w1,,
76.85898,1,hj1,,
77.22561,3,1-2,r3,
77.22561,2,1-2,lb1,
77.62557,1,1-2,,
78.02553,3,,rb2,
78.02553,2,,l2,
78.15885,3,w2,,
78.15885,2,w2,,
78.45882,3,2-3,rb1,
78.45882,2,2-3,l3,
78.55881,1,w2,,
78.9921,1,lp2,l1,
79.3254,3,,r2,
79.3254,2,,lb2,
79.39206,3,w3,,
79.39206,2,w3,,
79.75869,3,3-4,r3,
79.75869,2,3-4,lb1,
79.85867999999999,1,2-3,l2,
80.69193,3,w4,,
80.69193,2,w4,,
80.72525999999999,3,,rb2,
80.72525999999999,2,,l2,
80.79191999999999,1,w3,,
81.15854999999999,3,4-1,rb1,
81.15854999999999,2,4-1,l3,
81.45852,1,sp3-4,,
81.45852,2,sp1-2,,
81.45852,3,sp1-2,,
81.45852,3,,r2,
81.45852,2,,lb2,
82.42509,1,j4-1,lwb0,
82.55841,3,j2-3,,
82.55841,2,j2-3,,
83.49164999999999,1,w1,,
83.62496999999999,3,w3,,
83.62496999999999,2,w3,,
83.89161,1,,,b0
83.99159999999999,3,lp3,rwb0,
83.99159999999999,2,lp3,lwb0,
83.99159999999999,1,lp1,,
86.45801999999999,3,3-4,lw2,
86.45801999999999,2,3-4,rw2,
86.45801999999999,1,1-2,,
86.89130999999999,1,2-3,,
87.32459999999999,1,j3-4,,
87.39126,3,w4,,
87.39126,2,w4,,
87.72456,3,j4-1,lwb0,
87.72456,2,j4-1,rwb0,
87.72456,1,j4-1,,f1
88.3245,3,j1-2,,
88.3245,2,j1-2,,
88.3245,1,1-2,l1,
88.69113,3,2-3,l1,
88.69113,2,2-3,l1,
88.69113,1,2-3,lb0,
89.15775,1,lp3,,
89.42439,MOT_all,warutsu05,,
89.52438,3,,lb0,
89.52438,2,,lb0,
89.62437,3,w3,,
89.62437,2,w3,,
89.95767,3,3-4,r1,
89.95767,2,3-4,r1,
90.75759,3,,rb0,
90.75759,2,,rb0,
90.75759,1,3-4,r1,
90.89090999999999,3,w4,,
90.89090999999999,2,w4,,
91.19087999999999,3,4-1,l1,
91.19087999999999,2,4-1,l1,
91.19087999999999,1,4-1,rb0,
91.6575,1,1-2,,
92.09079,3,,lb0,
92.09079,2,,lb0,
92.09079,1,2-3,,
92.12411999999999,3,w1,,
92.12411999999999,2,w1,,
92.52408,3,1-2,r1,
92.52408,2,1-2,r1,
92.52408,1,3-4,,
92.92403999999999,1,j4-1,,
93.324,3,,rb0,
93.324,2,,rb0,
93.45732,3,w2,,
93.45732,2,w2,,
93.75729,3,2-3,l1,
93.75729,2,2-3,l1,
93.9906,1,w1,,
94.25724,1,lp1,,
94.62387,3,,lb0,
94.62387,2,,lb0,
94.69053,3,w3,,
94.69053,2,w3,,
95.05716,3,3-4,r1,
95.05716,2,3-4,r1,
95.85708,3,,rb0,
95.85708,2,,rb0,
95.9904,3,w4,,
95.9904,2,w4,,
96.29037,3,4-1,l1,
96.29037,2,4-1,l1,
96.62366999999999,3,1-2,lb0,
96.85698,2,1-2,lb0,
97.05695999999999,1,j1-2,,
97.55691,3,w2,,
97.6569,1,lp2,,
97.6569,2,lp2,,
97.6569,3,lp2,,
100.55660999999999,1,2-3,,
101.48984999999999,1,w3,,
101.85647999999999,1,3-4,,
101.85647999999999,2,2-3,,
101.85647999999999,3,2-3,,
102.78971999999999,3,w3,,
102.78971999999999,2,w3,,
102.78971999999999,1,w4,,
103.08968999999999,1,,,b0
103.22301,MOT_mc_light_center_00,l1,,
103.22301,MOT_mc_bg_black_00,b20-65,,
103.22301,MOT_mc_special_03,petal_fall_out,,
103.22301,MOT_mc_special_01,l1_03,,
103.22301,MOT_all,warutsu06,,
103.22301,1,4-1,,
103.22301,2,3-4,,
103.22301,3,3-4,,
104.15625,3,w4,,
104.15625,2,w4,,
104.15625,1,w1,,
104.45622,1,sp1-2,,
104.45622,2,sp4-1,,
104.45622,3,sp4-1,,
105.02283,1,2-3,l1,
105.02283,2,1-2,l1,
105.02283,3,1-2,l1,
105.75609,1,sp3-4,,
105.75609,2,sp2-3,,
105.75609,3,sp2-3,,
106.3227,1,4-1,l2,
106.3227,2,3-4,l2,
106.3227,3,3-4,l2,
106.9893,1,sp1-2,,
106.9893,2,sp4-1,,
106.9893,3,sp4-1,,
107.55591,1,2-3,lb1,
107.55591,2,1-2,lb1,
107.55591,3,1-2,lb1,
108.28917,1,sp3-4,,
108.28917,2,sp2-3,,
108.28917,3,sp2-3,,
108.85578,1,4-1,lb0,
108.85578,2,3-4,lb0,
108.85578,3,3-4,lb0,
109.52238,1,sp1-2,,
109.52238,2,sp4-1,,
109.52238,3,sp4-1,,
110.08899,1,2-3,r1,
110.08899,2,1-2,r1,
110.08899,3,1-2,r1,
110.85557999999999,1,sp3-4,,
110.85557999999999,2,sp2-3,,
110.85557999999999,3,sp2-3,,
111.42219,1,4-1,r2,
111.42219,2,3-4,r2,
111.42219,3,3-4,r2,
112.05546,1,sp1-2,,
112.05546,2,sp4-1,,
112.05546,3,sp4-1,,
112.62207,1,2-3,rb1,
112.62207,2,1-2,rb1,
112.62207,3,1-2,rb1,
113.18867999999999,1,,,b-1
113.32199999999999,1,3-4,rb0,
113.32199999999999,2,2-3,rb0,
113.32199999999999,3,2-3,rb0,
113.45532,MOT_mc_bg_black_00,b65-80,,
113.45532,MOT_all,warutsu07,,
114.25524,3,w3,,
114.25524,2,w3,,
114.25524,1,w4,,
117.88821,1,4-1,,
118.82145,1,w1,,
122.98769999999999,MOT_mc_speaker_00,stay,,
