0.03333,MOT_mc_bg_black_00,stay,,
0.03333,MOT_mc_light_center_00,off,,
0.03333,MOT_all,aruka_cut1,,
106.85597999999999,5,2-3,l2,,
107.15594999999999,1,lp3,,,
107.15594999999999,2,lp3,,,
107.15594999999999,3,lp3,,,
107.15594999999999,4,lp3,,,
107.15594999999999,5,lp3,,,
108.15585,1,3-4,,,
108.15585,2,3-4,r1,,
108.15585,4,3-4,rb1,,
108.15585,3,3-4,l1,,
108.15585,5,3-4,lb1,,
108.48915,1,lp4,,,
108.48915,2,lp4,,,
108.48915,3,lp4,,,
108.48915,4,lp4,,,
108.48915,5,lp4,,,
108.92244,4,4-1,r2,,
108.92244,5,4-1,l2,,
108.9891,2,4-1,r2,,
108.9891,3,4-1,l2,,
109.05575999999999,1,4-1,,,
109.3224,1,lp1,,,
109.85567999999999,5,w1,,,
109.85567999999999,4,w1,,,
109.92233999999999,3,w1,,,
109.92233999999999,2,w1,,,
110.42228999999999,1,1-2,,,
110.42228999999999,2,1-2,rb1,,
110.42228999999999,4,1-2,rb1,,
110.42228999999999,3,1-2,lb1,,
110.42228999999999,5,1-2,lb1,,
110.75559,1,lp2,,,
111.15554999999999,1,2-3,,,
111.3222,3,2-3,,,
111.3222,2,2-3,,,
111.35553,5,w2,,,
111.35553,4,w2,,,
111.45551999999999,4,2-3,,,
111.45551999999999,5,2-3,,,
111.65549999999999,1,3-4,,,
111.92214,1,j4-1,,,
112.25544,3,w3,,,
112.25544,2,w3,,,
112.32209999999999,1,lp1,,,
112.38875999999999,5,w3,,,
112.38875999999999,4,w3,,,
113.82195,MOT_mc_stage_color_00,y-flash,,
113.82195,1,1-2,,,
114.08859,1,lp2,,,
114.38856,2,3-4,rb0,,
114.38856,3,3-4,lb0,,
114.38856,1,j2-3,,,
115.15514999999999,4,3-4,rb0,,
115.15514999999999,5,3-4,lb0,,
115.15514999999999,1,3-4,,,
115.3218,3,w4,,,
115.3218,2,w4,,,
115.52177999999999,1,lp4,,,
115.52177999999999,2,lp4,,,
115.52177999999999,3,lp4,,,
115.52177999999999,4,lp4,,,
115.52177999999999,5,lp4,,,
117.12162,1,4-1,,,
117.38825999999999,1,lp1,,,
117.68822999999999,2,4-1,l1,,
117.68822999999999,3,4-1,r1,,
117.68822999999999,1,j1-2,,,
118.55480999999999,4,4-1,l1,,
118.55480999999999,5,4-1,r1,,
118.55480999999999,1,2-3,,,
118.62146999999999,3,w1,,,
118.62146999999999,2,w1,,,
118.92143999999999,1,lp3,,,
118.92143999999999,2,lp1,,,
118.92143999999999,3,lp1,,,
118.92143999999999,4,lp1,,,
118.92143999999999,5,lp1,,,
118.98809999999999,1,sp3-4,,,
119.22140999999999,MOT_mc_light_center_00,l3_d2,,
120.3213,1,4-1,,,
120.62127,2,j1-2,,,
120.62127,3,j1-2,,,
120.62127,4,j1-2,,,
120.62127,5,j1-2,,,
121.25453999999999,1,w1,,,
121.32119999999999,1,j1-2,,,
121.62116999999999,2,2-3,,,
121.62116999999999,3,2-3,,,
121.62116999999999,4,2-3,,,
121.62116999999999,5,2-3,,,
121.92114,1,lp2,,,
121.92114,2,lp3,,,
121.92114,3,lp3,,,
121.92114,4,lp3,,,
121.92114,5,lp3,,,
123.58764,MOT_control_all,beats_06,,
123.92093999999999,MOT_mc_bg_black_00,b20-45,,
123.92093999999999,MOT_mc_light_up_00,l2,,
123.92093999999999,MOT_mc_stage_color_00,b-flash,,
123.92093999999999,MOT_mc_light_center_00,off,,
123.92093999999999,2,,,,D40
123.92093999999999,3,,,,D40
123.92093999999999,4,,,,D40
123.92093999999999,5,,,,D40
123.92093999999999,1,,,,L0
123.92093999999999,1,2-3,,,
123.92093999999999,2,3-4,,,
123.92093999999999,3,3-4,,,
123.92093999999999,4,3-4,,,
123.92093999999999,5,3-4,,,
124.85418,5,w4,,,
124.85418,4,w4,,,
124.85418,3,w4,,,
124.85418,2,w4,,,
124.85418,1,w3,,,
