0.03333,MOT_all,cut1,,
59.460719999999995,2,lp1,,
59.460719999999995,3,lp1,,
60.727259999999994,1,j1-2,,
60.727259999999994,2,w1,,b0
60.727259999999994,3,w1,,b0
61.060559999999995,MOT_mc_stage_color_00,b-r,,
61.19388,1,sj2,,
61.62717,1,lp2,,
63.19368,2,1-2,,
63.19368,3,1-2,,
63.62697,2,2-3,,
63.62697,3,2-3,,
64.02693,2,w3,,
64.02693,3,w3,,
64.02693,1,2-4,,b0
64.46021999999999,1,w4,,
64.46021999999999,2,3-4,,
65.26013999999999,2,4-1,,
65.69342999999999,2,j1-2,,
65.69342999999999,3,j3-2,,
66.59334,2,sj2,,
66.59334,3,sj2,,
66.99329999999999,2,sj2,,
66.99329999999999,3,sj2,,
67.35992999999999,2,lp2,,
67.35992999999999,3,lp2,,
67.79321999999999,3,2-4,l1,
68.22650999999999,3,lp4,,
68.59313999999999,2,2-4,r1,
69.02642999999999,2,lp4,,
69.12642,MOT_control_all,zoom6a,,
69.42639,2,4-1,r2,
69.42639,3,4-1,l2,
69.42639,1,sj4,,
69.82634999999999,1,w4,,
69.82634999999999,2,w1,,
69.82634999999999,3,w1,,
70.3263,2,1-2,,
70.3263,3,1-2,,
70.75959,2,j2-3,,
70.75959,3,j2-3,,
70.75959,1,j4-3,,
71.19288,2,lp3,,
71.19288,3,lp3,,
71.19288,1,lp3,,
72.29276999999999,MOT_all,cut4,,
74.02593,1,3-4,,f1
74.02593,2,3-4,,f1
74.02593,3,3-4,,f1
74.45922,1,w4,,
74.45922,2,w4,,
74.45922,3,w4,,
75.15915,1,4-2,,
75.15915,2,4-2,,
75.15915,3,4-2,,
75.25914,MOT_control_all,zoom6b,,
75.45912,1,hj2,,
75.45912,2,hj2,,
75.45912,3,hj2,,
76.02573,MOT_mc_stage_color_00,b-flash,,
76.02573,MOT_mc_back_00,move,,
76.12572,1,sj2,,
76.12572,2,sj2,,
76.12572,3,sj2,,
76.59234,1,sj2,,
76.59234,2,sj2,,
76.59234,3,sj2,,
77.02562999999999,1,2-3,,
77.02562999999999,2,2-3,,
77.02562999999999,3,2-3,,
77.49225,1,3-4,,
77.49225,2,3-4,,
77.49225,3,3-4,,
77.49225,1,,r1,
77.49225,3,,lb1,
77.49225,2,,r3,
78.22551,1,4-3,,
78.22551,2,4-3,,
78.22551,3,4-3,,
78.22551,1,,r2,
78.22551,3,,lb0,
78.22551,2,,r4,
78.72546,1,lp3,,
78.72546,2,w3,,
78.72546,3,w3,,
79.3254,1,sp3-4,,
79.3254,2,sp3-4,,
79.3254,3,sp3-4,,
80.29196999999999,1,j4-1,,
80.29196999999999,2,j4-1,,
80.29196999999999,3,j4-1,,
80.75859,1,w1,,
80.75859,2,1-3,rb3,
80.75859,3,w1,,
81.15854999999999,2,3-1,rb2,
81.55851,2,1-1,,
81.89180999999999,2,lp1,,
82.45841999999999,2,sj1,,
82.6584,3,j1-2,,
82.85838,2,w1,,
83.25833999999999,3,2-3,r1,
83.69162999999999,3,lp3,r2,
84.49154999999999,3,3-4,,
84.82485,3,j4-1,,
85.22480999999999,1,1-2,,
85.22480999999999,2,1-2,,
85.22480999999999,3,1-2,,
85.49145,2,sp2-3,,
85.62477,1,w2,,
85.62477,3,w2,,
86.15805,2,j3-4,,
86.25804,1,sp2-3,,
86.59134,2,w4,,
86.92464,1,j3-4,,
86.9913,3,sp2-3,,
87.39126,1,w4,,
87.6579,3,j3-4,,
88.09119,1,,rb1,
88.09119,3,w4,rb1,
88.09119,2,,rb1,
88.55780999999999,1,4-1,rb0,
88.55780999999999,3,4-1,rb0,
88.55780999999999,2,4-1,rb0,
88.9911,1,j1-4,,
88.9911,2,j1-4,,
88.9911,3,j1-4,,
89.35772999999999,MOT_mc_stage_color_00,b-flash,,
89.39106,MOT_all,cut5,,
89.39106,2,lp4,,
89.39106,1,w4,,b0
89.39106,3,w4,,b0
90.69093,2,4-1,,
91.09089,2,lp1,,
92.22411,2,1-3,,
92.6574,2,lp3,,
93.29066999999999,2,3-2,,
93.69063,2,2-4,,
94.12392,2,lp4,,
94.69053,MOT_control_all,zoom7,,
94.92384,2,w4,,b0
95.19048,3,,,f1
95.62377,3,4-1,,
96.02373,3,1-2,,
96.45702,3,lp2,,
96.92363999999999,1,,,f1
97.35692999999999,1,4-1,,
97.75689,1,1-2,,
98.19018,1,lp2,,
98.59013999999999,2,,,f1
99.02342999999999,2,4-1,,
99.42339,2,1-2,,
99.85668,2,lp2,,
100.22331,1,2-3,,
100.22331,2,2-3,,
100.22331,3,2-3,,
100.28997,MOT_control_all,zoom8,,
101.08989,1,3-4,,
101.08989,2,3-4,,
101.08989,3,3-4,,
101.68983,1,4-1,,
101.68983,2,4-1,,
101.68983,3,4-1,,
102.15644999999999,1,j1-2,,
102.15644999999999,2,j1-2,,
102.15644999999999,3,j1-2,,
102.55641,1,lp2,,
102.55641,2,lp2,,
102.55641,3,lp2,,
105.62276999999999,1,j2-3,,
105.62276999999999,2,j2-3,,
105.62276999999999,3,j2-3,,
106.02273,1,lp3,,
106.02273,2,lp3,,
106.02273,3,lp3,,
109.02243,1,j3-4,,
109.02243,2,j3-4,,
109.02243,3,j3-4,,
109.48904999999999,1,4-1,,
109.48904999999999,2,4-1,,
109.48904999999999,3,4-1,,
109.92233999999999,1,1-2,,
109.92233999999999,2,1-2,,
109.92233999999999,3,1-2,,
110.3223,1,lp2,,
110.3223,2,lp2,,
110.3223,3,lp2,,
111.02223,1,,l1,
111.02223,2,,l1,
111.02223,3,,l1,
111.85548,1,,l2,
111.85548,2,,l2,
111.85548,3,,l2,
112.72206,1,,l3,
112.72206,2,,l3,
112.72206,3,,l3,
113.12201999999999,1,2-3,,
113.12201999999999,2,2-3,,
113.12201999999999,3,2-3,,
113.52198,1,lp3,lb2,
113.52198,2,lp3,lb2,
113.52198,3,lp3,lb2,
114.28856999999999,1,,lb1,
114.28856999999999,2,,lb1,
114.28856999999999,3,,lb1,
115.15514999999999,1,,lb0,
115.15514999999999,2,,lb0,
115.15514999999999,3,,lb0,
115.55511,1,3-4,,
115.55511,2,3-4,,
115.55511,3,3-4,,
115.92174,1,4-1,,
115.92174,2,4-1,,
115.92174,3,4-1,,
116.28837,1,lp1,,
116.28837,2,lp1,,
116.28837,3,lp1,,
118.58814,1,1-2,,
118.58814,2,1-2,,
118.58814,3,1-2,,
119.02143,1,j2-4,,
119.02143,2,j2-4,,
119.02143,3,j2-4,,
119.48805,1,lp4,,
119.48805,2,lp4,,
119.48805,3,lp4,,
122.82105,MOT_all,cut6,,
122.82105,MOT_mc_back_00,move_out2,,
122.82105,1,4-1,,
122.82105,2,4-1,,
122.82105,3,4-1,,
123.22100999999999,1,w1,,
123.22100999999999,2,w1,,
123.22100999999999,3,w1,,
