0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_stage_color_00,r,,
0.03333,MOT_control_all,ao_zoom,,
0.03333,MOT_all,ao_cut,,
20.397959999999998,MOT_mc_bg_black_00,b80-65,,
20.397959999999998,MOT_mc_stage_color_00,b-flash,,
20.397959999999998,MOT_mc_light_up_00,chara_01,,
20.397959999999998,1,,,,L20
20.397959999999998,2,,,,L60
20.397959999999998,3,,,,L60
20.397959999999998,4,,,,L60
20.397959999999998,5,,,,L60
20.49795,1,lp1,,,
21.06456,5,w2,,,
21.06456,4,w2,,,
21.06456,3,w2,,,
21.06456,2,w2,,,
22.53108,1,1-2,,,
22.89771,1,sj2,,,
23.26434,1,lp2,,,
24.39756,1,2-3,,,
24.76419,2,j2-3,,,
24.76419,3,j2-3,,,
24.76419,4,j2-3,,,
24.76419,5,j2-3,,,
24.76419,1,3-4,,,
25.09749,1,lp4,,,
25.83075,5,w3,,,
25.83075,4,w3,,,
25.83075,3,w3,,,
25.83075,2,w3,,,
25.864079999999998,1,4-1,,,
26.19738,1,lp1,,,
26.93064,1,j1-2,,,
27.297269999999997,1,lp2,,,
29.330399999999997,1,j2-3,,,
29.63037,4,j3-4,,,
29.63037,5,j3-4,,,
29.83035,1,j3-4,,,
30.19698,1,lp4,,,
30.19698,2,j3-4,,,
30.19698,3,j3-4,,,
30.69693,5,w4,,,
30.69693,4,w4,,,
31.26354,3,w4,,,
31.26354,2,w4,,,
31.49685,1,4-1,,,
31.86348,1,lp1,,,
33.79662,1,j1-2,,,
34.16325,1,lp2,,,
34.36323,2,4-1,,,
34.36323,3,4-1,,,
34.96317,1,2-3,,,
34.96317,4,4-1,,,
34.96317,5,4-1,,,
35.29647,3,w1,,,
35.29647,2,w1,,,
35.3298,1,lp3,,,
35.3298,4,lp1,,,
35.3298,5,lp1,,,
36.09639,MOT_mc_light_center_00,cut1,,
36.12972,1,j3-4,,,
36.12972,2,j1-2,,,
36.12972,3,j1-2,,,
36.12972,4,j1-2,,,
36.12972,5,j1-2,,,
36.49635,1,lp4,,,
36.49635,2,lp2,,,
36.49635,3,lp2,,,
36.49635,4,lp2,,,
36.49635,5,lp2,,,
37.529579999999996,1,4-1,,,
37.529579999999996,2,2-3,,,
37.529579999999996,3,2-3,,,
37.529579999999996,4,2-3,,,
37.529579999999996,5,2-3,,,
37.6629,MOT_mc_bg_black_00,b65-45,,
38.02953,1,1-2,,,
38.02953,2,3-4,,,
38.02953,3,3-4,,,
38.02953,4,3-4,,,
38.02953,5,3-4,,,
38.396159999999995,1,j2-3,,,
38.96277,5,w4,,,
38.96277,4,w4,,,
38.96277,3,w4,,,
38.96277,2,4-1,,,
38.96277,3,4-1,,,
39.3294,4,4-1,,,
39.3294,5,4-1,,,
39.3294,1,3-4,,,
39.6627,1,lp4,,,
39.6627,2,lp1,,,
39.6627,3,lp1,,,
39.6627,4,lp1,,,
39.6627,5,lp1,,,
40.69593,1,4-1,,,
40.69593,2,1-2,,,
40.69593,3,1-2,,,
40.69593,4,1-2,,,
40.69593,5,1-2,,,
41.06256,1,j1-2,,,
41.52918,1,lp2,,,
41.629169999999995,5,w2,,,
41.629169999999995,4,w2,,,
41.629169999999995,3,w2,,,
41.629169999999995,2,w2,,,
42.22911,1,2-3,,,
42.862379999999995,1,j3-4,,,
43.262339999999995,1,lp4,,,
44.49555,1,4-1,,,
44.92884,1,lp1,,,
45.16215,2,2-3,,,
45.16215,3,2-3,,,
45.695429999999995,4,2-3,,,
45.695429999999995,5,2-3,,,
46.095389999999995,3,w3,,,
46.095389999999995,2,w3,,,
46.62867,5,w3,,,
46.62867,4,w3,,,
46.895309999999995,4,3-4,,,
46.895309999999995,5,3-4,,,
47.02863,2,3-4,,,
47.02863,3,3-4,,,
47.16195,1,1-2,,,
47.46192,1,j2-3,,,
47.46192,2,j4-1,,,
47.46192,3,j4-1,,,
47.46192,4,j4-1,,,
47.46192,5,j4-1,,,
47.82855,1,lp3,,,
47.82855,2,lp1,,,
47.82855,3,lp1,,,
47.82855,4,lp1,,,
47.82855,5,lp1,,,
49.42839,1,3-4,,,
49.761689999999994,1,lp4,,,
49.761689999999994,2,1-2,,,
49.761689999999994,3,1-2,,,
49.761689999999994,4,1-2,,,
49.761689999999994,5,1-2,,,
50.128319999999995,2,lp2,,,
50.128319999999995,3,lp2,,,
50.128319999999995,4,lp2,,,
50.128319999999995,5,lp2,,,
50.494949999999996,1,4-1,,,
50.494949999999996,2,2-3,,,
50.494949999999996,3,2-3,,,
50.494949999999996,4,2-3,,,
50.494949999999996,5,2-3,,,
50.82825,1,j1-2,,,
51.22821,1,lp2,,,
51.42819,5,w3,,,
51.42819,4,w3,,,
51.42819,3,w3,,,
51.42819,2,w3,,,
51.86148,1,2-3,,,
52.3281,1,j3-4,,,
53.06136,1,sj4,,,
53.46132,1,lp4,,,
54.26124,1,j4-1,,,
54.26124,2,j3-4,,,
54.26124,3,j3-4,,,
54.26124,4,j3-4,,,
54.26124,5,j3-4,,,
54.6612,1,lp1,,,
54.6612,2,lp4,,,
54.6612,3,lp4,,,
54.6612,4,lp4,,,
54.6612,5,lp4,,,
55.96107,1,1-2,,,
55.96107,2,4-1,,,
55.96107,3,4-1,,,
55.96107,4,4-1,,,
55.96107,5,4-1,,,
56.627669999999995,MOT_mc_bg_black_00,b45-20,,
56.660999999999994,1,2-3,,,
56.660999999999994,2,1-2,,,
56.660999999999994,3,1-2,,,
56.660999999999994,4,1-2,,,
56.660999999999994,5,1-2,,,
56.89431,MOT_mc_stage_color_00,b-flash,,
56.89431,1,,,,L0
56.89431,2,,,,L40
56.89431,3,,,,L40
56.89431,4,,,,L40
56.89431,5,,,,L40
56.960969999999996,MOT_mc_light_under_00,l2,,
56.960969999999996,5,hj2,,,
57.060959999999994,3,hj2,,,
57.16095,1,hj3,,,
57.26094,2,hj2,,,
57.360929999999996,4,hj2,,,
57.827549999999995,1,3-4,,,
57.827549999999995,2,2-3,,,
57.827549999999995,3,2-3,,,
57.827549999999995,4,2-3,,,
57.827549999999995,5,2-3,,,
58.12752,1,lp4,,,
58.12752,2,lp3,,,
58.12752,3,lp3,,,
58.12752,4,lp3,,,
58.12752,5,lp3,,,
58.52748,1,,l1,,
59.060759999999995,1,,l2,,
59.62737,1,,l3,,
60.06066,1,j4-1,,,
60.660599999999995,1,1-2,,,
61.16055,1,j2-3,,,
61.56051,1,lp3,,,
62.260439999999996,1,j3-4,,,
62.660399999999996,1,lp4,,,
63.426989999999996,1,4-1,,,
63.426989999999996,2,3-4,,,
63.426989999999996,3,3-4,,,
63.426989999999996,4,3-4,,,
63.426989999999996,5,3-4,,,
63.79362,1,lp1,,,
64.36023,5,w4,,,
64.36023,4,w4,,,
64.36023,3,w4,,,
64.36023,2,w4,,,
65.69342999999999,1,1-2,,,
65.69342999999999,2,4-1,,,
65.69342999999999,3,4-1,,,
65.69342999999999,4,4-1,,,
65.69342999999999,5,4-1,,,
66.06006,2,lp1,,,
66.06006,3,lp1,,,
66.06006,4,lp1,,,
66.06006,5,lp1,,,
66.26004,1,sj2,,,
66.69333,1,2-3,,,
67.09329,1,lp3,,,
67.49325,1,3-4,lb2,,
68.15984999999999,1,,lb1,,
68.42649,1,w4,,,
68.69313,1,,lb0,,
69.15975,1,4-1,,,
69.72636,1,1-2,,,
69.72636,2,1-2,,,
69.72636,3,1-2,,,
69.72636,4,1-2,,,
69.72636,5,1-2,,,
70.22631,1,j2-3,,,
70.22631,2,j2-3,,,
70.22631,3,j2-3,,,
70.22631,4,j2-3,,,
70.22631,5,j2-3,,,
70.6596,1,lp3,,,
70.6596,2,lp3,,,
70.6596,3,lp3,,,
70.6596,4,lp3,,,
70.6596,5,lp3,,,
71.25954,1,3-4,,,
71.82615,1,4-1,,,
72.42609,1,j1-2,,,
72.42609,2,j3-4,,,
72.42609,3,j3-4,,,
72.42609,4,j3-4,,,
72.42609,5,j3-4,,,
72.89271,1,lp2,,,
73.49265,5,w4,,,
73.49265,4,w4,,,
73.49265,3,w4,,,
73.49265,2,w4,,,
74.85918,1,j2-3,,,
74.85918,2,j4-1,,,
74.85918,3,j4-1,,,
74.85918,4,j4-1,,,
74.85918,5,j4-1,,,
75.09249,2,,,,D40
75.09249,3,,,,D40
75.09249,4,,,,D40
75.09249,5,,,,D40
75.12581999999999,MOT_mc_bg_black_00,b20-80,,
75.12581999999999,MOT_mc_special_01,main,,
75.12581999999999,MOT_mc_light_up_00,kirakira_01,,
75.19248,MOT_mc_stage_color_00,y-flash,,
75.25914,1,lp3,,,
75.25914,2,lp1,,,
75.25914,3,lp1,,,
75.25914,4,lp1,,,
75.25914,5,lp1,,,
75.29247,2,,,,D60
75.29247,3,,,,D60
75.29247,4,,,,D60
75.29247,5,,,,D60
77.09228999999999,1,3-4,,,
77.09228999999999,2,1-2,,,
77.09228999999999,3,1-2,,,
77.09228999999999,4,1-2,,,
77.09228999999999,5,1-2,,,
77.49225,1,lp4,,,
77.49225,2,lp2,,,
77.49225,3,lp2,,,
77.49225,4,lp2,,,
77.49225,5,lp2,,,
79.45872,1,4-1,,,
79.45872,2,2-3,,,
79.45872,3,2-3,,,
79.45872,4,2-3,,,
79.45872,5,2-3,,,
80.02533,1,1-2,,,
80.02533,2,3-4,,,
80.02533,3,3-4,,,
80.02533,4,3-4,,,
80.02533,5,3-4,,,
80.55861,1,2-3,,,
80.55861,2,4-1,,,
80.55861,3,4-1,,,
80.55861,4,4-1,,,
80.55861,5,4-1,,,
81.05856,1,3-4,,,
81.05856,2,1-2,,,
81.05856,3,1-2,,,
81.05856,4,1-2,,,
81.05856,5,1-2,,,
81.35853,1,4-1,,,
81.35853,2,2-3,,,
81.35853,3,2-3,,,
81.35853,4,2-3,,,
81.35853,5,2-3,,,
81.65849999999999,1,sj1,,,
81.65849999999999,2,sj3,,,
81.65849999999999,3,sj3,,,
81.65849999999999,4,sj3,,,
81.65849999999999,5,sj3,,,
82.02512999999999,1,lp1,,,
82.02512999999999,2,lp3,,,
82.02512999999999,3,lp3,,,
82.02512999999999,4,lp3,,,
82.02512999999999,5,lp3,,,
84.05825999999999,1,j1-2,,,
84.05825999999999,4,j3-4,,,
84.05825999999999,5,j3-4,,,
84.42488999999999,1,lp2,,,
84.42488999999999,4,lp4,,,
84.42488999999999,5,lp4,,,
84.59154,3,j3-4,,,
84.59154,2,j3-4,,,
84.92484,3,lp4,,,
84.92484,2,lp4,,,
86.39135999999999,1,,l1,,
86.39135999999999,4,,l1,,
86.39135999999999,5,,l1,,
86.658,2,4-1,,,
86.658,3,4-1,,,
86.92464,1,,lb0,,
86.92464,4,,lb0,,
86.92464,5,,lb0,,
87.19127999999999,2,1-2,,,
87.19127999999999,3,1-2,,,
87.49125,1,,l1,,
87.49125,4,,l1,,
87.49125,5,,l1,,
87.75788999999999,2,2-3,,,
87.75788999999999,3,2-3,,,
88.05785999999999,1,,lb0,,
88.05785999999999,4,,lb0,,
88.05785999999999,5,,lb0,,
88.25784,2,3-4,,,
88.25784,3,3-4,,,
88.59114,1,2-3,,,
88.59114,2,4-1,,,
88.59114,3,4-1,,,
88.59114,4,4-1,,,
88.59114,5,4-1,,,
88.92443999999999,1,lp3,,,
88.92443999999999,2,lp1,,,
88.92443999999999,3,lp1,,,
88.92443999999999,4,lp1,,,
88.92443999999999,5,lp1,,,
89.65769999999999,2,1-2,,,
89.65769999999999,3,1-2,,,
89.65769999999999,4,1-2,,,
89.65769999999999,5,1-2,,,
89.65769999999999,1,j3-4,,,
90.05766,1,lp4,,,
90.59093999999999,5,w2,,,
90.59093999999999,4,w2,,,
90.59093999999999,3,w2,,,
90.59093999999999,2,w2,,,
90.89090999999999,4,j2-3,,,
90.89090999999999,5,j2-3,,,
91.42419,2,j2-3,,,
91.42419,3,j2-3,,,
91.82414999999999,1,4-1,,,
91.82414999999999,2,3-4,,,
91.82414999999999,3,3-4,,,
91.82414999999999,4,3-4,,,
91.82414999999999,5,3-4,,,
92.15745,1,hj1,,,
92.15745,2,hj4,,,
92.15745,3,hj4,,,
92.15745,4,hj4,,,
92.15745,5,hj4,,,
92.75739,1,1-2,,,
92.75739,2,4-1,,,
92.75739,3,4-1,,,
92.75739,4,4-1,,,
92.75739,5,4-1,,,
93.12402,MOT_mc_bg_black_00,b80-20,,
93.15735,1,2-3,,,
93.15735,2,1-2,,,
93.15735,3,1-2,,,
93.15735,4,1-2,,,
93.15735,5,1-2,,,
93.22400999999999,2,,,,L40
93.22400999999999,3,,,,L40
93.22400999999999,4,,,,L40
93.22400999999999,5,,,,L40
93.42398999999999,MOT_mc_stage_color_00,b-flash,,
93.45732,5,hj2,,,
93.49065,MOT_mc_light_up_00,chara_01,,
93.49065,MOT_mc_light_center_00,watage_01,,
93.55731,3,hj2,,,
93.65729999999999,1,hj3,,,
93.75729,2,hj2,,,
93.85728,4,hj2,,,
94.3239,1,3-4,,,
94.3239,2,2-3,,,
94.3239,3,2-3,,,
94.3239,4,2-3,,,
94.3239,5,2-3,,,
94.62387,1,lp4,,,
94.62387,2,lp3,,,
94.62387,3,lp3,,,
94.62387,4,lp3,,,
94.62387,5,lp3,,,
95.02382999999999,1,,r1,,
95.55711,1,,r2,,
96.12371999999999,1,4-1,r3,,
96.55700999999999,1,j1-2,,,
97.15695,1,2-3,,,
97.6569,1,j3-4,,,
98.05686,1,lp4,,,
98.75679,1,j4-1,,,
99.15675,1,lp1,,,
99.92334,1,1-2,,,
99.92334,2,3-4,,,
99.92334,3,3-4,,,
99.92334,4,3-4,,,
99.92334,5,3-4,,,
100.28997,1,lp2,,,
100.85658,5,w4,,,
100.85658,4,w4,,,
100.85658,3,w4,,,
100.85658,2,w4,,,
102.18978,1,2-3,,,
102.18978,2,4-1,,,
102.18978,3,4-1,,,
102.18978,4,4-1,,,
102.18978,5,4-1,,,
102.55641,2,lp1,,,
102.55641,3,lp1,,,
102.55641,4,lp1,,,
102.55641,5,lp1,,,
102.75639,1,sj3,,,
103.18968,1,3-4,,,
103.58963999999999,1,lp4,,,
103.9896,1,4-1,rb2,,
104.6562,1,,rb1,,
104.92284,1,w1,,,
105.18947999999999,1,1-2,rb0,,
105.6561,1,2-3,,,
106.22270999999999,1,3-4,,,
106.22270999999999,2,1-2,,,
106.22270999999999,3,1-2,,,
106.22270999999999,4,1-2,,,
106.22270999999999,5,1-2,,,
106.72265999999999,1,j4-1,,,
106.72265999999999,2,j2-3,,,
106.72265999999999,3,j2-3,,,
106.72265999999999,4,j2-3,,,
106.72265999999999,5,j2-3,,,
107.15594999999999,1,lp1,,,
107.15594999999999,2,lp3,,,
107.15594999999999,3,lp3,,,
107.15594999999999,4,lp3,,,
107.15594999999999,5,lp3,,,
107.75589,1,1-2,,,
108.32249999999999,1,2-3,,,
108.92244,1,j3-4,,,
108.92244,2,j3-4,,,
108.92244,3,j3-4,,,
108.92244,4,j3-4,,,
108.92244,5,j3-4,,,
109.38906,1,lp4,,,
109.98899999999999,5,w4,,,
109.98899999999999,4,w4,,,
109.98899999999999,3,w4,,,
109.98899999999999,2,w4,,,
111.28886999999999,4,4-1,,,
111.35553,2,4-1,,,
111.42219,1,4-1,,,
111.48885,3,4-1,,,
111.55551,5,4-1,,,
111.75549,MOT_mc_stage_color_00,y-flash,,
111.75549,1,,,,D20
111.75549,2,,,,D60
111.75549,3,,,,D60
111.75549,4,,,,D60
111.75549,5,,,,D60
111.85548,1,lp1,,,
111.85548,2,lp1,,,
111.85548,3,lp1,,,
111.85548,4,lp1,,,
111.85548,5,lp1,,,
113.68862999999999,5,1-2,,,
114.62187,5,w2,,,
115.9884,4,1-2,,,
116.92164,4,w2,,,
118.28817,3,1-2,,,
119.22140999999999,3,w2,,,
119.45472,2,1-2,,,
120.08798999999999,1,1-2,,,
120.38795999999999,2,w2,,,
120.78792,1,j2-3,,,
120.78792,2,j2-3,,,
120.78792,3,j2-3,,,
120.78792,4,j2-3,,,
120.78792,5,j2-3,,,
121.12122,1,lp3,,,
121.12122,2,lp3,,,
121.12122,3,lp3,,,
121.12122,4,lp3,,,
121.12122,5,lp3,,,
124.02092999999999,1,,,,D40
124.15424999999999,MOT_mc_special_01,main_out,,
124.15424999999999,MOT_mc_light_up_00,kirakira_01-out,,
124.18758,MOT_mc_light_center_00,last,,
124.18758,MOT_mc_light_under_00,l3,,
124.18758,1,,,,D60
125.95406999999999,1,3-4,,,
125.95406999999999,2,3-4,,,
125.95406999999999,3,3-4,,,
125.95406999999999,4,3-4,,,
125.95406999999999,5,3-4,,,
126.88731,5,w4,,,
126.88731,4,w4,,,
126.88731,3,w4,,,
126.88731,2,w4,,,
126.88731,1,w4,,,
