0.03333,MOT_control_all,mix1,,
0.03333,MOT_mc_speaker_00,l1,,
0.03333,MOT_all,cut1,,
0.03333,MOT_mc_special_03,w1,,
6.9993,4,1-2,,,
6.9993,5,1-2,,,
7.332599999999999,1,j2-3,,,
7.332599999999999,2,j2-3,,,
7.332599999999999,3,j2-3,,,
7.332599999999999,4,j2-3,,,
7.332599999999999,5,j2-3,,,
8.09919,MOT_mc_special_03,4-2,,
8.39916,5,w3,,,
8.39916,4,w3,,,
8.39916,3,w3,,,
8.39916,2,w3,,,
8.39916,1,w3,,,
8.565809999999999,MOT_mc_special_03,j2-1,,
8.565809999999999,1,3-4,,,
8.565809999999999,2,3-4,,,
8.565809999999999,3,3-4,,,
8.565809999999999,4,3-4,,,
8.565809999999999,5,3-4,,,
8.89911,1,sj4,,,
8.89911,2,sj4,,,
8.89911,3,sj4,,,
8.89911,4,sj4,,,
8.89911,5,sj4,,,
9.03243,MOT_mc_special_03,lp1,,
9.39906,5,w4,,,
9.39906,4,w4,,,
9.39906,3,w4,,,
9.39906,2,w4,,,
9.39906,1,w4,,,
10.23231,2,sj4,,,
10.23231,3,sj4,,,
10.56561,1,sj4,,,
10.56561,4,sj4,,,
10.56561,5,sj4,,,
10.73226,3,w4,,,
10.73226,2,w4,,,
10.898909999999999,2,j4-1,,,
10.898909999999999,3,j4-1,,,
11.06556,5,w4,,,
11.06556,4,w4,,,
11.06556,1,w4,,,
11.23221,1,j4-1,,,
11.23221,4,j4-1,,,
11.23221,5,j4-1,,,
11.79882,1,lp1,,,
11.79882,2,lp1,,,
11.79882,3,lp1,,,
11.79882,4,lp1,,,
11.79882,5,lp1,,,
12.79872,MOT_mc_special_03,1-4,,
13.06536,2,j1-2,,,
13.06536,3,j1-2,,,
13.232009999999999,MOT_mc_special_03,lp4,,
14.13192,3,w2,,,
14.13192,2,w2,,,
14.73186,1,1-2,,,
14.73186,4,1-2,,,
14.73186,5,1-2,,,
15.09849,1,sj2,,,
15.09849,4,sj2,,,
15.09849,5,sj2,,,
15.565109999999999,2,sj2,,,
15.565109999999999,3,sj2,,,
15.59844,5,w2,,,
15.59844,4,w2,,,
15.59844,1,w2,,,
15.865079999999999,1,sj2,,,
15.865079999999999,4,sj2,,,
15.865079999999999,5,sj2,,,
16.06506,3,w2,,,
16.06506,2,w2,,,
16.36503,5,w2,,,
16.36503,4,w2,,,
16.36503,1,w2,,,
16.665,2,j2-3,,,
16.665,3,j2-3,,,
16.9983,MOT_mc_special_03,4-2,,
17.364929999999998,MOT_mc_special_03,lp2,,
17.731559999999998,3,w3,,,
17.731559999999998,2,w3,,,
18.19818,1,2-3,,,
18.19818,4,2-3,,,
18.19818,5,2-3,,,
18.46482,1,j3-4,,,
18.46482,4,j3-4,,,
18.46482,5,j3-4,,,
18.9981,MOT_mc_stage_color_00,b-flash,,
18.9981,MOT_mc_light_up_00,l2,,
18.9981,MOT_mc_light_center_00,l2,,
18.9981,MOT_mc_speaker_00,l1,,
18.9981,MOT_mc_special_01,l1,,
18.9981,MOT_mc_special_03,j2-3,,
18.9981,2,hj3,,,
18.9981,3,hj3,,,
19.53138,5,w4,,,
19.53138,4,w4,,,
19.53138,1,w4,,,
19.564709999999998,MOT_mc_special_03,lp3,,
19.69803,1,hj4,,,
19.69803,4,hj4,,,
19.69803,5,hj4,,,
20.23131,3,w3,,,
20.23131,2,w3,,,
20.36463,2,3-4,lb0,,
20.36463,3,3-4,rb0,,
20.86458,2,j4-1,,,
20.86458,3,j4-1,,,
20.93124,5,w4,,,
20.93124,4,w4,,,
20.93124,1,w4,,,
21.29787,4,4-1,lb0,,
21.29787,5,4-1,rb0,,
21.29787,1,4-1,,,
21.56451,MOT_mc_special_03,j3-4,,
21.797819999999998,4,j1-2,,,
21.797819999999998,5,j1-2,,,
21.797819999999998,1,j1-2,,,
21.93114,3,w1,,,
21.93114,2,w1,,,
22.06446,MOT_mc_special_03,lp4,,
22.3311,2,j1-2,,,
22.3311,3,j1-2,,,
22.86438,5,w2,,,
22.86438,4,w2,,,
22.86438,1,w2,,,
23.031029999999998,1,j2-3,,,
23.031029999999998,4,j2-3,,,
23.031029999999998,5,j2-3,,,
23.39766,3,w2,,,
23.39766,2,w2,,,
23.69763,2,2-3,l1,,
23.69763,3,2-3,r1,,
24.09759,5,w3,,,
24.09759,4,w3,,,
24.09759,1,w3,,,
24.19758,2,j3-4,,,
24.19758,3,j3-4,,,
24.464219999999997,MOT_mc_special_03,j4-1,,
24.630869999999998,4,3-4,l1,,
24.630869999999998,5,3-4,r1,,
24.630869999999998,1,3-4,,,
25.030829999999998,4,j4-1,,,
25.030829999999998,5,j4-1,,,
25.030829999999998,1,j4-1,,,
25.16415,MOT_mc_special_03,lp1,,
25.264139999999998,3,w4,,,
25.264139999999998,2,w4,,,
25.56411,1,1-2,l1,,
25.56411,2,4-1,l2,,
25.56411,3,4-1,rb0,,
25.56411,4,1-2,l2,,
25.56411,5,1-2,rb0,,
25.96407,1,,l2,,
25.96407,2,,l3,,
25.96407,3,,l1,,
25.96407,4,,l3,,
25.96407,5,,l1,,
26.39736,1,j2-3,,,
26.39736,2,j1-2,,,
26.39736,3,j1-2,,,
26.39736,4,j2-3,,,
26.39736,5,j2-3,,,
26.96397,1,lp3,,,
26.96397,2,lp2,,,
26.96397,3,lp2,,,
26.96397,4,lp3,,,
26.96397,5,lp3,,,
27.297269999999997,MOT_mc_special_03,1-2,,
27.663899999999998,MOT_mc_special_03,j2-3,,
27.663899999999998,1,3-4,,,
27.663899999999998,2,2-3,,,
27.663899999999998,3,2-3,,,
27.663899999999998,4,3-4,,,
27.663899999999998,5,3-4,,,
27.863879999999998,1,sj4,,,
27.863879999999998,2,sj3,,,
27.863879999999998,3,sj3,,,
27.863879999999998,4,sj4,,,
27.863879999999998,5,sj4,,,
28.16385,1,4-1,,,
28.16385,2,3-4,,,
28.16385,3,3-4,,,
28.16385,4,4-1,,,
28.16385,5,4-1,,,
28.39716,1,j1-2,,,
28.39716,2,j4-1,,,
28.39716,3,j4-1,,,
28.39716,4,j1-2,,,
28.39716,5,j1-2,,,
28.63047,MOT_mc_special_03,hj3,,
28.930439999999997,1,2-3,lb1,,
28.930439999999997,2,1-2,lb2,,
28.930439999999997,3,1-2,lb0,,
28.930439999999997,4,2-3,lb2,,
28.930439999999997,5,2-3,lb0,,
29.330399999999997,1,,lb0,,
29.330399999999997,2,,lb1,,
29.330399999999997,3,,r1,,
29.330399999999997,4,,lb1,,
29.330399999999997,5,,r1,,
29.697029999999998,1,3-4,,,
29.697029999999998,2,2-3,,,
29.697029999999998,3,2-3,,,
29.697029999999998,4,3-4,,,
29.697029999999998,5,3-4,,,
30.23031,MOT_mc_special_03,3-4,,
30.330299999999998,1,j4-1,,,
30.330299999999998,2,j3-4,,,
30.330299999999998,3,j3-4,,,
30.330299999999998,4,j4-1,,,
30.330299999999998,5,j4-1,,,
30.6636,MOT_mc_special_03,j4-1,,
30.86358,1,sp1-2,,,
30.963569999999997,2,sp4-1,,,
30.963569999999997,3,sp4-1,,,
31.06356,4,sp1-2,,,
31.06356,5,sp1-2,,,
31.9968,MOT_mc_special_03,1-2,,
32.06346,1,sj2,,,
32.16345,2,sj1,,,
32.16345,3,sj1,,,
32.263439999999996,4,sj2,,,
32.263439999999996,5,sj2,,,
32.3301,MOT_mc_special_03,sj2,,
32.56341,1,w2,,,
32.630069999999996,MOT_control_all,mix1_03,,
32.630069999999996,MOT_mc_stage_color_00,r-flash,,
32.630069999999996,MOT_mc_light_up_00,l3,,
32.630069999999996,MOT_mc_light_center_00,l3,,
32.630069999999996,MOT_mc_light_under_00,l2,,
32.630069999999996,MOT_mc_speaker_00,l1,,
32.630069999999996,MOT_mc_back_00,l1,,
32.630069999999996,MOT_mc_special_01,l1,,
32.630069999999996,MOT_mc_bg_black_00,b45-0,,
32.663399999999996,3,w1,,,
32.663399999999996,2,w1,,,
32.696729999999995,1,2-3,,b-1,
32.696729999999995,4,2-3,,b-1,
32.696729999999995,5,2-3,,b-1,
33.03003,3,1-2,,b-1,
33.03003,2,1-2,,b-1,
33.33,1,,r1,,
33.33,2,,lb0,,
33.33,3,,r2,,
33.33,4,,lb0,,
33.33,5,,r2,,
33.62997,5,w3,,,
33.62997,4,w3,,,
33.62997,1,w3,,,
33.72996,1,j3-4,,,
33.72996,2,j2-3,,,
33.72996,3,j2-3,,,
33.72996,4,j3-4,,,
33.72996,5,j3-4,,,
34.16325,1,lp4,,,
34.16325,2,lp3,,,
34.16325,3,lp3,,,
34.16325,4,lp4,,,
34.16325,5,lp4,,,
35.36313,1,hj4,,,
35.42979,2,hj3,,,
35.42979,3,hj3,,,
35.496449999999996,MOT_mc_special_03,j2-3,,
35.496449999999996,4,hj4,,,
35.496449999999996,5,hj4,,,
36.09639,3,3-4,,f0,
36.09639,2,3-4,,f0,
36.56301,1,4-1,,f0,
36.56301,4,4-1,,f0,
36.56301,5,4-1,,f0,
37.02963,3,w4,,,
37.02963,2,w4,,,
37.096289999999996,1,1-2,rb0,,
37.096289999999996,2,4-1,l1,,
37.096289999999996,3,4-1,rb1,,
37.096289999999996,4,1-2,l1,,
37.096289999999996,5,1-2,rb1,,
37.46292,1,lp2,,,
37.46292,2,lp1,,,
37.46292,3,lp1,,,
37.46292,4,lp2,,,
37.46292,5,lp2,,,
37.79622,MOT_mc_special_03,3-4,,
38.19618,MOT_mc_special_03,j4-1,,
38.52948,1,hj2,,,
38.59614,2,hj1,,,
38.59614,3,hj1,,,
38.6628,4,hj2,,,
38.6628,5,hj2,,,
39.26274,MOT_mc_special_03,1-2,,
39.3294,1,2-3,,b-1,
39.3294,4,2-3,,b-1,
39.3294,5,2-3,,b-1,
39.529379999999996,MOT_mc_special_01,l1,,
39.529379999999996,MOT_mc_special_03,lp2,,
39.6627,2,1-2,,b-1,
39.6627,3,1-2,,b-1,
40.02933,1,,l1,,
40.02933,2,,l2,,
40.02933,3,,rb0,,
40.02933,4,,l2,,
40.02933,5,,rb0,,
40.26264,5,w3,,,
40.26264,4,w3,,,
40.26264,1,w3,,,
40.42929,1,j3-4,,,
40.42929,2,j2-3,,,
40.42929,3,j2-3,,,
40.42929,4,j3-4,,,
40.42929,5,j3-4,,,
40.86258,1,lp4,,,
40.86258,2,lp3,,,
40.86258,3,lp3,,,
40.86258,4,lp4,,,
40.86258,5,lp4,,,
42.06246,1,hj4,,,
42.12912,2,hj3,,,
42.12912,3,hj3,,,
42.19578,4,hj4,,,
42.19578,5,hj4,,,
42.69573,2,3-4,,f0,
42.69573,3,3-4,,f0,
42.96237,MOT_mc_special_03,2-3,,
43.29567,1,4-1,,f0,
43.29567,4,4-1,,f0,
43.29567,5,4-1,,f0,
43.329,MOT_mc_special_03,lp3,,
43.628969999999995,3,w4,,,
43.628969999999995,2,w4,,,
43.79562,1,1-2,lb0,,
43.79562,2,4-1,lb1,,
43.79562,3,4-1,r1,,
43.79562,4,1-2,lb1,,
43.79562,5,1-2,r1,,
44.16225,1,lp2,,,
44.16225,2,lp1,,,
44.16225,3,lp1,,,
44.16225,4,lp2,,,
44.16225,5,lp2,,,
44.56221,1,hj2,,,
44.62887,2,hj1,,,
44.62887,3,hj1,,,
44.69553,4,hj2,,,
44.69553,5,hj2,,,
45.228809999999996,MOT_mc_special_03,sj3,,
45.39546,1,lp2,,,
45.39546,2,lp1,,,
45.39546,3,lp1,,,
45.39546,4,lp2,,,
45.39546,5,lp2,,,
45.595439999999996,MOT_mc_special_03,j3-4,,
45.9954,MOT_mc_special_01,l1,,
45.9954,1,2-3,,,
45.9954,4,2-3,lb0,,
45.9954,5,2-3,rb0,,
46.22871,MOT_mc_special_03,j4-1,,
46.22871,2,1-2,lb0,,
46.22871,3,1-2,rb0,,
46.662,MOT_mc_special_03,lp1,,
46.76199,1,3-4,,,
46.76199,2,2-3,,,
46.76199,3,2-3,,,
46.76199,4,3-4,,,
46.76199,5,3-4,,,
46.96197,1,j4-1,,,
46.96197,2,j3-4,,,
46.96197,3,j3-4,,,
46.96197,4,j4-1,,,
46.96197,5,j4-1,,,
47.56191,1,1-2,,,
47.56191,4,1-2,l1,,
47.56191,5,1-2,r1,,
47.79522,2,4-1,l1,,
47.79522,3,4-1,r1,,
48.3285,1,2-3,,,
48.3285,2,1-2,,,
48.3285,3,1-2,,,
48.3285,4,2-3,,,
48.3285,5,2-3,,,
48.528479999999995,1,j3-4,,,
48.528479999999995,2,j2-3,,,
48.528479999999995,3,j2-3,,,
48.528479999999995,4,j3-4,,,
48.528479999999995,5,j3-4,,,
48.76179,MOT_mc_special_03,hj1,,
49.361729999999994,1,sp4-1,,,
49.361729999999994,2,sp3-4,,,
49.361729999999994,3,sp3-4,,,
49.361729999999994,4,sp4-1,,,
49.361729999999994,5,sp4-1,,,
49.39506,MOT_mc_special_03,lp1,,
50.161649999999995,1,sj1,,,
50.161649999999995,2,sj4,,,
50.161649999999995,3,sj4,,,
50.161649999999995,4,sj1,,,
50.161649999999995,5,sj1,,,
50.6616,5,w1,,,
50.6616,4,w1,,,
50.6616,3,w4,,,
50.6616,2,w4,,,
50.6616,1,w1,,,
50.9949,1,1-2,,,
50.9949,2,4-1,,,
50.9949,3,4-1,,,
50.9949,4,1-2,,,
50.9949,5,1-2,,,
51.294869999999996,1,sj2,,,
51.294869999999996,2,sj1,,,
51.294869999999996,3,sj1,,,
51.294869999999996,4,sj2,,,
51.294869999999996,5,sj2,,,
51.59484,MOT_mc_special_03,1-2,,
51.794819999999994,5,w2,,,
51.794819999999994,4,w2,,,
51.794819999999994,3,w1,,,
51.794819999999994,2,w1,,,
51.794819999999994,1,w2,,,
51.89481,MOT_mc_special_03,lp2,,
51.92814,1,sp2-3,,,
51.92814,2,sp1-2,,,
51.92814,3,sp1-2,,,
51.92814,4,sp2-3,,,
51.92814,5,sp2-3,,,
52.36143,1,j3-4,,,
52.42809,2,j2-3,,,
52.42809,3,j2-3,,,
52.494749999999996,4,j3-4,,,
52.494749999999996,5,j3-4,,,
52.894709999999996,MOT_mc_special_01,l1,,
52.894709999999996,MOT_mc_special_03,2-3,,
52.928039999999996,1,4-1,,,
52.928039999999996,4,4-1,lb0,,
52.928039999999996,5,4-1,rb0,,
53.16135,2,3-4,lb0,,
53.16135,3,3-4,rb0,,
53.19468,MOT_mc_special_03,sj3,,
53.52798,MOT_mc_special_03,lp3,,
53.69463,1,1-2,,,
53.69463,2,4-1,,,
53.69463,3,4-1,,,
53.69463,4,1-2,,,
53.69463,5,1-2,,,
53.89461,1,j2-3,,,
53.89461,2,j1-2,,,
53.89461,3,j1-2,,,
53.89461,4,j2-3,,,
53.89461,5,j2-3,,,
54.49455,1,3-4,,,
54.49455,4,3-4,l1,,
54.49455,5,3-4,r1,,
54.72786,2,2-3,l1,,
54.72786,3,2-3,r1,,
55.29447,1,4-1,,,
55.29447,2,3-4,,,
55.29447,3,3-4,,,
55.29447,4,4-1,,,
55.29447,5,4-1,,,
55.49445,MOT_mc_special_03,hj3,,
55.49445,1,j1-2,,,
55.49445,2,j4-1,,,
55.49445,3,j4-1,,,
55.49445,4,j1-2,,,
55.49445,5,j1-2,,,
56.29437,1,sp2-3,,,
56.29437,2,sp1-2,,,
56.29437,3,sp1-2,,,
56.29437,4,sp2-3,,,
56.29437,5,sp2-3,,,
57.09429,1,sj3,,,
57.09429,2,sj2,,,
57.09429,3,sj2,,,
57.09429,4,sj3,,,
57.09429,5,sj3,,,
57.59424,5,w3,,,
57.59424,4,w3,,,
57.59424,3,w2,,,
57.59424,2,w2,,,
57.59424,1,w3,,,
57.760889999999996,4,3-4,,,
57.794219999999996,2,2-3,,,
57.827549999999995,1,3-4,,,
57.860879999999995,3,2-3,,,
57.894209999999994,5,3-4,,,
58.260839999999995,1,lp4,,,
58.260839999999995,2,lp3,,,
58.260839999999995,3,lp3,,,
58.260839999999995,4,lp4,,,
58.260839999999995,5,lp4,,,
58.39416,MOT_mc_special_03,3-4,,
58.42749,5,4-1,,,
58.46082,3,3-4,,,
58.49415,1,4-1,,,
58.52748,2,3-4,,,
58.56081,4,4-1,,,
58.72746,MOT_control_all,mix1_04,,
58.79412,MOT_mc_special_03,lp4,,
58.994099999999996,1,lp1,,,
58.994099999999996,2,lp4,,,
58.994099999999996,3,lp4,,,
58.994099999999996,4,lp1,,,
58.994099999999996,5,lp1,,,
59.394059999999996,1,j1-2,,,
59.460719999999995,2,j4-1,,,
59.460719999999995,3,j4-1,,,
59.52738,4,j1-2,,,
59.52738,5,j1-2,,,
59.827349999999996,MOT_mc_stage_color_00,y-flash,,
59.827349999999996,MOT_mc_light_up_00,l1,,
59.827349999999996,MOT_mc_light_center_00,l1,,
59.827349999999996,MOT_mc_light_under_00,l1,,
59.827349999999996,MOT_mc_special_01,l1,,
59.827349999999996,MOT_mc_bg_black_00,b0-45,,
59.827349999999996,MOT_mc_special_03,j4-1,,
59.927339999999994,1,sj2,,,
59.927339999999994,2,sj1,,,
59.927339999999994,3,sj1,,,
59.927339999999994,4,sj2,,,
59.927339999999994,5,sj2,,,
60.42729,5,w2,,,
60.42729,4,w2,,,
60.42729,3,w1,,,
60.42729,2,w1,,,
60.42729,1,w2,,,
61.56051,MOT_mc_stage_color_00,y-flash,,
61.56051,MOT_mc_special_03,j1-2,,
61.56051,1,sj2,,,
61.56051,2,sj1,,,
61.56051,3,sj1,,,
61.56051,4,sj2,,,
61.56051,5,sj2,,,
62.06046,5,w2,,,
62.06046,4,w2,,,
62.06046,3,w1,,,
62.06046,2,w1,,,
62.06046,1,w2,,,
63.460319999999996,MOT_mc_stage_color_00,y-flash,,
63.460319999999996,MOT_mc_special_03,j2-3,,
63.460319999999996,1,j2-3,,,
64.26024,MOT_mc_stage_color_00,y-flash,,
64.26024,MOT_mc_special_03,j3-4,,
64.26024,2,j1-2,,,
64.26024,3,j1-2,,,
64.52687999999999,1,w3,,,
65.12682,MOT_mc_stage_color_00,y-flash,,
65.12682,MOT_mc_special_03,j4-1,,
65.12682,4,j2-3,,,
65.12682,5,j2-3,,,
65.32679999999999,3,w2,,,
65.32679999999999,2,w2,,,
66.09339,1,j3-4,,,
66.16005,MOT_mc_stage_color_00,y-flash,,
66.16005,MOT_mc_special_03,j1-2,,
66.16005,2,j2-3,,,
66.16005,3,j2-3,,,
66.19337999999999,5,w3,,,
66.19337999999999,4,w3,,,
66.22671,4,j3-4,,,
66.22671,5,j3-4,,,
67.09329,MOT_mc_stage_color_00,y-flash,,
67.09329,MOT_mc_special_01,l1,,
67.09329,MOT_mc_special_03,2-3,,
67.09329,4,sp4-1,,,
67.09329,5,sp4-1,,,
67.15995,1,w4,,,
67.22661,3,w3,,,
67.22661,2,w3,,,
68.59313999999999,2,sp3-4,,,
68.59313999999999,3,sp3-4,,,
68.95976999999999,MOT_mc_stage_color_00,y-flash,,
68.95976999999999,MOT_mc_special_03,3-4,,
70.69292999999999,MOT_mc_stage_color_00,y-flash,,
70.69292999999999,MOT_mc_special_03,4-1,,
70.69292999999999,1,sp4-1,,,
71.75949,MOT_mc_stage_color_00,y-flash,,
71.75949,MOT_mc_special_03,1-2,,
71.75949,4,j1-2,,,
71.75949,5,j1-2,,,
72.69273,MOT_mc_stage_color_00,y-flash,,
72.69273,MOT_mc_special_03,2-3,,
72.69273,2,j4-1,,,
72.69273,3,j4-1,,,
72.82605,5,w2,,,
72.82605,4,w2,,,
73.15935,1,j1-2,,,
73.69263,MOT_mc_stage_color_00,y-flash,,
73.69263,MOT_mc_special_03,3-4,,
73.69263,1,lp2,,,
73.69263,2,lp1,,,
73.69263,3,lp1,,,
73.69263,4,lp2,,,
73.69263,5,lp2,,,
73.9926,MOT_control_all,mix1_05,,
74.25923999999999,1,sp2-3,,,
74.35923,MOT_mc_stage_color_00,r-flash,,
74.35923,MOT_mc_light_up_00,l3,,
74.35923,MOT_mc_light_center_00,l3,,
74.35923,MOT_mc_light_under_00,l2,,
74.35923,MOT_mc_speaker_00,l2,,
74.35923,MOT_mc_back_00,l2,,
74.35923,MOT_mc_special_01,l1,,
74.35923,MOT_mc_bg_black_00,b45-0,,
74.35923,MOT_mc_special_03,4-1,,
74.35923,2,sp1-2,,,
74.35923,3,sp1-2,,,
74.35923,MOT_all,mix1_01,,
74.45922,4,sp2-3,,,
74.45922,5,sp2-3,,,
74.62586999999999,MOT_mc_special_03,lp1,,
74.89251,1,lp3,,,
74.89251,2,lp2,,,
74.89251,3,lp2,,,
74.89251,4,lp3,,,
74.89251,5,lp3,,,
75.85907999999999,MOT_mc_special_03,sp1-2,,
76.15905,1,sj3,,,
76.25904,2,sj2,,,
76.25904,3,sj2,,,
76.35902999999999,5,sj3,,,
76.35902999999999,4,sj3,,,
76.65899999999999,1,w3,,,
76.75899,3,w2,,,
76.75899,2,w2,,,
76.79231999999999,MOT_mc_special_03,sj1,,
76.79231999999999,1,lp3,,,
76.79231999999999,2,lp2,,,
76.79231999999999,3,lp2,,,
76.79231999999999,4,lp3,,,
76.79231999999999,5,lp3,,,
77.22561,MOT_all,mix1_02,,
77.25894,MOT_mc_special_03,lp1,,
77.69223,1,3-4,l1,,
77.69223,4,3-4,l2,,
77.69223,5,3-4,rb0,,
78.25883999999999,3,2-3,rb0,,
78.25883999999999,2,2-3,l2,,
78.42549,MOT_mc_stage_color_00,r-flash,,
78.62546999999999,5,w4,,,
78.62546999999999,4,w4,,,
78.62546999999999,1,w4,,,
78.79212,1,4-1,l2,,
78.79212,4,4-1,l3,,
78.79212,5,4-1,l1,,
78.82545,MOT_mc_stage_color_00,b-flash,,
79.19207999999999,3,w3,,,
79.19207999999999,2,w3,,,
79.29207,MOT_mc_stage_color_00,y-flash,,
79.29207,3,3-4,l1,,
79.29207,2,3-4,l3,,
79.69203,MOT_mc_stage_color_00,r-flash,,
79.72536,5,w1,,,
79.72536,4,w1,,,
79.72536,1,w1,,,
79.82535,1,sp1-2,,,
79.82535,2,sp4-1,,,
79.82535,3,sp4-1,,,
79.82535,4,sp1-2,,,
79.82535,5,sp1-2,,,
80.52528,1,sj2,,,
80.52528,2,sj1,,,
80.52528,3,sj1,,,
80.52528,4,sj2,,,
80.52528,5,sj2,,,
80.65859999999999,MOT_mc_special_03,j1-2,,
81.02523,5,w2,,,
81.02523,4,w2,,,
81.02523,3,w1,,,
81.02523,2,w1,,,
81.02523,1,w2,,,
81.05856,MOT_mc_special_03,lp2,,
81.19188,MOT_all,mix1_03,,
81.62517,MOT_mc_special_01,l1,,
81.69183,1,2-3,lb1,,
81.69183,4,2-3,lb2,,
81.69183,5,2-3,lb0,,
82.29177,2,1-2,lb2,,
82.29177,3,1-2,lb0,,
82.62507,5,w3,,,
82.62507,4,w3,,,
82.62507,1,w3,,,
82.85838,1,3-4,lb0,,
82.85838,4,3-4,lb1,,
82.85838,5,3-4,r1,,
83.02503,MOT_mc_special_03,sp2-3,,
83.22501,3,w2,,,
83.22501,2,w2,,,
83.45832,2,2-3,lb1,,
83.45832,3,2-3,r1,,
83.79162,5,w4,,,
83.79162,4,w4,,,
83.79162,1,w4,,,
84.25824,MOT_mc_special_03,sj3,,
84.25824,1,sj4,,,
84.25824,2,sj3,,,
84.25824,3,sj3,,,
84.25824,4,sj4,,,
84.25824,5,sj4,,,
84.62487,MOT_all,mix1_04,,
84.6582,MOT_mc_special_03,lp3,,
84.75819,5,w4,,,
84.75819,4,w4,,,
84.75819,3,w3,,,
84.75819,2,w3,,,
84.75819,1,w4,,,
85.29146999999999,MOT_mc_special_03,j3-4,,
85.29146999999999,2,sj3,,,
85.29146999999999,3,sj3,,,
85.52477999999999,2,3-4,,,
85.52477999999999,3,3-4,,,
85.79142,MOT_mc_special_03,lp4,,
86.15805,1,sj4,,,
86.15805,4,sj4,,,
86.15805,5,sj4,,,
86.39135999999999,1,4-1,,,
86.39135999999999,4,4-1,,,
86.39135999999999,5,4-1,,,
86.45801999999999,3,w4,,,
86.45801999999999,2,w4,,,
87.12462,MOT_mc_special_03,j4-1,,
87.12462,2,4-1,,b-1,
87.12462,3,4-1,,b-1,
87.32459999999999,5,w1,,,
87.32459999999999,4,w1,,,
87.32459999999999,1,w1,,,
87.52458,MOT_mc_special_03,lp1,,
87.99119999999999,1,1-2,,b-1,
87.99119999999999,4,1-2,,b-1,
87.99119999999999,5,1-2,,b-1,
88.05785999999999,3,w1,,,
88.05785999999999,2,w1,,,
88.75779,MOT_mc_special_01,l1,,
88.75779,MOT_mc_special_03,1-2,,
88.75779,1,2-3,,,
88.75779,2,1-2,lb0,,
88.75779,3,1-2,rb0,,
88.75779,MOT_all,mix1_05,,
88.92443999999999,5,w2,,,
88.92443999999999,4,w2,,,
89.15775,MOT_mc_special_03,lp2,,
89.62437,5,2-3,rb0,,
89.62437,4,2-3,lb0,,
89.69103,3,w2,,,
89.69103,2,w2,,,
89.69103,1,w3,,,
90.42429,1,3-4,,,
90.42429,2,2-3,l1,,
90.42429,3,2-3,r1,,
90.55761,5,w3,,,
90.55761,4,w3,,,
91.05756,5,3-4,r1,,
91.05756,4,3-4,l1,,
91.35753,3,w3,,,
91.35753,2,w3,,,
91.35753,1,w4,,,
91.89081,MOT_mc_special_03,2-3,,
91.89081,MOT_all,mix1_06,,
91.9908,5,w4,,,
91.9908,4,w4,,,
91.9908,1,4-1,,f0,
91.9908,4,4-1,,f0,
91.9908,5,4-1,,f0,
91.9908,2,3-4,l2,,
91.9908,3,3-4,rb0,,
92.35743,MOT_mc_special_03,lp3,,
92.59074,1,1-2,l1,,
92.59074,4,1-2,l2,,
92.59074,5,1-2,rb0,,
92.92403999999999,3,w4,,,
92.92403999999999,2,w4,,,
93.25734,2,4-1,,f0,
93.25734,3,4-1,,f0,
