0.03333,MOT_mc_stage_color_00,b,,
0.03333,MOT_mc_light_center_00,l2,,
0.03333,MOT_mc_light_under_00,kaibutsu_stay,,
20.597939999999998,5,4-1,rb1,,
21.431189999999997,2,,rb0,,
21.431189999999997,3,,rb0,,
21.431189999999997,1,,rb0,,
21.431189999999997,4,,rb0,,
21.431189999999997,5,,rb0,,
21.53118,5,w1,,,
21.53118,4,w1,,,
21.53118,3,w1,,,
21.53118,2,w1,,,
21.53118,1,w3,,,
22.06446,1,3-4,,,
22.197779999999998,2,1-2,,,
22.197779999999998,3,1-2,,,
22.3311,4,1-2,,,
22.3311,5,1-2,,,
22.9977,1,w4,,,
23.13102,3,w2,,,
23.13102,2,w2,,,
23.26434,5,w2,,,
23.26434,4,w2,,,
23.56431,1,sj4,,,
23.664299999999997,MOT_mc_light_under_00,l6,,
23.93094,1,lp4,,,
25.56411,1,4-1,,,
25.56411,4,2-3,l1,,L20
25.56411,5,2-3,r1,,L20
25.63077,2,2-3,l1,,L20
25.63077,3,2-3,r1,,L20
26.297369999999997,1,j1-2,,,
26.297369999999997,4,3-4,l2,,
26.297369999999997,5,3-4,r2,,
26.36403,2,3-4,l2,,
26.36403,3,3-4,r2,,
27.23061,5,w4,,,
27.23061,4,w4,,,
27.23061,1,j2-3,,,
27.297269999999997,3,w4,,,
27.297269999999997,2,w4,,,
27.36393,2,j4-1,,,
27.497249999999998,3,j4-1,,,
27.63057,4,j4-1,,,
27.76389,5,j4-1,,,
28.23051,1,3-4,,,
28.23051,2,1-2,lb1,,
28.23051,3,1-2,rb1,,
28.297169999999998,4,1-2,lb1,,
28.297169999999998,5,1-2,rb1,,
29.130419999999997,1,j4-1,,,
29.130419999999997,2,2-3,lb0,,
29.130419999999997,3,2-3,rb0,,
29.19708,4,2-3,lb0,,
29.19708,5,2-3,rb0,,
30.06366,3,w3,,,
30.06366,2,w3,,,
30.096989999999998,1,j1-2,,,
30.130319999999998,5,w3,,,
30.130319999999998,4,w3,,,
30.19698,2,3-4,,,
30.19698,3,3-4,,,
30.19698,4,3-4,,,
30.19698,5,3-4,,,
30.69693,1,2-3,l1,,
31.130219999999998,5,w4,,,
31.130219999999998,4,w4,,,
31.130219999999998,3,w4,,,
31.130219999999998,2,w4,,,
31.39686,1,,l2,,
31.63017,1,w3,,,
32.16345,1,3-4,lb1,,
32.663399999999996,1,,lb0,,
32.93004,1,4-1,,,
32.93004,2,4-1,,,
32.93004,3,4-1,,,
32.93004,4,4-1,,,
32.93004,5,4-1,,,
33.29667,1,lp1,,,
33.863279999999996,5,w1,,,
33.863279999999996,4,w1,,,
33.863279999999996,3,w1,,,
33.863279999999996,2,w1,,,
34.696529999999996,1,1-2,,,
35.02983,1,lp2,,,
35.929739999999995,1,sp2-3,,,
36.363029999999995,1,3-4,r1,,
36.363029999999995,2,1-2,r1,,L0
36.363029999999995,3,1-2,r1,,L0
36.363029999999995,4,1-2,r1,,L0
36.363029999999995,5,1-2,r1,,L0
36.59634,MOT_mc_light_under_00,l4,,
36.729659999999996,1,4-1,r2,,
36.729659999999996,2,2-3,r2,,
36.729659999999996,3,2-3,r2,,
36.729659999999996,4,2-3,r2,,
36.729659999999996,5,2-3,r2,,
37.06296,1,lp1,,,
37.06296,2,lp3,,,
37.06296,3,lp3,,,
37.06296,4,lp3,,,
37.06296,5,lp3,,,
37.46292,1,sj1,,,
37.896209999999996,1,sj1,,,
38.362829999999995,1,1-2,,,
38.362829999999995,2,3-4,,,
38.362829999999995,3,3-4,,,
38.362829999999995,4,3-4,,,
38.362829999999995,5,3-4,,,
38.69613,1,lp2,,,
38.69613,2,lp4,,,
38.69613,3,lp4,,,
38.69613,4,lp4,,,
38.69613,5,lp4,,,
39.162749999999996,1,2-3,rb1,,
39.162749999999996,2,4-1,rb1,,
39.162749999999996,3,4-1,rb1,,
39.162749999999996,4,4-1,rb1,,
39.162749999999996,5,4-1,rb1,,
39.62937,1,3-4,rb0,,
39.62937,2,1-2,rb0,,
39.62937,3,1-2,rb0,,
39.62937,4,1-2,rb0,,
39.62937,5,1-2,rb0,,
40.06266,1,j4-1,,,
40.395959999999995,1,lp1,,,
40.56261,5,w2,,,
40.56261,4,w2,,,
40.56261,3,w2,,,
40.56261,2,w2,,,
40.89591,1,sp1-2,,,
41.02923,2,sp2-3,,,
41.02923,3,sp2-3,,,
41.162549999999996,4,sp2-3,,,
41.162549999999996,5,sp2-3,,,
42.29577,1,2-3,l1,,
42.29577,2,lp3,,,
42.29577,3,lp3,,,
42.29577,4,lp3,,,
42.29577,5,lp3,,,
42.62907,1,,lb0,,
42.9957,1,3-4,r1,,
43.329,1,,rb0,,
43.56231,1,lp4,,,
44.12892,1,hj4,,,
44.29557,2,3-4,,,
44.29557,3,3-4,,,
44.29557,4,3-4,,,
44.29557,5,3-4,,,
44.62887,1,sp4-1,,,
44.62887,2,lp4,,,
44.62887,3,lp4,,,
44.62887,4,lp4,,,
44.62887,5,lp4,,,
45.36213,1,lp1,,,
45.595439999999996,2,4-1,,,
45.595439999999996,3,4-1,,,
45.695429999999995,4,4-1,,,
45.695429999999995,5,4-1,,,
46.028729999999996,2,lp1,,,
46.028729999999996,3,lp1,,,
46.028729999999996,4,lp1,,,
46.028729999999996,5,lp1,,,
46.52868,1,1-2,,,
46.861979999999996,1,lp2,,,
47.56191,1,2-3,l1,,
47.56191,2,1-2,,,
47.56191,4,1-2,,,
48.128519999999995,1,3-4,lb0,,
48.128519999999995,3,1-2,,,
48.128519999999995,5,1-2,,,
48.495149999999995,4,w2,,,
48.495149999999995,2,w2,,,
48.79512,1,4-1,r1,,
48.79512,2,lp2,,,
48.79512,3,lp2,,,
48.79512,4,lp2,,,
48.79512,5,lp2,,,
49.42839,1,1-2,rb0,,
49.82835,1,hj2,,,
49.82835,2,2-3,,,
49.82835,3,2-3,,,
50.561609999999995,1,hj2,,,
50.561609999999995,4,2-3,,,
50.561609999999995,5,2-3,,,
50.76159,3,w3,,,
50.76159,2,w3,,,
51.22821,1,2-3,,,
51.49485,5,w3,,,
51.49485,4,w3,,,
51.56151,1,lp3,,,
51.56151,2,lp3,,,
51.56151,3,lp3,,,
51.56151,4,lp3,,,
51.56151,5,lp3,,,
52.46142,1,3-4,,,
52.46142,4,3-4,l1,,
52.46142,5,3-4,r1,,
52.79472,1,4-1,,,
52.79472,2,3-4,l1,,
52.79472,3,3-4,r1,,
53.12802,1,lp1,,,
53.394659999999995,5,w4,,,
53.394659999999995,4,w4,,,
53.727959999999996,3,w4,,,
53.727959999999996,2,w4,,,
53.827949999999994,1,j1-2,,,
53.827949999999994,2,4-1,,,
53.827949999999994,3,4-1,,,
53.827949999999994,4,4-1,,,
53.827949999999994,5,4-1,,,
54.161249999999995,1,lp2,,,
54.161249999999995,2,lp1,,,
54.161249999999995,3,lp1,,,
54.161249999999995,4,lp1,,,
54.161249999999995,5,lp1,,,
55.761089999999996,1,2-3,,b0,
55.794419999999995,2,1-2,lb0,,
55.794419999999995,3,1-2,rb0,,
55.827749999999995,4,1-2,lb0,,
55.827749999999995,5,1-2,rb0,,
56.09439,1,,r1,,
56.09439,2,,r1,,
56.09439,3,,r1,,
56.09439,4,,r1,,
56.09439,5,,r1,,
56.69433,1,w3,,,
56.72766,3,w2,,,
56.72766,2,w2,,,
56.76099,5,w2,,,
56.76099,4,w2,,,
56.79432,1,,r2,,
56.79432,2,,r2,,
56.79432,3,,r2,,
56.79432,4,,r2,,
56.79432,5,,r2,,
57.49425,1,3-4,,,
57.49425,2,2-3,,,
57.49425,3,2-3,,,
57.49425,4,2-3,,,
57.49425,5,2-3,,,
57.827549999999995,1,lp4,,,
57.827549999999995,2,lp3,,,
57.827549999999995,3,lp3,,,
57.827549999999995,4,lp3,,,
57.827549999999995,5,lp3,,,
58.39416,1,4-1,,,
58.49415,2,3-4,,,
58.49415,3,3-4,,,
58.56081,4,3-4,,,
58.56081,5,3-4,,,
58.89411,1,,rb1,,
58.89411,2,,rb1,,
58.89411,3,,rb1,,
58.89411,4,,rb1,,
58.89411,5,,rb1,,
59.3274,1,w1,,,
59.427389999999995,3,w4,,,
59.427389999999995,2,w4,,,
59.494049999999994,5,w4,,,
59.494049999999994,4,w4,,,
59.59404,1,,rb0,,
59.59404,2,,rb0,,
59.59404,3,,rb0,,
59.59404,4,,rb0,,
59.59404,5,,rb0,,
60.293969999999995,1,1-2,,,
60.293969999999995,2,4-1,,,
60.293969999999995,3,4-1,,,
60.293969999999995,4,4-1,,,
60.293969999999995,5,4-1,,,
60.627269999999996,1,lp2,,,
60.627269999999996,2,lp1,,,
60.627269999999996,3,lp1,,,
60.627269999999996,4,lp1,,,
60.627269999999996,5,lp1,,,
61.127219999999994,1,sp2-3,,,
61.127219999999994,4,sp1-2,,,
61.127219999999994,5,sp1-2,,,
61.22721,2,sp1-2,,,
61.22721,3,sp1-2,,,
61.59384,1,w3,,,
61.59384,4,w2,,,
61.59384,5,w2,,,
61.69383,2,w2,,,
61.69383,3,w2,,,
61.76049,1,3-4,,,
62.02713,2,2-3,,,
62.293769999999995,3,2-3,,,
62.49375,4,2-3,,,
62.693729999999995,1,w4,,,
62.82705,5,2-3,,,
62.96037,2,w3,,,
63.19368,1,4-1,,,
63.22701,3,w3,,,
63.426989999999996,4,w3,,,
63.460319999999996,2,3-4,,,
63.72696,3,3-4,,,
63.76029,5,w3,,,
63.926939999999995,4,3-4,,,
64.12692,1,w1,,,
64.22691,5,3-4,,,
64.39356,2,w4,,,
64.6602,3,w4,,,
64.79352,MOT_mc_light_under_00,l5,,
64.86018,4,w4,,,
64.92684,1,,,f1,
64.92684,2,,,,D20
64.92684,3,,,,D20
64.92684,4,,,,D20
64.92684,5,,,,D20
65.16015,5,w4,,,
65.26013999999999,1,1-2,,,
65.59344,1,lp2,,,
65.9934,1,2-3,l1,,
66.3267,1,lp3,,,
66.92663999999999,1,3-4,l2,,
67.25994,1,lp4,,,
68.35983,1,sp4-1,,,
68.82645,1,1-2,lb1,,
69.15975,1,lp2,,,
70.25963999999999,1,2-3,lb0,,
70.59294,1,sp3-4,,,
71.6595,1,lp4,,,
72.09279,1,4-1,r1,,
72.42609,1,lp1,,,
73.69263,1,1-2,r2,,
74.02593,1,lp2,,,
74.72586,1,2-3,rb1,,
75.39246,1,3-4,rb0,,
76.19238,1,sj4,,,
76.52568,1,lp4,,,
77.25894,1,sp4-1,,,
77.62557,1,j1-2,,,
77.95886999999999,1,lp2,,,
78.42549,1,2-3,,,
78.75878999999999,1,lp3,,,
79.45872,1,3-4,,,
79.79202,1,lp4,,,
80.19198,1,4-1,,,
80.82525,1,hj1,,,
81.3252,1,lp1,,,
82.12512,1,1-2,,,
82.72506,1,j2-3,,,
83.79162,1,w3,,,
83.85828,1,j3-4,,,
84.89151,1,sp4-1,,,
85.12482,MOT_mc_light_under_00,l5_up,,
85.59143999999999,1,w1,r1,,
85.59143999999999,2,4-1,r1,,L0
85.59143999999999,3,4-1,r1,,L0
85.59143999999999,4,4-1,r1,,L0
85.59143999999999,5,4-1,r1,,L0
85.92474,MOT_mc_light_under_00,l4,,
86.05806,1,1-2,r2,,
86.05806,2,1-2,r2,,
86.05806,3,1-2,r2,,
86.05806,4,1-2,r2,,
86.05806,5,1-2,r2,,
86.39135999999999,1,lp2,,,
86.39135999999999,2,lp2,,,
86.39135999999999,3,lp2,,,
86.39135999999999,4,lp2,,,
86.39135999999999,5,lp2,,,
86.79132,1,sj2,,,
87.22461,1,sj2,,,
87.72456,1,2-3,,,
87.72456,4,2-3,,,
87.72456,5,2-3,,,
88.09119,2,2-3,,,
88.09119,3,2-3,,,
88.42448999999999,1,3-4,rb1,,
88.42448999999999,2,3-4,rb1,,
88.42448999999999,3,3-4,rb1,,
88.42448999999999,4,3-4,rb1,,
88.42448999999999,5,3-4,rb1,,
88.89111,1,4-1,rb0,,
88.89111,2,4-1,rb0,,
88.89111,3,4-1,rb0,,
88.89111,4,4-1,rb0,,
88.89111,5,4-1,rb0,,
89.42439,1,j1-2,,,
89.82435,5,w1,,,
89.82435,4,w1,,,
89.82435,3,w1,,,
89.82435,2,w1,,,
90.15764999999999,1,sp2-3,,,
90.25764,2,sp1-2,,,
90.25764,3,sp1-2,,,
90.35763,4,sp1-2,,,
90.35763,5,sp1-2,,,
91.55751,1,3-4,l1,,
91.55751,2,lp2,,,
91.55751,3,lp2,,,
91.55751,4,lp2,,,
91.55751,5,lp2,,,
91.89081,1,,lb0,,
92.25744,1,4-1,r1,,
92.59074,1,,rb0,,
92.82405,1,lp1,,,
93.39066,1,hj1,,,
93.69063,2,2-3,,,
93.69063,3,2-3,,,
93.69063,4,2-3,,,
93.69063,5,2-3,,,
93.89061,1,sp1-2,,,
94.62387,5,w3,,,
94.62387,4,w3,,,
94.62387,3,w3,,,
94.62387,2,w3,,,
95.09049,1,lp2,,,
95.09049,2,3-4,,,
95.09049,3,3-4,,,
95.19048,4,3-4,,,
95.19048,5,3-4,,,
95.72376,1,j2-3,,,
95.82374999999999,2,4-1,,,
95.82374999999999,3,4-1,,,
95.82374999999999,4,4-1,,,
95.82374999999999,5,4-1,,,
96.05705999999999,1,lp3,,,
96.75699,5,w1,,,
96.75699,4,w1,,,
96.75699,3,w1,,,
96.75699,2,w1,,,
96.85698,1,3-4,l1,,
96.85698,2,,l1,,
96.85698,3,,l1,,
96.85698,4,,l1,,
96.85698,5,,l1,,
97.42358999999999,1,4-1,lb0,,
97.42358999999999,2,,lb0,,
97.42358999999999,3,,lb0,,
97.42358999999999,4,,lb0,,
97.42358999999999,5,,lb0,,
98.09018999999999,1,1-2,r1,,
98.09018999999999,2,,r1,,
98.09018999999999,3,,r1,,
98.09018999999999,4,,r1,,
98.09018999999999,5,,r1,,
98.72345999999999,1,2-3,rb0,,
98.72345999999999,2,,rb0,,
98.72345999999999,3,,rb0,,
98.72345999999999,4,,rb0,,
98.72345999999999,5,,rb0,,
99.19008,1,hj3,,,
99.19008,2,1-2,,,
99.19008,3,1-2,,,
99.85668,1,hj3,,,
99.85668,4,1-2,,,
99.85668,5,1-2,,,
100.12331999999999,3,w2,,,
100.12331999999999,2,w2,,,
100.58994,1,3-4,,,
100.78992,5,w2,,,
100.78992,4,w2,,,
100.92323999999999,1,lp4,,,
100.92323999999999,2,lp2,,,
100.92323999999999,3,lp2,,,
100.92323999999999,4,lp2,,,
100.92323999999999,5,lp2,,,
101.75649,1,j4-1,,,
101.85647999999999,2,2-3,,,
101.85647999999999,3,2-3,,,
101.85647999999999,4,2-3,,,
101.85647999999999,5,2-3,,,
102.18978,1,lp1,,,
102.18978,2,lp3,,,
102.18978,3,lp3,,,
102.18978,4,lp3,,,
102.18978,5,lp3,,,
103.12302,1,j1-2,,,
103.22301,2,3-4,,,
103.22301,3,3-4,,,
103.22301,4,3-4,,,
103.22301,5,3-4,,,
103.55631,1,lp2,,,
103.55631,2,lp4,,,
103.55631,3,lp4,,,
103.55631,4,lp4,,,
103.55631,5,lp4,,,
105.42278999999999,2,4-1,r1,,
105.42278999999999,3,4-1,r1,,
105.42278999999999,4,4-1,r1,,
105.42278999999999,5,4-1,r1,,
105.75609,2,lp1,,,
105.75609,3,lp1,,,
105.75609,4,lp1,,,
105.75609,5,lp1,,,
106.82265,2,,rb0,,
106.82265,3,,rb0,,
106.82265,4,,rb0,,
106.82265,5,,rb0,,
107.05596,2,lp1,,,
107.05596,3,lp1,,,
107.05596,4,lp1,,,
107.05596,5,lp1,,,
107.92254,1,,,b0,
108.25583999999999,1,2-3,l1,,
108.25583999999999,2,1-2,l1,,
108.25583999999999,3,1-2,l1,,
108.25583999999999,4,1-2,l1,,
108.25583999999999,5,1-2,l1,,
108.58914,1,lp3,,,
108.58914,2,lp2,,,
108.58914,3,lp2,,,
108.58914,4,lp2,,,
108.58914,5,lp2,,,
109.6557,1,,lb0,,
109.6557,2,,lb0,,
109.6557,3,,lb0,,
109.6557,4,,lb0,,
109.6557,5,,lb0,,
109.88901,1,lp3,,,
109.88901,2,lp2,,,
109.88901,3,lp2,,,
109.88901,4,lp2,,,
109.88901,5,lp2,,,
110.58894,1,3-4,,,
110.72225999999999,2,2-3,,,
110.72225999999999,3,2-3,,,
110.85557999999999,4,2-3,,,
110.85557999999999,5,2-3,,,
111.08888999999999,1,,r1,,
111.08888999999999,2,,r1,,
111.08888999999999,3,,r1,,
111.08888999999999,4,,r1,,
111.08888999999999,5,,r1,,
111.35553,1,lp4,,,
111.35553,2,lp3,,,
111.35553,3,lp3,,,
111.35553,4,lp3,,,
111.35553,5,lp3,,,
112.45541999999999,1,,rb0,,
112.45541999999999,2,,rb0,,
112.45541999999999,3,,rb0,,
112.45541999999999,4,,rb0,,
112.45541999999999,5,,rb0,,
112.68872999999999,1,lp4,,,
112.68872999999999,2,lp3,,,
112.68872999999999,3,lp3,,,
112.68872999999999,4,lp3,,,
112.68872999999999,5,lp3,,,
113.6553,1,sp4-1,,,
113.92193999999999,2,sp3-4,,,
114.18858,3,sp3-4,,,
114.48854999999999,4,sp3-4,,,
114.78851999999999,5,sp3-4,,,
115.82175,1,,,f1,
115.82175,2,w4,,,
115.82175,3,w4,,,
115.95506999999999,4,w4,,,
115.95506999999999,5,w4,,,
116.15504999999999,1,lp1,,,
116.655,1,j1-2,,,
117.18827999999999,1,2-3,,,
117.88821,1,3-4,,,
118.28817,1,4-1,,,
118.92143999999999,1,j1-2,,,
119.62137,1,j2-3,,,
120.35463,1,j3-4,,,
120.85458,1,lp4,,,
121.58784,1,4-1,,,
122.22111,1,1-2,,,
122.55440999999999,1,lp2,,,
123.85427999999999,1,hj2,,,
124.45421999999999,1,hj2,,,
125.08748999999999,1,,,b0,
125.32079999999999,2,j4-1,,,
125.32079999999999,3,j4-1,,,
125.58744,4,j4-1,,,
125.58744,5,j4-1,,,
125.68742999999999,1,w2,,,
126.38736,3,w1,,,
126.38736,2,w1,,,
126.45402,4,j1-2,,,
126.45402,5,j1-2,,,
126.68732999999999,2,j1-2,,,
126.68732999999999,3,j1-2,,,
126.92063999999999,1,j2-3,,,
127.52058,5,w2,,,
127.52058,4,w2,,,
127.75389,3,w2,,,
127.75389,2,w2,,,
127.9872,1,w3,,,
127.9872,4,2-3,,,D20
127.9872,5,2-3,,,D20
128.92043999999999,5,w3,,,
128.92043999999999,4,w3,,,
129.38706,2,2-3,,,D20
129.38706,3,2-3,,,D20
130.3203,3,w3,,,
130.3203,2,w3,,,
130.85358,MOT_mc_light_under_00,l5,,
130.85358,1,3-4,,,D20
131.78682,1,w4,,,
