0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_back_00,stay,,
0.03333,MOT_mc_special_02,stay,,
19.398059999999997,3,4-1,,f1,
19.93134,1,j2-3,,,
19.93134,2,j1-2,,,
19.93134,3,j1-2,,,
20.63127,1,3-4,,,
20.63127,2,2-3,l1,,
20.63127,3,2-3,r1,,
21.06456,1,4-1,,,
21.3312,2,3-4,lb0,,
21.56451,3,3-4,rb0,,
21.997799999999998,1,lp1,,,
21.997799999999998,2,lp4,,,
21.997799999999998,3,lp4,,,
22.36443,MOT_control_all,1a_03,,
22.49775,MOT_all,cut3,,
22.6644,1,1-2,,b0,
22.6644,2,4-1,,b0,
22.6644,3,4-1,,b0,
22.6644,5,4-1,,f1,
23.39766,5,1-2,l1,,
23.59764,3,w1,,,
23.59764,2,w1,,,
23.59764,1,w2,,,
24.13092,5,j2-3,,,
24.79752,5,3-4,l2,,
25.73076,5,w4,,,
26.03073,5,,lb1,,
26.697329999999997,5,4-1,lb0,,
27.13062,5,1-2,,b0,
27.43059,MOT_control_all,1a_04,,
27.56391,1,2-3,,,
27.697229999999998,2,1-2,,,
27.697229999999998,3,1-2,,,
27.83055,4,4-1,,,
27.83055,5,2-3,,,
27.96387,1,j3-4,,,
28.097189999999998,2,j2-3,,,
28.097189999999998,3,j2-3,,,
28.23051,4,j1-2,,,
28.23051,5,j3-4,,,
28.530479999999997,1,j4-1,,,
28.530479999999997,2,j3-4,,,
28.530479999999997,3,j3-4,,,
28.530479999999997,4,j2-3,,,
28.530479999999997,5,j4-1,,,
28.79712,MOT_all,cut4,,
28.96377,4,3-4,,f1,
28.96377,3,4-1,,f1,
29.46372,4,lp4,,,
29.46372,3,lp1,,,
29.59704,5,w1,,,
29.59704,2,w4,,,
29.59704,1,w1,,,
29.83035,4,4-1,r1,,
29.83035,3,1-2,l1,,
30.19698,1,1-2,,,
30.39696,2,4-1,,,
30.39696,3,2-3,,,
30.59694,4,1-2,,,
30.59694,5,1-2,,,
30.79692,1,2-3,,,
30.9969,2,1-2,,,
30.9969,3,3-4,,,
31.19688,4,2-3,,,
31.19688,5,2-3,,,
31.730159999999998,1,w3,,,
31.730159999999998,4,3-4,rb0,,
31.730159999999998,3,4-1,lb0,,
31.930139999999998,2,w2,,,
32.13012,5,w3,,,
32.16345,4,lp4,,,
32.16345,3,lp1,,,
32.76339,4,j4-1,,,
32.76339,3,j1-2,,,
33.42999,4,lp1,,,
33.42999,3,lp2,,,
34.39656,4,1-2,,,
34.56321,5,3-4,,,
34.729859999999995,2,2-3,,,
34.89651,3,2-3,,,
35.063159999999996,1,3-4,,,
35.22981,4,sp2-3,,,
35.39646,5,sp4-1,,,
35.56311,2,sp3-4,,,
35.72976,3,sp3-4,,,
35.896409999999996,1,sp4-1,,,
36.762989999999995,1,sj1,,,
36.762989999999995,2,sj4,,,
36.762989999999995,3,sj4,,,
36.762989999999995,4,sj3,,,
36.762989999999995,5,sj1,,,
37.129619999999996,MOT_all,cut5,,
37.26294,5,w1,,,
37.26294,4,w3,,,
37.26294,3,w4,,,
37.26294,2,w4,,,
37.26294,1,w1,,,
37.42959,MOT_control_all,1b_01,,
37.42959,4,3-4,,b0,
37.42959,3,4-1,,b0,
37.42959,3,sort,700,
38.09619,3,1-2,,,
38.362829999999995,4,w4,,,
38.86278,3,2-3,r1,,
39.79602,3,w3,,,
39.82935,3,,rb0,,
40.22931,3,3-4,l1,,
40.92924,3,4-1,lb0,,
41.49585,3,j1-2,,,
41.69583,MOT_all,cut6,,
41.89581,MOT_control_all,1b_02,,
41.89581,1,1-2,,,
41.89581,4,4-1,,,
41.89581,5,1-2,,,
42.22911,1,lp2,,,
42.22911,4,lp1,,,
42.22911,5,lp2,,,
42.56241,3,w2,,,
42.62907,1,2-3,,,
42.62907,4,1-2,,,
42.62907,5,2-3,,,
42.96237,1,lp3,,,
42.96237,4,lp2,,,
42.96237,5,lp3,,,
43.195679999999996,MOT_all,cut7,,
43.39566,MOT_control_all,1b_03,,
43.39566,2,4-1,,,
43.39566,2,sort,700,
43.39566,1,w3,,,
43.39566,4,w2,,,
43.39566,5,w3,,,
44.19558,2,1-2,l1,,
45.09549,2,,lb0,,
45.12882,2,w2,,,
45.595439999999996,2,,r1,,
46.22871,2,2-3,rb0,,
46.62867,2,3-4,,,
47.16195,3,lp2,,,
47.16195,3,sort,0,
47.16195,4,lp2,,,
47.16195,5,lp3,,,
47.16195,MOT_all,cut8,,
47.39526,MOT_control_all,1b_04,,
47.56191,2,w4,,,
47.79522,3,2-3,,,
47.79522,4,2-3,,,
47.79522,5,3-4,,,
48.22851,3,lp3,,,
48.22851,4,lp3,,,
48.22851,5,lp4,,,
48.59514,MOT_all,cut9,,
48.72846,MOT_control_all,1b_05,,
48.82845,1,3-4,,,
48.82845,1,sort,700,
48.82845,3,w3,,,
48.82845,4,w3,,,
48.82845,5,w4,,,
49.46172,1,4-1,l1,,
50.36163,1,1-2,l2,,
50.82825,1,j2-3,,,
51.42819,1,,lb1,,
51.89481,1,3-4,lb0,,
52.094789999999996,3,lp3,,,
52.094789999999996,4,lp3,,,
52.094789999999996,2,lp4,,,
52.094789999999996,2,sort,0,
52.094789999999996,MOT_all,cut10,,
52.22811,MOT_control_all,1b_06,,
52.82805,1,w4,,,
52.82805,1,sort,0,
52.894709999999996,3,3-4,,,
52.894709999999996,4,3-4,,,
52.894709999999996,2,4-1,,,
53.361329999999995,3,lp4,,,
53.361329999999995,4,lp4,,,
53.361329999999995,2,lp1,,,
53.727959999999996,MOT_control_all,1b_07,,
53.89461,5,4-1,l1,,
53.89461,3,w4,,,
53.89461,4,w4,,,
53.89461,2,w1,,,
53.89461,MOT_all,cut11,,
54.69453,5,1-2,l2,,
55.22781,MOT_all,cut12,,
55.26114,MOT_control_all,1b_08,,
55.461119999999994,4,4-1,r1,,
55.62777,5,w2,,,
56.12772,4,1-2,r2,,
56.82765,MOT_control_all,1b_09,,
56.82765,4,2-3,rb1,,
56.82765,5,2-3,lb1,,
57.360929999999996,4,j3-4,,,
57.360929999999996,5,j3-4,,,
58.227509999999995,4,4-1,rb0,,
58.227509999999995,5,4-1,lb0,,
58.994099999999996,MOT_all,cut13,,
59.16075,5,w1,,,
59.16075,4,w1,,,
59.460719999999995,MOT_mc_back_00,night,,
59.460719999999995,MOT_mc_special_02,night,,
59.460719999999995,MOT_control_all,1c_01,,
59.69403,2,1-2,,,
60.260639999999995,2,lp2,,,
60.727259999999994,2,2-3,r1,,
61.19388,2,3-4,r2,,
61.69383,2,lp4,,,
62.09379,2,4-1,r3,,
62.627069999999996,2,lp1,,,
63.39366,2,1-2,rb2,,
63.82695,2,lp2,,,
64.26024,2,,rb1,,
64.72686,2,2-3,rb0,,
64.92684,MOT_all,cut14,,
65.22681,2,lp3,,,
65.39345999999999,5,1-2,,,
65.86008,5,lp2,,,
66.09339,5,2-3,l1,,
66.56000999999999,5,lp3,,,
66.92663999999999,5,3-4,lb0,,
67.42658999999999,5,j4-1,,,
67.69323,MOT_all,cut15,,
67.92654,5,lp1,,,
68.22650999999999,3,4-1,,,
68.22650999999999,1,sort,700,
68.22650999999999,3,sort,700,
68.69313,3,lp1,,,
68.92644,3,1-2,l1,,
69.32639999999999,3,lp2,,,
69.62637,3,2-3,,,
70.02633,3,3-4,lb0,,
70.49295,3,lp4,,,
70.99289999999999,3,4-1,,,
70.99289999999999,1,4-1,,,
71.49284999999999,1,1-2,l1,,
71.75949,3,1-2,r1,,
71.95947,1,lp2,,,
72.3261,3,2-3,,,
72.69273,1,2-3,lb0,,
72.69273,3,3-4,rb0,,
73.05936,MOT_mc_back_00,night2,,
73.05936,MOT_mc_special_02,night2,,
73.05936,2,3-4,,,
73.05936,4,1-2,,,
73.05936,5,1-2,,,
73.09268999999999,MOT_all,cut16,,
73.45931999999999,2,lp4,,,
73.45931999999999,4,lp2,,,
73.45931999999999,5,lp2,,,
73.62597,1,w3,,,
73.62597,3,w4,,,
74.02593,2,4-1,,,
74.02593,4,2-3,,,
74.02593,5,2-3,,,
74.42589,2,lp1,,,
74.42589,4,lp3,,,
74.42589,5,lp3,,,
75.15915,MOT_mc_back_00,light,,
75.15915,MOT_control_all,4c_01,,
75.15915,MOT_mc_back_00,light,,
75.15915,3,sort,0,
75.15915,1,sort,0,
75.39246,1,j3-4,,,
75.52578,2,j1-2,,,
75.52578,3,j4-1,,,
75.6591,4,j3-4,,,
75.6591,5,j3-4,,,
76.19238,1,lp4,r1,,
76.19238,2,lp2,r1,,
76.19238,3,lp1,r1,,
76.19238,4,lp4,r1,,
76.19238,5,lp4,r1,,
76.85898,1,4-1,r2,,
76.85898,2,2-3,r2,,
76.85898,3,1-2,r2,,
76.85898,4,4-1,r2,,
76.85898,5,4-1,r2,,
77.39226,1,lp1,,,
77.39226,2,lp3,,,
77.39226,3,lp2,,,
77.39226,4,lp1,,,
77.39226,5,lp1,,,
78.05886,1,j1-2,,,
78.19218,2,j3-4,,,
78.19218,3,j2-3,,,
78.32549999999999,4,j1-2,,,
78.32549999999999,5,j1-2,,,
78.79212,1,,rb1,,
78.79212,2,,rb1,,
78.79212,3,,rb1,,
78.79212,4,,rb1,,
78.79212,5,,rb1,,
79.12541999999999,1,w2,,,
79.25874,3,w3,,,
79.25874,2,w4,,,
79.35873,1,lp2,rb0,,
79.35873,2,lp4,rb0,,
79.35873,3,lp3,rb0,,
79.35873,4,lp2,rb0,,
79.35873,5,lp2,rb0,,
79.89201,1,2-3,l1,,
79.89201,2,4-1,l1,,
79.89201,3,3-4,l1,,
79.89201,4,2-3,l1,,
79.89201,5,2-3,l1,,
80.42528999999999,1,lp3,,,
80.42528999999999,2,lp1,,,
80.42528999999999,3,lp4,,,
80.42528999999999,4,lp3,,,
80.42528999999999,5,lp3,,,
80.69193,1,j3-4,,,
80.69193,2,j1-2,,,
80.69193,3,j4-1,,,
80.69193,4,j3-4,,,
80.69193,5,j3-4,,,
81.39186,1,sp4-1,,,
81.39186,2,sp2-3,,,
81.39186,3,sp1-2,,,
81.39186,4,sp4-1,,,
81.39186,5,sp4-1,,,
82.15845,1,sj1,,,
82.15845,2,sj3,,,
82.15845,3,sj2,,,
82.15845,4,sj1,,,
82.15845,5,sj1,,,
82.59174,1,j1-2,,,
82.6584,5,w1,,,
82.6584,4,w1,,,
82.6584,3,w2,,,
82.6584,2,w3,,,
82.69172999999999,2,j3-4,,,
82.69172999999999,3,j2-3,,,
82.79172,4,j1-2,,,
82.79172,5,j1-2,,,
83.35833,1,lp2,l2,,
83.35833,2,lp4,l2,,
83.35833,3,lp3,l2,,
83.35833,4,lp2,l2,,
83.35833,5,lp2,l2,,
83.89161,4,2-3,l3,,
83.95827,2,4-1,l3,,
84.02493,1,2-3,l3,,
84.09159,3,3-4,l3,,
84.15825,5,2-3,l3,,
84.72485999999999,1,lp3,lb2,,
84.72485999999999,2,lp1,lb2,,
84.72485999999999,3,lp4,lb2,,
84.72485999999999,4,lp3,lb2,,
84.72485999999999,5,lp3,lb2,,
85.29146999999999,5,3-4,lb1,,
85.35813,3,4-1,lb1,,
85.42479,1,3-4,lb1,,
85.49145,2,1-2,lb1,,
85.55811,4,3-4,lb1,,
86.02472999999999,1,j4-1,,,
86.15805,2,j2-3,,,
86.15805,3,j1-2,,,
86.22471,5,w4,,,
86.29137,4,j4-1,,,
86.29137,5,j4-1,,,
86.85798,1,1-2,lb0,,
86.85798,2,3-4,lb0,,
86.85798,3,2-3,lb0,,
86.85798,4,1-2,lb0,,
86.85798,5,1-2,lb0,,
87.39126,1,lp2,,,
87.39126,2,lp4,,,
87.39126,3,lp3,,,
87.39126,4,lp2,,,
87.39126,5,lp2,,,
87.92454,1,,r1,,
87.92454,2,,r1,,
87.92454,3,,r1,,
87.92454,4,,r1,,
87.92454,5,,r1,,
88.55780999999999,1,j2-3,,,
88.69113,2,j4-1,,,
88.69113,3,j3-4,,,
88.82445,4,j2-3,,,
88.82445,5,j2-3,,,
89.42439,1,3-4,rb0,,
89.42439,2,1-2,rb0,,
89.42439,3,4-1,rb0,,
89.42439,4,3-4,rb0,,
89.42439,5,3-4,rb0,,
90.12432,1,j4-1,,,
90.35763,5,w4,,,
90.35763,4,w4,,,
90.35763,3,w1,,,
90.35763,2,w2,,,
90.39095999999999,2,j2-3,,,
90.39095999999999,3,j1-2,,,
90.72426,4,j4-1,,,
90.72426,5,j4-1,,,
91.19087999999999,1,w1,,,
91.29087,1,1-2,,,
91.39085999999999,2,3-4,,,
91.39085999999999,3,2-3,,,
91.49085,4,1-2,,,
91.49085,5,1-2,,,
91.95747,1,lp2,,,
91.95747,2,lp4,,,
91.95747,3,lp3,,,
91.95747,4,lp2,,,
91.95747,5,lp2,,,
92.62406999999999,1,2-3,l1,,
92.62406999999999,2,4-1,l1,,
92.62406999999999,3,3-4,l1,,
92.62406999999999,4,2-3,l1,,
92.62406999999999,5,2-3,l1,,
93.55731,5,w3,,,
93.55731,4,w3,,,
93.55731,3,w4,,,
93.55731,2,w1,,,
93.55731,1,w3,,,
93.62397,5,3-4,lb0,,
93.69063,3,4-1,lb0,,
93.75729,1,3-4,lb0,,
93.82395,2,1-2,lb0,,
93.89061,4,3-4,lb0,,
94.09058999999999,MOT_control_all,outro_01,,
94.42389,1,4-1,,f1,
94.55721,5,w4,,,
94.62387,3,w1,,,
94.75719,2,w2,,,
94.82385,4,w4,,,
94.9905,1,lp1,,,
95.35713,1,j1-2,,,
95.92374,1,2-3,,,
96.25703999999999,1,j3-4,,,
96.79032,MOT_control_all,outro_02,,
97.09029,2,2-3,,f1,
97.3236,1,w4,,,
97.6569,2,lp3,,,
98.02353,2,j3-4,,,
98.59013999999999,2,4-1,,,
98.92344,2,j1-2,,,
99.35673,MOT_control_all,outro_03,,
99.6567,3,1-2,,f1,
99.6567,4,4-1,,f1,
99.6567,5,4-1,,f1,
99.99,2,w2,,,
100.22331,3,lp2,,,
100.22331,4,lp1,,,
100.22331,5,lp1,,,
100.58994,3,j2-3,,,
100.58994,4,j1-2,,,
100.58994,5,j1-2,,,
101.15655,3,3-4,,,
101.15655,4,2-3,,,
101.15655,5,2-3,,,
101.48984999999999,3,j4-1,,,
101.48984999999999,4,j3-4,,,
101.48984999999999,5,j3-4,,,
102.35642999999999,3,1-2,,,
102.35642999999999,4,4-1,,,
102.35642999999999,5,4-1,,,
102.35642999999999,1,4-1,,,
102.35642999999999,2,2-3,,,
102.92304,3,lp2,,,
102.92304,4,lp1,,,
102.92304,5,lp1,,,
102.92304,1,lp1,,,
102.92304,2,lp3,,,
103.28967,3,j2-3,,,
103.28967,4,j1-2,,,
103.28967,5,j1-2,,,
103.28967,1,j1-2,,,
103.28967,2,j3-4,,,
103.85628,3,3-4,,,
103.85628,4,2-3,,,
103.85628,5,2-3,,,
103.85628,1,2-3,,,
103.85628,2,4-1,,,
104.18957999999999,3,j4-1,,,
104.18957999999999,4,j3-4,,,
104.18957999999999,5,j3-4,,,
104.18957999999999,1,j3-4,,,
104.18957999999999,2,j1-2,,,
104.75618999999999,1,4-1,,,
104.75618999999999,2,2-3,,,
104.75618999999999,3,1-2,,,
104.75618999999999,4,4-1,,,
104.75618999999999,5,4-1,,,
105.18947999999999,1,lp1,,,
105.18947999999999,2,lp3,,,
105.18947999999999,3,lp2,,,
105.18947999999999,4,lp1,,,
105.18947999999999,5,lp1,,,
106.72265999999999,1,sj1,,,
106.88931,2,sj3,,,
106.88931,3,sj2,,,
107.05596,4,sj1,,,
107.05596,5,sj1,,,
107.22260999999999,1,w1,,,
107.38926,3,w2,,,
107.38926,2,w3,,,
107.55591,5,w1,,,
107.55591,4,w1,,,
107.58923999999999,1,j1-2,,,
108.05586,2,3-4,l1,,
108.05586,3,2-3,r1,,
108.6558,1,w2,,,
108.85578,4,1-2,l1,,
108.85578,5,1-2,r1,,
108.9891,3,w3,,,
108.9891,2,w4,,,
109.42239,4,2-3,,,
109.48904999999999,2,4-1,,,
109.55570999999999,1,2-3,,,
109.62236999999999,3,3-4,,,
109.68902999999999,5,2-3,,,
109.98899999999999,2,1-2,l2,,
109.98899999999999,3,4-1,r2,,
110.35562999999999,4,w3,,,
110.48894999999999,1,w3,,,
110.62227,5,w3,,,
110.68893,4,3-4,l2,,
110.68893,5,3-4,r2,,
110.68893,1,j3-4,,,
110.92223999999999,3,w1,,,
110.92223999999999,2,w2,,,
111.15554999999999,4,4-1,l3,,
111.22220999999999,2,2-3,l3,,
111.28886999999999,1,4-1,l1,,
111.35553,3,1-2,rb1,,
111.42219,5,4-1,rb1,,
112.08878999999999,4,w1,,,
112.12212,5,1-2,r2,,
112.15545,2,w3,,,
112.18878,3,2-3,r2,,
112.22211,1,w1,,,
112.25544,1,1-2,lb0,,
112.32209999999999,2,3-4,lb2,,
112.38875999999999,4,1-2,lb2,,
112.78872,1,j2-3,,,
113.05536,5,w2,,,
113.12201999999999,3,w3,,,
113.25533999999999,2,4-1,,,
113.25533999999999,3,3-4,,,
113.32199999999999,4,w2,,,
113.85528,1,w3,,,
114.18858,3,w4,,,
114.18858,2,w1,,,
114.18858,4,2-3,l3,,
114.18858,5,2-3,r3,,
114.18858,1,j3-4,,,
114.75519,1,4-1,,,
114.85517999999999,2,1-2,,,
114.85517999999999,3,4-1,,,
114.95517,4,3-4,,,
114.95517,5,3-4,,,
115.38846,2,j2-3,,,
115.38846,3,j1-2,,,
115.68843,1,w1,,,
115.85508,4,j4-1,,,
115.85508,5,j4-1,,,
115.85508,1,j1-2,,,
116.45501999999999,3,w2,,,
116.45501999999999,2,w3,,,
116.85498,5,1-2,,,
116.92164,4,w1,,,
116.92164,1,w2,,,
116.92164,3,2-3,,,
116.9883,1,2-3,,,
117.05496,2,3-4,,,
117.12162,4,1-2,,,
117.48825,4,2-3,,,
117.55490999999999,2,4-1,,,
117.62156999999999,1,3-4,,,
117.68822999999999,3,3-4,,,
117.75488999999999,5,2-3,,,
118.25484,1,j4-1,,,
118.25484,2,j1-2,,,
118.25484,3,j4-1,,,
118.25484,4,j3-4,,,
118.25484,5,j3-4,,,
119.3214,5,w4,,,
119.3214,4,w4,,,
119.3214,3,w1,,,
119.3214,2,w2,,,
119.3214,1,w1,,,
