0.03333,MOT_control_all,zoom_1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
2.19978,MOT_all,cutP1,,
2.89971,MOT_control_all,zoom_2,,
3.1330199999999997,MOT_mc_stage_color_00,b-flash,,
3.1330199999999997,MOT_mc_light_up_00,l1,,
3.1330199999999997,MOT_mc_bg_black_00,b80-45,,
3.1330199999999997,MOT_mc_light_under_00,l1,,
3.1330199999999997,MOT_mc_light_center_00,cut2_04,,
74.19257999999999,2,4-1,l1,,
74.19257999999999,3,3-4,r1,,
74.19257999999999,1,j1-2,,,
74.79252,2,1-2,lb0,,
74.79252,3,4-1,rb0,,
74.79252,1,j2-3,,,
75.52578,1,3-4,,,
75.52578,2,2-3,,,
75.52578,3,1-2,,,
75.95907,1,4-1,,,
75.95907,2,3-4,,,
75.95907,3,2-3,,,
76.3257,1,1-2,,,
76.3257,2,4-1,,,
76.3257,3,3-4,,,
76.69233,2,j1-2,,,
76.69233,3,j4-1,,,
76.9923,1,j2-3,,,
77.49225,2,2-3,l1,,
77.49225,3,1-2,r1,,
77.49225,1,j3-4,,,
78.09219,2,3-4,lb0,,
78.09219,3,2-3,rb0,,
78.09219,1,j4-1,,,
78.6588,2,4-1,,,
78.6588,3,3-4,,,
78.6588,1,1-2,,,
79.12541999999999,2,1-2,,,
79.12541999999999,3,4-1,,,
79.12541999999999,1,2-3,,,
79.49204999999999,2,j2-3,,,
79.49204999999999,3,j1-2,,,
79.6587,1,j3-4,,,
80.35862999999999,3,j2-3,,,
80.55861,2,w3,,,
80.72525999999999,1,w4,,,
80.82525,1,j4-1,,,
80.9919,2,j3-4,,,
81.15854999999999,3,j3-4,,,
81.39186,1,j1-2,,,
81.59183999999999,2,4-1,,,
81.59183999999999,3,4-1,,,
81.79182,1,2-3,,,
82.25844,1,j3-4,,,
82.25844,2,j1-2,,,
82.25844,3,j1-2,,,
82.75838999999999,2,2-3,,,
82.75838999999999,3,2-3,,,
83.02503,1,4-1,,,
83.12501999999999,2,3-4,,,
83.12501999999999,3,3-4,,,
83.45832,1,1-2,,,
83.82495,1,j2-3,,,
83.82495,2,j4-1,,,
83.82495,3,j4-1,,,
84.3249,2,1-2,,,
84.3249,3,1-2,,,
84.59154,1,3-4,,,
84.69153,2,2-3,,,
84.69153,3,2-3,,,
85.02483,1,j4-1,,,
85.02483,2,j3-4,,,
85.02483,3,j3-4,,,
85.3248,MOT_mc_stage_color_00,y-flash,,
86.09138999999999,3,w4,,,
86.09138999999999,2,w4,,,
86.09138999999999,1,w1,,,
86.69133,1,,,,D40
86.69133,2,,,,D40
86.69133,3,,,,D40
86.9913,MOT_control_all,zoom_6,,
87.02463,MOT_mc_stage_color_00,r-flash,,
87.02463,MOT_mc_light_center_00,cut2_01,,
87.02463,MOT_mc_light_up_00,l2,,
87.02463,MOT_mc_light_under_00,l2,,
87.02463,1,,,,L0
87.02463,1,j1-2,,,
87.6579,1,2-3,,,
88.15785,1,3-4,,,
88.6578,1,4-1,,,
89.05776,1,1-2,,,
89.49105,1,j2-3,,,
90.02432999999999,MOT_control_all,zoom_7,,
90.29097,MOT_mc_light_center_00,cut2_03,,
90.29097,3,,,,L0
90.29097,1,,,,D40
90.29097,1,3-4,,b0,
90.29097,3,4-1,,,
90.85758,3,1-2,,,
91.22421,1,w4,,,
91.42419,3,j2-3,,,
91.92414,3,3-4,,,
92.6574,3,4-1,,,
92.99069999999999,3,j1-2,,,
93.25734,MOT_control_all,zoom_8,,
93.45732,MOT_mc_light_center_00,cut2_02,,
93.45732,2,,,,L0
93.45732,3,,,,D40
93.45732,2,4-1,,,
93.45732,3,2-3,,b0,
94.02393,2,1-2,,,
94.39056,3,w3,,,
94.79052,2,2-3,,,
95.19048,2,3-4,,,
95.55711,2,4-1,,,
96.19037999999999,MOT_control_all,zoom_9,,
96.39036,MOT_mc_light_center_00,cut2_01,,
96.39036,1,,,,L0
96.39036,2,,,,D40
96.39036,1,4-1,,,
96.39036,2,1-2,,b0,
96.89031,1,1-2,,,
97.25694,1,2-3,,,
97.3236,2,w2,,,
97.59024,1,3-4,,,
97.95687,1,j4-1,,,
98.45682,1,1-2,,,
98.82345,1,2-3,,,
99.15675,1,hj3,,,
99.52337999999999,MOT_mc_stage_color_00,b-flash,,
100.38996,1,w3,,,
101.22321,MOT_control_all,zoom_10,,
101.22321,MOT_mc_light_center_00,cut2_04,,
101.22321,2,,,,L0
101.22321,3,,,,L0
101.22321,2,2-3,,f1,
101.52318,1,3-4,,f1,
101.72316,3,3-4,,f1,
102.05646,1,j4-1,,,
102.05646,2,j3-4,,,
102.05646,3,j4-1,,,
102.08979,MOT_mc_stage_color_00,y-flash,,
102.25644,MOT_all,cutP10,,
102.88971,MOT_mc_stage_color_00,r-flash,,
102.88971,MOT_mc_light_up_00,l3,,
102.88971,MOT_mc_light_under_00,l1,,
102.88971,MOT_mc_bg_black_00,b65-20,,
102.88971,1,1-2,,,
102.88971,2,4-1,,,
102.88971,3,1-2,,,
102.95636999999999,MOT_control_all,zoom_11,,
103.45631999999999,1,j2-3,,,
103.45631999999999,2,j1-2,,,
103.45631999999999,3,j2-3,,,
104.12292,2,2-3,l1,,
104.12292,3,3-4,r1,,
104.12292,1,j3-4,,,
104.72286,2,3-4,lb0,,
104.72286,3,4-1,rb0,,
104.72286,1,j4-1,,,
105.45612,1,1-2,,,
105.45612,2,4-1,,,
105.45612,3,1-2,,,
105.88941,1,2-3,,,
105.88941,2,1-2,,,
105.88941,3,2-3,,,
106.48935,2,j2-3,,,
106.48935,3,j3-4,,,
106.78931999999999,1,j3-4,,,
107.42259,2,3-4,l1,,
107.42259,3,4-1,r1,,
107.42259,1,j4-1,,,
108.02252999999999,2,4-1,lb0,,
108.02252999999999,3,1-2,rb0,,
108.02252999999999,1,j1-2,,,
108.58914,2,1-2,,,
108.58914,3,2-3,,,
108.58914,1,2-3,,,
109.15575,2,2-3,,,
109.15575,3,3-4,,,
109.15575,1,3-4,,,
109.52238,2,j3-4,,,
109.52238,3,j4-1,,,
109.68902999999999,1,j4-1,,,
110.38896,3,j1-2,,,
110.58894,2,w4,,,
110.75559,1,w1,,,
110.85557999999999,1,j1-2,,,
111.02223,2,j4-1,,,
111.18888,3,j2-3,,,
111.42219,1,j2-3,,,
111.62217,2,1-2,,,
111.62217,3,3-4,,,
111.82215,1,3-4,,,
112.18878,1,j4-1,,,
112.18878,2,j2-3,,,
112.18878,3,j4-1,,,
112.68872999999999,2,3-4,,,
112.68872999999999,3,1-2,,,
112.95537,1,1-2,,,
113.05536,2,4-1,,,
113.05536,3,2-3,,,
113.38866,1,2-3,,,
113.75528999999999,1,j3-4,,,
113.75528999999999,2,j1-2,,,
113.75528999999999,3,j3-4,,,
114.25524,2,2-3,,,
114.25524,3,4-1,,,
114.52188,1,4-1,,,
114.62187,2,3-4,,,
114.62187,3,1-2,,,
114.95517,1,j1-2,,,
114.95517,2,j4-1,,,
114.95517,3,j2-3,,,
115.3218,MOT_mc_stage_color_00,b-flash,,
115.58843999999999,1,2-3,,,
115.92174,2,1-2,,,
116.02172999999999,3,w3,,,
116.28837,3,3-4,,,
116.52167999999999,1,w3,,,
116.62167,1,j3-4,,,
116.62167,2,j2-3,,,
116.62167,3,j4-1,,,
117.08829,MOT_mc_stage_color_00,y-flash,,
117.08829,1,j4-1,,,
117.08829,2,j3-4,,,
117.08829,3,j1-2,,,
117.48825,MOT_all,cutP11,,
117.82154999999999,2,4-1,,,
117.82154999999999,3,2-3,,,
117.85488,MOT_mc_stage_color_00,r-flash,,
117.98819999999999,1,j1-2,,,
118.6548,3,3-4,,,
118.75479,2,w1,,,
118.98809999999999,2,1-2,,,
119.05476,1,w2,,,
119.35472999999999,1,2-3,,,
119.58803999999999,3,w4,,,
119.68803,1,j3-4,,,
119.68803,2,j2-3,,,
119.68803,3,j4-1,,,
120.15464999999999,1,j4-1,,,
120.15464999999999,2,j3-4,,,
120.15464999999999,3,j1-2,,,
120.88790999999999,1,1-2,,,
121.05456,2,j4-1,,,
121.05456,3,j2-3,,,
121.22121,MOT_mc_stage_color_00,b-flash,,
121.78782,2,1-2,,,
121.82114999999999,1,w2,,,
122.12111999999999,3,3-4,,,
122.48774999999999,1,2-3,,,
122.72106,2,w2,,,
122.82105,1,j3-4,,,
122.82105,2,j2-3,,,
122.82105,3,j4-1,,,
123.28766999999999,1,j4-1,,,
123.28766999999999,2,j3-4,,,
123.28766999999999,3,j1-2,,,
123.38766,MOT_mc_stage_color_00,y-flash,,
124.02092999999999,2,4-1,,,
124.02092999999999,3,2-3,,,
124.18758,MOT_mc_stage_color_00,r-flash,,
124.18758,1,j1-2,,,
124.82085,1,2-3,,,
124.95416999999999,3,w3,,,
124.95416999999999,2,w1,,,
125.15415,2,1-2,,,
125.52077999999999,3,3-4,,,
125.75408999999999,1,w3,,,
125.85408,1,j3-4,,,
125.85408,2,j2-3,,,
125.85408,3,j4-1,,,
126.32069999999999,1,j4-1,,,
126.32069999999999,2,j3-4,,,
126.32069999999999,3,j1-2,,,
127.05395999999999,2,4-1,,,
127.05395999999999,3,2-3,,,
127.22061,1,j1-2,,,
127.45392,MOT_mc_stage_color_00,b-flash,,
127.9872,3,w3,,,
127.9872,2,w1,,,
128.02053,3,3-4,,,
128.28717,1,w2,,,
128.35383,1,2-3,,,
128.52048,2,1-2,,,
128.72046,1,3-4,,,
128.92043999999999,3,4-1,,,
129.28707,1,4-1,,,
129.45372,2,w2,,,
129.52038,2,2-3,,,
129.72036,1,1-2,,,
129.85368,3,w1,,,
129.92033999999998,3,1-2,,,
130.08699,1,2-3,,,
130.45362,2,w3,,,
130.48695,3,2-3,,,
130.82025,1,3-4,,,
130.9869,2,3-4,,,
131.18688,1,4-1,,,
131.38685999999998,3,3-4,,,
131.75349,1,1-2,,,
131.92014,2,w4,,,
131.9868,2,4-1,,,
132.18678,1,2-3,,,
132.3201,3,w4,,,
132.38675999999998,3,4-1,,,
132.75339,1,j3-4,,,
132.75339,2,j1-2,,,
132.75339,3,j1-2,,,
132.85338,MOT_mc_stage_color_00,y-flash,,
133.22001,MOT_mc_stage_color_00,r-flash,,
133.25333999999998,1,hj4,,,
133.25333999999998,2,hj2,,,
133.25333999999998,3,hj2,,,
134.48655,3,w2,,,
134.48655,2,w2,,,
134.48655,1,w4,,,
135.68643,MOT_mc_light_under_00,l_end,,
135.68643,MOT_mc_light_center_00,l1,,
135.68643,MOT_mc_light_up_00,l_end,,
135.68643,1,,,,D40
135.68643,2,,,,D40
135.68643,3,,,,D40
