0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_control_all,z100,,
33.42999,4,w1,,,
33.42999,2,w1,,,
34.19658,1,w4,,,
34.263239999999996,1,sj4,,,
34.263239999999996,2,1-2,,,
34.263239999999996,3,1-2,,,
34.263239999999996,4,1-2,,,
34.263239999999996,5,1-2,,,
34.76319,1,w4,,,
34.96317,1,4-1,lb0,,
34.96317,2,lp2,,,
34.96317,3,lp2,,,
34.96317,4,lp2,,,
34.96317,5,lp2,,,
35.896409999999996,1,w1,,,
36.56301,1,1-2,,,
36.56301,2,2-3,,,
36.56301,3,2-3,,,
36.56301,4,2-3,,,
36.56301,5,2-3,,,
37.3296,1,j2-3,,,
37.496249999999996,3,w3,,,
37.496249999999996,5,w3,,,
37.496249999999996,4,w3,,,
37.496249999999996,2,w3,,,
38.19618,1,3-4,r1,,
38.19618,2,3-4,,,
38.19618,3,3-4,,,
38.19618,4,3-4,,,
38.19618,5,3-4,,,
39.129419999999996,3,w4,,,
39.129419999999996,5,w4,,,
39.129419999999996,4,w4,,,
39.129419999999996,2,w4,,,
39.129419999999996,1,w4,,,
39.162749999999996,1,4-1,rb0,,
39.6627,1,sp1-2,,,
39.6627,2,sp4-1,,,
39.6627,3,sp4-1,,,
39.6627,4,sp4-1,,,
39.6627,5,sp4-1,,,
41.36253,1,j2-3,,,
41.36253,2,j1-2,,,
41.36253,3,j1-2,,,
41.36253,4,j1-2,,,
41.36253,5,j1-2,,,
42.429089999999995,3,w2,,,
42.429089999999995,5,w2,,,
42.429089999999995,4,w2,,,
42.429089999999995,2,w2,,,
42.429089999999995,1,w3,,,
42.49575,MOT_mc_stage_color_00,b-flash,,
42.49575,MOT_mc_bg_black_00,b65-45,,
42.49575,MOT_mc_light_up_00,l3,,
42.49575,MOT_mc_light_center_00,l2,,
42.49575,MOT_mc_light_under_00,l1,,
42.49575,MOT_mc_speaker_00,temp4,,
42.49575,MOT_mc_special_03,kira,,
42.49575,1,3-4,,f1,
42.49575,2,2-3,l1,,
42.49575,3,2-3,r1,,
42.49575,4,2-3,l1,,
42.49575,5,2-3,r1,,
43.42899,3,w3,,,
43.42899,5,w3,,,
43.42899,4,w3,,,
43.42899,2,w3,,,
43.42899,1,4-1,l1,,
43.42899,2,lp3,,,
43.42899,3,lp3,,,
43.42899,4,lp3,,,
43.42899,5,lp3,,,
44.3289,1,hj1,,,
45.56211,1,w1,,,
45.628769999999996,1,1-2,lb0,,
45.628769999999996,2,3-4,,,
45.628769999999996,3,3-4,,,
45.628769999999996,4,3-4,,,
45.628769999999996,5,3-4,,,
46.16205,1,2-3,r1,,
46.16205,2,sp4-1,,,
46.16205,3,sp4-1,,,
46.16205,4,sp4-1,,,
46.16205,5,sp4-1,,,
46.56201,1,3-4,,,
47.42859,1,hj4,,,
47.42859,2,1-2,,,
47.42859,3,1-2,,,
47.42859,4,1-2,,,
47.42859,5,1-2,,,
48.36183,3,w2,,,
48.36183,5,w2,,,
48.36183,4,w2,,,
48.36183,2,w2,,,
48.36183,1,4-1,rb0,,
48.36183,2,lp2,lb0,,
48.36183,3,lp2,rb0,,
48.36183,4,lp2,lb0,,
48.36183,5,lp2,rb0,,
48.928439999999995,1,sj1,,,
48.928439999999995,2,2-3,,,
48.928439999999995,3,2-3,,,
48.928439999999995,4,2-3,,,
48.928439999999995,5,2-3,,,
49.42839,1,w1,,,
49.86168,3,w3,,,
49.86168,5,w3,,,
49.86168,4,w3,,,
49.86168,2,w3,,,
50.128319999999995,1,1-2,l1,,
50.128319999999995,2,3-4,l1,,
50.128319999999995,3,3-4,r1,,
50.128319999999995,4,3-4,l1,,
50.128319999999995,5,3-4,r1,,
50.9949,1,2-3,l2,,
51.06156,3,w4,,,
51.06156,5,w4,,,
51.06156,4,w4,,,
51.06156,2,w4,,,
51.62817,1,j3-4,,,
51.62817,2,4-1,,,
51.62817,3,4-1,,,
51.62817,4,4-1,,,
51.62817,5,4-1,,,
52.22811,1,4-1,,,
52.22811,2,lp1,,,
52.22811,3,lp1,,,
52.22811,4,lp1,,,
52.22811,5,lp1,,,
52.894709999999996,1,1-2,lb1,,
53.827949999999994,1,2-3,,,
53.827949999999994,2,,lb0,,
53.827949999999994,3,,rb0,,
53.827949999999994,4,,lb0,,
53.827949999999994,5,,rb0,,
54.76119,1,w3,,,
54.79452,1,,lb0,,
54.79452,2,1-2,,,
54.79452,3,1-2,,,
54.79452,4,1-2,,,
54.79452,5,1-2,,,
55.727759999999996,3,w2,,,
55.727759999999996,5,w2,,,
55.727759999999996,4,w2,,,
55.727759999999996,2,w2,,,
57.027629999999995,1,j3-4,,,
57.027629999999995,2,sj2,,,
57.027629999999995,3,sj2,,,
57.027629999999995,4,sj2,,,
57.027629999999995,5,sj2,,,
57.52758,3,w2,,,
57.52758,5,w2,,,
57.52758,4,w2,,,
57.52758,2,w2,,,
58.09419,1,w4,,,
58.227509999999995,1,4-1,r1,,
58.227509999999995,2,lp2,l1,,
58.227509999999995,3,lp2,r1,,
58.227509999999995,4,lp2,l1,,
58.227509999999995,5,lp2,r1,,
59.16075,1,w1,,,
59.19408,1,,r2,,
59.827349999999996,1,1-2,,,
59.827349999999996,2,2-3,,,
59.827349999999996,3,2-3,,,
59.827349999999996,4,2-3,,,
59.827349999999996,5,2-3,,,
60.693929999999995,1,j2-3,,,
60.693929999999995,2,lp3,,,
60.693929999999995,3,lp3,,,
60.693929999999995,4,lp3,,,
60.693929999999995,5,lp3,,,
61.460519999999995,1,3-4,rb1,,
62.293769999999995,1,hj4,,,
62.293769999999995,2,,lb0,,
62.293769999999995,3,,rb0,,
62.293769999999995,4,,lb0,,
62.293769999999995,5,,rb0,,
63.493649999999995,1,4-1,rb0,,
63.493649999999995,2,sj3,,,
63.493649999999995,3,sj3,,,
63.493649999999995,4,sj3,,,
63.493649999999995,5,sj3,,,
63.9936,3,w3,,,
63.9936,5,w3,,,
63.9936,4,w3,,,
63.9936,2,w3,,,
64.42689,1,w1,,,
64.62687,1,1-2,l1,,
64.62687,2,lp3,,,
64.62687,3,lp3,,,
64.62687,4,lp3,,,
64.62687,5,lp3,,,
65.56011,1,w2,,,
66.16005,1,j2-3,,,
66.16005,2,3-4,,,
66.16005,3,3-4,,,
66.16005,4,3-4,,,
66.16005,5,3-4,,,
66.79332,1,sp3-4,lb0,,
66.79332,2,sp4-1,,,
66.79332,3,sp4-1,,,
66.79332,4,sp4-1,,,
66.79332,5,sp4-1,,,
67.9932,MOT_mc_bg_black_00,b45-65,,
67.9932,MOT_mc_light_up_00,l1,,
67.9932,MOT_mc_light_center_00,l1,,
67.9932,MOT_mc_light_under_00,l1,,
67.9932,MOT_mc_speaker_00,temp4,,
67.9932,MOT_mc_special_03,kira_end,,
67.9932,MOT_mc_special_02,hokori,,
67.9932,1,hj4,,,
67.9932,2,j1-2,,,
67.9932,3,j1-2,,,
67.9932,4,j1-2,,,
67.9932,5,j1-2,,,
69.05976,3,w2,,,
69.05976,5,w2,,,
69.05976,4,w2,,,
69.05976,2,w2,,,
69.22641,1,w4,,,
70.12631999999999,1,4-1,,b0,
70.12631999999999,2,2-3,l1,,
70.12631999999999,3,2-3,r1,,
70.12631999999999,4,2-3,l1,,
70.12631999999999,5,2-3,r1,,
71.05955999999999,3,w3,,,
71.05955999999999,5,w3,,,
71.05955999999999,4,w3,,,
71.05955999999999,2,w3,,,
71.05955999999999,1,w1,,,
71.9928,1,j1-2,,,
71.9928,2,sj3,,,
71.9928,3,sj3,,,
71.9928,4,sj3,,,
71.9928,5,sj3,,,
72.49275,3,w3,,,
72.49275,5,w3,,,
72.49275,4,w3,,,
72.49275,2,w3,,,
73.05936,1,w2,,,
73.79262,1,lp2,,,
73.79262,2,3-4,lb0,,
73.79262,3,3-4,rb0,,
73.79262,4,3-4,lb0,,
73.79262,5,3-4,rb0,,
74.72586,3,w4,,,
74.72586,5,w4,,,
74.72586,4,w4,,,
74.72586,2,w4,,,
75.62577,1,2-3,,,
75.62577,2,lp4,,,
75.62577,3,lp4,,,
75.62577,4,lp4,,,
75.62577,5,lp4,,,
76.55901,1,w3,,,
77.52557999999999,1,sj3,,,
77.52557999999999,2,sj4,,,
77.52557999999999,3,sj4,,,
77.52557999999999,4,sj4,,,
77.52557999999999,5,sj4,,,
78.02553,3,w4,,,
78.02553,5,w4,,,
78.02553,4,w4,,,
78.02553,2,w4,,,
78.02553,1,w3,,,
79.02543,MOT_mc_stage_color_00,b,,
79.02543,MOT_mc_bg_black_00,b65-45,,
79.02543,MOT_mc_light_up_00,l1,,
79.02543,MOT_mc_light_center_00,l1,,
79.02543,MOT_mc_light_under_00,l1,,
79.02543,MOT_mc_speaker_00,temp4,,
79.02543,MOT_mc_special_01,l1,,
79.02543,1,3-4,,f1,
79.02543,2,lp4,,,
79.02543,3,lp4,,,
79.02543,4,lp4,,,
79.02543,5,lp4,,,
79.95867,1,4-1,r1,,
80.69193,1,1-2,,,
80.69193,4,sj4,,,
80.69193,5,sj4,,,
81.15854999999999,1,hj2,,,
81.15854999999999,2,sj4,,,
81.15854999999999,3,sj4,,,
81.19188,5,w4,,,
81.19188,4,w4,,,
81.65849999999999,3,w4,,,
81.65849999999999,2,w4,,,
81.82515,1,2-3,rb0,,
81.82515,2,lp4,,,
81.82515,3,lp4,,,
81.82515,4,lp4,,,
81.82515,5,lp4,,,
82.55841,1,3-4,l1,,
82.55841,2,,l1,,
82.55841,3,,r1,,
82.55841,4,,l1,,
82.55841,5,,r1,,
83.29167,1,4-1,,,
84.15825,1,j1-2,,,
85.22480999999999,1,w2,,,
85.3248,1,2-3,lb0,,
85.3248,2,4-1,lb0,,
85.3248,3,4-1,rb0,,
85.3248,4,4-1,lb0,,
85.3248,5,4-1,rb0,,
86.25804,3,w1,,,
86.25804,5,w1,,,
86.25804,4,w1,,,
86.25804,2,w1,,,
86.25804,1,w3,,,
86.658,1,j3-4,,,
86.658,2,1-2,,,
86.658,3,1-2,,,
86.658,4,1-2,,,
86.658,5,1-2,,,
87.49125,1,4-1,r1,,
87.49125,2,lp2,,,
87.49125,3,lp2,,,
87.49125,4,lp2,,,
87.49125,5,lp2,,,
88.15785,1,sj1,,,
88.6578,1,w1,,,
89.3244,1,1-2,rb0,,
89.3244,4,2-3,,,
89.3244,5,2-3,,,
89.62437,2,2-3,,,
89.62437,3,2-3,,,
89.92434,1,2-3,,,
90.25764,5,w3,,,
90.25764,4,w3,,,
90.3243,1,hj3,,,
90.3243,2,j3-4,,,
90.3243,3,j3-4,,,
90.3243,4,j3-4,,,
90.3243,5,j3-4,,,
91.15755,1,3-4,,,
91.15755,2,lp4,,,
91.15755,3,lp4,,,
91.15755,4,lp4,,,
91.15755,5,lp4,,,
92.09079,1,j4-1,,,
92.3241,2,j4-1,,,
92.3241,3,j4-1,,,
92.55740999999999,4,j4-1,,,
92.55740999999999,5,j4-1,,,
93.09069,1,1-2,,,
93.09069,2,1-2,,,
93.09069,3,1-2,,,
93.09069,4,1-2,,,
93.09069,5,1-2,,,
93.15735,MOT_mc_special_02,hokori_end,,
93.52398,MOT_mc_stage_color_00,b-flash,,
93.52398,MOT_mc_bg_black_00,b45-20,,
93.52398,MOT_mc_light_up_00,l3,,
93.52398,MOT_mc_light_center_00,l2,,
93.52398,MOT_mc_light_under_00,l1,,
93.52398,MOT_mc_speaker_00,temp4,,
93.52398,MOT_mc_special_03,kira,,
93.52398,MOT_mc_special_01,white_flash,,
93.52398,1,j2-3,,,
93.52398,2,lp2,,,
93.52398,3,lp2,,,
93.52398,4,lp2,,,
93.52398,5,lp2,,,
94.59053999999999,1,w3,,,
94.75719,1,3-4,r1,,
94.75719,2,,l1,,
94.75719,3,,r1,,
94.75719,4,,l1,,
94.75719,5,,r1,,
95.6571,1,j4-1,,,
95.6571,2,,l2,,
95.6571,3,,r2,,
95.6571,4,,l2,,
95.6571,5,,r2,,
96.657,1,1-2,rb0,,
96.657,2,j2-3,,,
96.657,3,j2-3,,,
96.657,4,j2-3,,,
96.657,5,j2-3,,,
97.22361,1,j2-3,,,
97.22361,2,lp3,,,
97.22361,3,lp3,,,
97.22361,4,lp3,,,
97.22361,5,lp3,,,
97.75689,1,3-4,,,
98.49015,1,4-1,l1,,
98.49015,2,,lb1,,
98.49015,3,,rb1,,
98.49015,4,,lb1,,
98.49015,5,,rb1,,
98.92344,1,j1-2,,,
98.92344,2,,lb0,,
98.92344,3,,rb0,,
98.92344,4,,lb0,,
98.92344,5,,rb0,,
99.55671,1,2-3,lb0,,
100.05666,1,hj3,,,
100.05666,2,j3-4,,,
100.05666,3,j3-4,,,
100.05666,4,j3-4,,,
100.05666,5,j3-4,,,
101.12321999999999,3,w4,,,
101.12321999999999,5,w4,,,
101.12321999999999,4,w4,,,
101.12321999999999,2,w4,,,
101.12321999999999,1,j3-4,,,
101.12321999999999,2,4-1,,,
101.12321999999999,3,4-1,,,
101.12321999999999,4,4-1,,,
101.12321999999999,5,4-1,,,
101.75649,2,j1-2,,,
101.75649,3,j1-2,,,
102.05646,5,w1,,,
102.05646,4,w1,,,
102.18978,1,w4,,,
102.18978,4,j1-2,,,
102.18978,5,j1-2,,,
102.65639999999999,1,4-1,,,
102.65639999999999,2,2-3,,,
102.65639999999999,3,2-3,,,
102.65639999999999,4,2-3,,,
102.65639999999999,5,2-3,,,
103.58963999999999,3,w3,,,
103.58963999999999,5,w3,,,
103.58963999999999,4,w3,,,
103.58963999999999,2,w3,,,
103.58963999999999,1,w1,,,
103.9896,1,j1-2,,,
103.9896,2,3-4,,,
103.9896,3,3-4,,,
103.9896,4,3-4,,,
103.9896,5,3-4,,,
104.85618,1,2-3,,,
104.85618,2,4-1,,,
104.85618,3,4-1,,,
104.85618,4,4-1,,,
104.85618,5,4-1,,,
105.78941999999999,3,w1,,,
105.78941999999999,5,w1,,,
105.78941999999999,4,w1,,,
105.78941999999999,2,w1,,,
105.78941999999999,1,w3,,,
106.75599,4,j1-2,,,
106.75599,5,j1-2,,,
107.02262999999999,2,j1-2,,,
107.02262999999999,3,j1-2,,,
107.28927,1,j3-4,,,
107.82254999999999,5,w2,,,
107.82254999999999,4,w2,,,
107.82254999999999,1,4-1,,,
107.82254999999999,2,2-3,,,
107.82254999999999,3,2-3,,,
107.82254999999999,4,2-3,,,
107.82254999999999,5,2-3,,,
108.25583999999999,MOT_mc_stage_color_00,b-flash,,
108.25583999999999,MOT_mc_bg_black_00,b45-20,,
108.25583999999999,MOT_mc_light_up_00,l2,,
108.25583999999999,MOT_mc_light_center_00,l3,,
108.25583999999999,MOT_mc_light_under_00,l1,,
108.25583999999999,MOT_mc_speaker_00,temp4,,
108.25583999999999,MOT_mc_special_03,kira,,
108.25583999999999,MOT_mc_special_02,hokori,,
108.25583999999999,1,j1-2,,,
108.25583999999999,2,lp3,,,
108.25583999999999,3,lp3,,,
108.25583999999999,4,lp3,,,
108.25583999999999,5,lp3,,,
109.3224,1,w2,,,
109.45572,1,2-3,l1,,
109.45572,2,,l1,,
109.45572,3,,r1,,
109.45572,4,,l1,,
109.45572,5,,r1,,
109.82235,1,3-4,,,
110.22231,1,j4-1,,,
110.22231,2,3-4,,,
110.22231,3,3-4,,,
110.22231,4,3-4,,,
110.22231,5,3-4,,,
110.9889,1,1-2,lb0,,
110.9889,2,sj4,,,
110.9889,3,sj4,,,
110.9889,4,sj4,,,
110.9889,5,sj4,,,
111.48885,3,w4,,,
111.48885,5,w4,,,
111.48885,4,w4,,,
111.48885,2,w4,,,
111.82215,1,2-3,r1,,
111.82215,2,4-1,,,
111.82215,3,4-1,,,
111.82215,4,4-1,,,
111.82215,5,4-1,,,
112.75538999999999,3,w1,,,
112.75538999999999,5,w1,,,
112.75538999999999,4,w1,,,
112.75538999999999,2,w1,,,
112.75538999999999,1,w3,,,
112.88870999999999,1,hj3,,,
112.88870999999999,2,j1-2,,,
112.88870999999999,3,j1-2,,,
112.88870999999999,4,j1-2,,,
112.88870999999999,5,j1-2,,,
113.95527,3,w2,,,
113.95527,5,w2,,,
113.95527,4,w2,,,
113.95527,2,w2,,,
114.02193,1,3-4,rb0,,
114.02193,2,sj2,lb0,,
114.02193,3,sj2,rb0,,
114.02193,4,sj2,lb0,,
114.02193,5,sj2,rb0,,
114.52188,3,w2,,,
114.52188,5,w2,,,
114.52188,4,w2,,,
114.52188,2,w2,,,
114.92183999999999,1,j4-1,,,
114.92183999999999,2,2-3,,,
114.92183999999999,3,2-3,,,
114.92183999999999,4,2-3,,,
114.92183999999999,5,2-3,,,
115.72175999999999,1,1-2,,,
115.72175999999999,4,j3-4,,,
115.72175999999999,5,j3-4,,,
115.85508,3,w3,,,
115.85508,2,w3,,,
116.15504999999999,1,2-3,,,
116.15504999999999,2,j3-4,,,
116.15504999999999,3,j3-4,,,
116.68833,1,j3-4,,,
116.68833,2,lp4,,,
116.68833,3,lp4,,,
116.68833,4,lp4,,,
116.68833,5,lp4,,,
117.35493,1,4-1,,,
117.35493,2,4-1,,,
117.35493,3,4-1,,,
117.35493,4,4-1,,,
117.35493,5,4-1,,,
117.92154,1,hj1,,,
117.92154,2,sp1-2,,,
117.92154,3,sp1-2,,,
117.92154,4,sp1-2,,,
117.92154,5,sp1-2,,,
118.6548,1,j1-2,,,
118.6548,4,j2-3,,,
118.6548,5,j2-3,,,
118.92143999999999,2,j2-3,,,
118.92143999999999,3,j2-3,,,
119.18808,1,2-3,,,
119.65469999999999,1,j3-4,,,
119.65469999999999,2,j3-4,,,
119.65469999999999,3,j3-4,,,
119.65469999999999,4,j3-4,,,
119.65469999999999,5,j3-4,,,
120.3213,1,lp4,,,
120.3213,2,lp4,,,
120.3213,3,lp4,,,
120.3213,4,lp4,,,
120.3213,5,lp4,,,
121.48785,MOT_mc_stage_color_00,b,,
121.48785,MOT_mc_bg_black_00,b45-80,,
121.48785,MOT_mc_light_up_00,l1,,
121.48785,MOT_mc_light_center_00,l1,,
121.48785,MOT_mc_light_under_00,l2,,
121.48785,MOT_mc_speaker_00,temp4,,
121.48785,MOT_mc_special_03,kira_end,,
121.48785,MOT_mc_special_02,hokori_end,,
121.48785,1,,,,D40
123.82095,MOT_control_all,z115-100,,
123.82095,1,4-1,,b0,
123.82095,2,4-1,,,
123.82095,3,4-1,,,
123.82095,4,4-1,,,
123.82095,5,4-1,,,
124.75419,3,w1,,,
124.75419,5,w1,,,
124.75419,4,w1,,,
124.75419,2,w1,,,
124.75419,1,w1,,,
